,date_type,eprintid,rev_number,metadata_visibility,title,subjects,abstract,eprint_status,status_changed,date,dir,creators,divisions,type,uri,full_text_status,ispublished,publisher,documents,datestamp,corp_creators,lastmod,userid,volume,official_url,pagerange,refereed,number,issn,publication,id_number,succeeds,related_url,thesis_name,referencetext,department,thesis_type,institution,contributors
0,published,22784,9,show,Developing Worksheet Based on Multiple Intelligences to Optimize the Creative Thinking Student,"['L1', 'LB1501', 'LC5201']","The research and development of worksheet based on multiple intelligences aims to develop and describe the effectiveness of worksheet based on Multiple Intelligences to optimizing the ability of creative thinking students.The type of research used is research and development that refers to the theory of Borg & Gall. The population of this research is the students of 5th grade of Primary School in Metro East. The sample of this research was 33 students of 5th grade in Primary School is determined using purposive sampling technique. Data were collected
used questionnaires and test questions. The results showed that worksheet based on Multiple Intelligences
effectively optimize the creative thinking students.",archive,2020-06-26 13:39:24,1970-01-01 00:00:00.000002018,disk0/00/02/27/84,"[{'name': {'given': 'Alben', 'honourific': None, 'family': 'Alben Ambarita', 'lineage': None}, 'id': 'alben_ambarita57@yahoo.com'}, {'name': {'given': 'Luthfiana', 'lineage': None, 'honourific': None, 'family': 'Anida'}, 'id': None}, {'id': None, 'name': {'lineage': None, 'family': 'Suwarjo', 'honourific': None, 'given': 'Suwarjo'}}]",['FKIP3'],other,http://repository.lppm.unila.ac.id/id/eprint/22784,public,pub,International Knowledge Sharing Platform IISTE,"[{'security': 'public', 'placement': 1, 'eprintid': 22784, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 36289, 'uri': 'http://repository.lppm.unila.ac.id/id/file/209090', 'fileid': 209090, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-06-26 04:09:56', 'hash': 'f2f5fb58b304af05a5d9d987537d9575', 'filename': '3. Developing_Worksheet_Based_on_Multiple_Intelligenc.pdf', 'datasetid': 'document', 'filesize': 1857200}], 'main': '3. Developing_Worksheet_Based_on_Multiple_Intelligenc.pdf', 'docid': 36289, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36289', 'rev_number': 1, 'format': 'text', 'pos': 1}]",2020-06-26 13:39:24,"['Faculty of Teacher Training and Education, University of Lampung']",2020-06-26 13:39:24,825,,,,,,,,,,,,,,,,
1,published,22786,9,show,Using Worksheets in Integrated Thematic Instruction at Elementary Schools,"['L1', 'LB1501', 'LC5201']","Integrated thematic instruction in Elementary Schools have not always offered promising results for elementary students in Indonesian context. Additional interventions could be an alternative that makes thematic instructions at elementary levels achieve better results. One way that could be applicable is by the use of students’ worksheets which support learning for students. The purposes of study were (1) to test the use of worksheets inintegrated thematic instructions in a scientific approach, and (2) to see the effectiveness of worksheets in
integrated thematic instruction. This research was conducted by using research and development method in selected elementary schools in Metro, Lampung, Indonesia. The results showed that the students worksheets developed based on scientific approaches, validated by material experts, learning method experts, as well as teachers’ classroom teachers, were found effective to be used in integrated thematic instructions. The students’ achievement and the teaching learning process were found better.",archive,2020-06-26 13:40:09,1970-01-01 00:00:00.000002018,disk0/00/02/27/86,"[{'id': 'darsono.1954@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Darsono', 'lineage': None, 'given': 'Darsono'}}, {'name': {'given': 'Alben', 'honourific': None, 'family': 'Alben Ambarita', 'lineage': None}, 'id': 'alben_ambarita57@yahoo.com'}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Eni', 'given': 'Setianingsi'}}, {'id': None, 'name': {'lineage': None, 'family': 'Budi', 'honourific': None, 'given': 'Kadaryanto'}}]",['FKIP3'],other,http://repository.lppm.unila.ac.id/id/eprint/22786,public,pub,Journal of Education and Practice,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36291', 'docid': 36291, 'main': '5. Using_Worksheets_in_Integrated_Thematic_Instructio.pdf', 'files': [{'objectid': 36291, 'uri': 'http://repository.lppm.unila.ac.id/id/file/209108', 'fileid': 209108, 'mime_type': 'application/pdf', 'mtime': '2020-06-26 04:15:41', 'hash_type': 'MD5', 'hash': '13802e26cae003b3447f43e547042574', 'filename': '5. Using_Worksheets_in_Integrated_Thematic_Instructio.pdf', 'datasetid': 'document', 'filesize': 1954258}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 22786, 'security': 'public', 'placement': 1}]",2020-06-26 13:40:09,"['Faculty of Teacher Training and Education, University of Lampung']",2020-06-26 13:40:09,825,,,,,,,,,,,,,,,,
2,published,22795,9,show,Development of Performance Assessment Instrument in Thematic Learning of 4th Grader Elementary School,"['L1', 'LB1501', 'LC5201']","This study aims to develop performance assesment instrument in thematic learning of 4th grader elementary school students. The type of research used is research and development that refers to Borg & Gall’s theory. The population of this study is all fourth grade students from the Elementary School of Negeri Agung District, Way Kanan Regency. Samples were taken by using Random Sampling technique with total of 34 students of Public Elementary School 01 of Kalipapan. Data were collected through questionnaires and test questions. The results showed that
the developed performance assesment instrument was heoretically valid and empirically reliable. This was provedfrom the result of questionnaires by experts and teachers who stated that the developed product was theoretically valid and the result of reliability test obtained a score of 0.67 which proved that the performance assessment instrument was empirically valid",archive,2020-06-26 13:41:44,1970-01-01 00:00:00.000002018,disk0/00/02/27/95,"[{'name': {'lineage': None, 'family': 'Eti', 'honourific': None, 'given': 'Ernawati'}, 'id': None}, {'id': 'lilik.sabdaningtyas@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Lilik', 'lineage': None, 'given': 'LS'}}, {'id': 'pargito.1959@fkip.unila.ac.id', 'name': {'given': 'Pargito', 'lineage': None, 'family': 'Pargito', 'honourific': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Alben Ambarita', 'given': 'Alben'}, 'id': 'alben_ambarita57@yahoo.com'}]",['FKIP3'],other,http://repository.lppm.unila.ac.id/id/eprint/22795,public,pub,Journal of Education and Practice,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 22795, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36300', 'docid': 36300, 'main': '14. Development_of_Performance_Assessment_Instrument_i.pdf', 'files': [{'objectid': 36300, 'uri': 'http://repository.lppm.unila.ac.id/id/file/209189', 'datasetid': 'document', 'filesize': 2369184, 'mime_type': 'application/pdf', 'fileid': 209189, 'filename': '14. Development_of_Performance_Assessment_Instrument_i.pdf', 'hash': '9bd3a6e369b1fea05e6292d05c24272f', 'hash_type': 'MD5', 'mtime': '2020-06-26 04:46:43'}]}]",2020-06-26 13:41:44,"['Faculty of Teacher Training and Education, University of Lampung']",2020-06-26 13:41:44,825,,,,,,,,,,,,,,,,
3,published,22802,8,show,Development of Performance Assessment Instrument in Thematic Learning of 4th Grader Elementary School,"['L1', 'LB1501', 'LC5201']","This study aims to develop performance assesment instrument in thematic learning of 4th grader elementary school students. The type of research used is research and development that refers to Borg & Gall’s theory. The population of this study is all fourth grade students from the Elementary School of Negeri Agung District, Way Kanan Regency. Samples were taken by using Random Sampling technique with total of 34 students of Public Elementary School 01 of Kalipapan. Data were collected through questionnaires and test questions. The results showed that
the developed performance assesment instrument was theoretically valid and empirically reliable. This was proved
from the result of questionnaires by experts and teachers who stated that the developed product was theoretically valid and the result of reliability test obtained a score of 0.67 which proved that the performance assessment instrument was empirically valid.",archive,2020-06-26 13:35:02,1970-01-01 00:00:00.000002018,disk0/00/02/28/02,"[{'name': {'given': 'Ernawati', 'lineage': None, 'honourific': None, 'family': 'Eti'}, 'id': None}, {'name': {'given': 'LS', 'honourific': None, 'family': 'Lilik', 'lineage': None}, 'id': 'lilik.sabdaningtyas@fkip.unila.ac.id'}, {'id': 'pargito.1959@fkip.unila.ac.id', 'name': {'family': 'Pargito', 'honourific': None, 'lineage': None, 'given': 'Pargito'}}, {'name': {'given': 'Alben', 'lineage': None, 'honourific': None, 'family': 'Alben Ambarita'}, 'id': 'alben_ambarita57@yahoo.com'}]",['FKIP3'],article,http://repository.lppm.unila.ac.id/id/eprint/22802,public,pub,Journal of Education and Practice,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36307', 'main': '14. Development of Performance Assessment Instrument in Thematic Learning of 4th Grader Elementary School.pdf', 'docid': 36307, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/209242', 'objectid': 36307, 'filename': '14. Development of Performance Assessment Instrument in Thematic Learning of 4th Grader Elementary School.pdf', 'hash': '1a2372307d489ed597744262f7d1244c', 'mtime': '2020-06-26 05:13:53', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 209242, 'filesize': 220250, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 22802, 'security': 'public', 'placement': 1}]",2020-06-26 13:35:02,"['Faculty of Teacher Training and Education, University of Lampung']",2020-06-26 13:35:02,825,9.0,http://www.iiste.org,52-59,TRUE,26.0,ISSN 2222-1735 (Paper) ISSN 2222-288X (Online),Journal of Education and Practice,,,,,,,,,
4,,10016,8,show,"Development of Instrument Test on Mathematical Literature
Learning in Elementary School",['L1'],"This study aims to develop a valid and reliable test instrument to measure students' mathematical literacy in
elementary schools. The type of research used is research and development that refers to the theory of Tessmer.
The population in this study were students of class V elementary school in Metro. The sampling technique uses
cluster technique. The sample of this research is class V students who amounted to 62 in Muhammadiyah
Elementary School and Elementary School of 7
th
 Metro. Data were collected through questionnaires and test
questions. The results showed that the instrument of mathematics literacy test developed has qualify the criteria
of writing questions rules, valid and realiabel to measure students' mathematical literacy.
Keywords: Instrument test; mathematical literacy; Elementary School",archive,2018-11-15 08:07:25,1970-01-01 00:00:00.000002018,disk0/00/01/00/16,"[{'name': {'given': 'LS', 'family': 'Lilik', 'honourific': None, 'lineage': None}, 'id': 'lilik.sabdaningtyas@fkip.unila.ac.id'}]",['FKIP3'],article,http://repository.lppm.unila.ac.id/id/eprint/10016,public,pub,Journal of Education and Practice,"[{'files': [{'objectid': 23039, 'uri': 'http://repository.lppm.unila.ac.id/id/file/94098', 'datasetid': 'document', 'filesize': 17896, 'mime_type': 'application/xml', 'fileid': 94098, 'filename': 43125, 'hash': '10ad872b1c71286f604116f20d240d7d', 'mtime': '2018-11-15 07:21:50', 'hash_type': 'MD5'}], 'docid': 23039, 'main': 43125, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23039', 'rev_number': 3, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 10016, 'mime_type': 'application/xml', 'language': 'id'}]",2018-11-15 08:07:25,['Universitas Lampung'],2018-11-15 08:07:25,758,9.0,https://www.iiste.org/Journals,1-9,FALSE,23.0,2222-1735 (paper); 2222-288X (online),The Implementation of Policies in Developing Four Dimensions of Teacher’s Professionalism,,,,,,,,,
5,published,22787,9,show,Development of Thematic Textbook Based on Nation Culture and Character for 4th Grader Student,"['L1', 'LB1501', 'LC5201']","This research aims to develop a thematic textbook product based on nation culture and character with the subtheme of ‘beautiful cultural diversity of my country’, and to know the effectivity level of the thematic textbook. The development of this thematic textbook was using Borg & Gall's research and development model, which involve two schools, i.e. Public Elementary School 1 and 2 of Langkapura, Bandar Lampung City. Data were collected by observations, tests and questionnaires. Data analysis techniques used were qualitative and quantitative techniques. The result of this research is the thematictextbook product based on nation culture andcharacter with the validity level categorized as ‘very good’ and the thematic textbook based on nation cultureand character was effective to improve learning outcomes.",archive,2020-06-26 13:40:14,1970-01-01 00:00:00.000002018,disk0/00/02/27/87,"[{'id': 'Listianawati@gmail.com', 'name': {'given': 'Listianawati', 'family': 'Listianawati', 'honourific': None, 'lineage': None}}, {'id': None, 'name': {'lineage': None, 'family': 'Nurlaksana eko', 'honourific': None, 'given': 'Nurlaksana eko'}}, {'id': 'darsono.1954@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Darsono', 'honourific': None, 'given': 'Darsono'}}, {'id': 'alben_ambarita57@yahoo.com', 'name': {'lineage': None, 'family': 'Alben Ambarita', 'honourific': None, 'given': 'Alben'}}]",['FKIP3'],other,http://repository.lppm.unila.ac.id/id/eprint/22787,public,pub,"American Scientific Research Journal for Engineering, Technology, and Sciences (ASRJETS)","[{'uri': 'http://repository.lppm.unila.ac.id/id/document/36292', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'fileid': 209117, 'mime_type': 'application/pdf', 'mtime': '2020-06-26 04:18:35', 'hash_type': 'MD5', 'filename': '6. Development_of_Thematic_Textbook_Based_on_Nation_C.pdf', 'hash': '6cae74a76eb9904e2b7795a2dbce4963', 'datasetid': 'document', 'filesize': 2583965, 'objectid': 36292, 'uri': 'http://repository.lppm.unila.ac.id/id/file/209117'}], 'docid': 36292, 'main': '6. Development_of_Thematic_Textbook_Based_on_Nation_C.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 22787}]",2020-06-26 13:40:14,"['Faculty of Teacher Training and Education, University of Lampung']",2020-06-26 13:40:14,825,,,,,,,,,,,,,,,,
6,published,47168,5,show,Development of Thematic Textbook Based on Nation Culture and Character for 4th Grader Student,['L1'],"Abstract 
This research aims to develop a thematic textbook product based on nation culture and character with thesubtheme of ‘beautiful cultural diversity of my country’, and to know the effectivity level of the thematictextbook. The development of this thematic textbook was using Borg & Gall's research and development model,which involve two schools, i.e. Public Elementary School 1 and 2 of Langkapura, Bandar Lampung City. Datawere collected by observations, tests and questionnaires. Data analysis techniques used were qualitative andquantitative techniques. The result of this research is the thematic textbook product based on nation culture andcharacter with the validity level categorized as ‘very good’ and the thematic textbook based on nation cultureand character was effective to improve learning outcomes.",archive,2022-12-09 02:19:44,2018-07-18 00:00:00.000000000,disk0/00/04/71/68,"[{'name': {'given': 'Listianawati', 'lineage': None, 'honourific': None, 'family': 'Listianawati'}, 'id': 'Listianawati@gmail.com'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Nurlaksana eko', 'given': 'Nurlaksana eko'}, 'id': None}, {'id': 'darsono.1954@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Darsono', 'honourific': None, 'given': 'Darsono'}}, {'name': {'given': 'Alben', 'honourific': None, 'family': 'Alben Ambarita', 'lineage': None}, 'id': 'alben_ambarita57@yahoo.com'}]",['FKIP3'],article,http://repository.lppm.unila.ac.id/id/eprint/47168,public,pub,Global Society of Scientific Research and Researchers,"[{'eprintid': 47168, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'content': 'published', 'docid': 186128, 'main': 'document.pdf', 'files': [{'objectid': 186128, 'uri': 'http://repository.lppm.unila.ac.id/id/file/518013', 'mime_type': 'application/pdf', 'fileid': 518013, 'filename': 'document.pdf', 'hash': '995b421fea72c4197483ff84f1b84c3f', 'hash_type': 'MD5', 'mtime': '2022-12-06 09:22:25', 'datasetid': 'document', 'filesize': 133760}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186128', 'rev_number': 3}, {'mime_type': 'application/pdf', 'language': 'en', 'content': 'other', 'eprintid': 47168, 'placement': 2, 'security': 'public', 'pos': 2, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186129', 'rev_number': 2, 'docid': 186129, 'main': 'Uji Turnitin_Development of Thematic Textbook Based on Nation Culture and Character for 4th Grader Student.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/518014', 'objectid': 186129, 'filesize': 2170409, 'datasetid': 'document', 'hash': 'ca501f6324570422f5b8bd0f79163539', 'filename': 'Uji Turnitin_Development of Thematic Textbook Based on Nation Culture and Character for 4th Grader Student.pdf', 'hash_type': 'MD5', 'mtime': '2022-12-08 13:59:03', 'mime_type': 'application/pdf', 'fileid': 518014}]}]",2022-12-09 02:19:44,,2022-12-09 02:19:44,709,44.0,https://asrjetsjournal.org/index.php/American_Scientific_Journal/article/view/4220/1498,278-298,TRUE,1.0,2313-4402,"American Scientific Research Journal for Engineering, Technology,  and Sciences  (ASRJETS)",2313-4402,47143.0,"[{'type': 'pub', 'url': 'https://asrjetsjournal.org/index.php/American_Scientific_Journal/article/view/4220/1498'}]",,,,,,
7,published,22789,9,show,Development of Students Worksheets Based on Discovery Learning in Thematic Learning for 4th Grader Elementary School,"['L1', 'LB1501', 'LC5201']","This study aims to develop teaching materials in the form of students worksheet based on discovery learning in thematic learning of fourth grader elementary school. The type of research used is research and development (R & D) that refers to the theory of Borg & Gall. The population of this study is all fourth grade elementary school students in Langkapura sub-district. Sample were taken by using random sampling technique as many as 56 students of SD Negeri 2 Langkapura. Data were collected through questionnaires and test questions. Questionnaire is used to measure the feasibility of students worksheets and test questions to measure the
improvement of student learning outcomes. The results showed that students worksheet based on discovery
learning were developed feasible and effective for learning. This is proved from the results of the acquisition of
questionnaires by experts and teachers who stated that the development products are feasible based on didactic,
construction and technical requirements. As well as the results of the calculation of effectiveness tests that obtain an average gain value of 0.365 which proves that students worksheet based on discovery learning are effective in improving student learning outcomes.",archive,2020-06-26 13:41:01,1970-01-01 00:00:00.000002018,disk0/00/02/27/89,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Mesi', 'given': 'Ruli Wulan'}}, {'id': 'alben_ambarita57@yahoo.com', 'name': {'given': 'Alben', 'lineage': None, 'honourific': None, 'family': 'Alben Ambarita'}}, {'id': 'darsono.1954@fkip.unila.ac.id', 'name': {'family': 'Darsono', 'honourific': None, 'lineage': None, 'given': 'Darsono'}}, {'id': 'arwinsubakti@yahoo.com', 'name': {'family': 'Arwin Subakti', 'honourific': None, 'lineage': None, 'given': 'AS'}}]",['FKIP3'],other,http://repository.lppm.unila.ac.id/id/eprint/22789,public,pub,Journal of Education and Practice,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36294', 'format': 'text', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 2756468, 'mime_type': 'application/pdf', 'fileid': 209135, 'hash': 'c8b06a23eef38f454fb92c79d71710a7', 'filename': '9. The_Development_of_Student_Worksheets_Based_on_Dis.pdf', 'hash_type': 'MD5', 'mtime': '2020-06-26 04:24:50', 'objectid': 36294, 'uri': 'http://repository.lppm.unila.ac.id/id/file/209135'}], 'main': '9. The_Development_of_Student_Worksheets_Based_on_Dis.pdf', 'docid': 36294, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 22789}]",2020-06-26 13:41:01,"['Faculty of Teacher Training and Education, University of Lampung']",2020-06-26 13:41:01,825,,,,,,,,,,,,,,,,
8,,22866,9,show,"Development of Students Worksheets Based on Discovery Learning in Thematic Learning for 4th Grader
Elementary School","['L1', 'LB1501', 'LC5201']","This study aims to develop teaching materials in the form of students worksheet based on discovery learning in thematic learning of fourth grader elementary school. The type of research used is research and development (R & D) that refers to the theory of Borg & Gall. The population of this study is all fourth grade elementary school students in Langkapura sub-district. Sample were taken by using random sampling technique as many as 56 students of SD Negeri 2 Langkapura. Data were collected through questionnaires and test questions.
Questionnaire is used to measure the feasibility of students worksheets and test questions to measure the
improvement of student learning outcomes. The results showed that students worksheet based on discovery learning were developed feasible and effective for learning. This is proved from the results of the acquisition of questionnaires by experts and teachers who stated that the development products are feasible based on didactic, construction and technical requirements. As well as the results of the calculation of effectiveness tests that obtain an average gain value of 0.365 which proves that students worksheet based on discovery learning are effective in improving student learning outcomes",archive,2020-06-30 03:33:55,1970-01-01 00:00:00.000002018,disk0/00/02/28/66,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Mesi Ruli Wulan', 'given': 'MRW'}, 'id': None}, {'id': 'alben_ambarita57@yahoo.com', 'name': {'lineage': None, 'family': 'Alben Ambarita', 'honourific': None, 'given': 'Alben'}}, {'id': 'darsono.1954@fkip.unila.ac.id', 'name': {'family': 'Darsono', 'honourific': None, 'lineage': None, 'given': 'Darsono'}}, {'id': 'arwinsubakti@yahoo.com', 'name': {'given': 'AS', 'lineage': None, 'honourific': None, 'family': 'Arwin Subakti'}}]",['FKIP3'],other,http://repository.lppm.unila.ac.id/id/eprint/22866,public,pub,International Knowledge Sharing Platform IISTE,"[{'eprintid': 22866, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'docid': 36411, 'main': '8. Development of Students Worksheets Based on Discovery Learning in Thematic Learning for 4th Grader Elementary School.pdf', 'files': [{'datasetid': 'document', 'filesize': 2674839, 'fileid': 209867, 'mime_type': 'application/pdf', 'mtime': '2020-06-30 02:53:17', 'hash_type': 'MD5', 'filename': '8. Development of Students Worksheets Based on Discovery Learning in Thematic Learning for 4th Grader Elementary School.pdf', 'hash': 'b9e827daf3fe18a270757a87781192d5', 'objectid': 36411, 'uri': 'http://repository.lppm.unila.ac.id/id/file/209867'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36411'}]",2020-06-30 03:33:55,"['Faculty of Teacher Training and Education, University of Lampung']",2020-06-30 03:33:55,825,,,,,,,,,,,,,,,,
9,submitted,9673,7,show,Development of Students Worksheets Based on Discovery Learning in Thematic Learning for 4th Grader Elementary School,['L1'],"This study aims to develop teaching materials in the form of students worksheet based on discovery learning in
thematic learning of fourth grader elementary school. The type of research used is research and development (R
& D) that refers to the theory of Borg & Gall. The population of this study is all fourth grade elementary school students in Langkapura sub-district. Sample were taken by using random sampling technique as many as 56 students of SD Negeri 2 Langkapura. Data were collected through questionnaires and test questions. Questionnaire is  used  to  measure the feasibility of students  worksheets and  test questions to  measure the improvement of student learning outcomes. The results showed that students worksheet based on discovery learning were developed feasible and effective for learning. This is proved from the results of the acquisition of
questionnaires by experts and teachers who stated that the development products are feasible based on didactic,
construction and technical requirements. As well as the results of the calculation of effectiveness tests that obtain an average gain value of 0.365 which proves that students worksheet based on discovery learning are effective in improving student learning outcomes.

Keywords: Student worksheets, Discovery learning, Learning outcomes",archive,2018-11-12 01:14:53,2018-09-30 00:00:00.000000000,disk0/00/00/96/73,"[{'id': None, 'name': {'lineage': None, 'family': 'Mesi Ruli Wulan', 'honourific': None, 'given': 'MRW'}}, {'name': {'given': 'Alben', 'lineage': None, 'honourific': None, 'family': 'Alben Ambarita'}, 'id': None}, {'id': 'darsono.1954@fkip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Darsono', 'given': 'Darsono'}}, {'id': 'arwinsubakti@yahoo.com', 'name': {'given': 'AS', 'lineage': None, 'family': 'Arwin Subakti', 'honourific': None}}]",['FKIP3'],thesis,http://repository.lppm.unila.ac.id/id/eprint/9673,public,pub,,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22691', 'rev_number': 1, 'docid': 22691, 'main': '44681-48108-1-PB.pdf', 'files': [{'objectid': 22691, 'uri': 'http://repository.lppm.unila.ac.id/id/file/91699', 'datasetid': 'document', 'filesize': 193238, 'mime_type': 'application/pdf', 'fileid': 91699, 'hash': 'ef65e7fb4f25e247632e6deebc3eba4d', 'filename': '44681-48108-1-PB.pdf', 'hash_type': 'MD5', 'mtime': '2018-11-09 06:31:36'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 9673, 'security': 'public', 'placement': 1}]",2018-11-12 01:14:53,,2018-11-12 01:14:53,956,,https://iiste.org/Journals/index.php/JEP/article/view/44681,,,,,,,,,mphil,"Arikunto, S. (2013). Prosedur Penelitian: Suatu Pendekatan Praktik. Jakarta: PT. Rineka Cipta.

Balim, G A. (2009). The Effects of Discovery Learning on Students Success’ and Inquiry Learning Skills.

Eurasian Journal of Education Research. 35. 1-20.
Borg, R,. W,. & Gall, D. M. (2003). Educational Research An Introduction. Boston: Perason Education, Inc. Budiningsih. (2010). Model Pembelajaran Discovery Learning. Jakarta: Bumi Aksara.

Celikler, D. (2010). The Effect of Worksheets Developed for the Subject of Chemical Compounds on Student Achievement and Permanent Learning. Educational Research Association. The International Journal of Research in Teacher Education. 1. (1). 42-51.

Hake, R., R. (1991). Analyzing Change/Gain Score. American Educational Research Association’s Division
Measurement               and               Research               Methodology.               [Online]               Available:
http://www.physics.indiana.edu/~sdi/AnalyzingChange-Gain.pdf [18 Oktober 2017]

Illahi, M T. (2012). Pembelajaran Discovery Strategy & Mental Vocational Skill. Yogyakarta: DIVA Press.

Joy,  A.  (2014).  Impact  of  Discovery-Based  Learning  Method  on  Senior  Secondary  School  Physics.  IOSR Journal of Research & Method in Education. 4. (3). [V]. 32-36.

Kyriazis, A. et al. (2009). Discovery Learning and the Computational Experiment in Higher Mathematics and
Science Education: A Combined Approach. Journal iJET. 4. (4). 25-34.

Lee, C D. (2014). Worksheet Usage, Reading Achievement, Classes’ Lack of Readiness, and Science Achievement: A Cross-Country Comparison. International Journal of Education in Mathematics Science and Technology. 2. (2). 96-106.

Majid, A. (2014). Pembelajaran Tematik Terpadu. Bandung: Remaja Rosdakarya.

Ozmen, H., and Yildirim, N. (2005). Effect Of Worksheets on Student’s Success: Acids and Bases Sample. Journal of Turkish Science Education. 2. (2). 10-13.

Podolak, K., & Jordyn, D. (2013).   Interactive Modern Physics Worksheets Methodology and Assessment.
European J of Physics Education. 4. (2). 27-31.

Sugiyoono. (2015). Metode Penelitian Pendidikan: Penelitian Kuantitatif Kualitatif dan R & D. Bandung: Alfabeta.

Toman, U. (2013). Extended Worksheet Developed According To 5e Model Based On Constructivist Learning Approach. International Journal on New Trends in Education and Their Implications. 4. (4). 173-183.",Education Faculty,masters,University of lampung,
