,subjects,abstract,status_changed,eprint_status,related_url,rev_number,volume,metadata_visibility,title,official_url,date_type,eprintid,datestamp,pagerange,lastmod,userid,uri,full_text_status,refereed,ispublished,number,documents,publisher,divisions,type,date,dir,id_number,publication,creators,issn,contact_email,isbn,pages,book_title,pres_type,event_title,event_location,event_dates,event_type,place_of_pub,corp_creators,output_media,contributors
0,"['H1', 'HM', 'HT']","This paper discusses the incident of communal conflict between people in Balinuraga and Agom Villages, Lampung Province from Goffman’s Dramaturgy point of views. A case study and qualitative research method were used and data was collected through purposive sampling technique using: in-depth interview; observation; and documentation. Data was analyzed through qualitative approach with the process of data reduction, presentation, and conclusion. The location of research studies was in Agom and Balinuraga Villages, South Lampung Regency. This paper examines that the peak incidence of communal conflict between villagers resulting from lack of constructive handling conflict management in preventing and reducing conflict. This paper revealed that the incidence of conflict or intersection occurred due to lack of comprehensive handling efforts since there is the fact that the process of cessation of conflicts and acts of violence were perpetrated by military intervention. This paper, therefore, suggests that in dealing and handling conflict, it is necessary to absorb various aspirations of conflicting society, rather than top-down approach. In addition, indigenous institutions as a counterpart of local customs and forum for cultural preservation should have more roles in resolving conflicts so that the functioning of customary institutions is expected to safeguard, enhance, and preserve the culture of each party in conflict.",2019-01-29 04:45:33,archive,"[{'type': 'pub', 'url': 'https://rjoas.com/issue-2018-12/'}]",8,12.0,show,COMMUNAL CONFLICT: ANALYSIS OF ERVING GOFFMAN’S DRAMATURGY THROUGH A CASE STUDY,https://rjoas.com/,published,10612,2019-01-29 04:45:33,304-311,2019-01-29 04:45:33,891,http://repository.lppm.unila.ac.id/id/eprint/10612,public,TRUE,pub,84,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 10612, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23617', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'filesize': 1274701, 'datasetid': 'document', 'mtime': '2019-01-24 03:46:19', 'hash_type': 'MD5', 'hash': '2d3a57cd18ad163a16a22ad36b94281a', 'filename': 'COMMUNAL CONFLICT_ANALYSIS OF ERVING GOFFMAN’S DRAMATURGY THROUGH A CASE STUDY.pdf', 'fileid': 98139, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/98139', 'objectid': 23617}], 'main': 'COMMUNAL CONFLICT_ANALYSIS OF ERVING GOFFMAN’S DRAMATURGY THROUGH A CASE STUDY.pdf', 'docid': 23617}]",RJOAS: Russian Journal of Agricultural and Socio-Economic Sciences,['FISIP7'],article,2018-12-01,disk0/00/01/06/12,https://doi.org/10.18551/rjoas.2018-12.39,RJOAS: Russian Journal of Agricultural and Socio-Economic Sciences,"[{'id': 'bensosunila@gmail.com', 'name': {'given': 'Benjamin', 'lineage': None, 'family': 'Benjamin', 'honourific': None}}]",2226-1184,,,,,,,,,,,,,
1,"['H1', 'HM', 'HT']","This paper discusses the incident of communal conflict between people in Balinuraga and Agom Villages, Lampung Province from Goffman’s Dramaturgy point of views. A case study and qualitative research method were used and data was collected through purposive sampling technique using: in-depth interview; observation; and documentation. Data was analyzed through qualitative approach with the process of data reduction, presentation, and conclusion. The location of research studies was in Agom and Balinuraga Villages, South Lampung Regency. This paper examines that the peak incidence of communal conflict between villagers resulting from lack of constructive handling conflict management in preventing and reducing conflict. This paper revealed that the incidence of conflict or intersection occurred due to lack of comprehensive handling efforts since there is the fact that the process of cessation of conflicts and acts of violence were perpetrated by military intervention. This paper, therefore, suggests that in dealing and handling conflict, it is necessary to absorb various aspirations of conflicting society, rather than top-down approach. In addition, indigenous institutions as a counterpart of local customs and forum for cultural preservation should have more roles in resolving conflicts so that the functioning of customary institutions is expected to safeguard, enhance, and preserve the culture of each party in conflict.",2020-03-12 07:01:26,archive,"[{'type': 'pub', 'url': 'https://rjoas.com/issue-2018-12/'}]",10,12.0,show,COMMUNAL CONFLICT: ANALYSIS OF ERVING GOFFMAN’S DRAMATURGY THROUGH A CASE STUDY,https://rjoas.com/issue-2018-12/,published,18635,2020-03-12 07:01:26,304-311,2020-03-12 07:01:26,891,http://repository.lppm.unila.ac.id/id/eprint/18635,public,TRUE,pub,84,"[{'eprintid': 18635, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'content': 'published', 'docid': 31804, 'main': 'Communal_Conflict.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/156524', 'objectid': 31804, 'mtime': '2020-03-12 06:34:39', 'hash_type': 'MD5', 'hash': '028cf881442988ce5169084dda1bf9ce', 'filename': 'Communal_Conflict.pdf', 'fileid': 156524, 'mime_type': 'application/pdf', 'filesize': 2089920, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'rev_number': 5, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31804'}]",RJOAS: Russian Journal of Agricultural and Socio-Economic Sciences,['FISIP7'],article,2018-12,disk0/00/01/86/35,https://doi.org/10.18551/rjoas.2018-12.39,RJOAS: Russian Journal of Agricultural and Socio-Economic Sciences,"[{'name': {'given': 'Benjamin', 'honourific': None, 'family': 'Benjamin', 'lineage': None}, 'id': 'bensosunila@gmail.com'}]",2226-1184,,,,,,,,,,,,,
2,"['H1', 'HM']",Hasil Penilaian Sejawat,2020-04-09 02:47:37,archive,,7,,show,Communal Conflict: Analysis of Erving Goffman's Dramaturgy Through a Case Study,,published,19015,2020-04-09 02:47:37,,2020-04-09 02:47:37,891,http://repository.lppm.unila.ac.id/id/eprint/19015,public,TRUE,pub,,"[{'eprintid': 19015, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 32252, 'main': 'Penelitian 3.pdf', 'files': [{'filesize': 440948, 'datasetid': 'document', 'mtime': '2020-04-08 06:12:19', 'hash_type': 'MD5', 'filename': 'Penelitian 3.pdf', 'hash': '374926e9da1fdb81edb7b56fdc36e721', 'fileid': 159525, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/159525', 'objectid': 32252}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/32252', 'rev_number': 1}]",,['FISIP7'],article,2018-12,disk0/00/01/90/15,,Russian Journal of Agricultural and Socio-Economic Sciences,"[{'name': {'given': 'Benjamin', 'lineage': None, 'family': 'Benjamin', 'honourific': None}, 'id': 'bensosunila@gmail.com'}]",2226-1184,bensosunila@gmail.com,,,,,,,,,,,,
3,['HM'],Hasil Penilaian Sejawat,2020-04-09 02:49:23,archive,,11,,show,Empowerment Strategy For Bandar Lampung Tapis Woven Cloth Craftsmen in Convergency Era,,published,19016,2020-04-09 02:49:23,,2020-04-09 02:49:23,891,http://repository.lppm.unila.ac.id/id/eprint/19016,public,TRUE,pub,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/32253', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'filesize': 603678, 'datasetid': 'document', 'filename': 'Penelitian 4.pdf', 'hash': '79e0bb9149c7ea141d73ce05d6b0f2b6', 'mtime': '2020-04-08 06:17:54', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 159535, 'uri': 'http://repository.lppm.unila.ac.id/id/file/159535', 'objectid': 32253}], 'docid': 32253, 'main': 'Penelitian 4.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 19016}]","Pustaka Nusantara, Yogyakarta",['FISIP7'],book_section,2018-12,disk0/00/01/90/16,,,"[{'name': {'honourific': None, 'family': 'Benjamin', 'lineage': None, 'given': 'Benjamin'}, 'id': 'bensosunila@gmail.com'}]",,bensosunila@gmail.com,978-602-50756-2-9,13.0,State and Digital Society,,,,,,,,,
4,"['H1', 'HM']",Hasil Penilaian Sejawat,2020-04-09 02:47:21,archive,,7,,show,Strategy For Building Community Reliance in Managing and Utilizing Community Forests Through The Policy of Community,,published,19014,2020-04-09 02:47:21,,2020-04-09 02:47:21,891,http://repository.lppm.unila.ac.id/id/eprint/19014,public,TRUE,pub,,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 19014, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32251', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'objectid': 32251, 'uri': 'http://repository.lppm.unila.ac.id/id/file/159518', 'fileid': 159518, 'mime_type': 'application/pdf', 'mtime': '2020-04-08 06:08:06', 'hash_type': 'MD5', 'hash': '0109fc2b32c3c51bbd453b382fb8dab5', 'filename': 'Penelitian 2.pdf', 'datasetid': 'document', 'filesize': 528288}], 'main': 'Penelitian 2.pdf', 'docid': 32251}]",,['FISIP7'],article,2018-07,disk0/00/01/90/14,,Russian Journal of Agricultural and Socio-Economic Sciences,"[{'id': 'bensosunila@gmail.com', 'name': {'family': 'Benjamin', 'honourific': None, 'lineage': None, 'given': 'Benjamin'}}]",2226-1184,bensosunila@gmail.com,,,,,,,,,,,,
5,"['H1', 'HM']","The objective of this research is to provide policy recommendation with regard to strategy
formulation for the development of community forests. The policy recommendation aims to
improve local people's economy, to alleviate poverty and to achieve community-reliance
through the utilization of community forest programs. This study is also aimed to strengthen
roles and functions of various institutions to be synergized in empowerment activities in line
with the jurisdiction of rights for management and utilization of community forest. This
research used descriptive qualitative approach. Data was collected from Tanggamus
Regency in Lampung Province of Indonesia through interviews. Secondary data was also
obtained from related sources: literature and government regulations. This study found that
the implementation of community forest policy is merely based on the government regulation.
Another finding is that empowerment practices undertaken in the community forest is still
lack of the involement of stakeholders. In addition, there is a positive impact in the practice of
community forest which can be seen from the level of public awareness to the forest and in
planting crops. Therefore, this research suggests that: first, there is the need of policy to
overcome bureaucratic system in applying the community forest management permits;
second, it needs a new formulation of budget to facilitate the community in the application of
the community forest management.",2020-03-17 08:55:03,archive,"[{'url': 'https://doi.org/10.18551/rjoas.2018-07.36', 'type': 'pub'}]",7,,show,"STRATEGY FOR BUILDING COMMUNITY-RELIANCE IN MANAGING AND
UTILIZING COMMUNITY FORESTS THROUGH THE POLICY OF COMMUNITY
FORESTS DEVELOPMENT",https://rjoas.com/issue-2018-07/,published,18772,2020-03-17 08:55:03,323-333,2020-03-17 08:55:03,891,http://repository.lppm.unila.ac.id/id/eprint/18772,public,TRUE,pub,,"[{'files': [{'filesize': 3149984, 'datasetid': 'document', 'hash': '0f85bd986771a895105ff0505eaa5cb9', 'filename': 'STRATEGY_FOR_BUILDING_COMMUNITY(2).pdf', 'hash_type': 'MD5', 'mtime': '2020-03-17 08:29:51', 'mime_type': 'application/pdf', 'fileid': 157602, 'uri': 'http://repository.lppm.unila.ac.id/id/file/157602', 'objectid': 31956}], 'main': 'STRATEGY_FOR_BUILDING_COMMUNITY(2).pdf', 'docid': 31956, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31956', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 18772, 'language': 'en', 'mime_type': 'application/pdf'}]",RJOAS,['FISIP7'],article,2018-07,disk0/00/01/87/72,,Russian Journal of Agricultural and Socio-Economic Sciences,"[{'name': {'given': 'Benjamin', 'lineage': None, 'honourific': None, 'family': 'Benjamin'}, 'id': 'bensosunila@gmail.com'}, {'id': 'dewiayu.hidayati@fisip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'dewi ayu hidayati', 'given': 'DAH'}}, {'name': {'lineage': None, 'family': 'Rosalia', 'honourific': None, 'given': 'Feni'}, 'id': 'feni.rosalia@fisip.unila.ac.id'}, {'id': 'dian.kagungan@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Kagungan', 'lineage': None, 'given': 'dian'}}]",2226-1184,bensosunila@gmail.com,,,,,,,,,,,,
6,"['H1', 'HM']","This research aimed to describe thoroughly the empowerment strategy for the craftsmen of tenun tapis (tapis woven cloth), the strategy of tapis craftsmen in increasing the production, and ways of marketing in the convergency era. The development of creative economy is currently becoming an opportunity for the regional areas to improve small and medium scale economy. One type of creative economy that is growing fast is tapis woven cloth or fabric (tenun kain tapis). Tapis cloth is a traditional woven cloth of Lampung, which in the past was only used during traditional ceremony. However, with the fast-growing modern day fashion, it lifts tapis so that it is not only being a traditionally used cloth but also a fashionable gizmo. Tapis is also being used to accessorize high value items such as bags and shoes. The demand for Tapis as such automatically increases the income of the maker thus develops the business. Data used in this reserach comprised of primary and secondary data. The techniques of collecting data included observation, documentation, and in depth interview. Snowball sampling was applied to choose the samples. Data were analyzed qualitatively by using descriptive model. The results showed that the empowerment strategy fortapis craftsmen in the convergenct era includes trainings on skill, busines management, and online marketing delivered by Dekranasda as the institution that facilitate tapis craftsmen. Additionally, in order to improve production, the tapis craftsmen also made applied tapis, giving new motives on the tapis cloth and using new type of threads. The craftsmen also did marketing efforts through digital facilities by using online business features or online marketing. Keywords: Community Empowerment Strategy, Tapis Cloth Craftsmen, Convergency",2020-03-13 01:25:44,archive,"[{'type': 'author', 'url': 'http://iicis.fisip.unila.ac.id/'}]",9,,show,EMPOWERMENT STRATEGY FOR BANDAR LAMPUNG TAPIS WOVEN CLOTH CRAFTSMEN IN CONVERGENCY ERA,http://iicis.fisip.unila.ac.id/,published,18647,2020-03-13 01:25:44,61-67,2020-03-13 01:25:44,891,http://repository.lppm.unila.ac.id/id/eprint/18647,public,TRUE,pub,,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 18647, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31819', 'rev_number': 1, 'main': 'Prosiding_EMPOWERMENT_STRATEGY_FOR_BANDAR_LAMPUNG_.pdf', 'docid': 31819, 'files': [{'objectid': 31819, 'uri': 'http://repository.lppm.unila.ac.id/id/file/156654', 'fileid': 156654, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-03-12 08:28:48', 'hash': 'e303015c3b2f817d51b7efedaaafb693', 'filename': 'Prosiding_EMPOWERMENT_STRATEGY_FOR_BANDAR_LAMPUNG_.pdf', 'datasetid': 'document', 'filesize': 1529758}]}]",,['FISIP7'],conference_item,2018-09,disk0/00/01/86/47,,,"[{'id': 'bensosunila@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Benjamin', 'given': 'Benjamin'}}, {'name': {'given': 'DAH', 'lineage': None, 'honourific': None, 'family': 'dewi ayu hidayati'}, 'id': 'dewiayu.hidayati@fisip.unila.ac.id'}, {'id': 'iickmaniez@yahoo.com', 'name': {'given': 'YR', 'honourific': None, 'family': 'yuni ratnasari', 'lineage': None}}, {'name': {'given': 'IGS', 'honourific': None, 'family': 'I Gede Sideman', 'lineage': None}, 'id': None}, {'name': {'given': 'Asnani', 'lineage': None, 'family': 'Asnani', 'honourific': None}, 'id': 'Asnani.mulilampung85@gmail.com'}]",,,,,,paper,International Indonesia Conference on Interdisciplinary Studies Lampung University,Universitas Lampung,9-12 September 2018,conference,,,,
7,"['H1', 'JA']","Tulisan ""Kepemimpinan dan Multikulturalisme di Indonesia"" menyajikan diskursus tentang realitas politik Indonesia kekinian dan direlevansikan dengan gaya kepemimpinan yang berperspektif pada aspek multikulturalisme. Alhasil, pada tulisan ini dinyatakan bahwa ""pemimpin yang baik dan sukses yakni pemimpin yang mampu melindungi sekaligus mengoptimalkan kemajemukan Indonesia untuk kemajuan negara-bangsa yang dipimpinnya secara harmoni dan selaras dengan Pancasila dan tujuan-tujuan kemerdekaan kita"".",2018-10-22 03:06:03,archive,"[{'url': 'http://isbn.perpusnas.go.id/Account/SearchBuku?searchCat=ISBN&searchTxt=978-602-441-050-6', 'type': 'pub'}, {'type': None, 'url': 'https://mizanstore.com/anak_muda_masa_depan_indonesia_60420'}]",9,,show,"Kepemimpinan dan Multikulturalisme di Indonesia, Book Section of ANak Muda dan Masa Depan Indonesia, ISBN: 978-602-441-050-6",http://www.mizan.com/,published,8878,2018-10-22 03:06:03,96-100,2018-10-22 03:06:03,290,http://repository.lppm.unila.ac.id/id/eprint/8878,public,TRUE,pub,,"[{'eprintid': 8878, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Book Section_Teuku Fahmi_ISBN 978-602-441-050-6.pdf', 'docid': 21959, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/86120', 'objectid': 21959, 'mtime': '2018-10-15 12:22:27', 'hash_type': 'MD5', 'filename': 'Book Section_Teuku Fahmi_ISBN 978-602-441-050-6.pdf', 'hash': '722ab95fe336f10c852fa9ebf2f73b66', 'fileid': 86120, 'mime_type': 'application/pdf', 'filesize': 7949791, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/21959', 'rev_number': 1}]",PT Mizan Pustaka,['FISIP7'],book_section,2018-03,disk0/00/00/88/78,,,"[{'name': {'given': 'Teuku', 'lineage': None, 'honourific': None, 'family': 'Fahmi'}, 'id': 'teuku.fahmi@fisip.unila.ac.id'}]",,,978-602-441-050-6,286.0,Anak Muda & Masa Depan Indonesia: Bunga Rampai Pemikiran Anak Muda dari Aceh sampai Papua era Jokowi,,,,,,Indonesia,,,
8,['HM'],SIMILIRITY TEXT,2019-05-22 06:21:20,archive,,6,26.0,show,"Engaging Men: Results of 
the MenCare+ Gender Justice
Program in Indonesia",,,13154,2019-05-22 06:21:20,,2019-05-22 06:21:20,950,http://repository.lppm.unila.ac.id/id/eprint/13154,public,TRUE,pub,1,"[{'docid': 26155, 'main': 'Engaging_Men.pdf', 'files': [{'objectid': 26155, 'uri': 'http://repository.lppm.unila.ac.id/id/file/115559', 'fileid': 115559, 'mime_type': 'application/pdf', 'mtime': '2019-05-22 04:23:29', 'hash_type': 'MD5', 'filename': 'Engaging_Men.pdf', 'hash': '8f432f43d3bf092c89c6b149840a784e', 'datasetid': 'document', 'filesize': 5118854}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26155', 'eprintid': 13154, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",SAGE PUBLICATION,['FISIP7'],article,2018,disk0/00/01/31/54,,Engaging Men: Results of  the MenCare+ Gender Justice Program in Indonesia,"[{'id': 'sindungharyanto@yahoo.co.id', 'name': {'given': 'SINDUNG', 'lineage': None, 'honourific': None, 'family': 'HARYANTO'}}]",,,,,,,,,,,,,,
9,"['H1', 'HM']","This research aimed to describe thoroughly the empowerment strategy for the craftsmen of tenun tapis (tapis woven cloth), the strategy of tapis craftsmen in increasing the production, and ways of marketing in the convergency era. The development of creative economy is currently becoming an opportunity for the regional areas to improve small and medium scale economy. One type of creative economy that is growing fast is tapis woven cloth or fabric (tenun kain tapis). Tapis cloth is a traditional woven cloth of Lampung, which in the past was only used during traditional ceremony. However, with the fast-growing modern day fashion, it lifts tapis so that it is not only being a traditionally used cloth but also a fashionable gizmo. Tapis is also being used to accessorize high value items such as bags and shoes. The demand for Tapis as such automatically increases the income of the maker thus develops the business. Data used in this reserach comprised of primary and secondary data. The techniques of collecting data included observation, documentation, and in depth interview. Snowball sampling was applied to choose the samples. Data were analyzed qualitatively by using descriptive model. The results showed that the empowerment strategy fortapis craftsmen in the convergenct era includes trainings on skill, busines management, and online marketing delivered by Dekranasda as the institution that facilitate tapis craftsmen. Additionally, in order to improve production, the tapis craftsmen also made applied tapis, giving new motives on the tapis cloth and using new type of threads. The craftsmen also did marketing efforts through digital facilities by using online business features or online marketing. Keywords: Community Empowerment Strategy, Tapis Cloth Craftsmen, Convergency",2019-04-05 08:08:13,archive,"[{'url': 'http://fisip.unila.ac.id/', 'type': 'org'}]",7,1.0,show,EMPOWERMENT STRATEGY FOR BANDAR LAMPUNG TAPIS WOVEN CLOTH CRAFTSMEN IN CONVERGENCY ERA,http://iicis.fisip.unila.ac.id/,published,10840,2019-04-05 08:08:13,61-67,2019-04-05 08:08:13,891,http://repository.lppm.unila.ac.id/id/eprint/10840,public,TRUE,pub,1,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23855', 'main': 'Prosiding IICIS.pdf', 'docid': 23855, 'files': [{'objectid': 23855, 'uri': 'http://repository.lppm.unila.ac.id/id/file/99834', 'datasetid': 'document', 'filesize': 1268832, 'mime_type': 'application/pdf', 'fileid': 99834, 'hash': '91cff639d1c2668a08a1ecef17e7300b', 'filename': 'Prosiding IICIS.pdf', 'mtime': '2019-02-25 11:24:46', 'hash_type': 'MD5'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 10840, 'placement': 1, 'security': 'public'}]",LPPM University of Lampung (Unila),['FISIP7'],article,2018-12-01,disk0/00/01/08/40,,Proceeding of International Indonesia Conference on Interdisciplinary Studies Lampung University,"[{'name': {'family': 'HIDAYATI', 'honourific': None, 'lineage': None, 'given': 'DEWI AYU'}, 'id': 'dewiayu.hidayati@fisip.unila.ac.id'}, {'id': 'iickmaniez@yahoo.com', 'name': {'given': 'Yuni', 'lineage': None, 'family': 'ratnasari', 'honourific': None}}, {'id': 'igede.sidemen@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Sidemen', 'lineage': None, 'given': 'i Gede'}}, {'name': {'lineage': None, 'family': 'Asnani', 'honourific': None, 'given': 'Asnani'}, 'id': 'Asnani.mulilampung85@gmail.com'}]",978-602-50756-2-9,,,,,,,,,,,,,
