,lastmod,userid,datestamp,publisher,documents,ispublished,contributors,full_text_status,uri,type,contact_email,divisions,funders,creators,dir,date,eprint_status,status_changed,abstract,subjects,title,official_url,metadata_visibility,rev_number,eprintid,date_type,id_number,related_url,number,volume,publication,issn,pagerange,refereed,place_of_pub,isbn,pages,book_title,event_title,event_type,event_dates,corp_creators,pres_type,event_location,referencetext
0,2022-01-06 01:13:25,19826,2022-01-06 01:13:25,FIAN Indonesia,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 37621, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158552', 'format': 'text', 'pos': 1, 'files': [{'objectid': 158552, 'uri': 'http://repository.lppm.unila.ac.id/id/file/429323', 'mime_type': 'application/pdf', 'fileid': 429323, 'filename': 'Policy Brief FIAN Indonesia_Badan Pangan Daerah_2021.pdf', 'hash': 'cad689989b98116fdc49ecdbf2439072', 'hash_type': 'MD5', 'mtime': '2022-01-05 06:54:28', 'datasetid': 'document', 'filesize': 412050}], 'docid': 158552, 'main': 'Policy Brief FIAN Indonesia_Badan Pangan Daerah_2021.pdf'}]",pub,"[{'name': {'given': 'Fuad', 'family': 'Abdulgani', 'honourific': None, 'lineage': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",public,http://repository.lppm.unila.ac.id/id/eprint/37621,other,fuad.abdulgani@fisip.unila.ac.id,['FISIP7'],['FIAN Indonesia'],"[{'name': {'honourific': None, 'family': 'Abdulgani', 'lineage': None, 'given': 'Fuad'}, 'id': 'fuad.abdulgani@fisip.unila.ac.id'}]",disk0/00/03/76/21,2021-06-06,archive,2022-01-06 01:13:25,"Praktik kebijakan pangan yang mengutamakan peningkatan produksi skala nasional melalui model
pertanian lahan-luas dan padat modal serta absennya kelembagaan negara di bidang pangan dalam
proses kebijakan berdampak pada kurangnya pemenuhan hak atas pangan dan gizi layak khususnya
bagi kelompok masyarakat yang rentan. Badan pangan nasional yang akan ditetapkan dalam waktu
dekat ini pun cenderung akan menjadi pelaksana semata dari kebijakan yang sudah ada dan
terbatasi dalam kepengaturan kebijakan yang bersifat korporatis-industrial. Meski demikian,
pandemi COVID-19 telah membuka momentum “balikan lokal” yang menunjukkan pentingnya
penguatan sistem pangan lokal bagi ketahanan pangan masyarakat. Hal ini perlu direspon oleh
pemerintah dengan menguatkan penyelenggaraan pangan di daerah diantaranya dengan
membentuk badan pangan daerah yang dapat berperan dalam mengelola cadangan pangan
masyarakat serta membangun sistem informasi pangan bersama pemerintah untuk menyediakan
basis perencanaan pangan yang tangguh dan berkelanjutan.",['H1'],Mendesak Pembentukan Badan Pangan Daerah: Alternatif di Tengah Kebijakan yang Negara-Sentris,http://fian-indonesia.org/policy-brief-mendesak-pembentukan-badan-pangan-daerah/,show,7,37621,published,,,,,,,,,,,,,,,,,,,
1,2021-11-14 02:08:12,742,2021-11-14 02:08:12,Universitas Lampung,"[{'eprintid': 36713, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': 'Laporan Penelitian DIPA BLU Unila_Anita Damayantie.pdf', 'docid': 157628, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/422627', 'objectid': 157628, 'hash': 'f0e4c0b9d6f6d37083d76ec5fbb8d9ec', 'filename': 'Laporan Penelitian DIPA BLU Unila_Anita Damayantie.pdf', 'hash_type': 'MD5', 'mtime': '2021-11-13 18:55:54', 'mime_type': 'application/pdf', 'fileid': 422627, 'filesize': 1508070, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/157628', 'rev_number': 1}]",unpub,,public,http://repository.lppm.unila.ac.id/id/eprint/36713,other,,['FISIP7'],,"[{'name': {'lineage': None, 'family': 'Anita Damayantie', 'honourific': None, 'given': 'Anita'}, 'id': 'anita.damayanti@fisip.unila.ac.id'}, {'name': {'given': 'Pairulsyah', 'lineage': None, 'family': 'Pairulsyah', 'honourific': None}, 'id': 'pairulsyah.1963@fisip.unila.ac.id'}, {'id': 'suwarno.1965@fisip.unila.ac.id', 'name': {'given': 'Suwarno', 'honourific': None, 'family': 'Suwarno', 'lineage': None}}, {'id': 'abdul.syani@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Abdulsyani', 'lineage': None, 'given': 'Abdulsyani'}}]",disk0/00/03/67/13,2021,archive,2021-11-14 02:08:12,"Penelitian ini memiliki implikasi besar bagi perumus kebijakan terutama Pemerintah Kabupaten Lampung Selatan bersama pemerintahan adat setempat dalam upaya pencegah terjadinya konflik, sebab tujuan pelestarian prinsip nengah-nyappur adalah agar segenap pimpinan daerah dan pennyimbang adat mampu menata sikap perilaku warga adat agar dalam segala kegiatan pergaulan dan kerjasama selalu dalam kondisi rukun, serasi dan dapat memelihara persatuan. Dengan adanya persatuan antara warga adat setempat, maka diharakan dapat terhindar dari konflik, baik yang bersifat laten maupun manifest. Kecuali itu diharapkan warga adat setempat dapat saling terbuka satu sama lain dalam menghadapi berbagai masalah. Pada akhirnya hasil penelitian ini dapat dijadikan dasar pemerintah dalam mempersatukan warga masyarakarat pada umumnya. Tujuan penelitian ini adalah untuk mengetahui makna dan fungsi kearifan lokal nengah-nyappur, upaya pelestarian makna dan fungsi kearifan lokal nengahnyappur, strategi upaya pelestarian makna dan fungsi kearifan lokal nengahnyappur, dan untuk mengetahui faktor-faktor penghambat upaya pelestarian makna dan fungsi kearifan lokal nengah-nyappur pada masyarakat adat Marga Legun Paksi Bulok, Kalianda, Lampung Selatan. Pendekatan yang dipakai dalam penelitian ini merupakan pendekatan kualitatif. Metode kualitatif ini dalam prakteknya akan berusaha memahami dan menafsirkan interaksi tingkah laku manusia dalam situasi tetentu yang mengutamakan penghayatan (verstehen). Tujuannya adalah untuk membuat sebuah gambaran secara sistematis, faktual dan akurat mengenai fakta-fakta, sifatsifat serta hubungan antara fenomena yang diselidiki. Metode ini cukup relevan untuk diterapkan dalam memperoleh gambaran mengenai nilai kearifan lokal nengah-nyappur latar, makna dan fungsi nengah-nyappur dalam kehidupan masyarakat di wilayah Kabupaten Lampung Selatan. Di samping untuk dapat menggali lebih dalam tentang realitas sikap perilaku kearifan lokal nengahnyappur dalam masyarakat setempat. Hasil penelitian menunjukkan bahwa: a). Fungsi Nengah_nyappur yaitu memelihara kepedulian dalam pelayanan kepada masyarakat, memelihara rasa tanggung jawab, meningkatkan disiplin kerja, menumbuhkan toleransi dalam masyarakat multi kultur, menciptakan pelayanan prima kepada masyarakat, dan memperkuat ikatan solidaritas sosial; b). Strategi Perapan Prinsip Nilai Nengahnyappur yaitu: membuat sanggar budaya, membuat lembaga penyibang adat, dan memperkuat sumber daya masyarakat; dan c). Faktor-faktor Penghambat Pelestarian Nengah Nyappur yaitu: masuknya budaya asing, perubahan pola piker masyarakat, dan kesalahpahaman terhadap nilai-nilai Nengah-nyappur. 

Kata Kunci: Nengah-Nyappur, Makna dan Fungsi Kearifan Lokal, Masyarakat Adat",['H1'],"NENGAH-NYAPPUR (Studi Makna dan Fungsi Kearifan Lokal NengahNyappur pada Masyarakat Adat Marga Legun Paksi Bulok, Kalianda, Lampung Selatan)",,show,8,36713,,,,,,,,,,,,,,,,,,,,
2,2022-03-08 07:21:20,20737,2022-03-08 07:21:20,International Journal of Current Science Research and Review,"[{'security': 'public', 'placement': 1, 'eprintid': 39931, 'content': 'other', 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'fileid': 447057, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-03-08 04:37:23', 'hash': 'e6b59ba9a4f6bfdda37149263ca1034f', 'filename': 'Peer Review.pdf', 'datasetid': 'document', 'filesize': 542582, 'objectid': 161221, 'uri': 'http://repository.lppm.unila.ac.id/id/file/447057'}], 'docid': 161221, 'main': 'Peer Review.pdf', 'formatdesc': 'Peer Review', 'uri': 'http://repository.lppm.unila.ac.id/id/document/161221', 'rev_number': 2, 'format': 'text', 'pos': 1}]",pub,"[{'name': {'given': 'Asnani', 'lineage': None, 'honourific': None, 'family': 'Asnani'}, 'id': 'asnani@fisip.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",public,http://repository.lppm.unila.ac.id/id/eprint/39931,other,asnani@fisip.unila.ac.id,['FISIP7'],,"[{'name': {'given': 'Asnani', 'honourific': None, 'family': 'Asnani', 'lineage': None}, 'id': 'asnani@fisip.unila.ac.id'}]",disk0/00/03/99/31,2021-07-08,archive,2022-03-08 07:21:20,Peer Review,['HM'],The Contribution of Sugarcane Partnership for the Livelihood Structure and the Development of Rural Areas in Lampung Province of Indonesia,https://ijcsrr.org/,show,8,39931,completed,DOI: 10.47191/ijcsrr/V4-i7-08,"[{'url': 'https://ijcsrr.org/single-view/?id=4006&pid=3937', 'type': 'pub'}]",,,,,,,,,,,,,,,,,
3,2022-03-08 07:21:06,20737,2022-03-08 07:21:06,IJCSRR,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 39926, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161216', 'rev_number': 1, 'docid': 161216, 'main': 'PENGESAHAN+PUBLISH08-08-2021_ASNANI.pdf', 'files': [{'objectid': 161216, 'uri': 'http://repository.lppm.unila.ac.id/id/file/447020', 'datasetid': 'document', 'filesize': 829073, 'mime_type': 'application/pdf', 'fileid': 447020, 'filename': 'PENGESAHAN+PUBLISH08-08-2021_ASNANI.pdf', 'hash': '1d2fbcbfe6fdfcff4964d285450be2ef', 'hash_type': 'MD5', 'mtime': '2022-03-08 04:06:59'}]}]",pub,"[{'name': {'given': 'Asnani', 'lineage': None, 'honourific': None, 'family': 'Asnani'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'asnani@fisip.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Dharmawan', 'given': 'Arya Hadi'}, 'id': None, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': None, 'name': {'lineage': None, 'family': 'Juanda', 'honourific': None, 'given': 'Bambang'}}, {'name': {'given': 'Dudung', 'lineage': None, 'family': 'Darusman', 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': None}]",public,http://repository.lppm.unila.ac.id/id/eprint/39926,article,asnani@fisip.unila.ac.id,['FISIP7'],,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Asnani', 'given': 'Asnani'}}, {'name': {'given': 'Arya Hadi', 'lineage': None, 'honourific': None, 'family': 'Dharmawan'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Juanda', 'given': 'Bambang'}}, {'name': {'given': 'Dudung', 'family': 'Darusman', 'honourific': None, 'lineage': None}}]",disk0/00/03/99/26,2021-07-08,archive,2022-03-08 07:21:06,"Sugarcane is a mainstay commodity crop as raw materials for sugar. Therefore, increasing domestic production through partnerships is an effort to suppress the high value of imports. The purposes of this study are to identify the farmer's household land use, to analyze the income structure and livelihood strategies, and then to conduct an economic dependency analysis on the sugarcane industry in relation to rural area development. The research method used a survey approach of 131 households and interviews with the head of village and the heads of farmer groups. For data analysis, descriptive statistics and analysis of farm income were used. The results show that farmers use land for sugarcane partnership with a choice of Kerjasama Operasional (KSO)
or operational cooperation, the Independence (Mandiri), and Hutan Tanaman Industri (HTI) or industrial forest plantation
partnership. The sources of livelihood structure of farmers are from non-sugarcane agriculture, sugarcane farming, Non-Timber Forest Products (HHNK), and non-farm. Engaging in sugarcane partnership is a new livelihood strategy for the rural communities surrounding the plantations with benefits that are affected by the area of owned land. While farmers who do not own land, they earn a living by becoming plantation laborers. Farmer involvement in sugarcane partnership contributes to the household income, the
existence of uneven welfare, and the emergence of household economic dependence on sugarcane plantations. The sugarcane
partnership is a source of income and an engine of rural economic growth; however, the realization of sustainable rural development has not yet emerged.

KEYWORDS: Economic Dependence, Livelihood, Rural Development, Sugarcane Partnership",['HM'],The Contribution of Sugarcane Partnership for the Livelihood Structure and the Development of Rural Areas in Lampung Province of Indonesia,https://ijcsrr.org/,show,11,39926,published,DOI: 10.47191/ijcsrr/V4-i7-08,"[{'type': 'pub', 'url': 'https://ijcsrr.org/single-view/?id=4006&pid=3937'}]",7.0,4,International Journal of Current Science Research and Review,2581-8341,667-676,TRUE,,,,,,,,,,,
4,2021-11-19 01:07:30,19674,2021-11-19 01:07:30,Universitas Lampung,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/157938', 'rev_number': 1, 'main': 'document.pdf', 'docid': 157938, 'files': [{'hash_type': 'MD5', 'mtime': '2021-11-18 16:07:03', 'hash': 'f80a8cdcb1e7b2b05ec8a4288f71c652', 'filename': 'document.pdf', 'fileid': 424892, 'mime_type': 'application/pdf', 'filesize': 223329, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/424892', 'objectid': 157938}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 37025, 'placement': 1, 'security': 'public'}]",pub,,public,http://repository.lppm.unila.ac.id/id/eprint/37025,article,,['FISIP7'],,"[{'name': {'honourific': None, 'family': 'Azis Amriwan', 'lineage': None, 'given': 'Azis'}, 'id': 'azis.amriwan@fisip.unila.ac.id'}]",disk0/00/03/70/25,2021-09,archive,2021-11-19 01:07:30,"Penelitian ini bertujuan untuk menjelaskan dinamika yang terjadi dalam  pelaksanaan program pemberdayaan masyarakat pesisir. Penelitian ini juga ingin melihat  proses reproduksi praktik dominasi dalam masyarakat pesisir yang menjadi faktor penghambat dalam pemberdayaan nelayan. Penelitian ini menggunakan pendekatan kualitatif dengan metode deskriptif untuk menggali relasi sosial dalam masyarakat pesisir yang melibatkan nelayan, juragan (taweu),
kelompok nelayan dan pemerintah dalam perspektif strukturasi Giddens. Hasil penelitian menunjukkan bahwa program pemberdayaan masyarakat pesisir di Palabuhanratu Kabupaten
Sukabumi bersifat charity berupa Bantuan Langsung Masyarakat (BLM) dan bersifat stimulus seperti program Pengembangan Usaha Mina Perdesaan (PUMP) Perikanan Tangkap. Konsep
pemberdayaan semacam ini hanya bersifat sementara, parsial dan belum menyentuh persoalan utama dalam struktur sosial masyarakat pesisir yang bersifat patron-klien. Nelayan merupakan kelompok masyarakat pesisir yang paling sulit untuk keluar dari jaring kemiskinan. Kebijakan pemerintah dalam pembangunan sektor kelautan dan perikanan, mekanisme pasar, dan dominasi kelompok nelayan  (KUB) oleh juragan (taweu), menyebabkan nelayan mengalami ketergantungan
terhadap akses (jaringan, modal dan pengetahuan) sebagai bentuk dominasi struktural. Temuan penelitian menunjukkan bagaimana nelayan dapat keluar dari jerat kemiskinan ataupun dominasi struktural ketika nelayan menggunakan faktor keagenannya. Praktik sosial yang dialami secara berulang membentuk kesadaran nelayan, yakni memanfaatkan akses yang dimiliki. Dalam konteks program pemberdayaan, nelayan dapat bersikap pragmatis ataupun otonom.  

Kata kunci: Dinamika, Hambatan, Pemberdayaan, Masyarakat Pesisir",['HM'],DINAMIKA DAN HAMBATAN DALAM PEMBERDAYAAN MASYARAKAT PESISIR DI PALABUHANRATU KABUPATEN SUKABUMI,https://jurnalsosiologi.fisip.unila.ac.id/index.php/jurnal,show,6,37025,published,https://doi.org/10.23960/sosiologi.v23i2.164,,2.0,23,Sosiologi: Jurnal Ilmiah Kajian Ilmu Sosial dan Ilmu Budaya,1411-0040,244-263,TRUE,,,,,,,,,,,
5,2021-12-24 07:34:04,19674,2021-12-24 07:34:04,Universitas Lampung,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158331', 'main': 'document (1).pdf', 'docid': 158331, 'files': [{'objectid': 158331, 'uri': 'http://repository.lppm.unila.ac.id/id/file/427685', 'datasetid': 'document', 'filesize': 507421, 'fileid': 427685, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-12-23 11:10:22', 'hash': '087c4232af58f6f1ce6d71d57f6a9be2', 'filename': 'document (1).pdf'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 37408, 'security': 'public', 'placement': 1}]",pub,,public,http://repository.lppm.unila.ac.id/id/eprint/37408,article,,['FISIP7'],,"[{'id': 'azis.amriwan@fisip.unila.ac.id', 'name': {'given': 'Azis', 'lineage': None, 'honourific': None, 'family': 'Azis Amriwan'}}]",disk0/00/03/74/08,2021-09-30,archive,2021-12-24 07:34:04,"Penelitian ini bertujuan untuk menjelaskan dinamika yang terjadi dalam   pelaksanaan program pemberdayaan masyarakat pesisir. Penelitian ini juga ingin melihat   proses reproduksi praktik dominasi  dalam  masyarakat  pesisir  yang  menjadi  faktor  penghambat  dalam  pemberdayaan
nelayan. Penelitian ini menggunakan pendekatan kualitatif dengan metode deskriptif untuk menggali relasi sosial dalam masyarakat pesisir yang melibatkan nelayan, juragan (taweu),
kelompok nelayan dan pemerintah dalam perspektif strukturasi Giddens. Hasil penelitian menunjukkan bahwa program pemberdayaan masyarakat pesisir di Palabuhanratu Kabupaten
Sukabumi bersifat charity berupa Bantuan Langsung Masyarakat (BLM) dan bersifat stimulus seperti program Pengembangan Usaha Mina Perdesaan (PUMP) Perikanan Tangkap. Konsep
pemberdayaan semacam ini hanya bersifat sementara, parsial dan belum menyentuh persoalan utama dalam struktur sosial masyarakat pesisir yang bersifat patron-klien. Nelayan merupakan kelompok masyarakat pesisir yang paling sulit untuk keluar dari jaring kemiskinan. Kebijakan pemerintah dalam pembangunan sektor kelautan dan perikanan, mekanisme pasar, dan dominasi kelompok nelayan (KUB) oleh juragan (taweu), menyebabkan nelayan mengalami ketergantungan
terhadap akses (jaringan, modal dan pengetahuan) sebagai bentuk dominasi struktural. Temuan penelitian menunjukkan bagaimana nelayan dapat keluar dari jerat kemiskinan ataupun dominasi struktural ketika nelayan menggunakan faktor keagenannya. Praktik sosial yang dialami secara berulang membentuk kesadaran nelayan, yakni memanfaatkan akses yang dimiliki. Dalam konteks program pemberdayaan, nelayan dapat bersikap pragmatis ataupun otonom. 
 
Kata kunci: Dinamika, Hambatan, Pemberdayaan, Masyarakat Pesisir",['HM'],DINAMIKA DAN HAMBATAN DALAM PEMBERDAYAAN MASYARAKAT PESISIR DI PALABUHANRATU KABUPATEN SUKABUMI,https://jurnalsosiologi.fisip.unila.ac.id,show,6,37408,published,,,2.0,23,Sosiologi: Jurnal Ilmiah Kajian Ilmu Sosial dan Ilmu Budaya,1411-0040,244-263,TRUE,,,,,,,,,,,
6,2021-12-10 01:09:29,19674,2021-12-10 01:09:29,Jurusan Sosiologi FISIP Unila,"[{'eprintid': 37237, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 158137, 'main': 'Penilaian Sejawat.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/426454', 'objectid': 158137, 'filesize': 2305530, 'datasetid': 'document', 'mtime': '2021-12-09 12:40:09', 'hash_type': 'MD5', 'hash': '980cba3b9c571bb33b43605bc40d0d1b', 'filename': 'Penilaian Sejawat.pdf', 'fileid': 426454, 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158137'}]",pub,,public,http://repository.lppm.unila.ac.id/id/eprint/37237,other,,['FISIP7'],,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Azis Amriwan', 'given': 'Azis'}, 'id': 'azis.amriwan@fisip.unila.ac.id'}]",disk0/00/03/72/37,2021,archive,2021-12-10 01:09:29,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah: Jurnal Ilmiah Nasional Terindeks Sinta 5,['HM'],Dinamika dan Hambatan dalam Pemberdayaan Masyarakat Pesisir di Pelabuhan Ratu Kabupaten Sukabumi,,show,7,37237,,,,,,,,,,,,,,,,,,,,
7,2022-01-10 09:40:09,290,2022-01-10 09:40:09,CV Maslamah Media Mandiri,"[{'placement': 1, 'security': 'public', 'eprintid': 37780, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 158707, 'uri': 'http://repository.lppm.unila.ac.id/id/file/430485', 'mime_type': 'application/pdf', 'fileid': 430485, 'hash': '10d363cbed1b6fbf200c105a888e9384', 'filename': 'Teuku Fahmi_Berjalan Bersama Korban.pdf', 'mtime': '2022-01-10 05:13:42', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 12662784}], 'docid': 158707, 'main': 'Teuku Fahmi_Berjalan Bersama Korban.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/158707', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",pub,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],public,http://repository.lppm.unila.ac.id/id/eprint/37780,book_section,,['FISIP7'],,"[{'id': 'teuku.fahmi@fisip.unila.ac.id', 'name': {'given': 'Teuku', 'family': 'Fahmi', 'honourific': None, 'lineage': None}}]",disk0/00/03/77/80,2021-09,archive,2022-01-10 09:40:09,"Salah satu bentuk pemulihan korban tindak pidana yang diterapkan di Indonesia ialah hak atas restitusi/ganti rugi. Ketentuan ganti rugi bagi korban tindak pidana telah diatur dalam KUHAP Pasal 98 - Pasal 10. Namun, penggabungan perkara gugatan ganti kerugian memiliki beragam masalah dalam tataran implementasi. Karena itu, negara terus berupaya memberikan perhatiannya pada korban. Hal ini ditunjukkan dengan diterbitkannya Undang-Undang RI Nomor 13 tahun 2006 tentang Perlindungan Saksi dan Korban yang kemudian menjadi dasar pembentukan LPSK di tahun 2008. Meskipun terdapat banyak kendala dalam implementasinya, negara harus terus mengupayakan hak korban dengan membuat solusi alternatif, salah satunya adalah restitusi model pelayanan atau community service restitution sebagai upaya pengembangan model restitusi di Indonesia. Dengan cara ini, pelaku bukan hanya dapat “membayar” perbuatannya melalui kontribusi pada masyarakat, tetapi juga dapat menghemat pengeluaran negara untuk biaya pelaku selama berada di penjara. Selain itu, ini juga dapat menjadi pilihan yang adil bagi korban karena dapat memastikan perubahan pelaku, selain itu, pelaku pun tidak perlu berhadapan langsung dengan penjara dan bisa tetap berbaur di masyarakat.","['H1', 'K1']","Restitusi: Hak Pemulihan untuk Korban Tindak Pidana (Regulasi, Implementasi, Reformulasi, hingga Alternatif Program)",https://www.maslamahmediamandiri.com/,show,8,37780,published,,,,,,,227-238,TRUE,Jakarta,978-623-97193-9-5,398.0,Berjalan Bersama Korban: Sejuta Jalan Hadirkan Keadilan,,,,,,,
8,2023-01-11 01:59:48,890,2023-01-11 01:59:48,-,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186801', 'rev_number': 1, 'docid': 186801, 'main': 'jurnal jalan tol.pdf.pdf', 'files': [{'mtime': '2023-01-11 01:47:00', 'hash_type': 'MD5', 'filename': 'jurnal jalan tol.pdf.pdf', 'hash': '269c46e24e15260bd00fdc8203b21427', 'fileid': 522479, 'mime_type': 'application/pdf', 'filesize': 300343, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/522479', 'objectid': 186801}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 47707, 'security': 'public', 'placement': 1}]",pub,,public,http://repository.lppm.unila.ac.id/id/eprint/47707,other,,['FISIP7'],,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Handi Mulyaningsih', 'given': 'Handi'}, 'id': 'handi.mulyaningsih@fisip.unila.ac.id'}]",disk0_bak/00/04/77/07,2021,archive,2023-01-11 01:59:48,,['H1'],Similirity : Impresi Lanjutan Jalan Tol Trans Sumatera Bagi Kondisi Sosial Ekonomi Masyarakat Di Jalur Lintas Sumatera Provinsi Lampung,,show,7,47707,,,,,,,,,,,,,,,,,,,,
9,2021-11-12 07:41:43,502,2021-11-12 07:41:43,DIPA FISIP Universitas Lampung Tahun 2021,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 36409, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157339', 'pos': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'fileid': 420446, 'filename': 'Laporan Penelitian I Gede Sedemen_Analisis Faktor-Faktor Yang Mempengaruhi Sikap Terhadap Perkawinan Anak Pada Kalangan Siswa Sma Di Kabupate.pdf', 'hash': '9d1991cb9fdcd1c0996f452013798dfd', 'hash_type': 'MD5', 'mtime': '2021-11-12 04:01:32', 'datasetid': 'document', 'filesize': 1589830, 'objectid': 157339, 'uri': 'http://repository.lppm.unila.ac.id/id/file/420446'}], 'main': 'Laporan Penelitian I Gede Sedemen_Analisis Faktor-Faktor Yang Mempengaruhi Sikap Terhadap Perkawinan Anak Pada Kalangan Siswa Sma Di Kabupate.pdf', 'docid': 157339}]",pub,,public,http://repository.lppm.unila.ac.id/id/eprint/36409,other,,['FISIP7'],,"[{'name': {'family': 'I gde Sidemen', 'honourific': None, 'lineage': None, 'given': 'IGS'}, 'id': 'gedesidemen@gmail.com'}, {'id': 'muhammadguntur@fisip.unila.ac.id', 'name': {'given': 'Muhammad Guntur', 'honourific': None, 'family': 'Purboyo', 'lineage': None}}]",disk0/00/03/64/09,2021,archive,2021-11-12 07:41:43,"Perkawinan usia anak di Provinsi Lampung sekalipun secara umum lebih
rendah dari tingkat nasional, akan tetapi masih termasuk tinggi dan terindikasi
justru mengalami peningkatan beberapa terakhir.  Masih berlangsungnya
pernikahan usia anak dikalangan   masyarakat, mengindikan   agar   segera  
dilakukan   percepatan pencegahan perkawinan usia anak, terlebih mengingat
dampaknya bagi masa depan anak dan kualitas SDM bangsa.  Penelitian ini
bertujuan: (1) mengetahui hubungan antara variabel-variabel psikososial dengan
sikap terhadap perkawinan anak di kalangan siswa SMP, (2) menganalisis
perbedaan pengetahuan dan sikap antara siswa SMP negeri/umum dengan SMP
sekolah berbasis agama (Islam). Jenis penelitian yang digunakan adalah analitik
korelasional dan komparasional.   Peneliti membangun tesis integrasi antara  
pendekatan psychological social psychology (analisis faktor individual),
sociological social psychology (analisis faktor   hubungan   antarkelompok) dan
social constructionism (analisis faktor masyarakat) untuk menjelaskan fenomena
perkawinan anak di kalangan remaja secara komprehensif. Populasi penelitian ini
adalah siswa SMA di Kabupaten Lampung Timur sebagai representasi daerah
perdesaan (rural). Masing sampel diambil 1 (satu) sekolah negeri/umum dan 1
(satu) sekolah berbasis agama (Islam). Masing-masing sekolah diambil sampel
sebanyak 107 siswa. Total sampel dengan demikian adalah 214 siswa. Variabelvariabel

yang diperhitungkan sebagai variabel yang mempengaruhi adalah:
pendapatan orangtua, selfefficacy, deprivasi relative, media exposure, modal
sosial keluarga, pengetahuan tentang perkawinan anak. Berdasarkan hasil
penelitian diperoleh bahwa secara dominan terdapat 2 varibel yang mempengaruhi
secara signifikan pada sikap menolak seseorang pada pernikahan dini yakni
variable pengetahuan dengan angka signifikansi 0,00 dan variabel deprivasi
relative dengan angka signifikansi 0,002 meskipun secara umum seluruh variable
memiliki konstribusi pada penentuan sikap ini.",['HM'],"Analisis Faktor-Faktor Yang Mempengaruhi Sikap Terhadap Perkawinan
Dini Pada Kalangan Siswa SMA di Kabupaten Lampung Timur.",,show,7,36409,,,,,,,,,,,,,,,,,,,,
