,title,official_url,rev_number,event_type,metadata_visibility,eprint_status,status_changed,succeeds,subjects,abstract,event_title,eprintid,date_type,ispublished,documents,pres_type,uri,full_text_status,refereed,lastmod,userid,datestamp,pagerange,publication,creators,issn,date,dir,type,divisions,volume,related_url,publisher,number,event_location,corp_creators,event_dates,id_number,patent_applicant,funders
0,IKiS Self Service Kiosk for Library Service - Full Cover,https://jurnal.darmajaya.ac.id/index.php/icitb/article/view/1004,7,conference,show,archive,2022-04-06 06:45:04,34225.0,['T1'],"Institutional Repository (IR) Digital Collections in Unila Library is a restricted access collection, it is not directly accessible for users. Transactions such as whole collection information retrieval, printing and payment can be made only through librarians. Sometimes it leads to slow services due to the number of transaction requests queues from users. There were no system or device such as Kiosk that can be used independently for such purposes to minimize or even eliminate queue for librarians. Purpose of this research is to develop a KiosK self-contained system called Interactive Kiosk System (IKiS). IKiS serves for searching, accessing information as well as for self-printing transactions in Unila Library. IKiS hardware development uses hardware interface for input (barcode reader) and output (printer). IKiS casing made in accordance with the size and layout of the device as well as considering user ergonomics. Prototype method used for software development which focuses on functionality and user ergonomic. Data source retrieved from existing system data library which are IR collection on Eprints, ebook collection and ejournal collection on SLiMS. API (Application Programming Interface) is developed for transaction between data source to IKiS software. Testing is done on hardware, software, and both as a whole unit. Based on the test results, IKiS Print Mandiri can work well and meet the functionality required by Unila library. The research succeeded in realizing KiosK's self-service printing system tested on IR Library collection users of Unila Library. Use of the Web Service API and common computer tools make IKiS Independent Print agnostic against the IR Digital Collection system. This provides an opportunity for adoption on a wider scale as an improvement of services in the Library in general. 
 
Keyword: Index Terms—e-Kiosk, Institutional Repository, Library Services, Self-service Printing.",PROCEEDING INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY AND BUSINESS,41135,published,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 41135, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-04-06 06:23:10', 'filename': 'IKiS Self Service Kiosk for Library Service.pdf', 'hash': '3e743b6d19f215b4b2814e566f877610', 'fileid': 456652, 'mime_type': 'application/pdf', 'filesize': 864528, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/456652', 'objectid': 162593}], 'main': 'IKiS Self Service Kiosk for Library Service.pdf', 'docid': 162593, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162593', 'pos': 1, 'format': 'text'}]",paper,http://repository.lppm.unila.ac.id/id/eprint/41135,public,TRUE,2022-04-06 06:45:04,517,2022-04-06 06:45:04,137-142,International Conferences on Information Technology and Business (ICITB),"[{'name': {'lineage': None, 'family': '.', 'honourific': None, 'given': 'Mardiana'}, 'id': 'mardiana@eng.unila.ac.id'}, {'id': 'meizano@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Muhammad', 'lineage': None, 'given': 'Meizano Ardhi'}}]",2460-7223,1970-01-01 00:00:00.000002017,disk0/00/04/11/35,conference_item,['FT8'],,,,,,,,,,
1,"SINKRONISASI DAN INTEGRASI DATABASE HETEROGEN
SISTEM PERPUSTAKAAN UNILA",,7,,show,archive,2018-06-28 01:57:53,,['T1'],"Penggunaan platform database dan aplikasi yang berbeda dalam sebuah sistem, dapat mengakibatkan redudansi data, ketidak konsistenan data ataupun hilangnya integritas data. Kasus ini juga terjadi pada UPT Perpustakaan Unila yang memiliki  sistem otomasi perpustakaan dengan multi database dan  berbeda-beda. Untuk menjamin konsistensi data antara database server yang berbeda platform tersebut, dibutuhkan mekanisme sinkronisasi data yang tidak mudah karena sangat dimungkinkan terjadi konflik data antara database server tersebut. Penelitian ini bertujuan untuk mengembangkan model proses sinkronisasi dan integrasi antara database heterogen pada UPT Perpustakaan serta mendeteksi adanya konflik yang terjadi antar multi database. Pengembangan model sinkronisasi dan integrasi menggunakan Pentaho Data Integration sebagai alat bantu yang memiliki engine sinkronisasi yang bertindak sebagai agen untuk sinkronisasi data antar database yang sama ataupun heterogen. Hasil penelitian berupa model skenario sinkronisasi database perpustakaan Unila. Pengujian sinkronisasi dengan menggunakan contoh kasus pada modul Bibliografi aplikasi ELIBS dan SLiMS yang digunakan di UPT Perpustakaan Unila menunjukkan kesamaan isi tabel pada kedua aplikasi tersebut. 

Kata Kunci : Sinkronisasi , Integrasi, Database, Perpustakaan",,8046,published,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 8046, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 80454, 'hash': 'f77a229fc989b4fad1d1db213e12f063', 'filename': 'Tawit Vol 1 No 3.pdf', 'hash_type': 'MD5', 'mtime': '2018-06-27 14:11:14', 'datasetid': 'document', 'filesize': 1030692, 'objectid': 21076, 'uri': 'http://repository.lppm.unila.ac.id/id/file/80454'}], 'main': 'Tawit Vol 1 No 3.pdf', 'docid': 21076, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21076', 'pos': 1, 'format': 'text'}]",,http://repository.lppm.unila.ac.id/id/eprint/8046,public,FALSE,2018-06-28 01:57:53,517,2018-06-28 01:57:53,15-25,Tawit Pustaka Jurnal Perpustakaan dan Informasi Ilmiah,"[{'id': 'mardiana@eng.unila.ac.id', 'name': {'given': 'Mardiana', 'lineage': None, 'family': '.', 'honourific': None}}, {'id': 'meizano@eng.unila.ac.id', 'name': {'family': 'Muhammad', 'honourific': None, 'lineage': None, 'given': 'Meizano Ardhi'}}, {'id': 'yessi.mulyani@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Mulyani', 'honourific': None, 'given': 'Yessi'}}, {'id': 'despa@eng.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Despa', 'given': 'Dikpride'}}]",25989464,2017-11-01 00:00:00.000000000,disk0/00/00/80/46,article,['FT8'],1,"[{'type': 'pub', 'url': 'http://perpustakaan.lampungprov.go.id'}]",Dinas Perpustakaan dan Kearsipan Provinsi Lampung,3.0,,,,,,
2,MOBILE APPLICATION CINTABAHARI SEBAGAI SARANA PROMOSI POKDARWISPULAU PAHAWANG LAMPUNG,http://jss.lppm.unila.ac.id,8,,show,archive,2018-06-26 08:03:03,,['T1'],"Kelompok  Sadar   Wisata  (Pokdarwis)  adalah  kelembagaan  informal  yang  dibentuk  oleh  anggota masyarakat  dan  merupakan  salah  satu  unsur  pemangku  kepentingan  yang  memiliki  peran  dalam mengembangkan  dan  mewujudkan  Sadar  Wisata  dan  Sapta  Pesona  di  daerahnya. PokdarwisCinta Bahari dibentuk oleh aparat Desa Pulau Pahawang Lampung pada tahun 2013. Akan tetapi rendahnya tingkat  pendidikan  anggota Pokdarwismembuat  mereka  sangat  sulit  untuk  dapat  mengembangkan potensi  wisata  pulau  Pahawang  secara  optimal  hingga  saat  ini.  Solusi  yang  ditawarkan  oleh  Tim Pengabdian  Masyarakat  Unila,  Program  Kemitraan  Masyarakat  (PKM)  adalah  Penerapan  Teknologi Informasi dan Komunikasi (TIK) dalam bentuk aplikasi mobile (mobile application) memberikan ruang baru  dalam  menjangkau  calon  wisatawan.  Perangkat  aplikasi  ini  dikembangkan  dan  dimanfaatkan untuk  menampilkan  informasi  secara  interaktif  sehingga  memungkinkan  masyarakat  calon  wisatawan dapat  mengakses  informasi  secara  langsung  dengan  lebih  mudah,  tepat  guna,  dan  sesuai  kebutuhan. Selain  itu  Tim  PKM  juga  memberikan  pelatihan  dan  praktek  tentang  penggunaan  aplikasi  mobile tersebut,   bagaimana   cara   membuat konten/ mengelola   konten   aplikasi   agar   selalu   update dan terpelihara.  Pelatihan  lain  yang  diberikan  adalah  berupa  ketrampilan  berkomunikasi dan melakukan pemasaran yang effektif  kepada  wisatawan  dengan  menggunakan  alat  bantu  promosi.  Hasil  yang diperoleh  dari  kegiatan  PKM  adalah  berupa  adanya  aplikasi  mobile CintaBahari,  adanya  alat  bantu promosi seperti video profile, brosur, iklan yang dapat digunakan untuk promosi pariwisata. Selain itu bagi PokdarwisPulau  Pahawang,  adanya  peningkatan  pengetahuan  pengelolaan  konten  aplikasi, pengetahuan  cara membuat  alat  bantu  promosidan  pengetahuan  teknik  berkomunikasi.  Dari  data kunjungan wisatawan yang diperoleh selama satu bulan setelah adanya aplikasi dan alat bantu promosi lainnya, terdapat peningkatan kunjungan wisatawan walaupun belum cukup tinggi (hanya 5%). Namundemikian terdapat potensi peningkatan kunjungan wisatawan yang lebih tinggi lagi dengan ketersediaan alat bantu promosi ini yang diharapkan berdampak langsung pada peningkatan omzet bagi Pokdarwis. 
Kata kunci:Aplikasi mobile, CintaBahari, Pokdarwis, Pahawang, Wisata Bahari",,7822,published,pub,"[{'mime_type': 'text/html', 'language': 'en', 'content': 'published', 'eprintid': 7822, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20859', 'docid': 20859, 'main': 24, 'files': [{'objectid': 20859, 'uri': 'http://repository.lppm.unila.ac.id/id/file/70003', 'fileid': 70003, 'mime_type': 'text/html', 'hash_type': 'MD5', 'mtime': '2018-06-26 04:35:17', 'filename': 24, 'hash': 'c0d93038dbd056400077bc546dad3ed9', 'datasetid': 'document', 'filesize': 3585}]}]",,http://repository.lppm.unila.ac.id/id/eprint/7822,public,TRUE,2018-06-26 08:03:03,517,2018-06-26 08:03:03,96-103,SAKAI SAMBAYAN,"[{'name': {'honourific': None, 'family': '.', 'lineage': None, 'given': 'Mardiana'}, 'id': 'mardiana@eng.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Muhammad', 'honourific': None, 'given': 'Meizano Ardhi'}, 'id': 'meizano@eng.unila.ac.id'}, {'id': 'suratoni@gmail.com', 'name': {'family': 'Wijaya', 'honourific': None, 'lineage': None, 'given': 'Toni'}}]",e-ISSN 2550-1089,2017-11-01 00:00:00.000000000,disk0/00/00/78/22,article,['FT8'],Vol 1,"[{'url': 'http://jss.lppm.unila.ac.id/index.php/ojs/article/view/28/24', 'type': 'pub'}]",Lembaga Penelitian dan Pengabdian Kepada Masyarakat,3.0,,,,,,
3,ANALISIS UNJUK KERJA SINGLE PAGE WEB APPLICATION : CYBER MEDIAWALL PERPUSTAKAAN - Full Cover,http://sniper.library.unila.ac.id,6,conference,show,archive,2022-04-06 06:44:27,40582.0,['T1'],"Cyber mediawall sangat dibutuhkan untuk mendukung penyampaian suatu informasi menjadi lebih cepat, tepat dan akurat, terutama untuk penyampaian informasi yang realtime dan bersifat terus menerus. Demikian juga dengan perpustakaan, user membutuhkan informasi mengenai content dan event yang ada di Perpustakaan baik dalam bentuk teks, animasi, video dan suara yang dapat diperoleh dengan cepat, mudah dan menarik. Cyber mediawall ini dikembangkan dengan menerapkan teknologi Single Page Web Application dan menggunakan WebSocket terutama untuk pengambilan data secara real time dan penjadwalan content. Manajemen informasi pun dilakukan dengan mengatur seluruh data yang akan ditampilkan mulai dari proses pemasukkan content, sinkronisasi seluruh content dari server pusat dengan lokal, dan penjadwalan sehingga content dapat ditampilkan secara real time atau sesuai dengan waktu tayang yang diinginkan. Untuk analisa unjuk kerja, aplikasi dibangun dengan dalam dua versi, yaitu dengan menggunakan WebSocket dan dengan Ajax JSON. Hasil pengujian pada Cyber mediawall ini membuktikan bahwa seluruh fitur sudah berjalan sesuai yang diharapkan, WebSocket memiliki kecepatan page load lebih cepat daripada AJAX. Proses yang membutuhkan waktu paling lama pada AJAX adalah proses scripting sedangkan pada Websocket adalah proses rendering.",Semiloka Nasional Inovasi Perpustakaan,41130,published,pub,"[{'docid': 162587, 'main': 'Analisis Unjuk Kerja Single Web Page.pdf', 'files': [{'datasetid': 'document', 'filesize': 1094196, 'fileid': 456617, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-04-06 06:09:47', 'hash': 'c13e42436c16bdb94f206f0ad5fe404f', 'filename': 'Analisis Unjuk Kerja Single Web Page.pdf', 'objectid': 162587, 'uri': 'http://repository.lppm.unila.ac.id/id/file/456617'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162587', 'eprintid': 41130, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",paper,http://repository.lppm.unila.ac.id/id/eprint/41130,public,FALSE,2022-04-06 06:44:27,517,2022-04-06 06:44:27,11-18,,"[{'id': 'mardiana@eng.unila.ac.id', 'name': {'given': 'Mardiana', 'lineage': None, 'family': '.', 'honourific': None}}, {'id': 'robysyahp@gmail.com', 'name': {'lineage': None, 'family': 'Putra', 'honourific': None, 'given': 'Roby Syah'}}, {'id': 'meizano@eng.unila.ac.id', 'name': {'family': 'Muhammad', 'honourific': None, 'lineage': None, 'given': 'Meizano Ardhi'}}]",,2017-10-01 00:00:00.000000000,disk0/00/04/11/30,conference_item,['FT8'],,,,,Bandar Lampung,,,,,
4,Thermal Vision pada Manusia dengan Pengaruh Terhadap Warna Pakaian,https://easychair.org/cfp/ISRSC2017,8,conference,show,archive,2018-04-25 03:42:49,,['TK'],"Machine vision dapat diaplikasikan pada banyak bidang, salah satunya adalah pencitraan manusia. Pencitraan manusia dapat dilakukan dengan menggunakan kamera thermal dengan pendeteksian radiasi panas yang dipancarkan oleh tubuh manusia. Panas tubuh manusia diserap oleh pakaian yang dikenakan sehingga mempengaruhi hasil pencitraan kamera inframerah. Pada penelitian ini akan dilihat bagaimana pengaruh perbedaan warna pakaian terhadap penyerapan panas dari tubuh dan deteksi panas oleh kamera thermal. Dengan menggunakan variasi warna pakaian yang berbeda maka akan dihasilkan citra dengan pola panas tubuh berbeda bergantung pada kecerahan warna pakaian.",The 5th Indonesian Symposium On Robotic Systems and Control 2017,5959,,pub,"[{'files': [{'objectid': 18876, 'uri': 'http://repository.lppm.unila.ac.id/id/file/55267', 'fileid': 55267, 'mime_type': 'application/pdf', 'mtime': '2017-11-18 05:45:58', 'hash_type': 'MD5', 'hash': 'e1a61351e8cd2c22615a54743e6ba01d', 'filename': 'ISRSC2017_paper_57.pdf', 'datasetid': 'document', 'filesize': 986418}], 'main': 'ISRSC2017_paper_57.pdf', 'docid': 18876, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18876', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 5959, 'mime_type': 'application/pdf', 'language': 'en'}]",paper,http://repository.lppm.unila.ac.id/id/eprint/5959,public,TRUE,2018-04-25 03:42:49,471,2018-04-25 03:42:49,,,"[{'id': 'mona.batubara@eng.unila.id', 'name': {'given': 'Mona Arif', 'lineage': None, 'honourific': None, 'family': 'Muda'}}, {'id': 'rizki.alandani@students.unila.ac.id', 'name': {'given': 'Rizki', 'lineage': None, 'honourific': None, 'family': 'Alandani'}}, {'name': {'given': 'Gusti Made', 'lineage': None, 'honourific': None, 'family': 'Arya'}, 'id': 'gusti.made1058@students.unila.ac.id'}]",,2017-07-06 00:00:00.000000000,disk0/00/00/59/59,conference_item,['FT8'],,,,,Bandung,['Universitas Lampung'],6 July 2017,,,
5,Hak Cipta Program Komputer Aplikasi Android Pahawang Travel- Sertifikat dan Deskripsi,,7,,show,archive,2022-04-06 01:21:44,,['T1'],"Aplikasi Android PahawangTravel adalah aplikasi yang menampilkan informasi mengenai pariwisata Pulau Pahawang mengenai rekreasi yang ada, berita tentang pariwisata pulau Pahawang, informasi paket wisata, dan kontak ke pengelola pariwisata Pulau Pahawang.",,41088,published,pub,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162511', 'rev_number': 1, 'docid': 162511, 'main': 'Aplikasi Pahawang Sertifikat-deskripsi.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/456243', 'objectid': 162511, 'hash': '40b48519df60eb0648f3ec54db2b7329', 'filename': 'Aplikasi Pahawang Sertifikat-deskripsi.pdf', 'hash_type': 'MD5', 'mtime': '2022-04-05 12:41:05', 'mime_type': 'application/pdf', 'fileid': 456243, 'filesize': 3097251, 'datasetid': 'document'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 41088, 'security': 'public', 'placement': 1}]",,http://repository.lppm.unila.ac.id/id/eprint/41088,public,,2022-04-06 01:21:44,517,2022-04-06 01:21:44,,,"[{'name': {'honourific': None, 'family': 'Muhammad', 'lineage': None, 'given': 'Meizano Ardhi'}, 'id': 'meizano@eng.unila.ac.id'}, {'id': 'mardiana@eng.unila.ac.id', 'name': {'family': '.', 'honourific': None, 'lineage': None, 'given': 'Mardiana'}}]",,1970-01-01 00:00:00.000002017,disk0/00/04/10/88,patent,['FT8'],,,,,,,,EC00201705342,LPPM Unila,
6,Hak Cipta Program Komputer Aplikasi Android PahawangTravel,https://pdki-indonesia.dgip.go.id/index.php/hakcipta/MkVSMHVFYzMxb1NWQmwzWWhVU1Nydz09,9,,show,archive,2020-09-21 03:27:39,,"['GV', 'T1', 'T201']","Aplikasi Android PahawangTravel adalah aplikasi yang menampilkan informasi mengenai pariwisata Pulau Pahawang mengenai rekreasi yang ada, berita tentang pariwisata pulau Pahawang, informasi paket wisata, dan kontak ke pengelola pariwisata Pulau Pahawang.",,24098,published,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 24098, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/219413', 'objectid': 37801, 'hash_type': 'MD5', 'mtime': '2020-09-20 05:02:52', 'filename': 'EC00201705342-meizano.pdf', 'hash': 'a7ec1bc34c454cc6856d69ff70830001', 'fileid': 219413, 'mime_type': 'application/pdf', 'filesize': 190985, 'datasetid': 'document'}], 'main': 'EC00201705342-meizano.pdf', 'docid': 37801, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37801', 'rev_number': 1, 'format': 'text', 'pos': 1}]",,http://repository.lppm.unila.ac.id/id/eprint/24098,public,,2020-09-21 03:27:39,1199,2020-09-21 03:27:39,,,"[{'id': 'meizano@eng.unila.ac.id', 'name': {'given': 'Meizano Ardhi', 'lineage': None, 'family': 'Muhammad', 'honourific': None}}, {'id': 'mardiana@eng.unila.ac.id', 'name': {'given': 'Mardiana', 'honourific': None, 'family': '.', 'lineage': None}}]",,2017-09-17 00:00:00.000000000,disk0/00/02/40/98,patent,['FT8'],,,,,,,,EC00201705342,Lembaga Penelitian dan Pengabdian kepada Masyarakat Universitas Lampung,['Universitas Lampung']
7,WEB SERVICE PENCARIAN KOLEKSI REPOSITORY PERPUSTAKAAN PADA APLIKASI - Full Cover,http://sniper.library.unila.ac.id,6,conference,show,archive,2022-04-06 06:09:40,40586.0,['T1'],"Institutional Repository (IR) adalah sarana penting bagi universitas untuk menyimpan bahan-bahan digital, dan termasuk upaya untuk pengorganisasian, akses dan pendistribusian yang baik untuk karya-karya akademik yang dimilikinya. Tantangan dari penggunaan IR adalah bagaimana menjamin koleksi yang dimiliki oleh universitas, khususnya perpustakaan, dapat didistribusikan dengan baik terhadap civitas akademika yang berhak mengaksesnya. API (Application Programming Interface) Web Service adalah salah satu cara yang dapat digunakan sebagai cara akses data oleh perangkat lunak tanpa terikat dengan perangkat lunak itu sendiri. Sehingga, penggunaan API Web Service dapat mengurangi waktu yang diperlukan untuk pengembangan perangkat lunak karena cara akses data seragam. Tujuan penelitian ini adalah untuk mengembangkan API web service IR yang berfungsi untuk mengoptimalkan layanan koleksi IR, khususnya untuk pencarian dokumen pada aplikasi Eprints yang tidak mendukung API Web Service. API Web Service IR dikembangkan menggunakan metode Rapid Application Development (RAD) yang memungkinkan dilakukannya iterasi revisi dengan cepat. Pembuatan API Web Service menggunakan bahasa PHP dengan dua skenario yaitu generasi data secara real-time dan generasi data periodik. Berdasarkan hasil uji skenario, diketahui bahwa skenario generasi data secara real-time membutuhkan waktu yang lebih lama dalam memperoleh data. Sedangkan, generasi data periodik memiliki performansi yang cepat walau pun jika ada data baru yang masuk, sebelum periode generasi data, menjadi tidak tersedia. Karena penggunaan di setiap universitas berbeda, kedua skenario ini harus dipertimbangkan dalam memilih model generasi data yang diperlukan. Dengan penerapan API Web Service untuk pencarian koleksi repository pada aplikasi EPrints, layanan perpustakaan Unila telah dihadirkan dalam bentuk KiosK untuk layanan bersifat mandiri.",Semiloka Nasional Inovasi Perpustakaan,41128,submitted,pub,"[{'docid': 162584, 'main': 'Web Service Pencarian Koleksi Repository.pdf', 'files': [{'objectid': 162584, 'uri': 'http://repository.lppm.unila.ac.id/id/file/456587', 'mime_type': 'application/pdf', 'fileid': 456587, 'hash': '210aa428628c2945c5b5184485801bf9', 'filename': 'Web Service Pencarian Koleksi Repository.pdf', 'hash_type': 'MD5', 'mtime': '2022-04-06 06:02:06', 'datasetid': 'document', 'filesize': 1274027}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/162584', 'rev_number': 1, 'eprintid': 41128, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",paper,http://repository.lppm.unila.ac.id/id/eprint/41128,public,FALSE,2022-04-06 06:09:40,517,2022-04-06 06:09:40,227-235,,"[{'id': 'meizano@eng.unila.ac.id', 'name': {'given': 'Meizano Ardhi', 'honourific': None, 'family': 'Muhammad', 'lineage': None}}, {'name': {'lineage': None, 'family': '.', 'honourific': None, 'given': 'Mardiana'}, 'id': 'mardiana@eng.unila.ac.id'}, {'id': 'yessi.mulyani@eng.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Mulyani', 'given': 'Yessi'}}, {'name': {'given': 'Dikpride', 'lineage': None, 'family': 'Despa', 'honourific': None}, 'id': 'despa@eng.unila.ac.id'}]",,2017-10-01 00:00:00.000000000,disk0/00/04/11/28,conference_item,['FT8'],,,,,Bandar Lampung,,,,,
8,Mobile Dictionary Aksara Lampung Berbasis Teknologi SPA (Single Webpage Application),http://electrician.unila.ac.id/index.php/ojs/article/view/2025/,12,,show,archive,2017-06-02 05:24:34,,"['HN', 'T1']","Lampung have a language, tailored to the region tradition, used daily as a means of communication and interaction among community members of tribes or ethnic groups in Lampung province. scripts used in the Lampung local language script is Khaganga, orthographic system derive from regional community literacy and literacy system to write the local language. Lampung scripts have different ways of writing than the western alphabet. Lampung script writing is similar to the writing of Arabic language, which is in the vocal punctuation above or below or next to the script. Based on research that has been done before, the computer font of Lampung script created following the rules of computer font standard. Thus, information systems need to be made to utilize the fonts that have been created to store word written using Lampung script. The study was conducted over five months in the Laboratory of Computer Engineering Department of Electrical Engineering and Regional Library of Lampung Province. RAD (Rapid Application Development) is used as the development method, which iterate improvements in each phase of software development. The technology used is HTML, CSS, and JavaScript. CASE Tools, such as Brackets IDE, GIT, and Google Chrome, is used in the development. There are two result achieve in this study, which are, first, word written using Lampung script database and, second, Lampung script mobile dictionary as the interface. Mobile dictionary can translate Indonesian words into Lampung script together with its Indonesian transliteration and conversely. Development of Lampung script mobile dictionary using SPA technology also allows the application to be opened in the web browser and function even after Internet connection goes offline. Lampung script Mobile Dictionary, with the support of SPA technology, is successfully developed and all functional needs implemented.",,2521,published,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'content': 'published', 'eprintid': 2521, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2407', 'docid': 2407, 'main': '2025-300-1-PB.pdf', 'files': [{'datasetid': 'document', 'filesize': 328395, 'mime_type': 'application/pdf', 'fileid': 17437, 'hash': 'c3a2c424bff6f7708352c42a8c713625', 'filename': '2025-300-1-PB.pdf', 'mtime': '2017-05-31 07:03:38', 'hash_type': 'MD5', 'objectid': 2407, 'uri': 'http://repository.lppm.unila.ac.id/id/file/17437'}]}]",,http://repository.lppm.unila.ac.id/id/eprint/2521,public,TRUE,2017-06-02 05:24:34,1199,2017-06-02 05:24:34,66-71,ELECTRICIAN – Jurnal Rekayasa dan Teknologi Elektro,"[{'id': 'meizano@eng.unila.ac.id', 'name': {'given': 'Meizano Ardhi', 'lineage': None, 'family': 'Muhammad', 'honourific': None}}, {'name': {'lineage': None, 'honourific': None, 'family': '.', 'given': 'Martinus'}, 'id': 'martinus@eng.unila.ac.id'}]",1978-6042,2017-05-01 00:00:00.000000000,disk0/00/00/25/21,article,['FT8'],11,,Universitas Lampung,2.0,,,,,,
9,Smart System Monitoring of Gradient Soil Temperature at the Anak Krakatoa - similarity check and corresponding email,,8,,show,archive,2022-11-14 12:45:01,,['AC'],,,46643,published,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 46643, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185543', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 7013583, 'mime_type': 'application/pdf', 'fileid': 513986, 'hash': '3b9ec68dd44e7d2b1fabf537bbd031de', 'filename': 'screencapture-unila-turnitin-viewer-submissions-oid-7867-26859303-2022-11-14-19_42_17.pdf', 'mtime': '2022-11-14 12:43:20', 'hash_type': 'MD5', 'objectid': 185543, 'uri': 'http://repository.lppm.unila.ac.id/id/file/513986'}], 'docid': 185543, 'main': 'screencapture-unila-turnitin-viewer-submissions-oid-7867-26859303-2022-11-14-19_42_17.pdf'}, {'docid': 185544, 'main': 'unila.ac.id Mail - Status has been changed for your article No. 31960-AJIT.pdf', 'files': [{'filename': 'unila.ac.id Mail - Status has been changed for your article No. 31960-AJIT.pdf', 'hash': 'f60e4095558557fef6cf6303127706af', 'hash_type': 'MD5', 'mtime': '2022-11-14 12:43:24', 'mime_type': 'application/pdf', 'fileid': 513988, 'filesize': 495688, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/513988', 'objectid': 185544}], 'pos': 2, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185544', 'rev_number': 1, 'eprintid': 46643, 'placement': 2, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",,http://repository.lppm.unila.ac.id/id/eprint/46643,public,,2022-11-14 12:45:01,1,2022-11-14 12:45:01,,,"[{'id': 'gigih@eng.unila.ac.id', 'name': {'given': 'Gigih Forda', 'lineage': None, 'family': 'Nama', 'honourific': None}}]",,1970-01-01 00:00:00.000002017,disk0/00/04/66/43,other,['FT8'],,,Medwell Journal,,,,,,,
