,official_url,title,metadata_visibility,event_type,rev_number,eprint_status,status_changed,abstract,subjects,eprintid,event_title,documents,pres_type,ispublished,refereed,uri,full_text_status,lastmod,userid,datestamp,pagerange,creators,dir,date,type,divisions,publisher,number,issn,publication,volume,patent_applicant,id_number,funders,date_type,contact_email,related_url,event_dates,event_location
0,http://sniper.library.unila.ac.id,"MODEL 3 DIMENSI GEDUNG SEBAGAI BASIS UNTUK MEMBANTU 
NAVIGASI PENGUNJUNG PERPUSTAKAAN",show,conference,9,archive,2019-05-09 03:11:15,"Penelitian ini merupakan bagian dari penelitian yang bertujuan untuk mengembangkan sistem navigasi pengunjung UPT Perpustakaan Unila. Paparan pada makalah ini mengenai aplikasi pemodelan 3 dimensi (3D) sebagai pathfinding yang menemukan rute lokasi yang dituju pengunjung. Dengan bantuan tampilan model 3D tersebut, pegunjung mendapatkan informasi yang mengarahkan secara langsung kelokasi atau ruangan yang ingin dituju. Model 3D digambarkan dalam bentuk desain layout ruang pada tiga lantai gedung UPT Perpustakaan Unila dan karakter pengunjung. Ketika menggunakan aplikasi, pengunjung hanya memberikan inputan berupa posisi atau lokasi yang ingin dituju, kemudian karakter pada model akan tampil menelusuri desain layout dan menunjukkan  jalur alternatif mana yang dapat di tempuh oleh pengunjung. Penggambaran desain layout ruang dan karakter pengunjung menggunakan game engine Unity 3D. Desain karakter menggunakan NPC (non Player Control) yang akan mencari titik tujuannya secara acak dan akan mengulangi proses ini setelah sampai dititik tujuan, hingga selesai seluruh rute tempuh. Metode yang digunakan dalam penelitian adalah metode User Experience (UX). Hasil penelitian berupa aplikasi pemodelan 3D yang berhasil dibangun dan dapat dijalankan menggunakan perangkat laptop maupun smartphone. Dari hasil pengujian, aplikasi dapat menunjukkan arah ruangan dengan beberapa alternatif rute, dan berfungsi sesuai dengan kebutuhan pengguna yaitu desain layout 3D ruang yang sesuai aslinya dengan posisi karakter pengunjung yang tepat. 

Kata kunci :  Model 3D , Perpustakaan , Unity, User Experience (UX)",['T1'],12055,Prosiding Seminar Nasional Inovasi Perpustakaan 2018,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 12055, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25040', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/107880', 'objectid': 25040, 'hash_type': 'MD5', 'mtime': '2019-05-08 07:21:12', 'hash': '8ee6c7ad132ed22dc29080e085545d01', 'filename': 'p-Prosiding SNIPer 2018 Model 3D.pdf', 'fileid': 107880, 'mime_type': 'application/pdf', 'filesize': 1296791, 'datasetid': 'document'}], 'main': 'p-Prosiding SNIPer 2018 Model 3D.pdf', 'docid': 25040}]",paper,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/12055,public,2022-12-05 04:23:31,517,2019-05-09 03:11:15,93-99,"[{'id': None, 'name': {'family': '.', 'honourific': None, 'lineage': None, 'given': 'Ginanjar'}}, {'id': 'mardiana@eng.unila.ac.id', 'name': {'family': '.', 'honourific': None, 'lineage': None, 'given': 'Mardiana'}}, {'id': 'meizano@eng.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Muhammad', 'given': 'Meizano Ardhi'}}, {'name': {'given': 'Wahyu Eko', 'lineage': None, 'honourific': None, 'family': 'Sulistiono'}, 'id': 'eko@eng.unila.ac.id'}]",disk0/00/01/20/55,2018-12-01 00:00:00.000000000,conference_item,['FT8'],,,,,,,,,,,,,
1,,PENGUJIAN DAN EVALUASI SISTEM NAVIGASI KOLEKSI PERPUSTAKAAN,show,,8,archive,2019-05-09 01:53:28,"Penelitian ini mengenai aplikasi sistem navigasi koleksi perpustakaan dengan Web Augmented Reality (AR) yang digunakan untuk menemukan rute lokasi yang dituju pengunjung Perpustakaan Universitas Lampung. Paparan yang disampaikan pada tulisan ini berupa pengujian dan evaluasi sistem navigasi tersebut. Metode yang digunakan dalam pengembangan sistem adalah metode prototyping. Pengujian dan evaluasi sistem menghasilkan pathfinding navmesh yang ada pada game angine unity dapat mempermudah pengunjung untuk menemukan lokasi yang dituju, penggambaran pengunjung pada pathfinding berjalan sesuai masukan pengguna menuju lokasi yang dituju. Pengujian menggunakan kuesioner atau UAT (user acceptance test) untuk sistem navigasi secara keseluruhan dapat diterima dengan baik, dengan perolehan nilai baik sebesar 48%, kemudian nilai cukup sebesar 13%, nilai sangat baik sebesar 36% dan nilai kurang adalah 3%.

Kata kunci : Sistem Navigasi, Augmented Reality, Perpustakaan , User acceptance test",['T1'],12047,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/25032', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 25032, 'uri': 'http://repository.lppm.unila.ac.id/id/file/107802', 'fileid': 107802, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-05-08 06:57:07', 'filename': 'Tawit Pustaka No 3.pdf', 'hash': '6690dedb29bc30240c4d2c13676f4797', 'datasetid': 'document', 'filesize': 1186799}], 'docid': 25032, 'main': 'Tawit Pustaka No 3.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 12047}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/12047,public,2022-12-05 04:21:49,517,2019-05-09 01:53:28,23-32,"[{'id': None, 'name': {'lineage': None, 'family': '.', 'honourific': None, 'given': 'Ginanjar'}}, {'id': 'mardiana@eng.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': '.', 'given': 'Mardiana'}}, {'id': 'meizano@eng.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Muhammad', 'given': 'Meizano Ardhi'}}, {'id': 'eko@eng.unila.ac.id', 'name': {'given': 'Wahyu Eko', 'family': 'Sulistiono', 'honourific': None, 'lineage': None}}]",disk0/00/01/20/47,2018-12-01 00:00:00.000000000,article,['FT8'],Dinas Perpustakaan dan Kearsipan Provinsi Lampung,3.0,25989464,Tawit Pustaka Jurnal Perpustakaan dan Informasi Ilmiah,2.0,,,,,,,,
2,https://pdki-indonesia.dgip.go.id/index.php/hakcipta/YkUyMUJZV0VEeEhYWXlrZERSRnhYUT09,Hak Cipta Program Komputer APLIKASI AUGMENTED REALITY NAVIGASI KOLEKSI PERPUSTAKAAN,show,,9,archive,2020-09-21 03:28:46,"Aplikasi Augmented Reality Navigasi Koleksi Perpustakaan adalah aplikasi yang membantu pemustaka (pengunjung perpustakaan) dalam melakukan navigasi menuju pustaka yang dicari berdasarkan lokasi fisik dari tempat perpustakaan. Pemustaka melakukan pencarian pada sistem otomasi perpustakaan menggunakan perangkat bergerak (ponsel, tablet) untuk mendapatkan nomor katalog pustaka. Pemustaka kemudian menggunakan nomor katalog pustaka untuk mendapatkan informasi berbasis Augmented Reality yang menunjukkan arah navigasi kepada pustaka yang dicari. Pemustaka memasukkan informasi lokasi dirinya berada, kemudian sistem melakukan navigasi gedung dalam 3D untuk menunjukkan jalur yang harus dilalui oleh pemustaka. Setelah itu, aplikasi mengakses kamera untuk menggunakan Augmented Reality yang memakai kamera pada perangkat bergerak pemustaka ke marker yang diletakkan di berbagai tempat dalam gedung perpustakaan. Pemustaka kemudian dapat melakukan navigasi menggunakan perangkat bergerak yang memindai marker untuk mengetahui arah yang harus dilalui.","['T1', 'T201', 'Z719']",24102,,"[{'security': 'public', 'placement': 1, 'eprintid': 24102, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'fileid': 219450, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-09-20 05:17:15', 'filename': 'sertifikat_EC00201857012.pdf', 'hash': 'fc5cb841aefaf20ad4024dab2266f2a8', 'datasetid': 'document', 'filesize': 770427, 'objectid': 37805, 'uri': 'http://repository.lppm.unila.ac.id/id/file/219450'}], 'docid': 37805, 'main': 'sertifikat_EC00201857012.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/37805', 'rev_number': 1, 'format': 'text', 'pos': 1}]",,pub,,http://repository.lppm.unila.ac.id/id/eprint/24102,public,2020-09-21 03:28:46,1199,2020-09-21 03:28:46,,"[{'id': 'mardiana@eng.unila.ac.id', 'name': {'given': 'Mardiana', 'lineage': None, 'honourific': None, 'family': '.'}}, {'id': 'meizano@eng.unila.ac.id', 'name': {'given': 'Meizano Ardhi', 'family': 'Muhammad', 'honourific': None, 'lineage': None}}, {'id': 'eko@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Sulistiono', 'honourific': None, 'given': 'Wahyu Eko'}}, {'id': 'gita.djausal@fisip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Djausal', 'given': 'Gita Paramita'}}]",disk0/00/02/41/02,2018-11-16 00:00:00.000000000,patent,['FT8'],,,,,,Lembaga Penelitian dan Pengabdian kepada Masyarakat Universitas Lampung,EC00201857012,['Universitas Lampung'],published,,,,
3,,Hak Cipta Program Komputer APLIKASI AUGMENTED REALITY NAVIGASI KOLEKSI PERPUSTAKAAN -Sertifikat dan Deskripsi,show,,8,archive,2022-04-06 01:21:54,"Aplikasi Augmented Reality Navigasi Koleksi Perpustakaan adalah aplikasi yang membantu pemustaka (pengunjung perpustakaan) dalam melakukan navigasi menuju pustaka yang dicari berdasarkan lokasi fisik dari tempat perpustakaan. Pemustaka melakukan pencarian pada sistem otomasi perpustakaan menggunakan perangkat bergerak (ponsel, tablet) untuk mendapatkan nomor katalog pustaka. Pemustaka kemudian menggunakan nomor katalog pustaka untuk mendapatkan informasi berbasis Augmented Reality yang menunjukkan arah navigasi kepada pustaka yang dicari. Pemustaka memasukkan informasi lokasi dirinya berada, kemudian sistem melakukan navigasi gedung dalam 3D untuk menunjukkan jalur yang harus dilalui oleh pemustaka. Setelah itu, aplikasi mengakses kamera untuk menggunakan Augmented Reality yang memakai kamera pada perangkat bergerak pemustaka ke marker yang diletakkan di berbagai tempat dalam gedung perpustakaan. Pemustaka kemudian dapat melakukan navigasi menggunakan perangkat bergerak yang memindai marker untuk mengetahui arah yang harus dilalui.",['T1'],41091,,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 41091, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162514', 'rev_number': 1, 'docid': 162514, 'main': 'APLIKASI AUGMENTED REALITY- sertifikat-deskripsi.pdf', 'files': [{'filename': 'APLIKASI AUGMENTED REALITY- sertifikat-deskripsi.pdf', 'hash': '5160dca3a9b0c4a144ecc42caab8d50c', 'mtime': '2022-04-05 15:18:42', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 456261, 'filesize': 1821694, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/456261', 'objectid': 162514}]}]",,pub,,http://repository.lppm.unila.ac.id/id/eprint/41091,public,2022-12-05 04:26:27,517,2022-04-06 01:21:54,,"[{'id': 'mardiana@eng.unila.ac.id', 'name': {'given': 'Mardiana', 'honourific': None, 'family': '.', 'lineage': None}}, {'name': {'given': 'Meizano Ardhi', 'lineage': None, 'honourific': None, 'family': 'Muhammad'}, 'id': 'meizano@eng.unila.ac.id'}, {'id': 'eko@eng.unila.ac.id', 'name': {'family': 'Sulistiono', 'honourific': None, 'lineage': None, 'given': 'Wahyu Eko'}}, {'name': {'given': 'Gita Paramita', 'lineage': None, 'honourific': None, 'family': 'Djausal'}, 'id': 'gita.djausal@fisip.unila.ac.id'}]",disk0/00/04/10/91,1970-01-01 00:00:00.000002018,patent,['FT8'],,,,,,LPPM Unila,EC00201857012,,published,,,,
4,http://sniper.library.unila.ac.id/,ANALISIS UNJUK KERJA SINGLE PAGE WEB APPLICATION : CYBER MEDIAWALL PERPUSTAKAAN UNILA,show,conference,15,archive,2018-06-26 08:03:00,"Cyber mediawall sangat dibutuhkan untuk mendukung penyampaian suatu informasi menjadi lebih cepat, tepat dan akurat, terutama untuk penyampaian informasi yang realtime dan bersifat terus menerus. Demikian juga dengan Perpustakaan, user membutuhkan informasi mengenai content dan event yang ada di Perpustakaan baik dalam bentuk teks, animasi, video dan suara yang dapat diperoleh dengan cepat, mudah dan menarik. Cyber mediawall ini dikembangkan dengan menerapkan teknologi Single Page Web Application dan menggunakan WebSocket terutama untuk pengambilan data secara real time dan penjadwalan content. Manajemen informasi pun dilakukan dengan mengatur seluruh data yang akan ditampilkan mulai dari proses pemasukkan content, sinkronisasi seluruh content dari server pusat dengan lokal, dan penjadwalan sehingga content dapat ditampilkan secara real time atau sesuai dengan waktu tayang yang diinginkan. Untuk analisa unjuk kerja, aplikasi dibangun dengan dalam dua versi, yaitu dengan menggunakan WebSocket dan dengan Ajax JSON. Hasil pengujian pada Cyber mediawall ini membuktikan bahwa seluruh fitur sudah berjalan sesuai yang diharapkan, WebSocket memiliki kecepatan page load lebih cepat daripada AJAX. Proses yang membutuhkan waktu paling lama pada AJAX adalah proses scripting sedangkan pada Websocket adalah proses rendering.","['T1', 'Z665']",7812,SNIPer 2017: Seminar Nasional Inovasi Perpustakaan 2017,"[{'security': 'public', 'placement': 1, 'eprintid': 7812, 'content': 'published', 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 20852, 'uri': 'http://repository.lppm.unila.ac.id/id/file/69941', 'mime_type': 'application/pdf', 'fileid': 69941, 'filename': 'e-Prosiding-SNIPer-2017-Full.pdf', 'hash': '533f90e9918e5e7d4068af24ab3c9443', 'mtime': '2018-06-26 03:47:55', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 5088932}], 'docid': 20852, 'main': 'e-Prosiding-SNIPer-2017-Full.pdf', 'formatdesc': 'e-Prosiding', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20852', 'format': 'text', 'pos': 1}]",speech,pub,FALSE,http://repository.lppm.unila.ac.id/id/eprint/7812,public,2018-06-26 08:03:00,1199,2018-06-26 08:03:00,11-18,"[{'id': 'mardiana@eng.unila.ac.id', 'name': {'given': 'Mardiana', 'lineage': None, 'family': '.', 'honourific': None}}, {'id': 'robysyahp@gmail.com', 'name': {'honourific': None, 'family': 'Putra', 'lineage': None, 'given': 'Roby Syah'}}, {'name': {'honourific': None, 'family': 'Muhammad', 'lineage': None, 'given': 'Meizano Ardhi'}, 'id': 'meizano@eng.unila.ac.id'}]",disk0/00/00/78/12,2018-01-23 00:00:00.000000000,article,['FT8'],UPT Perpustakaan Universitas Lampung,,2614-4689,Prosiding Seminar Nasional Inovasi Perpustakaan 2017,,,,,published,library@kpa.unila.ac.id,"[{'url': 'http://library.unila.ac.id/', 'type': 'pub'}]",16-18 November 2017,Bandar Lampung
5,https://pdki-indonesia.dgip.go.id/index.php/hakcipta/TmRRQjZxNlpmWVcyaTNKaitod01jUT09,Hak Cipta Program Komputer Transliterasi Aksara Lampung,show,,10,archive,2020-09-21 03:28:52,"Aksara Lampung adalah warisan budaya Indonesia yang harus dilestarikan. Demi mendorong penggunaan aksara Lampung di masyarakat modern, dibuat aplikasi Transliterasi Aksara Lampung. Transliterasi Aksara Lampung adalah aplikasi yang berfungsi untuk melakukan transliterasi kata lampung yang ditulis dalam huruf alfabet menjadi aksara Lampung. Fungsi lainnya adalah melakukan pengetikan aksara Lampung menggunakan keyboard, baik virtual atau pun fisik. Dengan mengetahui bentuk aksara Lampung dari kata Lampung yang digunakan, diharapkan aksara Lampung dapat dipakai dalam komunikasi di masyarakat.","['PI', 'T1', 'T201']",24103,,"[{'files': [{'filesize': 770623, 'datasetid': 'document', 'mtime': '2020-09-20 05:21:49', 'hash_type': 'MD5', 'filename': 'sertifikat_EC00201857013.pdf', 'hash': 'b17c29e59411aeed23e45a5c83932242', 'fileid': 219462, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/219462', 'objectid': 37806}], 'docid': 37806, 'main': 'sertifikat_EC00201857013.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37806', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 24103, 'mime_type': 'application/pdf', 'language': 'en'}]",,pub,,http://repository.lppm.unila.ac.id/id/eprint/24103,public,2020-09-21 03:28:52,1199,2020-09-21 03:28:52,,"[{'name': {'lineage': None, 'family': 'Muhammad', 'honourific': None, 'given': 'Meizano Ardhi'}, 'id': 'meizano@eng.unila.ac.id'}, {'name': {'given': 'Martinus', 'family': '.', 'honourific': None, 'lineage': None}, 'id': 'martinus@eng.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Djausal', 'honourific': None, 'given': 'Gita Paramita'}, 'id': 'gita.djausal@fisip.unila.ac.id'}, {'name': {'given': 'Warsono', 'family': '.', 'honourific': None, 'lineage': None}, 'id': 'chacho81@yahoo.com'}, {'id': 'htyiluh@yahoo.co.id', 'name': {'given': 'Hartoyo', 'lineage': None, 'family': '.', 'honourific': None}}]",disk0/00/02/41/03,2018-11-16 00:00:00.000000000,patent,['FT8'],,,,,,Lembaga Penelitian dan Pengabdian kepada Masyarakat Universitas Lampung,EC00201857013,['Universitas Lampung'],published,,,,
6,,"Artificial Neural Network Applications Use Measurements of
Electrical Quantities to Estimate Electric Power - similarity check",show,,7,archive,2022-11-14 12:15:41,,['AC'],46637,,"[{'main': 'screencapture-unila-turnitin-viewer-submissions-oid-7867-26857478-2022-11-14-19_13_04.pdf', 'docid': 185535, 'files': [{'filesize': 10753965, 'datasetid': 'document', 'hash': '7321ebdcbf536e05f74efa36a6c18879', 'filename': 'screencapture-unila-turnitin-viewer-submissions-oid-7867-26857478-2022-11-14-19_13_04.pdf', 'hash_type': 'MD5', 'mtime': '2022-11-14 12:14:05', 'mime_type': 'application/pdf', 'fileid': 513938, 'uri': 'http://repository.lppm.unila.ac.id/id/file/513938', 'objectid': 185535}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185535', 'eprintid': 46637, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",,pub,,http://repository.lppm.unila.ac.id/id/eprint/46637,public,2022-11-14 12:15:41,1,2022-11-14 12:15:41,,"[{'id': 'gigih@eng.unila.ac.id', 'name': {'given': 'Gigih Forda', 'honourific': None, 'family': 'Nama', 'lineage': None}}]",disk0/00/04/66/37,1970-01-01 00:00:00.000002018,other,['FT8'],Journal of Physics: Conference Series,,,,,,,,published,,,,
7,,An Enhanced K-Means Clustering Algorithm for Pattern Discovery in Big Data Analysis of 3-Phase Electrical Quantities - Corresponding Email,show,,7,archive,2022-11-14 07:36:45,,['AC'],46609,,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 46609, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185499', 'main': ""unila.ac.id Mail - Re_ ___SPAM___ Fwd_ Re_[ICECREAM 2018] Your paper #1570503058 ('A Real-time Schoolchild Shuttle Vehicle Tracking System Base on Android Mobile-apps').pdf"", 'docid': 185499, 'files': [{'datasetid': 'document', 'filesize': 2302997, 'mime_type': 'application/pdf', 'fileid': 513714, 'hash': '20d8466f74cb5cb68f39fe4a760b068f', 'filename': ""unila.ac.id Mail - Re_ ___SPAM___ Fwd_ Re_[ICECREAM 2018] Your paper #1570503058 ('A Real-time Schoolchild Shuttle Vehicle Tracking System Base on Android Mobile-apps').pdf"", 'hash_type': 'MD5', 'mtime': '2022-11-14 07:35:42', 'objectid': 185499, 'uri': 'http://repository.lppm.unila.ac.id/id/file/513714'}]}]",,pub,,http://repository.lppm.unila.ac.id/id/eprint/46609,public,2022-11-14 07:36:45,1,2022-11-14 07:36:45,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Nama', 'given': 'Gigih Forda'}, 'id': 'gigih@eng.unila.ac.id'}]",disk0/00/04/66/09,1970-01-01 00:00:00.000002018,other,['FT8'],SPC,,,,,,,,published,,,,
8,,An Enhanced K-Means Clustering Algorithm for Pattern Discovery in Big Data Analysis of 3-Phase Electrical Quantities - Similarity Check,show,,7,archive,2022-11-14 07:28:04,,['AC'],46608,,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 46608, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185498', 'docid': 185498, 'main': 'screencapture-unila-turnitin-viewer-submissions-oid-7867-26840221-2022-11-14-14_18_29.pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 513706, 'filename': 'screencapture-unila-turnitin-viewer-submissions-oid-7867-26840221-2022-11-14-14_18_29.pdf', 'hash': '61178e162818aa8c0ed76cdb468643e3', 'mtime': '2022-11-14 07:24:42', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 17091567, 'objectid': 185498, 'uri': 'http://repository.lppm.unila.ac.id/id/file/513706'}]}]",,pub,,http://repository.lppm.unila.ac.id/id/eprint/46608,public,2022-11-14 07:28:04,1,2022-11-14 07:28:04,,"[{'id': 'gigih@eng.unila.ac.id', 'name': {'given': 'Gigih Forda', 'lineage': None, 'family': 'Nama', 'honourific': None}}]",disk0/00/04/66/08,1970-01-01 00:00:00.000002018,other,['FT8'],SPC,,,,,,,,,,,,
9,,HKI Permainan Video Koper Apung,show,,7,archive,2022-12-06 22:28:20,,['AC'],47145,,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 47145, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186106', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'filesize': 770056, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2022-12-06 22:19:24', 'filename': 'sertifikat_EC00201857697.pdf', 'hash': '6dc23213306611768c90122bd9fc5ff7', 'fileid': 517830, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/517830', 'objectid': 186106}], 'main': 'sertifikat_EC00201857697.pdf', 'docid': 186106}]",,pub,,http://repository.lppm.unila.ac.id/id/eprint/47145,public,2022-12-06 22:28:20,1,2022-12-06 22:28:20,,"[{'id': 'gigih@eng.unila.ac.id', 'name': {'given': 'Gigih Forda', 'lineage': None, 'family': 'Nama', 'honourific': None}}]",disk0/00/04/71/45,1970-01-01 00:00:00.000002018,patent,['FT8'],,,,,,Gigih Forda Nama,EC00201857697,,published,,,,
