,metadata_visibility,rev_number,volume,official_url,title,abstract,subjects,eprint_status,status_changed,date_type,eprintid,refereed,uri,full_text_status,publisher,documents,ispublished,number,datestamp,userid,lastmod,date,dir,creators,issn,publication,divisions,type,id_number,pagerange,related_url,pres_type,event_type,event_dates,event_location,event_title,referencetext,contact_email,place_of_pub,succeeds,corp_creators,note,contributors,patent_applicant
0,show,8,6,http://ojs.fkip.ummetro.ac.id/index.php/fisika,Pengaruh Model Pembelajaran Problem Based Learning Terhadap Keterampilan Proses Sains Ditinjau Dari Self-Efficacy Siswa,"Penelitian ini bertujuan untuk mendeskripsikan pengaruh model pembelajaran problem based learning terhadap keterampilan proses sains ditinjau dari self-efficacy siswa. Penelitian ini merupakan penelitian eksperimen menggunakan desain faktorial 2x2. Populasi penelitian adalah seluruh siswa kelas X IPA SMA Kartikatama Metro. Sampel terdiri dari 66 siswa yang dibagi menjadi satu kelas PBL dan satu kelas DI dengan teknik purposive sampling. Instrumen yang digunakan adalah skala self-efficacy dan tes keterampilan proses sains. Analisis data dilakukan dengan two-way ANOVA. Hasil penelitian ini menunjukkan bahwa terdapat perbedaan keterampilan proses sains siswa yang belajar dengan model problem based learning dan siswa yang belajar dengan model direct instruction (F=7,959;p<0,05), terdapat perbedaan keterampilan proses sains antara siswa yang memiliki self-efficacy tinggi dan siswa yang memiliki self-efficacy rendah (F=80,325;p<0,05), dan tidak terdapat interaksi antara model pembelajaran dan self-efficacy terhadap keterampilan proses sains (F=0,001;p>0,05).",['LB1603'],archive,2018-11-16 03:01:21,published,10053,TRUE,http://repository.lppm.unila.ac.id/id/eprint/10053,public,FKIP UM Metro,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/23071', 'rev_number': 3, 'pos': 1, 'format': 'archive', 'files': [{'objectid': 23071, 'uri': 'http://repository.lppm.unila.ac.id/id/file/94380', 'mime_type': 'application/xml', 'fileid': 94380, 'filename': 1306, 'hash': '6648820f5d72c559a255403f7e498b47', 'mtime': '2018-11-15 14:48:31', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 31198}], 'main': 1306, 'docid': 23071, 'content': 'published', 'mime_type': 'application/xml', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 10053}]",pub,2,2018-11-16 03:01:21,435,2018-11-16 03:01:21,1970-01-01 00:00:00.000002018,disk0/00/01/00/53,"[{'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'family': 'Abdurrahman', 'honourific': None, 'lineage': None, 'given': 'Abdurrahman'}}, {'id': 'ekosuyanto011@gmail.com', 'name': {'family': 'Suyanto', 'honourific': None, 'lineage': None, 'given': 'Eko'}}, {'id': None, 'name': {'given': 'emrisena', 'lineage': None, 'honourific': None, 'family': 'adella'}}]",2442-4838,Jurnal Pendidikan Fisika,['FKIP17'],article,,,,,,,,,,,,,,,,
1,show,6,2,https://journal.stkipnurulhuda.ac.id/index.php/JIPFRI,Efektivitas Blended Learning Berbasis LMS dengan Model Pembelajaran Inkuiri pada Materi Fluida Statis terhadap Penguasaan Konsep Siswa,,['L1'],archive,2019-01-29 04:41:21,published,10569,TRUE,http://repository.lppm.unila.ac.id/id/eprint/10569,public,STKIP Nurul Huda,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 10569, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23582', 'pos': 1, 'format': 'text', 'files': [{'objectid': 23582, 'uri': 'http://repository.lppm.unila.ac.id/id/file/97916', 'datasetid': 'document', 'filesize': 407085, 'fileid': 97916, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-01-17 08:14:35', 'hash': '1ae37f0f89434f98871e7a57065d0b75', 'filename': '2018, Noorlaily dkk.pdf'}], 'main': '2018, Noorlaily dkk.pdf', 'docid': 23582}]",pub,2,2019-01-29 04:41:21,299,2019-01-29 04:41:21,2018-11-01 00:00:00.000000000,disk0/00/01/05/69,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Akhmalia', 'given': 'Noor Laily'}, 'id': None}, {'name': {'family': 'Suana', 'honourific': None, 'lineage': None, 'given': 'Wayan'}, 'id': 'wsuane@gmail.com'}, {'id': 'nengah.maharta@fkip.unila.ac.id', 'name': {'given': 'Nengah', 'lineage': None, 'honourific': None, 'family': 'Maharta'}}]",2549-905X,JIPFRI (Jurnal Inovasi Pendidikan Fisika Dan Riset Ilmiah),['FKIP17'],article,doi: 10.30599/jipfri.v2i2.299,56-64,,,,,,,,,,,,,,
2,show,6,1,https://ejournal.stkipsantupaulus.ac.id/index.php/jkse,Analysis of Curriculum 2013 Reviewed From The Standard Process on The Physics Subject at SMA Yadika Natar,,['L1'],archive,2019-01-29 04:41:12,published,10567,TRUE,http://repository.lppm.unila.ac.id/id/eprint/10567,public,STKIP Santu Paulus,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23581', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/97910', 'objectid': 23581, 'hash_type': 'MD5', 'mtime': '2019-01-17 07:49:52', 'hash': '9fbe4eedd0d8fc36ff065da12169cb84', 'filename': '2018 Jusi Aldeska dkk.pdf', 'fileid': 97910, 'mime_type': 'application/pdf', 'filesize': 185645, 'datasetid': 'document'}], 'docid': 23581, 'main': '2018 Jusi Aldeska dkk.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 10567}]",pub,1,2019-01-29 04:41:12,299,2019-01-29 04:41:12,2018-11-01 00:00:00.000000000,disk0/00/01/05/67,"[{'id': None, 'name': {'given': 'Jusi', 'lineage': None, 'family': 'Aldeska', 'honourific': None}}, {'name': {'given': 'Nengah', 'lineage': None, 'family': 'Maharta', 'honourific': None}, 'id': 'nengah.maharta@fkip.unila.ac.id'}, {'id': 'wsuane@gmail.com', 'name': {'given': 'Wayan', 'lineage': None, 'family': 'Suana', 'honourific': None}}]",2621-1238,JOURNAL OF KOMODO SCIENCE EDUCATION,['FKIP17'],article,,133-146,,,,,,,,,,,,,,
3,show,7,4,http://ijaems.com/detail/practicality-and-effectiveness-of-student-worksheets-based-on-ethno-science-to-improve-conceptual-understanding-in-rigid-body/,Practicality and Effectiveness of Student’ Worksheets Based On Ethno science to Improve Conceptual Understanding in Rigid Body,"Generally, the learning process in classes still used worksheets that does not link the matter and instructional topics with local knowledge of local area. Though it is able to increase the students' conceptual understanding of the specific physics topics. This study aimed to analyze the practicality and effectiveness student’ worksheet based on Ethno science in improving student understanding of rigid body’ concept. The study used a quasi-experimental with pretest-post test control group design. The sample was students’ senior high school in Lampung’ province, Indonesia. The sampling technique used simple random sampling technique. Data were obtain through the questionnaire, responses of teachers and students, and test of learning outcome in multiple choice questions reasoned type. Data were analyzed by percentage, N-gain, and effect size. The results showed that student worksheet based on Ethno science was practically using in learning and effective in improving conceptual understanding which is indicated by the differences in test results between the control and the experimental class. Keywords—Effectiveness, Ethno science, Conceptual Understanding, Practicality, Student Worksheet.",['LB1603'],archive,2018-11-16 03:01:25,completed,8395,TRUE,http://repository.lppm.unila.ac.id/id/eprint/8395,public,Infogain Publication,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 8395, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21435', 'rev_number': 1, 'docid': 21435, 'main': 'Practicality and Effectiveness of Student’ Worksheets Based on Ethno science to Improve Conceptual Understanding in Rigid Body.pdf', 'files': [{'filesize': 265019, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2018-07-03 07:19:38', 'hash': '60e54d18ccd0315227f174d63b2016a2', 'filename': 'Practicality and Effectiveness of Student’ Worksheets Based on Ethno science to Improve Conceptual Understanding in Rigid Body.pdf', 'fileid': 82863, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/82863', 'objectid': 21435}]}]",pub,5,2018-11-16 03:01:25,435,2018-11-16 03:01:25,2018-05-01 00:00:00.000000000,disk0/00/00/83/95,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Amila', 'given': 'Agnes'}, 'id': 'agnesamalia@gmail.com'}, {'name': {'given': 'abdurrahman', 'family': 'abdurrahman', 'honourific': None, 'lineage': None}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}, {'name': {'given': 'Agus', 'honourific': None, 'family': 'Suyatna', 'lineage': None}, 'id': 'asuyatna@yahoo.com'}, {'name': {'family': 'distrik', 'honourific': None, 'lineage': None, 'given': 'I wayan'}, 'id': None}, {'name': {'given': 'Kartini', 'lineage': None, 'honourific': None, 'family': 'Herlina'}, 'id': 'kkartini.herlina@gmail.com'}]",2454-1311,"International Journal of Advanced Engineering, Management and Science (IJAEMS)",['FKIP17'],article,,400-407,,,,,,,,,,,,,,
4,show,9,4,http://ijaems.com/detail/practicality-and-effectiveness-of-student-worksheets-based-on-ethno-science-to-improve-conceptual-understanding-in-rigid-body/,"Practicality and Effectiveness of Student’
Worksheets Based on Ethno science to Improve
Conceptual Understanding in Rigid Body","Generally, the learning process in classes still
used worksheets that does not link the matter and
instructional topics with local knowledge of local area.
Though it is able to increase the students' conceptual
understanding of the specific physics topics. This study
aimed to analyze the practicality and effectiveness
student’ worksheet based on Ethno science in improving
student understanding of rigid body’ concept. The study
used a quasi-experimental with pretest-post test control
group design. The sample was students’ senior high
school in Lampung’ province, Indonesia. The sampling
technique used simple random sampling technique. Data
were obtain through the questionnaire, responses of
teachers and students, and test of learning outcome in
multiple choice questions reasoned type. Data were
analyzed by percentage, N-gain, and effect size. The
results showed that student worksheet based on Ethno
science was practically using in learning and effective in
improving conceptual understanding which is indicated
by the differences in test results between the control and
the experimental class.
Keywords—Effectiveness, Ethno science, Conceptual
Understanding, Practicality, Student Worksheet.",['LB1603'],archive,2018-06-26 02:42:33,published,7738,FALSE,http://repository.lppm.unila.ac.id/id/eprint/7738,public,Infogain Publication,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20783', 'docid': 20783, 'main': '11-IJAEMS-MAY-2018-15-Practicality (1).pdf', 'files': [{'hash': '60e54d18ccd0315227f174d63b2016a2', 'filename': '11-IJAEMS-MAY-2018-15-Practicality (1).pdf', 'hash_type': 'MD5', 'mtime': '2018-06-25 08:48:00', 'mime_type': 'application/pdf', 'fileid': 69433, 'filesize': 265019, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/69433', 'objectid': 20783}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 7738, 'security': 'public', 'placement': 1}, {'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/69436', 'objectid': 20784, 'filesize': 39025, 'datasetid': 'document', 'mtime': '2018-06-25 08:48:28', 'hash_type': 'MD5', 'hash': '7889037799bb6ae7bedba5f71caef6cc', 'filename': 'index.html', 'fileid': 69436, 'mime_type': 'text/html'}], 'main': 'index.html', 'docid': 20784, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20784', 'rev_number': 4, 'format': 'text', 'pos': 2, 'security': 'public', 'placement': 2, 'eprintid': 7738, 'content': 'published', 'mime_type': 'text/html', 'language': 'en'}]",pub,5,2018-06-26 02:42:33,884,2018-06-26 02:42:33,2018-05-01 00:00:00.000000000,disk0/00/00/77/38,"[{'id': None, 'name': {'honourific': None, 'family': 'Amila W', 'lineage': None, 'given': 'Agnes'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Abdurrahman', 'given': 'Abdurrahman'}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}, {'name': {'given': 'Agus', 'lineage': None, 'family': 'Suyatna', 'honourific': None}, 'id': 'asuyatna@yahoo.com'}, {'id': 'wayandistrik8@gmail.com', 'name': {'given': 'I Wayan', 'lineage': None, 'honourific': None, 'family': 'Distrik'}}, {'name': {'given': 'Kartini', 'lineage': None, 'family': 'Herlina', 'honourific': None}, 'id': 'kkartini.herlina@gmail.com'}]",2454-1311,"International Journal of Advanced Engineering, Management and Science (IJAEMS)",['FKIP17'],article,https://dx.doi.org/10.22161/ijaems.4.5.11,400-407,[{'url': 'http://ijaems.com/detail/practicality-and-effectiveness-of-student-worksheets-based-on-ethno-science-to-improve-conceptual-understanding-in-rigid-body/'}],,,,,,,,,,,,,
5,show,7,,https://icosmee.uns.ac.id/?schedConf=ICOSMEE2019&page=search&op=results,The Influence of Collaborative Teamwork Learning on Science Process Skills of High School Students,"Abstract. Learning physics is not assessed from the student’s academic perfomance but also from the process that student experiences through various activies. Student’s science process skills are might be affected by learning models and internal factors such as personality of teacher and students as well. This research aims to know the differences of science process skill on varieties of personality types of students, i.e. sanguine, choleric, melancholy, and phlegmatic with was checked by the implementation of the collaborative teamwork learning model. Subjects we are 12 boys and 28 girls students of Grade X Science 5 of SMA Negeri 1 Sidomulyo selected by purposive sampling technique. A technique to collect science process skills data was classroom observation, and the personality type of student was categorized by personality profile test form. The data were analyzed using descriptive statistics and tested by the Kruskal Wallis. The result showed (1) there is a significant influence of collaborative teamwork learning model toward students in choleric, sanguine, melancholy, and phlegmatic personality type, which showed by the sig value of 0,03, (2) there are differences between the science process skills of four personality types, i.e. phlegmatic and sanguine; phlegmatic and choleric; phlegmatic and melancholy. Students who were the sanguine, choleric, and melancholic had higher science process skills compared to phlegmatic students. While there is no significant differences between choleric and melancholy student’s science process skills. It might be caused by choleric students tended to orientating on learning target and melancholic students tended to elaborating on learning process. Keywords: collaborative teamwork learning, science process skills, personality type",['L1'],archive,2019-05-14 08:31:22,published,12640,TRUE,http://repository.lppm.unila.ac.id/id/eprint/12640,public,,"[{'eprintid': 12640, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': 'prosiding 1.pdf', 'docid': 25622, 'files': [{'objectid': 25622, 'uri': 'http://repository.lppm.unila.ac.id/id/file/111937', 'fileid': 111937, 'mime_type': 'application/pdf', 'mtime': '2019-05-10 08:18:24', 'hash_type': 'MD5', 'hash': '89448f185c4c088f01741520247fe21e', 'filename': 'prosiding 1.pdf', 'datasetid': 'document', 'filesize': 354624}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/25622', 'rev_number': 1}]",pub,,2019-05-14 08:31:22,115,2019-05-14 08:31:22,2018-04-01 00:00:00.000000000,disk0/00/01/26/40,"[{'id': 'tiaranovianggi19@gmail.com', 'name': {'given': 'Tiara Novi', 'lineage': None, 'honourific': None, 'family': 'Anggi'}}, {'name': {'given': 'Undang', 'lineage': None, 'family': 'Rosidin', 'honourific': None}, 'id': 'undangros@yahoo.com'}, {'name': {'given': 'Ismu', 'lineage': None, 'honourific': None, 'family': 'Wahyudi'}, 'id': 'kiss_mu18@yahoo.com'}]",,,['FKIP17'],conference_item,,318-326,[{'url': 'https://icosmee.uns.ac.id/?schedConf=ICOSMEE2019&page=search&op=results'}],paper,conference,16-17 September 2017,Surakarta,"The 1st International Conference On Science, Matemathics, Enviroment, and Education",,,,,,,,
6,show,6,6,,PENGARUH MODEL PEMBELAJARAN BERBASIS MASALAH TERHADAP HASIL BELAJAR FISIKA SISWA SMA,"Tujuan penelitian ini adalah untuk mengetahui pengaruh dari model pembelajaran berbasis masalah terhadap hasil belajar fisika siswa SMA dari ranah kognitif, afektif,dan psikomotor. Sampel penelitian ini adalah siswa kelas X MIA4 dan X MIA6 SMAN 14 Bandarlampung yang berjumlah 60 siswa. Desain penelitian yang digunakan adalah Posttest Control Group Design. Data hasil uji penelitian diuji dengan analisis uji normalitas dan Independent Sample T-test. Hasil belajar ranah kognitif pada kelas eksperimen memperoleh nilai rata-rata yaitu sebesar 77 lebih tinggi dibandingkan dengan kelas kontrol yaitu sebesar 67, pada ranah afektif kelas eksperimen memperoleh nilai rata-rata yaitu sebesar 79 lebih tinggi dibandingkan dengan kelas kontrol yaitu sebesar 74, dan pada ranah psikomotor kelas eksperimen memperoleh nilai rata-rata yaitu sebesar 79 lebih tinggi dibandingkan dengan kelas kontrol yaitu 71. Berdasarkan hasil analisis data, terdapat pengaruh yang signifikan pada model pembelajaran berbasis masalah terhadap hasil belajar fisika siswa SMA dari ranah kognitif, afektif, dan psikomotor.",['LB'],archive,2019-05-09 08:21:04,published,12286,TRUE,http://repository.lppm.unila.ac.id/id/eprint/12286,public,Universitas Lampung,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25264', 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 512756, 'mime_type': 'application/pdf', 'fileid': 109583, 'filename': '3) 15629-35133-1-PB.pdf', 'hash': '7ae2640215959e918565663c98167e52', 'mtime': '2019-05-09 07:02:25', 'hash_type': 'MD5', 'objectid': 25264, 'uri': 'http://repository.lppm.unila.ac.id/id/file/109583'}], 'docid': 25264, 'main': '3) 15629-35133-1-PB.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 12286}]",pub,1,2019-05-09 08:21:04,734,2019-05-09 08:21:04,2018-06-08 00:00:00.000000000,disk0/00/01/22/86,"[{'id': 'dstianggistia@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Anggistia', 'given': 'Desti'}}, {'id': 'ekosuyanto011@gmail.com', 'name': {'given': 'Eko', 'family': 'Suyanto', 'honourific': None, 'lineage': None}}, {'id': 'idewaputunyeneng@gmail.com', 'name': {'given': 'I Dewa Putu', 'lineage': None, 'honourific': None, 'family': 'Nyeneng'}}]",2302-0105,Jurnal Pembelajaran Fisika,['FKIP17'],article,,106-115,,,,,,,,,,,,,,
7,show,6,6,,Desain LKPD Berbasis Scientific Approach Untuk Melatih Keterampilan Berpikir Kreatif Siswa Pada Materi Suhu dan Perubahannya : Penelitian Pendahuluan,"Penelitian ini bertujuan menganalisis kebutuhan guru dan siswa dengan adanya media penunjang kegiatan pembelajaran berupa LKPD dan menawarkan desain LKPD sebagai penunjang dalam pembelajaran berbasis pendekatan scientific berfokus pada keterampilan berpikir kreatif siswa. Metode penelitian yang digunakan adalah model pengembangan Borg and Gall yang memuat 10 langkah, namun pada penelitian ini dibatasi sampai 3 langkah saja dikarekana keterbatasan waktu . Teknik pengumpulan data digunakan metode angket dan obersevasi. Hasil analisis kebutuhan di SMP Negeri 2 Tulang Bawang Udik melalui angket siswa kelas VII dengan presentase 71,42 % dan angket guru dengan presentase 76,47% menyatakan bahwa LKPD berbasis pendekatan scientific sebagai media pendukung dalam kegiatan pembelajaran perlu dikembangkan untuk mempermudah siswa memahami materi pembelajaran. Metode observasi observasi dilakukan untuk mengetahui sumber daya sarana dan prasarana yang ada di Sekolah. Hasil observasi menyatakan bahwa LKPD yang digunakan masih berasal dari buku paket dari dinas pendidikan .Dan desain dari LKPD yang mungkin ditawarkan adalah a) cover; (b) prakata; (c) daftar isi; (d) petunjuk penggunaan; (e) kompetensi inti; (f) kompotensi dasar; (g) indikator; (h) isi LKPD, (i) Rangkuman materi (j) evaluasi; dan (k) daftar pustaka. LKPD ini memuat langkah pembelajaran 5M (mengamati, menanya, melakukan eksperimen, menalar dan mengomunikasikan) dan indikator keterampilan berpikir kreatif yang meliputi kepekaan (problem sensitivity), kelancaran (fluency), keluwesan (flexibility), keaslian (originally), dan elaborasi (elaboration).",['LB'],archive,2019-05-09 08:21:12,published,12297,TRUE,http://repository.lppm.unila.ac.id/id/eprint/12297,public,Universitas Lampung,"[{'files': [{'datasetid': 'document', 'filesize': 347082, 'mime_type': 'application/pdf', 'fileid': 109655, 'hash': 'e94eeb2a26ce078f507e8f9c75c82e3a', 'filename': '6) 17468-39932-1-PB.pdf', 'hash_type': 'MD5', 'mtime': '2019-05-09 07:17:49', 'objectid': 25272, 'uri': 'http://repository.lppm.unila.ac.id/id/file/109655'}], 'docid': 25272, 'main': '6) 17468-39932-1-PB.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25272', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 12297, 'language': 'en', 'mime_type': 'application/pdf'}]",pub,2,2019-05-09 08:21:12,734,2019-05-09 08:21:12,1970-01-01 00:00:00.000002018,disk0/00/01/22/97,"[{'name': {'given': 'Rika', 'honourific': None, 'family': 'Anggraini', 'lineage': None}, 'id': 'angggrainirika21@gmail.com'}, {'id': 'kkartini.herlina@gmail.com', 'name': {'given': 'Kartini', 'honourific': None, 'family': 'Herlina', 'lineage': None}}, {'name': {'honourific': None, 'family': 'Nyeneng', 'lineage': None, 'given': 'I Dewa Putu'}, 'id': 'idewaputunyeneng@gmail.com'}]",2302-0105,Jurnal Pembelajaran Fisika,['FKIP17'],article,,,,,,,,,,,,,,,,
8,show,6,2,https://journal.stkipnurulhuda.ac.id/index.php/JIPFRI,Efektivitas Model Flipped Classroom pada Pembelajaran Fisika Ditinjau dari Self Efficacy dan Penguasaan Konsep Siswa,,['L1'],archive,2019-01-29 04:41:31,,10570,TRUE,http://repository.lppm.unila.ac.id/id/eprint/10570,public,STKIP Nurul Huda,"[{'main': '2018 Pipit Apriyanah.pdf', 'docid': 23583, 'files': [{'filename': '2018 Pipit Apriyanah.pdf', 'hash': '5fdb5c047ffe82add521a4bac1be9278', 'hash_type': 'MD5', 'mtime': '2019-01-17 08:26:01', 'mime_type': 'application/pdf', 'fileid': 97922, 'filesize': 270032, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/97922', 'objectid': 23583}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23583', 'rev_number': 1, 'eprintid': 10570, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",pub,2,2019-01-29 04:41:31,299,2019-01-29 04:41:31,2018-11-01 00:00:00.000000000,disk0/00/01/05/70,"[{'id': None, 'name': {'given': 'Pipit', 'lineage': None, 'family': 'Apriyanah', 'honourific': None}}, {'id': 'idewaputunyeneng@gmail.com', 'name': {'given': 'I Dewa Putu', 'lineage': None, 'honourific': None, 'family': 'Nyeneng'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Suana', 'given': 'Wayan'}, 'id': 'wsuane@gmail.com'}]",2549-9076,JIPFRI (Jurnal Inovasi Pendidikan Fisika Dan Riset Ilmiah),['FKIP17'],article,,65-74,,,,,,,,,,,,,,
9,show,17,6,http://ojs.fkip.ummetro.ac.id/index.php/fisika/article/view/1318,EFEKTIVITAS INSTRUMEN ASESMEN MODEL PEMECAHAN MASALAH KREATIF PADA PEMBELAJARAN FISIKA TERHADAP KEMAMPUAN BERPIKIR KRITIS SISWA,"Penelitian ini bertujuan untuk menggambarkan pengaruh penggunaan penilaian keterampilan berpikir kritis siswa dengan model pembelajaran Creative Problem Solving dan untuk menggambarkan implementasi instrumen penilaian menggunakan model pembelajaran Creative Problem Solving yang dapat secara efektif meningkatkan kemampuan berpikir kritis siswa. Desain penelitian yang digunakan adalah One-Group Pretest-Posttest Design. Sampel penelitian adalah 32 siswa yang dipilih secara acak dari 7 kelas program XI IPA di SMAN 1 Metro. Untuk menguji pengaruh signifikan dari instrumen penilaian dan untuk menentukan tingkat efektivitas produk, analisis gain yang dinormalisasi (N-gain) dilakukan. Berdasarkan hasil penelitian, ditemukan bahwa ada pengaruh model pembelajaran Creative Problem Solving terhadap hasil belajar siswa.",['L1'],archive,2019-01-02 07:59:02,published,10503,TRUE,http://repository.lppm.unila.ac.id/id/eprint/10503,none,FKIP UM Metro,,pub,2,2019-01-02 07:59:02,706,2019-01-02 07:59:02,2018-09-01 00:00:00.000000000,disk0/00/01/05/03,"[{'id': 'ekayulisariasmawati@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Asmawati', 'given': 'Eka YS'}}, {'name': {'honourific': None, 'family': 'Rosidin', 'lineage': None, 'given': 'Undang'}, 'id': 'undangros@yahoo.com'}, {'name': {'family': 'Abdurrahman', 'honourific': None, 'lineage': None, 'given': 'Abdurrahman'}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}]",2442-4838,Jurnal Pendidikan Fisika,['FKIP17'],article,,128-143,,,,,,,,,,,,,,
