,lastmod,userid,pagerange,datestamp,number,ispublished,publisher,documents,full_text_status,uri,refereed,type,divisions,publication,issn,creators,date,dir,status_changed,eprint_status,related_url,subjects,abstract,title,official_url,rev_number,volume,metadata_visibility,eprintid,id_number,place_of_pub,corp_creators,succeeds,date_type
0,2020-05-19 06:39:59,864,71-76,2020-05-19 06:39:59,6,pub,International Organization of Scientific Research (IOSR),"[{'docid': 33408, 'main': 'journal berta sugeng des 2019.pdf', 'files': [{'objectid': 33408, 'uri': 'http://repository.lppm.unila.ac.id/id/file/189616', 'fileid': 189616, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-05-19 04:45:12', 'hash': 'bb30f284aa1e0a31747ea6aa498de8d0', 'filename': 'journal berta sugeng des 2019.pdf', 'datasetid': 'document', 'filesize': 278549}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/33408', 'rev_number': 1, 'eprintid': 20073, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/20073,TRUE,article,['FKIP11'],IOSR Journal of Research & Method in Education (IOSR-JRME),2320–1959,"[{'id': 'sugeng.sutiarso@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Dianingrum', 'honourific': None, 'given': 'Berta'}}, {'id': 'herpratiwi.1964@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Herpratiwi', 'lineage': None, 'given': 'Herpratiwi'}}, {'name': {'given': 'Sugeng', 'family': 'Sutiarso', 'honourific': None, 'lineage': None}, 'id': 'sugeng.sutiarso@fkip.unila.ac.id'}]",2019-11-02 00:00:00.000000000,disk0/00/02/00/73,2020-05-19 06:39:59,archive,[{'url': 'http://www.iosrjournals.org/iosr-jrme/papers/Vol-9%20Issue-6/Series-2/N0906027176.pdf'}],['LB1603'],"The aim of this research is to develop the Students worksheet based on CTL learning models and test it to the experts and students. The problems of this research are the number of students cannot master the material well, the teaching and learning is teacher centered, the students have lacks motivation, and students just have guidance book from library. Based on the result of checking the document found the effect of students failure was the material teaching. Because of it, researcher developed the students worksheet based CTL learning model. The method used was research and development. Based on the recapitulation results of the students' perception questionnaire towards the LKPD based CTL learning models developed, the total percentage obtained by 95% which stated that LKPD was perceived very well by students.",The Development of Student worksheets Based on Contextual Teaching and Learning toOvercome the Problems in Teaching Mathematics at Elementary SchoolGrade 5 of Pringsew,http://www.iosrjournals.org/iosr-jrme/papers/Vol-9%20Issue-6/Series-2/N0906027176.pdf,6,9,show,20073,,,,,
1,2019-11-04 07:47:43,559,,2019-11-04 07:47:43,,unpub,FKIP Unila,"[{'eprintid': 15339, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'docid': 28468, 'main': 'Laporan BLU Unila 2019 baru.pdf', 'files': [{'datasetid': 'document', 'filesize': 1502629, 'mime_type': 'application/pdf', 'fileid': 132026, 'hash': 'fc80a94a60b1f546b88872ab8a7c8722', 'filename': 'Laporan BLU Unila 2019 baru.pdf', 'hash_type': 'MD5', 'mtime': '2019-11-04 07:29:36', 'objectid': 28468, 'uri': 'http://repository.lppm.unila.ac.id/id/file/132026'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28468', 'rev_number': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/15339,,other,['FKIP11'],,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Dwi Yulianti', 'given': 'Dwi'}, 'id': 'safira_shodiq@yahoo.com'}, {'name': {'given': 'Herpratiwi', 'honourific': None, 'family': 'Herpratiri', 'lineage': None}, 'id': 'herpratiwi64@yahoo.com'}]",2019-11-01 00:00:00.000000000,disk0/00/01/53/39,2019-11-04 07:47:43,archive,"[{'type': 'org', 'url': 'http://semnas.fkip.unila.2019'}]",['L1'],"Menurut Layng (2013) memang tidak mudah untuk mengajar konsep IPA kepada siswa, karena jika tidak tepat akan menimbulkan kesalahpamahan. Ada beberapa faktor  yang menyebabkan terjadinya masalah ini, salah satunya adalah konsep IPA bersifat abstrak dan untuk membangun sesuatu yang abstrak melalui pengamatan fakta-fakta yang ada sering terjadi kesalahan pemahaman terhadap konsep yang dibangun. Hasil penelitian ini berlaku pula pada pembelajaran IPA di propinsi Lampung. Hasil observasi yang dilakukan pada siswa SMA di kota Bandar Lampung menunjukkan peluang terjadi miskonsepsi siswa pada pemahaman konsep IPA, sangat besar. Untuk mengatasi peluang terjadinya miskonsepsi pada siswa dibutuhkan media pembelajaran yang berlandaskan strategi pembelajaran dan sesuai dengan karakteristik siswa serta mampu memfaktualkan konsep IPA yang abstrak secara tepat.

Tujuan khusus penelitian ini adalah untuk mencari solusi sebagai upaya meningkatkan hasil belajar IPA siswa. Solusi berupa pengembangan media IPA yang sesuai dengan strategi pembelajaran dan karakteristik siswa di propinsi Lampung serta mampu memfaktualkan konsep IPA yang abstrak. Tujuan akhir yang ingin dicapai adalah 1) dihasilkan media pembelajaran, 2) meningkatkan kemampuan dosen mempublikasikan artikel hasil penelitian dalam jurnal bereputasi dan seminar nasional atau internasional, dan 3) membantu guru meningkatkan hasil belajar IPA siswa.

Penelitian  ini menggunakan desain penelitian Research and Development (R & D). Dimulai dari analisis kebutuhan sampai uji lapangan dan revisi. Oleh karena keterbatasan waktu yang disediakan pada pengajuan penelitian hibah BLU Unila, maka penelitian ini dilakukan sampai tahap uji validasi isi, perorangan dan kelompok kecil. Tahap uji lapangan tetap dilakukan untuk tahun berikutnya. Kegiatan penelitian yang dilakukan terdiri dari  tahap-tahap prapenelitian, perencanaan, pengembangan, dan uji validasi. Uji validasi meliputi uji ahli, uji desain dan uji keterbacaan. 
Luaran penelitian yang dihasilkan adalah 1) media pembelajaran IPA berbasis strategi pembelajaran konstruktif dan sesuai dengan karakteristik siswa guna meminimalkan terjadinya miskonsepsi, luaran berupa buku ajar dan LKPD,  2) artikel ilmiah untuk dipublikasikan di jurnal nasional SINTA 4,  dan 3) artikel ilmiah terpublikasikan di proseding seminar nasional.
Kata kunci: media pembelajaran, pembelajaran IPA",PENGEMBANGAN MEDIA PEMBELAJARAN IPA BERBASIS STRATEGI PEMBELAJARAN KONSTRUKTIF SESUAI DENGAN KARAKTERISTIK LINGKUNGAN GUNA MEMINIMALKAN TERJADINYA MISKONSEPSI,http://semnas.fkip.unila.2019,14,,show,15339,Proseding seminar nasional,Bandar Lampung,,,
2,2021-04-13 08:04:33,815,494-498,2021-04-13 08:04:33,XI,pub,Research and Scientific Innovation Society,"[{'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43423', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/259713', 'objectid': 43423, 'filesize': 332391, 'datasetid': 'document', 'mtime': '2021-04-13 03:56:00', 'hash_type': 'MD5', 'hash': '4827b37834a4669d50c64dc6409a9443', 'filename': 'Artikel Ijriss.pdf', 'fileid': 259713, 'mime_type': 'application/pdf'}], 'main': 'Artikel Ijriss.pdf', 'docid': 43423, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 29305}, {'format': 'text', 'pos': 2, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43424', 'docid': 43424, 'main': 'Artikel IJRISS.pdf', 'files': [{'filename': 'Artikel IJRISS.pdf', 'hash': 'de5ff4af3d1fea745a972224c39db645', 'hash_type': 'MD5', 'mtime': '2021-04-13 03:56:22', 'mime_type': 'application/pdf', 'fileid': 259714, 'filesize': 2682962, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/259714', 'objectid': 43424}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 29305, 'security': 'public', 'placement': 2}, {'format': 'text', 'pos': 3, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43425', 'docid': 43425, 'main': 'The_Application_Development_of_Various_Types_of_Pr(1).pdf', 'files': [{'fileid': 259715, 'mime_type': 'application/pdf', 'mtime': '2021-04-13 03:57:24', 'hash_type': 'MD5', 'hash': '8c8a32a79ba35402f6c8d3a144b99e18', 'filename': 'The_Application_Development_of_Various_Types_of_Pr(1).pdf', 'datasetid': 'document', 'filesize': 1403679, 'objectid': 43425, 'uri': 'http://repository.lppm.unila.ac.id/id/file/259715'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 29305, 'security': 'public', 'placement': 3}]",public,http://repository.lppm.unila.ac.id/id/eprint/29305,TRUE,article,['FKIP11'],International Journal of Research and Innovation in Social Science (IJRISS),2454-6186,"[{'id': None, 'name': {'given': 'Muhammad Arifin', 'lineage': None, 'family': 'Efendi', 'honourific': None}}, {'name': {'family': 'Riswandi', 'honourific': None, 'lineage': None, 'given': 'Riswandi'}, 'id': 'riswandi.1976@fkip.unila.ac.id'}, {'id': 'syarifuddin.d@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Dahlan', 'honourific': None, 'given': 'Syarifuddin'}}]",2019-11-01 00:00:00.000000000,disk0/00/02/93/05,2021-04-13 08:04:33,archive,,['LB'],"This study aim is to produce products such as media
android based applications for career information services on the learner SMAN 6 Bandar Lampung. This research is development. Subjects were taken in this study using the technique of random as many as 26 learners in SMAN 6 Bandar Lampung. Data collection using questionnaires and observation.Analysis of the data used to use conversion guidelines assessment scores into five categories to see the differences between the
mean pretest and posttest mean then performed paired samples Test. Products that dihasil own validation subject matter experts, expert design, and media experts, each of which states that the product is eligible for ujicobakan after the revision. The results of the small group trial, limited testing and field trials produce
products in very good criteria. Furthermore, the products
produced in the form of Android-based applications have a
significant efficacy for career information services. This is confirmed by the results of Test paired samples were obtained 38437 t count> t table 2086 thus then, Ho is rejected and Ha accepted, which means that there is an increasing before and after using android based applications for career information services. 
Keywords: android-based applications, various types of
professions, career information services","The Application Development of Various Types of
Professionals for Android Based on Information 
Services Career Senior High School Students State 6
Bandar Lampung",https://www.rsisinternational.org/journals/ijriss/,5,III,show,29305,,,['Fakultas Keguruan dan Ilmu Pendidikan Universitas Lampung'],29302.0,published
3,2020-09-02 07:12:08,863,,2020-09-02 07:12:08,,unpub,"International Journal of Innovation, Creativity and Change.","[{'files': [{'datasetid': 'document', 'filesize': 1056100, 'mime_type': 'application/pdf', 'fileid': 217700, 'filename': '15. The Implementation of Thematic Team Games tournament.pdf', 'hash': 'b48f1cb3561420087470358cb2557ac2', 'mtime': '2020-09-02 03:30:00', 'hash_type': 'MD5', 'objectid': 37524, 'uri': 'http://repository.lppm.unila.ac.id/id/file/217700'}], 'docid': 37524, 'main': '15. The Implementation of Thematic Team Games tournament.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37524', 'format': 'text', 'pos': 2, 'security': 'public', 'placement': 2, 'eprintid': 23866, 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/23866,,other,['FKIP11'],,,"[{'name': {'family': 'Herpratiwi', 'honourific': None, 'lineage': None, 'given': 'Herpratiwi'}, 'id': 'herpratiwi.1964@fkip.unila.ac.id'}, {'name': {'given': 'erni', 'lineage': None, 'family': 'Erni', 'honourific': None}, 'id': None}, {'id': None, 'name': {'given': 'Astuti', 'lineage': None, 'family': 'Nelly', 'honourific': None}}, {'name': {'lineage': None, 'family': 'Qomario', 'honourific': None, 'given': 'Qomario'}, 'id': None}]",2019-01-01 00:00:00.000000000,disk0/00/02/38/66,2020-09-02 07:12:08,archive,,"['L1', 'LB1501', 'LC5201']",,"The Implementation of a Thematic
Team Games Tournament –
Cooperative Learning in the Fifth
Grade of Elementary School in
Lampung Province",,5,,show,23866,,,"['Faculty of Teacher Training and Education, University of Lampung']",23685.0,
4,2020-08-24 04:54:07,863,,2020-08-24 04:54:07,,pub,"International Journal of Innovation, Creativity and Change","[{'files': [{'datasetid': 'document', 'filesize': 2850006, 'mime_type': 'application/pdf', 'fileid': 216207, 'filename': 'The_Implementation_of_a_Thematic_Team_Games_Tourna.pdf', 'hash': 'de7deafc103fdea62ce93b5370194d77', 'mtime': '2020-08-24 04:15:58', 'hash_type': 'MD5', 'objectid': 37312, 'uri': 'http://repository.lppm.unila.ac.id/id/file/216207'}], 'main': 'The_Implementation_of_a_Thematic_Team_Games_Tourna.pdf', 'docid': 37312, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37312', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 23682, 'language': 'en', 'mime_type': 'application/pdf'}, {'docid': 37313, 'main': 'The_Implementation_of_a_Thematic_Team_Games_Tourna.pdf', 'files': [{'filesize': 2850006, 'datasetid': 'document', 'mtime': '2020-08-24 04:16:28', 'hash_type': 'MD5', 'hash': 'de7deafc103fdea62ce93b5370194d77', 'filename': 'The_Implementation_of_a_Thematic_Team_Games_Tourna.pdf', 'fileid': 216209, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/216209', 'objectid': 37313}], 'pos': 2, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/37313', 'rev_number': 1, 'eprintid': 23682, 'placement': 2, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/23682,,other,['FKIP11'],,,"[{'name': {'given': 'Herpratiwi', 'family': 'Herpratiwi', 'honourific': None, 'lineage': None}, 'id': 'herpratiwi.1964@fkip.unila.ac.id'}, {'id': None, 'name': {'given': 'erni', 'honourific': None, 'family': 'Erni', 'lineage': None}}, {'id': None, 'name': {'given': 'Astuti', 'lineage': None, 'honourific': None, 'family': 'Nelly'}}, {'id': None, 'name': {'given': 'Qomario', 'family': 'Qomario', 'honourific': None, 'lineage': None}}]",2019-01-01 00:00:00.000000000,disk0/00/02/36/82,2020-08-24 04:54:07,archive,,"['L1', 'LB1501', 'LC5201']","This study aimed to analyse the effect of cooperative learning through a thematic team-games tournament in elementary school in Lampung Province. This was a quasi-experimental one-group pretest posttest study. The study involved 22 students. The data was collected from tests with five short-answer questions and 20 multiple-choice questions. The items measured were remembering, understanding, applying, and analysing. The reliability of the items fell into very high (0.92) and moderate to high (0.50 – 0.87) categories of validity. The
discrimination power of the test fell into the good category (0.41–0.70) with a moderate level of difficulty (0.31–0.70). The data was analysed with a t-test. The learning outcomes of the fifth-grade students of elementary school were influenced by the cooperative learning in the teams-games tournament with a significance level of 5%. The cooperative learning in a team-games tournament played an important role in increasing the fifth-grade students’ learning outcomes.",The Implementation of a Thematic Team Games Tournament – Cooperative Learning in the Fifth Grade of Elementary School in Lampung Province,http://www.ijicc.net,12,,show,23682,"Volume 9, Issue 11","International Journal of Innovation, Creativity and Change","['Faculty of Teacher Training and Education, University of Lampung']",,published
5,2020-09-16 03:23:24,863,,2020-09-16 03:23:24,,unpub,IOSR Journal of Research & Method in Education (IOSR-JRME),"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37725', 'rev_number': 1, 'main': '8. The Development of The Material Teaching.pdf', 'docid': 37725, 'files': [{'objectid': 37725, 'uri': 'http://repository.lppm.unila.ac.id/id/file/218895', 'mime_type': 'application/pdf', 'fileid': 218895, 'filename': '8. The Development of The Material Teaching.pdf', 'hash': 'cc2356c134d0cca6a5eaa98afdf0de42', 'hash_type': 'MD5', 'mtime': '2020-09-16 03:02:52', 'datasetid': 'document', 'filesize': 1247740}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 24025, 'security': 'public', 'placement': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/24025,,other,['FKIP11'],,,"[{'id': None, 'name': {'given': 'Nurrasyid', 'honourific': None, 'family': 'Musa', 'lineage': None}}, {'id': 'herpratiwi64@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Herpratiwi', 'given': 'Herpratiwi'}}, {'id': None, 'name': {'lineage': None, 'family': 'Dwi', 'honourific': None, 'given': 'Yulianti'}}]",2019-12-04 00:00:00.000000000,disk0/00/02/40/25,2020-09-16 03:23:24,archive,,"['L1', 'LB1501', 'LC5201']",,The Development of the Material Teaching based Android in Teaching Chemistryat Senior High School Grade X of SMAN 2 BandarLampung,,9,,show,24025,,,"['Faculty of Teacher Training and Education, University of Lampung']",,
6,2020-06-26 13:36:49,863,,2020-06-26 13:36:49,,pub,IOSR Journal of Research & Method in Education (IOSR-JRME),"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 22767, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36271', 'rev_number': 1, 'main': '8. The_Development_of_the_Material_Teaching_based_And.pdf', 'docid': 36271, 'files': [{'filesize': 1521890, 'datasetid': 'document', 'hash': 'bc79a9448b7c9fcb5cc4d657bc5227e3', 'filename': '8. The_Development_of_the_Material_Teaching_based_And.pdf', 'mtime': '2020-06-26 03:03:16', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 208934, 'uri': 'http://repository.lppm.unila.ac.id/id/file/208934', 'objectid': 36271}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/22767,,other,['FKIP11'],,,"[{'name': {'given': 'Nurrasyid', 'honourific': None, 'family': 'Musa', 'lineage': None}, 'id': None}, {'id': 'herpratiwi.1964@fkip.unila.ac.id', 'name': {'given': 'Herpratiwi', 'lineage': None, 'family': 'Herpratiwi', 'honourific': None}}, {'name': {'given': 'Yulianti', 'lineage': None, 'family': 'Dwi Yulianti', 'honourific': None}, 'id': None}]",2019-12-04 00:00:00.000000000,disk0/00/02/27/67,2020-06-26 13:36:49,archive,,"['L1', 'LB1501', 'LC5201']","The aims of this research are to make the products like Andrid used to teach Chemistry for senior high school at Bandar Lampung grade X1. The problems of the research are students cannot master the concept of pH. The research method used was research and development, it created the Android and test it to the experts and students as the subjects. Besides that it also given to the small group to know the effect of the media usage.
Based on the result of the test it has better change for the students. Degeng (2001) the results of development of the product effective, efficiency and attractive. When the product was applied it has 135 minutes remains.",The Development of the Material Teaching based Android in Teaching Chemistryat Senior High School Grade X of SMAN 2 BandarLampung,,9,,show,22767,,,"['Faculty of Teacher Training and Education, University of Lampung']",,published
7,2021-07-20 11:50:35,407,1-7,2021-07-20 11:50:35,-,pub,IOP Publishing,"[{'docid': 151831, 'main': 'Green School Based Management Model as A Powerful Alternative Solution to Overcome Global Climate Change A Need Assessment Survey Analysis of Teacher in Lampung Indonesia.pdf', 'files': [{'datasetid': 'document', 'filesize': 986605, 'fileid': 393809, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-07-19 04:14:52', 'filename': 'Green School Based Management Model as A Powerful Alternative Solution to Overcome Global Climate Change A Need Assessment Survey Analysis of Teacher in Lampung Indonesia.pdf', 'hash': 'f0f82491ff3949bbc1ed0677850baedd', 'objectid': 151831, 'uri': 'http://repository.lppm.unila.ac.id/id/file/393809'}], 'format': 'text', 'pos': 1, 'formatdesc': 'Artikel', 'uri': 'http://repository.lppm.unila.ac.id/id/document/151831', 'rev_number': 2, 'eprintid': 33242, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}, {'placement': 2, 'security': 'public', 'eprintid': 33242, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'filesize': 1562192, 'datasetid': 'document', 'hash': '6e51c86e38be76662a1d0144dd8ec5dc', 'filename': 'Similaritas Green School Based Management Model as A Powerful Alternative Solution to Overcome Global Climate Change.pdf', 'hash_type': 'MD5', 'mtime': '2021-07-19 04:15:09', 'mime_type': 'application/pdf', 'fileid': 393811, 'uri': 'http://repository.lppm.unila.ac.id/id/file/393811', 'objectid': 151832}], 'main': 'Similaritas Green School Based Management Model as A Powerful Alternative Solution to Overcome Global Climate Change.pdf', 'docid': 151832, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/151832', 'formatdesc': 'Similaritas', 'pos': 2, 'format': 'text'}, {'files': [{'fileid': 393813, 'mime_type': 'application/pdf', 'mtime': '2021-07-19 04:15:44', 'hash_type': 'MD5', 'hash': '9c9b54ca923853a94d0d501b45ef5a51', 'filename': 'riswandi-19.pdf', 'datasetid': 'document', 'filesize': 842727, 'objectid': 151833, 'uri': 'http://repository.lppm.unila.ac.id/id/file/393813'}], 'docid': 151833, 'main': 'riswandi-19.pdf', 'formatdesc': 'Riviewer', 'uri': 'http://repository.lppm.unila.ac.id/id/document/151833', 'rev_number': 2, 'format': 'text', 'pos': 3, 'security': 'public', 'placement': 3, 'eprintid': 33242, 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/33242,TRUE,article,['FKIP11'],Journal of Physics,1742-6593,"[{'id': 'bujang.suropati@gmail.com', 'name': {'honourific': None, 'family': 'Rahman', 'lineage': None, 'given': 'Bujang'}}, {'name': {'given': 'Abdurrahman', 'family': 'Abdurrahman', 'honourific': None, 'lineage': None}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}, {'name': {'given': 'riswandi', 'lineage': None, 'family': 'Riswandi', 'honourific': None}, 'id': 'riswandi.unila@gmail.com'}, {'id': 'hervin.maulina@staff.unila.ac.id', 'name': {'given': 'Hervin', 'lineage': None, 'honourific': None, 'family': 'Maulina'}}]",1970-01-01 00:00:00.000002019,disk0/00/03/32/42,2021-07-20 11:50:35,archive,,"['L1', 'LB1501', 'LC5201']",,"Green School Based Management Model as A Powerful Alternative Solution to Overcome Global Climate Change: A Need Assessment Survey Analysis of Teacher in Lampung, Indonesia",https://iopscience.iop.org/article/10.1088/1742-6596/1155/1/012086/pdf,11,-,show,33242,,,,,published
8,2023-01-30 06:58:46,698,,2023-01-30 06:58:46,,pub,IJCIET,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/187416', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/526609', 'objectid': 187416, 'filesize': 437961, 'datasetid': 'document', 'filename': 'UBIQUITOUS LEARNING AN ALTERNATIVE .pdf', 'hash': '2370a2c06acf5b95dee00aa257146582', 'mtime': '2023-01-30 06:35:25', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 526609}], 'main': 'UBIQUITOUS LEARNING AN ALTERNATIVE .pdf', 'docid': 187416, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 48183}]",public,http://repository.lppm.unila.ac.id/id/eprint/48183,,other,['FKIP11'],,,"[{'name': {'honourific': None, 'family': 'Rangga', 'lineage': None, 'given': 'Firdaus'}, 'id': 'ranggafirdaus@fkip.unila.ac.id'}]",2019-03-03 00:00:00.000000000,disk0_bak/00/04/81/83,2023-01-30 06:58:46,archive,,['L1'],,Similarity UBIQUITOUS LEARNING AN ALTERNATIVE,,7,,show,48183,,,,,
9,2019-11-18 07:04:44,559,16-22,2019-11-18 07:04:44,3,pub,IQSRjournals.org,"[{'main': 'jurnal sidarta., Dwi Y., Taridi.pdf', 'docid': 30010, 'files': [{'datasetid': 'document', 'filesize': 2314861, 'fileid': 143660, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-11-18 05:46:37', 'filename': 'jurnal sidarta., Dwi Y., Taridi.pdf', 'hash': '1d45cc7828029d75db78d1f5f75f245a', 'objectid': 30010, 'uri': 'http://repository.lppm.unila.ac.id/id/file/143660'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30010', 'rev_number': 1, 'eprintid': 16926, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/16926,TRUE,article,['FKIP11'],Journal of Research and Method in Education (IQSR-JRME),2320-1959 (e). 2320-1940 (p),"[{'name': {'family': 'Sidartha Adi Gautama', 'honourific': None, 'lineage': None, 'given': 'Sidartha'}, 'id': None}, {'name': {'lineage': None, 'family': 'Dwi Yulianti', 'honourific': None, 'given': 'Dwi'}, 'id': 'safira_shodiq@yahoo.com'}, {'id': None, 'name': {'family': 'Taridi', 'honourific': None, 'lineage': None, 'given': 'Taridi'}}]",2019-05-01 00:00:00.000000000,disk0/00/01/69/26,2019-11-18 07:04:44,archive,[{'url': 'http://www.iqsrjournals.org'}],['L1'],"The objectives of this research were: 1) describe the condition and potential the of teaching by applying audio visual based contextual. 2) product audio visual based contextual as teaching material. 3) evaluate the effective and attractiveness of result learning after using the product been done. The research methodology used was research and development (R&D) Borg and Gall by definition, planning, and development. The data were collected by observation test, and document from the field . Based on observation in this research, the N-Gain has average score 0.71 and it was very high.",The Development of Audio Visual Based Contextual to Improve Learning Result of Buddhism Education,http://www.iqsrjournals.org,8,9,show,16926,DOI: 10.9790/1959-0903041622,,,,published
