,eprintid,date_type,official_url,title,metadata_visibility,rev_number,volume,status_changed,eprint_status,abstract,subjects,creators,issn,publication,date,dir,type,divisions,documents,publisher,ispublished,number,refereed,full_text_status,uri,userid,lastmod,pagerange,datestamp,pages,monograph_type,place_of_pub,institution,department,event_dates,event_type,event_location,event_title,pres_type,contact_email,related_url,id_number,corp_creators,contributors,isbn,editors,series
0,7953,published,http://jurnal.fisip.unila.ac.id/index.php/jasp/article/view/447/355,"DEBATING NEW SOCIAL MEDIA’S POLITICAL,
SOCIAL AND CULTURAL CONSEQUENCES TO
WORLD’S REVOLUTIONS",show,6,1.0,2018-06-28 01:54:21,archive,"This article discusses a debatable notion that new social media alternately acts as the ground
of political revolution or creates new social identity and induces cultural change. Social media
sites are information and communication technologies (ICTs) that enable production and
sharing of digital content in a mediated social setting. Several statistic reports revealed that
these online media showed remarkable usage among citizens of countries across the globe.
Having those facts on hand, some experts deduces that the higher usage of social media then
more likely to seize the opportunity of increasing engagement in various issues, including tools
for nearly all of the world’s current revolutions. The article also elaborates some counter
claims to the notion. As a single click on Facebook group and merely a tweet do not make
people politically activated, socially changed and culturally developed. Even though new social
media acts as “a great mouthpiece”, it seems to be an austere logical linkage to say that new
social media serve as a way to trigger the world’s current revolutions. All in all, new social
media platforms can be utilized by their users with any kind of purposes especially in terms of
providing fast and quick informational system.",['HE'],"[{'name': {'lineage': None, 'family': 'Andi', 'honourific': None, 'given': 'Windah'}, 'id': 'andi.windah@fisip.unila.ac.id'}]",2580-8559,Jurnal Analisis Sosial Politik,2017-12-01 00:00:00.000000000,disk0/00/00/79/53,article,['FISIP4'],"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20985', 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 353831, 'mime_type': 'application/pdf', 'fileid': 70890, 'filename': '447-964-1-PB.pdf', 'hash': 'c7d162c1d850c91dd44985fd0299e848', 'hash_type': 'MD5', 'mtime': '2018-06-26 16:37:03', 'objectid': 20985, 'uri': 'http://repository.lppm.unila.ac.id/id/file/70890'}], 'docid': 20985, 'main': '447-964-1-PB.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 7953}]",FISIP UNILA,pub,2.0,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/7953,281,2018-06-28 01:54:21,75-84,2018-06-28 01:54:21,,,,,,,,,,,,,,,,,,
1,6595,completed,,KORELASI KOMPETENSI ORANG TUA DENGAN REMAJA AWAL DALAM AKSES TEKNOLOGI DAN MEDIA  KOMUNIKASI DI LAMPUNG,show,10,,2018-04-25 04:00:48,archive,"Teknologi begitu dekat dengan kehidupan kita, bahkan kita sangat tergantung dengan teknologi. Teknologi telah hadir dalam keluarga, bahkan telah menjadi bagian dari keluarga itu sendiri. Bahkan pada beberapa keluarga, teknologi telah hadir bersamaan dengan lahirnya keluarga tersebut. Secara khusus dapat dinyatakan bahwa anak-anak dan remaja telah tumbuh berkembang bersamaan dengan kehadiran teknologi di keluarga. Namun demikian, keluarga juga memiliki peranan dalam mendampingi anak dan remaja dalam menerima dan mengadopsi teknologi, berikut content yang ada didalammya.  
Rumusan masalah dalam penelitian ini yaitu:
1.	Seberapa besar tingkat kompetensi orang tua dalam  akses teknologi dan media komunikasi di Lampung.
2.	Seberapa besar tingkat kompetensi remaja dalam akses teknologi dan media komunikasi  di Lampung.
3.	Seberapa besar korelasi antara kompetensi orang tua dengan kompetensi remaja dalam akses teknologi dan media komunikasi di Lampung. Tujuan penelitian ini yaitu untuk mengetahui, menjelaskan dan menganalisa tentang: (1) Tingkat kompetensi orang tua dalam  akses teknologi dan media komunikasi di Lampung. (2) Tingkat kompetensi remaja dalam akses teknologi dan media komunikasi  di Lampung. (3) Korelasi antara kompetensi orang tua dengan komoetensi remaja dalam akses teknologi dan media komunikasi di Lampung. Metode yang digunakan dalam penelitian ini adalah metode deskriptif kuantitatif. Hasil penelitian dapat disimpulkan bahwa:
1.	Akses terhadap media dan teknologi komunikasi berhubungan dengan ketersediaan waktu untuk mengakses. Lebih lanjut, tingkat kebutuhan terhadap akses dipengaruhi oleh jenis dan sifat media yang ada. Remaja dan anggota keluarga lainnya (ayah – ibu) memiliki timgkat akses yang berbeda. Secara umum, remaja memiliki tingkat akses yang lebih tinggi dibandingkan dengan orang tua.
2.	Korelasi tingkat akses media dan teknologi dengan kompetensi anggota keluarga berada dalam derajat yang beragam, yaitu remaja (44.12%), ayah (66.14%) dan ibu (56.74%)
3.	Korelasi tingkat akses media dan informasi antar anggota keluarga yaitu : (a) remaja- ayah (64.52%); (b) remaja –ibu (54.71%); dan (c) ayah-ibu (74.26%).",['HE'],"[{'name': {'lineage': None, 'family': 'Andi', 'honourific': None, 'given': 'Windah'}, 'id': 'andi.windah@fisip.unila.ac.id'}, {'name': {'given': 'Ida', 'family': 'nurhaida', 'honourific': None, 'lineage': None}, 'id': 'ida.nurhaida@fisip.unila.ac.id'}, {'name': {'given': 'Nina Yudha', 'honourific': None, 'family': 'Aryanti', 'lineage': None}, 'id': 'nina.yudha@fisip.unila.ac.id'}]",,,2017-08-03 00:00:00.000000000,disk0/00/00/65/95,monograph,['FISIP4'],"[{'docid': 19549, 'main': 'Laporan Penelitian 2017 - Korelasi Kompetensi.pdf', 'files': [{'filename': 'Laporan Penelitian 2017 - Korelasi Kompetensi.pdf', 'hash': '8099a1c3f17fa654ddc1d1fb4e18971c', 'hash_type': 'MD5', 'mtime': '2018-03-12 08:52:27', 'mime_type': 'application/pdf', 'fileid': 60852, 'filesize': 595672, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/60852', 'objectid': 19549}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19549', 'rev_number': 1, 'eprintid': 6595, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",Lembaga Penelitian dan Pengabdian,unpub,,,public,http://repository.lppm.unila.ac.id/id/eprint/6595,281,2018-04-25 04:00:48,,2018-04-25 04:00:48,65.0,project_report,Universitas Lampung,FISIP,Jurusan Ilmu Komunikasi,,,,,,,,,,,,,
2,5740,published,,Persepsi Mahasiswa Ats Terpaan Isu Politik terhadap Citra Calon Presiden dan Calon wakil Presiden pada Pemilu 2014,show,8,,2017-11-16 09:00:28,archive,Persepsi Mahasiswa Ats Terpaan Isu Politik terhadap Citra Calon Presiden dan Calon wakil Presiden pada Pemilu 2014 (Studi pada mahasiswa FISIP Universitas Lampung angkatan 2013),['HE'],"[{'name': {'family': 'Aprika', 'honourific': None, 'lineage': None, 'given': 'Rahayu'}}, {'name': {'honourific': None, 'family': 'Toni', 'lineage': None, 'given': 'Wijaya'}}]",,,2017-10-18 00:00:00.000000000,disk0/00/00/57/40,conference_item,['FISIP4'],"[{'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'placement': 1, 'security': 'public', 'eprintid': 5740, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18693', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'filesize': 22882496, 'datasetid': 'document', 'filename': 'Prosiding Sefila 2017.docx', 'hash': '2d933270b53a13189f7038b1d502719b', 'hash_type': 'MD5', 'mtime': '2017-11-16 08:39:32', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'fileid': 53971, 'uri': 'http://repository.lppm.unila.ac.id/id/file/53971', 'objectid': 18693}], 'main': 'Prosiding Sefila 2017.docx', 'docid': 18693}]",,pub,,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/5740,688,2017-11-16 09:00:28,,2017-11-16 09:00:28,,,,,,18 Oktober 2017,conference,Swiss Bell Hotel Bandarlampung,SEMINAR NASIONAL FISIP UNILA 2017,paper,,,,,,,,
3,18289,published,,Strategy of Ethnic Identity Negotition of Javanese Migrants Adolescenet in Family Interaction,show,7,,2020-02-28 05:11:36,archive,HAsil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah: Jurnal Ilmiah Nasional,['J1'],"[{'id': 'nina.yudha@fisip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Aryanti', 'given': 'Nina Yudha'}}]",,,1970-01-01 00:00:00.000002017,disk0/00/01/82/89,other,['FISIP4'],"[{'files': [{'objectid': 31443, 'uri': 'http://repository.lppm.unila.ac.id/id/file/153964', 'mime_type': 'application/pdf', 'fileid': 153964, 'filename': 'Strategy of Ethnic.pdf', 'hash': 'cc98bcaae944e0dd8b5b20a599fafc23', 'hash_type': 'MD5', 'mtime': '2020-02-28 04:24:11', 'datasetid': 'document', 'filesize': 565776}], 'docid': 31443, 'main': 'Strategy of Ethnic.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/31443', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 18289, 'language': 'en', 'mime_type': 'application/pdf'}]",Komunitas International Journal of Indonesia Society and Culture,pub,,,public,http://repository.lppm.unila.ac.id/id/eprint/18289,595,2020-02-28 05:11:36,,2020-02-28 05:11:36,,,,,,,,,,,,,,,,,,
4,4731,published,http://jurnal.unnes.ac.id/nju/index.php/komunitas,Strategy of Ethnic Identity Negotition of Javanese Migrants Adolescenet in Family Interaction,show,10,9.0,2017-11-06 06:53:21,archive,"This article seeks to discuss the strategies of negotiation of Javanese ethnic identity in families among Javanese migrants in Lampung. The study found that there are three ways where the adolescents of Javanese migrants negotiate their ethnic identity. First, the adolescent states Javanese ethnic identity as a positive identity safely at family interaction. Second,they state Javanese ethnic identity as a single identity negatively in an unsafe situation. This happens when the adolescent avoid another ethnic identity that directed to them based on labeling in the family. Third, the adolescent choose one of two ethnic identities in a positive way. It’s referring to parent’s ethnic identity differences. Further, they use Javanese and non Javanese language at their family interaction as a basis for selecting ethnic identity.",['H1'],"[{'name': {'family': 'Aryanti', 'honourific': None, 'lineage': None, 'given': 'Nina Yudha'}, 'id': 'nina.unila@gmail.com'}, {'id': 'deddymulyana96@yahoo.com', 'name': {'lineage': None, 'family': 'Mulyana', 'honourific': None, 'given': 'Deddy'}}, {'id': 'haryo2016@unpad.ac.id', 'name': {'given': 'Haryo S.', 'lineage': None, 'honourific': None, 'family': 'Martodirdjo'}}]",2460-7320,Komuntas:  International Journal Indonesian Society and Culture,2017-09-01 00:00:00.000000000,disk0/00/00/47/31,article,['FISIP4'],"[{'docid': 17639, 'main': 'artikel jurnal komunitas a.n. nina yudha unila.pdf', 'files': [{'mtime': '2017-11-06 06:20:25', 'hash_type': 'MD5', 'filename': 'artikel jurnal komunitas a.n. nina yudha unila.pdf', 'hash': '3e96406edc4c16a0147a282689392a9f', 'fileid': 46124, 'mime_type': 'application/pdf', 'filesize': 338056, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/46124', 'objectid': 17639}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17639', 'eprintid': 4731, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",Universitas Negeri Semarang,pub,2.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/4731,595,2017-11-06 06:53:21,170-309,2017-11-06 06:53:21,,,,,,,,,,,nina.aryayudha@gmail.com,"[{'url': 'https://journal.unnes.ac.id/nju/index.php/komunitas/index', 'type': 'pub'}]",NATIONALLY ACCREDITED Based on SK No. 58/DIKTI/Kep/2013,"['Universitas Lampung', 'Universitas Padjadjaran', 'Universitas Padjadjaran']","[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,
5,4546,,,MEDIA ISLAM DAN FORMASI GERAKAN ISLAM DI INDONESIA,show,12,,2017-11-16 06:58:31,archive,"Secara umum penelitian ini menunjukan posisi media Islam pasca Orde Baru. Pertama, media Islam menggunakan medium internet untuk menyebarluaskan gagasan-gagasannya untuk mengatasi media mainstream dan konvensional yang cenderung monoplistik dan oligarkis. Kedua, media Islam merupakan bentuk aktivisme dari organisasi-organisasi baru yang lahir pasca Orde Baru. Sebagian merupakan anak kandung organisasi-organisasi besar yang telah lama ada, seperti NU dan Muhamadiyah, dan sebagian lainnya merupakan bagian dari organisasi Islam internasional. Ketiga, Isu-isu yang dikembangkan sangat bervariasi, demikian pula dengan respon yang diberikan. Namun secara umum merupakan cerminan dari tiga pandangan tentang Islam dan peran sosial politiknya yaitu: liberal, islamis, dan progresif.",['H1'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Ashaf', 'given': 'Abdul Firman'}, 'id': 'ashafnov2008@gmail.com'}, {'id': None, 'name': {'given': 'Andy Corry', 'lineage': None, 'honourific': None, 'family': 'Wardhani'}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Kartika', 'given': 'Tina'}}, {'name': {'given': 'Teguh Budi', 'lineage': None, 'honourific': None, 'family': 'Rahardjo'}, 'id': None}]",,,1970-01-01 00:00:00.000002017,disk0/00/00/45/46,monograph,['FISIP4'],"[{'eprintid': 4546, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': 'Laporan Penelitian_Abdul Firman Ashaf FISIP 2017.pdf', 'docid': 17453, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/44841', 'objectid': 17453, 'filesize': 961127, 'datasetid': 'document', 'hash': '5cf7649b507a4dc706da7d116791cdf3', 'filename': 'Laporan Penelitian_Abdul Firman Ashaf FISIP 2017.pdf', 'mtime': '2017-11-03 14:45:23', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 44841}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/17453', 'rev_number': 1}]",FISIP Universitas Lampung,unpub,,,public,http://repository.lppm.unila.ac.id/id/eprint/4546,831,2017-11-16 06:58:31,,2017-11-16 06:58:31,73.0,project_report,Lampung,Universitas Lampung,Ilmu Komunikasi,,,,,,,,,['Universitas Lampung'],,,,
6,6539,published,http://jurnal.fisip.unila.ac.id/index.php/administratio/article/view/455/364,"Revitalisasi Peran Karang Taruna Melalui Pemberdayaan SNS (Social Networking Sites) (Studi Pada Karang Taruna Kec. Pardasuka, Pringsewu)",show,7,8.0,2018-04-25 08:31:18,archive,"Penelitian ini dilatarbelakangi dari pengguna internet tertinggi di Indonesia adalah pemuda yakni sebesar 59 % dari keseluruhan pengguna internet di Indonesia. 80 % daro sekian pengguna tersebut mengakses ke media sosial atau SNS (Social Networking Sites)/situs jejaring sosial. Penggunaan SNS dalam jumlah yang fantastis oleh pemuda Indonesia sudah selayaknya dapat berkontribusi terhadap keberadaan organisasi karang taruna. Tujuan penelitian ini adalah untuk memperoleh deskripsi dan analisa peran karang taruna dalam membina generasi muda serta pemberdayaan SNS dalam merevitalisasi peran karang taruna dalam membina generasi muda di Desa Pardasuka, Kecamatan Pardasuka, Kabupaten Pringsewu. Tipe penelitian ini deskriptif dengan pendekatan kualitatif. Hasil penelitian ini menunjukkan bahwa peran karang taruna dalam membina generasi muda di desa ini belum maksimal baru sebatas peran teknis. Para pemuda pun belum memanfaatkan SNS semaksimal mungkin diakibatkan beberapa faktor penghambat.",['H1'],"[{'id': 'dewie.brimaatika@fisip.unila.ac.id', 'name': {'lineage': None, 'family': 'Atika', 'honourific': None, 'given': 'Dewie'}}, {'name': {'honourific': None, 'family': 'Andi', 'lineage': None, 'given': 'Windah'}, 'id': 'andi.windah@fisip.unila.ac.id'}]",2087-0825,Jurnal Ilmiah Administrasi Publik dan Pembangunan ADMINISTRATIO,2017-12-01 00:00:00.000000000,disk0/00/00/65/39,article,['FISIP4'],"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 6539, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19518', 'rev_number': 1, 'docid': 19518, 'main': '10. Andi Windah_2017.pdf', 'files': [{'filesize': 365013, 'datasetid': 'document', 'filename': '10. Andi Windah_2017.pdf', 'hash': '66256641d81f4a62eb6eb5e1b79e725b', 'mtime': '2018-03-07 02:43:59', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 60654, 'uri': 'http://repository.lppm.unila.ac.id/id/file/60654', 'objectid': 19518}]}]",Jurusan Administrasi Negara FISIP Unila dan Persadi Lampung,pub,2.0,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/6539,281,2018-04-25 08:31:18,137-144,2018-04-25 08:31:18,,,,,,,,,,,,,,,,,,
7,3358,published,,TREND TEMATIK CERPEN DI SURAT KABAR(Cerpen Kompas Periode 1998-2007),show,8,1.0,2017-06-12 02:37:25,archive,"Tulisan ini bertujuan untuk memperoleh informasi perkembangan tematik dari cerpen-cerpen yang muncul dari waktu ke waktu di harian Kompas. Dengan menggunakan analisis isi kuantitatif (quantitative content analysis) melalui kategori yang dikembangkan oleh Irina Wolf, maka ditemukan bahwa tema sosial sangat mendominasi cerpen-cerpen tersebut. Dominasi tema sosial ini menegaskan warna struktural dari perkembangan cerpen Indonesia.",['H1'],"[{'id': None, 'name': {'given': 'Darwadi', 'honourific': None, 'family': 'Darwadi', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Ashaf', 'honourific': None, 'given': 'Abdul Firman'}, 'id': 'ashafnov2008@gmail.com'}]",2334-3691,METAKOM,2017-01-01 00:00:00.000000000,disk0/00/00/33/58,article,['FISIP4'],"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/23326', 'objectid': 3242, 'hash_type': 'MD5', 'mtime': '2017-06-05 02:42:41', 'filename': 'TREND TEMATIK CERPEN DI SURAT KABAR - OK.rtf', 'hash': '24780ddeedf34f25b502e1495d4cdf98', 'fileid': 23326, 'mime_type': 'text/rtf', 'filesize': 486480, 'datasetid': 'document'}], 'main': 'TREND TEMATIK CERPEN DI SURAT KABAR - OK.rtf', 'docid': 3242, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3242', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 3358, 'language': 'en', 'mime_type': 'text/rtf'}]",Jurusan llmu Komunikasi Universitas Lampung,pub,1.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/3358,831,2017-06-12 02:37:25,53-63,2017-06-12 02:37:25,,,,,,,,,,,,,,,,,,
8,11146,published,http://jurnal.fisip.unila.ac.id/index.php/sefila/article/view/414/324,"KAMPANYE PUBLIC RELATIONS PARTAI NASIONAL DEMOKRAT
(NASDEM) MELALUI SOSIALISASI PROGRAM KAMPUNG
ENTERPRENEUR CREATIVE (KECE) UNTUK MENINGKATKAN
KESEJAHTERAAN EKONOMI (Studi Pada Calon Gubernur Lampung
Mustafa)",show,9,,2019-05-02 04:18:12,archive,"Penelitian ini bertujuan untuk mengetahui kampanye public relations (PR) partai Nasional
Demokrat (Nasdem) dalam memperkenalkan citra calon gubernur Lampung, yaitu Mustafa
yang memiliki program Kampung Enterprenur Creative (KECE) di Lampung dan untuk
melihat strategi kampanye public relations (PR) partai Nasional Demokrat (Nasdem) melalui
sosialisasi Kampung Enterprenur Creative untuk meningkatkan kesejahteraan ekonomi.
Alasan pemilihan tema ini dikarenakan program Kampung Enterprenur Creative (KECE) ini
yang menjadi program unggulan sehingga diperlukan startegi-strategi untuk
mengkampanyekan dan mensosialisasikannya. Model kampanye yang digunakan adalah The
Five Functional Stages Development Model atau Model perkembangan lima tahap. Fokus
model ini adalah pada tahapan kegiatan kampanye, bukan pada proses pertukaran pesan antara
campaigner dan campaignee. Pada model ini digambarkan bagaimana tahapan kegiatan
kampanye harus dilalui sebelum akhirnya kegiatan tersebut berhasil atau gagal mencapai
tujuan. Tahapan kegiatan tersebut meliputi: identifikasi, legitimasi, partisipasi, penetrasi, dan
distribusi. Konsep yang digunakan ialah kampanye public relations,  sosialisasi, dan
kesejahteraan ekonomi. Metode penelitian yang digunakan adalah metode penelitian yang
bersifat studi kasus. Paradigma yang dipakai ialah paradigma postpositivisme.  Subyek
penelitian ialah Badan Pemenangan Pemilu Partai Nasional Demokrat (Nasdem) dan obyek
penelitian ialah kampanye public relations mensosialisasikan program Kampung
Enterpreneur Creative (KECE). Teknis analisis data adalah dengan menggunakan teknik
observasi, wawancara, dan data sekunder dari studi kepustakaan dan sumber bacaan lainnya.
Hasil penelitian ialah Partai Nasional Demokrat (Nasdem) menggunakan strategi kampanye
public relations dengan menggunakan media cetak (surat kabar, majalah maupun tabloid),
media elektronik (televise dan radio), media baru yaitu internet dan media sosial lainnya
seperti, Facebook, Blog, Twitter dan sejenisnya dan dengan opinion leader yakni Calon
Gubernur Lampung Mustafa. Calon Gubernur Lampung Mustafa dalam mensosialisasikan
program Kampung Enterpreneur Creative (KECE) menekankan pada kesejahteraan
masyarakat yang terpusat pada entrepreneur-entreprenur yang nantinya mampu menciptakan
lapangan pekerjaan. Kesimpulan dari penelitian ini adalah strategi kampanye public relations
sangat mendukung dalam mensosialisasikan program Kampung Enterpreneur Creative
(KECE) di setiap Kecamatan yang berada di Kabupaten seluruh Provinsi Lampung guna
meningkatkan kesejahteraan ekonomi dan menekan angka pengangguran pada pemuda di
Provinsi Lampung",['HE'],"[{'name': {'honourific': None, 'family': 'Daud', 'lineage': None, 'given': 'Rosy Febriani'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Aprilani', 'given': 'Deddy'}}]",,,2017-10-01 00:00:00.000000000,disk0/00/01/11/46,conference_item,['FISIP4'],"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 11146, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24137', 'docid': 24137, 'main': 'Kampanye Public Relations Partai Nasional demokrat (Nasdem) Melalui sosialisasi program Kampung Entrepreneur Creative (KECE) untuk meningkatkan Kesejahteraan Ekonomi.pdf', 'files': [{'datasetid': 'document', 'filesize': 3261392, 'mime_type': 'application/pdf', 'fileid': 101819, 'filename': 'Kampanye Public Relations Partai Nasional demokrat (Nasdem) Melalui sosialisasi program Kampung Entrepreneur Creative (KECE) untuk meningkatkan Kesejahteraan Ekonomi.pdf', 'hash': 'cbbe0f06b6bc88eba03d14432ea25cdb', 'mtime': '2019-04-12 07:03:54', 'hash_type': 'MD5', 'objectid': 24137, 'uri': 'http://repository.lppm.unila.ac.id/id/file/101819'}]}]",,pub,,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/11146,255,2019-05-02 04:18:12,249-262,2019-05-02 04:18:12,,,,,,18 Oktober 2017,conference,"Hotel Swiss Bell , Bandar Lampung",Seminar Nasional FISIP Universitas Lampung,paper,,,,['FISIP Universitas Lampung'],,,,
9,10377,published,http://jurnal.fisip.unila.ac.id/index.php/sefila/article/view/409,PENGALAMAN SOSIAL KONFLIK ANTAR ETNIK (Studi Fenomenologi Pengalaman Komunikasi pra dan pasca Penyerangan Etnik Lampung terhadap Etnik Bali di Desa Balinuraga Kec Way Panji Lampung Selatan),show,7,,2019-01-02 08:00:35,archive,"Salah satu pengalaman sosial, khususnya kehidupan antar etnik pada saat terjadinya konflik menunjukkan adanya dinamika sosial yang cukup tinggi. Pengalaman-pengalaman masa lalu dapat dipergunakan sebagai cermin untuk instrospeksi diri dan berperilaku. Tujuan penelitian ini mengetahui pengalaman perilaku komunikasi dalam Kehidupan social pasca penyerangan etnik Lampung terhadap etnik Bali di Desa Balinuraga. Penelitian ini mengunakan metodologi fenomenologi dan deskriptif analitik kualitatif, mengunakan studi mendalam serta pendekatan obyektif-subyektif. Selain itu, mengungkap proses secara akumulatif terjadinya perbedaan kesepahaman dalam pemberian makna simbol-simbol komunikasi. Kurangnya memahami simbol simbol komunikasi dalam masyarakat, terimlementasi dalam perilaku komunikasi berakibat dapat fatal, berujung pada kekerasan antar kelompok sosial. Penelitian ini
menggunakan pendekatan historis. Subyek penelitian ini dibagi menjadi dua, masyarakat Desa Balinuraga dan Desa Agom, yang berada di Kecamatan Way Panji Kabupaten Penduduk lokal Selatan. Hasil penelitian. Perbedaan latar belakang kebudayaan, kepentingan individu maupun
kelompok dapat menciptakan perilaku komunikasi yang berbeda. Perilaku komunikasi yang terjadi antara kedua etnik membawa pengalaman tersendiri. Ada pengalaman yang didapat oleh masyarakat dari etnik Bali maupun Lampung yang dapat mendukung terjadinya rekonsiliasi dan kedua ada Perilaku komunikasi yang antara etni Bali dan Lampung yang
kurang mendukung terjadinya rekonsiliasi. Kesimpulan dalam penelitian ini menyatakan, bahwa kesenjangan perilaku komunikasi dan berinteraksi sosial dipengaruhi oleh perbedaan perilaku komunikasi dengan latar belakang budaya, adat-istiadat, keyakinan, kepandaian, dan pengetahuan, serta di dalamnya terkait dengan pendirian dan perasaan akan sesuatu
permasalahan sosial yang didapat seseorang dalam dan kurangnya nilai-nilai kearifan lokal yang diadopsi serta pengalaman seseorang dalam berinteraksi sosial

Key word : Pengalaman sosial, komunikasi antarbudaya, Perilaku komunikasi",['H1'],"[{'id': 'ibrahim.besar@fisip.unila.ac.id', 'name': {'given': 'Besar', 'honourific': None, 'family': 'Ibrahim', 'lineage': None}}]",,,2017-10-18 00:00:00.000000000,disk0/00/01/03/77,conference_item,['FISIP4'],"[{'files': [{'filename': 'Seminar_Prosiding_IBrahim-2017.pdf', 'hash': 'de090f2d646c9401f894963ffdf98350', 'hash_type': 'MD5', 'mtime': '2018-11-24 04:29:09', 'mime_type': 'application/pdf', 'fileid': 96604, 'filesize': 491498, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/96604', 'objectid': 23393}], 'main': 'Seminar_Prosiding_IBrahim-2017.pdf', 'docid': 23393, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23393', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 10377, 'mime_type': 'application/pdf', 'language': 'en'}]",,pub,,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/10377,211,2019-01-02 08:00:35,200-205,2019-01-02 08:00:35,,,,,,18 Oktober 2017,conference,"Hotel Swiss Bell, Bandarlampung","Seminar Nasional FISIP UNILA 2017 "" Membangun Etika Sosial Politik Menuju Masyarakat yang Berkeadilan""",keynote,,,,['FISIP Universitas Lampung'],"[{'id': 'ibrahim.besar@fisip.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/RES', 'name': {'lineage': None, 'family': 'Ibrahim', 'honourific': None, 'given': 'Besar'}}]",,,
