,eprintid,status_changed,eprint_status,subjects,abstract,title,rev_number,metadata_visibility,type,divisions,creators,dir,lastmod,userid,datestamp,ispublished,documents,publisher,full_text_status,uri,related_url,official_url,issn,publication,refereed,event_type,event_dates,date_type,event_title,event_location,pres_type,corp_creators,volume,number,pagerange,contact_email,contributors,referencetext,book_title,pages,isbn,department,institution,monograph_type,output_media,funders,projects,place_of_pub,id_number
0,29142,2021-04-13 02:13:01,archive,['H1'],Reviewer Karya Ilmiah : INDUKSI NILAI KEARIFAN LOKAL LAMPUNG PADA BUDAYA PELAYANAN PRIMA UNTUK PENINGKATN KINERJA PEMERINTAHAN DAERAH,Reviewer Karya Ilmiah : INDUKSI NILAI KEARIFAN LOKAL LAMPUNG PADA BUDAYA PELAYANAN PRIMA UNTUK PENINGKATN KINERJA PEMERINTAHAN DAERAH,7,show,other,['FISIP4'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Ali', 'given': 'Suprihatin'}, 'id': 'shalie1974@gmail.com'}, {'name': {'honourific': None, 'family': 'Wibawa', 'lineage': None, 'given': 'Agung'}, 'id': 'agung.wibawa@fisip.unila.ac.id'}]",disk0/00/02/91/42,2021-04-13 02:13:01,258,2021-04-13 02:13:01,pub,"[{'main': '3. INDUKSI NILAI KEARIFAN LOKAL LAMPUNG PADA BUDAYA PELAYANAN PRIMA UNTUK PENINGKATN KINERJA PEMERINTAHAN DAERAH.pdf', 'docid': 43251, 'files': [{'datasetid': 'document', 'filesize': 447715, 'fileid': 258419, 'mime_type': 'application/pdf', 'mtime': '2021-04-12 04:34:22', 'hash_type': 'MD5', 'filename': '3. INDUKSI NILAI KEARIFAN LOKAL LAMPUNG PADA BUDAYA PELAYANAN PRIMA UNTUK PENINGKATN KINERJA PEMERINTAHAN DAERAH.pdf', 'hash': 'c12f5a2345d2598f93e8c689dca7f7f6', 'objectid': 43251, 'uri': 'http://repository.lppm.unila.ac.id/id/file/258419'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43251', 'eprintid': 29142, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",Seminar Nasional SeFIla 2016,public,http://repository.lppm.unila.ac.id/id/eprint/29142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,29144,2021-04-13 02:13:06,archive,['H1'],Reviewer Karya Ilmiah : Pengukuran Kualitas Pelayanan Sektor Publik Dalam Rangka Peningkatan Budaya Pelayanan Prima (Studi Pada Masyarakat Kota Bandar Lampung dan Metro),Reviewer Karya Ilmiah : Pengukuran Kualitas Pelayanan Sektor Publik Dalam Rangka Peningkatan Budaya Pelayanan Prima (Studi Pada Masyarakat Kota Bandar Lampung dan Metro),7,show,other,['FISIP4'],"[{'name': {'honourific': None, 'family': 'Ali', 'lineage': None, 'given': 'Suprihatin'}, 'id': 'shalie1974@gmail.com'}, {'id': 'agung.wibawa@fisip.unila.ac.id', 'name': {'family': 'Wibawa', 'honourific': None, 'lineage': None, 'given': 'Agung'}}]",disk0/00/02/91/44,2021-04-13 02:13:06,258,2021-04-13 02:13:06,pub,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43253', 'main': '4. Pengukuran Kualitas Pelayanan Sektor Publik Dalam Rangka Peningkatan Budaya Pelayanan Prima.pdf', 'docid': 43253, 'files': [{'hash_type': 'MD5', 'mtime': '2021-04-12 04:40:04', 'hash': '1e5da925828c945d52e63d9b305da932', 'filename': '4. Pengukuran Kualitas Pelayanan Sektor Publik Dalam Rangka Peningkatan Budaya Pelayanan Prima.pdf', 'fileid': 258430, 'mime_type': 'application/pdf', 'filesize': 460674, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/258430', 'objectid': 43253}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 29144, 'security': 'public', 'placement': 1}]",Seminar Grand Design Reformsi ASN,public,http://repository.lppm.unila.ac.id/id/eprint/29144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3402,2017-06-12 02:23:57,archive,['HE'],"Sosiologi: Jurnal Ilmiah Kajian Ilmu Sosial dan Budaya
Open Journal Systems
Journal Help
User
Username 	
Password 	
Remember me
Notifications

    View
    Subscribe

Journal Content Search

Browse

    By Issue
    By Author
    By Title
    Other Journals

Font Size
Make font size smaller
Make font size default
Make font size larger

Information

    For Readers
    For Authors
    For Librarians

    Home About Login Register Search Current Archives 

Home > Vol 14, No 1 (2012) > Windah
NEW SOCIAL MEDIA AND PUBLIC RELATIONS: REVIEW OF THE MEDIUM THEORY
Andi Windah

Abstract

Media telah menjadi bagian yang tak terpisahkan dengan masyarakat. Integrasi ini membawa berbagai perubahan kepada kedua belah pihak mengingat interaksi yang terjalin di antara keduanya. Salah satu perubahan yang mendasar adalah bagaimana media telah membawa sudut pandang baru bagi masyarakat dalam menjalani kehidupannya sehari-hari. Bila dikaji dari sejarah, kondisi ini sebenarnya sudah terjadi sedari media itu ditemukan untuk pertama kalinya. Gagasan bahwa media adalah sebuah lingkungan yang mampu mendorong inovasi bahkan revolusi sebagaimana yang dicetuskan oleh para ahli teori medium. Artikel ini menilik lebih jauh mengenai keberadaan teori medium dengan menggunakan metode studi literatur dan contoh aplikasinya yakni melalui keberadaan media sosial dan implikasi penggunaan media sosial dalam praktek kehumasan. Pendekatan yang digunakan adalah pendekatan praktis dengan menekankan pada pembahasan deskriptif. Dari hasil pembahasan, ditemukan bahwa teori medium berakar pada konsep keberadaan media sebagai sebuah lingkungan yang mampu membawa pengaruh dan perubahan kepada kehidupan manusia. Misalnya aktivitas dalam media sosial semakin mempengaruhi kehidupan di luar media sosial, dengan contoh kasus pemilihan Presiden Barack Obama pada tahun 2008.Kehadiran media sosial juga memciptakan banyak peluang baru bagi praktek di dunia kehumasan, misalnya munculnya profesi kehumasan yang khusus mengelola image perusahaan melalui dunia maya.",NEW SOCIAL MEDIA AND PUBLIC RELATIONS: REVIEW OF THE MEDIUM THEORY,6,show,article,['FISIP4'],"[{'name': {'given': 'Windah', 'honourific': None, 'family': 'Andi', 'lineage': None}}]",disk0/00/00/34/02,2017-06-12 02:23:57,281,2017-06-12 02:23:57,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 3402, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3265', 'pos': 1, 'format': 'text', 'files': [{'objectid': 3265, 'uri': 'http://repository.lppm.unila.ac.id/id/file/23541', 'mime_type': 'application/pdf', 'fileid': 23541, 'filename': '1. Andi Windah_2012.pdf', 'hash': '24978d6b5383c38c746992f6bca0d93f', 'mtime': '2017-06-05 07:14:18', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 197612}], 'main': '1. Andi Windah_2012.pdf', 'docid': 3265}]",Jurusan Sosiologi FISIP Unila,public,http://repository.lppm.unila.ac.id/id/eprint/3402,[{'url': 'http://publikasi.fisip.unila.ac.id/index.php/sosiologi/article/view/156'}],http://publikasi.fisip.unila.ac.id/index.php/sosiologi,1411-0040,Sosiologi: Jurnal Ilmiah Kajian Ilmu Sosial dan Budaya,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
3,51093,2023-05-05 06:52:06,archive,['H1'],,Koresnpondensi : HIV/AIDS-related knowledge among Indonesian women the role of media exposure and socio-demographic factors,7,show,other,['FISIP4'],"[{'name': {'family': 'Andy', 'honourific': None, 'lineage': None, 'given': 'Corry'}, 'id': 'andy.corry@fisip.unila.ac.id'}]",disk0_bak/00/05/10/93,2023-05-05 06:52:06,572,2023-05-05 06:52:06,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 51093, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/549363', 'objectid': 190809, 'hash': '2e8f2b34b4fa740ca76171188bc0b874', 'filename': 'KORESPONDEN JURNAL ANDY CORRY W HIVAIDS-related knowledge.pdf', 'hash_type': 'MD5', 'mtime': '2023-05-05 05:52:44', 'mime_type': 'application/pdf', 'fileid': 549363, 'filesize': 1185769, 'datasetid': 'document'}], 'main': 'KORESPONDEN JURNAL ANDY CORRY W HIVAIDS-related knowledge.pdf', 'docid': 190809, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190809', 'rev_number': 1, 'format': 'text', 'pos': 1}]",-,public,http://repository.lppm.unila.ac.id/id/eprint/51093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,51092,2023-05-05 06:52:09,archive,['H1'],,Korespondensi : HIV/AIDS-related knowledge among Indonesian women: the role of media exposure and socio-demographic factors,6,show,other,['FISIP4'],"[{'name': {'given': 'Corry', 'lineage': None, 'family': 'Andy', 'honourific': None}, 'id': 'andy.corry@fisip.unila.ac.id'}]",disk0_bak/00/05/10/92,2023-05-05 06:52:09,572,2023-05-05 06:52:09,pub,,-,none,http://repository.lppm.unila.ac.id/id/eprint/51092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,51095,2023-05-05 06:52:02,archive,['H1'],,"Similirity : Analysis Of The Governmental Social Media Content Management (Study Accounts Of The Directorate General Of
Taxes)",7,show,other,['FISIP4'],"[{'id': 'andy.corry@fisip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Andy', 'given': 'Corry'}}]",disk0_bak/00/05/10/95,2023-05-05 06:52:02,572,2023-05-05 06:52:02,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 51095, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 190811, 'uri': 'http://repository.lppm.unila.ac.id/id/file/549378', 'fileid': 549378, 'mime_type': 'application/pdf', 'mtime': '2023-05-05 06:18:58', 'hash_type': 'MD5', 'hash': 'b57c10e7aa604a120ba3bba7ea674a01', 'filename': 'SIMILARITY Analysis of governmental social media ANDY CORRY.pdf', 'datasetid': 'document', 'filesize': 382140}], 'main': 'SIMILARITY Analysis of governmental social media ANDY CORRY.pdf', 'docid': 190811, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190811', 'pos': 1, 'format': 'text'}]",-,public,http://repository.lppm.unila.ac.id/id/eprint/51095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,50780,2023-04-27 06:15:27,archive,['H1'],,"Similirity : HIV/AIDS-related knowledge among
Indonesian women: the role of media
exposure and socio-demographic factors",8,show,other,['FISIP4'],"[{'id': 'andy.corry@fisip.unila.ac.id', 'name': {'family': 'Andy', 'honourific': None, 'lineage': None, 'given': 'Corry'}}]",disk0_bak/00/05/07/80,2023-04-27 06:15:27,887,2023-04-27 06:15:27,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 50780, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 190487, 'uri': 'http://repository.lppm.unila.ac.id/id/file/547038', 'fileid': 547038, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-04-27 02:37:55', 'hash': 'cf80001f271c405c1ec593ec586a7aa8', 'filename': 'SIMILARITY-HIV_AIDS-related knowledge among Indonesian women.pdf', 'datasetid': 'document', 'filesize': 333250}], 'docid': 190487, 'main': 'SIMILARITY-HIV_AIDS-related knowledge among Indonesian women.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190487', 'rev_number': 1, 'format': 'text', 'pos': 1}]",-,public,http://repository.lppm.unila.ac.id/id/eprint/50780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,50819,2023-04-28 06:23:15,archive,['H1'],,Similirity: Study of Culture and Media as Solutions for Resolving Beggers and Street Children in Bandarlampung City,7,show,other,['FISIP4'],"[{'name': {'given': 'Corry', 'family': 'Andy', 'honourific': None, 'lineage': None}, 'id': 'andy.corry@fisip.unila.ac.id'}]",disk0_bak/00/05/08/19,2023-04-28 06:23:15,887,2023-04-28 06:23:15,pub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/190529', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2023-04-28 02:55:51', 'hash': '8532f78ab7a03a5ec6dcba445e1bc9d5', 'filename': 'Study of Culture and Media as Solutions.pdf', 'fileid': 547336, 'mime_type': 'application/pdf', 'filesize': 948212, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/547336', 'objectid': 190529}], 'docid': 190529, 'main': 'Study of Culture and Media as Solutions.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 50819}]",-,public,http://repository.lppm.unila.ac.id/id/eprint/50819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,36785,2021-11-14 12:17:42,archive,['H1'],"Covid-19 pandemic increases the use of social media among communities in Southeast Asia, including in Indonesia. One of the reasons behind this increase is due to the demand to stay at home, in order to suppress the transmission of Covid-19.   
In a report called Digital 2021:  The Latest Insight Into The State of Digital, it is found that out of a total of 274.9 million people in Indonesia, 170 million of them have used social media.  The number of active social media users in Indonesia grew by 10 million or around 6.3 percent compared to January 2020 . 
The high growth of social media is not accompanied by an increase in the level of media literacy and critical thinking power so that various problems arise in society.",Challenges in Facing a Pandemic in the Age of Social Media,8,show,conference_item,['FISIP4'],"[{'id': 'andy.corry@fisip.unila.ac.id', 'name': {'given': 'Corry', 'honourific': None, 'family': 'Andy', 'lineage': None}}, {'id': 'andiwindah@gmail.com', 'name': {'given': 'Andi', 'family': 'Windah', 'honourific': None, 'lineage': None}}]",disk0/00/03/67/85,2021-11-14 12:17:42,281,2021-11-14 12:17:42,submitted,"[{'docid': 157705, 'main': 'Corry & Windah - Challenges in Facing Pandemic in the Age of Social Media (3).pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/423166', 'objectid': 157705, 'filesize': 1046962, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-11-14 10:01:10', 'hash': '0e02b3b3d8a7e96a5d8e8f618c467862', 'filename': 'Corry & Windah - Challenges in Facing Pandemic in the Age of Social Media (3).pdf', 'fileid': 423166, 'mime_type': 'application/pdf'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157705', 'eprintid': 36785, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",,public,http://repository.lppm.unila.ac.id/id/eprint/36785,,,,,FALSE,other,15 - 17 Juni 2021,submitted,International Joint Summer School 2021,"Kroasia, Bandar Lampung, Bali",lecture,,,,,,,,,,,,,,,,,,
9,51700,2023-05-17 01:27:01,archive,['HN'],"Remaja menjadi salah satu segmen pasar utama dan potensial bagi 
media,khususnya media elektronik radio, televise, dan media internet. Oleh karena 
itu banya konten internet dan acara yang dirancang untuk audience remaja , 
konten-konten hiburan, game, video, gaya hidup, yang marak di situs-situs 
internet, dan bermacam-macam macam film, ajang pencarian bakat, reality show, 
yang marak di berbagai stasiun televisi, begitu pula sinetron remaja dan 
percintaan. Selain itu juga tidak ketinggalan berbagai macam iklan yang ditujukan 
bagi khalayak remaja dan remaja, seperti iklan makanan (snack), mainan, 
perawatan tubuh, dan lain-lainnya. Berdasarkan hasil dan pembahasan penelitan ini maka dapat disimpulkan bahwa 
cukup banyak remaja di Bandar Lampung yang mengalami adiksi media internet. 
Sebagian besar remaja di Bandar Lampung berada pada kondisi potensial 
kecanduan internet, dan hanya sebagian kecil yang berada pada kondisi aman/ 
terkendali pola konsumsi media internetnya.","Adiksi Media pada Remaja di Bandar Lampung 
(Studi pada Pola konsumsi Media Internet pada Siswa Sekolah Menengah 
Atas di Bandar Lampung)",8,show,other,['FISIP4'],"[{'name': {'given': 'Andy', 'lineage': None, 'honourific': None, 'family': 'Andy Corry Wardhani'}, 'id': 'andy.corry@fisip.unila.ac.id'}, {'id': 'hestin.oktiani@fisip.unila.ac.id', 'name': {'given': 'Hestin', 'honourific': None, 'family': 'Hestin Oktiani', 'lineage': None}}, {'name': {'given': 'Firman', 'family': 'A. Firman Ashaf', 'honourific': None, 'lineage': None}, 'id': None}]",disk0_bak/00/05/17/00,2023-05-17 01:27:01,272,2023-05-17 01:27:01,unpub,"[{'eprintid': 51700, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 249970, 'main': 'LAP ADIKSI MEDIA REMAJA.pdf', 'files': [{'fileid': 612622, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-05-16 14:52:40', 'hash': 'c441793253d22caf34f6f0c67c0f33c3', 'filename': 'LAP ADIKSI MEDIA REMAJA.pdf', 'datasetid': 'document', 'filesize': 1280630, 'objectid': 249970, 'uri': 'http://repository.lppm.unila.ac.id/id/file/612622'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/249970', 'rev_number': 1}]",UNILA,public,http://repository.lppm.unila.ac.id/id/eprint/51700,,,,,,,,,,,,"['FISIP UNILA', 'FISIP UNILA', 'FISIP UNILA']",,,,,,,,,,,,,,,,,
