,divisions,type,date,dir,publication,issn,creators,datestamp,pagerange,lastmod,userid,uri,full_text_status,refereed,ispublished,documents,publisher,date_type,eprintid,subjects,abstract,eprint_status,status_changed,rev_number,volume,metadata_visibility,title,official_url,contact_email,corp_creators,number,id_number,related_url,place_of_pub,isbn,contributors,book_title,editors,pages,funders,department,institution,monograph_type
0,['FISIP4'],article,2018-09-01 00:00:00.000000000,disk0/00/01/07/48,"Proceeding of International Indonesia Conference on Interdisciplinary Studies  Lampung University, Indonesia",9786025075629,"[{'name': {'given': 'Windah', 'lineage': None, 'honourific': None, 'family': 'Andi'}}]",2019-04-05 08:02:39,20-30,2019-04-05 08:02:39,281,http://repository.lppm.unila.ac.id/id/eprint/10748,public,FALSE,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 10748, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23762', 'pos': 1, 'format': 'text', 'files': [{'objectid': 23762, 'uri': 'http://repository.lppm.unila.ac.id/id/file/99190', 'fileid': 99190, 'mime_type': 'application/pdf', 'mtime': '2019-02-12 04:50:46', 'hash_type': 'MD5', 'hash': '4989fd851345c26f4eb411a3d8c55a65', 'filename': '3. IICIS 2018 - STATE AND DIGITAL SOCIETY.pdf', 'datasetid': 'document', 'filesize': 4448534}], 'docid': 23762, 'main': '3. IICIS 2018 - STATE AND DIGITAL SOCIETY.pdf'}]",LPPM University of Lampung (Unila),completed,10748,['HE'],"Indonesia is considered the most powerful country among other Southeast Asia countries and its political growth has become an appealing object for large number of comprehensive studies. Two of the significant phases in Indonesia’s political history that draws considerable attention from many foreign scholars and academics are new order era and reformation period especially in term of public life, power’s visibility and media development. This article delivers an extended discussion of those three concepts as it draws upon several junctures of political development in Indonesian history to describe the practice of life in the country. It also explains how the power’s visibility in Indonesia and media development intertwines by examining related literatures, data and information to the concepts. As recorded by history, the state’s new order era was shaped by President Suharto’s personal dan profesional qualities. It was administered by the regime’s effort to curtail the society’s direct participation in the state’s decision-making process by increasing military intervention into the civilian sphere and increasing military interpretation of the business, diplomatic and political elites. Simultaneously, Indonesia’s media was closely scrutinized by the officials under the regime.  Following that, the downfall of Suharto and his New Order regime in 1998 had brought changes to Indonesia, such as the improvement of the society’s role in the state’s performance. It also stimulated changes within the law enforcement institutions and had provided more opportunities to the society to access information sources freely such as the rise of the Internet.",archive,2019-04-05 08:02:39,6,1.0,show,"4 
INDONESIA’S PUBLIC LIFE, POWER VISIBILITY AND MEDIA
DEVELOPMENT FROM NEW ORDER ERA TO REFORMATION PERIOD",http://iicis.fisip.unila.ac.id/,,,,,,,,,,,,,,,
1,['FISIP4'],other,2018-12-13 00:00:00.000000000,disk0/00/02/30/35,,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Aryanti', 'given': 'Nina Yudha'}, 'id': 'nina.yudha@fisip.unila.ac.id'}]",2020-07-08 03:56:36,,2020-07-08 03:56:36,595,http://repository.lppm.unila.ac.id/id/eprint/23035,public,,pub,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36594', 'rev_number': 1, 'docid': 36594, 'main': 'kompetensi pasutri.pdf', 'files': [{'objectid': 36594, 'uri': 'http://repository.lppm.unila.ac.id/id/file/211299', 'datasetid': 'document', 'filesize': 509889, 'mime_type': 'application/pdf', 'fileid': 211299, 'filename': 'kompetensi pasutri.pdf', 'hash': 'a2500aeac8af0052f77382c7b58eb0fd', 'hash_type': 'MD5', 'mtime': '2020-07-08 02:15:25'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 23035, 'security': 'public', 'placement': 1}]",lppm unila,,23035,['H1'],Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah: Prosiding dan Makalah yang Dipresentasikan,archive,2020-07-08 03:56:36,10,,show,Kompetensi Pasutri dan Sosialisasi Budaya Transmigran Jawa dalam Latar Budaya Majemuk di Lampung.,,nina.yudha@fisip.unila.ac.id,,,,,,,,,,,,,,
2,['FISIP4'],other,2018-12-13 00:00:00.000000000,disk0/00/02/30/36,,,"[{'id': 'nina.yudha@fisip.unila.ac.id', 'name': {'given': 'Nina Yudha', 'lineage': None, 'family': 'Aryanti', 'honourific': None}}]",2020-07-08 03:56:30,,2020-07-08 03:56:30,595,http://repository.lppm.unila.ac.id/id/eprint/23036,public,,pub,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36595', 'rev_number': 1, 'main': 'kompetensi pasutri.pdf', 'docid': 36595, 'files': [{'objectid': 36595, 'uri': 'http://repository.lppm.unila.ac.id/id/file/211306', 'mime_type': 'application/pdf', 'fileid': 211306, 'filename': 'kompetensi pasutri.pdf', 'hash': 'a2500aeac8af0052f77382c7b58eb0fd', 'hash_type': 'MD5', 'mtime': '2020-07-08 02:39:36', 'datasetid': 'document', 'filesize': 509889}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 23036, 'security': 'public', 'placement': 1}]",Prosiding Hasil Penelitian dan Pengabdian Kepada Masyarakat,published,23036,['H1'],Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah: Prosiding dan Makalah yang Dipresentasikan,archive,2020-07-08 03:56:30,7,,show,Kompetensi Pasutri dan Sosialisasi Budaya Transmigran Jawa dalam Latar Budaya Majemuk di Lampung.,,nina.yudha@fisip.unila.ac.id,,,,,,,,,,,,,,
3,['FISIP4'],article,2018-03-01 00:00:00.000000000,disk0/00/00/93/74,Biodiversitas Journal of Biological Diversity,1412-033X,"[{'id': 'samsul.bakri@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Bakri', 'honourific': None, 'given': 'Samsul'}}, {'name': {'given': 'Agus', 'honourific': None, 'family': 'Setiawan', 'lineage': None}, 'id': 'aslulila@yahoo.com'}, {'id': 'ida.nurhaida@fisip.unila.ac.id', 'name': {'given': 'Ida', 'lineage': None, 'honourific': None, 'family': 'nurhaida'}}]",2018-11-04 13:28:49,413-420,2018-11-04 13:28:49,774,http://repository.lppm.unila.ac.id/id/eprint/9374,public,TRUE,pub,"[{'eprintid': 9374, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 22430, 'main': 'BIODIVERSITAS_SAMSUL BAKRI DKK_D190208.pdf', 'files': [{'objectid': 22430, 'uri': 'http://repository.lppm.unila.ac.id/id/file/89572', 'mime_type': 'application/pdf', 'fileid': 89572, 'hash': 'd09b9c05616600c3feaf70d84ec6f6db', 'filename': 'BIODIVERSITAS_SAMSUL BAKRI DKK_D190208.pdf', 'hash_type': 'MD5', 'mtime': '2018-11-03 04:33:20', 'datasetid': 'document', 'filesize': 359517}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/22430', 'rev_number': 1}]",Society for Indonesian Biodiversity,published,9374,['SD'],"Abstract. Bakri S, Setiawan A, Nurhaida I. 2018. Coffee bean physical quality: The effect of climate change adaptation behavior of shifting up cultivation area to a higher elevation. Biodiversitas 19: 413-420. The coffee cultivation shifting into a higher elevation can be considered as a farmer’s behavioral adaptation to the climate change to find an optimum temperature and more fertile soil for the coffee growth. The behavior is rampant for Robusta coffee (Coffea canephora) planters in Lampung Province, the main contributor area that places Indonesia as the second largest coffee bean exporting country for more than two decades. The behavior certainly causes environmental deterioration, while the positive impact has not been well-measured, even for physical bean performance that determine its export competitiveness. This study aimed to determine the effect of the behavior on two coffee bean physical indices, the 1000-dried fruit weight or the index of [W_1000], and the percentage of floated fruit upon water soaking or the index of [FLOAT]. Ordinary Least Square Model was applied at a significance level of 10% with the two indices as the response variables. The predictor variable is the elevation area, accompanied by slope steepness and area position in relation to its exposure against solar radiation. The field survey lasted from June to August 2017. Riped coffee fruit samples were collected from 32 sites, ranging from 300 to 1,170 m asl. The results suggested that the behavior would improve the [W_1000] index but worsening the other. 
Keywords: climate change adaptation, coffee bean quality, shifting up to a higher elevation",archive,2018-11-04 13:28:49,14,19.0,show,Coffee bean physical quality: The effect of climate change adaptation behavior of shifting up cultivation area to a higher elevation,http://biodiversitas.mipa.uns.ac.id/,,['FMIPA UNS'],2.0,E-ISSN: 2085-4722,"[{'url': 'http://biodiversitas.mipa.uns.ac.id/', 'type': 'pub'}]",,,,,,,,,,
4,['FISIP4'],other,2018-03-01 00:00:00.000000000,disk0/00/01/96/41,,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Bakri', 'given': 'samsul'}, 'id': 'samsul.bakri@fp.unila.ac.id'}, {'name': {'honourific': None, 'family': 'nurhaida', 'lineage': None, 'given': 'ida'}, 'id': 'ida.nurhaida@fisip.unila.ac.id'}]",2020-05-15 02:49:50,,2020-05-15 02:49:50,774,http://repository.lppm.unila.ac.id/id/eprint/19641,public,,pub,"[{'main': 'Penelitian 3_Coffee bean.pdf', 'docid': 32868, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/163977', 'objectid': 32868, 'filesize': 509842, 'datasetid': 'document', 'filename': 'Penelitian 3_Coffee bean.pdf', 'hash': 'cdcf766e4866e86efeeb1a359fe9be20', 'hash_type': 'MD5', 'mtime': '2020-05-14 13:48:07', 'mime_type': 'application/pdf', 'fileid': 163977}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32868', 'eprintid': 19641, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",Society for Indonesian Biodiversity/Department of Biology FMNS Universitas Sebelas Maret,published,19641,['H1'],"Reviewer 1. Dr. Andy Coory Wardani
         2. Dr. Abdul Frmal Ashaf",archive,2020-05-15 02:49:50,7,,show,Hasil Review ten sejawat terhadap Karya Penelitin 3 Jurnal Iternasonal Bereputasi berjudul Coffee bean physical quality: the effect climate change behvior adaptation of shithing up cultivation on highger elevatio,http://repository.unila.ac.id,,,,eISSN: 1412-033X,,Surakarta,,,,,,,,,
5,['FISIP4'],book,1970-01-01 00:00:00.000002018,disk0/00/04/00/81,,,"[{'id': 'nanang.trenggono@fisip.unila.ac.id', 'name': {'lineage': None, 'family': 'Nanang Trenggono', 'honourific': None, 'given': 'Nanang Trenggono'}}]",2022-03-10 08:59:09,,2022-03-10 08:59:09,357,http://repository.lppm.unila.ac.id/id/eprint/40081,public,TRUE,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 40081, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 161373, 'uri': 'http://repository.lppm.unila.ac.id/id/file/448214', 'fileid': 448214, 'mime_type': 'application/pdf', 'mtime': '2022-03-10 04:54:49', 'hash_type': 'MD5', 'filename': '1311_merged.pdf', 'hash': 'ab202249293403c59d66af52e3d4693e', 'datasetid': 'document', 'filesize': 889865}], 'main': '1311_merged.pdf', 'docid': 161373, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161373', 'format': 'text', 'pos': 1}]",Asnalitera Yogyakarta,,40081,['JC'],,archive,2022-03-10 08:59:09,7,,show,Buku Dinamika Penyelenggaraan Pemilu dan Pilkada di Indonesia,,,,,,,,,,,,,,,,
6,['FISIP4'],book_section,2018-03-01 00:00:00.000000000,disk0/00/02/68/39,,,"[{'id': 'nanang.trenggono@fisip.unila.ac.id', 'name': {'given': 'Nanang Trenggono', 'lineage': None, 'family': 'Nanang Trenggono', 'honourific': None}}]",2020-12-01 01:06:01,1-534,2020-12-01 01:06:01,357,http://repository.lppm.unila.ac.id/id/eprint/26839,public,FALSE,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 26839, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40845', 'main': 'BUKU PEMILU DAN PILKADA DI INDONESIA.pdf', 'docid': 40845, 'files': [{'datasetid': 'document', 'filesize': 791803, 'mime_type': 'application/pdf', 'fileid': 241077, 'filename': 'BUKU PEMILU DAN PILKADA DI INDONESIA.pdf', 'hash': '1eb3efb9d1241240d870b615a4f7abef', 'hash_type': 'MD5', 'mtime': '2020-11-28 23:10:50', 'objectid': 40845, 'uri': 'http://repository.lppm.unila.ac.id/id/file/241077'}]}]",Asnalitera Yogyakarta,published,26839,['JF'],"Buku ini berisi catatan pengalaman penyelenggaraan Pemilu dan Pilkada dari seluruh Ketua Komisi Pemilihan Umum (KPU) Provinsi/Komisi Independen Pemilihan (KIP) Aceh yang menjabat di rentang waktu 2013-2020. Membentang dari ujung barat hingga ujung timur Indonesia. Sehingga memiliki spektrum yang luas, pelangi serta kaya ilmu dan praktik penyelenggaraan terbaik dari seluruh tanah air. Lahirnya buku ini didasarkan pemikiran bahwa pengalaman penyelenggaraan terbaik dalam pemilu dan pilkada sayang bila dibiarkan berserakan. Cerita dan kisah pelaksanaan demokrasi di daerah-daerah beserta dinamika yang menyertainya, menyimpan mutiara pelajaran yang dapat digunakan sebagai bahan evaluasi untuk memperbaiki secara terus menerus penyelenggaraan pemilu dan pilkada di kemudian hari.",archive,2020-12-01 01:06:01,7,1.0,show,Dinamika Penyelenggaraan Pemilu dan Pilkada di Indonesia: Catatan Reflektif Ketua KPU Provinsi se Indonesia,,,['Universitas Lampung'],,,,Yogyakarta,978-602-99831-8-0,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'nanang.trenggono@fisip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Nanang Trenggono', 'given': 'Nanang Trenggono'}}]",Dinamika Penyelenggaraan Pemilu dan Pilkada di Indonesia: Catatan Reflektif Ketua KPU Provinsi se-Indonesia,"[{'id': 'nanang.trenggono@fisip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Nanang Trenggono', 'given': 'Nanang Trenggono'}}, {'id': None, 'name': {'family': 'Kurniawan', 'honourific': None, 'lineage': None, 'given': 'Hamdan'}}, {'name': {'family': 'Hidayat', 'honourific': None, 'lineage': None, 'given': 'Yayat'}, 'id': None}, {'name': {'lineage': None, 'honourific': None, 'family': 'Fahrurrozi', 'given': 'Fahrurozi'}, 'id': None}]",534.0,,,,
7,['FISIP4'],other,1970-01-01 00:00:00.000002018,disk0/00/03/99/32,,,"[{'name': {'given': 'Nanang Trenggono', 'honourific': None, 'family': 'Nanang Trenggono', 'lineage': None}, 'id': 'nanang.trenggono@fisip.unila.ac.id'}]",2022-03-08 07:21:22,,2022-03-08 07:21:22,357,http://repository.lppm.unila.ac.id/id/eprint/39932,public,,pub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/161222', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'filename': 'Budaya Organisasi.pdf', 'hash': '76189cc138de5b1cce1aba67cf758c8b', 'hash_type': 'MD5', 'mtime': '2022-03-08 04:38:26', 'mime_type': 'application/pdf', 'fileid': 447061, 'filesize': 685607, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/447061', 'objectid': 161222}], 'main': 'Budaya Organisasi.pdf', 'docid': 161222, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 39932}, {'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 39932, 'security': 'public', 'placement': 2, 'format': 'text', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161223', 'rev_number': 1, 'main': 'Dinamika Penyelenggara.pdf', 'docid': 161223, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/447063', 'objectid': 161223, 'filesize': 573934, 'datasetid': 'document', 'hash': '42901f608f6e7dbebc0d816014dbe714', 'filename': 'Dinamika Penyelenggara.pdf', 'hash_type': 'MD5', 'mtime': '2022-03-08 04:38:44', 'mime_type': 'application/pdf', 'fileid': 447063}]}]",Asnalitera Yogyakarta,,39932,"['J1', 'JC']",,archive,2022-03-08 07:21:22,9,,show,Penilairan Rekan Sejawat : Membangun Kampanye Yang Setara,,,,,,,,,,,,,,,,
8,['FISIP4'],article,2018-11-27 00:00:00.000000000,disk0/00/01/26/90,Prosiding Seminar Hasil Pengabdian Kepada Masyarakat Tahun 2018,978-602-0860-24-4,"[{'name': {'family': 'Oktiani', 'honourific': None, 'lineage': None, 'given': 'Hestin'}, 'id': 'hestinoktiani@gmail.com'}, {'id': 'rahayu.sulistiowati@fisip.unila.ac.id', 'name': {'lineage': None, 'family': 'Sulistiowati', 'honourific': None, 'given': 'Rahayu'}}, {'name': {'given': 'Dewie', 'lineage': None, 'family': 'Atika', 'honourific': None}, 'id': 'dewie.brimaatika@fisip.unila.ac.id'}, {'id': 'anisasutarsyah@gmail.com', 'name': {'given': 'Anisa', 'lineage': None, 'honourific': None, 'family': 'Utami'}}]",2019-05-14 08:14:06,90-94,2019-05-14 08:14:06,272,http://repository.lppm.unila.ac.id/id/eprint/12690,public,FALSE,pub,"[{'eprintid': 12690, 'security': 'public', 'placement': 1, 'language': 'id', 'mime_type': 'application/pdf', 'content': 'published', 'main': 'PROSIDING_PKM_2018.pdf', 'docid': 25680, 'files': [{'datasetid': 'document', 'filesize': 1450380, 'fileid': 112335, 'mime_type': 'application/pdf', 'mtime': '2019-05-10 14:44:39', 'hash_type': 'MD5', 'filename': 'PROSIDING_PKM_2018.pdf', 'hash': '638f697a906db46b284878134711a9bf', 'objectid': 25680, 'uri': 'http://repository.lppm.unila.ac.id/id/file/112335'}], 'format': 'text', 'pos': 1, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25680'}]",,published,12690,['H1'],"Keberhasilan BUMDes Desa Kutoarjo  merupakan bukti bahwa fungsi kekeluargaan dan kegotongroyongan telah diterapkan dengan baik. Namun, berdasarkan data awal yang diperoleh, masih terdapat ketidakseimbangan gender dalam pengelolaan BUMDes. Perempuan, yang dalam hal ini didominasi oleh ibu-ibu, diberikan kewenangan untuk mengelola unit usaha olahan rumahan berbahan dasar pisang yang menjadi salah satu dari 13 unit usaha yang dimiliki BUMDes Desa Kutoarjo . Pelibatan perempuan dalam unit usaha lainnya masih sangat kurang. Kegiatannya monoton, kurang berkembang karena tidak adanya pemberdayaan dan pelatihan kontinu bagi perempuan Desa Kutoarjo . 
Kegiatan ini bertujuan untuk memaksimalkan peran perempuan di Desa Kutoarjo  dalam pengelolaan semua sektor usaha BUMDes Desa Kutoarjo ; pemahaman dan upaya bersama seluruh masyarakat desa, terutama komitmen Pemerintah Desa Kutoarjo , untuk mengakui kesetaraan gender dan diberikannya ruang bagi perempuan dalam pengelolaan BUMDes Desa Kutoarjo ; serta dikuasainya kemampuan konseptual dan teknis oleh perempuan Desa Kutoarjo  dalam berinovasi mengembangkan unit usaha BUMDes Desa Kutoarjo. Kegiatan ini dilaksanakan melalui seminar dan pelatihan pemberdayaan dengan materi yang mencakup aspek-aspek konseptual dan teknis penggalian inovasi pengelolaan BUMDes dari aset dan potensi daerah secara masif oleh perempuan Desa Kutoarjo .

key word: Penguatan Kapasitas, perempuan dan Kinerja BUMDes",archive,2019-05-14 08:14:06,11,1.0,show,PELATIHAN PENGUATAN KAPASITAS PEREMPUAN DALAM MENINGKATKAN KINERJA BUMDES DI DESA KUTOARJO  KABUPATEN PESAWARAN,,hestinoktiani@gmail.com,"['Lembaga Penelitian dan Pengabdian kepada Masyarakat, Universitas Lampung']",1.0,,,,,,,,,['BLU Universitas Lampung'],,,
9,['FISIP4'],article,2018-03-30 00:00:00.000000000,disk0/00/00/78/28,MetaKom Online,2443-3691,"[{'name': {'family': 'Romadhon', 'honourific': None, 'lineage': None, 'given': 'M. Febry'}, 'id': None}, {'id': 'ahmad.rudy@unila.ac.id', 'name': {'family': 'Fardiyan', 'honourific': None, 'lineage': None, 'given': 'Ahmad Rudy'}}]",2018-06-26 08:03:08,23-36,2018-06-26 08:03:08,34,http://repository.lppm.unila.ac.id/id/eprint/7828,public,TRUE,pub,"[{'files': [{'filename': 473, 'hash': '1fbc63412f174737a633a792387aa63c', 'mtime': '2018-06-26 04:54:43', 'hash_type': 'MD5', 'mime_type': 'text/html', 'fileid': 70027, 'filesize': 14086, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/70027', 'objectid': 20862}], 'main': 473, 'docid': 20862, 'formatdesc': 'Journal Article', 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20862', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 7828, 'content': 'published', 'mime_type': 'text/html', 'language': 'id'}]",Jurusan Ilmu Komunikasi - FISIP Unila,published,7828,"['H1', 'HN']","Poster is a media which using a visual appeal to introduce, to inform, and to persuade their audiens. The right symbols used in a poster determined the success of the poster to achieve it goals.  The purpose of this research is to find out what and how persuasive symbols used by Ngayogjazz Music Festival poster on 2013-2016 period. Using a  triangle meaning semiotics method by Charles Sanders Pierce,  this research was a qualitative type research, where the data collected  through documentation and literature. The results of this research show that the aesthetics part is not the only thing considered in the visual design of the poster. The most important thing is the collaboration’s meaning of high culture on jazz music with the traditional culture of locals.  
Keywords: Persuasive symbol, Semiotic of Charles S. Pearce, Poster",archive,2018-06-26 08:03:08,8,2.0,show,Simbol-Simbol Pesan Persuasif Melalui Desain Poster Event Musik Ngayogjazz,http://jurnal.fisip.unila.ac.id/index.php/metakomonline,,,1.0,,[{'url': 'http://jurnal.fisip.unila.ac.id/index.php/metakomonline/article/view/473/378'}],,,,,,,,,,
