,metadata_visibility,rev_number,title,subjects,status_changed,eprint_status,eprintid,full_text_status,uri,publisher,documents,ispublished,datestamp,lastmod,userid,dir,date,creators,divisions,type,publication,refereed,issn,number,contributors,pagerange,corp_creators,date_type,volume,official_url,abstract,id_number,patent_applicant,related_url,place_of_pub,department,institution,pages,monograph_type,contact_email,output_media
0,show,7,Hasil Cek Plagiat : Public Relations Strategy Against Pro-Israel Negative Issue Management in PT Coca Cola Europacific Partner Indonesia (Southern Sumatra Branch),['H1'],2022-03-09 01:03:22,archive,39965,public,http://repository.lppm.unila.ac.id/id/eprint/39965,American Journal of Sciences and Engineering Research,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161252', 'main': 'public relation strategies.pdf', 'docid': 161252, 'files': [{'objectid': 161252, 'uri': 'http://repository.lppm.unila.ac.id/id/file/447306', 'fileid': 447306, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-03-08 08:15:25', 'hash': '08f34a714438e8a55c48cb14fec4e76c', 'filename': 'public relation strategies.pdf', 'datasetid': 'document', 'filesize': 3492062}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 39965, 'placement': 1, 'security': 'public'}]",pub,2022-03-09 01:03:22,2022-03-09 01:03:22,357,disk0/00/03/99/65,1970-01-01 00:00:00.000002022,"[{'name': {'lineage': None, 'family': 'Anna Gustina Zainal', 'honourific': None, 'given': 'Anna'}, 'id': 'anna.gustina@fisip.unila.ac.id'}, {'name': {'family': 'Andy', 'honourific': None, 'lineage': None, 'given': 'Corry'}, 'id': 'andy.corry@fisip.unila.ac.id'}, {'id': 'nanang.trenggono@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Nanang Trenggono', 'lineage': None, 'given': 'Nanang Trenggono'}}, {'id': None, 'name': {'given': 'Besar', 'lineage': None, 'honourific': None, 'family': 'Ibrahim'}}]",['FISIP4'],other,,,,,,,,,,,,,,,,,,,,,
1,show,7,Penilaian Rekan Sejawat : Public Relations Strategy Against Pro-Israel Negative Issue Management in PT Coca Cola Europacific Partner Indonesia (Southern Sumatra Branch),['H1'],2022-03-08 07:21:49,archive,39950,public,http://repository.lppm.unila.ac.id/id/eprint/39950,American Journal of Sciences and Engineering Research,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161237', 'rev_number': 1, 'docid': 161237, 'main': 'Publik Relation.pdf', 'files': [{'datasetid': 'document', 'filesize': 634856, 'mime_type': 'application/pdf', 'fileid': 447170, 'filename': 'Publik Relation.pdf', 'hash': '9a913e402d6c17fa6ccdf306e6fddcdc', 'hash_type': 'MD5', 'mtime': '2022-03-08 07:11:55', 'objectid': 161237, 'uri': 'http://repository.lppm.unila.ac.id/id/file/447170'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 39950, 'security': 'public', 'placement': 1}]",pub,2022-03-08 07:21:49,2022-03-08 07:21:49,357,disk0/00/03/99/50,1970-01-01 00:00:00.000002022,"[{'id': 'anna.gustina@fisip.unila.ac.id', 'name': {'given': 'Anna', 'family': 'Anna Gustina Zainal', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Corry', 'honourific': None, 'family': 'Andy', 'lineage': None}, 'id': 'andy.corry@fisip.unila.ac.id'}, {'id': 'nanang.trenggono@fisip.unila.ac.id', 'name': {'given': 'Nanang Trenggono', 'lineage': None, 'family': 'Nanang Trenggono', 'honourific': None}}, {'name': {'given': 'Besar', 'honourific': None, 'family': 'Ibrahim', 'lineage': None}, 'id': 'ibrahim.besar@fisip.unila.ac.id'}]",['FISIP4'],other,,,,,,,,,,,,,,,,,,,,,
2,show,6,"Public Relations Strategy against Pro-Israel Negative
Issue Management in PT. Coca Cola Europacific Partner
Indonesia (Southern Sumatra Branch)",['H1'],2022-03-08 07:21:04,archive,39924,public,http://repository.lppm.unila.ac.id/id/eprint/39924,,"[{'eprintid': 39924, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': '2394.pdf', 'docid': 161212, 'files': [{'objectid': 161212, 'uri': 'http://repository.lppm.unila.ac.id/id/file/447002', 'datasetid': 'document', 'filesize': 834433, 'mime_type': 'application/pdf', 'fileid': 447002, 'hash': '089d96521dfe179700cdbd0787ac8644', 'filename': '2394.pdf', 'mtime': '2022-03-08 03:17:13', 'hash_type': 'MD5'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161212'}]",pub,2022-03-08 07:21:04,2022-03-08 07:21:04,357,disk0/00/03/99/24,1970-01-01 00:00:00.000002022,"[{'name': {'lineage': None, 'family': 'Arini', 'honourific': None, 'given': 'Nur M'}}, {'name': {'given': 'Gustina Z', 'lineage': None, 'honourific': None, 'family': 'Anna'}}, {'name': {'given': 'Corry W', 'lineage': None, 'honourific': None, 'family': 'Andy'}}, {'name': {'family': 'Nanang', 'honourific': None, 'lineage': None, 'given': 'Trenggono'}}]",['FISIP4'],article,American Journal of Sciences and Engineering Research,TRUE,,,,,,,,,,,,,,,,,,,
3,show,8,"PEMANFAATAN KOLEKSI BUKU TEKS PELAJARAN SEBAGAI 
SUMBER BELAJAR SISWA KELAS XI
(STUDI PADA PERPUSTAKAAN SMAN 5 BANDAR LAMPUNG)",['Z665'],2022-11-02 05:40:25,archive,46189,public,http://repository.lppm.unila.ac.id/id/eprint/46189,Yayasan global bakti asih Rumah Guru Konsultan Pendidikan Bandar Lampung,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185080', 'rev_number': 1, 'docid': 185080, 'main': 'artikel pemnfaatan buku teks pelajaran-garuda_nov2022_arnila.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/510646', 'objectid': 185080, 'mtime': '2022-11-02 04:01:10', 'hash_type': 'MD5', 'filename': 'artikel pemnfaatan buku teks pelajaran-garuda_nov2022_arnila.pdf', 'hash': '226ec3075a3331c65f3027f1e284f3d4', 'fileid': 510646, 'mime_type': 'application/pdf', 'filesize': 292602, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 46189, 'placement': 1, 'security': 'public'}]",pub,2022-11-02 05:40:25,2022-11-02 05:40:25,2793,disk0/00/04/61/89,2022-11-01 00:00:00.000000000,"[{'name': {'given': 'AP', 'family': 'Arnila Purnamayanti', 'honourific': None, 'lineage': None}, 'id': 'arnila.purnamayanti@fisip.unila.ac.id'}]",['FISIP4'],article,Jurnal Garuda Pendidikan,TRUE,2620-9748,11.0,"[{'name': {'given': 'AP', 'family': 'Arnila Purnamayanti', 'honourific': None, 'lineage': None}, 'id': 'arnila.purnmayanti@fisip.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",58-65,['Universitas Lampung'],published,5,http://globalbaktiasih.org/po-content/uploads/garuda_nov2022.pdf,"The collection of textbooks is designated as a mandatory textbook owned by an educational institution, therefore textbooks 
are one of the intermediaries or media in learning activities. One of the uses of the collection of textbooks is as a learning 
resource for students and teaching materials for teachers. This writing aims to determine the extent of the benefits of 
textbooks as learning resources in the library of SMAN 5 Bandar Lampung. Data collection techniques in this final project 
are done by observation, interviews, and documentation. The results show that the utilization of the collection of textbooks 
as a learning resource for class XI in the library of SMAN 5 Bandar Lampung has not been used optimally. This is 
evidenced in its application from several aspects of the benefits of using textbooks in the success of learning activities only 
in terms of educational and recreational aspects, while informative and research aspects have not been applied and utilized. 
A supporting factor in the use of a collection of textbooks is that textbooks are lent free of charge by the library. The 
obstacle faced in the utilization of the textbooks is that there are several collections of textbooks that are not the same as the 
number of students, this causes some students who do not get the complete textbooks.",,,,,,,,,,
4,show,8,"Kesiapan perpustakaan SMA Muhammdiyah 2 Bandar Lampung dalam
pengembangan website E-Perpustakaan",['Z665'],2022-06-14 04:23:22,archive,42434,public,http://repository.lppm.unila.ac.id/id/eprint/42434,Universitas Padjajaran,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 42434, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164143', 'main': '36938-144372-2-PB.pdf', 'docid': 164143, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/466447', 'objectid': 164143, 'filesize': 137354, 'datasetid': 'document', 'hash': 'c477609af7969326f436d2855bfe6526', 'filename': '36938-144372-2-PB.pdf', 'hash_type': 'MD5', 'mtime': '2022-06-14 02:55:53', 'mime_type': 'application/pdf', 'fileid': 466447}]}]",pub,2022-06-14 04:23:22,2022-06-14 04:23:22,2793,disk0/00/04/24/34,2022-01-01 00:00:00.000000000,"[{'name': {'given': 'AP', 'lineage': None, 'honourific': None, 'family': 'Arnila Purnamayanti'}, 'id': 'arnila.purnamayanti@fisip.unila.ac.id'}, {'id': 'nandaoktaria29@gmail.com', 'name': {'given': 'NO', 'lineage': None, 'family': 'Nanda Oktaria', 'honourific': None}}]",['FISIP4'],article,INFORMATIO Jurnal of Library and Information Science,TRUE,2775-0043 online,1.0,,19-28,,published,2,http://jurnal.unpad.ac.id/informatio/article/view/36938/17632,"Teknologi informasi di perpustakaan diaplikasikan untuk memenuhi kebutuhan pemustaka dalam
memperoleh berbagai informasi secara cepat, tepat, dan akurat. Perpustakaan berbasis website merupakan
salah satu bentuk dukungan teknologi informasi untuk mengoptimalkan pemanfaatan informasi dan bahan
perpustakaan, serta mengoptimalkan pekerjaan substantif kepustakawanan, mulai dari proses pengadaan,
pengolahan, sirkulasi bahan pustaka, temu kembali, dan penyebaran informasi sehingga dalam pelaksanaanya
diperlukan suatu kesiapan dari berbagai aspek agar sistem tersebut dapat berjalan secara optimal dalam
memenuhi kebutuhan user. Tujuan yang akan dicapai dalam riset ini adalah untuk mengetahui kesiapankesiapan yang dilakukan oleh perpustakaan SMA Muhammadiyah 2 Bandar Lampung dalam
mengembangkan website E-Perpustakaan, serta untuk mengetahui faktor-faktor penghambat apa saja dalam
pengembangan website E-Perpustakaan. Metode penulisan menggunakan data kualitatif–deskriptif serta
teknik pengumpulan data dilakukan melalui observasi, wawancara, dokumentasi, dan kajian pustaka yang
kemudian diolah dengan teknik analisis data. Hasil dari penulisan ini menunjukkan bahwa kesiapan yang
dilakukan perpustakaan SMA Muhammadiyah 2 Bandar Lampung dalam pengembangan website EPerpustakaan belum sepenuhnya maksimal, untuk dapat mengembangkan sebuah sistem website EPerpustakaan masih terdapat kendala-kendala seperti pustakawan yang berada di sana belum sepenuhnya
mampu untuk mengembangkan serta mengoperasikan website E-Perpustakaan, masih kurangnya akses
jaringan internet yang kurang memadai, serta masih kurang lengkapnya fitur-fitur menu yang terdapat pada
website E-Perpustakaan sehingga masih perlunya pembenahan dalam mempersiapkan sistem otomasi pada
perpustakaan SMA Muhammadiyah 2 Bandar Lampung, seperti peningkatan sistem fitur menu, jaringan
internet, dan sumber daya manusia agar proses pengembangannya lebih optimal",,,,,,,,,,
5,show,6,"IMPLEMENTATION OF THE NATIONAL STANDARDS OF LIBRARY
NO. 12 YEAR 2017 IN SCHOOL LIBRARY
SMA NEGERI 9 BANDAR LAMPUNG",['Z719'],2022-06-17 01:10:30,archive,42553,public,http://repository.lppm.unila.ac.id/id/eprint/42553,Rumah Guru Konsultan Pendidikan Yayasan Global Bakti Asih Bandar Lampung,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164266', 'docid': 164266, 'main': 'Jurnal Indonesia-2022-Penerapan SNP.pdf', 'files': [{'mtime': '2022-06-16 10:14:41', 'hash_type': 'MD5', 'hash': '4b0a11b182b700dbd158f978eee1a395', 'filename': 'Jurnal Indonesia-2022-Penerapan SNP.pdf', 'fileid': 467309, 'mime_type': 'application/pdf', 'filesize': 346646, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/467309', 'objectid': 164266}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 42553, 'placement': 1, 'security': 'public'}]",pub,2022-06-17 01:10:30,2022-06-17 01:10:30,2793,disk0/00/04/25/53,2022-05-01 00:00:00.000000000,"[{'name': {'lineage': None, 'family': 'Arnila Purnamayanti', 'honourific': None, 'given': 'AP'}, 'id': 'arnila.purnamayanti@fisip.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Sugiyanta', 'honourific': None, 'given': 'SG'}, 'id': 'sugiyanta.1961@fisip.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Sinta Dwi Safitri', 'honourific': None, 'given': 'Sinta Dwi Safitri'}, 'id': 'sintadwisafitri1@gmail.com'}]",['FISIP4'],article,Jurnal Indonesia,TRUE,2527-4988,5.0,"[{'name': {'lineage': None, 'family': 'Arnila Purnamayanti', 'honourific': None, 'given': 'AP'}, 'id': 'arnila.purnmayanti@fisip.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'name': {'given': 'SG', 'lineage': None, 'family': 'Sugiyanta', 'honourific': None}, 'id': 'sugiyanta.1961@fisip.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'sintadwisafitri1@gmail.com', 'name': {'given': 'SDS', 'lineage': None, 'honourific': None, 'family': 'Sinta Dwi Safitri'}}]",56-65,,published,7,http://globalbaktiasih.org/po-content/uploads/jurnal_indonesia_mei_2022.pdf,"The application of National Library Standards is very important, especially in the School Library, so that it can
become a library that can support teaching and learning activities for teachers and students. The method in
writing the final project is a qualitative method. Data collection techniques through interviews, observation,
documentation, and literature study. Aspects of the National Library of Standards No. 12 of 2017, namely
collection standards, facilities and infrastructure, services, personnel, implementation, management,
information and communication technology. The results showed that the Library of SMA Negeri 9 Bandar
Lampung was not fully in accordance with the National Library Standard No. 12 of 2017. Aspects that have met
the standards are facilities and infrastructure, implementation, management, information and communication
technology. Aspects that do not meet the standards are collection, service, and personnel. Obstacles in the
application of the National Library Standard No. 12 of 2017 at the SMA Negeri 9 Bandar Lampung Library are
limited budgets, librarians, socialization, promotions, low interest in reading students and teachers and limited
time for visits. Some of the standards in the National Library of Standards No. 12 of 2017 has been
implemented by the Library of SMA Negeri 9 Bandar Lampung. However, its implementation is not entirely
good. Based on the results of the study, it can be concluded that the standards that have not been applied are
preservation and re-enumeration/weeding of collections, reports, collaborations, and the number of librarians",,,,,,,,,,
6,show,7,"HAKI Media, Teks, dan Budaya",['HM'],2022-06-07 01:18:14,archive,42129,public,http://repository.lppm.unila.ac.id/id/eprint/42129,,"[{'placement': 1, 'security': 'public', 'eprintid': 42129, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/464307', 'objectid': 163829, 'filesize': 2070395, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2022-06-06 13:43:15', 'hash': '3abca49ede1c67d0955cd10684120559', 'filename': 'sertifikat_EC00202206312.pdf', 'fileid': 464307, 'mime_type': 'application/pdf'}], 'main': 'sertifikat_EC00202206312.pdf', 'docid': 163829, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163829', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",pub,2022-06-07 01:18:14,2022-06-07 01:18:14,831,disk0/00/04/21/29,2022-01-26 00:00:00.000000000,"[{'id': 'ashafnov2008@gmail.com', 'name': {'given': 'Abdul Firman', 'lineage': None, 'family': 'Ashaf', 'honourific': None}}]",['FISIP4'],patent,,,,,"[{'id': 'ashafnov2008@gmail.com', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'family': 'Ashaf', 'honourific': None, 'lineage': None, 'given': 'Abdul Firman'}}]",,['Jurusan Ilmu Komunikasi FISIP Universitas Lampung'],published,,https://pdki-indonesia.dgip.go.id/detail/EC00202206312?type=copyright&keyword=Media+Teks+dan+Budaya,"Buku berjudul Media, Teks, dan Budaya ini merupakan upaya mencari temali diantara silang sengkarut relasi komunikasi dengan kekuasaan. Bahan utama penulisan buku ini adalah riset-riset penulis yang dipublikasikan pada sejumlah jurnal yang diikat dalam satu tema utama yaitu teks wacana dan relasi kuasa.",EC00202206312,Lembaga Penelitian dan Pengabdian kepada Masyarakat (LPPM) Universitas Lampung,[{'url': 'https://pdki-indonesia.dgip.go.id/detail/EC00202206312?type=copyright&keyword=Media+Teks+dan+Budaya'}],,,,,,,
7,show,10,HAKI Sejarah Bredel 1994,['HM'],2022-06-07 01:18:12,archive,42128,public,http://repository.lppm.unila.ac.id/id/eprint/42128,,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 42128, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163828', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'objectid': 163828, 'uri': 'http://repository.lppm.unila.ac.id/id/file/464296', 'mime_type': 'application/pdf', 'fileid': 464296, 'hash': '1419b810f2a2e81bcdcf736ff921ec7c', 'filename': 'sertifikat_EC00202206311.pdf', 'hash_type': 'MD5', 'mtime': '2022-06-06 13:14:44', 'datasetid': 'document', 'filesize': 2070320}], 'main': 'sertifikat_EC00202206311.pdf', 'docid': 163828}]",pub,2022-06-07 01:18:12,2022-06-07 01:18:12,831,disk0/00/04/21/28,2022-01-22 00:00:00.000000000,"[{'name': {'family': 'Ashaf', 'honourific': None, 'lineage': None, 'given': 'Abdul Firman'}, 'id': 'ashafnov2008@gmail.com'}]",['FISIP4'],patent,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'ashafnov2008@gmail.com', 'name': {'given': 'Abdul Firman', 'lineage': None, 'family': 'Ashaf', 'honourific': None}}]",,['Jurusan Ilmu Komunikasi FISIP Universitas Lampung'],published,,https://pdki-indonesia.dgip.go.id/detail/EC00202206311?type=copyright&keyword=sejarah+bredel+1994,"Buku ini dilandasi oleh penelitian perihal sejarah pembredelan pers tahun 1994. Alih-alih mengurai penyebab dan implikasi pembredelan, penelitian ini bermaksud untuk menemukan respon media di Indonesia terhadap pembredelan yang dilakukan pemerintah Orde Baru. Sekaligus menemukan kaitannya dengan respons jurnalis dan konteks sosial-politik pada masa itu.",EC00202206311,Lembaga Penelitian dan Pengabdian kepada Masyarakat (LPPM) Universitas Lampung,[{'url': 'https://pdki-indonesia.dgip.go.id/detail/EC00202206311?type=copyright&keyword=sejarah+bredel+1994'}],,,,,,,
8,show,13,Media dan Gerakan Antikorupsi di Indonesia,['H1'],2023-02-01 08:09:45,archive,48250,public,http://repository.lppm.unila.ac.id/id/eprint/48250,Suluh Media-Graha Ilmu,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 48250, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187516', 'main': 'Media dan Gerakan Antikorupsi di Indonesia-hal cov_221212_122819.pdf', 'docid': 187516, 'files': [{'mime_type': 'application/pdf', 'fileid': 527195, 'filename': 'Media dan Gerakan Antikorupsi di Indonesia-hal cov_221212_122819.pdf', 'hash': '086bfa18a80ef56b5859bb38a9f6f3af', 'mtime': '2023-02-01 07:02:32', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 3225986, 'objectid': 187516, 'uri': 'http://repository.lppm.unila.ac.id/id/file/527195'}]}]",pub,2023-02-01 08:09:45,2023-02-01 08:09:45,831,disk0_bak/00/04/82/50,2022-12-11 00:00:00.000000000,"[{'name': {'family': 'Ashaf', 'honourific': None, 'lineage': None, 'given': 'Abdul Firman'}, 'id': 'ashafnov2008@gmail.com'}, {'name': {'given': 'Bela', 'family': 'Sabrina', 'honourific': None, 'lineage': None}, 'id': None}, {'name': {'family': 'Meyningsih', 'honourific': None, 'lineage': None, 'given': 'Dwi'}, 'id': None}]",['FISIP4'],monograph,,,,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Ashaf', 'given': 'Abdul Firman'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'name': {'honourific': None, 'family': 'Sabrina', 'lineage': None, 'given': 'Bela'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Dwi', 'lineage': None, 'family': 'Meyningsih', 'honourific': None}}]",,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",published,,http://grahailmu.id/penerbit/suluh-media/,"Buku ini menginformasikan kepada kita bahwa hanya sedikit dari media-media utama di Indonesia yang lepas dari jerat oligarki. Sebagian besar media di Indonesia merupakan bagian dari oligarki besar, yang kepemilikan media oleh mereka merupakan jalinan tak terlepaskan dari institusi politik, berupa partai politik yang juga mereka pimpin. Konteks inilah yang akan diacu untuk memahami karakter media saat merespons isu-isu korupsi di Indonesia.

Terdapat indikasi kuat bahwa dalam konteks dukungan terhadap gerakan antikorupsi sangat terkait dengan lanskap aktor dan dinamika politik pada masanya, tak terkecuali institusi media yang dalam pemberitaan-pemberitaan terkait isu tersebut menunjukan perbedaan dalam kecondongan terhadap aktor, isu, dan strategi penanganan korupsi",978-623-7572-86-2,,[{'url': 'http://grahailmu.id/penerbit/suluh-media/'}],Yogyakarta,Ilmu Komunikasi,LPPM Universitas Lampung,0.0,working_paper,ashafnov2008@gmail.com,
9,show,8,Study of Culture and Media as Solutions for Resolving Beggers and Street Children in Bandarlampung City,['H1'],2023-05-02 01:41:51,archive,50874,public,http://repository.lppm.unila.ac.id/id/eprint/50874,https://ijmra.in/index.php,"[{'docid': 190586, 'main': 'IJRMA  September 2022.pdf', 'files': [{'fileid': 547695, 'mime_type': 'application/pdf', 'mtime': '2023-05-01 03:28:40', 'hash_type': 'MD5', 'filename': 'IJRMA  September 2022.pdf', 'hash': 'bb90a56fd1accb38798da476f2a55015', 'datasetid': 'document', 'filesize': 911061, 'objectid': 190586, 'uri': 'http://repository.lppm.unila.ac.id/id/file/547695'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190586', 'rev_number': 1, 'eprintid': 50874, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",pub,2023-05-02 01:41:51,2023-05-02 01:41:51,831,disk0_bak/00/05/08/74,1970-01-01 00:00:00.000002022,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Kartika', 'given': 'Tina'}}, {'id': 'ashafnov2008@gmail.com', 'name': {'given': 'Abdul Firman', 'lineage': None, 'family': 'Ashaf', 'honourific': None}}, {'id': None, 'name': {'given': 'Nina Yudha Aryanti', 'family': 'Nina Yudha Aryanti', 'honourific': None, 'lineage': None}}, {'id': 'andy.corry@fisip.unila.ac.id', 'name': {'given': 'Corry', 'lineage': None, 'honourific': None, 'family': 'Andy'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Karomani', 'given': 'Karomani'}, 'id': None}]",['FISIP4'],article,International Journal of Multidisciplinary Research and Analysis,TRUE,2643-9875,9.0,,2295-2301,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",published,5,https://ijmra.in/index.php,"The purpose of the study was to analyze cultural and media studies as a way to resolve the sustainability of beggars and street children in Bandar Lampung City, Indonesia. There were 24 informants involved in this study, consisting of community leaders, academics, beggars and street children. The data consists of: interviews, observations and literature review. Data analysis uses several stages, namely: collecting data, classifying data, and concluding. The results of the study are the causes of the existence of beggars and street children are: poverty, child exploitation, people who give money to beggars and street children, movement of people from villages to cities, unhealthy mentality, Bandarlampung City Government has not been maximal in implementing Regional Regulation No. 3 2010. One of the solutions is to increase understanding of local wisdom and empower the media as a channel to convey messages to beggars and street children, and to people who give money/goods to beggars.",https://doi.org/10.47191/ijmra/v5-i9-01,,[{'url': 'https://ijmra.in/v5i9/1.php'}],,,,,,,
