,type,divisions,creators,issn,publication,dir,date,lastmod,userid,pagerange,datestamp,publisher,documents,ispublished,number,refereed,full_text_status,uri,eprintid,date_type,eprint_status,status_changed,abstract,subjects,title,metadata_visibility,volume,rev_number,id_number,contact_email,official_url,contributors,corp_creators,event_location,event_title,event_dates,event_type,pres_type,institution,thesis_type,department,pages,thesis_name
0,article,['FP18'],"[{'name': {'family': 'Andreawan', 'honourific': None, 'lineage': None, 'given': 'M. Khory'}, 'id': 'amkhory@gmail.com'}, {'name': {'lineage': None, 'family': 'Banuwa', 'honourific': None, 'given': 'Irwan Sukri'}, 'id': 'irwanbanuwa@yahoo.com'}, {'id': 'zul2007@gmail.com', 'name': {'given': 'Iskandar', 'lineage': None, 'family': 'Zulkarnain', 'honourific': None}}]",2302-559X,Jurnal Teknik Pertanian Lampung,disk0/00/00/60/39,2015-01-01 00:00:00.000000000,2018-04-25 09:15:31,353,27-34,2018-04-25 09:15:31,Jurusan Teknik Pertanian Fakultas Pertanian Unila,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/18955', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/pdf', 'fileid': 55780, 'filename': '749-2033-1-PB_v4 NO1 2015.pdf', 'hash': '29f639be0f9456d928b0857dd4f12aa1', 'mtime': '2017-11-18 15:55:37', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 626149, 'objectid': 18955, 'uri': 'http://repository.lppm.unila.ac.id/id/file/55780'}], 'docid': 18955, 'main': '749-2033-1-PB_v4 NO1 2015.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 6039}]",pub,1.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6039,6039,published,archive,2018-04-25 09:15:31,"Land degradationis amajor factor indecreasing the productivity ofthe land. Themostfrequently land degradation
occurred is due to surface runoff and erosion. One of the causes of the surface runoff and erosion is human
treatment.Human treatment ofthe land can accelerate or reduce surface runoff and erosion. Thisstudy aimsto
determine the effect of both tillage systems and herbicide on surface runoff and erosion on crop cassava field in
laboratoriumlapang terpaduAgriculture Faculty,University ofLampung.The experimentwas designas a factorial
in randomized complete block design with four block. This experiment used multislot devicer method with size 4
x 4meter. Treatment consists oftwo factors which are tillage system and herbicide. The results ofthis experiment
indicate that tillage system did not affect surface runoff and erosion significantly and herbicide treatment
increase surface runoff compare to treatment without herbicide, which is 32,8 mm and 24,6 mm, but did not
significantly affect erosion.
Keywords: Tillage,Herbicide,Run off, Erosion",['S1'],"PENGARUH SISTEM OLAH TANAH TERHADAP ALIRAN PERMUKAAN
DAN EROSI PADA PERTANAMAN SINGKONG DI LABORATORIUM
LAPANG TERPADU FAKULTAS PERTANIAN UNIVERSITAS LAMPUNG",show,4.0,6,,,,,,,,,,,,,,,
1,article,['FP18'],"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Candra', 'given': 'Hendrik'}}, {'name': {'family': 'Triyono', 'honourific': None, 'lineage': None, 'given': 'Sugeng'}, 'id': 'sugeng.triyono@fp.unila.ac.id'}, {'name': {'family': 'Kadir', 'honourific': None, 'lineage': None, 'given': 'M. Zen'}, 'id': None}, {'name': {'given': 'Ahmad', 'lineage': None, 'honourific': None, 'family': 'Tusi'}, 'id': 'ahmad.tusip@fp.unila.ac.id'}]",2302-559X,Jurnal Teknik Pertanian Lampung,disk0/00/04/59/63,2015-10-01 00:00:00.000000000,2022-10-26 01:59:23,832,235-244,2022-10-26 01:59:23,Jurusan Teknik Pertanian Fakultas Pertanian Unila,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 45963, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184780', 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/pdf', 'fileid': 508902, 'filename': '14 Automatic Control of Drip irrigation.pdf', 'hash': 'b8b602c5fbbe110f177f1977471ccfdc', 'hash_type': 'MD5', 'mtime': '2022-10-25 07:09:45', 'datasetid': 'document', 'filesize': 474188, 'objectid': 184780, 'uri': 'http://repository.lppm.unila.ac.id/id/file/508902'}], 'main': '14 Automatic Control of Drip irrigation.pdf', 'docid': 184780}]",pub,4.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/45963,45963,published,archive,2022-10-26 01:59:23,"Drip irrigation has been applied to provide water and nutrient solution to plants. The application of drip irrigation
system at this time is not precise yet generally because water is provided based on time schedule, not base on soil
water content or plant requirement for water. This research aims to design and test the performance of an
automatic device that control drip irrigation system automatically; using microcontroller Arduino Mega
accomplished with Zigbee technology connection. The device works based on soil water content. Water pump will
be turned on when the soil moisture is less than critical water content, and will be turned off when the soil water
content is higher than field capacity. Sensor calibration and validation were performed by using three different
soil textures: silt loam, loamy sand, and sandy loam. Each soil sample was mixed with compost by ratio of 5: 1. The
testing of the device; however, was done by using sandy loam soil texture. Sensor calibration showed that relationship
between voltage and soil water content was linear with R2=0,88; 0,95; 0,96 respectively for silt loam, loamy sand,
and sandy loam. While, validation showed that errors were 0,63%; 0,52%; 0,60% respectively for silt loam, loamy
sand, and sandy loam. The results also indicated that linear regressions (correlation between voltage and soil
water content) turned out to be applicable for specific Soil Texture. Therefore, this device may not be used for
general soil textures. The result of the test showed that the automatic device could work properly. Interval of data
transmission was properly done per minute rather than per second.
Keywords: Drip Irrigation, Microcontroller, Automatic Control, Soil Water Content.",['S1'],"RANCANG BANGUN DAN UJI KINERJA SISTEM KONTROL OTOMATIS
PADA IRIGASI TETES MENGGUNAKAN MIKROKONTROLLER ARDUINO
MEGA",show,4.0,6,-,sugeng.triyono@fp.unila.ac.id,https://jurnal.fp.unila.ac.id/index.php/JTP/article/view/996/901,,,,,,,,,,,,
2,article,['FP18'],"[{'name': {'honourific': None, 'family': 'Chandra', 'lineage': None, 'given': 'Hendrik'}, 'id': None}, {'id': 'sugeng.triyono@fp.unila.ac.id', 'name': {'given': 'Sugeng', 'lineage': None, 'honourific': None, 'family': 'Triyono'}}, {'id': None, 'name': {'lineage': None, 'family': 'Kadir', 'honourific': None, 'given': 'M. Zen'}}]",2302-559X,Jurnal Teknik Pertanian Lampung,disk0/00/00/36/10,2015-10-19 00:00:00.000000000,2017-07-20 08:47:05,832,235-244,2017-07-20 08:47:05,Jurusan Teknik Pertanian Fakultas Pertanian Unila,"[{'eprintid': 3610, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 3466, 'main': 'jurnal.pdf', 'files': [{'objectid': 3466, 'uri': 'http://repository.lppm.unila.ac.id/id/file/25228', 'fileid': 25228, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-06-18 17:00:47', 'filename': 'jurnal.pdf', 'hash': '086719ea9f91aeec3b9451f25bfc6059', 'datasetid': 'document', 'filesize': 406619}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3466'}]",pub,4.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/3610,3610,published,archive,2017-07-20 08:47:05,"Irigasi tetes biasanya diaplikasikan untuk menyediakan air dan larutan nutrisi bagi tanaman. Aplikasi sistem
irigasi tetes saat ini masih mengalami banyak kekurangan karena pada umumnya pemberian air dilakukan
berdasarkan waktu, tidak berdasarkan pada kebutuhan air tanaman. Penelitian ini bertujuan melakukan rancang
bangun dan uji kinerja perangkat otomatis pada irigasi tetes menggunakan mikrokontroler Arduino Mega dan
dikoneksikan dengan teknologi Zigbee. Alat berkerja berdasarkan kandungan air tanah. Pompa air akan hidup
ketika kadar air tanah berada pada titik kritis dan mati ketika kandungan air tanah lebih tinggi dari kapasitas
lapang. Kalibrasi dan validasi sensor dilakukan dengan menggunakan tiga tekstur tanah yang berbeda yaitu
lempung berdebu, pasir berlempung, dan lempung berpasir. Setiap sampel tanah dicampurkan kompos dengan
perbandingan 5 : 1. Namun, Pengujian alat dilakukan dengan menggunakan tekstur tanah lempung berpasir.
Kalibrasi sensor menunjukkan bahwa hubungan antara tegangan dan kadar air linier dengan R2 = 0, 88; 0,95; 0,96
masing-masing untuk lempung berdebu, pasir berlempung, dan lempung berpasir. Sementara itu, validasi
menunjukkan bahwa error yang terjadi 0,63%; 0,52%; 0,60% masing-masing untuk lempung berdebu, pasir
berlempung, dan lempung berpasir. Hasil juga menunjukkan bahwa ternyata regresi linier (korelasi antara
tegangan dan kadar air tanah) hanya berlaku untuk tekstur tanah tertentu. Oleh karena itu, alat ini tidak dapat
digunakan untuk tekstur tanah umum. Hasil pengujian menunjukkan bahwa alat otomatis bisa berfungsi dengan
baik. Interval transmisi data lebih baik dilakukan dalam satuan menit, bukan satuan detik.",['SB'],"RANCANG BANGUN DAN UJI KINERJA SISTEM KONTROL OTOMATIS
PADA IRIGASI TETES MENGGUNAKAN MIKROKONTROLLER ARDUINO
MEGA",show,4.0,7,,,,,,,,,,,,,,,
3,article,['FP18'],"[{'id': None, 'name': {'given': 'Adam', 'lineage': None, 'honourific': None, 'family': 'Fairuz'}}, {'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Haryanto', 'honourific': None, 'given': 'Agus'}}, {'name': {'honourific': None, 'family': 'Tusi', 'lineage': None, 'given': 'Ahmad'}, 'id': 'ahmad.tusip@fp.unila.ac.id'}]",2302-559X,Jurnal Teknik Pertanian Lampung,disk0_bak/00/05/15/62,1970-01-01 00:00:00.000002015,2023-05-15 01:21:15,480,91-98,2023-05-15 01:21:15,Jurusan Teknik Pertanian Fakultas Pertanian Unila,"[{'mime_type': 'application/xml', 'language': 'en', 'content': 'published', 'eprintid': 51562, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/249232', 'rev_number': 3, 'docid': 249232, 'main': 752, 'files': [{'hash': 'cd752b3a4298e33301abc955b712078c', 'filename': 752, 'mtime': '2023-05-13 14:33:24', 'hash_type': 'MD5', 'mime_type': 'application/xml', 'fileid': 610816, 'filesize': 23042, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/610816', 'objectid': 249232}]}]",pub,2.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/51562,51562,published,archive,2023-05-15 01:21:15,"Biogas is a renewable or alternative energy utilizing the decomposition process of awide range of organicwastes
that generates methane gas (CH4). The purpose of this study is to evaluate the effect of the addition of coconut
pulp and banana peels on biogas yield from cow dung. Parameters to be observed include: characteristics of
substrates, degree of acidity (pH), temperature, biogas production and biogas yield, as well as the flame from
biogas burning. This research is expected to produce an appropriate technology for treating waste of coconut
pulp and banana peels into value added products and scientific information on the effect of the addition of
coconut pulp and banana peels to biogas. The experiment design was a completely randomized design of six
treatments,with consecutive composition of cowdung : banana peel : coconut pulp namely A50:40:10, B50:30:20,
C 50:20:30, D 50:10:40, E 50:0:50, and F 50:50:0 with 3 replications. The data were analyzed by using ANOVA
followed byDuncan test. The results showed that the additionof coconut pulp and reductionof banana peels in the
biogas composition affected pH, C/N ratio, and biogas production, but had no effect on the temperature, and
biogas yield. The increase in coconut pulp resulted in lower pH, the C/N ratio, and biogas production. Optimum
condition is the treatment with composition of 50:50:0 without the addition of coconut pulp with a C/N ratio of
21,22 and pH of 5,5-6,5.",['S1'],Pengaruh Penambahan Ampas Kelapa dan Kulit Pisang terhadap Produksi Biogas dari Kotoran Sapi,show,4.0,8,,,https://jurnal.fp.unila.ac.id/index.php/JTP/article/view/822,,,,,,,,,,,,
4,article,['FP18'],"[{'id': None, 'name': {'given': 'Wira', 'family': 'Hadinata', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Sugeng', 'lineage': None, 'family': 'Triyono', 'honourific': None}, 'id': 'sugeng.triyono@fp.unila.ac.id'}, {'id': 'ahmad.tusip@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Tusi', 'honourific': None, 'given': 'Ahmad'}}]",2302-559X,Jurnal Teknik Pertanian Lampung,disk0_bak/00/05/15/60,2015-01-13 00:00:00.000000000,2023-05-15 01:21:09,480,41-50,2023-05-15 01:21:09,Jurusan Teknik Pertanian Fakultas Pertanian Unila,"[{'eprintid': 51560, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 249219, 'main': '751-2041-1-PB.pdf', 'files': [{'filesize': 662223, 'datasetid': 'document', 'filename': '751-2041-1-PB.pdf', 'hash': 'ee115794a3e0a6d62cdddaae06d8617f', 'mtime': '2023-05-13 14:21:57', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 610788, 'uri': 'http://repository.lppm.unila.ac.id/id/file/610788', 'objectid': 249219}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/249219', 'rev_number': 1}, {'security': 'public', 'placement': 2, 'eprintid': 51560, 'content': 'published', 'language': 'en', 'mime_type': 'application/xml', 'files': [{'objectid': 249220, 'uri': 'http://repository.lppm.unila.ac.id/id/file/610791', 'mime_type': 'application/xml', 'fileid': 610791, 'hash': '50e1d30dca373b24dcdcfaa5e24c7bee', 'filename': 692, 'hash_type': 'MD5', 'mtime': '2023-05-13 14:22:54', 'datasetid': 'document', 'filesize': 22973}], 'docid': 249220, 'main': 692, 'uri': 'http://repository.lppm.unila.ac.id/id/document/249220', 'rev_number': 3, 'format': 'text', 'pos': 2}]",pub,1.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/51560,51560,published,archive,2023-05-15 01:21:09,"The rain water harvesting system consists of a land area cultivated with rice and soybean cropping pattern
annually, and a rainwater collection pond. Surpluswater (runoff) in raining season is captured and collected in
the pond, and used for irrigation in the following cultivation. The objective of this researchwas to determine the
optimumratio of the landto pond area. This researchwas carriedout in the IntegratedField Laboratory, Faculty
of Agriculture, University of Lampung by using data of soil physical properties (water content, field capacity,
permanentwilting point, percolation); rice crop coefficient, soybean crop coefficient and climatological data for
13 years from1999 to 2011. Datawas processed using asimulation program(Visual Simulation)presented inthe
graphical form. The results showed that the rainwater potential that can be utilized as an alternative irrigation
is abundant, about 1500 mm/year - 3000 mm/year with a total of rainwater reaching 314.509,78 m3 over 13
years. Based on the simulation, the most effective period of planting, for rice is in January and for soybean is in
May. In addition, the optimum pond dimension to serve 1 ha cropping land is about 2450 m2 in with 3m depth,
or the ratio of land to pond is 4:1.",['S1'],Penentuan Dimensi Kolam Penampungan pada Sistem Pemanenan Air Hujan (Water Harvesting) untuk Mendukung Pola Tanam Padi dan Kedelai,show,4.0,9,,,https://jurnal.fp.unila.ac.id/index.php/JTP/article/view/751,,,,,,,,,,,,
5,article,['FP18'],"[{'id': None, 'name': {'given': 'Mukhlis Tri', 'lineage': None, 'family': 'Handoko', 'honourific': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Tusi', 'given': 'Ahmad'}, 'id': 'ahmad.tusip@fp.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Ridwan', 'given': 'Ridwan'}, 'id': 'zahabridwan@gmail.com'}]",2302-559X,Jurnal Teknik Pertanian Lampung,disk0_bak/00/05/15/55,2015-12-09 00:00:00.000000000,2023-05-15 01:20:56,480,275-280,2023-05-15 01:20:56,Jurusan Teknik Pertanian Fakultas Pertanian Unila,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/610750', 'objectid': 249209, 'hash_type': 'MD5', 'mtime': '2023-05-13 13:37:15', 'filename': 905, 'hash': 'ad4dbe2825f66b3a490ae59864bfe0d4', 'fileid': 610750, 'mime_type': 'application/xml', 'filesize': 23129, 'datasetid': 'document'}], 'main': 905, 'docid': 249209, 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/249209', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 51555, 'content': 'published', 'mime_type': 'application/xml', 'language': 'en'}]",pub,4.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/51555,51555,published,archive,2023-05-15 01:20:56,"Water pump that used by farmers for irrigation in general is ussualy gasoline pump. Using gasoline as a fuel will certainly add to the production costs, because the price of gasoline is more expensive and its availability are declining . Therefore, farmers should choose an alternative fuel that is cheaper to minimize production costs, for example is LPG fuel. The purpose of this research were to test the uniformity of flow performance, uniformity of distribution and application rate of portable sprinkler irrigation with a pump of gas-fire fuel pump. This research was conducted at the Marga Agung village, Jati Agung sub-district, South Lampung  in May-June 2015. Modified propulsion pump on the fuel system (carburettor) was replaced with a universal carburetor throat. Pump performance test conducted on a portable sprinkler irrigation systems (Tusi, 2013) using three variations of the pressure (1 bar, 1.25 bar and 1.5 bar). The tests conducted to determine coefficient of uniformity (CU), beam diameter, and weeting diameter. Modifications engine pump causes fuel consumption is more efficient, but the engine tends heat faster. The value of the test results obtained 1bar pressure by 32,2% CU, the discharge of 0.64 m3/h and wetting diameter of 15 m. Whereas at a pressure of 1.25 bar of 47,1% obtained CU, the discharge of 0.79 m3/h and a wetting diameter of 16 m. Varriation of pressure effected on pump performance test measurement results. The average needs of fuel gas was 0.47 kg per hour pump operation.","['S1', 'T1']",Modifikasi Pompa Air Berbahan Bakar Gas untuk Irigasi Sprinkler Portable,show,4.0,9,,,https://jurnal.fp.unila.ac.id/index.php/JTP/article/view/1000,,,,,,,,,,,,
6,other,['FP18'],"[{'name': {'given': 'Agus', 'lineage': None, 'family': 'Haryanto', 'honourific': None}, 'id': 'agus.haryanto@fp.unila.ac.id'}]",,,disk0/00/03/38/51,1970-01-01 00:00:00.000002015,2021-09-13 01:30:54,988,,2021-09-13 01:30:54,UTM,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/154090', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'filesize': 2375887, 'datasetid': 'document', 'mtime': '2021-09-10 22:34:06', 'hash_type': 'MD5', 'filename': 'Bukti Kehadiran Seminar FKPT TPI 2015 UTM AH.pdf', 'hash': 'd88bac9fdf4493b5b85d65c611594bd3', 'fileid': 400459, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/400459', 'objectid': 154090}], 'main': 'Bukti Kehadiran Seminar FKPT TPI 2015 UTM AH.pdf', 'docid': 154090, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 33851}]",pub,,,public,http://repository.lppm.unila.ac.id/id/eprint/33851,33851,completed,archive,2021-09-13 01:30:54,Sertifikat,['S1'],Bukti Kehadiran Seminar FKPT TPI 2015 UTM AH,show,,7,,,,"[{'name': {'given': 'Agus', 'honourific': None, 'family': 'Haryanto', 'lineage': None}, 'id': 'agus.haryanto@fp.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",['Universitas Lampung'],,,,,,,,,,
7,other,['FP18'],"[{'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'given': 'Agus', 'family': 'Haryanto', 'honourific': None, 'lineage': None}}]",,,disk0/00/03/38/52,1970-01-01 00:00:00.000002015,2021-09-13 01:31:12,988,,2021-09-13 01:31:12,UTM,"[{'eprintid': 33852, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 154091, 'main': 'Bukti Kehadiran Seminar FKPT TPI 2015 UTM AH.pdf', 'files': [{'objectid': 154091, 'uri': 'http://repository.lppm.unila.ac.id/id/file/400466', 'mime_type': 'application/pdf', 'fileid': 400466, 'hash': 'd88bac9fdf4493b5b85d65c611594bd3', 'filename': 'Bukti Kehadiran Seminar FKPT TPI 2015 UTM AH.pdf', 'hash_type': 'MD5', 'mtime': '2021-09-10 22:37:07', 'datasetid': 'document', 'filesize': 2375887}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154091', 'rev_number': 1}]",pub,,,public,http://repository.lppm.unila.ac.id/id/eprint/33852,33852,completed,archive,2021-09-13 01:31:12,Sertifikat,['S1'],Bukti Kehadiran Seminar FKPT TPI 2015 UTM2 AH,show,,7,,,,"[{'name': {'honourific': None, 'family': 'Haryanto', 'lineage': None, 'given': 'Agus'}, 'id': 'agus.haryanto@fp.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",['Universitas Lampung'],,,,,,,,,,
8,other,['FP18'],"[{'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'given': 'Agus', 'family': 'Haryanto', 'honourific': None, 'lineage': None}}]",,,disk0/00/03/38/53,1970-01-01 00:00:00.000002015,2021-09-13 01:31:15,988,,2021-09-13 01:31:15,UNSRI,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154092', 'pos': 1, 'format': 'text', 'files': [{'filesize': 1771834, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-09-10 22:39:12', 'filename': 'Bukti Kehadiran Seminar PERTETA Palembang 2015 AH.pdf', 'hash': 'b6faf3755e12e459480f7418f8a11bc1', 'fileid': 400473, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/400473', 'objectid': 154092}], 'docid': 154092, 'main': 'Bukti Kehadiran Seminar PERTETA Palembang 2015 AH.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 33853}]",pub,,,public,http://repository.lppm.unila.ac.id/id/eprint/33853,33853,completed,archive,2021-09-13 01:31:15,Sertifikat,['S1'],Bukti Kehadiran Seminar PERTETA Palembang 2015 AH,show,,7,,,,"[{'name': {'honourific': None, 'family': 'Haryanto', 'lineage': None, 'given': 'Agus'}, 'id': 'agus.haryanto@fp.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",['Universitas Lampung'],,,,,,,,,,
9,conference_item,['FP18'],"[{'name': {'honourific': None, 'family': 'Haryanto', 'lineage': None, 'given': 'Agus'}, 'id': 'agus.haryanto@fp.unila.ac.id'}]",,,disk0/00/01/89/10,2015-09-02 00:00:00.000000000,2020-03-30 01:52:25,988,B-258-B-263,2020-03-30 01:52:25,,"[{'files': [{'fileid': 158668, 'mime_type': 'application/pdf', 'mtime': '2020-03-28 06:14:39', 'hash_type': 'MD5', 'hash': '699472f5cd5029579e03aca1c59a79c4', 'filename': '8-ProsidingTakBerindex-06-Filtrasi_Limbah_Cair.pdf', 'datasetid': 'document', 'filesize': 421549, 'objectid': 32148, 'uri': 'http://repository.lppm.unila.ac.id/id/file/158668'}], 'docid': 32148, 'main': '8-ProsidingTakBerindex-06-Filtrasi_Limbah_Cair.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32148', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 18910, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/18910,18910,published,archive,2020-03-30 01:52:25,"Limbah cair industri tahu (whey) memiliki kandungan unsur hara terutama nitrogen dan fosfor yang tinggi. Pembuangan whey langsung ke badan sungai akan menyebabkan pencemaran lingkungan sehingga dibutuhkan pengolahan terlebih dahulu agar aman dibuang ke lingkungan. Penelitian ini bertujuan untuk mengamati pengaruh lama perlakuan filtrasi terhadap kualitas limbah dan juga batuan fosfat sebagai media filter. Metode pengolahan limbah yang digunakan pada penelitian ini adalah biofilter dengan media partikel batuan fosfat. Limbah cair tahu disirkulasi secara kontinyu dengan perlakuan durasi tertentu (3, 6, 12, 24, 36, dan 48 jam). Adapun parameter yang diamati pada penelitian ini meliputi perubahan kualitas pada limbah cair tahu (pH, N-Amonium, Total Solid, P Total) dan kualitas batuan fosfat sebagai media filter (P Terlarut). Hasil penelitian menunjukkan bahwa selama proses filtrasi berlangsung, nilai pH whey yang awalnya asam (4.10) meningkat hingga menjadi basa (8.55) dengan perlakuan filtrasi 48 jam. Pengolahan dengan biofilter batuan fosfat juga mampu mereduksi 45% Total Solid, 70% Ammonium, dan 90% P total pada whey. Nilai P terlarut pada media filter meningkat sebesar 30% dari nilai awal.",['TP'],Filtrasi Limbah Cair Industri Tahu dengan Media Partikel Batuan Fosfat,show,,7,,,,"[{'name': {'family': 'Haryanto', 'honourific': None, 'lineage': None, 'given': 'Agus'}, 'id': 'agus.haryanto@fp.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",['University of Lampung'],Surabaya,"Prosiding Seminar Agroindustri dan Lokakarya Nasional FKPT-TPI Program Studi TIP-UTM, 2-3 September 2015",2-3 September,conference,paper,,,,,
