,creators,dir,type,divisions,publisher,documents,ispublished,uri,full_text_status,lastmod,userid,datestamp,eprintid,title,place_of_pub,metadata_visibility,rev_number,status_changed,eprint_status,abstract,subjects,official_url,event_type,event_title,pagerange,pres_type,refereed,output_media,funders,event_dates,event_location,date_type,corp_creators,contributors,publication,related_url,issn,number,volume,id_number,contact_email,succeeds,monograph_type,pages,book_title,pedagogic_type,keywords
0,"[{'name': {'given': 'Made', 'family': 'Aditya putra', 'honourific': None, 'lineage': None}, 'id': None}, {'name': {'given': 'Sandi', 'family': 'Asmara', 'honourific': None, 'lineage': None}, 'id': 'Shandiasmara@yahoo.com'}, {'name': {'lineage': None, 'family': 'sugianti', 'honourific': None, 'given': 'cicih'}, 'id': 'cicih.sugianti@fp.unila.ac.id'}, {'id': 'tamrinajis62@gmail.com', 'name': {'family': 'Tamrin', 'honourific': None, 'lineage': None, 'given': 'Tamrin'}}]",disk0/00/02/87/29,other,['FP18'],Universitas Lampung,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42789', 'rev_number': 1, 'main': 'Scan2020-Reviewer Penelitian6.pdf', 'docid': 42789, 'files': [{'objectid': 42789, 'uri': 'http://repository.lppm.unila.ac.id/id/file/254877', 'datasetid': 'document', 'filesize': 1309032, 'mime_type': 'application/pdf', 'fileid': 254877, 'hash': 'c96d50b0e00987f56eac88ad3a90f8bb', 'filename': 'Scan2020-Reviewer Penelitian6.pdf', 'hash_type': 'MD5', 'mtime': '2021-03-30 17:26:53'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 28729, 'placement': 1, 'security': 'public'}, {'format': 'text', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42790', 'rev_number': 3, 'main': 2516, 'docid': 42790, 'files': [{'objectid': 42790, 'uri': 'http://repository.lppm.unila.ac.id/id/file/254880', 'datasetid': 'document', 'filesize': 25173, 'mime_type': 'application/xml', 'fileid': 254880, 'hash': 'd4f8c9f0ba6f4cb001db2c0bfcc28f32', 'filename': 2516, 'mtime': '2021-03-30 17:27:35', 'hash_type': 'MD5'}], 'mime_type': 'application/xml', 'language': 'en', 'content': 'other', 'eprintid': 28729, 'security': 'public', 'placement': 2}]",unpub,http://repository.lppm.unila.ac.id/id/eprint/28729,public,2021-03-31 02:15:00,432,2021-03-31 02:15:00,28729,Uji Kinerja Alat Pengering Silinder Vertikal pada Proses Pengeringan Jagung (Zea mays ssp.mays),Bandar Lampung,show,10,2021-03-31 02:15:00,archive,Lembar Hasil Penilaian Reviewer Jurnal Teknik Pertanian Lampung,['S1'],,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[{'id': None, 'name': {'family': 'Amelia', 'honourific': None, 'lineage': None, 'given': 'Julfi Restu'}}, {'id': None, 'name': {'given': 'O', 'honourific': None, 'family': 'Maulidia', 'lineage': None}}, {'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Haryanto', 'lineage': None, 'given': 'Agus'}}, {'name': {'family': 'Hasanudin', 'honourific': None, 'lineage': None, 'given': 'Udin'}, 'id': 'udinha65@gmail.com'}, {'name': {'honourific': None, 'family': 'Triyono', 'lineage': None, 'given': 'Sugeng'}, 'id': 'sugeng.triyono@fp.unila.ac.id'}]",disk0/00/03/55/94,conference_item,['FP18'],,"[{'eprintid': 35594, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': 'Utilization of Biogas Digester.pdf', 'docid': 156484, 'files': [{'filesize': 303748, 'datasetid': 'document', 'hash': 'c0c8adde89ae2c51b5da6815708b7b95', 'filename': 'Utilization of Biogas Digester.pdf', 'hash_type': 'MD5', 'mtime': '2021-11-08 15:37:14', 'mime_type': 'application/pdf', 'fileid': 414402, 'uri': 'http://repository.lppm.unila.ac.id/id/file/414402', 'objectid': 156484}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/156484', 'rev_number': 1}]",pub,http://repository.lppm.unila.ac.id/id/eprint/35594,public,2021-11-09 01:16:14,832,2021-11-09 01:16:14,35594,"Decreasing of Environmental Loads in Tapioca 
Industry Through Utilization of Biogas Digester 
Effluent for Fertigation During Vegetables Production",,show,8,2021-11-09 01:16:14,archive,"ABSTRACT
In order to lower environmental burden, a tapioca industry make use its wastewater to generate biogas through 
anaerobic digestion process using a covered lagoon system. However, the effluent from the digester still has not met 
the quality standards so that it cannot be disposed into the water body. Organic matter remaining in the digester 
effluent is expected to be used as a source of plant nutrients through fertigation. The purpose of this study was to 
calculate the reduction potential of environment load th rough the utilization of wastewater effluent from the tapioca 
wastewater biogas digester and determine the fertigation dose of wastewater addition during vegetable cultivation on 
soil media. Completely randomized design was used in this experimental with two factors, namely plant type(T) as 
first factor consisting of T1=pakcoy, T2=water spinach, T3= tomato, and T4=cucumber, and fertigation rate (in term 
of available water level) as the second factor consisting of K1=100-81%,K2 = 80-61%, K3= 60-41%, K4= 40-21% of 
available water. The experiment was carried out with three replications and no chemical fertilizer was added. Results 
showed that water spinach and pakcoy have a higher potential in reducing COD, nitrogen, phosphorus, and potassium 
as compared to tomatoes and cucumbers. Results also showed that cultivation of pakcoy with available soil water 
81%-100% (T1K1) was able to decrease environmental load of 7,47%, water spinach with soil water 61%-
80%(T2K2) reduced the load by 8,26%, tomato with soil water41%-60% (T3K3) reduced the load by 6,43%, and 
cucumber with soil water 81%-100% (T4K4) reduced the load by 4,54%. 
Keywords: Tapioca, Biogas, Digester, Fertigation, Vegetable Production",['S1'],https://www.atlantis-press.com/proceedings/series/aer/recent-volumes,conference,International Conference on Sustainable Biomass,2021,paper,TRUE,,,,,,,,,,,,,,,,,,,,
2,"[{'id': 'mandiansonirala86@gmail.com', 'name': {'given': 'Muchsin', 'lineage': None, 'family': 'Andrian', 'honourific': None}}, {'id': 'Shandiasmara@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Asmara', 'given': 'Sandi'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Suharyatun', 'given': 'Siti'}, 'id': 'siti.suharyatun@fp.unila.ac.id'}]",disk0/00/02/87/26,other,['FP18'],Universitas Lampung,"[{'files': [{'objectid': 42782, 'uri': 'http://repository.lppm.unila.ac.id/id/file/254840', 'fileid': 254840, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-03-30 17:10:48', 'filename': 'Scan2020-Reviewer Penelitian3.pdf', 'hash': '8250fc742e9281e6b4c161f796cfbdd9', 'datasetid': 'document', 'filesize': 1321913}], 'docid': 42782, 'main': 'Scan2020-Reviewer Penelitian3.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42782', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 28726, 'mime_type': 'application/pdf', 'language': 'en'}, {'eprintid': 28726, 'security': 'public', 'placement': 2, 'mime_type': 'application/xml', 'language': 'en', 'content': 'other', 'main': 2161, 'docid': 42784, 'files': [{'fileid': 254847, 'mime_type': 'application/xml', 'mtime': '2021-03-30 17:12:43', 'hash_type': 'MD5', 'filename': 2161, 'hash': 'b60235da193b45a8200eb2ffaf78117e', 'datasetid': 'document', 'filesize': 23317, 'objectid': 42784, 'uri': 'http://repository.lppm.unila.ac.id/id/file/254847'}], 'format': 'text', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42784', 'rev_number': 3}]",unpub,http://repository.lppm.unila.ac.id/id/eprint/28726,public,2021-03-31 02:14:49,432,2021-03-31 02:14:49,28726,"Pengaruh Kecepatan Putar Terhadap Unjuk Kerja,Masin Pencacah Pelepah Sawit (Chopper) Tipe TEP-1",Bandar Lampung,show,13,2021-03-31 02:14:49,archive,Lembar Penilaian Hasil Reviewer Jurnal Teknik Pertanian Lampung,['S1'],,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[{'id': 'siti.anisaa100896@gmail.com', 'name': {'honourific': None, 'family': 'Anisa', 'lineage': None, 'given': 'Siti'}}, {'id': 'siti.suharyatun@fp.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Suharyatun', 'given': 'Siti'}}, {'id': 'oktafri.1964@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Oktafri', 'lineage': None, 'given': 'Oktafri'}}, {'name': {'honourific': None, 'family': 'Asmara', 'lineage': None, 'given': 'Sandi'}, 'id': 'Shandiasmara@yahoo.com'}]",disk0/00/02/87/79,other,['FP18'],Universitas Lampung,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 28779, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42841', 'docid': 42841, 'main': 'Scan2020-Reviewer Penelitian7.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/255278', 'objectid': 42841, 'filename': 'Scan2020-Reviewer Penelitian7.pdf', 'hash': '8a4a877fe7778450f8cfedfc05f4a271', 'mtime': '2021-03-31 05:06:19', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 255278, 'filesize': 1301707, 'datasetid': 'document'}]}, {'eprintid': 28779, 'security': 'public', 'placement': 2, 'mime_type': 'application/xml', 'language': 'en', 'content': 'other', 'docid': 42843, 'main': 2467, 'files': [{'datasetid': 'document', 'filesize': 25760, 'mime_type': 'application/xml', 'fileid': 255285, 'hash': '6fad8bc7dc8bba3d7de5291203d9cace', 'filename': 2467, 'hash_type': 'MD5', 'mtime': '2021-03-31 05:07:22', 'objectid': 42843, 'uri': 'http://repository.lppm.unila.ac.id/id/file/255285'}], 'format': 'text', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42843', 'rev_number': 3}]",unpub,http://repository.lppm.unila.ac.id/id/eprint/28779,public,2021-04-01 01:56:57,432,2021-04-01 01:56:57,28779,Unjuk Kerja Mesin Pemotong Padi (Paddy Mover) saat Pemanenan Padi (Oryza Sativa L.) di Lahan Basah.,Bandar Lampung,show,13,2021-04-01 01:56:57,archive,Lembar Hasil Penilaian Peer Review Jurnal Teknik Pertanian Lampung,['S1'],,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[{'name': {'family': 'Ario', 'honourific': None, 'lineage': None, 'given': 'Panji'}, 'id': 'panji_ario@gmail.com'}, {'id': 'zul2007@gmail.com', 'name': {'honourific': None, 'family': 'Zulkarnain', 'lineage': None, 'given': 'Iskandar'}}]",disk0/00/00/75/14,image,['FP18'],JURUSAN TEKNIK PERTANIAN UNILA,"[{'language': 'en', 'mime_type': 'image/jpeg', 'eprintid': 7514, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'image', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20553', 'main': 'Panji Ario.jpg', 'docid': 20553, 'files': [{'fileid': 67813, 'mime_type': 'image/jpeg', 'mtime': '2018-06-22 04:30:07', 'hash_type': 'MD5', 'filename': 'Panji Ario.jpg', 'hash': '0e863d4e6d65552eb49b8dab93512758', 'datasetid': 'document', 'filesize': 1695804, 'objectid': 20553, 'uri': 'http://repository.lppm.unila.ac.id/id/file/67813'}]}]",pub,http://repository.lppm.unila.ac.id/id/eprint/7514,public,2018-06-25 02:35:47,353,2018-06-25 02:35:47,7514,Mempelajari Proses Pengeringan pada Bahan Olahan Karet RSS di PTPN VII Unit Usaha kedato (Way Galih),,show,7,2018-06-25 02:35:47,archive,"Tanaman karet (hevea brasiliensis) adalah tanaman getah. Dinamanakan demikian karena golongan ini mempunyai jaringan tanaman ini banyak mengandung getah (lateks), dan getah tersebut akan mengalir keluar apabila jaringan tersebut dilukai.
Pengelollaan lateks di PTPN VII adalah berupa RSS (Ribbed Smoked Sheet). Hasil olahan tersebut diekspor ke luar negeri.",['S1'],,,,,,,Wall,,,,,,,,,,,,,,,,,,,
5,"[{'id': 'Shandiasmara@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Asmara', 'given': 'Sandi'}}]",disk0/00/02/85/79,other,['FP18'],Universitas Lampung,"[{'files': [{'filename': 'Scan2020-Reviewer Penelitian1.pdf', 'hash': '54242f837649d89354ce7e5b20b7f8f5', 'mtime': '2021-03-26 02:54:58', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 253659, 'filesize': 1329546, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/253659', 'objectid': 42638}], 'docid': 42638, 'main': 'Scan2020-Reviewer Penelitian1.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42638', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 28579, 'mime_type': 'application/pdf', 'language': 'en'}, {'eprintid': 28579, 'placement': 2, 'security': 'public', 'mime_type': 'text/html', 'language': 'en', 'content': 'other', 'docid': 42639, 'main': 'login', 'files': [{'fileid': 253662, 'mime_type': 'text/html', 'mtime': '2021-03-26 02:55:20', 'hash_type': 'MD5', 'filename': 'login', 'hash': '824daf847fb602852bf76f2d7a9193f5', 'datasetid': 'document', 'filesize': 9295, 'objectid': 42639, 'uri': 'http://repository.lppm.unila.ac.id/id/file/253662'}], 'pos': 2, 'format': 'text', 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42639'}]",unpub,http://repository.lppm.unila.ac.id/id/eprint/28579,public,2021-03-31 02:14:33,432,2021-03-31 02:14:33,28579,Sifat Viscoelastis Buah Alpokat (Persea americana Mill) Dalam Kemasan,Bandar Lampung,show,9,2021-03-31 02:14:33,archive,Lembar Penilaian Reviewer Artikel Jurnal Tropika,['S1'],,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Asmara', 'given': 'Sandi'}, 'id': 'Shandiasmara@yahoo.com'}, {'id': 'elhamidarezkia@gmail.com', 'name': {'lineage': None, 'family': 'Elhamida', 'honourific': None, 'given': 'Rezkia'}}, {'id': 'elhamidarezkia@gmail.com', 'name': {'lineage': None, 'family': 'Rezkia Amin', 'honourific': None, 'given': 'Elhamiida'}}, {'id': 'warji1978@gmail.com', 'name': {'given': 'Warji', 'lineage': None, 'honourific': None, 'family': 'Warji'}}, {'name': {'given': 'Tamrin', 'lineage': None, 'honourific': None, 'family': 'Tamrin'}, 'id': 'tamrinajis62@gmail.com'}, {'name': {'given': 'Winda', 'honourific': None, 'family': 'Rahmawati', 'lineage': None}, 'id': 'winda.rahmawati@fp.unila.ac.id'}, {'id': None, 'name': {'given': 'Betta', 'lineage': None, 'honourific': None, 'family': 'Kurniawan'}}]",disk0_bak/00/04/93/70,other,['FP18'],Jurnal Teknik Pertanian Lampung,"[{'eprintid': 49370, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': '6. Performance Test of Cassava Cutting Machine Type of Double Block-7-17.pdf.pdf', 'docid': 188918, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/535910', 'objectid': 188918, 'filesize': 1158109, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2023-03-30 00:55:53', 'filename': '6. Performance Test of Cassava Cutting Machine Type of Double Block-7-17.pdf.pdf', 'hash': 'e827b428eac79639ba9856487a4967de', 'fileid': 535910, 'mime_type': 'application/pdf'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188918'}]",pub,http://repository.lppm.unila.ac.id/id/eprint/49370,public,2023-03-30 04:39:52,432,2023-03-30 04:39:52,49370,"Performance Test of Cassava Cutting Machine Type of Double Block Cutter. Teknik Pertanian Lampung,",,show,10,2023-03-30 04:39:52,archive,"Preparation of cassava seeds using a machete or hand saw takes a long time, the results are not uniform, and there is a potential for damage to cassava seedlings. The double block cutter type cassava stem cutting machine has been designed to produce high capacity and good quality cassava seeds. This study aims to test the performance of the cassava stem cutting machine with the double block cutter type. Performance tests include measuring machine working capacity, fuel consumption, seed uniformity, and planting test. The cutting test was carried out using 3 varieties of cassava seedlings. The machine works at a rotational speed of 3800 rpm and the test was carried out with various feeding loads, namely 3 rods, 4 rods, and 5 rods with. Each test was repeated 3 times. Cassava stem cutting machine (Petokong) is suitable for producing cassava stems with an average working capacity of 16275 seeds/hour. The results of the Anova test showed that the number of baits and varieties of cassava seeds and their interaction had a significant effect on the working capacity of the Petokong machine. Variations in fuel consumption are thought to be influenced by the variety of cassava stem used, which is influenced by the stem diameter of each variety. The Petokong machine is far superior to manual cutting using a machete or saw which can only produce 815 and 3005 seeds/hour per hour. The average fuel consumption is 1.82 liters per hour. Seed uniformity is about 98% and seedling damage can be minimized to 2%. The seeds produced by the Petokong machine can grow well, which is indicated by the appearance of shoots and an even distribution of roots.",['S1'],,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[{'name': {'given': 'Sandi', 'lineage': None, 'family': 'Asmara', 'honourific': None}, 'id': 'Shandiasmara@yahoo.com'}, {'id': None, 'name': {'given': 'Deby', 'honourific': None, 'family': 'Irwansyah', 'lineage': None}}]",disk0/00/02/89/58,other,['FP18'],Universitas Lampung,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/256966', 'objectid': 43053, 'mtime': '2021-04-07 02:32:51', 'hash_type': 'MD5', 'hash': 'e28bc36dcd7b7b4e32bde1f1c7263551', 'filename': 'Scan2020-Reviewer Penelitian13.pdf', 'fileid': 256966, 'mime_type': 'application/pdf', 'filesize': 1330658, 'datasetid': 'document'}], 'docid': 43053, 'main': 'Scan2020-Reviewer Penelitian13.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43053', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 28958, 'mime_type': 'application/pdf', 'language': 'en'}, {'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43054', 'pos': 2, 'format': 'text', 'files': [{'objectid': 43054, 'uri': 'http://repository.lppm.unila.ac.id/id/file/256972', 'datasetid': 'document', 'filesize': 22737, 'mime_type': 'text/html', 'fileid': 256972, 'filename': 'index.html', 'hash': 'e8ff2f5fdc5405724d6956fb4f41e7be', 'hash_type': 'MD5', 'mtime': '2021-04-07 02:37:30'}], 'main': 'index.html', 'docid': 43054, 'content': 'other', 'mime_type': 'text/html', 'language': 'en', 'placement': 2, 'security': 'public', 'eprintid': 28958}]",unpub,http://repository.lppm.unila.ac.id/id/eprint/28958,public,2021-04-08 01:09:39,432,2021-04-08 01:09:39,28958,Rancang Bangun Alat Pengering Mekanis Biji Jagung Tipe Batch Dryer Berpengaduk,Bandar Lampung,show,9,2021-04-08 01:09:39,archive,Lembar Hasil Penilaian Peer Reviewer Prosiding Seminar Nasional SEMIRATA Dekan WIl Barat,['S1'],,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[{'name': {'lineage': None, 'family': 'Asmara', 'honourific': None, 'given': 'Sandi'}, 'id': 'Shandiasmara@yahoo.com'}, {'name': {'lineage': None, 'family': 'Irwnsyah', 'honourific': None, 'given': 'Deby'}, 'id': None}]",disk0/00/02/89/47,conference_item,['FP18'],,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/43041', 'rev_number': 2, 'format': 'text', 'pos': 1, 'files': [{'objectid': 43041, 'uri': 'http://repository.lppm.unila.ac.id/id/file/256847', 'datasetid': 'document', 'filesize': 7794714, 'mime_type': 'application/pdf', 'fileid': 256847, 'hash': '7cf4c093cc9e697d56adc6ccaa984bfd', 'filename': 'Scan2021-04-06_153145.pdf', 'hash_type': 'MD5', 'mtime': '2021-04-06 09:16:14'}], 'main': 'Scan2021-04-06_153145.pdf', 'docid': 43041, 'content': 'published', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 28947}]",pub,http://repository.lppm.unila.ac.id/id/eprint/28947,public,2021-04-07 01:38:29,432,2021-04-07 01:38:29,28947,Rancang Bangun Alat Pengering Mekanis Biji Jagung Tipe Batch Dryer Berpengaduk,,show,8,2021-04-07 01:38:29,archive,"Permasalahan utama alat pengering yang sudah ada adalah penyebaran suhu pada bahan kurang merata sehingga kadar air yang dihasilkan tidak seragam atau merata.Untuk itu diperlukan alternatif alat pengering yang dilengkapi dengan pengaduk pada bak pengering sehingga bahan yang dikeringkan dapat kontinu bergerak dan kadar air yang dicapai merata serta diharapkan pemanfaatan energinya lebih optimum. Pengujian alat pengering mekanis biji jagung tipe batch dryer berpengaduk dilakukan dengan 2 pengujian. Pertama pengujian tanpa beban dengan kipas berkecepatan 1407 rpm dan tanpa kipas. Penyebaran suhu relatif lebih cepat merata (pada ruang plenum) jika menggunakan kipas, udara panas lebih banyak termanfaatkan. Tanpa kipas pemanfaatan udara panasnya lebih sedikit dan penyebaran suhunya lebih lambat merata. Pengujian kedua yaitu pengujian dengan beban yang bertujuan untuk mengukur penyebaran suhu di ruang plenum dan bahan di bak pengering serta melakukan analisis pengeringan. Hasilnya rata-rata suhu udara pengering di ruang plenum pada pengeringan dengan pengaduk adalah 76,57 °C dan suhu rata-rata bahan pada ruang pengering adalah 36,47 °C. Sedangkan tanpa pengaduk, suhu pengeringan pada ruang plenum sebesar 76,60 oC dan suhu bahan di ruang pengering sebesar 36,75 oC., Kadar air rata-rata pada akhir proses pengeringan dengan pengaduk mencapai 13,69 % dengan laju pengeringan rata-rata 1,06 kg.H2O/jam atau 2,04 %bb/jam. Sedangkan tanpa pengadukan dengan waktu yang sama, kadar air akhir yang diperoleh sebesar 14,15 % dan belum tercapai kadar air yang diharapkan. Oleh karena itu, pengeringan dengan pengadukan bahan secara kontinu lebih baik karena dapat membantu mempercepat proses penurunan kadar airnya dengan kadar air yang merata. Waktu yang dibutuhkan untuk menurunkan kadar air biji jagung dari kadar air awal hingga kadar air akhir 12 – 14 % adalah 5 jam, dengan rata-rata beban uap air 5,31 kg.H2O. Rata-rata energi yang digunakan sebesar 93.164,11 kJ sedangkan energi yang digunakan untuk menguapkan air adalah 12.310,66 kJ. Sehingga diperoleh efisiensi pengeringan sebesar 13,22 %. Nilai efisiensi kecil, karena banyak panas yang hilang selama proses pengeringan berlangsung antara lain saat penambahan bahan bakar, melalui celah-celah pada ruang pembakaran dan bagian atas bak pengering yang terbuka sehingga udara panas langsung",['S1'],,conference,Seminar Nasional Rapat Tahunan Dekan Wil Barat Bidang Ilmu Pertanian,,paper,FALSE,,['Universitas Sultan Ageng Tirtayasa'],29 - 30 April 2009,Serang Banten,published,,,,,,,,,,,,,,,
9,"[{'id': 'Shandiasmara@yahoo.com', 'name': {'given': 'Sandi', 'family': 'Asmara', 'honourific': None, 'lineage': None}}, {'name': {'family': 'Rahmawati', 'honourific': None, 'lineage': None, 'given': 'Winda'}, 'id': 'winda.rahmawati@fp.unila.ac.id'}, {'id': 'siti.suharyatun@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Suharyatun', 'honourific': None, 'given': 'Siti'}}, {'id': None, 'name': {'honourific': None, 'family': 'Kurniawan', 'lineage': None, 'given': 'Betta'}}, {'id': 'indahlistiana@yahoo.com', 'name': {'given': 'Indah', 'family': 'Listiana', 'honourific': None, 'lineage': None}}, {'name': {'given': 'diana', 'lineage': None, 'family': 'widyastuti', 'honourific': None}, 'id': 'radianawidyastuti@yahoo.co.id'}]",disk0_bak/00/04/91/67,other,['FP18'],IOP Conference Series: Earth and Environmental Science,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188615', 'docid': 188615, 'main': 'Producing Organic Pot from Cassava Stem Waste for Water Spinach (Ipomea reptans Poir) as Waste Manag.pdf', 'files': [{'datasetid': 'document', 'filesize': 1200994, 'fileid': 534237, 'mime_type': 'application/pdf', 'mtime': '2023-03-23 02:45:53', 'hash_type': 'MD5', 'filename': 'Producing Organic Pot from Cassava Stem Waste for Water Spinach (Ipomea reptans Poir) as Waste Manag.pdf', 'hash': '1f6c7f6479578cc9c26b0526cd505777', 'objectid': 188615, 'uri': 'http://repository.lppm.unila.ac.id/id/file/534237'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 49167, 'placement': 1, 'security': 'public'}]",pub,http://repository.lppm.unila.ac.id/id/eprint/49167,public,2023-03-24 01:30:50,131,2023-03-24 01:30:50,49167,SIMILARITY Producing Organic Pot from Cassava Stem Waste for Water Spinach (Ipomea reptans Poir) as Waste Management Strategy,https://iopscience.iop.org/article/10.1088/1755-1315/739/1/012039/pdf,show,8,2023-03-24 01:30:50,archive,"Abstract. Cassava stem waste in Lampung Province has not been utilized to its maximum potential, so there is a need for an alternative treatment to process the cassava stem waste into a useful material. One way to do this is by turning the stem waste into an organic pot. There are several aims in this study, which are to design the composition of the raw materials and adhesives needed to develop organic pot for media to grow land variant of kangkung (Ipomea reptans Poir), second, to determine the physical properties of organic pots made from cassava stem waste raw material, coconut fiber, and tapioca adhesive. The raw materials used are cassava stem powder, coconut fiber, and tapioca adhesive with three levels of treatment, namely P1( 60% cassava steam, 10% coconut coir, 30% adhesive), P2 (50% cassava steam, 10% coconut coir, 40% adhesive), and P3 ( 50% cassava steam, 20% coconut coir, 30% adhesive). Research results from 15 Organic pots with 3 levels of treatment P1, P2, P3, based on physical characteristics and planting test of the three organic pot treatments, can be penetrated by roots and fully decomposed after 23 days and show good growth.",['S1'],https://iopscience.iop.org/article/10.1088/1755-1315/739/1/012039/pdf,,,,,,,,,,published,,,,,,,,,,,,,,,
