,date_type,eprintid,subjects,abstract,status_changed,eprint_status,rev_number,volume,metadata_visibility,title,official_url,divisions,type,date,dir,id_number,publication,issn,creators,datestamp,pagerange,lastmod,userid,full_text_status,uri,refereed,number,ispublished,documents,publisher,related_url,corp_creators,event_dates,event_type,event_location,event_title,pres_type,contributors,funders,projects,place_of_pub,patent_applicant,pages,contact_email,isbn,keywords,referencetext,succeeds
0,published,46687,['S1'],"Lampung Province is one of the largest cassava producers in Indonesia. One of the abundant wastes that need to be processed is cassava stems. To utilize cassava stem waste into other alternative products, it is necessary to conduct a study on the manufacture of cassava stem waste into mosquito coils through mixing with citronella. The implementation of the research consisted of several stages, namely preparation of tools and materials, size reduction and screening, drying of materials, mixing of materials and adhesive, printing, drying of insect repellent, and data analysis. The results of data analysis were presented in the form of tables and graphs. Data analysis includes testing of moisture content, density, burning time, weight per unit, and wholeness test of mosquito coils. Based on the test, mosquito coils were produced with a circle diameter of 12 cm, a width of 0.7 cm, a thickness of 0.4 mm, a length of 80 cm, and a brownish yellow color. Mosquito repellent produced from mixing cassava stem waste and Citrolella that fulfils two SII standard criteria, namely wholenes test and water content. two criteria does not meet the SII standard, namely weight per unit and burn time.

Keywords: Cassava stem waste, Mosquito coils, Citronella.",2022-11-17 07:40:34,archive,9,1.0,show,Pemanfaatan Limbah Batang Singkong Menjadi Obat Nyamuk Bakar dengan Campuran Sereh Wangi (Cymbopogon nardus L.),https://opscitech.com/journal/article/view/24,['FP18'],article,2021-10-01 00:00:00.000000000,disk0/00/04/66/87,https://doi.org/10.33292/ost.vol1no2.2021.24,Open Science and Technology,P-ISSN 2776-169X dan E-ISSN 2776-1681,"[{'name': {'given': 'Elhamida Rezkia', 'lineage': None, 'family': 'Amien', 'honourific': None}, 'id': 'elhamida.rezkiaamien90@fp.unila.ac.id'}, {'id': 'Shandiasmara@yahoo.com', 'name': {'given': 'Sandi', 'honourific': None, 'family': 'Asmara', 'lineage': None}}, {'id': None, 'name': {'given': 'Resa', 'honourific': None, 'family': 'Anggaini', 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Ridwan', 'given': 'Ridwan'}, 'id': 'zahabridwan@gmail.com'}]",2022-11-17 07:40:34,208-216,2022-11-17 07:40:34,25868,public,http://repository.lppm.unila.ac.id/id/eprint/46687,FALSE,2.0,pub,"[{'format': 'text', 'pos': 1, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185596', 'docid': 185596, 'main': '24-Article Text-206-1-10-20211230-3.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/514360', 'objectid': 185596, 'hash_type': 'MD5', 'mtime': '2022-11-17 03:29:34', 'filename': '24-Article Text-206-1-10-20211230-3.pdf', 'hash': '78e94e8864711e46e4890b24b8766b66', 'fileid': 514360, 'mime_type': 'application/pdf', 'filesize': 480789, 'datasetid': 'document'}], 'language': 'id', 'mime_type': 'application/pdf', 'eprintid': 46687, 'security': 'public', 'placement': 1}]",Research and Social Study Institute,,,,,,,,,,,,,,,,,,
1,published,46879,['S1'],,2022-11-25 11:22:27,archive,9,,show,"Peer Review ""Pemanfaatan Limbah Batang Singkong Menjadi Obat Nyamuk Bakar dengan Campuran Sereh Wangi (Cymbopogon nardus L.)""",,['FP18'],other,2021-10-01 00:00:00.000000000,disk0/00/04/68/79,,,,"[{'name': {'given': 'Elhamida Rezkia', 'lineage': None, 'honourific': None, 'family': 'Amien'}, 'id': 'elhamida.rezkiaamien90@fp.unila.ac.id'}, {'name': {'given': 'Sandi', 'lineage': None, 'honourific': None, 'family': 'Asmara'}, 'id': 'Shandiasmara@yahoo.com'}, {'name': {'family': 'Anggraini', 'honourific': None, 'lineage': None, 'given': 'Resa'}, 'id': None}, {'name': {'given': 'Ridwan', 'lineage': None, 'family': 'Ridwan', 'honourific': None}, 'id': 'zahabridwan@gmail.com'}]",2022-11-25 11:22:27,,2022-11-25 11:22:27,25868,public,http://repository.lppm.unila.ac.id/id/eprint/46879,,,pub,"[{'files': [{'objectid': 185817, 'uri': 'http://repository.lppm.unila.ac.id/id/file/515811', 'mime_type': 'application/pdf', 'fileid': 515811, 'hash': 'a4934d190e4b2b7e8a935a015e9650f1', 'filename': 'reviewer.pdf', 'hash_type': 'MD5', 'mtime': '2022-11-25 09:37:55', 'datasetid': 'document', 'filesize': 1367716}], 'docid': 185817, 'main': 'reviewer.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185817', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 46879, 'language': 'en', 'mime_type': 'application/pdf'}]",Open Science and Technology,"[{'url': 'https://opscitech.com/journal/article/view/24', 'type': 'pub'}]",,,,,,,,,,,,,,,,,
2,,47040,['S1'],,2022-11-30 06:50:49,archive,7,,show,"PeerReview ""Pemanfaatan Limbah Batang Singkong Menjadi Obat Nyamuk Bakar dengan Campuran Sereh Wangi (Cymbopogon nardus L.)""",,['FP18'],other,2021-10-01 00:00:00.000000000,disk0/00/04/70/40,,,,"[{'id': 'elhamida.rezkiaamien90@fp.unila.ac.id', 'name': {'given': 'Elhamida Rezkia', 'honourific': None, 'family': 'Amien', 'lineage': None}}, {'id': 'Shandiasmara@yahoo.com', 'name': {'given': 'Sandi', 'lineage': None, 'honourific': None, 'family': 'Asmara'}}, {'id': None, 'name': {'lineage': None, 'family': 'Anggraini', 'honourific': None, 'given': 'Resa'}}, {'name': {'given': 'Ridwan', 'honourific': None, 'family': 'Ridwan', 'lineage': None}, 'id': 'zahabridwan@gmail.com'}]",2022-11-30 06:50:49,,2022-11-30 06:50:49,25868,public,http://repository.lppm.unila.ac.id/id/eprint/47040,,,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 47040, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 185981, 'uri': 'http://repository.lppm.unila.ac.id/id/file/516975', 'mime_type': 'application/pdf', 'fileid': 516975, 'filename': 'CCF_000006.pdf', 'hash': '0a09afa7fa4e71b611806831d15d84ec', 'hash_type': 'MD5', 'mtime': '2022-11-30 05:53:51', 'datasetid': 'document', 'filesize': 1381767}], 'docid': 185981, 'main': 'CCF_000006.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185981', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",Open Science and Technology,,,,,,,,,,,,,,,,,,
3,,46730,['S1'],,2022-11-28 07:42:55,archive,7,,show,Similarity-Pemanfaatan Limbah Batang Singkong Menjadi Obat Nyamuk Bakar Dengan Campuran Sereh Wangi (Cymbopogon nardus L.),,['FP18'],other,2021-10-01 00:00:00.000000000,disk0/00/04/67/30,,,,"[{'id': 'elhamida.rezkiaamien90@fp.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Amien', 'given': 'Elhamida Rezkia'}}, {'name': {'family': 'Asmara', 'honourific': None, 'lineage': None, 'given': 'Sandi'}, 'id': 'Shandiasmara@yahoo.com'}, {'name': {'honourific': None, 'family': 'Anggraini', 'lineage': None, 'given': 'Resa'}, 'id': None}, {'id': 'zahabridwan@gmail.com', 'name': {'given': 'Ridwan', 'lineage': None, 'family': 'Ridwan', 'honourific': None}}]",2022-11-28 07:42:55,,2022-11-28 07:42:55,25868,public,http://repository.lppm.unila.ac.id/id/eprint/46730,,,pub,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185904', 'docid': 185904, 'main': 'similarity-Pemanfaatan Limbah Batang Singkong Menjadi Obat Nyamuk Bakar Dengan Campuran Sereh Wangi (Cymbopogon nardus L.) (1).pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-11-28 03:36:36', 'filename': 'similarity-Pemanfaatan Limbah Batang Singkong Menjadi Obat Nyamuk Bakar Dengan Campuran Sereh Wangi (Cymbopogon nardus L.) (1).pdf', 'hash': '08e77ad1b9aaefc39b1980ce8e6d5c7f', 'fileid': 516384, 'mime_type': 'application/pdf', 'filesize': 2284730, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/516384', 'objectid': 185904}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 46730, 'placement': 1, 'security': 'public'}]",Open Science and Technology,,,,,,,,,,,,,,,,,,
4,published,31999,['S1'],"This study aims to utilize the combination of cassava and coal waste as raw materials 
for making briquettes using several different concentrations of tapioca adhesives. This study uses 
a completely randomized design (RDC) with 2 factorials. The first factor is material composition, 
assigned by the letter P, which has 3 different varieties of different cassava, which are (P1) 
Kasetsart cassava and coal waste, (P2) Thai cassava and coal waste, and (P3) butter cassava and 
coal waste. The second factor is tapioca adhesive concentration, which consists of two different 
treatments: (M1) 15% and (M2) 20%. The combination of these different treatments then 
repeated 4 times resulted in 24 experimental units. The briquettes produced then underwent 
several characteristics tests, including water content, calorific value, combustion rate, density, 
compressive strength, shatter resistance index, and changes in the temperature of the pan base 
when the briquettes were burned. The acquired data then processed using Microsoft Excel 2010 
and SAS v9 software. The data obtained will then be compared to SNI (Indonesia National 
Standard) to find out whether the briquette is fulfilling the requirement for application. The 
results are as follows: treatment P1M1 and P1M2 have a water content ranging from 5.36-7.09% 
and a calorific value between 4.427 – 5.541 cal/g, and it also fulfills the SNI Standard. Another 
characteristic is shown by P1M1 and P1M2 such as combustion rate around 0.37-0.4 g/min, 
density between 0.37-0.39 g/cm3
, compressive strength between 48.67 N/cm2
, and shatter 
resistance index numbering around 99.90-99.92%, able to fulfill 95% of the SNI requirement for 
bio coal briquette, as well as changes in the bottom temperature of the pan which has reached the 
highest temperature of 303°C in the 26th minute of the P1M1 treatment combination and the 
lowest is 311°C at the 28th minute of the P1M2 treatment combination",2021-11-14 02:04:55,archive,35,,show,"The effect of various varieties of cassava stems waste and 
tapioca adhesive concentrations on the quality of bio-coal 
briquette",,['FP18'],article,1970-01-01 00:00:00.000002021,disk0/00/03/19/99,doi:10.1088/1755-1315/739/1/012084,IOP Conference Series: Earth and Environmental Science,,"[{'id': 'Shandiasmara@yahoo.com', 'name': {'family': 'Asmara', 'honourific': None, 'lineage': None, 'given': 'Sandi'}}, {'id': 'budianto.lanya@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Lanya', 'lineage': None, 'given': 'Budianto'}}, {'name': {'given': 'Tamrin', 'lineage': None, 'honourific': None, 'family': 'Tamrin'}, 'id': 'tamrinajis62@gmail.com'}]",2021-11-14 02:04:55,,2021-11-14 02:04:55,605,public,http://repository.lppm.unila.ac.id/id/eprint/31999,TRUE,,pub,"[{'rev_number': 6, 'uri': 'http://repository.lppm.unila.ac.id/id/document/146118', 'format': 'text', 'pos': 5, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/422569', 'objectid': 146118, 'hash': 'a7dc4244cb25557dbe9ac633d82cb18d', 'filename': 'Asmara_2021_IOP_Conf._Ser.-_Earth_Environ._Sci._739_012084.pdf', 'hash_type': 'MD5', 'mtime': '2021-11-13 16:24:55', 'mime_type': 'application/pdf', 'fileid': 422569, 'filesize': 669441, 'datasetid': 'document'}], 'docid': 146118, 'main': 'Asmara_2021_IOP_Conf._Ser.-_Earth_Environ._Sci._739_012084.pdf', 'content': 'published', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 5, 'eprintid': 31999}, {'uri': 'http://repository.lppm.unila.ac.id/id/document/146120', 'rev_number': 1, 'format': 'text', 'pos': 6, 'files': [{'mime_type': 'application/pdf', 'fileid': 381340, 'hash': 'a7dc4244cb25557dbe9ac633d82cb18d', 'filename': 'Asmara_2021_IOP_Conf._Ser.-_Earth_Environ._Sci._739_012084.pdf', 'mtime': '2021-06-07 17:07:31', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 669441, 'objectid': 146120, 'uri': 'http://repository.lppm.unila.ac.id/id/file/381340'}], 'main': 'Asmara_2021_IOP_Conf._Ser.-_Earth_Environ._Sci._739_012084.pdf', 'docid': 146120, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 6, 'eprintid': 31999}, {'mime_type': 'text/html', 'language': 'en', 'security': 'public', 'placement': 12, 'eprintid': 31999, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157619', 'format': 'text', 'pos': 12, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/422567', 'objectid': 157619, 'filename': 'meta', 'hash': '3e5f8f5fab1171fc520a763c36b325db', 'hash_type': 'MD5', 'mtime': '2021-11-13 16:21:22', 'mime_type': 'text/html', 'fileid': 422567, 'filesize': 95670, 'datasetid': 'document'}], 'main': 'meta', 'docid': 157619}]",IOP Publishing,"[{'url': 'https://iopscience.iop.org/article/10.1088/1755-1315/739/1/012084/meta', 'type': 'pub'}]",['Universitas Lampung'],,,,,,,,,,,,,,,,
5,published,49853,['S1'],,2023-04-08 13:26:20,archive,8,,show,Similirity: Producing organic pot from cassava stem waste for water spinach (Ipomea reptans Poir) as waste management strategy,https://iopscience.iop.org/article/10.1088/1755-1315/739/1/012039/meta,['FP18'],other,2021-03-31 00:00:00.000000000,disk0_bak/00/04/98/53,,,,"[{'id': 'Shandiasmara@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Asmara', 'given': 'Sandi'}}, {'id': 'winda.rahmawati@fp.unila.ac.id', 'name': {'given': 'Winda', 'honourific': None, 'family': 'Rahmawati', 'lineage': None}}, {'id': 'siti.suharyatun@fp.unila.ac.id', 'name': {'given': 'Siti', 'lineage': None, 'family': 'Suharyatun', 'honourific': None}}, {'id': None, 'name': {'lineage': None, 'family': 'Kurnia', 'honourific': None, 'given': 'B'}}, {'id': None, 'name': {'family': 'Listiana', 'honourific': None, 'lineage': None, 'given': 'I'}}, {'name': {'family': 'Widyastuti', 'honourific': None, 'lineage': None, 'given': 'R.A.D'}, 'id': None}]",2023-04-08 13:26:20,,2023-04-08 13:26:20,45,public,http://repository.lppm.unila.ac.id/id/eprint/49853,,,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189498', 'format': 'text', 'pos': 1, 'files': [{'fileid': 539818, 'mime_type': 'application/pdf', 'mtime': '2023-04-07 07:10:00', 'hash_type': 'MD5', 'filename': 'Asmara_2021_IOP_Conf._Ser.__Earth_Environ._Sci._739_012039.pdf.pdf', 'hash': 'd8c64a29b3b7359f4c149eb45433dba1', 'datasetid': 'document', 'filesize': 1766415, 'objectid': 189498, 'uri': 'http://repository.lppm.unila.ac.id/id/file/539818'}], 'docid': 189498, 'main': 'Asmara_2021_IOP_Conf._Ser.__Earth_Environ._Sci._739_012039.pdf.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 49853}]",Universitas Lampung,,,,,,,,,,,,,,,,,,
6,published,30615,"['S1', 'SB']","Cassava stem waste in Lampung Province has not been utilized to its maximum
potential, so there is a need for an alternative treatment to process the cassava stem waste into a
useful material. One way to do this is by turning the stem waste into an organic pot. There are
several aims in this study, which are to design the composition of the raw materials and adhesives
needed to develop organic pot for media to grow land variant of kangkung (Ipomea reptans Poir),
second, to determine the physical properties of organic pots made from cassava stem waste raw
material, coconut fiber, and tapioca adhesive. The raw materials used are cassava stem powder,
coconut fiber, and tapioca adhesive with three levels of treatment, namely P1( 60% cassava
steam, 10% coconut coir, 30% adhesive), P2 (50% cassava steam, 10% coconut coir, 40%
adhesive), and P3 ( 50% cassava steam, 20% coconut coir, 30% adhesive). Research results from
15 Organic pots with 3 levels of treatment P1, P2, P3, based on physical characteristics and
planting test of the three organic pot treatments, can be penetrated by roots and fully decomposed
after 23 days and show good growth.",2021-05-25 01:33:39,archive,22,,show,"Producing organic pot from cassava stem waste for water
spinach (Ipomea reptans Poir) as waste management strategy",https://iopscience.iop.org/article/10.1088/1755-1315/739/1/012039/pdf,['FP18'],conference_item,1970-01-01 00:00:00.000002021,disk0/00/03/06/15,,,,"[{'name': {'given': 'Sandi', 'lineage': None, 'family': 'Asmara', 'honourific': None}, 'id': 'Shandiasmara@yahoo.com'}, {'id': 'winda.rahmawati@fp.unila.ac.id', 'name': {'given': 'Winda', 'honourific': None, 'family': 'Rahmawati', 'lineage': None}}, {'name': {'honourific': None, 'family': 'Suharyatun', 'lineage': None, 'given': 'Siti'}, 'id': 'siti.suharyatun@fp.unila.ac'}, {'name': {'lineage': None, 'family': 'Kurnia', 'honourific': None, 'given': 'Berti'}, 'id': None}, {'id': None, 'name': {'given': 'I', 'lineage': None, 'honourific': None, 'family': 'Listiana'}}, {'name': {'given': 'R.A.D', 'honourific': None, 'family': 'Widyastuti', 'lineage': None}, 'id': None}]",2021-05-25 01:33:39,,2021-05-25 01:33:39,45,public,http://repository.lppm.unila.ac.id/id/eprint/30615,TRUE,,pub,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/137996', 'main': 'Asmara_2021_IOP_Conf._Ser.%3A_Earth_Environ._Sci._739_012039.pdf', 'docid': 137996, 'files': [{'mtime': '2021-05-24 09:43:52', 'hash_type': 'MD5', 'filename': 'Asmara_2021_IOP_Conf._Ser.%3A_Earth_Environ._Sci._739_012039.pdf', 'hash': 'fd1436c3e1625ca0a7f8b907e27b93d7', 'fileid': 363194, 'mime_type': 'application/pdf', 'filesize': 1065199, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/363194', 'objectid': 137996}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 30615, 'security': 'public', 'placement': 1}]",,,,18-19 November 2020,conference,Bandar Lampung Indonesia,"The 1st Universitas Lampung International Conference on Science, Technology and Environment 18-19 November 2020, Bandar Lampung, Indonesia",paper,,,,,,,,,,,
7,published,34391,['H1'],"Desa Paduan Rajawali merupakan salah satu sentra penghasil Rosella di Kabupaten Tulang Bawang. Produk yang dihasilkan hanya ditangani dengan cara yang sederhana. Akibatnya produk mengalami kendala untuk dapat dipasarkan secara global. Selain itu, pemasaran produk Desa hanya sebatas pameran produk yang di adakan pada tingkat lokal dan provinsi sehingga kegiatan yang dilakukan oleh Kelompok Wanita Kreatif Rosella ini tidak signifikan meningkatkan pendapatan desa. Pengabdian ini bertujuan untuk meningkatkan produktifitas produk olahan Rosella melalui penambahan varian produk Rosella dan pengemasan produk. Metode yang digunakan untuk mendukung kegiatan ini ialah dengan memberikan edukasi dan pendampingan tentang pengolahan produk-produk hasil pertanian khususnya Rosella. Materi kegiatan pengabdian sangat sesuai dengan kebutuhan mitra dan pelaksanaan kegiatan secara berkelanjutan yang ditunjukkan dengan 80% peserta memberikan penilaian sangat setuju (SS) dan 60% peserta menyatakan bahwa peralatan yang digunakan sesuai kebutuhan dan mudah untuk digunakan. Mitra juga menyambut dengan baik disain logo yang diberikan, saran pengemasan, tambahan produk, serta pemasaran online yang telah dibuatkan. Mitra sangat antusias terhadap kegiatan ini dan berharap dilakukan pendampingan serupa",2021-10-08 07:10:16,archive,7,5.0,show,"PEMBERDAYAAN MASYARAKAT MELALUI DIVERSIFIKASI PRODUK ROSELLA DI KAMPUNG PADUAN RAJAWALI, TULANG BAWANG",http://jss.lppm.unila.ac.id/index.php/ojs/index,['FP18'],article,2021-07-01 00:00:00.000000000,disk0/00/03/43/91,,SAKAI SAMBAYAN,e-ISSN 2550-1089,"[{'id': 'elhamidarezkia@gmail.com', 'name': {'given': 'Rezkia', 'honourific': None, 'family': 'Elhamida', 'lineage': None}}, {'id': 'muhammadhaviz@eng.unila.ac.id', 'name': {'given': 'Haviz', 'lineage': None, 'honourific': None, 'family': 'Muhammad'}}, {'name': {'given': 'Yulianti', 'lineage': None, 'family': 'Titin', 'honourific': None}, 'id': None}, {'name': {'honourific': None, 'family': 'Diding', 'lineage': None, 'given': 'Suhandy'}, 'id': 'diding.sughandy@fp.unila.ac.id'}]",2021-10-08 07:10:16,128-132,2021-10-08 07:10:16,3330,public,http://repository.lppm.unila.ac.id/id/eprint/34391,TRUE,2.0,pub,"[{'eprintid': 34391, 'placement': 1, 'security': 'public', 'language': 'id', 'mime_type': 'application/pdf', 'main': '257-1-689-1-10-20210821_2.pdf', 'docid': 154903, 'files': [{'filesize': 183507, 'datasetid': 'document', 'filename': '257-1-689-1-10-20210821_2.pdf', 'hash': 'c6b4979f117b01e9311738948dbb02ee', 'hash_type': 'MD5', 'mtime': '2021-10-08 02:44:31', 'mime_type': 'application/pdf', 'fileid': 404919, 'uri': 'http://repository.lppm.unila.ac.id/id/file/404919', 'objectid': 154903}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/154903', 'rev_number': 3}]",Lembaga Penelitian dan Pengabdian Kepada Masyarakat,,,,,,,,,,,,,,,,,,
8,completed,33886,['T1'],Reviewer jurnal,2021-09-13 01:34:13,archive,7,,show,Bukti Reviewer Jurnal Internasional Bereputasi (Elsevier ENERGY),,['FP18'],other,1970-01-01 00:00:00.000002021,disk0/00/03/38/86,,,,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'given': 'Agus', 'lineage': None, 'honourific': None, 'family': 'Haryanto'}}]",2021-09-13 01:34:13,,2021-09-13 01:34:13,988,public,http://repository.lppm.unila.ac.id/id/eprint/33886,,,unpub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154122', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/400692', 'objectid': 154122, 'mtime': '2021-09-12 03:59:43', 'hash_type': 'MD5', 'filename': '1Certificate Reviewer Jurnal Energy.pdf', 'hash': '26e337fb06817e50a37e002f26d2fe3c', 'fileid': 400692, 'mime_type': 'application/pdf', 'filesize': 728465, 'datasetid': 'document'}], 'docid': 154122, 'main': '1Certificate Reviewer Jurnal Energy.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 33886}]",Elsevier,,['Universitas Lampung'],,,,,,"[{'name': {'given': 'Agus', 'lineage': None, 'honourific': None, 'family': 'Haryanto'}, 'id': 'agus.haryanto@fp.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",,,,,,,,,,
9,completed,36247,['S1'],"Budidaya jagung dan aktivitas panen beserta pasca panen menghasilkan limbah biomassa dalam jumlah besar, yaitu batang jagung sekitar 1 ton/ha dan janggel sekitar 2 ton/ha. Sejauh ini penanganan limbah jagung adalah dengan cara dibakar. Pembakaran biomassa limbah jagung tidak hanya menghasilkan asap yang menggangu, tetapi juga membuang sumberdaya yang sangat berharga, yaitu karbon organik, ke atmosfer secara sia-sia. Pembakaran biomassa limbah jagung dapat dilakukan dengan cara yang lebih ramah dan berdaya guna dengan cara membatasi jumlah oksigen atau udara selama pembakaran sehingga terjadi pembakaran secara anaerobik atau pembakaran dengan oksigen yang sangat terbatas. Proses yang dinamakan pirolisis atau karbonisasi ini akan menghasilkan produk arang padat atau biochar yang dapat digunakan untuk berbagai keperluan. Selain sebagai bahan bakar dengan nilai energi yang tinggi (sekitar 30 MJ/kg), arang dapat dikembalikan ke lahan sebagai bahan pembenah tanah (soil amendment) dan akan menjadi sumber karbon selama bertahun-tahun. Dengan mengembalikan arang ke lahan akan tercipta suatu system budidaya jagung yang sirkuler sehingga lebih sustainable.
Penelitian ini bertujuan untuk mengembangkan teknologi pirolisis yang sesuai untuk diaplikasikan guna penanganan limbah jagung. Penelitian dilakukan dengan merancang kiln
pirolisis janggel jagung. Kiln dirancang untuk mampu mengolah tongkol jagung minimal 5 ton sekali proses. Produk arang (biochar) yang dihasilkan akan dianalisis karakteristiknya yang meliputi kadar air, kadar abu, nilai kalori, daya serap air, dan berat jenis.
Hasil yang sudah diperoleh dari penelitian kiln pirolisis berukuran 3,5 m x 4,5 m dengan kedalaman 1,5 m dengan kapasitas sampai 7 ton tongkol jagung. Kiln sudah diuji dan hasilnya belum maksimal karena masih ada sebagian tongkol jagung yang belum terpirolisi. Biochar dari tongkol yang sudah terpirolisis digiling dan digunakan sebagai bahan pembenah (amendment) tanah pada budidaya tanaman jagung. Hingga laporan ini dibuat, tanaman jagung masih berumur 1 bulan. Secara terpisah, penggunaan biochar tongkol jagung sebagai bahan pembenah tanah juga dilakukan pada budidaya tanaman sawi. Penanaman dilakukan di dalam pot dengan ukuran tinggi 13 cm, diameter atas 19 cm dan diameter bawah 13,5 cm. Dosis biochar yang diaplikasikan sebanyak 90 g/pot atau 3% dari berat total media tanam. Hasil penelitian
menunjukkan pengaruh biochar nyata pada taraf (P>5%) terhadap parameter pertumbuhan, berat brangkasan segar, produktivitas air dan produktivitas pupuk. Suhu pirolisis biochar yang optimal untuk pakcoy adalah pada suhu 350C, dengan hasil rata-rata bobot brangkasan atas segar 30,6 gram, bobot total 39,36 gram, dan produktivitas pupuk 35,06%. Kombinasi biochar dan dosis pupuk urea terbaik
terhadap pertumbuhan dan produktivitas tanaman pakcoy yaitu B2P1. 
Luaran yang ditargetkan dari penelitian ini adalah teknologi tepat guna berupa kiln pirolisis kapasitas 7 ton tongkol jagung dengan tingkat kesiapterapan (TKT) level 6 yang telah
didemonstrasikan di lokasi mitra. Selain itu, sebuah paper telah disubmit ke jurnal internasional Q3 (Journal of Agriculture and Rural Development in the Tropics and Subtropics)",2021-11-12 00:46:49,archive,7,,show,Laporan Penelitian: PENGEMBANGAN TEKNOLOGI PIROLISIS BIOMASA LIMBAH JAGUNG UNTUK MENGHASILKAN BIOCHAR PEMBENAH TANAH,,['FP18'],other,1970-01-01 00:00:00.000002021,disk0/00/03/62/47,,,,"[{'name': {'given': 'Agus', 'honourific': None, 'family': 'Haryanto', 'lineage': None}, 'id': 'agus.haryanto@fp.unila.ac.id'}]",2021-11-12 00:46:49,,2021-11-12 00:46:49,988,public,http://repository.lppm.unila.ac.id/id/eprint/36247,,,unpub,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157186', 'docid': 157186, 'main': '1-Laporan Profesorship Lengkap1_compressed.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/419293', 'objectid': 157186, 'filesize': 637678, 'datasetid': 'document', 'hash': 'e6c863737d124a65a9284087aa767b17', 'filename': '1-Laporan Profesorship Lengkap1_compressed.pdf', 'mtime': '2021-11-11 10:52:38', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 419293}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 36247, 'placement': 1, 'security': 'public'}]",Fakultas Pertanian,,['Universitas Lampung'],,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'given': 'Agus', 'lineage': None, 'family': 'Haryanto', 'honourific': None}}]",['Universitas Lampung'],['Professorship'],,,,,,,,
