,date_type,department,eprintid,institution,subjects,status_changed,eprint_status,place_of_pub,metadata_visibility,rev_number,title,divisions,type,monograph_type,id_number,date,dir,creators,datestamp,lastmod,userid,uri,full_text_status,documents,publisher,ispublished,refereed,pres_type,funders,event_type,official_url,event_dates,abstract,event_location,projects,event_title,contributors,corp_creators,publication,issn,pagerange,number,volume
0,published,FMIPA-KIMIA,46084,Lampung University,['Q1'],2022-10-31 01:03:57,archive,Lembaga Penelitian-UNIVERSITAS LAMPUNG,show,7,Kitin:Kitosan,['FMIPA4'],monograph,working_paper,978-979-8510-60-1,2013-10-01 00:00:00.000000000,disk0/00/04/60/84,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Hendri', 'given': 'John'}, 'id': 'john.hendri@fmipa.unila.ac.id'}, {'id': 'aspita.laila@fmipa.unila.ac.id', 'name': {'given': 'Aspita', 'family': 'Laila', 'honourific': None, 'lineage': None}}]",2022-10-31 01:03:57,2022-10-31 01:03:57,1077,http://repository.lppm.unila.ac.id/id/eprint/46084,public,"[{'security': 'public', 'placement': 1, 'eprintid': 46084, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 184906, 'uri': 'http://repository.lppm.unila.ac.id/id/file/509794', 'mime_type': 'application/pdf', 'fileid': 509794, 'filename': 'Kitin Kitosan - John Hendri.pdf', 'hash': 'b8a49d263596ccbe41b99756eede4e08', 'mtime': '2022-10-29 13:02:00', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 3513158}], 'docid': 184906, 'main': 'Kitin Kitosan - John Hendri.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/184906', 'rev_number': 1, 'format': 'text', 'pos': 1}]",Lembaga Penelitian-UNIVERSITAS LAMPUNG,pub,,,,,,,,,,,,,,,,,
1,published,,6653,,"['QD', 'S1']",2018-04-25 02:30:37,archive,,show,10,Microbial Community Dynamics during Composting Process and Cultivation of Komatsuna.,['FMIPA4'],conference_item,,,2013-12-13 00:00:00.000000000,disk0/00/00/66/53,"[{'name': {'given': 'Ni Luh Gede Ratna', 'lineage': None, 'family': 'Juliasih', 'honourific': None}, 'id': 'ratnagede.juliasih@gmail.com'}, {'id': None, 'name': {'family': 'Yuang', 'honourific': None, 'lineage': None, 'given': 'Lee Chang'}}, {'name': {'given': 'Yuki', 'honourific': None, 'family': 'Sago', 'lineage': None}, 'id': None}, {'name': {'honourific': None, 'family': 'Atsuta', 'lineage': None, 'given': 'Yoichi'}, 'id': None}, {'name': {'family': 'Daimon', 'honourific': None, 'lineage': None, 'given': 'Hiroyuki'}, 'id': 'daimon@ens.tut.ac.jp'}]",2018-04-25 02:30:37,2018-04-25 02:30:37,134,http://repository.lppm.unila.ac.id/id/eprint/6653,public,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/61328', 'objectid': 19617, 'filename': 'isets 2013.pdf', 'hash': '659e55dad19597be4d1f04eaa4ad5bfa', 'hash_type': 'MD5', 'mtime': '2018-03-29 07:19:19', 'mime_type': 'application/pdf', 'fileid': 61328, 'filesize': 3779141, 'datasetid': 'document'}], 'docid': 19617, 'main': 'isets 2013.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19617', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 6653, 'mime_type': 'application/pdf', 'language': 'en'}]",,pub,TRUE,paper,"['Nagoya University, Japan']",conference,http://www.esi.nagoya-u.ac.jp/h/isets13/,13 - 15 Desember 2013,"Quinone profile has widely used as an effective method for defined of microbial community dynamics.  Supercritical fluid extraction (SFE) found to be effective, rapid and quantitative technique to extract quinone from various environmental samples instead of the conventional solvent extraction.  In this present work, quinone profile method using SFE was used to monitor microbial community in the composting process and the cultivation of komatsuna.  The results showed that compost can improve the biological properties of soil and growth of plant. In the future study, the microbiological assessment should be more concerned as well as chemical and physical properties of compost to provide the best quality of compost","Nagoya, Jepang",['International Symposium on EcoTopia Science'],International Symposium on EcoTopia Science 2013,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",['Jurusan Kimia Fakultas MIPA Universitas Lampung'],,,,,
2,published,,1286,,['QD'],2016-12-06 01:12:04,archive,,show,6,TRANSESTERIFICATION OF COCONUT OIL USING DIMETHYL CARBONATE AND TiO2/SiO2 HETEROGENEOUS CATALYST,['FMIPA4'],article,,,2013-01-21 00:00:00.000000000,disk0/00/00/12/86,"[{'name': {'given': 'Kamisah Delilawati', 'lineage': None, 'honourific': None, 'family': 'Pandiangan'}, 'id': 'kamisahdelilawati@yahoo.com'}, {'id': 'wasinton.simanjuntak@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Simanjuntak', 'honourific': None, 'given': 'Wasinton'}}]",2016-12-06 01:12:04,2016-12-06 01:12:04,761,http://repository.lppm.unila.ac.id/id/eprint/1286,public,"[{'main': 'TRANSESTERIFICATION OF COCONUT OIL USING DIMETHYL CARBONATE AND.pdf', 'docid': 1161, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/8621', 'objectid': 1161, 'filesize': 1194076, 'datasetid': 'document', 'hash': '4f20ab3adffafa18d96c23ae3d666572', 'filename': 'TRANSESTERIFICATION OF COCONUT OIL USING DIMETHYL CARBONATE AND.pdf', 'mtime': '2016-12-05 05:24:48', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 8621}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/1161', 'rev_number': 1, 'eprintid': 1286, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]","Chemistry Department, UGM",pub,TRUE,,,,http://pdm-mipa.ugm.ac.id/ojs/index.php/ijc/article/view/726,,"In this study, transesterification of coconut oil with dimethyl carbonate (DMC) for preparing biodiesel has been
studied using TiO2/SiO2 as heterogeneous catalyst, with the main purpose to investigate the effect of molar ratio of
DMC to oil. The product was analyzed by GC-MS to identify the fatty acid methyl esters (FAMEs) composting the
biodiesel. The significant role of the DMC to oil ratio was observed in this study, in which the oil conversion was
found to increase with increasing molar ratio of DMC : Oil, with the highest percent of conversion of 88.44%. The
GC-MS analysis revealed the presence of methyl esters in accordance with the composition of coconut oil commonly
reported. Formation of FAMEs was verified by 1H-NMR spectroscopic analysis, which also suggested that some of
the fatty acids remain unconverted into biodiesel. The biodiesel produced was found to have kinematic viscosity of
2.4 mm2/S at 40 °C, flash point of 103 °C, and cetane number of 54.",,,,,,Indonesian Journal of Chemistry,1411 9420,47-52,1.0,13.0
3,published,,6546,,['QD'],2018-02-28 08:24:37,archive,,show,8,Molecular Marker of Sewage Contamination: Distribution of Linear Alkyl Benzenes (LABs) in Jakarta River,['FMIPA4'],conference_item,,,2013-05-01 00:00:00.000000000,disk0/00/00/65/46,"[{'name': {'given': 'Rinawati', 'lineage': None, 'family': 'Rinawati', 'honourific': None}, 'id': 'rinawati@fmipa.unila.ac.id'}, {'id': 'shige@cc.tuat.ac.jp', 'name': {'given': 'Hideshige', 'lineage': None, 'family': 'Takada', 'honourific': None}}]",2018-02-28 08:24:37,2018-02-28 08:24:37,489,http://repository.lppm.unila.ac.id/id/eprint/6546,public,"[{'files': [{'filesize': 388901, 'datasetid': 'document', 'mtime': '2018-02-27 09:00:21', 'hash_type': 'MD5', 'filename': 'Rinawati_makalah semirata Unila 2013.pdf', 'hash': 'fdbf6437a90b996474ede6fa55509d39', 'fileid': 60488, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/60488', 'objectid': 19496}], 'docid': 19496, 'main': 'Rinawati_makalah semirata Unila 2013.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19496', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 6546, 'language': 'en', 'mime_type': 'application/pdf'}]",,pub,TRUE,paper,,conference,http://jurnal.fmipa.unila.ac.id/index.php/semirata,10-12 Mei 2013,"Abstrak. This study presents the result of sewage pollution monitoring in sediments collected from 13 rivers that run through Jakarta city in 2010 using linear alkyl benzenes (LABs) as molecular marker of sewage contamination.  The surface sediments samples were extracted by pressure liquid extraction, purified by two-step silica gel column chromatography, and analyzed by gas chromatograph (GC)-mass spectrometer (MS).  The result clearly revealed high total LABs concentrations (6171-1559373 ng/g-dry weight) in all sampling locations.  I/E ratios (a ratio of internal to external isomers of LABs) ranged 0.9-1.3, were close to the I/E ratios in raw sewage.  The high concentrations of LABs with low I/E ratios showed that the rivers in Jakarta are heavily affected by untreated sewage.   This study highlights the urgently needed of water treatment system in Jakarta.",Universitas Lampung,,Semirata MIPA BKSN Barat Unila,,,,,345-349,,
4,published,,9512,,['QD'],2018-11-06 03:06:30,archive,,show,7,Characteristics of aluminosilicates prepared from rice husk silica and aluminum metal,['FMIPA4'],article,,,1970-01-01 00:00:00.000002013,disk0/00/00/95/12,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Simanjuntak', 'given': 'Wasinton'}, 'id': 'wasinton.simanjuntak@fmipa.unila.ac.id'}, {'name': {'given': 'Simon', 'family': 'Sembiring', 'honourific': None, 'lineage': None}, 'id': 'simon.sembiring@fmipa.'}, {'name': {'lineage': None, 'family': 'Manurung', 'honourific': None, 'given': 'Posman'}, 'id': 'reip65@yahoo.com'}, {'name': {'honourific': None, 'family': 'Situmeang', 'lineage': None, 'given': 'Rudy T.M'}, 'id': 'rudy.tahan@fmipa.unila.ac.id'}, {'name': {'given': 'I.M', 'lineage': None, 'family': 'Low', 'honourific': None}, 'id': None}]",2018-11-06 03:06:30,2018-11-06 03:06:30,882,http://repository.lppm.unila.ac.id/id/eprint/9512,public,"[{'placement': 1, 'security': 'public', 'eprintid': 9512, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'datasetid': 'document', 'filesize': 2012100, 'fileid': 90607, 'mime_type': 'application/pdf', 'mtime': '2018-11-05 02:34:59', 'hash_type': 'MD5', 'filename': 'Characteristics of aluminosilicates prepared from rice husk silica and.pdf', 'hash': '75d9f6b3ea7caa0473091f665e2f85b7', 'objectid': 22550, 'uri': 'http://repository.lppm.unila.ac.id/id/file/90607'}], 'docid': 22550, 'main': 'Characteristics of aluminosilicates prepared from rice husk silica and.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22550', 'pos': 1, 'format': 'text'}]",Elsevier,pub,TRUE,,,,http://www.elsevier.com/locate/ceramint,,"This study investigated the use of the electrochemical method to prepare aluminosilicates from rice husk silica and aluminum metal. The aluminosilicate precursors were characterized using Scanning Electron Microscopy/Energy Dispersive X-ray spectroscopy (SEM/EDX), Fourier
Transform Infrared (FTIR) spectroscopy, and X-ray Diffraction spectroscopy (XRD). The precursors were subsequently sintered at 700–1400 oC and their microstructures and phase compositions were characterized. Results showed that the proposed method could be used to prepare aluminosilicates with high uniformity in terms of surface morphology and the particle size with mullite and quartz as the major phases formed.",,,,,,Ceramic Internasional,0272-8842,9369-9375,8.0,39.0
5,published,,6444,,['QD'],2018-02-28 08:23:34,archive,,show,8,"NixCoyFe1-x-yO4 Nanocatalyst: Preparation, Characterization and Catalytic Activity in CO2/H2 Conversion",['FMIPA4'],conference_item,,,2013-10-22 00:00:00.000000000,disk0/00/00/64/44,"[{'name': {'given': 'Rudy T.M', 'family': 'Situmeang', 'honourific': None, 'lineage': None}, 'id': 'rudy.tahan@fmipa.unila.ac.id'}, {'id': 'r.supriyanto@fmipa.unila.ac.id', 'name': {'honourific': None, 'family': 'Supriyanto', 'lineage': None, 'given': 'R'}}, {'id': None, 'name': {'honourific': None, 'family': 'Septianto', 'lineage': None, 'given': 'Mitro'}}, {'id': 'wasinton.simanjuntak@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Simanjuntak', 'honourific': None, 'given': 'Wasinton'}}, {'name': {'given': 'Simon', 'lineage': None, 'honourific': None, 'family': 'Sembiring'}, 'id': 'simon.sembiring@fmipa.'}, {'name': {'lineage': None, 'family': 'Roger', 'honourific': None, 'given': 'Anne-Cecile'}, 'id': None}]",2018-02-28 08:23:34,2018-02-28 08:23:34,882,http://repository.lppm.unila.ac.id/id/eprint/6444,public,"[{'eprintid': 6444, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'docid': 19385, 'main': 'Article Rudy_ICICS2013.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/59705', 'objectid': 19385, 'filename': 'Article Rudy_ICICS2013.pdf', 'hash': 'b1761ca0b5b2d9cf50ce8fca2501bdb1', 'mtime': '2018-02-08 09:18:19', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 59705, 'filesize': 1294403, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19385', 'rev_number': 1}]",,pub,TRUE,paper,['Universitas Islam Indonesia Yogyakarta'],conference,,22 - 23 October 2013,"NiyCoxFe(1-x-y)O4 nanocatalysts (with y = 0,2 and x = 0,1 – 0,3) have been prepared using a simultaneous method of sol – gel and ultra-sonocation. Starting materials used are nitrate salts of iron, nickel and cobalt which are dissolved in white egg solution, respectively before mixing process. After calcining and grinding, the nanocatalysts are characterized by use of X-ray diffraction (XRD) analysis, Infra Red spectroscopy (IR), and Scanning Electron Microscopy (SEM). X-ray diffraction analysis proved that the prepared nanocatalysts consist of various crystalline phases such as CoFe2O4 which is superimposed to NiFe2O4 as a major phase, Fe2O3, NiO, and Co3O4 as minor phases.  Therefore, it is concluded that crystalline phase of NiCoFe2O4 is formed. FTIR Analysis proved that Lewis acid sites is more dominant than BrØnsted – Lowry acid sites for all prepared nanocatalysts.
Then, surface morphology analysis showed that NiyCoxFe(1-x-y)O4 nanocatalysts prepared have not
homogeneous form yet. Size of particles is varied and is around 85 nm for Ni0.2Co0.2Fe0.6O4 catalyst.
However, the particle size of other prepared catalysts is between 85 and 110 nm. Catalyst’s activity
test performance showed that ethanol is produced on a range of temperature reaction with a resulting
concentration of 5000 ppm.",Yogyakarta,,the 2nd International Confrence of the Indonesian Chemical Society 2013,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],"['Jurusan Kimia Fakultas MIPA Universitas Lampung', 'Jurusan Kimia Fakultas MIPA Universitas Lampung', 'Jurusan Kimia Fakultas MIPA Universitas Lampung', 'Jurusan Kimia Fakultas MIPA Universitas Lampung', 'Jurusan Kimia Fakultas MIPA Universitas Lampung', 'Jurusan Kimia Fakultas MIPA Universitas Lampung']",,,103-110,,
6,published,,28298,,['QD'],2021-03-09 07:10:37,archive,,show,7,"Two Flavan Derivatives Isolated from Artocarpus dadah Grown in Lampung, Indonesia",['FMIPA4'],article,,http://www.asianjournalofchemistry.co.in/Home.aspx,2013-02-12 00:00:00.000000000,disk0/00/02/82/98,"[{'id': 'tati.suhartati@fmipa.unila.ac.id', 'name': {'given': 'Tati', 'honourific': None, 'family': 'Suhartati', 'lineage': None}}, {'id': 'yandri.as@fmipa.unila.ac.id', 'name': {'family': 'Yandri', 'honourific': None, 'lineage': None, 'given': 'Yandri'}}, {'id': 'jhons.fatriyadi@fk.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Suwandi', 'given': 'Jhons Fatriyadi'}}, {'name': {'given': 'Sutopo', 'family': 'Hadi', 'honourific': None, 'lineage': None}, 'id': 'sutopohadi@fmipa.unila.ac.id'}]",2021-03-09 07:10:37,2021-03-09 07:10:37,1047,http://repository.lppm.unila.ac.id/id/eprint/28298,public,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 28298, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42342', 'pos': 1, 'format': 'text', 'files': [{'filesize': 423344, 'datasetid': 'document', 'hash': '2ba83f1a1d52c2456c98168631f19f15', 'filename': 'tati suhartati and sutopo hadi_AJC_2013_25_2.pdf', 'hash_type': 'MD5', 'mtime': '2021-03-09 04:05:21', 'mime_type': 'application/pdf', 'fileid': 251658, 'uri': 'http://repository.lppm.unila.ac.id/id/file/251658', 'objectid': 42342}], 'docid': 42342, 'main': 'tati suhartati and sutopo hadi_AJC_2013_25_2.pdf'}]",Asian Publication Corporation,pub,TRUE,,['Dikti'],,http://www.asianjournalofchemistry.co.in/Home.aspx,,"From the root bark of Artocarpus dadah grown in Lampung, Indonesia have successfully been isolated two flavan derivatives, afzelecin3-O-α-L-ramnoside and chatecin. The
structure of both compounds were determined based on physical
properties and UV-VIS, IR and NMR spectroscopies.",,['Strategis Nasional'],,"[{'name': {'given': 'T', 'lineage': None, 'honourific': None, 'family': 'Suhartati'}, 'id': 'tati.suhartati@fmipa.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'name': {'given': 'Y', 'family': 'Yandri', 'honourific': None, 'lineage': None}, 'id': 'yandri.as@fmipa.unila.ac.id', 'type': None}, {'name': {'given': 'J', 'honourific': None, 'family': 'Suwandi', 'lineage': None}, 'id': 'jhons.fatriyadi@fk.unila.ac.id', 'type': None}, {'name': {'given': 'S', 'lineage': None, 'honourific': None, 'family': 'Hadi'}, 'id': 'sutopohadi@fmipa.unila.ac.id', 'type': None}]","['Jurusan Kimia FMIPA UNILA', 'Jurusan Kimia FMIPA UNILA', 'Fakultas Kedokteran UNILA', 'Jurusan Kimia FMIPA UNILA']",Asian Journal of Chemistry,ISSN: 0975-427X (Online),1050-1056,2.0,25.0
7,published,,32194,,['AC'],2021-06-07 08:52:34,archive,,show,7,Indekx Similarity of Effect of Immobilization Towards Thermal Stability of a-Amylase Isolated from Locale Bacteria Isolate Bacillus subtilis ITBCCB148 with Calcium Alginate,['FMIPA4'],other,,,1970-01-01 00:00:00.000002013,disk0/00/03/21/94,"[{'name': {'given': 'Suhartati', 'family': 'Tati', 'honourific': None, 'lineage': None}}]",2021-06-07 08:52:34,2021-06-07 08:52:34,1059,http://repository.lppm.unila.ac.id/id/eprint/32194,public,"[{'eprintid': 32194, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': '14. Effect_of_Immobilization_Towards_Thermal_Stability.pdf', 'docid': 145929, 'files': [{'fileid': 380920, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-06-07 08:50:40', 'filename': '14. Effect_of_Immobilization_Towards_Thermal_Stability.pdf', 'hash': '0256632c28f4c825633ab6a234ba12c5', 'datasetid': 'document', 'filesize': 1062014, 'objectid': 145929, 'uri': 'http://repository.lppm.unila.ac.id/id/file/380920'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/145929'}]",Asian Journal of Chemistry,pub,,,,,,,Hasil Penilaian Sejawat Sebidang atau Peer Reviewer Karya Ilmiah : Jurnal Ilmiah Internasional,,,,,,,,,,
8,published,,32186,,['AC'],2021-06-07 08:51:55,archive,,show,7,"Indekx Similarity of Two Flavan Derivatives Isolated from Artocarpusdadah Grown in Lampung, Indonesia",['FMIPA4'],other,,,1970-01-01 00:00:00.000002013,disk0/00/03/21/86,"[{'name': {'lineage': None, 'family': 'Tati', 'honourific': None, 'given': 'Suhartati'}}]",2021-06-07 08:51:55,2021-06-07 08:51:55,1059,http://repository.lppm.unila.ac.id/id/eprint/32186,public,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 32186, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/145890', 'format': 'text', 'pos': 1, 'files': [{'objectid': 145890, 'uri': 'http://repository.lppm.unila.ac.id/id/file/380822', 'fileid': 380822, 'mime_type': 'application/pdf', 'mtime': '2021-06-07 08:32:06', 'hash_type': 'MD5', 'filename': '6. Two_Flavan_Derivatives_Isolated_from_Artocarpus_da.pdf', 'hash': '405f46ef57f6a9a9cc4752aaf17edfc3', 'datasetid': 'document', 'filesize': 1973251}], 'docid': 145890, 'main': '6. Two_Flavan_Derivatives_Isolated_from_Artocarpus_da.pdf'}]",Asian Journal of Chemistry,pub,,,,,,,Hasil Penilaian Sejawat Sebidang atau Peer Reviewer Karya Ilmiah : Jurnal Ilmiah Internasional,,,,,,,,,,
9,published,,32177,,['AC'],2021-06-07 08:51:27,archive,,show,7,Peer Reviewer of Effect of Immobilization Towards Thermal Stability of a-Amylase Isolated from Locale Bacteria Isolate Bacillus subtilis ITBCCB148 with Calcium Alginate,['FMIPA4'],other,,,1970-01-01 00:00:00.000002013,disk0/00/03/21/77,"[{'name': {'given': 'Suhartati', 'honourific': None, 'family': 'Tati', 'lineage': None}}]",2021-06-07 08:51:27,2021-06-07 08:51:27,1059,http://repository.lppm.unila.ac.id/id/eprint/32177,public,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/145836', 'main': '15. Effect of Immobilization Towards Thermal Stability of a-Amylase Isolated from Locale Bacteria Is.pdf', 'docid': 145836, 'files': [{'filesize': 1178608, 'datasetid': 'document', 'hash': 'fbcffe14bccfd9bf9c5ba909ccc864dc', 'filename': '15. Effect of Immobilization Towards Thermal Stability of a-Amylase Isolated from Locale Bacteria Is.pdf', 'mtime': '2021-06-07 08:05:00', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 380715, 'uri': 'http://repository.lppm.unila.ac.id/id/file/380715', 'objectid': 145836}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 32177, 'security': 'public', 'placement': 1}]",Asian Journal of Chemistry,pub,,,,,,,Hasil Penilaian Sejawat Sebidang atau Peer Reviewer Karya Ilmiah : Jurnal Ilmiah Internasional,,,,,,,,,,
