,eprint_status,status_changed,abstract,subjects,referencetext,title,official_url,metadata_visibility,volume,rev_number,eprintid,date_type,lastmod,userid,datestamp,pagerange,documents,publisher,number,ispublished,refereed,full_text_status,uri,type,contact_email,divisions,issn,creators,publication,date,dir,related_url,pres_type,event_type,event_dates,event_title,event_location,corp_creators,succeeds,pages,book_title,contributors,isbn,place_of_pub,note,keywords,id_number
0,archive,2017-11-30 07:12:22,"Public service is a measure of the performance of the government's most visible. Communities can directly assess the government's performance based on the service they received. For the quality of public services in all ministries / institutions is a fundamental thing that must be improved. Improved public services, the Ministry of Administrative Reform and Bureaucratic Reform policy that since 2014 was a year of public service innovation. All government agencies, both at central and local levels is expected to make a creative idea or an answer to how to work / public service method. Ministry of Administrative Reform and Bureaucratic Reform collect and assess the innovations that have been made in a number of agencies across Indonesia. Hopefully the quality and innovation of public services BPS can always be increased, so that it can continue to compete fairly with other agencies.",['JS'],"Daviddow, William H. & Bro Uttal. (1989). Total Customer Service. New York: Harper & Row Publisher.
Fitzsimmons, James A and Mona J. Fitzsimmons. (2001). Service Management: Operations, Strategy, and Information Technology. Third Edition. Singapore: McGraw-Hill Book Co.
Gasperz, Vincent. (1997). Manajemen Kualitas Dalam Industri Jasa. Jakarta: PT. Gramedia Pustaka.
Kotler, Philip. (2004). Manajeman Pemasaran. Jakarta: PT Indeks.
Morgan and Murgatroyd. (1994). Total Quality Management in the Public Sector: An international perspective. Philadelphia: Open University Press.
Osborne, David dan Gaebler, Ted. (1995). Mewirausahakan Birokrasi. Jakarta: PPM.
Ratminto, Atik Septi Winarsih, (2006). Manajemen Pelayanan: Pengembangan Modal Konseptual, Penerapan Citizen's Charter dan Standar Pelayanan Minimal. Yogyakarta: Pustaka Pelajar.
Shafrudin, Hadi. (2014). “Analisis Indeks Kepuasan Masyarakat (IKM) di RSUD Jendral Ahmad Yani Kota Metro”. Skripsi. Bandar Lampung; FISIP UNILA
Sinambela, Lijan P. Rochadi, Sigit. Ghazali, Rusman. Muksin, Akhmad. Setiabudi, Didit. Bima, Djohan, dan Syaifudin. (2006). Reformasi Pelayanan Publik: Teori, Kebijakan, dan Implementasi. Jakarta: Bumi Aksara.
Soekanto, Soerjono. (1982). Kesadaran Hukum Dan Kepatuhan Hukum, Jakarta: CV Rajawali.
Tjiptono, Fandy.(1997), Prinsip-prinsip Total Quality (TQS). Yogyakarta: Penerbit ANDI.
Trilestari, Endang Wirjatmi. (2004). “Model Kinerja Pelayanan Publik dengan Pendekatan Systems Thinkinks and System Dinamics”. Disertasi. Depok: FISIP UI",Inovasi Kualitas Pelayanan Publik Pemerintah Daerah,http://jurnal.fh.unila.ac.id/index.php/fiat,show,10,6,6143,published,2017-11-30 07:12:22,680,2017-11-30 07:12:22,569-586,"[{'eprintid': 6143, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': 'Fiat Justitia, September 2016.pdf', 'docid': 19054, 'files': [{'filesize': 530906, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2017-11-29 09:24:03', 'hash': '81d30ce92ced047a9af58b9fe3f4d41f', 'filename': 'Fiat Justitia, September 2016.pdf', 'fileid': 56480, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/56480', 'objectid': 19054}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19054'}]",Fakultas Hukum Universitas Lampung,3.0,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6143,article,robi_ck@yahoo.com,['FISIP3'],1978-5186,"[{'id': 'robi_ck@yahoo.com', 'name': {'given': 'Robi', 'family': 'Cahyadi', 'honourific': None, 'lineage': None}}]",Fiat Justicia Jurnal Ilmu Hukum Fakultas Hukum Universitas Lampung,2016-07-01 00:00:00.000000000,disk0/00/00/61/43,,,,,,,,,,,,,,,,
1,archive,2018-01-11 02:34:04,"Melawan Hantu Golput
 
PEMILIHAN kepala daerah tahun 2017 merupakan pemilihan kepala daerah serentak jilid dua sebagai kelanjutan jilid satu pada Desember 2015 lalu. Khusus untuk Provinsi Lampung, ada sebuah fenomena yang hampir seragam di delapan kabupaten/kota yang melaksanakan pemilihan kepala daerah 9 Desember 2015 lalu, yaitu rendahnya angka partisipasi pemilih.",['JA'],,Melawan Hantu Golput,http://www.lampost.co/berita-melawan-hantu-golput-,show,,7,6321,published,2018-01-29 04:16:02,680,2018-01-11 02:34:04,1-3,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19238', 'rev_number': 1, 'main': 'LAMPUNG POST _ Melawan Hantu Golput.pdf', 'docid': 19238, 'files': [{'objectid': 19238, 'uri': 'http://repository.lppm.unila.ac.id/id/file/58798', 'datasetid': 'document', 'filesize': 4934606, 'fileid': 58798, 'mime_type': 'application/pdf', 'mtime': '2018-01-06 03:59:57', 'hash_type': 'MD5', 'hash': 'a936097544d904ac18ba651d927ba0d4', 'filename': 'LAMPUNG POST _ Melawan Hantu Golput.pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 6321, 'security': 'public', 'placement': 1}]","Lampung Post, 3 November 2016",,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6321,article,,['FISIP3'],,"[{'name': {'given': 'Robi', 'lineage': None, 'family': 'Cahyadi', 'honourific': None}, 'id': 'robi_ck@yahoo.com'}]",Lampung Post,2016-11-03 00:00:00.000000000,disk0/00/00/63/21,[{'url': 'http://www.lampost.co/berita-melawan-hantu-golput-'}],,,,,,,,,,,,,,,
2,archive,2018-01-04 04:16:20,"Local Election, theoretically a procedural democracy held at the regional level. In the practice since 2005, has been a lot of ambiguity and deviation from the original purpose to implement a clean and fair election. The diversion happens in the form of money politics, political dynasties and the pattern of patron-client or clientelism. This research tried to probe more about the pattern of clientelism in the elections, especially in Lampung governor election on 9 April 2014. The research location is on two areas, Bandar Lampung city and West Tulang Bawang regency. This research started from September 2014 to January 2015. This research used a qualitative research type. To observe most of the intrinsic social life, with in-depth interviews to figures and selected informants. The approach used in this research is Critical Social Science (CSS) approach, which observe social science as a process of critical inquiry phenomenon. The results showed that in Lampung Governor Election 2014, there was clientelism strong relationships between pairs of candidates and voters, the candidate pairs and brokers, broker and voters.",['H1'],,Patron Client in Lampung Governor Election 2014,http://repository.lppm.unila.ac.id/1702/1/index.html,show,,8,6172,published,2018-01-04 04:16:20,680,2018-01-04 04:16:20,398-411,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19098', 'main': 'SHIELD CONFERENCE UNILA– International Conference 2016.pdf', 'docid': 19098, 'files': [{'objectid': 19098, 'uri': 'http://repository.lppm.unila.ac.id/id/file/56725', 'fileid': 56725, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-11-30 12:37:08', 'filename': 'SHIELD CONFERENCE UNILA– International Conference 2016.pdf', 'hash': 'c19d1c4c0362d174873b03c8505e9948', 'datasetid': 'document', 'filesize': 625267}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 6172, 'placement': 1, 'security': 'public'}]",,,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6172,conference_item,,['FISIP3'],,"[{'id': 'robi_ck@yahoo.com', 'name': {'given': 'Robi', 'honourific': None, 'family': 'Cahyadi', 'lineage': None}}]",,2016-11-03 00:00:00.000000000,disk0/00/00/61/72,"[{'url': 'http://repository.lppm.unila.ac.id/1702/1/index.html', 'type': 'pub'}]",paper,conference,2-3 Nov 2016,1st SHIELD International Conference,"Universitas Lampung, Bandar Lampung",,,,,,,,,,
3,archive,2019-11-07 04:37:35,Penilaian Rekan Sejawat,['J1'],,Peer Review Jurnal Wacana Politik (JWP) Fisip Unpad,http://jurnal.unpad.ac.id/wacanapolitik/article/view/10545,show,1,7,15827,published,2019-11-07 04:37:35,680,2019-11-07 04:37:35,,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 15827, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28927', 'docid': 28927, 'main': '9. Peer Review JurNas Tidak Terakreditasi, JWP.pdf', 'files': [{'filename': '9. Peer Review JurNas Tidak Terakreditasi, JWP.pdf', 'hash': '313b926e4634b435ed47a1733f333a7f', 'mtime': '2019-11-06 16:00:39', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 135855, 'filesize': 1359163, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/135855', 'objectid': 28927}]}]",FISIP Padjadjaran University,1.0,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/15827,article,,['FISIP3'],2502-9185,"[{'id': 'robi_ck@yahoo.com', 'name': {'lineage': None, 'family': 'Cahyadi', 'honourific': None, 'given': 'Robi'}}]",KONFLIK INTERNAL PARTAI NASDEM DAN PEMILIHAN LEGISLATIF 2014,1970-01-01 00:00:00.000002016,disk0/00/01/58/27,,,,,,,,,,,,,,,,
4,archive,2017-11-30 07:12:07,"Undang-Undang No. 25 Tahun 2009 tentang pelayanan publik telah menjadi acuan awal bagi pemerintah, khususnya pemerintah daerah dalam menetapkan standar pelayanan bagi masyarakat pengguna jasa pelayanan pemerintah. Berdasarkan data Ombudsan RI , standar pelayanan membutuhkan waktu yang relatif lama dalam praktek pelaksanaannya. Tulisan ini mengurai tentang faktor penghambat pelayanan publik, tantangan yang dihadapi pemerintah daerah, masalah yang muncul seperti mal administrasi, sampai dengan perlunya sinergi layanan antar pemerintah daerah dengan Ombudsman RI guna percepatan kualitas layanan, hingga ide electronic government dengan menggunakan teknologi informasi yang terkoneksi dengan menyeluruh. Tulisan ini berbasiskan penelitian pustaka dengan analisa data-data sekunder, melalui beberapa penelitian yang ada pada pemerintah daerah di Indonesia.Hasilnya tantangan kualitas pelayanan publik di Indonesia terletak pada penyedia layanan (birokrasi) dan pengguna layanan (masyarakat), keduanya sama-sama bermasalah namun dengan porsi birokrasi dipihak yang lebih bermasalah dalam pelayanan publik.",['JF'],,Tantangan Kualitas Pelayanan Publik Pada Pemerintah Daerah,http://jurnal.fisip.unila.ac.id/index.php/administratio/article/view/385,show,7,6,6142,published,2017-11-30 07:12:07,680,2017-11-30 07:12:07,15-25,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 6142, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19053', 'main': 'Administratio Cover Edisi 7 Vol. 1.pdf', 'docid': 19053, 'files': [{'objectid': 19053, 'uri': 'http://repository.lppm.unila.ac.id/id/file/56474', 'datasetid': 'document', 'filesize': 138436, 'mime_type': 'application/pdf', 'fileid': 56474, 'filename': 'Administratio Cover Edisi 7 Vol. 1.pdf', 'hash': 'fecd3a07b7fe40fbf631e0d0acaf8eb5', 'hash_type': 'MD5', 'mtime': '2017-11-29 09:10:40'}]}]",Jurusan Administrasi Negara FISIP Unila dan Persadi Lampung,1.0,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6142,article,robi_ck@yahoo.com,['FISIP3'],2087-0825,"[{'id': 'robi_ck@yahoo.com', 'name': {'lineage': None, 'family': 'Cahyadi', 'honourific': None, 'given': 'Robi'}}]",Jurnal Ilmiah Administrasi Publik dan Pembangunan ADMINISTRATIO,2016-06-01 00:00:00.000000000,disk0/00/00/61/42,"[{'url': 'http://jurnal.fisip.unila.ac.id/index.php/administratio', 'type': 'pub'}]",,,,,,,,,,,,,,,
5,archive,2017-06-12 04:36:07,Pendidikan Politik Menjadi Pemilih Cerdas Bagi Pemilih Pemula di Kota Bandar Lampung Tahun 2015,['JA'],,Pendidikan Politik Menjadi Pemilih Cerdas Bagi Pemilih Pemula di Kota Bandar Lampung Tahun 2015,http://lppm.unila.ac.id/download/prosiding-seminar-nasional-pengabdian-2016/,show,,9,3099,published,2017-06-12 04:36:07,266,2017-06-12 04:36:07,146-166,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2979', 'docid': 2979, 'main': 'prosiding pengabdian himawan.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/21432', 'objectid': 2979, 'mtime': '2017-06-02 06:32:04', 'hash_type': 'MD5', 'filename': 'prosiding pengabdian himawan.pdf', 'hash': 'aefe42f9920188e346586ecc07a15c4c', 'fileid': 21432, 'mime_type': 'application/pdf', 'filesize': 9499595, 'datasetid': 'document'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 3099, 'placement': 1, 'security': 'public'}]",,,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/3099,conference_item,,['FISIP3'],,"[{'name': {'lineage': None, 'family': 'Indrajat', 'honourific': None, 'given': 'Himawan'}}, {'name': {'honourific': None, 'family': 'Hertanto', 'lineage': None, 'given': 'Hertanto'}}]",,2016-12-01 00:00:00.000000000,disk0/00/00/30/99,,paper,conference,Desember 2016,SEMINAR NASIONAL HASIL-HASIL PENGABDIAN KEPADA MASYARAKAT,Bandar Lampung,"['Universitas Lampung', 'Universitas Lampung']",,,,,,,,,
6,archive,2017-06-12 04:36:24,"At this time, democracy has been a best choice for admintering the life of nation by 
most  country  around  the  world.  In  Indonesia,  the  implementing  of  democracy  has  been 
through the long term of political life. In democratic country, voters participation has become 
important  part  of  representative  democracy.  Voters  participation  are  supporting  the 
accomplishing  practical  of  representative.  In  fact,  there  are  some  issues  concerning  to  the 
voters turn of in every general election. Unfortunately, the issue has not revealed and most of 
them become weakness. Most issues concerned with the participant in election are the voters 
turn out in ballot box, a lot of  invalid votes, indication of money politc, political literacy, and 
the  lack  of  volunteriness  contribution  of  citizen  politic.  The  issue  must  be  disscused  for 
knowing the main cause and find the solution. In expectation, participation can be placed in 
proper level with high level politiacal literacy. Therefore, the reseach program has become 
the needs of political management.
Based  on  2014  election  result,  shows  that  the  success  of  election  determined 
participation which reach into 75%. Nevertheless, the level of participation in every region is 
different  from  the  national  results.  For  example, lampung  timur  shows  that  participation  is 
only 69% in every district. The highest participation is in Batanghari district and Pekalongan 
district which is the average  result is above national participation. The lowest participation is 
in  Gunung  Pelindung,  Braja  Selebah,  Labuhan  Maringgai,  Mataram  Baru,  Pasir  Sakti  and 
Melinting  district.  The  result  of  the  subdistrict  are  62%-65%.  From  the  result  we  can  do 
comparision  study  between  the  highest  and  the  lowest  participation  region,  that  is  Desa 
Gunung  Mulyo  in  Sekampung  Udik  district  and  Desa  Rajabasa  Batanghari  in  Sukadana 
district.  In  this  research  we  use  quantitative  methode,  and  the  colecting  data  technique  by 
doing survey to the people and interview with Komisi Pemilihan Umum, Panitia Pengawas 
Pemilu, Political Party, and Legislative Candidate.",['H1'],,"Voting Behaviour in 2014 Legislative Election
in Lampung Timur Regency
(Case Study in Desa Gunung Mulyo Sekampung Udik District
and Desa Rajabasa Batanghari Sukadana District)",http://shield.unila.ac.id/,show,,8,3096,published,2017-06-12 04:36:24,266,2017-06-12 04:36:24,438-453,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 3096, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2977', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'hash_type': 'MD5', 'mtime': '2017-06-02 06:28:35', 'hash': '131fe4a11e71afb591fadf1455105d51', 'filename': 'SHIELD himawan 2016.pdf', 'fileid': 21417, 'mime_type': 'application/pdf', 'filesize': 3334000, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/21417', 'objectid': 2977}], 'main': 'SHIELD himawan 2016.pdf', 'docid': 2977}]",,,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/3096,conference_item,,['FISIP3'],,"[{'name': {'honourific': None, 'family': 'Indrajat', 'lineage': None, 'given': 'Himawan'}}, {'name': {'family': 'Purba', 'honourific': None, 'lineage': None, 'given': 'Darmawan'}}]",,2016-11-02 00:00:00.000000000,disk0/00/00/30/96,,paper,conference,2 NOVEMBER 2016,SHIELD CONFERENCE 2016,BANDAR LAMPUNG,"['Universitas Lampung', 'Universitas Lampung']",,,,,,,,,
7,archive,2022-03-29 10:07:43,"lembar reviewer judul ""Voting Behaviour in 2014 Legislative Election in Lampung Timur Regency (Case Study in Desa Gunung Mulyo Sekampung Udik District and Desa Rajabasa Batanghari Sukadana District)"".",['H1'],,Voting Behaviour in 2014 Legislative Election in Lampung Timur Regency (Case Study in Desa Gunung Mulyo Sekampung Udik District and Desa Rajabasa Batanghari Sukadana District),,show,,8,40686,,2022-03-29 10:07:43,8741,2022-03-29 10:07:43,,"[{'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162059', 'pos': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'fileid': 452821, 'filename': 'Prosiding - Voting Behaviour.pdf', 'hash': 'd6e7a55bb1dc7a248b786f8acb6dda5c', 'mtime': '2022-03-29 09:11:01', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 123125, 'objectid': 162059, 'uri': 'http://repository.lppm.unila.ac.id/id/file/452821'}], 'main': 'Prosiding - Voting Behaviour.pdf', 'docid': 162059, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 40686}]",Universitas Lampung,,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/40686,other,,['FISIP3'],,"[{'name': {'given': 'Himawan', 'lineage': None, 'family': 'Indrajat', 'honourific': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Purba', 'given': 'Darmawan'}}]",,2016-11-01 00:00:00.000000000,disk0/00/04/06/86,,,,,,,,,,,,,,,,
8,archive,2020-06-08 05:36:43,"Bisa   dikatakan   akhir-akhir   ini   studi   atau   lebih   populer   menggunakan   kata   Ilmu mengalami krisis identitas. Kampus UGM misalnya menambahkan kata politik dan agak membingungkan program studi lain di luar UGM mengapa UGM harus menambah kata politik.  Di  IPDN  malah  ilmu  pemerintahan  ini  semakin  aneh.  Pendekatan  di  IPDN  bisa dikatakan  tertinggal  berapa  dekade  dan  bahkan  tidak  kontekstual  dengan  dinamika pemerintahan hari ini. IPDN lebih tepatnya sekolah militer ketimbang sekolah sipil yang berparadigma ""public service"" atau pelayan publik. Yang unik pengalaman mereka yang pernah mengajar S2 lulusan IPDN sama seperti mengajar robot ketimbang manusia. Di     UNPAD sebenarnya ilmu pemerintahan pun tidak jelas. Ada eksodus dosen lulusan luar negeri  yang  belajar  ilmu  politik  ke  jurusan  baru  yakni  ilmu  politik.  Penulis  bisa  katakan unpad  berusaha  menginisiasi  Asosiasi  Program  Studi  Ilmu  Pemerintahan  Indonesia (APSIPI) yang membahas kurikulum yang malah cendrung monolitik dalam metodelogi. Penulis  yang  pernah  ikut  forum  APSIPI  melihat  ada  kecendurngan  APSIPI  malah membuat  homigenitas  dan  kapling  ilmu  di  tengah  trend  pendekatan  multi  disiplin. Ironisnya  APSIPI  malah  terjebak  dalam  pendekatan  old  institutionalisme  yang  legal formalistik dalam melihat fenomena pemerintahan","['JA', 'JF']",,Napas Baru Ilmu Pemerintahan: Catatan Lokakarya Kurikulum Jurusam Ilmu Pemerintahan UNILA 2016,,show,,9,22079,,2020-06-08 05:36:43,284,2020-06-08 05:36:43,,"[{'main': 'Catatan Lokakarya Kurikulum Jurusam Ilmu Pemerintahan UNILA 2016.pdf', 'docid': 35475, 'files': [{'filesize': 57728, 'datasetid': 'document', 'filename': 'Catatan Lokakarya Kurikulum Jurusam Ilmu Pemerintahan UNILA 2016.pdf', 'hash': '039d8b70473d71e2044838723f935d9f', 'mtime': '2020-05-29 06:52:14', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 203454, 'uri': 'http://repository.lppm.unila.ac.id/id/file/203454', 'objectid': 35475}], 'format': 'text', 'pos': 1, 'rev_number': 4, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35475', 'eprintid': 22079, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'id', 'content': 'submitted'}]",,,submitted,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/22079,conference_item,,['FISIP3'],,"[{'name': {'given': 'Budi', 'lineage': None, 'honourific': None, 'family': 'Kurniawan'}, 'id': 'budi.kurniawan@fisip.unila.ac.id'}]",Lokakarya Kurikulum Jurusan Ilmu Pemerintahan Universitas Lampung 2016,1970-01-01 00:00:00.000002016,disk0/00/02/20/79,,paper,workshop,,Lokakarya Kurikulum Jurusan Ilmu Pemerintahan Unversitas Lampung 2016,Bandar Lampung,,21022.0,,,,,,,,
9,archive,2021-06-02 06:56:55,Reviewer (Penilaian Rekan Sejawat),"['H1', 'JA']",,Reviewer : Tantangan-tantangan Ilmu Sosial Dalam Menghadapi Bonus Demografi 2020-2030,,show,,8,31702,,2021-06-02 06:56:55,926,2021-06-02 06:56:55,,"[{'main': 'Penelitian 6.pdf', 'docid': 143540, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/375590', 'objectid': 143540, 'hash': 'fefd9467768d9e3f5c0ee54b2813d8b1', 'filename': 'Penelitian 6.pdf', 'mtime': '2021-06-02 06:09:25', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 375590, 'filesize': 2091508, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/143540', 'rev_number': 1, 'eprintid': 31702, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",Fakutas Ilmu Sosial dan Ilmu Politik UNILA,,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/31702,other,,['FISIP3'],,"[{'id': 'syarief.makhya@fisip.unila.ac.id', 'name': {'given': 'Syarief', 'honourific': None, 'family': 'Makhya', 'lineage': None}}]",,2016-11-01 00:00:00.000000000,disk0/00/03/17/02,,,,,,,,,,,,,,,,
