,rev_number,metadata_visibility,title,official_url,subjects,abstract,eprint_status,status_changed,related_url,date_type,eprintid,full_text_status,uri,refereed,ispublished,publisher,documents,pagerange,datestamp,lastmod,userid,dir,date,publication,creators,divisions,contact_email,type,issn,event_type,event_title,pres_type,event_dates,event_location,number,volume,institution,monograph_type
0,6,show,Elit dan Pilgub Lampung,https://gagasanhukum.wordpress.com/tag/robi-cahyadi-kurniawan/,['JA'],"Elite adalah sekumpulan orang yang terpandang dari struktur sosial dan menguasai serta mendominasi massa tertentu dalam aspek atau bidang khusus dalam sebuah sistem. Kondisi yang menyebabkan seseorang atau sekelompok orang mampu mendominasi massa, dibagi oleh beberapa tipe. Tipe pertama, dominasi tradisional, yang didapat berdasar tradisi yang berlaku dalam masyarakat. Kepatuhan yang didasarkan bukan pada kepatuhan hukum formal, tetapi pada konvensi yang terbentuk menurut tradisi yang berlaku.

Dalam dominasi tradisional terdapat massa dengan kepercayaan yang mapan terhadap kesucian tradisi. Hal ini memunculkan massa yang mengakui keunggulan individu tertentu berdasar keyakinan bahwa individu tersebut secara tradisi memang memiliki keunggulan. Ia terpilih bukan karena kharisma atau kemampuannya, melainkan karena kesepakatan bersama yang sudah mentradisi.",archive,2017-11-30 07:13:46,"[{'url': 'https://gagasanhukum.wordpress.com/tag/robi-cahyadi-kurniawan/', 'type': 'pub'}]",published,6160,public,http://repository.lppm.unila.ac.id/id/eprint/6160,TRUE,pub,Media Online,"[{'security': 'public', 'placement': 1, 'eprintid': 6160, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 19083, 'uri': 'http://repository.lppm.unila.ac.id/id/file/56604', 'mime_type': 'application/pdf', 'fileid': 56604, 'filename': 'Robi Cahyadi Kurniawan _ Gagasan Hukum.pdf', 'hash': '39211cb3d0cffca505debe8963fc79ac', 'hash_type': 'MD5', 'mtime': '2017-11-30 05:23:45', 'datasetid': 'document', 'filesize': 516789}], 'docid': 19083, 'main': 'Robi Cahyadi Kurniawan _ Gagasan Hukum.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19083', 'rev_number': 1, 'format': 'text', 'pos': 1}]",1-33,2017-11-30 07:13:46,2017-11-30 07:13:46,680,disk0/00/00/61/60,2012-08-09 00:00:00.000000000,"Gagasan Hukum, Media Online","[{'id': 'robi_ck@yahoo.com', 'name': {'given': 'Robi', 'honourific': None, 'family': 'Cahyadi', 'lineage': None}}]",['FISIP3'],robi_ck@yahoo.com,article,,,,,,,,,,
1,6,show,Perempuan di Pilpres 2014,https://gagasanhukum.wordpress.com/2012/05/31/karikatur-perempuan-di-pilpres-2014/,['J1'],"Pilkada di daerah-daerah dengan ciri khas masing-masing telah melahirkan pemimpin perempuan. Untuk level provinsi diwakili Ratu Atut Chosiyah yang menjabat gubernur Banten (2007—2012 dan 2012—2017). Untuk wali kota diwakili Suryatati A. Manan yang menjabat bupati Tanjungpinang (2008—2013).

Selain itu, ada sejumlah perempuan yang sedang dan pernah menjabat kepala daerah, di antaranya Bupati Karanganyar Rina Iriani, Bupati Banyuwangi Ratna Ani, Bupati Bolaang Mongondow Marlina Moha, Bupati Tuban Heni Relawaty, Bupati Nganjuk Siti Nurhayati, Bupati Majalengka Tuty Hayatip, Bupati Kebumen yang kini menjabat wakil gubernur Jawa Tengah Rustriningsih, dan Bupati Minahasa Tenggara Telly Tjanggulung.",archive,2018-01-29 04:11:34,,published,6375,public,http://repository.lppm.unila.ac.id/id/eprint/6375,TRUE,pub,,"[{'files': [{'filename': 'Perempuan di Pilpres 2014.pdf', 'hash': 'b63357a0e2ae13050d3561c32359ede6', 'hash_type': 'MD5', 'mtime': '2018-01-26 14:23:13', 'mime_type': 'application/pdf', 'fileid': 59205, 'filesize': 134158, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/59205', 'objectid': 19299}], 'main': 'Perempuan di Pilpres 2014.pdf', 'docid': 19299, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19299', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 6375, 'mime_type': 'application/pdf', 'language': 'en'}]",1-4,2018-01-29 04:11:34,2018-01-29 04:11:34,680,disk0/00/00/63/75,2012-05-31 00:00:00.000000000,Media Online Gagasan Hukum,"[{'id': 'robi_ck@yahoo.com', 'name': {'lineage': None, 'family': 'Cahyadi', 'honourific': None, 'given': 'Robi'}}]",['FISIP3'],,article,1979-9373,,,,,,,,,
2,7,show,Studi Penjajagan Tentang Kesadaran Multikulturalisme di Kalangan Pedagang di Bandar Lampung,,['AC'],Similarity,archive,2020-02-05 09:19:38,,published,17899,public,http://repository.lppm.unila.ac.id/id/eprint/17899,,pub,-,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 17899, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/31025', 'rev_number': 1, 'docid': 31025, 'main': '16. Similarity Dr. Ari D Studi_Penjajagan_tentang_Keasadaran_HAM_Pedagang_P.pdf', 'files': [{'objectid': 31025, 'uri': 'http://repository.lppm.unila.ac.id/id/file/150737', 'mime_type': 'application/pdf', 'fileid': 150737, 'hash': '788cef2db14149d0188fafbace2a1b5e', 'filename': '16. Similarity Dr. Ari D Studi_Penjajagan_tentang_Keasadaran_HAM_Pedagang_P.pdf', 'hash_type': 'MD5', 'mtime': '2020-02-05 04:02:01', 'datasetid': 'document', 'filesize': 5806609}]}]",,2020-02-05 09:19:38,2020-02-05 09:19:38,880,disk0/00/01/78/99,1970-01-01 00:00:00.000002012,,"[{'name': {'honourific': None, 'family': 'Darmastuti', 'lineage': None, 'given': 'Ari'}}]",['FISIP3'],,other,,,,,,,,,,
3,8,show,patriarki dan pemahaman yang belum tuntas,,['AC'],Hasil Penilaian Sejawat Sebidang atau Hasil Peer Review Karya Ilmiah: Prosiding Nasional,archive,2020-02-18 01:53:52,,published,18029,public,http://repository.lppm.unila.ac.id/id/eprint/18029,TRUE,pub,,"[{'placement': 1, 'security': 'public', 'eprintid': 18029, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 32956, 'uri': 'http://repository.lppm.unila.ac.id/id/file/185931', 'mime_type': 'application/pdf', 'fileid': 185931, 'filename': '14. Ari D Reviewer Patriarki.pdf', 'hash': 'd65f18d336e16b067f6ff8364f379f51', 'hash_type': 'MD5', 'mtime': '2020-05-15 07:37:20', 'datasetid': 'document', 'filesize': 683382}], 'main': '14. Ari D Reviewer Patriarki.pdf', 'docid': 32956, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32956', 'pos': 1, 'format': 'text'}]",,2020-02-18 01:53:52,2020-05-15 07:37:20,880,disk0/00/01/80/29,1970-01-01 00:00:00.000002012,,"[{'name': {'family': 'Darmastuti', 'honourific': None, 'lineage': None, 'given': 'Ari'}}]",['FISIP3'],,conference_item,,conference,Seminar Nasional,paper,,,,,,
4,7,show,"POLITIK TRANSAKSIONAL DALAM GABUNGAN PARTI ISLAM
PADA PILIHAN RAYA KEPALA DAERAH (PILKADA)
DI LAMPUNG, INDONESIA",http://www.ukm.my/fsskconf,['JQ'],"ABSTRACT

Islamic parties often suffer defeat in regional head elections (Pilkada) in Lampung, this is because the weakness of the basic building political coalition of Islamic parties in winnings candidate recruitment and district heads. This vulnerability affects the performance of cooperation and coordination in winnings coalition candidate regents and mayor in Lampung. This study aims to find out how transactional politics over the policy of Islamist parties in the local elections in Lampung. The research method is done by means of interviews to the leadership of these parties. The study focused on the Parti Keadilan Sejahtera (PKS) as the largest Islamic party in Lampung. The results showed that the mechanism of recruitment and candidate winnings regents and mayor by PKS and Islamic parties other still less consistent, because the ideology professed Islamic parties are strictly not practiced enough to do the district head of recruitment and relationship building between the parties one with the other party. However, the ideological basis of political practice in this election is the importance of power and the benefits of pragmatic politics.

Keywords: Transactional, political parties, recruitment, political coalition, election.",archive,2020-03-03 09:11:28,"[{'url': 'http://www.ukm.my/fsskconf/index.php/icosh/icosh2012', 'type': 'pub'}]",published,18252,public,http://repository.lppm.unila.ac.id/id/eprint/18252,TRUE,pub,,"[{'eprintid': 18252, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 31404, 'main': 'Politik Transaksional Gabungan Parti Islam.pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 153696, 'filename': 'Politik Transaksional Gabungan Parti Islam.pdf', 'hash': '27a71cad0afed92c907819013283041d', 'hash_type': 'MD5', 'mtime': '2020-02-27 06:51:35', 'datasetid': 'document', 'filesize': 3295339, 'objectid': 31404, 'uri': 'http://repository.lppm.unila.ac.id/id/file/153696'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31404', 'rev_number': 1}]",880-892,2020-03-03 09:11:28,2020-03-03 09:11:28,813,disk0/00/01/82/52,2012-12-13 00:00:00.000000000,,"[{'name': {'given': 'Hertanto', 'honourific': None, 'family': 'Hertanto', 'lineage': None}, 'id': 'hertanto.1960@fisip.unila.ac.id'}]",['FISIP3'],icoshukm2012@gmail.com,conference_item,,conference,4th International Conference on Social Sciences & Humanities (ICOSH-UKM 2012),paper,12-13 Desember 2012,"Fakulti Sains Sosial dan Kemanusiaan, Universiti Kebangsaan Malaysia, Bangi, Selangor Darul Ehsan, Malaysia",,,,
5,7,show,CORRUPTION AND TRANSITIONAL DEMOCRACY,,"['JA', 'JQ']","This paper argues that we can find enormous numbers of corruption in the new democratic transitional countries.
The system of authoritarianism in law institutions has still remained while the political system has changed to the democratic system. In addition, corruption
is the problem of the rule of law rather than
the problem of democracy. This essay will begin with an explanation of the correlation between democracy and corruption. Furthermore, this paper also argues that independent anti-corruption commission is effective in the transition country from authoritarian to democratic countries while the law institutions such as police, attorney general and court are still corrupt",archive,2020-05-31 02:18:51,,published,21235,public,http://repository.lppm.unila.ac.id/id/eprint/21235,FALSE,pub,Jurusan Ilmu Administrasi Publik FISIP Unila,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 21235, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34627', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'hash': 'a6d0dcc2b557ba330b28a023a90524e2', 'filename': 'CORRUPTION_AND_TRANSITIONAL_DEMOCRACY.pdf', 'mtime': '2020-05-31 02:00:28', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 197666, 'filesize': 138707, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/197666', 'objectid': 34627}], 'docid': 34627, 'main': 'CORRUPTION_AND_TRANSITIONAL_DEMOCRACY.pdf'}]",490-497,2020-05-31 02:18:51,2020-05-31 02:18:51,284,disk0/00/02/12/35,1970-01-01 00:00:00.000002012,Administratio,"[{'name': {'lineage': None, 'family': 'Kurniawan', 'honourific': None, 'given': 'Budi'}, 'id': 'budi.kurniawan@fisip.unila.ac.id'}]",['FISIP3'],,article,2087-0825,,,,,,2.0,3.0,,
6,9,show,Democracy and corruption in Indonesia,,['JA'],"Indonesia today faces an enormous problem related to corruption. Almost every day we read in the newspapers about corruption cases implicating state officials.

Given Indonesia’s shift to democracy more than a decade ago, many have been tempted to question whether rampant corruption during this period is actually the fruit of democracy.

Evidence shows democracies create more dangerous corruption than authoritarian regimes. A study by Olson (2002) of the Eastern Europe post-communist era found that the number of corruption cases climbed in newly democratic countries.",archive,2020-05-29 08:49:32,[{'url': 'https://www.thejakartapost.com/news/2012/01/17/democracy-and-corruption-indonesia.html'}],published,21035,public,http://repository.lppm.unila.ac.id/id/eprint/21035,FALSE,pub,,"[{'main': 'democracy-and-corruption-indonesia.html', 'docid': 34413, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/196294', 'objectid': 34413, 'hash': '0fec06d1f17d10c78903bcadde5ddcd1', 'filename': 'democracy-and-corruption-indonesia.html', 'hash_type': 'MD5', 'mtime': '2020-05-29 07:49:31', 'mime_type': 'text/html', 'fileid': 196294, 'filesize': 74614, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34413', 'eprintid': 21035, 'security': 'public', 'placement': 1, 'mime_type': 'text/html', 'language': 'en', 'content': 'published'}]",,2020-05-29 08:49:32,2020-05-29 08:49:32,284,disk0/00/02/10/35,2012-01-17 00:00:00.000000000,The Jakarta Post,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Kurniawan', 'given': 'Budi'}, 'id': 'budi.kurniawan@fisip.unila.ac.id'}]",['FISIP3'],,article,,,,,,,,,,
7,7,show,The Important of Education for Economic Growth,,['HB'],"Some countries with have rich natural resources like Indonesia frequently have a negativeeffect for their economy. Instead of becoming a grace of God, rich natural resources evenbecome a curse for Indonesia people. Indonesia suffers from “Dutch Diseases” in how to
manage their natural resources. We still face some problem such as poverty, law and politicalcrisis, poor governance including corruption, poor infrastructure and how to maintaineconomic growth. With the rich natural resources, what should government do to developIndonesia and maintain their economic growth?",archive,2020-05-30 20:00:12,,,21210,public,http://repository.lppm.unila.ac.id/id/eprint/21210,FALSE,unpub,,"[{'docid': 34598, 'main': 'The_Important_of_Education_for_Economic.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/197487', 'objectid': 34598, 'hash_type': 'MD5', 'mtime': '2020-05-30 14:44:38', 'hash': '5882c6b45e8490c004a4182e495de0ed', 'filename': 'The_Important_of_Education_for_Economic.pdf', 'fileid': 197487, 'mime_type': 'application/pdf', 'filesize': 85965, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34598', 'rev_number': 1, 'eprintid': 21210, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",,2020-05-30 20:00:12,2020-05-30 20:00:12,284,disk0/00/02/12/10,1970-01-01 00:00:00.000002012,Academia,"[{'name': {'family': 'Kurniawan', 'honourific': None, 'lineage': None, 'given': 'Budi'}, 'id': 'budi.kurniawan@fisip.unila.ac.id'}]",['FISIP3'],,article,,,,,,,,,,
8,7,show,THE POLITICS OF BUREAUCRATIC REFORM: Neo-Liberal Influence and Higher Educational Management in Indonesia,,"['JA', 'JF']","Artikel ini adalah studi reformasi birokrasi di sektor pendidikan tinggi di Indonesia pasca reformasi dari PP BHMN hingga UU BHP. Argumentasi utama dari artikel ini adalah kebijakan reformasi birokrasi dalam sektor perguruan tinggi gagal. Ada dua faktor penyebab kegagalan; yang pertama adalah rendahnya kapasitas pelaksana kebijakan dan yang kedua adalah adanya kecurigaan akan idiologi neo-liberal dibalik kebijakan ini yang berdampak pada penolakan masyarakat sipil. Rendahnya kapasitas birokrasi dalam implementasi kebijakan dilihat dari pemahaman pejabat perguruan tinggi yang mengartikan kebijakan reformasi birokrasi dengan UU BHP dan otonomi kampus sebagai peluang mencari dana secara mandiri di luar subsidi pemerintah. Para birokrat kampus memilih cara mudah untuk membiayai pendidikan tinggi akibat berkurangnya subsidi pendidikan dengan membebankannya kepada mahasiswa. Dengan pemahaman ini biaya pendidikan di kampus-kampus negeri menjadi mahal. Selain itu faktor adanya kecurigaan akan adanya ideologi neo-liberal dibalik kebijakan ini menjadi frame masyarakat sipil menolak kebijakan ini. Structural Adjustment Programs (SAP) yang tertuang dalam Letter of Intent (LOI) antara pemerintah Republik Indonesia dan IMF menjadi landasan mengapa kebijakan ini sangat kentara dengan nafas neo-liberalisme yang didalam aplikasinya dalam reformasi birokrasi dikenal dengan slogan New-Public Management. Penolakan elemen civil society termasuk di dalamnya mahasiswa berujung kepada meja pengadilan Mahkamah Konstitusi, UU BHP dibatalkan demi hukum karena bertentangan dengan UUD 1945",archive,2020-05-30 19:58:44,[{'url': 'https://www.researchgate.net/publication/336345554_THE_POLITICS_OF_BUREAUCRATIC_REFORM_Neo-Liberal_Influence_and_Higher_Educational_Management_in_Indonesia'}],published,21196,public,http://repository.lppm.unila.ac.id/id/eprint/21196,FALSE,pub,Universitas Jenderal Sudirman,"[{'placement': 1, 'security': 'public', 'eprintid': 21196, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 34581, 'uri': 'http://repository.lppm.unila.ac.id/id/file/197379', 'datasetid': 'document', 'filesize': 6238362, 'fileid': 197379, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-05-30 13:49:38', 'hash': 'e980c1f2499fe7996a7a6f55b72486fc', 'filename': 'swarapolitikavol12no3revisi1.pdf'}], 'main': 'swarapolitikavol12no3revisi1.pdf', 'docid': 34581, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34581', 'pos': 1, 'format': 'text'}]",,2020-05-30 19:58:44,2020-05-30 19:58:44,284,disk0/00/02/11/96,2012-04-03 00:00:00.000000000,Swara Politika,"[{'name': {'family': 'Kurniawan', 'honourific': None, 'lineage': None, 'given': 'Budi'}, 'id': 'budi.kurniawan@fisip.unila.ac.id'}]",['FISIP3'],,article,14128144,,,,,,,,,
9,7,show,Rhetoric in Public Policy Analyses,,['JA'],"In the middle of mainstream approaches, (rational choice theory and scientific approach), rhetoric approach in public policy is an alternative to explain the policy actors through talk called rhetoric. Even though, we rarely use the rhetoric approach in public policy studies, this approach want to explain beyond these mainstreams. Rhetoric wants to emphasize the personality of the decision maker and their skill to persuade.",archive,2020-05-30 19:59:52,,,21206,public,http://repository.lppm.unila.ac.id/id/eprint/21206,FALSE,unpub,,"[{'security': 'public', 'placement': 1, 'eprintid': 21206, 'language': 'en', 'mime_type': 'application/msword', 'files': [{'objectid': 34591, 'uri': 'http://repository.lppm.unila.ac.id/id/file/197434', 'mime_type': 'application/msword', 'fileid': 197434, 'hash': '99269592ccba83644fef16720a448316', 'filename': 'Rhetoric_in_Public_Policy_Analyses.doc', 'hash_type': 'MD5', 'mtime': '2020-05-30 14:17:12', 'datasetid': 'document', 'filesize': 45056}], 'docid': 34591, 'main': 'Rhetoric_in_Public_Policy_Analyses.doc', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34591', 'format': 'text', 'pos': 1}]",,2020-05-30 19:59:52,2020-05-30 19:59:52,284,disk0/00/02/12/06,1970-01-01 00:00:00.000002012,"ANU, Policy and Governance, Assignment Paper","[{'name': {'given': 'Budi', 'lineage': None, 'family': 'Kurniawan', 'honourific': None}, 'id': 'budi.kurniawan@fisip.unila.ac.id'}]",['FISIP3'],,article,,,,,,,,,,
