,status_changed,eprint_status,related_url,subjects,abstract,title,official_url,rev_number,metadata_visibility,eprintid,date_type,lastmod,userid,datestamp,ispublished,documents,full_text_status,uri,refereed,type,divisions,publication,creators,dir,date,publisher,issn,funders,pagerange,pres_type,event_title,event_location,projects,event_dates,event_type,pages,isbn,place_of_pub,succeeds,department,thesis_type,institution,thesis_name
0,2021-09-20 01:06:52,archive,"[{'type': 'pub', 'url': 'http://jurnal.fkip.unila.ac.id/index.php/pgsd/article/view/16259'}]",['L1'],"The purpose of this study was to analyze and know the positive and significant influence on the use of inquiry learning model to the natural science learning outcomes of V SD Negeri 4 west metro. This type of research was experimental research. The research design used is non-equivalent control group design. The population in this research amounted to 48 student of grade 5. Technique of collecting data was done by technique of test and questionnaire. The result obtained by t-count data was 2,057 while t-table 2.021. the comparison show that (2,057 > 2,021) means accepted. It means there was a positive and significant influence of the use inquiry learning model to the natural science learning outcomes of V SD Negeri 4 west metro.",The influence of the use of inquiry learning model on natural science learning outcomes.,http://jurnal.fkip.unila.ac.id/index.php/pgsd/article/view/16259,6,show,33978,published,2021-09-20 01:06:52,968,2021-09-20 01:06:52,pub,"[{'files': [{'mime_type': 'application/pdf', 'fileid': 401420, 'hash': '40c676965c9779409bc4d60c9e694be6', 'filename': '3. 16259-36397-1-PB.pdf', 'mtime': '2021-09-19 14:33:25', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 362775, 'objectid': 154226, 'uri': 'http://repository.lppm.unila.ac.id/id/file/401420'}], 'docid': 154226, 'main': '3. 16259-36397-1-PB.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154226', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 33978, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/33978,TRUE,article,['FKIP5'],Pedagogi : Jurnal Pendidikan Dasar,"[{'name': {'family': 'Adelia Sukmayanti', 'honourific': None, 'lineage': None, 'given': 'Adelia'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Sowiyah', 'given': 'Sowiyah'}}]",disk0/00/03/39/78,1970-01-01 00:00:00.000002018,,,,,,,,,,,,,,,,,,
1,2021-09-20 01:07:06,archive,"[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/JMMP/article/view/15343', 'type': 'pub'}]",['L1'],"Research purpose is to know and analyze the positive and significant influence of the principal managerial, organizational culture and achievement motivation on the performance of special assistant teacher inclusion elementary School in Metro City. The research used ex post facto approach. Research population was Special Assistant Teacher at elementary School Inclusion in Metro City. Data collection using questionnaire and analysis using regression. The results of this study indicate the existence of cohesiveness of school principal, organizational culture and achievement motivation for the performance of special assistant teacher of elementary school inclusion in Metro City either partially or simultaneously. This can be done with the principal's managerial skills, organizational culture and achievement motivation increases, so the performance of special assistant teacher will also increase.",Performance Of Special Assistant Teacher In Inclusion Primary School,,6,show,33981,published,2021-09-20 01:07:06,968,2021-09-20 01:07:06,pub,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/401438', 'objectid': 154229, 'filesize': 236419, 'datasetid': 'document', 'filename': '6. 15343-34296-1-PB.pdf', 'hash': '7990d1f39a58d4c56883f0a3b96ee814', 'mtime': '2021-09-19 14:48:22', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 401438}], 'docid': 154229, 'main': '6. 15343-34296-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/154229', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 33981, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/33981,TRUE,article,['FKIP5'],Jurnal Manajemen Mutu Pendidikan,"[{'name': {'given': 'Egi', 'honourific': None, 'family': 'Egi Septa Wardani', 'lineage': None}, 'id': None}, {'name': {'given': 'Sowiyah', 'lineage': None, 'family': 'Sowiyah', 'honourific': None}, 'id': None}, {'name': {'given': 'Alben', 'lineage': None, 'honourific': None, 'family': 'Alben Ambarita'}, 'id': 'alben_ambarita57@yahoo.com'}]",disk0/00/03/39/81,1970-01-01 00:00:00.000002018,FKIP Unila,e-ISSN: 2716-4616 | p-ISSN 2302-1772,,,,,,,,,,,,,,,,
2,2020-06-23 01:30:34,archive,,['L1'],"This article examined influence of students' intrinsic and extrinsic motivation on their self-efficacy in public junior secondary schools (SMPN) in Lampung Province. This paper used a quantitative research design with a survey questionnaire method to collect data from SMPN students in Lampung Province using multistage random sampling. The Motivated Strategies for Learning Questionnaire (MSLQ) was completed by 408 students (82% response rate) from five districts. The data were analyzed using descriptive statistics and multiple regressions with the help of SPSS version 23. The results showed that the students’ intrinsic motivation, extrinsic motivation, and self-efficacy were positively and significantly correlated, and that the students’ intrinsic motivation and extrinsic had a positive and significant influence on their self-efficacy.

Keywords: self-efficacy, motivation, learning, school",Pengaruh motivasi instrinsik dan ekstrinsik siswa terhadap efikasi diri siswa: Studi pada SMP Negeri di Provinsi Lampung,,9,show,12855,published,2020-06-23 01:30:34,214,2020-06-23 01:30:34,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 12855, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'fileid': 208459, 'mime_type': 'application/pdf', 'mtime': '2020-06-22 18:48:56', 'hash_type': 'MD5', 'filename': 'Pengaruh Motivasi Intrinsik dan Ekstrinsik Siswa.pdf', 'hash': 'd75d81eb433a6921cc35b88d83ec06db', 'datasetid': 'document', 'filesize': 11904953, 'objectid': 36218, 'uri': 'http://repository.lppm.unila.ac.id/id/file/208459'}], 'docid': 36218, 'main': 'Pengaruh Motivasi Intrinsik dan Ekstrinsik Siswa.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36218', 'rev_number': 1, 'format': 'text', 'pos': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/12855,TRUE,conference_item,['FKIP5'],,"[{'id': 'hasan.hariri@staff.unila.ac.id', 'name': {'given': 'Hasan', 'family': 'Hariri', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Een Y.', 'lineage': None, 'honourific': None, 'family': 'Haenilah'}, 'id': 'eenhaenilah@gmail.com'}, {'name': {'given': 'Riswanti', 'lineage': None, 'family': 'Rini', 'honourific': None}, 'id': 'riswanti.rini@gmail.com'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Karwan', 'given': 'Dedy H.'}, 'id': 'dhkarwan@yahoo.co.id'}]",disk0/00/01/28/55,1970-01-01 00:00:00.000002018,,,['Universitas Lampung'],391-402,paper,Desimenasi Hasil Penelitian dalam Mendukung Pembangunan berkelanjutan,Bandar Lampung,['Hibah Penelitian Unggulan'],13 December 2018,conference,,,,,,,,
3,2019-11-04 02:49:02,archive,,['L1'],,Manajemen Pendidikan,,7,show,14657,,2019-11-04 02:49:02,214,2019-11-04 02:49:02,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27765', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/126955', 'objectid': 27765, 'hash': '38f1b16331f7d6a5e5ade00777f42d44', 'filename': 'sertifikat_EC00201854505_Buku MP_Hasan Hariri dkk.pdf', 'hash_type': 'MD5', 'mtime': '2019-10-28 07:57:01', 'mime_type': 'application/pdf', 'fileid': 126955, 'filesize': 770335, 'datasetid': 'document'}], 'docid': 27765, 'main': 'sertifikat_EC00201854505_Buku MP_Hasan Hariri dkk.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 14657}]",public,http://repository.lppm.unila.ac.id/id/eprint/14657,,other,['FKIP5'],,"[{'name': {'lineage': None, 'family': 'Hariri', 'honourific': None, 'given': 'Hasan'}}, {'name': {'given': 'Dedy Hermanto', 'family': 'Karwan', 'honourific': None, 'lineage': None}}]",disk0/00/01/46/57,1970-01-01 00:00:00.000002018,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,,,,,,,,,,,,,,,,,
4,2020-06-29 11:01:27,archive,,['L1'],"Prestasi siswa dalam menempuh pendidikannya sering dikaitkan dengan kualitas, kuantitas, dan kinerja guru. Guru berkuasa penuh atas kelas yang dipimpinnya. Guru berkuasa menjadikan ruang kelasnya sebagai neraka yang membuat siswanya trauma untuk datang. Namun, guru juga berkuasa menjadikan ruang kelasnya sebagai surga yang membuat siswanya betah dan selalu termotivasi untuk ke sekolah dan sebagai tempat yang dirindukan siswanya. Benarkah guru satu-satunya variabel yang sangat menentukan?
Sekilas kepemimpinan sebagai variabel antara dan mungkin saja tidak bertindak secara langsung atas prestasi siswa. Hallinger dan Heck menyatakan bahwa kondisi sekolah dipengaruhi oleh kepemimpinan sekolah. Kondisi-kondisi tersebut mencakup tujuan dan sasaran, struktur sekolah dan jaringan sosial, sumberdaya manusia, dan budaya organisasi. Kepala sekolah memainkan peran sebagai komandan dan sumber yang membangun hubungan dengan masyarakat untuk mencapai visi dan tujuan sekolah",Kepemimpinan Sekolah dan Pengaruhnya terhadap Kinerja Guru dalam Mendongkrak Prestasi Siswa,,8,show,22830,published,2020-06-29 11:01:27,214,2020-06-29 11:01:27,pub,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/209551', 'objectid': 36340, 'filename': '00 Hariri et al 2018 Referensi Kepemimpinan Sekolah_sent ok.pdf', 'hash': '39484104f457a15217f0dfa8172df806', 'hash_type': 'MD5', 'mtime': '2020-06-29 06:35:39', 'mime_type': 'application/pdf', 'fileid': 209551, 'filesize': 40707960, 'datasetid': 'document'}], 'docid': 36340, 'main': '00 Hariri et al 2018 Referensi Kepemimpinan Sekolah_sent ok.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36340', 'format': 'text', 'pos': 4, 'security': 'public', 'placement': 4, 'eprintid': 22830, 'mime_type': 'application/pdf', 'language': 'en'}, {'eprintid': 22830, 'placement': 5, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 36341, 'main': '00 Hariri et al 2018 Referensi Kepemimpinan Sekolah_sent ok.pdf', 'files': [{'mtime': '2020-06-29 06:37:51', 'hash_type': 'MD5', 'hash': '39484104f457a15217f0dfa8172df806', 'filename': '00 Hariri et al 2018 Referensi Kepemimpinan Sekolah_sent ok.pdf', 'fileid': 209553, 'mime_type': 'application/pdf', 'filesize': 40707960, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/209553', 'objectid': 36341}], 'pos': 5, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36341'}]",public,http://repository.lppm.unila.ac.id/id/eprint/22830,TRUE,book,['FKIP5'],,"[{'id': 'hasan.hariri@staff.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Hariri', 'given': 'Hasan'}}, {'name': {'family': 'Ridwan', 'honourific': None, 'lineage': None, 'given': 'Ridwan'}, 'id': 'ridwanrosidimuawi@gmail.com'}, {'name': {'given': 'Dedy H.', 'honourific': None, 'family': 'Karwan', 'lineage': None}, 'id': 'dhkarwan@yahoo.co.id'}]",disk0/00/02/28/30,2018-08-01 00:00:00.000000000,Graha Ilmu,,['Universitas Lampung'],,,,,,,,92.0,978-602-262-855-2,Yogyakarta,12879.0,,,,
5,2021-09-20 01:07:00,archive,"[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/pgsd/article/view/16155', 'type': 'pub'}]",['L1'],"This research analyze and know the influence of applying model of cooperative learning type jigsaw to result of learning of Civics class V SD Negeri 1 Metro Timur. The type of this research is experimental research with quantitative approach. The research method used is quasi experimental design. The research design used is non-equivalent control group design. Technique of collecting data is done by technique of test and questionnaire. Calculation of hypothesis test using independent formula t-test sample obtained tcount of 3,675 while ttable of 2.021, the comparison shows (3,675>2,021) there is positive and significant influence on applying cooperative learning type jigsaw model to result of learning.",The Influence of Cooperative Learning Model of Jigsaw Type to the Learning Outcomes of Primary School Civics,http://jurnal.fkip.unila.ac.id/index.php/pgsd/article/view/16155,6,show,33979,published,2021-09-20 01:07:00,968,2021-09-20 01:07:00,pub,"[{'files': [{'filesize': 232195, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-09-19 14:39:30', 'hash': 'e251e3475affcac50f62f9caeba5f1b2', 'filename': '4. 16155-36209-1-PB.pdf', 'fileid': 401426, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/401426', 'objectid': 154227}], 'docid': 154227, 'main': '4. 16155-36209-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/154227', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 33979, 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/33979,TRUE,article,['FKIP5'],Pedagogi : Jurnal Pendidikan Dasar,"[{'name': {'given': 'Kukuh', 'lineage': None, 'family': 'Kukuh Bintoro', 'honourific': None}}, {'name': {'given': 'Sowiyah', 'lineage': None, 'honourific': None, 'family': 'Sowiyah'}}, {'name': {'family': 'RAPANI', 'honourific': None, 'lineage': None, 'given': 'RAPANI'}}]",disk0/00/03/39/79,1970-01-01 00:00:00.000002018,,,,,,,,,,,,,,,,,,
6,2021-09-20 01:06:50,archive,"[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/pgsd/article/view/16318', 'type': 'pub'}]",['L1'],"Masalah dalam penelitian ini adalah rendahnya hasil belajar IPS siswa kelas V SD Negeri
1 Sribasuki. Penelian ini bertujuan untuk mengetahui pengaruh yang signifikan dan
positif pada penerapan model pembelajaran problem posing terhadap hasil belajar IPS.
Penelitian ini menggunakan metode penelitian kuantitatif dan jenis penelitian eksperimen
dengan desain penelitian Non-Equivalent Group Design. Teknik pengumpulan data
dilakukan dengan menggunakan tes mengetahui hasil belajar dan angket untuk mengukur
efektivitas pengaruh model problem posing. Hasil penelitian menunjukan bahwa terdapat
pengaruh yang signifikan dan positif pada penerapan model pembelajaran problem posing
terhadap hasil belajar. Pengujian hipotesis menggunakan rumus diperoleh data uji-t
sebesar 2,16 sedangkan ttabel sebesar 2,021, perbandingan tersebut menunjukan (2,16 >
2,021) berarti Ha diterima. Artinya terdapat pengaruh dalam penerapan model
pembelajaran problem posing terhadap hasil belajar.","PENGARUH MODEL PEMBELAJARAN PROBLEM POSING
TERHADAP HASIL BELAJAR IPS SISWA",http://jurnal.fkip.unila.ac.id/index.php/pgsd/article/view/16318,7,show,33977,published,2021-09-20 01:06:50,968,2021-09-20 01:06:50,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154225', 'pos': 1, 'format': 'text', 'files': [{'filesize': 427305, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-09-19 14:14:44', 'filename': '2. 16318-36554-1-PB.pdf', 'hash': 'e1def5d9abc95c726b7abbbaaf86fd02', 'fileid': 401413, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/401413', 'objectid': 154225}], 'main': '2. 16318-36554-1-PB.pdf', 'docid': 154225, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 33977}]",public,http://repository.lppm.unila.ac.id/id/eprint/33977,TRUE,article,['FKIP5'],Pedagogi : Jurnal Pendidikan Dasar,"[{'name': {'family': 'MILLA MARTHA FEBRILLA', 'honourific': None, 'lineage': None, 'given': 'Febrilla'}}, {'name': {'family': 'Sowiyah', 'honourific': None, 'lineage': None, 'given': 'Sowiyah'}}, {'name': {'honourific': None, 'family': 'MUNCARNO', 'lineage': None, 'given': 'Muncarno'}}]",disk0/00/03/39/77,1970-01-01 00:00:00.000002018,,,,,,,,,,,,,,,,,,
7,2021-09-20 01:07:04,archive,"[{'type': 'pub', 'url': 'http://jurnal.fkip.unila.ac.id/index.php/pgsd/article/view/16155'}]",['L1'],"This study aimed to describe and analyze the Performance of Certified Primary School Teachers. The focus of this research is the performance of certified primary school teachers’. Research Sub-focused in the form of Performance of certified primary school teachers’. This is research uses qualitative research. Collecting data use interview, observation and data analysis. Based on the study, it concluded that : (1) the policy teacher certification can motivating teachers. (2) the policy teacher certification that effectiveness of activities in an effort to improve the teachers’ performance.","The Certified Primary School Teachers’ Performance In Cluster I Baradatu, Way Kanan District",http://jurnal.fkip.unila.ac.id/index.php/pgsd/article/view/16155,6,show,33980,published,2021-09-20 01:07:04,968,2021-09-20 01:07:04,pub,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/154228', 'rev_number': 1, 'main': '5. 15342-34297-1-PB.pdf', 'docid': 154228, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/401432', 'objectid': 154228, 'filesize': 422479, 'datasetid': 'document', 'mtime': '2021-09-19 14:44:37', 'hash_type': 'MD5', 'hash': 'bc8b2236fb5e248f679de7da71563ce0', 'filename': '5. 15342-34297-1-PB.pdf', 'fileid': 401432, 'mime_type': 'application/pdf'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 33980, 'placement': 1, 'security': 'public'}]",public,http://repository.lppm.unila.ac.id/id/eprint/33980,TRUE,article,['FKIP5'],Pedagogi : Jurnal Pendidikan Dasar,"[{'name': {'given': 'Nazar', 'lineage': None, 'honourific': None, 'family': 'Nazar'}}, {'name': {'family': 'Sowiyah', 'honourific': None, 'lineage': None, 'given': 'Sowiyah'}}, {'name': {'given': 'Rini', 'lineage': None, 'honourific': None, 'family': 'Riswanti'}}]",disk0/00/03/39/80,1970-01-01 00:00:00.000002018,,,,,,,,,,,,,,,,,,
8,2021-05-05 01:03:18,archive,,['L1'],,Kompetensi Manajerial Kepala Perpustakaan,,7,show,29958,completed,2021-05-05 01:03:18,214,2021-05-05 01:03:18,unpub,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 29958, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/134423', 'format': 'text', 'pos': 1, 'files': [{'filesize': 460925, 'datasetid': 'document', 'mtime': '2021-05-04 14:26:02', 'hash_type': 'MD5', 'filename': '14 Ivana Nur p2.pdf', 'hash': 'd9417a0af00f64ad986530da595ac1e5', 'fileid': 355108, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/355108', 'objectid': 134423}], 'docid': 134423, 'main': '14 Ivana Nur p2.pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/29958,,thesis,['FKIP5'],,"[{'name': {'given': '. Ivana', 'lineage': None, 'family': 'Nur', 'honourific': None}}]",disk0/00/02/99/58,1970-01-01 00:00:00.000002018,,,,,,,,,,,,,,,MAP,masters,Universitas Lampung,other
9,2021-05-05 01:03:20,archive,,['L1'],,"Pengaruh Ke[emimpinan Partisipatif Kepala Sekolah, Budaya Sekolah dan Motivasi Berprestasi terhadap Kompetensi Pedagogik Guru SD Negeri di Kecamatan Muaradua",,7,show,29959,completed,2021-05-05 01:03:20,214,2021-05-05 01:03:20,unpub,"[{'placement': 1, 'security': 'public', 'eprintid': 29959, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'datasetid': 'document', 'filesize': 312705, 'mime_type': 'application/pdf', 'fileid': 355115, 'hash': 'ee89025ea0e59d45d07e8b12ec77fb05', 'filename': '15 Juwita Rubayhan p2.pdf', 'mtime': '2021-05-04 14:28:31', 'hash_type': 'MD5', 'objectid': 134424, 'uri': 'http://repository.lppm.unila.ac.id/id/file/355115'}], 'docid': 134424, 'main': '15 Juwita Rubayhan p2.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/134424', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",public,http://repository.lppm.unila.ac.id/id/eprint/29959,,thesis,['FKIP5'],,"[{'name': {'family': 'Rubayhan', 'honourific': None, 'lineage': None, 'given': 'Juwita'}}]",disk0/00/02/99/59,1970-01-01 00:00:00.000002018,,,,,,,,,,,,,,,MAP,masters,Universitas Lampung,other
