,pagerange,datestamp,lastmod,userid,uri,full_text_status,refereed,ispublished,number,publisher,documents,divisions,type,date,dir,publication,creators,subjects,abstract,eprint_status,status_changed,related_url,volume,rev_number,metadata_visibility,official_url,title,eprintid,date_type,isbn,place_of_pub,event_type,event_title,pres_type,issn,id_number,contributors,corp_creators,pages,contact_email,referencetext,succeeds
0,28-37,2021-06-03 06:39:12,2021-06-03 06:39:12,818,http://repository.lppm.unila.ac.id/id/eprint/31813,public,TRUE,pub,1,Lighthouse Publishing,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/144094', 'pos': 1, 'format': 'text', 'files': [{'objectid': 144094, 'uri': 'http://repository.lppm.unila.ac.id/id/file/376777', 'fileid': 376777, 'mime_type': 'application/pdf', 'mtime': '2021-06-03 02:47:39', 'hash_type': 'MD5', 'filename': '4-Article Text-66-1-10-20210204.pdf', 'hash': '475d0919d84eac17d70a49058ec0be39', 'datasetid': 'document', 'filesize': 345106}], 'docid': 144094, 'main': '4-Article Text-66-1-10-20210204.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 31813}]",['FKIP19'],article,1970-01-01 00:00:00.000002021,disk0/00/03/18/13,INTERNATIONAL JOURNAL OF EDUCATIONAL STUDIES IN SOCIAL SCIENCES,"[{'name': {'given': 'NELLY', 'lineage': None, 'honourific': None, 'family': 'ASTUTI'}, 'id': 'nelly.astuti@fkip.unila.ac.id'}, {'id': None, 'name': {'given': 'Fadhilah', 'family': 'Khairani', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Frida', 'family': 'Destini', 'honourific': None, 'lineage': None}, 'id': 'frida.destini@fkip.unila.ac.id'}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'sulistyawati', 'given': 'sulistyawati'}}]",['L1'],"This study aimed to determine the role of scout extracurricular activities toward student characters, between the learning environment at school and the student characters,   and   between   scout extracurricular   activities   and   the   learning environment at school along with students’characters. The research adopted an ex-post-facto correlation with a total population of112 students and 54 of them were  taken as  samples.  Observation  and  questionnaires were  used  fordata collection.    Product    Moment    Correlation    and    Multiple    Correlation were undertaken to analyze the collected data. Based on the analysis, the results of the study indicated that  there  was  a  relationship  between  scout  extracurricular activities andlearning environment at school toward students’characters.",archive,2021-06-03 06:39:12,[{'url': 'https://ijesss.com/journal/article/view/4/4'}],1,7,show,https://ijesss.com/journal/index,The role of scout  activities and learning  environment atschool  toward students’ characters,31813,,,,,,,,,,,,,,
1,,2023-04-18 05:41:05,2023-04-18 05:41:05,19245,http://repository.lppm.unila.ac.id/id/eprint/50638,public,TRUE,pub,,Graha Ilmu,"[{'eprintid': 50638, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 190340, 'main': 'Buku Kajian PKN SD.pdf', 'files': [{'objectid': 190340, 'uri': 'http://repository.lppm.unila.ac.id/id/file/545815', 'mime_type': 'application/pdf', 'fileid': 545815, 'filename': 'Buku Kajian PKN SD.pdf', 'hash': '2b67c8a00499bb0a6f18438e7cb2bc26', 'hash_type': 'MD5', 'mtime': '2023-04-18 04:29:41', 'datasetid': 'document', 'filesize': 988030}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190340', 'rev_number': 1}]",['FKIP19'],book,2021-05-01 00:00:00.000000000,disk0_bak/00/05/06/38,,"[{'name': {'family': 'Adha', 'honourific': None, 'lineage': None, 'given': 'Muhammad Mona'}, 'id': 'mohammad.monaadha@fkip.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'RAPANI', 'given': 'RAPANI'}, 'id': 'rapani@fkip.unila.ac.id'}, {'name': {'given': 'Dayu Rika', 'lineage': None, 'family': 'Perdana', 'honourific': None}, 'id': 'dayurika.perdana@fkip.unila.ac.id'}]",['L1'],,archive,2023-04-18 05:41:05,,,7,show,,Kajian Pendidikan Kewarganegaraan SD,50638,published,978-602-5584-73-2,Media Akademi,,,,,,,,,,,
2,1-5,2021-06-04 11:47:58,2021-06-04 11:47:58,2810,http://repository.lppm.unila.ac.id/id/eprint/32062,public,TRUE,pub,,,"[{'main': 'Article 9_3452144.3452153.pdf', 'docid': 145306, 'files': [{'datasetid': 'document', 'filesize': 216844, 'mime_type': 'application/pdf', 'fileid': 379473, 'filename': 'Article 9_3452144.3452153.pdf', 'hash': 'f3cd794e99c1a793a892a366e21ad0f1', 'mtime': '2021-06-04 08:23:30', 'hash_type': 'MD5', 'objectid': 145306, 'uri': 'http://repository.lppm.unila.ac.id/id/file/379473'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/145306', 'eprintid': 32062, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",['FKIP19'],conference_item,1970-01-01 00:00:00.000002021,disk0/00/03/20/62,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Ambarita', 'given': 'Alben'}, 'id': 'alben.ambarita@fkip.unila.ac.id'}, {'name': {'given': 'Frida', 'honourific': None, 'family': 'Destini', 'lineage': None}, 'id': 'frida.destini@fkip.unila.ac.id'}]",['LB1501'],"This research and development aim to develop a Lesson Plan Based on Backward Design that is feasible to improve the critical thinking of elementary school students. Research and development refer to Borg & Gall's theory. The study population was fifth-grade educators at Elementary School Dr. Wahidin Husodo in Metro, Lampung. The sample was determined using a purposive sampling technique of seven educators from different elementary schools. Data was collected through a questionnaire,
observation and test results. The results showed that the Lesson Plan that developed was feasible to use and showed that it could improve students' critical thinking. This is proved by the increase in student learning outcomes and students' critical thinking skills after using a backward design lesson plan.",archive,2021-06-04 11:47:58,[{'url': 'https://dl.acm.org/doi/10.1145/3452144.3452153'}],,7,show,https://dl.acm.org/doi/proceedings/10.1145/3452144,"The Development of Lesson Plan Based on Backward Design to
Improve Students’ Critical Thinking at Elementary School",32062,,,,conference,ICLIQE 2020: Proceedings of the 4th International Conference on Learning Innovation and Quality Education,paper,,,,,,,,
3,446-452,2021-11-11 08:48:34,2021-11-11 08:48:34,1115,http://repository.lppm.unila.ac.id/id/eprint/36180,public,TRUE,pub,7,,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 36180, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157123', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 589637, 'mime_type': 'application/pdf', 'fileid': 418804, 'hash': '249e4d7c6537987111d86331de2a6a09', 'filename': '1. Jurnal Internasional. (Juli-2021).pdf', 'hash_type': 'MD5', 'mtime': '2021-11-11 08:39:47', 'objectid': 157123, 'uri': 'http://repository.lppm.unila.ac.id/id/file/418804'}], 'main': '1. Jurnal Internasional. (Juli-2021).pdf', 'docid': 157123}]",['FKIP19'],article,1970-01-01 00:00:00.000002021,disk0/00/03/61/80,International Journal of Multicultural and Multireligious Understanding,"[{'id': 'tasviriefkar@yahoo.com.', 'name': {'lineage': None, 'honourific': None, 'family': 'Efkar', 'given': 'Tasviri'}}, {'name': {'given': 'RAPANI', 'family': 'RAPANI', 'honourific': None, 'lineage': None}, 'id': 'rapani@fkip.unila.ac.id'}, {'id': None, 'name': {'honourific': None, 'family': 'Fitriadi', 'lineage': None, 'given': 'Fitriadi'}}]","['L1', 'LB', 'LB1501']","One of the abilities and qualifications of prospective teachers is the result of their participation in the School Field Introduction (PLP) program. PLP is expected to be one of the efforts to prepare competent and prospective teacher candidates in the world of work. Field experience in teacher education programs helps students grow and develop as teachers. Field experience, an important component of teacher preparation. PLP aims to strengthen students' academic abilities in education and learning through activities in schools. The method used is descriptive qualitative with interview instruments and drawing conclusions. Sources of data are student teacher candidates who do PLP in schools in Bandar Lampung. The subjects in the study were student teacher candidates who held PLP in schools in Bandar Lampung. The research subject selection technique used snowball sampling technique. The results of this study, the PLP activity planning indicators are carried out by procedurally making activity agendas in the form of circulars addressed to students, heads of study programs and heads of departments, collaborating with the Education Office, determining partner schools, placing placements, preparing orientation and debriefing materials. implementation indicators during the Coronavirus Disease (Covid-19) emergency period, teaching exercises and extracurricular assistance cannot be optimal because most of the implementation is online. And the indicators for the assessment of components and weights of the PLP assessment consist of: 10% attendance on campus and schools and 40% Oral Examination by PLP supervisors.
Keywords: Introduction to School Fields; FKIP; Colleges",archive,2021-11-11 08:48:34,[{'url': 'https://ijmmu.com/index.php/ijmmu/article/view/2831'}],8,8,show,https://ijmmu.com/index.php/ijmmu/article/view/2831,Implementation of the Introduction to the School Field at FKIP University of Lampung,36180,published,,,,,,2364-5369,,,,,,,
4,,2022-01-25 07:17:35,2022-01-25 07:17:35,19811,http://repository.lppm.unila.ac.id/id/eprint/38299,public,,pub,,"Program Studi Pendidikan Fisika, FKIP, Unila","[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159361', 'docid': 159361, 'main': 'Review_JPF_Lengkap.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/434441', 'objectid': 159361, 'filename': 'Review_JPF_Lengkap.pdf', 'hash': 'e65313f031a102dc3cb05fc5fcf8a6c6', 'hash_type': 'MD5', 'mtime': '2022-01-25 04:11:59', 'mime_type': 'application/pdf', 'fileid': 434441, 'filesize': 631548, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 38299, 'placement': 1, 'security': 'public'}]",['FKIP19'],other,2021-07-14 00:00:00.000000000,disk0/00/03/82/99,,"[{'id': 'hervin.maulina@fkip.unila.ac.id', 'name': {'given': 'Hervin', 'family': 'Maulina', 'honourific': None, 'lineage': None}}, {'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'given': 'Abdurrahman', 'honourific': None, 'family': 'Abdurrahman', 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Sukamto', 'given': 'Ismu'}, 'id': 'ismusukamto.11@gmail.com'}]",['L1'],"Computational Thinking (CT) skill is the ability to solve problems with computer thinking. In addition, CT can be seen as a structured and systematic approach that can be implemented in learning. This study aims to bring the computational thinking approach to the non-computer science student’s class and involved 35 undergraduate students of physics education in the computational physics course. The research method used was the mixed method sequential explanatory design (Creswell & Plano Clark, 2011), with the following design. Broadly speaking, the flow of the mixed method research method with an explanatory sequential design in this study includes the collection of quantitative data obtained from student self-evaluation instruments related to the understanding of the CT approach stage. The results showed that the Computational Thinking (CT) approach can be applied to non-computer science students in online learning which includes 6 stages of implementation and 6 stages of implementation. Other results indicate that this method can be used in improving student CT skills.",archive,2022-01-25 07:17:35,"[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/JPF/index', 'type': 'pub'}]",,7,show,http://jurnal.fkip.unila.ac.id/index.php/JPF/article/view/22587,Hasil Review : How to Bring Computational Thinking Approach to The Non-Computer Science Student’s Class???,38299,published,,Jurnal Pembelajaran Fisika,,,,,10.23960/jpf.v9.n1.202109,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV', 'name': {'given': 'Lungit', 'family': 'Wicaksono', 'honourific': None, 'lineage': None}}, {'type': 'http://www.loc.gov/loc.terms/relators/REV', 'name': {'lineage': None, 'family': 'Mujiyati', 'honourific': None, 'given': 'Mujiyati'}}]",,,,,
5,43-47,2021-11-18 01:21:45,2021-11-18 01:21:45,3045,http://repository.lppm.unila.ac.id/id/eprint/36943,none,TRUE,pub,1,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,,['FKIP19'],article,2021-10-01 00:00:00.000000000,disk0/00/03/69/43,Jurnal Ilmu-Ilmu Agribisnis,"[{'id': 'ana.mentari@fkip.unila.ac.id', 'name': {'given': 'Ana', 'lineage': None, 'honourific': None, 'family': 'Mentari'}}]",['L1'],b,archive,2021-11-18 01:21:45,"[{'type': 'pub', 'url': 'https://ejournal.umm.ac.id/index.php/jurnalcivichukum/article/view/13907'}]",6,5,show,https://ejournal.umm.ac.id/index.php/jurnalcivichukum/article/view/13907,a,36943,published,,,,,,2337 7070,,"[{'id': 'ana.mentari@fkip.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Ana', 'honourific': None, 'family': 'Mentari', 'lineage': None}}, {'name': {'family': None, 'honourific': None, 'lineage': None, 'given': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': None}]",,,,,
6,,2021-12-14 07:15:37,2021-12-14 07:15:37,19245,http://repository.lppm.unila.ac.id/id/eprint/37303,public,TRUE,pub,,,"[{'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 37303, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158207', 'format': 'text', 'pos': 1, 'files': [{'fileid': 426942, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'hash_type': 'MD5', 'mtime': '2021-12-14 04:15:03', 'filename': 'ARTIKEL PENELITIAN DI SMKN 1 TULANG BAWANG TENGAH.docx', 'hash': 'a597c7bd76a1de0bb8218ac9eb0dc245', 'datasetid': 'document', 'filesize': 117980, 'objectid': 158207, 'uri': 'http://repository.lppm.unila.ac.id/id/file/426942'}], 'main': 'ARTIKEL PENELITIAN DI SMKN 1 TULANG BAWANG TENGAH.docx', 'docid': 158207}]",['FKIP19'],article,2021-12-14 00:00:00.000000000,disk0/00/03/73/03,EVELOPMENT OF DIGITAL-BASED STUDENT WORKSHEETS ON ANTI-CORRUPTION SUBJECTS AT SMKN 1 TULANG BAWANG TENGAH,"[{'id': 'saudinsaudin@yahoo.co.id', 'name': {'family': 'Mualimin', 'honourific': None, 'lineage': None, 'given': 'Mualimin'}}, {'id': 'ade.imelda@fkip.unila.ac.id', 'name': {'given': 'Ade Imelda', 'lineage': None, 'honourific': None, 'family': 'Frimayanti'}}, {'id': 'dayurika.perdana@fkip.unila.ac.id', 'name': {'family': 'Perdana', 'honourific': None, 'lineage': None, 'given': 'Dayu Rika'}}]",['L1'],"Corruption is a criminal act which is still a scourge for all countries in the world, including Indonesia. The lack of awareness of the Indonesian public regarding the value of honesty has made corruption an appropriate act. In addition, the Covid-19 pandemic that entered Indonesia posed a challenge for teachers to create fun and easy-to-understand learning by utilizing technology. One of them is anti-corruption education which can be provided to students by utilizing various websites and applications. The need for action from an early age on the dangers of corruption with outreach to students, especially with anti-corruption education that is applied to schools. Anti-corruption education aims to provide understanding or awareness to the intended subject regarding the dangers and impacts of corruption, both in formal and non-formal environments. The study of this article emphasizes the formal environment, namely SMKN 1 Tulang Bawang Tengah with the provision of provision of socialization about anti-corruption education and an evaluation of the process and results carried out through digital-based Student Worksheets.

Keywords: Education, Anti-Corruption, Digital-Based Student Worksheets.",archive,2021-12-14 07:15:37,,,9,show,,DEVELOPMENT OF DIGITAL-BASED STUDENT WORKSHEETS ON ANTI-CORRUPTION SUBJECTS AT SMKN 1 TULANG BAWANG TENGAH,37303,published,,,,,,,,"[{'id': 'saudinsaudin@yahoo.co.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Mualimin', 'lineage': None, 'family': 'Mualimin', 'honourific': None}}, {'id': 'ade.imelda@fkip.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Ade Imelda', 'lineage': None, 'family': 'Frimayanti', 'honourific': None}}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'dayurika.perdana@fkip.unila.ac.id', 'name': {'given': 'Dayu Rika', 'lineage': None, 'honourific': None, 'family': 'Perdana'}}]",,,,,
7,,2022-01-31 01:18:15,2022-01-31 01:18:15,531,http://repository.lppm.unila.ac.id/id/eprint/38679,public,TRUE,pub,,Graha Ilmu,"[{'security': 'public', 'placement': 1, 'eprintid': 38679, 'content': 'published', 'mime_type': 'application/pdf', 'language': 'id', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/437393', 'objectid': 159784, 'filesize': 703318, 'datasetid': 'document', 'mtime': '2022-01-28 11:16:28', 'hash_type': 'MD5', 'filename': 'Buku Pembelajaran PKN SD.pdf', 'hash': 'f7d34425e3c343b8654bda54b8338328', 'fileid': 437393, 'mime_type': 'application/pdf'}], 'docid': 159784, 'main': 'Buku Pembelajaran PKN SD.pdf', 'formatdesc': 'Buku Pembelajaran PKN SD', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159784', 'format': 'text', 'pos': 1}, {'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 38679, 'security': 'public', 'placement': 2, 'format': 'text', 'pos': 2, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159785', 'docid': 159785, 'main': 'Buku Pembelajaran PKN SD.pdf', 'files': [{'objectid': 159785, 'uri': 'http://repository.lppm.unila.ac.id/id/file/437395', 'mime_type': 'application/pdf', 'fileid': 437395, 'filename': 'Buku Pembelajaran PKN SD.pdf', 'hash': 'f7d34425e3c343b8654bda54b8338328', 'hash_type': 'MD5', 'mtime': '2022-01-28 11:20:18', 'datasetid': 'document', 'filesize': 703318}]}]",['FKIP19'],book,1970-01-01 00:00:00.000002021,disk0/00/03/86/79,,"[{'id': 'dayurika.perdana@fkip.unila.ac.id', 'name': {'given': 'Dayu Rika', 'lineage': None, 'family': 'Perdana', 'honourific': None}}, {'name': {'given': 'Muhammad Mona', 'honourific': None, 'family': 'Adha', 'lineage': None}, 'id': 'mohammad.monaadha@fkip.unila.ac.id'}, {'name': {'given': 'RAPANI', 'lineage': None, 'family': 'RAPANI', 'honourific': None}, 'id': 'rapani@fkip.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Habibi', 'honourific': None, 'given': 'Roy Kembar'}, 'id': 'rhabibi615@gmail.com'}]",['L1'],,archive,2022-01-31 01:18:15,,,9,show,,PEMBELAJARAN PENDIDIKAN KEWARGANEGARAAN SEKOLAH DASAR,38679,published,978-602-5584-84-8,Yogyakarta,,,,,,,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",153.0,mohammad.monaadha@fkip.unila.ac.id,,
8,,2023-04-18 05:40:57,2023-04-18 05:40:57,19245,http://repository.lppm.unila.ac.id/id/eprint/50636,public,TRUE,pub,,Graha Ilmu,"[{'files': [{'fileid': 545801, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-04-18 04:23:33', 'filename': 'Pembelajaran PKN SD.pdf', 'hash': '12fd17e178e24566034b7635cd3d3cd8', 'datasetid': 'document', 'filesize': 1003022, 'objectid': 190338, 'uri': 'http://repository.lppm.unila.ac.id/id/file/545801'}], 'main': 'Pembelajaran PKN SD.pdf', 'docid': 190338, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190338', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 50636, 'language': 'en', 'mime_type': 'application/pdf'}]",['FKIP19'],book,2021-10-01 00:00:00.000000000,disk0_bak/00/05/06/36,,"[{'id': 'dayurika.perdana@fkip.unila.ac.id', 'name': {'given': 'Dayu Rika', 'honourific': None, 'family': 'Perdana', 'lineage': None}}, {'name': {'given': 'Muhammad Mona', 'honourific': None, 'family': 'Adha', 'lineage': None}, 'id': 'mohammad.monaadha@fkip.unila.ac.id'}, {'id': 'rapani@fkip.unila.ac.id', 'name': {'given': 'RAPANI', 'lineage': None, 'honourific': None, 'family': 'RAPANI'}}, {'id': 'rhabibi615@gmail.com', 'name': {'honourific': None, 'family': 'Habibi', 'lineage': None, 'given': 'Roy Kembar'}}]",['L1'],,archive,2023-04-18 05:40:57,,,7,show,https://grahailmu.id/media-akademi/produk/pembelajaran-pendidikan-kewarganegaraan-sekolah-dasar/,Pembelajaran PKn SD,50636,published,978-602-5584-84-8,Media Akademi,,,,,,,,,,,
9,1-8,2022-04-11 01:04:07,2022-04-11 01:04:07,19245,http://repository.lppm.unila.ac.id/id/eprint/41187,public,TRUE,pub,8,Jurnal Kognisi,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/162657', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/457052', 'objectid': 162657, 'filesize': 292335, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2022-04-09 00:17:20', 'filename': '510-Article Text-1244-1-10-20220218.pdf', 'hash': '47cfe5f57aa641d10b445cebf66d54a5', 'fileid': 457052, 'mime_type': 'application/pdf'}], 'docid': 162657, 'main': '510-Article Text-1244-1-10-20220218.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 41187}]",['FKIP19'],article,2021-08-01 00:00:00.000000000,disk0/00/04/11/87,Jurnal Penelitian Pendidikan Sekolah Dasar,"[{'id': 'dayurika.perdana@fkip.unila.ac.id', 'name': {'given': 'Dayu Rika', 'honourific': None, 'family': 'Perdana', 'lineage': None}}, {'id': None, 'name': {'given': 'Indah', 'honourific': None, 'family': 'Mujiati', 'lineage': None}}]","['AI', 'H1', 'L1']","Tujuan penelitian ini untuk mendeskripsikan dan menganalisis hubungan pola asuh orang tua dan minat belajar dengan hasil belajar. Jenis penelitian yaitu ex-post facto korelasi. Populasi penelitian berjumlah 170 peserta didik. Penentuan sampel menggunakan teknik probability sampling yaitu proporsionate stratified random sampling. Hasil penelitian menunjukkan pertama, terdapat hubungan yang positif dan signifikan antara pola asuh orang tua dengan hasil belajar tematik peserta didik kelas IV SD Negeri se-Gugus Merpati Kecamatan Metro Utara. Hubungan tersebut ditunjukkan dengan koefisien korelasi sebesar 0,695 dengan kontribusi variabel sebesar 48,30% berada pada kriteria “tinggi”. Kedua, terdapat hubungan yang positif dan signifikan antara minat belajar dengan hasil belajar tematik peserta didik  ditunjukkan dengan koefisien korelasi sebesar dengan kontribusi variabel sebesar 41,09%. Ketiga, terdapat hubungan yang positif dan signifikan antara pola asuh orang tua dan minat belajar secara bersama-sama dengan hasil belajar tematik, ditunjukkan dengan koefisien korelasi sebesar 0,717 dengan kontribusi variabel sebesar 51,41 % berada pada kriteria “tinggi”",archive,2022-04-11 01:04:07,,1,8,show,https://journal.actual-insight.com/index.php/kognisi/article/view/510,Hubungan Pola Asuh Orang Tua dan Minat Belajar dengan Hasil Belajar Tematik Peserta Didik,41187,published,,,,,,,,,,,,,
