,status_changed,eprint_status,subjects,abstract,title,rev_number,metadata_visibility,eprintid,lastmod,userid,datestamp,ispublished,documents,uri,full_text_status,refereed,type,divisions,publication,creators,dir,issn,publisher,corp_creators,funders,number,official_url,volume,date_type,place_of_pub,related_url,pagerange,id_number,contact_email,contributors,event_location,event_title,event_type,event_dates,pres_type,succeeds,referencetext
0,2022-08-22 01:39:55,archive,['TJ'],"Solar panel can act as a medium for transforming sunlight into electrical energy.
Nevertheless, not all of the sunlight received on this device can be converted into electrical
energy and the remainder will be dissipated into thermal energy. If a solar panel is continuously
exposed to the sun, so its temperature will increase and thereby reduce its electrical efficiency.
To deal with the issue, it may combine a PV panel with a thermal collector which is called a
hybrid PV/T collector. Furthermore, in the present study the effects of fluid flow direction and
mass flow rate on the thermal and electrical efficiency of the PV/T collectors are extensively
analyzed. Single and double pass collectors with rectangular plate fin absorber were attached to
backside of the PV panel. They were tested using a solar simulator with different flow rate
ranging between 0.01 and 0.05 kg/s of the working fluid. The results show that the use of double
pass PV/T air collector increase its performance compared with the single pass one. The highest
values obtained from this type collector are found to be 73.23% in the thermal efficiency and
10.16% in the electrical efficiency with the working fluid mass flow rate of 0.048 kg/s.","Performance comparison of single and double
pass PV/T solar collectors integrated with
rectangular plate fin absorber",6,show,44171,2022-08-22 01:39:55,716,2022-08-22 01:39:55,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 44171, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166222', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/480202', 'objectid': 166222, 'filename': 'Amrizal_2021_IOP_Conf._Ser.__Mater._Sci._Eng._1173_012023.pdf', 'hash': '11b50f53663adb2c7ea43e347e138c70', 'hash_type': 'MD5', 'mtime': '2022-08-21 09:12:09', 'mime_type': 'application/pdf', 'fileid': 480202, 'filesize': 781748, 'datasetid': 'document'}], 'main': 'Amrizal_2021_IOP_Conf._Ser.__Mater._Sci._Eng._1173_012023.pdf', 'docid': 166222}]",http://repository.lppm.unila.ac.id/id/eprint/44171,public,TRUE,article,['FT7'],IOP Conference Series: Materials Science and Engineering,"[{'name': {'lineage': None, 'family': 'Amrizal', 'honourific': None, 'given': 'Amrizal'}, 'id': 'amrizal@eng.unila.ac.id'}, {'id': 'Hidayat', 'name': {'lineage': None, 'family': 'Yandi', 'honourific': None, 'given': 'P'}}, {'id': None, 'name': {'given': 'Irsyad', 'family': 'Muhammad', 'honourific': None, 'lineage': None}}]",disk0/00/04/41/71,,,,,,,,,,,,,,,,,,,,,
1,2022-11-28 07:44:53,archive,['TJ'],,"Studi Eksperimental Sudut Nosel Dan Sudut Sudu
Terhadap Kinerja Turbin Cross-flow",6,show,46972,2022-11-28 07:44:54,716,2022-11-28 07:44:54,pub,"[{'eprintid': 46972, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': 'Mafrudin Mechanical 2017.pdf', 'docid': 185915, 'files': [{'datasetid': 'document', 'filesize': 978372, 'fileid': 516457, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-11-28 07:26:30', 'hash': '8a4c07b2c90e2d61c2564d1fd15eb8a1', 'filename': 'Mafrudin Mechanical 2017.pdf', 'objectid': 185915, 'uri': 'http://repository.lppm.unila.ac.id/id/file/516457'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185915'}]",http://repository.lppm.unila.ac.id/id/eprint/46972,public,TRUE,article,['FT7'],Mechanical Jurnal Ilmiah Teknik Mesin,"[{'id': 'amrul@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Amrul', 'honourific': None, 'given': 'Amrul'}}, {'id': 'amrizal@eng.unila.ac.id', 'name': {'given': 'Amrizal', 'honourific': None, 'family': 'Amrizal', 'lineage': None}}]",disk0/00/04/69/72,2087-1880,Jurusan Teknik Mesin Universitas Lampung,['Mafrudin'],,,,,,,,,,,,,,,,,,
2,2017-11-16 04:58:31,archive,['TJ'],"Torefaksi adalah salah satu metode pengolahan sampah melalui proses termal menjadi bahan bakar padat berkualitas setara batubara subbituminus. Untuk mendapatkan bahan bakar padat dari proses torefaksi sampah dalam jumlah yang cukup besar perlu dikembangkan sebuah sistem torefaksi kontinu. Jenis reaktor yang dikembangkan adalah reaktor kontinu tipe tubular dengan sistem pemanas selimut fluida (fluid jacket heater). Dalam penelitian ini dilakukan simulasi untuk menentukan temperatur input yang sesuai untuk mendapatkan temperatur reaktor sebesar 275–300oC. Material yang digunakan untuk reaktor adalah carbon steel AISI 1045 dengan dimensi; diameter screw 195 mm, jarak pitch 100 mm, diameter tabung 203 mm dan panjang reaktor 1600 mm. Analisis keseimbangan energi menunjukkan bahwa kebutuhan panas untuk proses torefaksi ini adalah sebesar 1,27 kW. Untuk temperatur dalam reaktor sebesar 275oC didapatkan temperatur luar sebesar 311oC. Simulasi untuk membuat permodelan 3D dan sistem pemanas selimut tabung fluida (molten salt) menggunakan perangkat lunak Solidworks.",SIMULASI TERMAL REAKTOR TOREFAKSI KONTINU TIPE TUBULAR UNTUK PRODUKSI BAHAN BAKAR PADAT DARI SAMPAH KOTA,13,show,5579,2017-11-16 04:58:31,693,2017-11-16 04:58:31,inpress,"[{'eprintid': 5579, 'placement': 1, 'security': 'public', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'id', 'content': 'accepted', 'main': 'Makalah Prosiding SNTTM XVI 2017.docx', 'docid': 18529, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/52268', 'objectid': 18529, 'mtime': '2017-11-15 07:30:38', 'hash_type': 'MD5', 'hash': '2e7b386f8c993a30433e9db2838eb003', 'filename': 'Makalah Prosiding SNTTM XVI 2017.docx', 'fileid': 52268, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'filesize': 990077, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18529', 'formatdesc': 'Makalah Prosiding SNTTM XVI 2017'}]",http://repository.lppm.unila.ac.id/id/eprint/5579,public,TRUE,article,['FT7'],Prosiding Seminar Nasional Tahunan Teknik Mesin XVI tahun 2017,"[{'id': 'amrul@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Amrul', 'honourific': None, 'given': 'Amrul'}}, {'name': {'given': 'Fariz', 'lineage': None, 'honourific': None, 'family': 'Muhammad'}, 'id': 'basefmuhammadfariz@gmail.com'}, {'id': 'indra.mamad@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Indra Mamad', 'lineage': None, 'given': 'Gandidi'}}]",disk0/00/00/55/79,,,,['Kemenristekdikti dan LPPM Unila'],,,,,,,,,,,,,,,,,
3,2022-11-14 03:25:15,archive,['TJ'],"PV panel connected within both fins and TEG that is well known as a PV/T-TEG system. The system increases the electrical efficiency affected by the thermal collector and contributes to additional electricity due to the temperature difference of the TEG sides. However, optimizing the thermal performance of the system involved the geometry parameters and operating conditions, it still requires many combinations of factors and levels. In the present study, Taguchi Method with five factors, three levels, and two responses is then implemented to reduce the number of combinations which are related to fin geometry, air mass flow rate and solar irradiation under different operating conditions. Air as a working fluid is applied with the inlet fluid temperature based on the tropical climate in Indonesia. The two responses are needed to be lower in temperature of the PV panel and higher in temperature difference of TEG sides respectively. Furthermore, Computational Fluid Dynamics (CFD) method is applied as an approach to generate the responses numerically. The results revealed that the combinations of the geometric parameters and operating conditions for achieving the optimal PV temperature are found to be the full fin arrangement, fin height of 75 mm, fin thickness of 3 mm, and air mass flow of 0.08 kg/s and heat absorbed of 400 W/m2. Thus, the combinations to obtain the optimal TEG temperature difference are staggered fin arrangement, fin height of 25 mm, fin thickness of 1 mm, the mass flow of 0.08 kg/s and heat absorbed of 800 W/m2. Additionally, the heat absorbed factor has the biggest impact on PV temperature change with the contribution of 47.57% of the total five factors. Meanwhile, fin arrangement is the factor that has the biggest impact on the temperature difference of TEG sides with a contribution of 33.31%.",Geometry Optimization of PV/T-TEG Collector under Different Operating Conditions Using CFD Simulation and Taguchi Method,7,show,46521,2022-11-14 03:25:15,716,2022-11-14 03:25:15,pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 46521, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185400', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/513083', 'objectid': 185400, 'hash': '9b36c561c6eca601f4ad9bfc3fcca035', 'filename': '4451-Article Text-20871-1-10-20220831.pdf', 'mtime': '2022-11-11 13:03:54', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 513083, 'filesize': 630977, 'datasetid': 'document'}], 'docid': 185400, 'main': '4451-Article Text-20871-1-10-20220831.pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/46521,public,TRUE,article,['FT7'],ENGINEERING JOURNAL,"[{'name': {'lineage': None, 'family': 'Angga', 'honourific': None, 'given': 'Darma P'}, 'id': 'angga.darma1013@students.unila.ac.id'}, {'id': 'amrizal@eng.unila.ac.id', 'name': {'given': 'Amrizal', 'family': 'Amrizal', 'honourific': None, 'lineage': None}}, {'name': {'family': 'Gusri', 'honourific': None, 'lineage': None, 'given': 'Akhyar'}, 'id': 'gusri.akhyar@eng.unila.ac.id'}]",disk0/00/04/65/21,,,,,,,,,,,,,,,,,,,,,
4,2022-06-12 11:34:17,archive,['TS'],"Palembapang mempunyai produk unggulan berupa asesoris cui, cincin dan produk rumah 
tangga berbahan batok kelapa. Usaha Kerajinan asesoris Batok kelapa yang dilakukan oleh 
kelompok masyarakat yang saat ini sedang mendapat perhatiaan dari pemerintah Daerah 
Lampung Selatan , namun masalah yang dihadapi adalah kualitas produk kerajinan kurang 
bagus, biaya produksi tinggi, jumlah produksi sedikit, proses produksi yang dilakukan tidak 
efisien, pemasaran belum berkembang dan menejemen pengelolaan belum effesien. Oleh 
karena itu perlu dilakukan usaha perbaikan dalam rangka peningkatan pengetahuan kelompok 
usaha kreatif ini. Permasalahan utama adalah 1) kualitas dan kapasitas produksi yang rendah, 
sehingga biaya produksi tinggi, 2) alat produksi yang masih sederhana, yaitu sebagian besar 
dikerjakan dengan manual, hal ini tidak efisien dan efektif. Pemasaran yang masih kurang 
berkembang. 
Metode yang digunakan adalah metode transfer teknologi Four in one untuk produksi asesoris, 
pelatihan dan pendampingan yang berguna untuk perbaikan mutu proses produksi, peningkatan 
pengelolaan dan penangan produk serta peningkatan pasar produk kreatif yang dapat 
memberikan pengetahuan untuk memperbaikan produk kerajinan batok kelapa. Untuk 
mengatasi masalah tersebut dilakukan introduksi/pengenalan dan cara menggunakan serta 
maintenens alat produksi Four in one yaitu alat potong, alat gerinda dan alat pengamplas yang 
dibuat dalam satu rangkaian alat. Begitu pula dengan proses perbaikan manejemen pemasaran.
Tujuan dari pengabdian ini adalah untuk meningkatkan profit dan memanfaatkan peluang 
usaha baru bagi kelompok pemuda di desa Pelembapang. Jumlah peserta yang ikut adalah 10
orang yang berasal dari kelompok Pemuda. Pelatihan dianggap berhasil jika 95 % peserta 
dapat menyelesaikan seluruh program pelatihan. Luaran yang dihasilkan adalah menghasilkan 
1 unit rangkaian teknologi produksi four in one untuk membuat kerajianan asesoris, 
peningkatan daya saing (kualitas, kuantitas, nilai tambah produk dan SDM, serta peningkatan 
penerapan IPTEK, dan perbaikan tata nilai masyarakat (Sosial).
Hasil yang diperoleh adalah pelatihan diikuti lebih dari 10 orang, ketercapaian keberhasilan 
program hanya 85%, penyerapan pembelajaran belum maksimal. Hal ini disebabkan karena 
pandemi dan diberlakukannya PPKM di Palembapang","MENINGKATKAN KUALITAS DAN KUANTITAS KERAJINAN 
ASESORIS BERBAHAN BATOK KELAPA SEBAGAI PRODUK 
UNGGULAN DESA PALEMBAPANG KECAMATAN
KALIANDA LAMPUNG SELATAN",6,show,42310,2022-06-12 11:34:17,528,2022-06-12 11:34:17,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 42310, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164015', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/465576', 'objectid': 164015, 'filesize': 642127, 'datasetid': 'document', 'mtime': '2022-06-10 09:22:43', 'hash_type': 'MD5', 'filename': '454-Article Text-1073-2-10-20220430.pdf', 'hash': 'deb359c78438f44c6fcf0719e445a2c9', 'fileid': 465576, 'mime_type': 'application/pdf'}], 'main': '454-Article Text-1073-2-10-20220430.pdf', 'docid': 164015}]",http://repository.lppm.unila.ac.id/id/eprint/42310,public,TRUE,article,['FT7'],Jurnal Pengabdian Kepada Masyarakat Ungu (,"[{'name': {'given': 'Hamni', 'honourific': None, 'family': 'Arinal', 'lineage': None}, 'id': 'arinal.hamni@yahoo.com'}, {'id': 'gusri.akhyar@eng.unila.ac.id', 'name': {'given': 'Akhyar', 'honourific': None, 'family': 'Gusri', 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'ridho', 'given': 'ulya'}, 'id': '-'}]",disk0/00/04/23/10,2715-9558,Universitas Asyiah Pringsewu,,,1,http://journal.aisyahuniversity.ac.id/index.php/Abdi/article/view/kualitasarinal,4,published,,,,,,,,,,,,,
5,2020-04-28 00:43:24,archive,['TA'],"High-temperature corrosion of aluminized-American Iron and Steel Institute (AISI) 1020 steel with sodium chloride (NaCl) and sodium sulphate (Naat 700◦C for 49 h. NaCl and Na2SO42SO4) deposits was studied using isothermal oxidization in a dry air environment deposits on the aluminide layer interfered with protective alumina/aluminium oxide (Al2O3) scale formation on the steel substrate. Chlorine and sulphur gases (Cl2g and S, respectively) released into the atmosphere corroded the protective Al2O3 layer. Corrosion of the Al2O3g layer was also due to local formation of iron oxide (Fe2O3). Fe2O3 growth is attributed to ferric chloride (FeCl3) vaporization. Sg diffusion into the Al scale via Al3+ vacancy defects led to the formation of aluminium sulphide on the aluminide layer surface. Cl and S consequently induced hot corrosion of the aluminized steel, thereby increasing cyclic oxychloridation and sulphidation rates at high temperatures.","High-temperature corrosion of aluminized-AISI 1020 steel with
NaCl and Na2SO4 deposits",7,show,19356,2020-04-28 00:43:24,1133,2020-04-28 00:43:24,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 19356, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32585', 'main': 'file Peer Review.pdf', 'docid': 32585, 'files': [{'filesize': 323355, 'datasetid': 'document', 'filename': 'file Peer Review.pdf', 'hash': '0c22cc4d5015dfc63202612ca20e6fe4', 'hash_type': 'MD5', 'mtime': '2020-04-27 08:31:59', 'mime_type': 'application/pdf', 'fileid': 161916, 'uri': 'http://repository.lppm.unila.ac.id/id/file/161916', 'objectid': 32585}]}]",http://repository.lppm.unila.ac.id/id/eprint/19356,public,,other,['FT7'],,"[{'id': 'mbruddin@eng.unila.ac.id', 'name': {'given': 'Mohammad', 'lineage': None, 'honourific': None, 'family': 'Badaruddin'}}, {'id': 'sugiyanto.1957@eng.unila.ac.id', 'name': {'given': 'Sugiyanto', 'lineage': None, 'honourific': None, 'family': 'Sugiyanto'}}, {'name': {'given': 'Dwi', 'lineage': None, 'honourific': None, 'family': 'Asmi'}, 'id': 'dwiasmi82@yahoo.com'}]",disk0/00/01/93/56,,https://www.ias.ac.in/article/fulltext/boms/043/0011,,,,https://www.ias.ac.in/article/fulltext/boms/043/0011,,,https://www.ias.ac.in/article/fulltext/boms/043/0011,,,,,,,,,,,,
6,2020-04-28 00:42:01,archive,['TA'],"High-temperature corrosion of aluminized-American Iron and Steel Institute (AISI) 1020 steel with sodium chloride (NaCl) and sodium sulphate (Naat 700◦C for 49 h. NaCl and Na2SO42SO4) deposits was studied using isothermal oxidization in a dry air environment deposits on the aluminide layer interfered with protective alumina/aluminium oxide (Al2O3) scale formation on the steel substrate. Chlorine and sulphur gases (Cl2g and S, respectively) released into the atmosphere corroded the protective Al2O3 layer. Corrosion of the Al2O3g layer was also due to local formation of iron oxide (Fe2O3). Fe2O3 growth is attributed to ferric chloride (FeCl3) vaporization. Sg diffusion into the Al scale via Al3+ vacancy defects led to the formation of aluminium sulphide on the aluminide layer surface. Cl and S consequently induced hot corrosion of the aluminized steel, thereby increasing cyclic oxychloridation and sulphidation rates at high temperatures.",High-temperature corrosion of aluminized-AISI 1020 steel with NaCl and Na2SO4 deposits,8,show,19352,2020-04-28 00:42:01,1133,2020-04-28 00:42:01,pub,"[{'eprintid': 19352, 'placement': 1, 'security': 'public', 'mime_type': 'text/rtf', 'language': 'en', 'docid': 32581, 'main': 'Similarity Artikel Badar, Sugi, Dwi.doc', 'files': [{'datasetid': 'document', 'filesize': 131214, 'fileid': 161885, 'mime_type': 'text/rtf', 'mtime': '2020-04-27 08:09:56', 'hash_type': 'MD5', 'filename': 'Similarity Artikel Badar, Sugi, Dwi.doc', 'hash': '2948a5097ef4bfdd97aeb7f0207ef0d2', 'objectid': 32581, 'uri': 'http://repository.lppm.unila.ac.id/id/file/161885'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32581'}]",http://repository.lppm.unila.ac.id/id/eprint/19352,public,,other,['FT7'],,"[{'name': {'family': 'Badaruddin', 'honourific': None, 'lineage': None, 'given': 'Mohammad'}, 'id': 'mbruddin@eng.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Sugiyanto', 'given': 'Sugiyanto'}, 'id': 'sugiyanto.1957@eng.unila.ac.id'}, {'name': {'given': 'Dwi', 'lineage': None, 'honourific': None, 'family': 'Asmi'}, 'id': 'dwiasmi82@yahoo.com'}]",disk0/00/01/93/52,,https://www.ias.ac.in/article/fulltext/boms/043/0011,,,,https://www.ias.ac.in/article/fulltext/boms/043/0011,,,https://www.ias.ac.in/article/fulltext/boms/043/0011,,,,,,,,,,,,
7,2019-04-29 07:14:33,archive,['TJ'],"The  low-cycle fatigue (LCF) behaviour of AISI 4140  steel  under annealed and  as-received conditions was  in- vestigated at room  temperature. The annealing treatment causes  a marked decrease in mechanical strength but an increase in plastic energy and  ductility. The annealing treatment of AISI 4140  steel signiﬁcantly increases the LCF resistance of the material. In addition, the steel exhibits a transitional behaviour from initial cyclic softening to  stable cyclic  hardening with  increasing strain amplitude. By contrast, the  as-received AISI 4140  steel  un- dergoes progressive cyclic  softening until  failure. Microstructural changes induced in the  annealed steel  cause near-Masing-type behaviour at  low  and  high  strain amplitudes. The  enhancement of the  LCF resistance of the annealed steel  is attributed to the  high  magnitude of the  compressive stress,  which is dependent on the  applied strain amplitude. A good  correlation of the  total  failure cycles  with  plastic strain and  elastic strain provides a precise equation model  for predicting the  LCF life of annealing-treated AISI 4140  steel.",Improvement of low-cycle fatigue resistance in AISI 4140 steel by annealing treatment,7,show,11329,2019-04-29 07:14:33,1133,2019-04-29 07:14:33,pub,"[{'docid': 24327, 'main': 'International Journal of Fatigue Volume 125 Badaruddin, M.; Sugiyanto, dkk.pdf', 'files': [{'filesize': 12552401, 'datasetid': 'document', 'hash': 'a5d065920c2fc0fa4ce75f3c81f78c5f', 'filename': 'International Journal of Fatigue Volume 125 Badaruddin, M.; Sugiyanto, dkk.pdf', 'hash_type': 'MD5', 'mtime': '2019-04-26 10:23:25', 'mime_type': 'application/pdf', 'fileid': 103098, 'uri': 'http://repository.lppm.unila.ac.id/id/file/103098', 'objectid': 24327}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24327', 'rev_number': 1, 'eprintid': 11329, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",http://repository.lppm.unila.ac.id/id/eprint/11329,public,TRUE,article,['FT7'],International Journal of Fatigue,"[{'id': 'mbruddin@eng.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Badaruddin', 'given': 'Mohammad'}}, {'id': 'sugiyanto.1957@eng.unila.ac.id', 'name': {'given': 'Sugiyanto', 'family': 'Sugiyanto', 'honourific': None, 'lineage': None}}, {'id': 'herryw22@gmail.com', 'name': {'given': 'Wardono', 'lineage': None, 'honourific': None, 'family': 'Herry'}}]",disk0/00/01/13/29,406–417,Elsevier,,,,http://www.elsevier.com/locate/ijfatigue,125,,,[{'url': 'http://www.elsevier.com/locate/ijfatigue'}],,,,,,,,,,,
8,2020-03-17 08:50:19,archive,['TJ'],"The high temperature corrosion of AISI 4130 steel can be increased by hot-dip aluminizing coating. The aluminized steel specimens with the deposit composition of 100/0, 30/70, 50/50, 70/30, and 0/100 (wt.%) NaCl/Na2SO4 were oxidized at 750 °C for 1-49 h periods. According to a parabolic rate constant (kp) value, the aluminized steel with deposit composition of 70/30 NaCl/Na2SO4 shows the highest kp value (3.71 × 10-11 g2cm- 4s-1), later followed by the kp value of 3.35 × 10-11 g2cm-4s-1 for 100/0 and the lowest kp value is 7.731 × 10-12 g2cm-4s-1 for 0/100. Whereas, the kp value for the aluminized steel without NaCl/Na2SO4 deposit is around 2.23 × 10-13 g2cm-4s-1. The presence of both salts and their mixtures destroyed protective Al2O3 layer on the aluminized steel, leading to the Fe2O3 growth locally. Whereas, the penetration of sulfur into the Al2O3 scale lead to the formation of Al2S3 and FeS in the aluminide coating. Therefore, the kinetics rate was increased. Furthermore, mixtures of 70 wt. % NaCl in Na2SO4 depositing on the aluminized steel produced the highest parabolic rate constant because the aluminide layer on the steel substrate experienced severe corrosion attack, leading to fail in formation of protective Al2O3 layer.",High Temperature Corrosion of Aluminized AISI 4130 Steel with the Different Composition of NaCl/Na2SO4 Deposits,8,show,18740,2020-03-17 08:50:19,451,2020-03-17 08:50:19,pub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/31925', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/pdf', 'fileid': 157352, 'hash': '3a7521047005499035a4096fe8e1112f', 'filename': '3136-703-1-SM.pdf', 'mtime': '2020-03-16 06:05:09', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 1831918, 'objectid': 31925, 'uri': 'http://repository.lppm.unila.ac.id/id/file/157352'}], 'main': '3136-703-1-SM.pdf', 'docid': 31925, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 18740}]",http://repository.lppm.unila.ac.id/id/eprint/18740,public,TRUE,article,['FT7'],Makara Journal of Technology,"[{'name': {'given': 'Mohammad', 'family': 'Badaruddin', 'honourific': None, 'lineage': None}, 'id': 'mbruddin@eng.unila.ac.id'}, {'name': {'family': 'Wang', 'honourific': None, 'lineage': None, 'given': 'Chaur Chaur'}, 'id': 'cjwang@mail.ntust.edu.tw'}, {'name': {'lineage': None, 'family': 'Saputra', 'honourific': None, 'given': 'Yudhistyra'}, 'id': 'yudis@gmail.com'}, {'id': 'abkhalid@yahoo.com', 'name': {'given': 'Abdul Rouf Amarulloh', 'lineage': None, 'family': 'Khalil', 'honourific': None}}]",disk0/00/01/87/40,2355-2786,"Directorate of Research and Community Services, Universitas Indonesia",,,2,http://journal.ui.ac.id/technology/journal/index,19,published,,,45-50,10.7454/mst.v19i2.3033.,,,,,,,,,
9,2020-05-05 04:54:08,archive,['TA'],"The mechanical and the low cycle fatigue (LCF) properties of cold-drawn AISI 1018 steel (CDS 1018) with and without hot-dip aluminizing (HDA) coating had been experimentally investigated at room temperature. The tensile properties and the LCF properties were determined from tensile test results and cyclic strain-fatigue test results, respectively. The aluminide coating on the CDS 1018 significantly decreases the mechanical properties and the strain-fatigue life of the steel. With increasing in strain amplitude levels, CDS 1018 experienced continuously cyclic softening behaviour after cyclic loading in few cycles. By contrast, the cyclic softening of HAD steel was observed in few cycles and HDA steel continuously exhibits the stably cyclic hardening behaviour until failure. CDS 1018 with aluminide coating results the longer transition fatigue cycles (Nt) than those of CDS 1018 without aluminide coating by a factor of 3.0. CDS 1018 with HDA coating can be used for material components which the components are safely designed under cyclic loading below the yield strength of the material.",Low Cycle Fatigue Properties of Aluminizing Coating on Cold-Drawn AISI 1018 Steel,13,show,19445,2020-05-05 04:54:08,1133,2020-05-05 04:54:08,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 19445, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/162606', 'objectid': 32680, 'filesize': 358032, 'datasetid': 'document', 'mtime': '2020-05-05 04:18:24', 'hash_type': 'MD5', 'filename': 'Peer Review.pdf', 'hash': '14a5a3a32f6d27b70b334b6f1f613985', 'fileid': 162606, 'mime_type': 'application/pdf'}], 'main': 'Peer Review.pdf', 'docid': 32680, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32680', 'rev_number': 1, 'format': 'text', 'pos': 1}]",http://repository.lppm.unila.ac.id/id/eprint/19445,public,,other,['FT7'],,"[{'id': 'mbruddin@eng.unila.ac.id', 'name': {'given': 'Mohammad', 'lineage': None, 'honourific': None, 'family': 'Badaruddin'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'kurniawan', 'given': 'RD'}, 'id': None}, {'id': 'sugiyanto.1957@eng.unila.ac.id', 'name': {'given': 'Sugiyanto', 'lineage': None, 'family': 'Sugiyanto', 'honourific': None}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Pambudi', 'given': 'A'}}]",disk0/00/01/94/45,,IOP Publishing,,,,,,,,,,doi:10.1088/1757-899X/807/1/012019,,,,,,,,,
