,eprintid,title,official_url,rev_number,volume,metadata_visibility,status_changed,eprint_status,related_url,subjects,abstract,publication,creators,issn,dir,date,type,divisions,ispublished,number,documents,publisher,full_text_status,uri,refereed,lastmod,userid,datestamp,pagerange,referencetext,contact_email,date_type,id_number,patent_applicant,corp_creators,place_of_pub,pages,funders,book_title,contributors,projects,isbn,editors,pres_type,event_title,event_location,event_dates,event_type
0,23543,"Effectiveness of Blended Learning Model on Students Motivation and
Competency Level In Meteorology Climatology Subject",http://journal.unj.ac.id/unj/index.php/spatial/index,6,20.0,show,2020-08-06 05:56:23,archive,[{'url': 'http://journal.unj.ac.id/unj/index.php/spatial/article/view/14333'}],['G1'],"This study aims to see at student motivation arising from the application
of the blended learning model, student competencies formed due to the
application of the blended learning model, the effectiveness of the
application of the blended learning model in increasing student
motivation and competence in the meteorology climatology course, also
providing references for the use of the model blended learning to other
courses so that lectures can run effectively and efficiently. The method is a
quasi-experiment method. The sample was student on their first semester
in 2019 of the Geography Education Study Program in the Class of
Meteorology Climatology. The results of the study are as follows: 1) The
application of the blended learning model in the Climatology Meteorology
Course in Geography Education Study Program students influences
student motivation in learning. 2) The application of the blended learning
model in the Climatology Meteorology Course for Geography Education
Study Program students increases the level of student competency. 3) The
blended learning model is one of the effective learning models for
increasing student motivation and competence. This can be seen from the
formed student motivation and increased student competence. 4) The use
of the blended learning model can be applied to other subjects as an
alternative so that lectures can run effectively and efficiently.",Jurnal Spatial Wahana Komunikasi dan Informasi Geografi,"[{'id': 'annisa.salsabilla@fkip.unila.ac.id', 'name': {'given': 'Mrs', 'family': 'Annisa Salsabilla', 'honourific': None, 'lineage': None}}, {'name': {'honourific': None, 'family': 'Dian Utami', 'lineage': None, 'given': 'Mrs'}, 'id': 'dian.utami@fkip.unila.ac.id'}, {'id': 'listumbinang.halengkara@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Listumbinang Halengkara', 'honourific': None, 'given': 'Mr'}}]",2580-9830,disk0/00/02/35/43,2020-03-31 00:00:00.000000000,article,['FKIP18'],pub,1.0,"[{'security': 'public', 'placement': 1, 'eprintid': 23543, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 37170, 'uri': 'http://repository.lppm.unila.ac.id/id/file/215213', 'datasetid': 'document', 'filesize': 153497, 'fileid': 215213, 'mime_type': 'application/pdf', 'mtime': '2020-08-06 04:41:23', 'hash_type': 'MD5', 'filename': 'jurnal unj.pdf', 'hash': '49cb528d2205d1058035b7f79d1d383b'}], 'docid': 37170, 'main': 'jurnal unj.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/37170', 'rev_number': 1, 'format': 'text', 'pos': 1}]",UNJ,public,http://repository.lppm.unila.ac.id/id/eprint/23543,TRUE,2020-08-06 05:56:23,5092,2020-08-06 05:56:23,28-32,,,,,,,,,,,,,,,,,,,
1,23002,Effectiveness of Blended Learning Model on Students Motivation and Competency Level In Meteorology Climatology Subject,http://journal.unj.ac.id/unj/index.php/spatial/index,8,20.0,show,2020-08-06 04:26:56,archive,"[{'type': 'author', 'url': 'http://journal.unj.ac.id/unj/index.php/spatial/article/view/14333/8904'}]","['G1', 'L1']","This study aims to see at student motivation arising from the application of the blended learning model, student competencies formed due to the application  of  the  blended  learning  model,  the  effectiveness  ofthe application   of   the   blended   learning   model   in   increasing   student motivation and competence in the meteorology climatology course, also providing references for the  use of the model blended  learning to other courses so that lectures can run effectively and efficiently. The method is a quasi-experiment method. The sample was student on their first semester in  2019  of  the  Geography  Education  Study  Program  in  the  Class  of Meteorology  Climatology.The  results  of  the  study  are  as  follows:  1)  The application of the blended learning model in the Climatology Meteorology Course   in   Geography   Education   Study   Program   students   influences student motivation in learning. 2) The application of the blended learning model  in  the  Climatology  Meteorology  Course  for  GeographyEducation Study Program students increases the level of student competency. 3) The blended  learning  model  is  one  of  the  effective  learning  models  for increasing student motivation and competence. This can be seen from the formed student motivation and increased student competence. 4) The use of  the  blended  learning  model  can  be  applied  to  other  subjects  as  an alternative so that lectures can run effectively and efficiently.",Jurnal Spasial Wahana Komunikasi dan Informasi Geografi,"[{'name': {'lineage': None, 'family': 'Annisa Salsabilla', 'honourific': None, 'given': 'Mrs'}, 'id': 'annisa.salsabilla@fkip.unila.ac.id'}, {'name': {'given': 'Mrs', 'honourific': None, 'family': 'Dian Utami', 'lineage': None}, 'id': 'dian.utami@fkip.unila.ac.id'}, {'name': {'given': 'Mr', 'lineage': None, 'honourific': None, 'family': 'Listumbinang Halengkara'}, 'id': 'listumbinang.halengkara@fkip.unila.ac.id'}]",E-ISSN 2580 9830,disk0/00/02/30/02,2020-03-31 00:00:00.000000000,article,['FKIP18'],pub,1.0,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 23002, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/37169', 'rev_number': 1, 'docid': 37169, 'main': '14333-Article Text-37819-1-10-20200710.pdf', 'files': [{'objectid': 37169, 'uri': 'http://repository.lppm.unila.ac.id/id/file/215199', 'mime_type': 'application/pdf', 'fileid': 215199, 'hash': '4b981a945dd7e6893c596c4c33c5d8db', 'filename': '14333-Article Text-37819-1-10-20200710.pdf', 'mtime': '2020-08-06 04:10:36', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 155282}]}]",Universitas Negeri Jakarta,public,http://repository.lppm.unila.ac.id/id/eprint/23002,TRUE,2020-08-06 04:26:56,1242,2020-08-06 04:26:56,28-32,"Husamah  2014,    Pembelajaran  Bauran,    Prestasi Pustakara., Jakarta.Spencer,  L  &  Spencer,  SM  1993,  Competence  at Work,  Models  For  Superior  Performance, John Wiley & Sons, Inc., Canada.Staker,  H.,  &  Horn,  MB  2012,  Classifying  K-12 Blended Learning. Mountain View, Canada.Suharsimi,  A  2012,  Prosedur  Penelitian,  Rineka Cipta, Jakarta.",annisa.salsabilla@fkip.unila.ac.id,published,,,,,,,,,,,,,,,,
2,17635,Modul Pengetahuan Dasar Sistem Informasi Geografi,https://e-hakcipta.dgip.go.id/index.php/list/94460,7,,show,2020-02-17 03:37:55,archive,,['G1'],"Modul ini bertujuan membantu siswa memahami materi SIG, terutama dalam mengaplikasikan SIG untuk perencanaan pembangunan suatu wilayah, dll.",,"[{'name': {'given': 'Miswar', 'lineage': None, 'honourific': None, 'family': 'Dedy'}, 'id': 'de_miswar@yahoo.com'}, {'name': {'family': 'Sugeng', 'honourific': None, 'lineage': None, 'given': 'Widodo'}, 'id': 'sugeng.widodo@fkip.unila.ac.id'}, {'id': 'dian.utami@fkip.unila.ac.id', 'name': {'given': 'Utami', 'lineage': None, 'family': 'Dian', 'honourific': None}}, {'id': 'salsabilaramadhani@gmail.com', 'name': {'given': 'SR', 'family': 'Salsabila Ramadhania', 'honourific': None, 'lineage': None}}]",,disk0/00/01/76/35,2020-01-16 00:00:00.000000000,patent,['FKIP18'],pub,,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30773', 'docid': 30773, 'main': 'sertifikat_EC00202002038_SIG.pdf', 'files': [{'fileid': 148988, 'mime_type': 'application/pdf', 'mtime': '2020-01-20 07:18:05', 'hash_type': 'MD5', 'filename': 'sertifikat_EC00202002038_SIG.pdf', 'hash': 'fd6a602dd232effbb98964f5fa5b2e6f', 'datasetid': 'document', 'filesize': 772935, 'objectid': 30773, 'uri': 'http://repository.lppm.unila.ac.id/id/file/148988'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 17635, 'placement': 1, 'security': 'public'}]",,public,http://repository.lppm.unila.ac.id/id/eprint/17635,,2020-02-17 03:37:55,409,2020-02-17 03:37:55,,,,published,EC00202002038,"Dr. Freddy Harris, S.H., LL.M., ACCS.",,,,,,,,,,,,,,
3,17633,Pendidikan Mitigasi Bencana,https://e-hakcipta.dgip.go.id/index.php/list/94457,7,,show,2020-02-17 03:37:51,archive,,['G1'],"Tujuan pendidikan mitigasi bencana ini adalah untuk memberikan informasi kepada masyarakat yang berada di daerah rawan bencana, terutama untuk msayarakat Kecamatan Kelumbayan.",,"[{'name': {'lineage': None, 'family': 'Dedy', 'honourific': None, 'given': 'Miswar'}, 'id': 'de_miswar@yahoo.com'}, {'id': 'sugeng.widodo@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Sugeng', 'honourific': None, 'given': 'Widodo'}}, {'id': 'nani.suwarni@fkip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Nani', 'given': 'Suwarni'}}, {'id': 'amaliaanisafirbudi@gmail.com', 'name': {'family': 'Amalia Anisafira', 'honourific': None, 'lineage': None, 'given': 'Budi'}}]",,disk0/00/01/76/33,2020-01-16 00:00:00.000000000,patent,['FKIP18'],pub,,"[{'eprintid': 17633, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'sertifikat_EC00202002029_Pendidikan Mitigasi.pdf', 'docid': 30771, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/148973', 'objectid': 30771, 'filesize': 772781, 'datasetid': 'document', 'mtime': '2020-01-20 05:50:24', 'hash_type': 'MD5', 'hash': 'e268c39ff41cae348cfb57e6664145a2', 'filename': 'sertifikat_EC00202002029_Pendidikan Mitigasi.pdf', 'fileid': 148973, 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30771', 'rev_number': 1}]",,public,http://repository.lppm.unila.ac.id/id/eprint/17633,,2020-02-17 03:37:51,409,2020-02-17 03:37:51,,,,published,EC00202002029,"Dr. Freddy Harris, S.H., LL.M., ACCS.",,,,,,,,,,,,,,
4,17634,Pop Up Book ''Dinamika Planet Bumi Sebagai Ruang Kehidupan'',https://e-hakcipta.dgip.go.id/index.php/list/94459,8,,show,2020-02-17 03:37:53,archive,,['GB'],"Pop up Book ini bertujuan untuk membantu siswa dalam memahami materi dinamika planet bumi sebagai ruang kehidupan, bentuk pop up book ini tiga dimensi, sehingga siswa dapat melihat proses pembentukan dinamika planet bumi.",,"[{'name': {'given': 'Miswar', 'lineage': None, 'family': 'Dedy', 'honourific': None}, 'id': 'de_miswar@yahoo.com'}, {'name': {'given': 'ZULKARNAIN', 'honourific': None, 'family': 'ZULKARNAIN', 'lineage': None}, 'id': None}, {'id': 'pargito.1959@fkip.unila.ac.id', 'name': {'given': 'Pargito', 'family': 'Pargito', 'honourific': None, 'lineage': None}}, {'name': {'given': 'EAL', 'family': 'Eni Ayu Lestari', 'honourific': None, 'lineage': None}, 'id': 'enyayulestari@gmail.com'}]",,disk0/00/01/76/34,2020-01-16 00:00:00.000000000,patent,['FKIP18'],pub,,"[{'files': [{'hash': '087f9e7b6014d06e49e0f82d6c54f9cd', 'filename': 'sertifikat_EC00202002037_Pop Up Book.pdf', 'hash_type': 'MD5', 'mtime': '2020-01-20 06:54:07', 'mime_type': 'application/pdf', 'fileid': 148980, 'filesize': 772890, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/148980', 'objectid': 30772}], 'main': 'sertifikat_EC00202002037_Pop Up Book.pdf', 'docid': 30772, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30772', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 17634, 'mime_type': 'application/pdf', 'language': 'en'}]",,public,http://repository.lppm.unila.ac.id/id/eprint/17634,,2020-02-17 03:37:53,409,2020-02-17 03:37:53,,,,published,EC00202002037,"Dr. Freddy Harris, S.H., LL.M., ACCS.",,,,,,,,,,,,,,
5,27312,"Analisis Geospasial Perubahan Penggunaan Lahan
Sawah Berbasis LP2B Kecamatan Pagelaran Utara",http://dx.doi.org/10.23887/mkg.v21i2.27760,7,21.0,show,2021-01-14 06:51:50,archive,,"['G1', 'GE']","This study aims to analyze changes in paddy field use based on Sustainable Food
Agricultural Land (LP2B), the factors causing and the direction of land changes in Pagelaran Utara
District, Pringsewu Regency, Lampung Province. This research uses survey and overlapping
methods. The object of this research is paddy field which has turned into a settlement. Collecting
data in research using observation techniques, literature study, interviews, and documentation
supported by data from related agencies. The data analysis used in this research is descriptive
with a geospatial approach. The results of the study were: (1) There was a change of 16.08 ha of
paddy fields into settlements; (2) The factors causing changes in the use of paddy fields in North
Pagelaran District, Pringsewu Regency consist of physical and non-physical factors; and (3) The
direction of changing from paddy fields to settlements in North Pagelaran Subdistrict, Pringsewu
Regency is towards the East, with an elongated settlement pattern, namely following the highway.

Key words: Geospatial; Paddy Fields; LP2B

Penelitian ini bertujuan untuk menganalisis perubahan penggunaan lahan sawah
berbasis Lahan Pertanian Pangan Berkelanjutan (LP2B), faktor penyebab dan arah perubahan
lahan di Kecamatan Pagelaran Utara Kabupaten Pringsewu Propinsi Lampung. Penelitian ini
menggunakan metode survei dan tumpang susun. Objek dalam penelitian ini adalah lahan sawah
yang berubah menjadi permukiman. Pengumpulan data dalam penelitian menggunakan teknik
observasi, studi literatur, wawancara, dan dokumentasi yang didukung dengan data dari dinasdinas

terkait. Analisis data yang digunakan dalam penelitian ini adalah deskriptif dengan
pendekatan geospasial. Hasil dalam penelitian, yaitu: (1) Adanya perubahan lahan sawah seluas
16,08 ha menjadi permukiman; (2) Faktor penyebab terjadinya perubahan penggunaan lahan
sawah di Kecamatan Pagelaran Utara Kabupaten Pringsewu terdiri dari faktor fisik dan non fisik;
dan (3) Arah perubahan lahan sawah menjadi permukiman di Kecamatan Pagelaran Utara
Kabupaten Pringsewu mengarah ke Timur, dengan pola permukiman memanjang yaitu mengikuti
jalan raya. 
Kata kunci: Geospasial; Lahan Sawah; LP2B",Media Komunikasi geografi,"[{'id': 'dedy.miswar@fkip.unila.ac.id', 'name': {'given': 'DM', 'honourific': None, 'family': 'Dedy Miswar', 'lineage': None}}, {'name': {'given': 'GS', 'lineage': None, 'family': 'I Gede Sugiyanta', 'honourific': None}, 'id': 'igede.sugiyanta@fkip.unila.ac.id'}, {'id': 'yarmaidi@fkip.unila.ac.id', 'name': {'given': 'Y', 'lineage': None, 'honourific': None, 'family': 'Yarmaidi'}}]",P-ISSN 0216-8138 | E-ISSN 2580-0183,disk0/00/02/73/12,2020-12-01 00:00:00.000000000,article,['FKIP18'],pub,2.0,"[{'main': 'Analisis Geospasial Perubahan Penggunaan Lahan.pdf', 'docid': 41318, 'files': [{'datasetid': 'document', 'filesize': 307115, 'fileid': 244435, 'mime_type': 'application/pdf', 'mtime': '2021-01-14 06:41:17', 'hash_type': 'MD5', 'hash': '0c13807e1d63cd7215e1b641809705eb', 'filename': 'Analisis Geospasial Perubahan Penggunaan Lahan.pdf', 'objectid': 41318, 'uri': 'http://repository.lppm.unila.ac.id/id/file/244435'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41318', 'eprintid': 27312, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",FHIS UNDIKSHA dan IGI,public,http://repository.lppm.unila.ac.id/id/eprint/27312,TRUE,2021-01-14 06:51:50,409,2021-01-14 06:51:50,130-143,,,published,,,,,,,,,,,,,,,,
6,23091,Geographical Study of Regional Potential Geospatial Based on Pringsewu District,,8,18.0,show,2020-07-10 03:42:26,archive,,"['G1', 'GB']","Regional potential is the ability of an area in the form of resources that can be used, exploited, and taken advantage of for further development so that it can improve and create regional capabilities. This study aims to make the potential of the physical region contained in the Geospatial based Pringsewu Regency, and the potential of the social area contained in the Geospatial based Pringsewu Regency. The method used is descriptive with a spatial approach. The results of the study are physical and social spatial data of the region including: administration, rainfall, groundwater basins, rivers and watersheds, landforms, slope, soil type, contour and height lines, land use, road networks, land capability, landslides, floods , population, and population density, so that it can be used as a reference in regional development planning",La Geografia,"[{'name': {'honourific': None, 'family': 'Dedy Miswar', 'lineage': None, 'given': 'DM'}, 'id': 'dedy.miswar@fkip.unila.ac.id'}, {'name': {'given': 'GS', 'lineage': None, 'family': 'I Gede Sugiyanta', 'honourific': None}, 'id': 'igede.sugiyanta@fkip.unila.ac.id'}, {'id': 'yarmaidi@fkip.unila.ac.id', 'name': {'family': 'Yarmaidi', 'honourific': None, 'lineage': None, 'given': 'Y'}}]",1412-8187 e-ISSN: 2655-1284,disk0/00/02/30/91,2020-06-01 00:00:00.000000000,article,['FKIP18'],pub,3.0,"[{'main': 'jurnal lageografia_2020_Juni.pdf', 'docid': 36643, 'files': [{'hash_type': 'MD5', 'mtime': '2020-07-10 02:38:18', 'hash': '21cae0e584effa7762ac52b18d250c2f', 'filename': 'jurnal lageografia_2020_Juni.pdf', 'fileid': 211719, 'mime_type': 'application/pdf', 'filesize': 924795, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/211719', 'objectid': 36643}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36643', 'eprintid': 23091, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",La Geografia,public,http://repository.lppm.unila.ac.id/id/eprint/23091,TRUE,2020-07-10 03:42:26,409,2020-07-10 03:42:26,255-268,,,published,,,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",,,,,,,,,,,,,
7,43250,Peer Review: Geographical Study of Regional Potential Geospatial Based on Pringsewu District,https://ojs.unm.ac.id/Lageografia/article/view/13609/pdf,8,,show,2022-07-12 08:37:15,archive,,['G1'],"Regional potential is the ability of an area in the form of resources that can be used, exploited, and taken advantage of for further development so that it can improve and create regional capabilities. This study aims to make the potential of the physical region contained in the Geospatial based Pringsewu Regency, and the potential of the social area contained in the Geospatial based Pringsewu Regency. The method used is descriptive with a spatial approach. The results of the study are physical and social spatial data of the region including: administration, rainfall, groundwater basins, rivers and watersheds, landforms, slope, soil type, contour and height lines, land use, road networks, land capability, landslides, floods , population, and population density, so that it can be used as a reference in regional development planning",,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Dedy Miswar', 'given': 'DM'}, 'id': 'dedy.miswar@fkip.unila.ac.id'}, {'id': 'igede.sugiyanta@fkip.unila.ac.id', 'name': {'given': 'GS', 'lineage': None, 'family': 'I Gede Sugiyanta', 'honourific': None}}, {'id': 'yarmaidi@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Yarmaidi', 'lineage': None, 'given': 'Y'}}]",,disk0/00/04/32/50,2020-05-05 00:00:00.000000000,other,['FKIP18'],pub,,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 43250, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165110', 'rev_number': 1, 'main': 'review gegraphycal potential.pdf', 'docid': 165110, 'files': [{'mime_type': 'application/pdf', 'fileid': 472638, 'hash': 'df1917553afdf19c0199f14541bbf322', 'filename': 'review gegraphycal potential.pdf', 'mtime': '2022-07-12 05:41:38', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 190281, 'objectid': 165110, 'uri': 'http://repository.lppm.unila.ac.id/id/file/472638'}]}]",Jurusan Geografi FMIPA UNM,public,http://repository.lppm.unila.ac.id/id/eprint/43250,,2022-07-12 08:37:15,409,2022-07-12 08:37:15,,,,published,https://doi.org/10.35580/lageografia.v18i3.13609,,['Universitas Lampung'],La Gegrafia,,,,,,,,,,,,
8,41789,Peer Reviewer: Geographical Study of Regional Potential Geospatial Based on Pringsewu District,https://ojs.unm.ac.id/Lageografia/article/view/13609/pdf,7,,show,2022-05-31 06:54:45,archive,,['G1'],"Potensi wilayah adalah kemampuan suatu daerah yang berupa sumber daya yang bisa digunakan, dieksploitasi, dan diambil manfaatnya untuk dikembangkan secara lebih lanjut sehingga bisa meningkatkan dan menciptakan kemampuan wilayah yang memadai. Penelitian ini bertujuan untuk untuk membuat potensi wilayah fisik yang terdapat di Kabupaten Pringsewu berbasis geospasial, dan potensi wilayah sosial yang terdapat di Kabupaten Pringsewu berbasis geospasial. Metode yang digunakan adalah deskriptif dengan pendekatan spasial. Hasil penelitian berupa data spasial fisik dan sosial wilayah antara lain: administrasi, curah hujan, cekungan air tanah, sungai dan DAS, bentuklahan, kemiringan lereng, jenis tanah, garis kontur dan ketinggian, penggunaan lahan, jaringan jalan, kemampuan lahan, longsor, banjir, jumlah penduduk, dan kepadatan penduduk, sehingga dapat digunakan sebagai acuan dalam perencanaan pembangunan wilayah.",,"[{'id': 'dedy.miswar@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Dedy Miswar', 'honourific': None, 'given': 'DM'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'I Gede Sugiyanta', 'given': 'GS'}, 'id': 'igede.sugiyanta@fkip.unila.ac.id'}, {'id': 'yarmaidi@fkip.unila.ac.id', 'name': {'family': 'Yarmaidi', 'honourific': None, 'lineage': None, 'given': 'Y'}}]",,disk0/00/04/17/89,2020-06-05 00:00:00.000000000,other,['FKIP18'],pub,,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 41789, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163458', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/461637', 'objectid': 163458, 'filesize': 420640, 'datasetid': 'document', 'filename': 'Geographycal Study of Regional.pdf', 'hash': 'c4d760f394fe2aade370039f0532f981', 'mtime': '2022-05-24 08:06:03', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 461637}], 'main': 'Geographycal Study of Regional.pdf', 'docid': 163458}]",Jurusan Geografi FMIPA UNM,public,http://repository.lppm.unila.ac.id/id/eprint/41789,,2022-05-31 06:54:45,409,2022-05-31 06:54:45,,,,published,https://ojs.unm.ac.id/Lageografia/article/view/13609,,,,,,,,,,,,,,,
9,43248,Peer Review: Analisis Geospasial Perubahan Penggunaan Lahan Sawah Berbasis LP2B Kecamatan Pagelaran Utara,https://ejournal.undiksha.ac.id/index.php/MKG/article/view/27760/17281,7,,show,2022-07-12 08:37:10,archive,,['G1'],"This study aims to analyze changes in paddy field use based on Sustainable Food Agricultural Land (LP2B), the factors causing and the direction of land changes in Pagelaran Utara District, Pringsewu Regency, Lampung Province. This research uses survey and overlapping methods. The object of this research is paddy field which has turned into a settlement. Collecting data in research using observation techniques, literature study, interviews, and documentation supported by data from related agencies. The data analysis used in this research is descriptive with a geospatial approach. The results of the study were: (1) There was a change of 16.08 ha of paddy fields into settlements; (2) The factors causing changes in the use of paddy fields in North Pagelaran District, Pringsewu Regency consist of physical and non-physical factors; and (3) The direction of changing from paddy fields to settlements in North Pagelaran Subdistrict, Pringsewu Regency is towards the East, with an elongated settlement pattern, namely following the highway.",,"[{'id': 'dedy.miswar@fkip.unila.ac.id', 'name': {'family': 'Dedy Miswar', 'honourific': None, 'lineage': None, 'given': 'DM'}}, {'name': {'lineage': None, 'family': 'I Gede Sugiyanta', 'honourific': None, 'given': 'GS'}, 'id': 'igede.sugiyanta@fkip.unila.ac.id'}, {'name': {'family': 'Yarmaidi', 'honourific': None, 'lineage': None, 'given': 'Y'}, 'id': 'yarmaidi@fkip.unila.ac.id'}, {'id': None, 'name': {'family': 'Reno Deri Yasta', 'honourific': None, 'lineage': None, 'given': 'RDY'}}]",,disk0/00/04/32/48,2020-12-05 00:00:00.000000000,other,['FKIP18'],pub,,"[{'eprintid': 43248, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'docid': 165108, 'main': 'peer review analisis geospasial.pdf', 'files': [{'fileid': 472621, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-07-12 04:47:46', 'hash': '5fe3988cde06b5434cf679258bb46a6a', 'filename': 'peer review analisis geospasial.pdf', 'datasetid': 'document', 'filesize': 218874, 'objectid': 165108, 'uri': 'http://repository.lppm.unila.ac.id/id/file/472621'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165108'}]",Universitas Pendidikan Ganesha,public,http://repository.lppm.unila.ac.id/id/eprint/43248,,2022-07-12 08:37:10,409,2022-07-12 08:37:10,,,,published,http://dx.doi.org/10.23887/mkg.v21i2.27760,,['Universitas Lampung'],Media Komunikasi Geografi,,,,,,,,,,,,
