,datestamp,lastmod,userid,full_text_status,uri,refereed,ispublished,documents,pres_type,divisions,type,dir,creators,subjects,abstract,status_changed,eprint_status,event_type,rev_number,metadata_visibility,event_dates,title,event_title,eprintid,event_location,publisher,isbn,date_type,volume,place_of_pub,official_url,series,pages,number,corp_creators,publication,issn,id_number,pagerange,referencetext,related_url
0,2017-06-02 07:40:32,2017-06-02 07:40:32,140,public,http://repository.lppm.unila.ac.id/id/eprint/2511,TRUE,pub,"[{'files': [{'mtime': '2017-05-31 06:52:25', 'hash_type': 'MD5', 'filename': 'Ethnopedagogy Proceeding_Abdurrahman.pdf', 'hash': 'b8e97b4fa1a39636aec1427db4b10686', 'fileid': 17379, 'mime_type': 'application/pdf', 'filesize': 1975674, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/17379', 'objectid': 2396}], 'docid': 2396, 'main': 'Ethnopedagogy Proceeding_Abdurrahman.pdf', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2396', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 2511, 'content': 'published', 'mime_type': 'application/pdf', 'language': 'en'}]",paper,['FKIP2'],conference_item,disk0/00/00/25/11,"[{'name': {'family': 'Abdurrahman', 'honourific': None, 'lineage': None, 'given': 'Abdurrahman'}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Utaminingsih', 'given': 'Diah'}, 'id': 'diahutaminingsih@yahoo.co.id'}, {'name': {'given': 'Budi', 'lineage': None, 'honourific': None, 'family': 'Kadaryanto'}, 'id': 'kadaryanto@gmail.com'}, {'name': {'lineage': None, 'family': 'Saputra', 'honourific': None, 'given': 'Andrian'}, 'id': 'andriansaputra@fkip.unila.ac.id'}]","['BF', 'LB']","The frequent disaster events in Indonesia have been a major challenge for concerning more consideration on integrating disaster education curricula'. Models of Learning Community to enhance the students' disaster recovery and resilience have been criticized for not being embedded in the context of partnership between school and society. This paper highlighted an adapted Learning Community model, which the qualitative investigations indicated that it was potentially effective in facilitating students' disaster literacy, attitudes and skills for preparing post-disaster recovery and resilience in the context of learning community approach. The role shift needed to embed and extend the optimalization of teacher-parents involved in the school program that was achieved through the positive support and commitment of them in the engaging of schools program development.",2017-06-02 07:40:32,archive,conference,11,show,14 November 2015,The Learning Community Based Model In The Context Of Teacher-Parent Partnership For Preparing Post-Disaster Recovery And Resilience Of Elementary Student At Risk Area In Indonesia.,International Seminar on Ethnopedagogy,2511,Faculty of Teacher Training and Education Lambung Mangkurat University,,,,,,,,,,,,,,,,
1,2021-06-14 06:08:16,2021-06-14 06:08:16,815,public,http://repository.lppm.unila.ac.id/id/eprint/32548,,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 32548, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 147817, 'uri': 'http://repository.lppm.unila.ac.id/id/file/385204', 'datasetid': 'document', 'filesize': 1907140, 'mime_type': 'application/pdf', 'fileid': 385204, 'filename': 'Reviewer pada 2 jurnal internasional bereputasi.pdf', 'hash': 'e4579c7b47a98b8483c0aa54fa99744a', 'mtime': '2021-06-14 04:18:10', 'hash_type': 'MD5'}], 'docid': 147817, 'main': 'Reviewer pada 2 jurnal internasional bereputasi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/147817', 'rev_number': 1, 'format': 'text', 'pos': 1}]",,['FKIP2'],other,disk0/00/03/25/48,"[{'id': 'syarifuddin.d@fkip.unila.ac.id', 'name': {'given': 'Syarifuddin', 'lineage': None, 'honourific': None, 'family': 'Dahlan'}}]",['L1'],,2021-06-14 06:08:16,archive,,8,show,,REVIEWER PADA DUA JURNAL INTERNASIONAL BEREPUTASI,,32548,,FKIP Universitas Lampung,,,,,,,,,,,,,,,
2,2021-06-18 01:50:00,2021-06-18 01:50:00,815,public,http://repository.lppm.unila.ac.id/id/eprint/32655,,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148355', 'pos': 1, 'format': 'text', 'files': [{'objectid': 148355, 'uri': 'http://repository.lppm.unila.ac.id/id/file/386382', 'mime_type': 'application/pdf', 'fileid': 386382, 'filename': 'Permintaan reviewer, bukti review dan publikasi artike IJI_2019.pdf', 'hash': 'bf216e3abdb3b1f88f12b14e4db73dc5', 'hash_type': 'MD5', 'mtime': '2021-06-17 09:09:10', 'datasetid': 'document', 'filesize': 1192678}], 'docid': 148355, 'main': 'Permintaan reviewer, bukti review dan publikasi artike IJI_2019.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 32655}]",,['FKIP2'],other,disk0/00/03/26/55,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Dahlan', 'given': 'Syarifuddin'}, 'id': 'syarifuddin.d@fkip.unila.ac.id'}]",['L1'],,2021-06-18 01:50:00,archive,,7,show,,Reviewer pada International Journal of Instruction,,32655,,FKIP Universitas Lampung,,,,,,,,,,,,,,,
3,2020-12-16 01:53:38,2020-12-16 01:53:38,815,public,http://repository.lppm.unila.ac.id/id/eprint/4300,TRUE,pub,"[{'main': 'PROSIDING2013f.pdf', 'docid': 41126, 'files': [{'objectid': 41126, 'uri': 'http://repository.lppm.unila.ac.id/id/file/243066', 'fileid': 243066, 'mime_type': 'application/pdf', 'mtime': '2020-12-16 01:07:13', 'hash_type': 'MD5', 'filename': 'PROSIDING2013f.pdf', 'hash': '44345357d58938853f7e1b0918fc4002', 'datasetid': 'document', 'filesize': 320942}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/41126', 'rev_number': 2, 'formatdesc': 'Prosiding seminar nasional pendidikan', 'eprintid': 4300, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",,['FKIP2'],book,disk0/00/00/43/00,"[{'id': 'syarifuddin.d@fkip.unila.ac.id', 'name': {'family': 'Dahlan', 'honourific': None, 'lineage': None, 'given': 'Syarifuddin'}}]",['LB1603'],"Role of the vocational personality to determine individual’s succesfull in the his or her career is so long recognized. It has significant effect to job satisfiction of people career. Becase of that, helping the student to understand his or her vocational personality pattern is important part of the career counseling and guidance service in the schools. This study has investigated vocational personality pattern of the high school students according sexes: female and feminime, and study program: IPA and IPS classification to Holland’s category: Realistic, Investigative, Artistic, Social, Enterprising, and Conventional (RIASEC). Result of study was indicate that vocational personality type is diversities, both the pattern or subtypes of the female or feminime students. The general pattern of the student’s  vocational personality is IAR (Investigative, Artistic, Realistic). Further discussion of the researh findings are presented in this article.",2020-12-16 01:53:38,archive,,19,show,,"THE VOCATIONAL PERSONALITY PROFILE OF THE HIGH SCHOOL STUDENT:
A Classification According Holland’s Categories",,4300,,FKIP Universitas Lampung,978-979-3262-09-3,published,-,Bandar Lampung,http://repository.lppm.unila.ac.id/id/eprint/4300,5 Januari 2013,223.0,-,,,,,,,
4,2021-11-11 08:44:32,2021-11-11 08:44:32,815,public,http://repository.lppm.unila.ac.id/id/eprint/36170,,unpub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 36170, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157112', 'main': 'Syarifuddin D_FKIP_PKMU_Laporan Akhir.pdf', 'docid': 157112, 'files': [{'fileid': 418731, 'mime_type': 'application/pdf', 'mtime': '2021-11-11 08:17:23', 'hash_type': 'MD5', 'hash': 'ccb4e2f9c3d8ef118258121a465c1f6f', 'filename': 'Syarifuddin D_FKIP_PKMU_Laporan Akhir.pdf', 'datasetid': 'document', 'filesize': 1044399, 'objectid': 157112, 'uri': 'http://repository.lppm.unila.ac.id/id/file/418731'}]}]",,['FKIP2'],other,disk0/00/03/61/70,"[{'id': 'syarifuddin.d@fkip.unila.ac.id', 'name': {'given': 'Syarifuddin', 'honourific': None, 'family': 'Dahlan', 'lineage': None}}, {'name': {'given': 'Ranni', 'lineage': None, 'honourific': None, 'family': 'Rahmayanthi'}, 'id': 'ranni.rahmayanthi@fkip.unila.ac.id'}, {'id': 'mujiyati@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Mujiyati', 'lineage': None, 'given': 'Mujiyati'}}, {'name': {'given': 'Citra', 'honourific': None, 'family': 'Abriani Maharani', 'lineage': None}, 'id': None}]",['L1'],"PELATIHAN PENGGUNAAN INFORMASI DIRI DALAM KONSELING KARIER PADA GURU-GURU BIMBINGAN DAN KONSELING SEKOLAH MENENGAH DI KABUPATEN TANGGAMUS

Syarifuddin Dahlan, Citra Abrani M, Ranni Rahmayanthi Z, dan Mujiati

ABSTRAK

Guru Bimbingan dan Konseling (Guru BK) di sekolah dituntut agar terampil dalam menyediakan berbagai informasi yang diperlukan bagi layanannya, terutama informasi diri. Kegiatan pengabdian ini bertujuan ingin membekali peserta pelatihan suatu keterampilan menggunakan informasi diri, khususnya dalam konseling karier. 
Kegiatan telah dilaksanakan pada Tahun 2021 di Kabupaten Tanggamus dengan peserta 36 orang Guru BK sekolah menengah, baik dari negeri maupun swasta. Kegiatan pelatihan telah diawali dengan pemberian bekal cara penggunaan inventori dalam menjaring informasi diri, mulai dari pemahaman konsep dasar, petunjuk pelaksanaan, dan organisasi hasil yang siap digunakan dalam pelayanan konseling karier. Evaluasi atas kegiatan ini dilakukan dengan berorientasi proses dan hasil. Evaluasi hasil akan menggunakan Skala Keterampilan Konselor dalam penyelenggaraan konseling karier.
Secara umum hasil evaluasi kegiatan menunjukan bahwa semua peserta telah terlibat secara aktif pada seluruh rangkaian kegiatan pelatihan, baik ketika pembekalan materi maupun  praktik lapangan terbimbing. Selanjutnya, dengan menggunakan Skala Keterampilan Konseling (SKK) pada evaluasi hasil, diperoleh informasi bahwa pada umumnya peserta pelatihan sudah terampil dalam menggunakan informasi diri dalam konseling karier di sekolah menengah, khususnya dalam membantu siswa menemukan dan memantapkan rencana pilihan karier. Meskipun secara rerata skor keterampilan peserta ada pada kategori “Cukup Terampil”, namun dapat disimpulkan bahwa tujuan pelatihan ini telah tercapai.
Untuk tindak lanjut kegiatan pelatihan ini disarankan kepada peserta pelatihan agar (1) senantiasa mengaplikasikan keterampilan yang telah diperoleh, (2) mendalami materi penggunaan informasi diri dalam konseling karier  secara lebih jauh, (3) memperkenalkan cara layanan konseling karier ini kepada para pengambil kebijakan pendidikan, baik pada tingkat sekolah seperti para kepala sekolah maupun pada tataran dinas-dinas pendidikan. Upaya ini sangat berguna, selain untuk maksud sosialiasi, juga sekaligus untuk keperluan dukungan bagi aplikasi model konseling di lapangan. Bagi kegiatan pengabdian lanjutan disarankan agar pelatihan konseling semacam ini dilakukan secara berkelanjutan dengan khalayak sasaran yang diperluas sehingga dapat dikenakan kepada semua guru pembing yang ada di sekolah-sekolah menengah, baik sekolah menengah pertama maupun lanjutan. 

Kata kunci: Informasi diri, konseling karier, Guru BK, sekolah menengah.",2021-11-11 08:44:32,archive,,7,show,,"Pelatihan Penggunaan Informasi Diri dalam Konseling Karier pada  
  Guru-guru  Bimbingan dan Konseling Sekolah Menengah di 
  Kabupaten Tanggamus.",,36170,,Fakultas Keguruan dan Ilmu Pendidikan Unila,,,,,,,,,,,,,,,
5,2021-11-11 08:43:48,2021-11-11 08:43:48,815,public,http://repository.lppm.unila.ac.id/id/eprint/36153,,unpub,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 36153, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157094', 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/pdf', 'fileid': 418595, 'filename': 'Syarifuddin D_FKIP_PPr_Laporan Akhir.pdf', 'hash': 'ef994df2267b7dbbb9dda98a9d705a97', 'mtime': '2021-11-11 07:55:23', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 260774, 'objectid': 157094, 'uri': 'http://repository.lppm.unila.ac.id/id/file/418595'}], 'main': 'Syarifuddin D_FKIP_PPr_Laporan Akhir.pdf', 'docid': 157094}]",,['FKIP2'],other,disk0/00/03/61/53,"[{'id': 'syarifuddin.d@fkip.unila.ac.id', 'name': {'given': 'Syarifuddin', 'honourific': None, 'family': 'Dahlan', 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Sutiarso', 'given': 'Sugeng'}, 'id': 'sugeng.sutiarso@fkip.unila.ac.id'}, {'id': None, 'name': {'given': 'Rahmat', 'honourific': None, 'family': 'Hermawan', 'lineage': None}}, {'id': 'raja_pid@yahoo.com', 'name': {'given': 'Patuan', 'lineage': None, 'family': 'Raja', 'honourific': None}}]",['L1'],"Kriteria dan Prediksi Capaian Penjurusan Studi di SMA Berbasis
Kesesuaian Tipe Kepribadian - Kelompok Mata Pelajaran

Syarifuddin Dahlan, Sugeng Sutiarso, Rahmat Hermawan, Patuan Raja

ABSTRAK

Pemilihan jurusan studi di sekolah menengah menuntut adanya kecocokkan antara diri dan kelompok mata pelajaran pilihan siswa, namun hingga kini bukti emperik tentang pertimbangan efektif dalam penjurusan itu masih langka. Studi ini bertujuan ingin merumuskan kriteria penjurusan studi dan memeriksa nilai prediksi capaian belajar siswa SMA berbasis kesesuaian antara tipe kepribadian – kelompok mata pelajaran pilihan siswa. 
Penelitian dilaksanakan di sekolah menengah pada tahun 2021 menggunakan metoda korelasional kuwantitatif dengan sampel 145 orang siswa (IPA= 46; laki-laki & perempuan,  IPS= 48; laki-laki & perempuan, Bahasa= 25; laki-laki & perempuan, dan Agama= 26; laki-laki & perempuan). Data Tipe Kepribadian dijaring mengunakan IEKAD, sedangkan capaian belajar kelompok mata pelajaran siswa dikumpulkan melalui dokumentasi atas nilai raport mereka. Analisis dan perhitungan data penelitian secara kuwantitatif akan dilakukan menggunakan teknik analisis statistik dengan bantuan fasilitas SPSS.
Penelitian ini diharapkan menghasilkan suatu model penjurusan studi di SMA yang berupa kriteria pilihan bagi pola kepribadian dan kelompok mata pekajaran tertentu. Artikel hasil  penelitian akan dipresentasikan pada seminar tingkat universitas dan dipublikasikan pada jurnal internasional minimal terindeks SCOPUS Q3. Tingkat Kesiapan Teknologi luaran penelitian ini ada pada level 5
Penelitian menemukan bahwa skor tipe kepribadian siswa berpengaruh besar pada prestasi akademik kelompok mata pelajaran peminatan di SMA. Pengaruh setiap tipe pada masing-masing kelompok mata pelajaran peminatan beragam dan sangat berarti. Kombinasi tiga tipe kepribadian vokasional telah melahirkan suatu kriteria pelayanan penjurusan (peminatan kelompok mata pelajaran) di SMA. 
Hasil uji regresi kriteria semua kombinasi tersebut menunjukkan pengaruh yang sangat berarti. Disarankan kepada para peneliti untuk melakukan penelitian lanjutan yang serupa guna memantapkan temuan studi ini. Kepada para konselor sekolah disarankan untuk mempertimbangkan penggunaan kriteria penjurusan studi ini dalam pelayanan peminatan kelompok mata pelajaran siswa.  

Kata kunci: Tipe kepribadian, kelompok mata pelajaran, siswa, kriteria penjurusan.",2021-11-11 08:43:48,archive,,7,show,,"Kriteria dan Prediksi Capaian Penjurusan Studi di SMA Berbasis 
         Kesesuaian Tipe Kepribadian - Kelompok Mata Pelajaran",,36153,,Fakultas Keguruan dan Ilmu Pendidikan Unila,,,,,,,,,['Fakultas Keguruan dan Ilmu Pendidikan Unila'],,,,,,
6,2017-09-25 05:06:23,2017-09-25 05:06:23,228,restricted,http://repository.lppm.unila.ac.id/id/eprint/3955,TRUE,unpub,"[{'eprintid': 3955, 'placement': 1, 'security': 'validuser', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 3807, 'main': 'jurnalku.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/27652', 'objectid': 3807, 'filesize': 466151, 'datasetid': 'document', 'filename': 'jurnalku.pdf', 'hash': '145c8c35b8b1449215fa7a6631f51129', 'mtime': '2017-09-25 04:56:32', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 27652}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/3807', 'rev_number': 2}]",,['FKIP2'],article,disk0/00/00/39/55,"[{'name': {'honourific': None, 'family': 'EKA ANDRIYANTO', 'lineage': None, 'given': 'REDI'}}]",['BF'],"Abstract; The contribution of parental involvement, self concept in increasing the maturity of the students ' career choices. The purpose of this study was to describe the contribution of parental involvement and self concept of students career choices towards maturity. The population of this research is the final level students majoring in science education FKIP Unila with number of samples as much as 88 people with simple random sampling techniques.The research consists of three Data questionnaire; parental involvement, self concept and the maturity of the students career choices.  The data analysis done in a descriptive and for testing the hypotheses used simple regression analysis techniques and multiple regression. The results showed that 1) parental involvement contribute to the maturity of the students career choices, 2) concept of themselves contribute to the maturity of the students career choices, 3) parental involvement and self Concept together also contribute to the maturity of the students career choices. This research it can be concluded that parental involvement and good self concept separate and jointly contribute to the maturity of the students ' career choices.

Keywords: Parental Involvement, Self-Concept, Career Choices Maturity",2017-09-25 05:06:23,archive,,12,show,,"POLA ASUH ORANG TUA, KONSEP DIRI DAN KAITANNYA DENGAN KEMATANGAN ARAH PILIHAN KARIR MAHASISWA",,3955,,,,,,,,,,,['UNIVERSITAS LAMPUNG'],repository unila,,,,,
7,2023-02-02 07:51:34,2023-02-02 07:51:34,20,public,http://repository.lppm.unila.ac.id/id/eprint/48261,,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 48261, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187521', 'docid': 187521, 'main': '2 Cognitive restructuring.pdf', 'files': [{'datasetid': 'document', 'filesize': 1346343, 'fileid': 527247, 'mime_type': 'application/pdf', 'mtime': '2023-02-02 02:57:35', 'hash_type': 'MD5', 'filename': '2 Cognitive restructuring.pdf', 'hash': 'a35a4369f7d489174dad682c0505b0b8', 'objectid': 187521, 'uri': 'http://repository.lppm.unila.ac.id/id/file/527247'}]}]",,['FKIP2'],other,disk0_bak/00/04/82/61,"[{'id': 'shinta.mayasari@fkip.unila.ac.id', 'name': {'given': 'Shinta', 'lineage': None, 'family': 'Mayasari', 'honourific': None}}, {'id': 'mujiyati@fkip.unila.ac.id', 'name': {'given': 'Mujiyati', 'family': 'Mujiyati', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Sofwan', 'family': 'Adiputra', 'honourific': None, 'lineage': None}, 'id': 'sofwan@konselor.org'}]",['L1'],"Self-compassion is one of the predictors that can explain how individuals are able to survive, understand and realize the meaning of a difficulty as a positive thing. Individuals who have good Self-compassion will show better psychological health than those who have a low level of Self-compassion. The purpose of this study is to develop cognitive restructuring techniques that can develop students' self-compassion. The study was conducted using the quasi-experiment method. The samples of this study were 20 students who were indicated to have low self-compassion.  Data collection techniques in this study used a self-compassion scale (SCC) instrument, which was adapted into Indonesian. The data analysis technique used t-test. The results of the t-test show that the t-count ≥ t-table, which is 7.312 ≥ 2.101. Thus it can be stated that cognitive restructuring techniques are effective for increasing student self-compassion. Interventions are given to produce changes in individuals through students' ways of thinking, which have implications for emotions and behavior. The target to be achieved is to restructure negative thoughts in response to events into positive thoughts.",2023-02-02 07:51:34,archive,,7,show,,Cognitive Restructuring Techniques in Developing Student Self-Compassion,,48261,,https://www.journalppw.com/index.php/jpsp/article/view/2010,,,,,https://www.journalppw.com/index.php/jpsp/article/view/2010,,,,,,,,,,
8,2023-02-02 07:51:42,2023-02-02 07:51:42,20,public,http://repository.lppm.unila.ac.id/id/eprint/48264,,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 48264, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187524', 'pos': 1, 'format': 'text', 'files': [{'filesize': 1432705, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2023-02-02 03:27:31', 'filename': '5 Dimensi Identitas.pdf', 'hash': 'ee99262786f0d8557fa406c0998a7cbd', 'fileid': 527268, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/527268', 'objectid': 187524}], 'main': '5 Dimensi Identitas.pdf', 'docid': 187524}]",,['FKIP2'],other,disk0_bak/00/04/82/64,"[{'id': 'shinta.mayasari@fkip.unila.ac.id', 'name': {'given': 'Shinta', 'lineage': None, 'family': 'Mayasari', 'honourific': None}}, {'name': {'given': 'Mujiyati', 'family': 'Mujiyati', 'honourific': None, 'lineage': None}, 'id': 'mujiyati@fkip.unila.ac.id'}, {'name': {'family': 'Mahfud', 'honourific': None, 'lineage': None, 'given': 'Ashari'}, 'id': None}]",['L1'],"DIMENSIONS OF PI'IL PESENGGIRI ULUN LAMPUNG'S IDENTITY IN INDIGENOUS COUNSELING DEVELOPMENT: A SYSTEMATIC REVIEW.
This research was conducted to find out and understand the meaning of pi'il pesenggiri as one of the dimensions of Lampung's ulun identity in the development of indigenous counseling. The method used is a systematic review of a number of articles about pi'il pesenggiri in reputable journals. A search on journal databases such as DOAJ, microsoft academic, and researchgate found 234 journals with the keyword pi'il pesenggiri. Furthermore, the journals were collected for a screening process and their eligibility according to the inclusion and exclusion criteria determined by the researcher. Based on the screening process, 5 articles were obtained which were the subject of research studies. The results showed that pi'il pesenggiri is the philosophy of life of ulun Lampung which refers to self-esteem and honor. Includes aspects of 1) Bejuluk Adek, 2) Nemui Nyimah, 3) Nengah Nyappur, and 4) Sakai Sambaiyan. The value of pi'il pesenggiri can be a potential in the development of customary extension. These values ​​can be the basis for increasing the multicultural competence of counselors in terms of understanding and knowledge of local wisdom. This is based on the content possessed by pi'il pesenggiri for ulun Lampung in the form of divine values ​​(holiness), religious values, spiritual values, moral values, intellectual values, individual values, social values, and material values. These values ​​can be re-condensed into divine values, human values, and life values.",2023-02-02 07:51:42,archive,,7,show,,Dimensi Identitas Pi’il Pesenggiri Ulun Lampung dalam Pengembangan Konseling Indigenous: Suatu Tinjauan Sistematis,,48264,,INDONESIAN JOURNAL OF EDUCATIONAL COUNSELING,,,,http://ijec.ejournal.id/index.php/counseling/article/view/185,http://ijec.ejournal.id/index.php/counseling/article/view/185,,,,,,,,,,
9,2021-11-11 03:23:41,2021-11-11 03:23:41,20,public,http://repository.lppm.unila.ac.id/id/eprint/35899,FALSE,unpub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/156847', 'format': 'text', 'pos': 1, 'files': [{'mtime': '2021-11-11 03:04:34', 'hash_type': 'MD5', 'hash': '7738ebdc783c7aca0a03e4b1f8342a0d', 'filename': 'Seminar Pengabdian.pdf', 'fileid': 416807, 'mime_type': 'application/pdf', 'filesize': 334010, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/416807', 'objectid': 156847}], 'main': 'Seminar Pengabdian.pdf', 'docid': 156847, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 35899}]",,['FKIP2'],article,disk0/00/03/58/99,"[{'name': {'given': 'Shinta', 'lineage': None, 'family': 'Mayasari', 'honourific': None}, 'id': 'shinta.mayasari@fkip.unila.ac.id'}, {'id': None, 'name': {'family': 'yusmansyah', 'honourific': None, 'lineage': None, 'given': 'yusmansyah'}}, {'id': None, 'name': {'given': 'Eka', 'lineage': None, 'family': 'Kurniawati', 'honourific': None}}]",['L1'],"PENINGKATAN SELF COMPASSION DAN COMPASSION FOR OTHER SKILL MELALUI KONSELING SPIRITUAL, SEBAGAI STRATEGI MEMINIMALISIR TINGGINYA ANGKA PERCERAIAN DI MASA PANDEMI

Yusmansyah*, Eka Kurniawati, Shinta Mayasari, Moch Johan Pratama
1Bimbingan dan Konseling, Fakultas Keguruan dan Ilmu Pendidikan, Universitas Lampung, 
Jl. Prof. Dr. Soemantri Brojonegoro No. 1 Bandar Lampung, Indonesia
*e-mail: yusmansyah.1960@fkip.unila.ac.id

Abstrak

Kegiatan Pengabdian Kepada Masyarakat bertujuan untuk memberikan solusi dari permasalahan perceraian yang semakin tinggi di masa pandemi. Berdasarkan informasi, gugatan perceraian selama tahun 2020 di Lampung mencapai 14 ribu permohonan. Beberapa peneliti memprediksi, kasus perceraian yang terjadi akan terus meningkat hingga 10-25 persen sampai dengan akhir tahun 2021. Hal ini memberikan gambaran bahwa terjadi penurunan tingkat self compassion dan compassion for other skill pada pasangan suami istri yang mengakibatkan mereka gagal memperlakukan diri sendiri dan pasangannya dengan baik di masa-masa sulit. Pasangan suami istri tidak mampu untuk keluar dari tingkat stress yang mendalam. Hal ini membuat mereka tidak mampu saling memunculkan rasa empati satu sama lain terhadap permasalahan dan beban hidup utamanya di tengah masa pandemi. Metode Pengabdian Kepada Masyarakat adalah pelatihan yang meliputi pemberian materi dan praktik layanan konseling dalam seting kelompok. Sasaran kegiatan adalah 32 orang konselor yang bertugas menangani kasus pasangan suami istri yang mengajukan permohonan perceraian di Bandar Lampung. Pelatihan self compassion dan compassion for other skill dilakukan dengan pendekatan spiritual yang terdiri dari pengenalan kondisi self compassion, compassion for other, role playing, diskusi, praktik konseling, dan pengisian pre-post test. Pemahaman konsep self compassion, compassion for other skil.l dan pelaksanaan konseling spiritual ditandai dengan adanya peningkatan skor pre test dan post test pada klasifikasi tidak tahu dari 62,5% menjadi 0%; pada klasifikasi ragu-ragu dari 37,5% tetap 37,5%; dan pada klasifikasi tahu dari 0% menjadi 62, 5%.

Kata Kunci: Self Compassion, Compassion For Other Skill, Konseling Spiritual, Perceraian",2021-11-11 03:23:41,archive,,9,show,,"PENINGKATAN SELF COMPASSION DAN COMPASSION FOR OTHER SKILL MELALUI KONSELING SPIRITUAL, SEBAGAI STRATEGI MEMINIMALISIR TINGGINYA ANGKA PERCERAIAN DI MASA PANDEMI",,35899,,,,,,,,,,,,Prosiding Seminar Pengabdian FKIP Universitas Lampung,,,,,
