,ispublished,contributors,documents,uri,full_text_status,refereed,corp_creators,lastmod,userid,datestamp,publication,creators,dir,type,divisions,title,rev_number,metadata_visibility,status_changed,eprint_status,subjects,abstract,eprintid,official_url,issn,publisher,place_of_pub,contact_email,referencetext,volume,date_type,output_media,related_url,funders,event_title,event_location,event_dates,event_type,pres_type,number,projects
0,submitted,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'agungcnugroho@yahoo.com', 'name': {'given': 'Agung', 'lineage': None, 'honourific': None, 'family': 'Agung Nugroho'}}, {'type': None, 'id': None, 'name': {'given': 'Agung Nugroho', 'family': 'Agung Nugroho', 'honourific': None, 'lineage': None}}, {'type': None, 'id': None, 'name': {'lineage': None, 'family': 'Agung Nugroho', 'honourific': None, 'given': 'Agung Nugroho'}}, {'id': None, 'type': None, 'name': {'given': 'Agung Nugroho', 'honourific': None, 'family': 'Agung Nugroho', 'lineage': None}}]","[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23441', 'rev_number': 1, 'docid': 23441, 'main': 'Paper ICETSAS 2018 - Agung CN2.pdf', 'files': [{'filename': 'Paper ICETSAS 2018 - Agung CN2.pdf', 'hash': 'ada69a6dbdbcbd1794c1a5be633f5881', 'mtime': '2018-11-27 04:05:27', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 96894, 'filesize': 1626609, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/96894', 'objectid': 23441}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 10419, 'security': 'public', 'placement': 1}]",http://repository.lppm.unila.ac.id/id/eprint/10419,public,TRUE,['Citra Persada'],2019-01-02 07:57:19,31,2019-01-02 07:57:19,ICETsAS 2018,"[{'name': {'given': 'Agung', 'honourific': None, 'family': 'Agung Nugroho', 'lineage': None}, 'id': 'agungcnugroho@yahoo.com'}, {'name': {'given': 'Agung Nugroho', 'family': 'Agung Nugroho', 'honourific': None, 'lineage': None}, 'id': None}, {'name': {'lineage': None, 'family': 'Agung Nugroho', 'honourific': None, 'given': 'Agung Nugroho'}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': 'Agung Nugroho', 'lineage': None, 'given': 'Agung Nugroho'}}]",disk0/00/01/04/19,article,['FT9'],"Identification of Condition and Strategy of Village Arrangement toward Urban Creative Village, Case Study : Kampung Negeri Olok Gading Kota BANDAR LAMPUNG",11,show,2019-01-02 07:57:19,archive,"['HN', 'NA']","Abstract. Urban village as a historic village has a high physical, social and cultural values that needs to be preserved. Efforts to preserve the area is always constrained by changing aspects caused by the development, which is also a serious threat to the sustainability of the cultural and historical area. Kampung Negeri Olok Gading which has been designated as a cultural and historical village by the Government of Bandar Lampung City also experienced a similar thing, where the village is among the urban areas that are developing. The purpose of this study are: (1) to know the pattern and variety of activities within the village as a creative village embryo; (2) to know the physical condition, functional condition and environmental condition of Kampung Negeri Olok Gading; (3) to formulate the physical arrangement strategy in transforming Kampung Negeri Olok Gading become Urban Creative Village. This research uses descriptive analysis methodology through empirical study to existing condition. Through empirical tracking of the physical elements of the area, it is known that there are significant changes to the condition of the urban village such as: the changing of land use and building, the changing of the building and the environment. This is due to the increasing accessibility of the area due to the growth of the surrounding area. From the analysis of the pattern of the area, it can be seen that the Kampung Negeri Olok Gading area covers the village area located in Kelurahan Negeri Olok Gading and Kuripan Village on the south side. The main strategy that can be applied to transform Kampung into the creative village is the conservation of the area, which includes preservation of existing traditional buildings, followed by the rehabilitation of buildings and the environment (street, sidewalk, green space and green, street furniture) and adaptive- use to the old building so as to provide the attraction for the urban village area. This effort can also be continued with the strategy of structuring the river area Way Kuripan as an integrated part of the strategy of transforming the Kampung Negeri Olok Gading into Urban Creative Village.
Key Words: conservation, kampung, creative, traditional, Negeri Olok Gading",10419,,,,,,,,,,,,,,,,,,
1,unpub,,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39795', 'docid': 39795, 'main': 'Jurnal01_1415012016_EVA GRACIA ANGGINA.pdf', 'files': [{'filesize': 1586134, 'datasetid': 'document', 'mtime': '2020-11-18 01:06:48', 'hash_type': 'MD5', 'hash': '82a0c930adafd6550757d37290f2f9f6', 'filename': 'Jurnal01_1415012016_EVA GRACIA ANGGINA.pdf', 'fileid': 234304, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/234304', 'objectid': 39795}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 25968, 'security': 'public', 'placement': 1}]",http://repository.lppm.unila.ac.id/id/eprint/25968,public,FALSE,,2020-11-18 01:32:37,31,2020-11-18 01:32:37,Jurnal Teknologi dan Inovasi Industr,"[{'id': 'evagraciagultom@gmail.com', 'name': {'given': 'Eva Gracia', 'family': 'Anggina', 'honourific': None, 'lineage': None}}, {'id': 'yunitakesuma@eng.unila.ac.id', 'name': {'family': 'Kesuma', 'honourific': None, 'lineage': None, 'given': 'Yunita'}}, {'name': {'honourific': None, 'family': 'Nugroho', 'lineage': None, 'given': 'Agung Cahyo'}, 'id': 'agung.cahyo@eng.unila.ac.id'}]",disk0/00/02/59/68,article,['FT9'],PERANCANGAN KEMBALI MUSEUM LAMPUNG DI BANDAR LAMPUNG,6,show,2020-11-18 01:32:37,archive,['NA'],"Museum Lampung yang terletak di Jalan Zainal Abidin Pagar Alam No. 64, Gedong Meneng, Kecamatan Kedaton, Kota Bandar Lampung yang merupakan museum pemerintah. Museum Lampung adalah bangunan yang berperan penting dalam sejarah dan kebudayaan Lampung, mengingat fungsinya sebagai sarana pendidikan bagi masyarakat dari generasi ke generasi. Namun sayangnya minat pengunujung Museum Lampung mengalami penurunan minat di beberapa tahun terakhir. Kurangnya penyajian pameran koleksi yang melibatkan interaksi pengunjung dan merasakan pengalaman berkunjung, penataan fungsi gedung dari luar tapak kurang efisien untuk menarik pengunjung datang dan sebagian besar pengunjung datang karena tugas atau penelitian bukan sebagai wisatawan yang berlibur ke Museum. Maka dari itu perlu adanya tinjauan kembali sehingga dibutuhkannya peracangan kembali museum. Museum Lampung adalah identitas dari Lampung yang memiliki berbagai macam koleksi kebudayaan Lampung, sejarah dan pra sejarah Lampung. Hal ini yang membuat benang merah bahwa museum Lampung yang mewakili kebudayan Lampung. Pendekatan dengan Arsitektur Neo Vernakular menjadi solusi untuk mengembangkan konsep desain Perancangan Kembali Museum Lampung oleh penulis.
Dalam penerapan ini menggunakan unsur modern yang berkembang namun tetap mewakilkan Arsitektur Lampung. Unsur Neo Vernakular yang terapkan dalam museum Lampung melalui elemen seperti motif-motif lampung (tapis, perahu, aksara) dan prinsip dari rumah tradisional tersebut yaitu rumah panggung dan atap, mengolah ulang tata ruang bangunan dan fungsi-fungsi ruangan yang berkaitan dengan sejarah dan budaya Lampung, menciptakan ruang-ruang baru sebagai wadah kegiatan-kegiatan yang dibutuhkan masyarakat berkaitan dengan museum Lampung yang dapat meningkatkan minat pengunjung serta menjadikan museum Lampung sebuah ikonik dari Lampung itu sendiri.
Kata Kunci : Museum, Kebudayaan Lampung, Perancangan Kembali, Arsitektur Neo- Vernakular, Arsitektur Lampung.",25968,http://jtii.eng.unila.ac.id/index.php/ojs,"ISSN 2722-0184, e-ISSN 2722-0192",Fakultas Teknik Unila,,,,,,,,,,,,,,,
2,unpub,,"[{'files': [{'objectid': 161512, 'uri': 'http://repository.lppm.unila.ac.id/id/file/449191', 'mime_type': 'application/pdf', 'fileid': 449191, 'hash': 'cc489adcb163e3d3699860dceb5c2a64', 'filename': 'Karya-Foodcourt.pdf', 'hash_type': 'MD5', 'mtime': '2022-03-15 15:57:51', 'datasetid': 'document', 'filesize': 1956320}], 'docid': 161512, 'main': 'Karya-Foodcourt.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/161512', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 40204, 'language': 'en', 'mime_type': 'application/pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/40204,public,,,2022-03-16 02:01:25,190,2022-03-16 02:01:25,,"[{'name': {'honourific': None, 'family': 'Basuki', 'lineage': None, 'given': 'Kelik Hendro'}, 'id': 'jaya_setika@yahoo.com'}]",disk0/00/04/02/04,other,['FT9'],PEER REVIEW : DESAIN KAWASAN FOODCOURT DI PKOR WAY HALIM DENGAN MENGGUNAKAN ATAP TENDA,7,show,2022-03-16 02:01:25,archive,['NA'],Hasil Peer Review,40204,,,Fakultas Teknik Universitas Lampung,,,,,,,,,,,,,,,
3,unpub,,"[{'docid': 161508, 'main': 'Penelitian-Kajian Continuity.pdf', 'files': [{'filesize': 454260, 'datasetid': 'document', 'mtime': '2022-03-15 15:50:24', 'hash_type': 'MD5', 'filename': 'Penelitian-Kajian Continuity.pdf', 'hash': '668058bd852883b1a2702c508f2d871e', 'fileid': 449163, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/449163', 'objectid': 161508}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/161508', 'rev_number': 1, 'eprintid': 40200, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",http://repository.lppm.unila.ac.id/id/eprint/40200,public,,,2022-03-16 01:59:29,190,2022-03-16 01:59:29,,"[{'name': {'honourific': None, 'family': 'Basuki', 'lineage': None, 'given': 'Kelik Hendro'}, 'id': 'jaya_setika@yahoo.com'}]",disk0/00/04/02/00,other,['FT9'],PEER REVIEW : KAJIAN CONTINUITY PADA BUNDARAN KOTA SEBAGAI RUANG TERBUKA PUBLIK YANG RAMAH PEJALAN KAKI,7,show,2022-03-16 01:59:29,archive,['NA'],Hasil Peer Review,40200,,,Fakultas Teknik Universitas Lampung,,,,,,,,,,,,,,,
4,unpub,,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 40201, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161509', 'main': 'Penelitian-Komunikasi.pdf', 'docid': 161509, 'files': [{'objectid': 161509, 'uri': 'http://repository.lppm.unila.ac.id/id/file/449170', 'datasetid': 'document', 'filesize': 449303, 'fileid': 449170, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-03-15 15:52:09', 'hash': 'da3f3b7d9fd2a883892ac98e50d457e9', 'filename': 'Penelitian-Komunikasi.pdf'}]}]",http://repository.lppm.unila.ac.id/id/eprint/40201,public,,,2022-03-16 02:01:10,190,2022-03-16 02:01:10,,"[{'name': {'given': 'Kelik Hendro', 'lineage': None, 'honourific': None, 'family': 'Basuki'}, 'id': 'jaya_setika@yahoo.com'}]",disk0/00/04/02/01,other,['FT9'],PEER REVIEW : KOMUNIKASI INTERAKTIF 3D VISUAL ARSITEKTUR BERBASIS WEB DI ERA REVOLUSI INDUSTRI 4.0,7,show,2022-03-16 02:01:10,archive,['NA'],Hasil Peer Review,40201,,,Fakultas Teknik Universitas Lampung,,,,,,,,,,,,,,,
5,pub,,"[{'placement': 1, 'security': 'public', 'eprintid': 40189, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'hash': '8fcd9422250c539293deebad749db0d9', 'filename': 'Jurnal-Kajian Spatial.pdf', 'hash_type': 'MD5', 'mtime': '2022-03-15 15:25:21', 'mime_type': 'application/pdf', 'fileid': 449086, 'filesize': 493134, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/449086', 'objectid': 161497}], 'docid': 161497, 'main': 'Jurnal-Kajian Spatial.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161497', 'pos': 1, 'format': 'text'}]",http://repository.lppm.unila.ac.id/id/eprint/40189,public,,,2022-03-16 01:57:31,190,2022-03-16 01:57:31,,"[{'name': {'given': 'Kelik Hendro', 'lineage': None, 'family': 'Basuki', 'honourific': None}, 'id': 'jaya_setika@yahoo.com'}]",disk0/00/04/01/89,other,['FT9'],"PEER REVIEW : Kajian Spatial Enclosure pada Penataan Ruang Jalan, Studi Kasus: Penataan Koridor Perdagangan di Kawasan Teluk Betung Bandar Lampung",7,show,2022-03-16 01:57:31,archive,['NA'],Hasil Peer Review,40189,,,Fakultas Teknik Universitas Lampung,,,,,,,,,,,,,,,
6,unpub,,"[{'eprintid': 40203, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 161511, 'main': 'Karya-GSG.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/449184', 'objectid': 161511, 'mtime': '2022-03-15 15:56:10', 'hash_type': 'MD5', 'hash': '3bca70e6da2aafcde34125e434b83ef2', 'filename': 'Karya-GSG.pdf', 'fileid': 449184, 'mime_type': 'application/pdf', 'filesize': 459544, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/161511', 'rev_number': 1}]",http://repository.lppm.unila.ac.id/id/eprint/40203,public,,,2022-03-16 02:01:18,190,2022-03-16 02:01:18,,"[{'name': {'given': 'Kelik Hendro', 'lineage': None, 'family': 'Basuki', 'honourific': None}, 'id': 'jaya_setika@yahoo.com'}]",disk0/00/04/02/03,other,['FT9'],PEER REVIEW : LANJUTAN RENOVASI GEDUNG SERBAGUNA (GSG) UNIVERSITAS LAMPUNG,7,show,2022-03-16 02:01:18,archive,['NA'],Hasil Peer Review,40203,,,Fakultas Teknik Universitas Lampung,,,,,,,,,,,,,,,
7,pub,,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 40191, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161499', 'pos': 1, 'format': 'text', 'files': [{'filesize': 475642, 'datasetid': 'document', 'mtime': '2022-03-15 15:31:22', 'hash_type': 'MD5', 'hash': '4d0656ef5dd56d06fba4e38e620a4817', 'filename': 'Jurnal-Museum.pdf', 'fileid': 449100, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/449100', 'objectid': 161499}], 'main': 'Jurnal-Museum.pdf', 'docid': 161499}]",http://repository.lppm.unila.ac.id/id/eprint/40191,public,,,2022-03-16 01:57:39,190,2022-03-16 01:57:39,,"[{'id': 'jaya_setika@yahoo.com', 'name': {'given': 'Kelik Hendro', 'lineage': None, 'family': 'Basuki', 'honourific': None}}]",disk0/00/04/01/91,other,['FT9'],PEER REVIEW : Museum dengan Pendekatan Konsep Arsitektur Tropis Modern,7,show,2022-03-16 01:57:39,archive,['NA'],Hasil Peer Review,40191,,,Fakultas Teknik Universitas Lampung,,,,,,,,,,,,,,,
8,unpub,,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 40206, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/161514', 'rev_number': 1, 'main': 'Karya-ICT.pdf', 'docid': 161514, 'files': [{'filesize': 467895, 'datasetid': 'document', 'filename': 'Karya-ICT.pdf', 'hash': 'cc88b690495550225079872d0362f196', 'mtime': '2022-03-15 16:01:21', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 449206, 'uri': 'http://repository.lppm.unila.ac.id/id/file/449206', 'objectid': 161514}]}]",http://repository.lppm.unila.ac.id/id/eprint/40206,public,,,2022-03-16 02:01:35,190,2022-03-16 02:01:35,,"[{'name': {'family': 'Basuki', 'honourific': None, 'lineage': None, 'given': 'Kelik Hendro'}, 'id': 'jaya_setika@yahoo.com'}]",disk0/00/04/02/06,other,['FT9'],PEER REVIEW : PEMBANGUNAN GEDUNG ICT IAIN RADEN INTAN LAMPUNG,7,show,2022-03-16 02:01:35,archive,['NA'],Hasil Peer Review,40206,,,Fakultas Teknik Universitas Lampung,,,,,,,,,,,,,,,
9,unpub,,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161510', 'docid': 161510, 'main': 'Karya-Dinas Pasar.pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 449177, 'hash': '9bf305000ba63e0b8a3dbd72547d3a21', 'filename': 'Karya-Dinas Pasar.pdf', 'mtime': '2022-03-15 15:53:58', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 477594, 'objectid': 161510, 'uri': 'http://repository.lppm.unila.ac.id/id/file/449177'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 40202, 'placement': 1, 'security': 'public'}]",http://repository.lppm.unila.ac.id/id/eprint/40202,public,,,2022-03-16 02:01:14,190,2022-03-16 02:01:14,,"[{'name': {'lineage': None, 'family': 'Basuki', 'honourific': None, 'given': 'Kelik Hendro'}, 'id': 'jaya_setika@yahoo.com'}]",disk0/00/04/02/02,other,['FT9'],PEER REVIEW : PEMBANGUNAN GEDUNG KANTOR DINAS PASAR KECAMATAN GUNUNG SUGIH KABUPATEN LAMPUNG TENGAH,7,show,2022-03-16 02:01:14,archive,['NA'],Hasil Peer Review,40202,,,Fakultas Teknik Universitas Lampung,,,,,,,,,,,,,,,
