,eprintid,date_type,official_url,title,rev_number,metadata_visibility,place_of_pub,eprint_status,status_changed,subjects,abstract,creators,dir,date,type,divisions,ispublished,publisher,documents,full_text_status,uri,corp_creators,lastmod,userid,datestamp,output_media,related_url,contact_email,contributors,event_type,event_dates,event_title,event_location,pagerange,refereed,pres_type,issn,publication,number,volume,projects,editors,pages,isbn,funders,book_title
0,14577,published,http://journal.uin-alauddin.ac.id/index.php/planomadani,Evaluasi Keberlanjutan Wisata Bahari Pulau Puhawang Kabupaten Pesawaran,8,show,Makasar,archive,2019-11-08 05:08:31,['T1'],URL Penilaian Teman Sejawat/Peer Review,"[{'name': {'family': 'Alvi', 'honourific': None, 'lineage': None, 'given': 'Nava Neilulfar'}, 'id': None}, {'id': None, 'name': {'lineage': None, 'family': 'Susana', 'honourific': None, 'given': 'Isye Nurhasanah'}}, {'id': 'citra.persada@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Persada', 'lineage': None, 'given': 'Citra'}}]",disk0/00/01/45/77,2018-04-01 00:00:00.000000000,other,['FT9'],pub,UIN Alauddin Makasar,"[{'files': [{'filesize': 567769, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2019-10-21 14:46:28', 'filename': 'R5-jurnalplanomadani-citrapersada.pdf', 'hash': '2c851dd7e101967262e06f67a0d4449a', 'fileid': 126393, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/126393', 'objectid': 27678}], 'main': 'R5-jurnalplanomadani-citrapersada.pdf', 'docid': 27678, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27678', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 14577, 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/14577,"['Institut Teknologi Sumatera', 'Institut Teknologi Sumatera', 'Universitas Lampung']",2019-11-08 05:08:31,408,2019-11-08 05:08:31,,,,,,,,,,,,,,,,,,,,,
1,34379,,,Desain Kawasan Foodcourt di PKOR Way Halim Dengan Menggunakan Atap Tenda,7,show,,archive,2021-10-08 03:04:32,['NA'],"Perkembangan kawasan PKOR Way Halim saat ini jika dilihat dari lain sisi merupakan sebuah potensi bagi pemerintah untuk mengembangkan ruang publik yang berdaya hidup. Hal ini dikarenakan respon masyarakat terhadap perkembangan PKOR Way Halim yang terjadi saat ini mengindikasikan bahwa kawasan PKOR Way Halim ini sendiri telah menjadi ruang publik yang aktif karena telah ramai dikunjungi. Oleh karena itu, melalui penataan kawasan PKOR Way Halim sebagai ruang publik berdaya hidup (livable public space) akan menjadikan kawasan ini sebagai ruang public yang nyaman dan aman untuk dikunjungi setiap orang, dapat mendukung citra kawasan sekitarnya dan kota Bandar Lampung, dapat mendukung perkembangan ekonomi lokal serta dapat meningkatkan interaksi sosial masyarakatnya. Dengan begitu, kesejahteraan masyarakat dapat meningkat dan kawasan PKOR dapat berkembang secara berkelanjutan.
Dibangunnya sarana komersil yang merupakan salah satu cara untuk meningkatkan kesejahteraan dan memenuhi kebutuhan, masyarakat seperti Foodcourt. Foodcourt sebagai salah satu badan usaha yang bergerak di bidang usaha kuliner, berusaha untuk menawarkan sesuatu yang unik dan diharapkan dan dapat 
menjaring konsumen lebih banyak lagi. Peran food court pada kawasan PKOR Way Halim adalah sebagai fasilitas komersil yang mendukung kegiatan ekonomi, budaya dan rekreasi.","[{'name': {'honourific': None, 'family': 'Basuki', 'lineage': None, 'given': 'Kelik Hendro'}, 'id': 'jaya_setika@yahoo.com'}]",disk0/00/03/43/79,1970-01-01 00:00:00.000002018,other,['FT9'],unpub,Jurusan Arsitektur FT Universitas Lampung,"[{'eprintid': 34379, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 154890, 'main': 'FOODCOURT 2.pdf', 'files': [{'mtime': '2021-10-07 12:00:03', 'hash_type': 'MD5', 'hash': '254395ff364e11d673957dc30baae681', 'filename': 'FOODCOURT 2.pdf', 'fileid': 404829, 'mime_type': 'application/pdf', 'filesize': 3336897, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/404829', 'objectid': 154890}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154890'}]",public,http://repository.lppm.unila.ac.id/id/eprint/34379,,2021-10-08 03:04:32,190,2021-10-08 03:04:32,,,,,,,,,,,,,,,,,,,,,
2,34380,,,Perancangan Skatepark Untuk Arena Olahraga dan Ruang Terbuka Masyarakat Bandar Lampung di PKOR Way Halim,7,show,,archive,2021-10-08 03:04:37,['NA'],"Perkembangan olah raga skateboard serta olahraga skating lainnya sudah patut diperhitungkan, yang mana makin meningkatnya peminat cabang olah raga ini serta munculnya bakat-bakat muda yang bisa bersaing secara nasional pada kegiatan-kegiatan skala nasional tentunya. Namun kendala sangat utama dari aktifitas olah raga ini adalah minimnya lahan bermain yang bisa digunakan dalam mengolah pola permainan. Hal tersebut berpengaruh terhadap prestasi nasional, karena selama ini pemain olah Raga ini sulit menembus skala nasional dan sangat disayangkan ketika ada undangan langsung secara secara nasional dan sangat disyangkan ketika ada undangan langsung secara nasional kita tidak bisa mengirimkan dikarenakan kurang dikenalnya masyarakat Bandar Lampung dan membawahi cabang Olah Raga ini tentunya.
Tinggi nya minat dan potensi pemain skateboard ini terkadang 
membuat para pemain skateboard ini turun kejalanan, kehadiran komunitas skate ini ditempat umum, bahkan di badan jalan sering dianggap mengganggu kenyamanan masyarakat. hal ini berdampak sulitnya pemain skate Bandar Lampung untuk berkembang. Apabila skateboard dimainkan dijalanan, maka sifatnya akan menjadi permainan liar serta destruktif. Pola permainannya selalu mencari sudut-sudut berupa tangga-tangga, handrail, pembatas-pembatas jalan dapat dilompati. Sifat permainan ini apabila menemukan spot atau ruang unuk 
bermain, selalu memiliki sifat utama yaitu melompati, membentur dan berjalan diatasnya. Dan apabila dilakukan pada spot atau ruang public (umum) maka spot tersebut akan mengalami kerusakan dan akan mengurangi estetis lingkungan tersebut. Hal tersebut sering terjadi sehingga para pemain sering diusir karena dianggap merusak.","[{'id': 'jaya_setika@yahoo.com', 'name': {'honourific': None, 'family': 'Basuki', 'lineage': None, 'given': 'Kelik Hendro'}}]",disk0/00/03/43/80,1970-01-01 00:00:00.000002018,other,['FT9'],unpub,Jurusan Arsitektur FT Universitas Lampung,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154891', 'rev_number': 1, 'main': 'SKATEPARK PKOR (24-5-2018).pdf', 'docid': 154891, 'files': [{'objectid': 154891, 'uri': 'http://repository.lppm.unila.ac.id/id/file/404836', 'datasetid': 'document', 'filesize': 4680038, 'mime_type': 'application/pdf', 'fileid': 404836, 'hash': '16136789d267abab5985579c2faa5206', 'filename': 'SKATEPARK PKOR (24-5-2018).pdf', 'hash_type': 'MD5', 'mtime': '2021-10-07 12:05:52'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 34380, 'security': 'public', 'placement': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/34380,,2021-10-08 03:04:37,190,2021-10-08 03:04:37,,,,,,,,,,,,,,,,,,,,,
3,34378,,,Pra Desain Rehabilitasi Gedung B Dalam Upaya Peningkatan Kapasitas Ruang di Fakultas Hukum Universitas Lampung,7,show,,archive,2021-10-08 03:04:30,['NA'],"Ketidakseimbangan antara jumlah mahasiswa dengan jumlah ruang 
kelas yang tersedia merupakan salah satu kendala  yang dihadapi. Meningkatnya kebutuhan ruang di Fakultas Hukum, tidak diimbangi dengan adanya jumlah mahasiswa yang juga meningkat tiap tahunnya, terutama setelah penerimaan mahasiswa baru di Universitas Lampung. Hal ini tentunya memengaruhi kegiatan pembelajaran, terutama dalam hal pengaturan penjadwalan maupun pengaturan pembagian kelas bagi 
mahasiswa. Terkadang pengaturan ini dapat berubah menjadi masalah saat jumlah kelas yang tersedia tak mampu menampung jumlah mahasiswa, atau ketika kegiatan kuliah tambahan tak dapat dilakukan akibat tidak tersedianya ruang kelas yang kosong.
Berdasarkan permasalahan tersebut, Fakultas Hukum pun bergerak untuk menuntaskan permasalahan tersebut. Salah satu cara untuk menyelesaikan masalah tersebut adalah menyediakan ruang baik ruang kelas tambahan maupun ruang civitas akademis yang lainnya. Itulah yang mendasari Pekerjaan Pra Desain Rehabilitasi Gedung B Fakultas Hukum Universitas Lampung.","[{'name': {'given': 'Kelik Hendro', 'lineage': None, 'family': 'Basuki', 'honourific': None}, 'id': 'jaya_setika@yahoo.com'}]",disk0/00/03/43/78,1970-01-01 00:00:00.000002018,other,['FT9'],unpub,Jurusan Arsitektur FT Universitas Lampung,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 34378, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154889', 'main': 'GEDUNG B FH UNILA (24-5-2018).pdf', 'docid': 154889, 'files': [{'filesize': 9425065, 'datasetid': 'document', 'mtime': '2021-10-07 11:54:15', 'hash_type': 'MD5', 'hash': '58632041168680596392709275a12769', 'filename': 'GEDUNG B FH UNILA (24-5-2018).pdf', 'fileid': 404822, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/404822', 'objectid': 154889}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/34378,,2021-10-08 03:04:30,190,2021-10-08 03:04:30,,,,,,,,,,,,,,,,,,,,,
4,13039,published,https://www.youtube.com/,ANIMASI RENCANA PENATAAN MASTER PLAN GOR KAUR,12,show,,archive,2019-05-21 03:00:42,"['NA', 'NC']",,"[{'name': {'given': 'PANJI', 'lineage': None, 'honourific': None, 'family': 'KURNIAWAN'}, 'id': 'panji.kurniawan@eng.unila.ac.id'}]",disk0/00/01/30/39,2018-11-18 00:00:00.000000000,video,['FT9'],pub,www.panjikurniawan.com,"[{'pos': 1, 'format': 'video', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26040', 'rev_number': 3, 'formatdesc': 'RENCANA PENATAAN MASTER PLAN GOR KAUR', 'main': 'watch_v=o69r6KTRE_0&feature=youtu.be', 'docid': 26040, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/114812', 'objectid': 26040, 'hash': '61b5c136450f83e798a96749d17808f9', 'filename': 'watch_v=o69r6KTRE_0&feature=youtu.be', 'mtime': '2019-05-17 09:46:29', 'hash_type': 'MD5', 'mime_type': 'text/html', 'fileid': 114812, 'filesize': 176248, 'datasetid': 'document'}], 'mime_type': 'text/html', 'language': 'en', 'content': 'presentation', 'eprintid': 13039, 'placement': 1, 'security': 'public'}]",public,http://repository.lppm.unila.ac.id/id/eprint/13039,,2019-05-21 03:00:42,72,2019-05-21 03:00:42,Youtube,[{'url': 'https://youtu.be/o69r6KTRE_0'}],vanzie.kurniawan@gmail.com,"[{'name': {'given': 'panji', 'honourific': None, 'family': 'kurniawan', 'lineage': None}, 'id': 'panji.kurniawan@eng.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/ANM'}]",,,,,,,,,,,,,,,,,
5,13040,published,https://www.youtube.com/,Animasi Backyard Private Residence Mr. Ridho Wiradinata,10,show,,archive,2019-05-21 03:00:44,"['NA', 'NC']","Ini merupakan alternatif awal dari rumah BPk. Ridho yang fokus ke bagian belakang area rumah. Penggunaan elemen lansekap yang di padupadankan dengan rumah utama melalui konektifitas yang ""mengapung"" di atas air memberikan kesan lembut dan lebih santai sebagai penguat tema bagian belakang rumah yang memang di peruntukkan bagi kegiatan keluarga.

Design n build :
www.panjikurniawan.com","[{'name': {'given': 'PANJI', 'honourific': None, 'family': 'KURNIAWAN', 'lineage': None}, 'id': 'panji.kurniawan@eng.unila.ac.id'}]",disk0/00/01/30/40,2018-04-07 00:00:00.000000000,video,['FT9'],pub,www.panjikurniawan.com,"[{'files': [{'mime_type': 'text/html', 'fileid': 114824, 'hash': '1dc26e3865463706f0df6a55698b9237', 'filename': 'watch_v=0vkjeUJwMwk&feature=youtu.be', 'mtime': '2019-05-17 10:03:30', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 162463, 'objectid': 26041, 'uri': 'http://repository.lppm.unila.ac.id/id/file/114824'}], 'main': 'watch_v=0vkjeUJwMwk&feature=youtu.be', 'docid': 26041, 'formatdesc': 'Animasi Backyard Private Residence Mr. Ridho Wiradinata', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26041', 'rev_number': 3, 'format': 'video', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 13040, 'content': 'presentation', 'mime_type': 'text/html', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/13040,,2019-05-21 03:00:44,72,2019-05-21 03:00:44,Youtube,[{'url': 'https://youtu.be/0vkjeUJwMwk'}],,"[{'name': {'given': 'Panji', 'honourific': None, 'family': 'Kurniawan', 'lineage': None}, 'type': 'http://www.loc.gov/loc.terms/relators/ANM', 'id': 'panji.kurniawan@eng.unila.ac.id'}]",,,,,,,,,,,,,,,,,
6,13041,published,https://www.youtube.com/,Animasi Erection Tower 500KV 4 Sirkit,12,show,,archive,2019-05-21 03:00:45,"['N1', 'NC']","Kebutuhan akan presentasi sangat di butuhkan sebelum melaksanakan pekerjaan. Dalam hal rencana pembangunan Tower Listrik, setiap jajaran petugas, perencana hingga pekerja harus mengetahui secara detail runtutan pelaksanaan. Oleh sebab itu, penyajian visual melalui sebuah animasi atu gambar bergerak pada Pembangunan atau penegakan Tower Listrik ini digunakan dalam penyamaam persepsi dan teknis dari alur pekerjaan yang akan di lalui.","[{'name': {'honourific': None, 'family': 'KURNIAWAN', 'lineage': None, 'given': 'PANJI'}, 'id': 'panji.kurniawan@eng.unila.ac.id'}]",disk0/00/01/30/41,2018-03-02 00:00:00.000000000,video,['FT9'],pub,www.panjikurniawan.com,"[{'content': 'published', 'mime_type': 'text/html', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 13041, 'formatdesc': 'Animasi Metode Erection Tower 500KV 4 Sirkit', 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26043', 'format': 'video', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/114839', 'objectid': 26043, 'filename': 'watch_v=qwscNGwjW0k&feature=youtu.be', 'hash': '4ac158347f920c310602865138cac4af', 'mtime': '2019-05-17 10:15:23', 'hash_type': 'MD5', 'mime_type': 'text/html', 'fileid': 114839, 'filesize': 181112, 'datasetid': 'document'}], 'docid': 26043, 'main': 'watch_v=qwscNGwjW0k&feature=youtu.be'}]",public,http://repository.lppm.unila.ac.id/id/eprint/13041,,2019-05-21 03:00:45,72,2019-05-21 03:00:45,Youtube,[{'url': 'https://youtu.be/qwscNGwjW0k'}],,"[{'type': 'http://www.loc.gov/loc.terms/relators/ANM', 'id': 'panji.kurniawan@eng.unila.ac.id', 'name': {'given': 'Panji', 'lineage': None, 'honourific': None, 'family': 'Kurniawan'}}]",,,,,,,,,,,,,,,,,
7,13346,published,https://www.youtube.com/,Animasi Rumah Sakit & Research Centre Unila,12,show,,archive,2019-08-01 07:38:00,"['N1', 'NA', 'NC']",,"[{'id': 'panji.kurniawan@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'KURNIAWAN', 'lineage': None, 'given': 'PANJI'}}]",disk0/00/01/33/46,2018-02-11 00:00:00.000000000,video,['FT9'],pub,www.panjikurniawan.com,"[{'docid': 26352, 'main': 'watch_v=_B8aL_vQ4rw&feature=youtu.be', 'files': [{'datasetid': 'document', 'filesize': 175826, 'fileid': 116941, 'mime_type': 'text/html', 'hash_type': 'MD5', 'mtime': '2019-05-28 14:54:28', 'filename': 'watch_v=_B8aL_vQ4rw&feature=youtu.be', 'hash': 'bbbd7dd740ce243f8d551c5818f0c88c', 'objectid': 26352, 'uri': 'http://repository.lppm.unila.ac.id/id/file/116941'}], 'format': 'video', 'pos': 1, 'formatdesc': 'Animasi Rumah Sakit & Research Centre Unila', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26352', 'rev_number': 4, 'eprintid': 13346, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'text/html', 'content': 'presentation'}]",public,http://repository.lppm.unila.ac.id/id/eprint/13346,,2019-08-01 07:38:00,72,2019-08-01 07:38:00,Youtube,"[{'type': 'pub', 'url': 'https://youtu.be/_B8aL_vQ4rw'}]",,"[{'name': {'lineage': None, 'family': 'KURNIAWAN', 'honourific': None, 'given': 'PANJI'}, 'type': 'http://www.loc.gov/loc.terms/relators/ANM', 'id': 'panji.kurniawan@eng.unila.ac.id'}, {'id': 'Kelik.Hendro@eng.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/ARC', 'name': {'lineage': None, 'honourific': None, 'family': 'HENDRO', 'given': 'KELIK'}}]",,,,,,,,,,,,,,,,,
8,13339,published,https://www.youtube.com/,Private Home Theatre Room Interior Animation,11,show,,archive,2019-08-01 07:37:50,"['N1', 'NA', 'NC']",,"[{'id': 'panji.kurniawan@eng.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'KURNIAWAN', 'given': 'PANJI'}}]",disk0/00/01/33/39,2018-01-17 00:00:00.000000000,video,['FT9'],pub,www.panjikurniawan.com,"[{'formatdesc': 'Private Home Theatre Room Interior Animation', 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26342', 'format': 'video', 'pos': 1, 'files': [{'filename': 'watch_v=FtZsAaiblno&feature=youtu.be', 'hash': '7dd44735fd8775efaaf68cd1ccf8cd64', 'hash_type': 'MD5', 'mtime': '2019-05-28 14:32:36', 'mime_type': 'text/html', 'fileid': 116849, 'filesize': 168961, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/116849', 'objectid': 26342}], 'main': 'watch_v=FtZsAaiblno&feature=youtu.be', 'docid': 26342, 'content': 'presentation', 'mime_type': 'text/html', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 13339}]",public,http://repository.lppm.unila.ac.id/id/eprint/13339,,2019-08-01 07:37:50,72,2019-08-01 07:37:50,Youtube,[{'url': 'https://youtu.be/FtZsAaiblno'}],,"[{'type': 'http://www.loc.gov/loc.terms/relators/ANM', 'id': 'panji.kurniawan@eng.unila.ac.id', 'name': {'given': 'PANJI', 'family': 'KURNIAWAN', 'honourific': None, 'lineage': None}}]",,,,,,,,,,,,,,,,,
9,13038,submitted,,Efektifitas Augmented Reality (AR) dalam Komunikasi Arsitektur 3D sebagai tantangan Revolusi Industri 4.0,8,show,,archive,2019-05-21 02:59:51,['NA'],"Di era Revolusi Industri (RI) 4.0 yang serba digital ini, teknologi komunikasi arsitektur saat ini mengalami perkembangan yang sangat pesat. Teknologi menjadi alat yang mampu membantu arsitek dalam berkarya dan berkomunikasi. Kemampuan arsitek dalam mengkomunikasikan karya arsitektur menentukan apakah suatu karya diterima atau tidak oleh klien. Melalui digitalisasi dokumen karya arsitektur dapat lebih mengurangi penggunaan kerta (paperless) dan memudahkan dalam berkomunikasi arsitektur kepada klien salah satunya dengan memanfaatkan teknologi Augmented Reality. Augmented Reality (AR) adalah salah satu capaian dalam teknologi komunikasi arsitektur untuk menyederhanakan distribusi ide konsep dan perancangan kepada khalayak, terutama dalam memberikan pemahaman suatu karya, terutama dalam konteks 3 dimensional meskipun objek fisik karya arsitektur belum terbangun. 
Penelitian ini bertujuan untuk mengetahui keefektifan metode komunikasi arsitektur menggunakan teknologi Augmented Reality (AR). Metode penelitian ini yaitu simulasi dengan memanfaatkan teknoloogi AR terhadap klien atau masyarakat yang cukup dengan menggunakan smartphone. Simulasi dimulai dari menentukan tracking objek arsitektur yang tercetak pada sebuah kertas atau media visual lainnya, dengan menggunakan aplikasi yang sudah tersedia dan sudah terinstal dalam smartphone. Efektifitas pemanfaatan teknologi AR dalam komunikasi arsitektur dapat mempermudah klien memahami gambar 3 dimensi produk arsitektur tanpa harus berhadapan langsung dengan arsiteknya, selain itu dapat mempersing waktu presentasi, lebih ringkas, dan mengurangi penggunaan kertas (paperless). Kekurangan dari penggunaan AR adalah: (1) Arsitek memerlukan akun premium dari aplikasi pihak ketiga; (2) Tidak semua klien atau penerima informasi menggunakan Smartphone; (3) Smartphone membutuhkan hardware yang mumpuni dalam menampilkan gambar yang kompleks.
Kata Kunci: Augmented Reality (AR), Komunikasi Arsitektur, Presentasi 3D, Revolusi Industri (RI) 4.0,","[{'name': {'lineage': None, 'family': 'KURNIAWAN', 'honourific': None, 'given': 'PANJI'}, 'id': 'panji.kurniawan@eng.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Kesuma', 'given': 'Yunita'}, 'id': 'yunita.kesuma@gmail.com'}]",disk0/00/01/30/38,2018-12-05 00:00:00.000000000,conference_item,['FT9'],submitted,,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 13038, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26039', 'rev_number': 1, 'main': 'Kolokium - Augmented Reality - Panji Kurniawan.pdf', 'docid': 26039, 'files': [{'fileid': 114803, 'mime_type': 'application/pdf', 'mtime': '2019-05-17 09:11:04', 'hash_type': 'MD5', 'filename': 'Kolokium - Augmented Reality - Panji Kurniawan.pdf', 'hash': '8db33ff32541921920d0f94559d1da24', 'datasetid': 'document', 'filesize': 527324, 'objectid': 26039, 'uri': 'http://repository.lppm.unila.ac.id/id/file/114803'}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/13038,,2019-05-21 02:59:51,72,2019-05-21 02:59:51,,,,,conference,06 Desember 2018,Kolokium Fakultas Teknik 2018,Universitas Lampung,1-8,TRUE,paper,,,,,,,,,,
