,datestamp,lastmod,userid,full_text_status,uri,publisher,documents,ispublished,divisions,type,dir,creators,subjects,status_changed,eprint_status,metadata_visibility,rev_number,title,eprintid,volume,official_url,abstract,refereed,number,contributors,issn,publication,event_type,event_dates,date_type,event_title,event_location,corp_creators,pres_type,pagerange,contact_email,succeeds,related_url,id_number,funders,department,institution,monograph_type,projects
0,2022-01-19 08:21:13,2022-01-19 08:21:13,2800,public,http://repository.lppm.unila.ac.id/id/eprint/38032,-,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 38032, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158986', 'docid': 158986, 'main': '4(Afri)(Unila).pdf - Afri Yudamson.pdf', 'files': [{'objectid': 158986, 'uri': 'http://repository.lppm.unila.ac.id/id/file/432291', 'datasetid': 'document', 'filesize': 1011099, 'fileid': 432291, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-01-19 07:11:52', 'filename': '4(Afri)(Unila).pdf - Afri Yudamson.pdf', 'hash': 'fefdbaa00c8a530266f1dd5e671b13c3'}]}]",unpub,['FT5'],other,disk0/00/03/80/32,"[{'id': 'afri.yudamson@eng.unila.ac.id', 'name': {'given': 'Yudamson', 'lineage': None, 'honourific': None, 'family': 'Afri'}}, {'name': {'lineage': None, 'family': 'Sri', 'honourific': None, 'given': 'Ratna Sulistiyanti'}, 'id': None}, {'name': {'given': 'FX', 'honourific': None, 'family': 'Arinto', 'lineage': None}, 'id': None}, {'id': None, 'name': {'family': 'Titin', 'honourific': None, 'lineage': None, 'given': 'Yulianti'}}, {'name': {'given': 'Alam', 'lineage': None, 'honourific': None, 'family': 'Syaiful'}, 'id': 'syaiful.alam@eng.unila.ac.id'}]",['TK'],2022-01-19 08:21:13,archive,show,10,Cek Similarity = Substraksi RGB untuk Identi¦kasi Jenis Daging Konsumsi Berbasis Pengolahan Citra,38032,,,,,,,,,,,,,,,,,,,,,,,,,
1,2020-06-11 08:38:14,2020-06-11 08:38:14,586,public,http://repository.lppm.unila.ac.id/id/eprint/22277,Universitas Lampung,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/204869', 'objectid': 35693, 'mtime': '2020-06-11 07:39:42', 'hash_type': 'MD5', 'filename': 'Perancangan Camera Trap (ELECTRICIAN).pdf', 'hash': 'eee8b5699e2aa8026072a8c1a5dc08c5', 'fileid': 204869, 'mime_type': 'application/pdf', 'filesize': 7501579, 'datasetid': 'document'}], 'docid': 35693, 'main': 'Perancangan Camera Trap (ELECTRICIAN).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/35693', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 22277, 'language': 'en', 'mime_type': 'application/pdf'}]",pub,['FT5'],other,disk0/00/02/22/77,"[{'name': {'given': 'Frisky Volino', 'family': 'Andreas', 'honourific': None, 'lineage': None}, 'id': 'friskyvolino@gmail.com'}, {'name': {'given': 'Sri Ratna', 'honourific': None, 'family': 'Sulistiyanti', 'lineage': None}, 'id': 'sr_sulistiyanti@eng.unila.ac.id'}, {'id': 'fx.arinto@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Setyawan', 'honourific': None, 'given': 'F.X. Arinto'}}]",['TK'],2020-06-11 08:38:14,archive,show,7,Peer Review Karya Ilmiah : Jurnal Nasional denga judul Perancangan Camera Trap Berbasis Raspberry Pi 2,22277,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-09-07 07:14:34,2021-09-07 07:14:34,534,public,http://repository.lppm.unila.ac.id/id/eprint/33798,Atlantis Press,"[{'docid': 154032, 'main': 'REAL_TIME_PROC_2021_26%.pdf', 'files': [{'filesize': 1368257, 'datasetid': 'document', 'hash': '0971d18c2b109aec31056d419656e6f1', 'filename': 'REAL_TIME_PROC_2021_26%.pdf', 'hash_type': 'MD5', 'mtime': '2021-09-07 05:06:26', 'mime_type': 'application/pdf', 'fileid': 400061, 'uri': 'http://repository.lppm.unila.ac.id/id/file/400061', 'objectid': 154032}], 'pos': 1, 'format': 'archive', 'uri': 'http://repository.lppm.unila.ac.id/id/document/154032', 'rev_number': 2, 'formatdesc': 'PLAGIARISM CHECKED PROCEEDING INTERNATIONAL', 'eprintid': 33798, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",pub,['FT5'],other,disk0/00/03/37/98,"[{'name': {'given': 'Aryanto', 'honourific': None, 'family': 'Aryanto', 'lineage': None}, 'id': 'aryanto@eng.unila.ac.id'}, {'id': 'melvi@eng.unila.ac.id', 'name': {'given': 'Melvi', 'family': 'Ulvan', 'honourific': None, 'lineage': None}}, {'name': {'family': 'Ulvan', 'honourific': None, 'lineage': None, 'given': 'Ardian'}, 'id': 'ardian.ulvan@eng.unila.ac.id'}]",['TK'],2021-09-07 07:14:34,archive,show,8,PROCEEDING INTERNATIONAL REAL_TIME_PROC_2021_26%,33798,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-09-07 07:14:32,2021-09-07 07:14:32,534,public,http://repository.lppm.unila.ac.id/id/eprint/33797,Atlantis Press,"[{'formatdesc': 'PLAGIARISM CHECKED PROCEEDING INTERNATIONAL', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154031', 'format': 'archive', 'pos': 1, 'files': [{'filesize': 2019367, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-09-07 04:59:50', 'hash': 'b9c0b803daf1bc2184d65c7e43fef36d', 'filename': 'ESTIMATING_PROC_2021_9%.pdf', 'fileid': 400052, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/400052', 'objectid': 154031}], 'docid': 154031, 'main': 'ESTIMATING_PROC_2021_9%.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 33797}]",pub,['FT5'],other,disk0/00/03/37/97,"[{'id': 'mona.batubara@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Batubara', 'honourific': None, 'given': 'Mona Arif Muda'}}, {'name': {'honourific': None, 'family': 'Alam', 'lineage': None, 'given': 'Syaiful'}, 'id': 'syaiful.alam@eng.unila.ac.id'}, {'name': {'given': 'Khoirin', 'lineage': None, 'family': 'Nisa', 'honourific': None}, 'id': 'khoirin.nisa@fmipa.unila.ac.id'}, {'name': {'given': 'Rizka WA', 'honourific': None, 'family': 'Utami', 'lineage': None}, 'id': 'rizkawidya@gmail.com'}, {'id': 'helmy.fitriawan@eng.unila.ac.id', 'name': {'given': 'Helmy', 'lineage': None, 'family': 'Fitriawan', 'honourific': None}}, {'id': 'melvi@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Ulvan', 'lineage': None, 'given': 'Melvi'}}]",['TK'],2021-09-07 07:14:32,archive,show,9,PROCEEDING INTERNATIONAL ESTIMATING_PROC_2021_9%,33797,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-01-11 08:12:00,2023-01-11 08:12:00,656,public,http://repository.lppm.unila.ac.id/id/eprint/47719,Science Publishing Corporation,"[{'placement': 1, 'security': 'public', 'eprintid': 47719, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'filesize': 1617103, 'datasetid': 'document', 'mtime': '2023-01-11 04:42:53', 'hash_type': 'MD5', 'filename': 'ALL- An Enhanced K-Means Clustering Algorithm for Pattern Discovery in Big Data.pdf.pdf', 'hash': 'ec1c4b483fb72614f56662ac16d16a24', 'fileid': 522578, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/522578', 'objectid': 186811}], 'docid': 186811, 'main': 'ALL- An Enhanced K-Means Clustering Algorithm for Pattern Discovery in Big Data.pdf.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186811', 'pos': 1, 'format': 'text'}]",pub,['FT5'],article,disk0_bak/00/04/77/19,"[{'name': {'given': 'Dikpride', 'family': 'Despa', 'honourific': None, 'lineage': None}, 'id': 'despa@eng.unila.ac.id'}, {'name': {'given': 'Gigih Forda', 'family': 'Nama', 'honourific': None, 'lineage': None}, 'id': 'gigih@eng.unila.ac.id'}]",['TK'],2023-01-11 08:12:00,archive,show,6,Similarity check - An Enhanced K Means Clustering Algorithm for Pattern Discovery in Big Data Analysis of 3 Phase Electrical Quantities,47719,7.0,https://www.sciencepubco.com/index.php/ijet/article/view/28964,"The Unila Internet of Things Research Group (UIRG) was developed online monitoring of power distribution system based on Internet of Things (IoT) technology on Department of Electrical Engineering University of Lampung (Unila), has been running for several months, this system monitored electrical quantities of 3-phase main distribution panel of H-building. The measurement system involve multiple sensors such current sensors and voltage sensors, the measurement data stored in to database server and shown the information in a real-time through a web-based application.
Main objective of this research was to capture, analyze, and identified the knowledge pattern of electrical quantities data measurements, using Cross-Industry Standard Process for Data Mining (CRISP-DM) data mining framework, for helping the stake holders to continuous improvement of the quality of electricity services, the initial research limited to total 770847 electrical quantities recorded data that save on database system, since 1 September - 31 October 2018, the dataset consist of 21 attribute electrical quantities such as; voltage, current, power factor values, energy consumption, frequency, on H building 3-Phase main panel control.
Rapidminer as leading application on knowledge discovery application was used to analyze the big data, K-Mean cluster algorithm im-plemented to identify the data pattern, the result indicated that 3-Phase load was unbalanced, and Phase-0 was the most utilized phase, based on from total 5 cluster analysis result.",TRUE,4.36,"[{'name': {'given': 'Dikpride', 'lineage': None, 'honourific': None, 'family': 'despa'}, 'id': 'despa@eng.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'name': {'given': 'gigih forda', 'lineage': None, 'honourific': None, 'family': 'nama'}, 'id': 'gigih@ang.unila.ac.id', 'type': None}]",2319-8613,International Journal of Engineering & Technology,,,,,,,,,,,,,,,,,
5,2023-01-11 08:12:07,2023-01-11 08:12:07,656,public,http://repository.lppm.unila.ac.id/id/eprint/47724,IEEE,"[{'files': [{'objectid': 186816, 'uri': 'http://repository.lppm.unila.ac.id/id/file/522609', 'datasetid': 'document', 'filesize': 1116370, 'fileid': 522609, 'mime_type': 'application/pdf', 'mtime': '2023-01-11 05:12:07', 'hash_type': 'MD5', 'filename': 'ALL- Web-based Real Time Monitoring of Electrical.pdf.pdf', 'hash': '591faa00b67c4ed023e3d00dc9e5cbfc'}], 'main': 'ALL- Web-based Real Time Monitoring of Electrical.pdf.pdf', 'docid': 186816, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186816', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 47724, 'language': 'en', 'mime_type': 'application/pdf'}]",pub,['FT5'],article,disk0_bak/00/04/77/24,"[{'name': {'family': 'Despa', 'honourific': None, 'lineage': None, 'given': 'Dikpride'}, 'id': 'despa@eng.unila.ac.id'}, {'id': 'gigih@eng.unila.ac.id', 'name': {'given': 'Gigih Forda', 'lineage': None, 'honourific': None, 'family': 'Nama'}}, {'id': 'meizano@eng.unila.ac.id', 'name': {'given': 'Meizano Ardhi', 'honourific': None, 'family': 'Muhammad', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Anwar', 'honourific': None, 'given': 'Kairul'}, 'id': None}]",['TK'],2023-01-11 08:12:07,archive,show,6,similarity check - Web-based real time monitoring of electrical quantities meas-urement,47724,,https://ieeexplore.ieee.org/abstract/document/8304183,"Abstract— This study aims to build an applications, that can monitor the value of electrical quantities in a real-time using web technology at H Building of Engineering Faculty, University of Lampung (Unila). The whole system consists of several hardware and software components. Some hardware components such as current sensors, voltage sensors, signal conditioning circuit, embedded computer Arduino Uno, and Ethernet Shield. The programming language used for data acquisition was C language. The web-based applications produced the electrical quantities data measurement, appears in the form of text and graphical format that can be access anytime and anywhere. Some of web development tools used in this web development those are HTML, CSS, JS, JSON, and PHP programming languages. The results of monitoring data shown, the amount of electricity at distribution panels at this building was not balanced. This happen due the electrical load was unbalanced on each phase, other fact found that the trend of electricity usage still follows the trend of working hours.",TRUE,,,978-1-5386-2182-0,International Conference on Sustainable Information Engineer-ing ang Technology (SIET) 2017,,,,,,,,,,,,,,,,,
6,2023-01-11 08:12:03,2023-01-11 08:12:03,656,public,http://repository.lppm.unila.ac.id/id/eprint/47722,IEEE,"[{'eprintid': 47722, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 186814, 'main': 'ALL- The Implementation Internet of Things(IoT) Technology in Real Time Monitoring of Electrical Qua.pdf', 'files': [{'datasetid': 'document', 'filesize': 1522029, 'mime_type': 'application/pdf', 'fileid': 522596, 'filename': 'ALL- The Implementation Internet of Things(IoT) Technology in Real Time Monitoring of Electrical Qua.pdf', 'hash': '52c90508c87408b3fdce50f1a7bb335a', 'hash_type': 'MD5', 'mtime': '2023-01-11 05:01:05', 'objectid': 186814, 'uri': 'http://repository.lppm.unila.ac.id/id/file/522596'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186814'}]",pub,['FT5'],article,disk0_bak/00/04/77/22,"[{'id': 'despa@eng.unila.ac.id', 'name': {'given': 'Dikpride', 'lineage': None, 'family': 'Despa', 'honourific': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Nama', 'given': 'Gigih Forda'}, 'id': 'gigih@eng.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Muhammad', 'lineage': None, 'given': 'Meizano Ardhi'}, 'id': 'meizano@eng.unila.ac.id'}, {'name': {'family': 'Anwar', 'honourific': None, 'lineage': None, 'given': 'Khairul'}, 'id': None}]",['TK'],2023-01-11 08:12:03,archive,show,6,"similarity check - The Implementation Internet of Things(IoT) Technology in
Real Time Monitoring of Electrical Quantities",47722,,https://iopscience.iop.org/article/10.1088/1757-899X/335/1/012063,"Abstract. Electrical quantities such as Voltage, Current, Power, Power Factor, Energy, and
Frequency in electrical power system tends to fluctuate, as a result of load changes,
disturbances, or other abnormal states. The change-state in electrical quantities should be
identify immediately, otherwise it can lead to serious problem for whole system. Therefore a
necessity is required to determine the condition of electricity change-state quickly and
appropriately in order to make effective decisions. Online monitoring of power distribution
system based on Internet of Things (IoT) technology was deploy and implemented on
Department of Mechanical Engineering University of Lampung (Unila), especially at threephase
main distribution panel H- building. The measurement system involve multiple sensors
such current sensors and voltage sensors, while data processing conducted by Arduino, the
measurement data stored in to the database server and shown in a real-time through a webbased
application. This measurement system has several important features especially for realtime
monitoring, robust data acquisition and logging, system reporting, so it will produce an
important information that can be used for various purposes of future power analysis such
estimation and planning. The result of this research shown that the condition of electrical
power system at H-building performed unbalanced load, which often leads to drop-voltage
condition",TRUE,,,978-1-6654-0081-7,"The 2nd International Conference on Mathematics, Science, Education and Technology 5–6 October 2017, Padang, West Sumatera, Indonesia",,,,,,,,,,,,,,,,,
7,2019-05-10 02:34:36,2019-05-10 02:34:36,197,public,http://repository.lppm.unila.ac.id/id/eprint/9494,,"[{'files': [{'filename': 'ICETsAS Jofanda.doc', 'hash': 'b66f81ad4415ce8c352b22ae15457b49', 'hash_type': 'MD5', 'mtime': '2018-11-04 16:05:31', 'mime_type': 'application/msword', 'fileid': 90505, 'filesize': 1453056, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/90505', 'objectid': 22536}], 'main': 'ICETsAS Jofanda.doc', 'docid': 22536, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22536', 'rev_number': 2, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 9494, 'content': 'draft', 'language': 'en', 'mime_type': 'application/msword'}]",unpub,['FT5'],conference_item,disk0/00/00/94/94,"[{'id': 'despa@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Despa', 'lineage': None, 'given': 'Dikpride'}}, {'name': {'given': 'FX. Arinto', 'family': 'Setyawan', 'honourific': None, 'lineage': None}, 'id': 'fx.arinto@eng.unila.ac.id'}, {'name': {'given': 'Jofanda', 'honourific': None, 'family': 'Delano', 'lineage': None}, 'id': 'jofandadelano25@gmail.com'}]",['TK'],2019-05-10 02:34:36,archive,show,10,ARTIFICIAL NEURAL NETWORK APPLICATIONS USE MEASUREMENTS OF ELECTRICAL QUANTITIES TO ESTIMATE ELECTRIC POWER,9494,,,"Prototype measurement of electrical quantities had been built and applied to the H building in faculty of engineering,University of Lampung. Electrical quantities Measurement of electrical quantities had been saved on TIK’s server. However, it had not been used for estimation. Electric power is the electricity that tends to change following the electric load. So, electric power can be predictable or estimation based on measurement data in the past. The method of backpropogation artificial neural networks is a method  that have a good approach to nonlinearity. The results of testing the estimation of electric power consumption had been done in the distribution panel of Electrical Engineering and Mechanical Engineering UNILA indicated that this method can be used to estimate electric power consumption for one month ahead with an accuracy of 0,884%. Thus this research can be applied to real-time estimation processes that can be accessed and displayed by web in real-time.",FALSE,,,,,conference,18-20 September 2018,submitted,ICETsAS 2018,"Hotel Emersia, Bandar Lampung","['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",paper,,,,,,,,,,
8,2023-01-11 08:11:48,2023-01-11 08:11:48,656,public,http://repository.lppm.unila.ac.id/id/eprint/47713,IOP Publishing,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/186807', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/522546', 'objectid': 186807, 'filename': 'ALL - Artificial Neural Network Applications Use Measurements of Electrical Quantities to Estimate E.pdf', 'hash': 'c6b9a76ffee9f575ad534ac6fec2c43a', 'mtime': '2023-01-11 03:05:22', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 522546, 'filesize': 792293, 'datasetid': 'document'}], 'docid': 186807, 'main': 'ALL - Artificial Neural Network Applications Use Measurements of Electrical Quantities to Estimate E.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 47713}]",pub,['FT5'],article,disk0_bak/00/04/77/13,"[{'name': {'honourific': None, 'family': 'Despa', 'lineage': None, 'given': 'Dikpride'}, 'id': 'despa@eng.unila.ac.id'}, {'name': {'family': 'Setyawan', 'honourific': None, 'lineage': None, 'given': 'FX. Arinto'}, 'id': 'fx.arinto@eng.unila.ac.id'}, {'name': {'given': 'Gigih Forda', 'honourific': None, 'family': 'Nama', 'lineage': None}, 'id': 'gigih@eng.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Delano', 'given': 'Jofanda'}, 'id': 'jofandadelano25@gmail.com'}]",['TK'],2023-01-11 08:11:48,archive,show,6,"Similarity check - Artificial Neural Network Applications Use Measurements of
Electrical Quantities to Estimate Electric Power",47713,1376.0,https://iopscience.iop.org/article/10.1088/1742-6596/1376/1/012029/pdf,"Prototype measurement of electrical quantities had been built and applied to the H
building in faculty of engineering,University of Lampung. Electrical quantities Measurement
of electrical quantities had been saved on TIK’s server. However, it had not been used for
estimation. Electric power is the electricity that tends to change following the electric load. So,
electric power can be predictable or estimation based on measurement data in the past. The
method of backpropogation artificial neural networks is a method that have a good approach to
nonlinearity. The results of testing the estimation of electric power consumption had been done
in the distribution panel of Electrical Engineering and Mechanical Engineering UNILA
indicated that this method can be used to estimate electric power consumption for one month
ahead with an accuracy of ±0,884%. Thus this research can be applied to real-time estimation
processes that can be accessed and displayed by web in real-time.",TRUE,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'despa@eng.unila.ac.id', 'name': {'given': 'Dikpride', 'lineage': None, 'honourific': None, 'family': 'despa'}}, {'id': 'fx.arinto@eng.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Arinto', 'honourific': None, 'family': 'Setyawan', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Nama', 'honourific': None, 'given': 'Gigih Forda'}, 'id': 'gigih@eng.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'jofandadelano25@gmail.com', 'name': {'lineage': None, 'family': 'Delano', 'honourific': None, 'given': 'Jofanda'}}]",,Artificial Neural Network Applications Use Measurements of Electrical Quantities to Estimate Electric Power,,,,,,,,1-13,despa@eng.unila.ac.id,,,,,,,,
9,2023-01-11 08:12:02,2023-01-11 08:12:02,656,public,http://repository.lppm.unila.ac.id/id/eprint/47721,IEEE,"[{'main': 'ALL- Design and Implementation of Smart Energy Management System Integrated with Internet of Things .pdf', 'docid': 186813, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/522590', 'objectid': 186813, 'filesize': 4309641, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2023-01-11 04:55:04', 'filename': 'ALL- Design and Implementation of Smart Energy Management System Integrated with Internet of Things .pdf', 'hash': '3577123e2738f8678123e1584bfbf08d', 'fileid': 522590, 'mime_type': 'application/pdf'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186813', 'eprintid': 47721, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",pub,['FT5'],article,disk0_bak/00/04/77/21,"[{'id': 'despa@eng.unila.ac.id', 'name': {'given': 'Dikpride', 'family': 'Despa', 'honourific': None, 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'prasetyo', 'given': 'sandy'}, 'id': 'sandyprasetyo@gmail.com'}, {'id': 'trisya.septiana@eng.unila.ac.id', 'name': {'given': 'Trisya', 'honourific': None, 'family': 'Septiana', 'lineage': None}}, {'id': 'gigih@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Nama', 'honourific': None, 'given': 'Gigih Forda'}}]",['TK'],2023-01-11 08:12:02,archive,show,6,"Similarity Check - Design and Implementation of Smart Energy
Management System Integrated with Internet of
Things (IoT) Technology in Engineering Faculty Unila",47721,,https://ieeexplore.ieee.org/document/9650655,"Abstract— Energy management is carried out for
planning, recording, monitoring, and evaluating
continuously without compromising the quality of its
production or service. This research aims to investigate
the value of Intensitas Konsumsi Energi (IKE), as an
important part of energy management activity, this
research was held at Gedung A Engineering Faculty,
University of Lampung (Unila). The source of electrical
energy supplies from PLN with 66 kVA 3-phase power
contract with a voltage of 380 Volts and P2 tariff group.
Monitoring of energy consumption can be observed
through equipment installed at working room and
distribution panel, that already implemented with
Internet of Things (IoT) technology. Its recorded data of
lighting condition, temperature, humidity, and also
electrical quantities such voltage, current, energy
consumption. The Energy Management System
developed using C program, PHP program, JavaScript,
HTML programming languages. Based on data captured
on March 8, 2021 shown the humidity average at 65%,
lux 155, temperature 270C, the maximum value of voltage
at each phase was; phase R with 210 Volts, phase S with
208 Volts, and phase T with 195 Volts. The maximum
value of current at each phase was; phase R with 38
Ampere, phase S with 41 Ampere, and phase T with 68
Ampere, while the energy consumption at phase R was
157534 Wh, at phase S was 245566 Wh, and at phase T
was 182885 Wh, and total IKE value at that day was
0.151912, that means this building has efficient status
energy usage.",TRUE,,,978-1-6654-0081-7,2021 International Conference on Converging Technology in Electrical and Information Engineering (ICCTEIE),,,,,,,,,,,,,,,,,
