,eprintid,date_type,official_url,title,rev_number,volume,metadata_visibility,status_changed,eprint_status,subjects,abstract,publication,creators,issn,date,dir,id_number,type,divisions,ispublished,number,documents,publisher,uri,full_text_status,refereed,lastmod,userid,pagerange,datestamp,patent_applicant,funders,pres_type,event_dates,event_type,event_location,event_title,contact_email,succeeds,referencetext,contributors,corp_creators,related_url,projects,keywords
0,2240,published,http://www.mdpi.com/journal/energies,"Comparative Study of Breakdown Voltage of Mineral,
Synthetic and Natural Oils and Based Mineral Oil
Mixtures under AC and DC Voltages",10,10.0,show,2017-05-31 04:56:34,archive,['TK'],"This paper deals with a comparative study of AC and DC breakdown voltages of based
mineral oil mixtures with natural and synthetic esters mainly used in high voltage power transformers.
The goal was to analyze the performances of oil mixtures from the dielectric withstand point of
view and to predict the behavior of transformers originally ﬁlled with mineral oil and re-ﬁlled
with synthetic or natural ester oils when emptied for maintenance. The study concerns mixtures
based on 20%, 50%, and 80% of natural and synthetic ester oils.  AC breakdown voltages were
measured using a sphere-sphere electrode system according to IEC 60156 speciﬁcations; the same
speciﬁcation was adopted for DC measurements since there is no standard speciﬁcations for this
voltage waveform. A statistical analysis of the mean values, standard deviations, and histograms of
breakdown voltage data was carried out. The Normal and Weibull distribution functions were used
to analyze the experimental data and the best function that the data followed was used to estimate
the breakdown voltage with risk of 1%, 10%, and 50% probability. It was shown that whatever the
applied voltage waveforms, ester oils always have a signiﬁcantly higher breakdown voltage than
mineral oil. The addition of only 20% of natural or synthetic ester oil was sufﬁcient to considerably
increase the breakdown voltage of mineral oil. The dielectric strength of such a mixture is much
higher than that of mineral oil alone and can reach that of ester oils.  From the point of view of
dielectric strength, the mixtures constitute an option for improving the performance of mineral oil.
Thus, re-ﬁlling of transformers containing up to 20% mineral oil residues with ester oils, does not
present any problem; it is even advantageous when considering only the breakdown voltage. Under
AC, the mixtures with natural ester always follow the behavior of vegetable oil alone.  With the
exception of the 20% mixture of natural ester in DC, the breakdown voltage values of all the tested
mixtures were in accordance with the normal distribution, which made it possible to deﬁne the
breakdown voltages for the risk levels of 1%, 10%, and 50% of probability.",Energies,"[{'id': 'Abderrahmane.Beroual@ec-lyon.fr', 'name': {'given': 'Abderrahmane', 'lineage': None, 'honourific': None, 'family': 'Beroual'}}, {'name': {'given': 'Usama', 'lineage': None, 'family': 'Khaled', 'honourific': None}, 'id': 'ukhaled@ksu.edu.sa'}, {'id': 'phanuel.noah@hotmail.fr', 'name': {'given': 'Phanuel Seraphine Mbolo', 'honourific': None, 'family': 'Noah', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Sitorus', 'honourific': None, 'given': 'Henry'}, 'id': 'hbhstr@gmail.com'}]",1996-1073,2017-04-10 00:00:00.000000000,disk0/00/00/22/40,doi:10.3390/en10040511,article,['FT5'],pub,511.0,"[{'eprintid': 2240, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'content': 'published', 'main': 'Henry_energies-10-00511- Cut.pdf', 'docid': 2127, 'files': [{'datasetid': 'document', 'filesize': 372692, 'fileid': 15497, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-05-30 15:11:56', 'filename': 'Henry_energies-10-00511- Cut.pdf', 'hash': '217135b7f15d4a9b92662aaea711d83e', 'objectid': 2127, 'uri': 'http://repository.lppm.unila.ac.id/id/file/15497'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2127', 'rev_number': 2}]",MDPI,http://repository.lppm.unila.ac.id/id/eprint/2240,public,TRUE,2017-05-31 04:56:34,1158,1-17,2017-05-31 04:56:34,,,,,,,,,,,,,,,
1,17476,published,https://electrician.unila.ac.id/index.php/ojs/article/view/2011,Studi Optimasi Penentuan Lokasi Penempatan Distributed Generation pada Sistem Distribusi Tiga Fasa dengan Metode Binary Linear Programming (BLP),6,11.0,show,2020-02-17 03:43:24,archive,['TK'],"Intisari--- Dalam sistem tenaga listrik, permasalahan rugi – rugi saluran serta jatuh tegangan sistem dapat diatasi dengan teknik Optimasi. Salah satu metode optimasi yang dapat digunakan yaitu Optimasi Penempatan Distributed Generation menggunakan metode Binary Linear Programming. Metode Binary Linear Programming yang digunakan mempunyai solusi berupa bilangan biner yaitu 0 atau 1. Bilangan 1 merepresentasikan adanya Distributed Generation yang di injeksikan ke sistem sementara 0 merepresentasikan tidak adanya Distributed Generation yang di injeksikan ke sistem. Distributed Generation merupakan salah satu teknologi pembangkit tersebar yang memiliki kapasitas kecil , berkisar belasan kilowatt (KW) sampai Megawatt (MW). Optimasi dilakukan untuk mencari solusi optimal lokasi penempatan dimana dalam solusi yang didapat mampu mengakomodir konstrain dalam sistem tenaga listrik, yaitu konstrain aliran daya, konstrain tegangan dan lainnya.Dalam penelitian ini optimasi dapat mengurangi rugi – rugi daya (losses power) jatuh tegangan (drop voltage) serta mengurangi injeksi daya (injection power) pada slack bus. Dibuktikan menggunakan case IEEE 34 bus serta menggunakan sebuah tipe Distributed Generation yaitu Pembangkit Listrik Tenaga Diesel (PLTD) 1 phasa yang diinjeksikan kedalam sistem distribusi 3 phasa. Hasil penelitian didapat bahwa setelah dioptimasi tegangan pada kasus meningkat sesuai dengan standar nilai teganga 0.9 < V < 1.05 , rugi – rugi daya (losses power) menurun serta injeksi daya (Injection Power) pada slack bus menurun dibanding sebelum dioptimasi.Kata kunci--- Studi Optimasi – Lokasi Penempatan, Distributed Generation, Metode Binary Linear Programming. Abstract--- In the electric power system, losses power and voltage drop problems can be solved by optimization technique. One of the method of optimization that can be used is the Optimization Placement of Distributed Generation using Binary Linear Programming. Binary Linear Programming method that is used has two solutions, there are 0 or 1. Number 1 represents the Distributed Generation is injected into the system while 0 represents there is nothing of Distributed Generation injected into the system. Distributed Generation is one of dispersed generation technologies that has a small capacity, ranging from tens of kilowatts (KW) until Megawatt (MW). Optimization is performed to find the optimal solution placement location where the resolution is able to accommodate the constraints in the power system, which are power flow constraint, voltage constraint and others. In this research, optimization can reduce losses power, voltage drop, moreover reducing injection power on the slack bus. Proven by using case IEEE 34 buses and using one Distributed Generation, Single Phase Diesel Power Plant which is injected into the three phase distribution system. As the result of optimization , voltage on the case increase according to the standard voltage value ( 0.9 < V < 1.05), power losses declining and Injection Power on the slack bus after optimized is lower than before optimized.Keywords--- Optimization Study - Location Placement, Distributed Generation, Method of Binary Linear Programming.",ELECTRICIAN – Jurnal Rekayasa dan Teknologi Elektro,"[{'id': None, 'name': {'given': 'Lima Silalahi', 'honourific': None, 'family': 'Chandra', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Lukmanul', 'honourific': None, 'given': 'Hakim'}, 'id': 'plgsekip@eng.unila.ac.id'}, {'id': 'herri.gusmedi@eng.unila.ac.id', 'name': {'given': 'Gusmedi', 'lineage': None, 'honourific': None, 'family': 'Herri'}}]",25493442,2017-01-01 00:00:00.000000000,disk0/00/01/74/76,,article,['FT5'],pub,1.0,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 17476, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30603', 'docid': 30603, 'main': 'Studi Optimasi Penentuan Lokasi Penempatan Distributed Generation pada Sistem Distribusi Tiga Fasa dengan Metode Binary Linear Programming (BLP).pdf', 'files': [{'filesize': 869892, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2020-01-03 07:40:26', 'hash': '5e47c96c2261cb10213368631875e753', 'filename': 'Studi Optimasi Penentuan Lokasi Penempatan Distributed Generation pada Sistem Distribusi Tiga Fasa dengan Metode Binary Linear Programming (BLP).pdf', 'fileid': 147797, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/147797', 'objectid': 30603}]}]","Department of Electrical Engineering, Faculty of Engineering, Universitas Lampung",http://repository.lppm.unila.ac.id/id/eprint/17476,public,TRUE,2020-02-17 03:43:24,484,9-20,2020-02-17 03:43:24,,,,,,,,,,,,,,,
2,24100,published,https://pdki-indonesia.dgip.go.id/index.php/hakcipta/TXU0aVZuTmQzNDdHU3NtdmJBV2JYdz09,Hak Cipta Program Komputer ELECTRICITY REAL- TIME ESTIMATION SYSTEM,9,,show,2020-09-21 03:28:30,archive,"['T1', 'T201', 'TK']","Pertumbuhan populasi manusia dan perkembangan teknologi selalu diikuti oleh peningkatan konsumsi energi. Salah satu bentuk energi yang banyak digunakan saat ini adalah energi listrik. Sistem tenaga listrik khususnya pada sistem tiga fase cenderung berfluktuasi akibat dari perubahan beban maupun keadaan abnormal. Oleh karena itu, perlu ada upaya untuk mengetahui kondisi tersebut guna melakukan berbagai tindakan yang mungkin dilakukan. Online monitoring sistem distribusi tenaga listrik berbasis arduino adalah solusi untuk mengatasi permasalahan tersebut. Sistem monitoring ini memanfaatkan arduino dan jaringan internet untuk memantau besaran listrik. Pengukuran dilakukan dengan sensor arus dan sensor tegangan, pengolahan data menggunakan arduino dan selanjutnya data ditransmisikan ke server untuk disimpan dan ditampilkan melaui web sehingga pemantauan mengenai besaran listrik pada sistem tenaga listrik yang terukur dapat diketahui secara real time.",,"[{'name': {'given': 'Dikpride', 'lineage': None, 'family': 'Despa', 'honourific': None}, 'id': 'despa@eng.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Muhammad', 'honourific': None, 'given': 'Meizano Ardhi'}, 'id': 'meizano@eng.unila.ac.id'}, {'name': {'given': 'Gigih Forda', 'lineage': None, 'family': 'Nama', 'honourific': None}, 'id': 'gigih@eng.unila.ac.id'}]",,2017-10-28 00:00:00.000000000,disk0/00/02/41/00,EC00201816447,patent,['FT5'],pub,,"[{'security': 'public', 'placement': 1, 'eprintid': 24100, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'filename': 'sertifikat_EC00201816447.pdf', 'hash': '52eee5fbd73163bea84a6c2bc12e07a0', 'mtime': '2020-09-20 05:09:13', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 219431, 'filesize': 770571, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/219431', 'objectid': 37803}], 'docid': 37803, 'main': 'sertifikat_EC00201816447.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/37803', 'rev_number': 1, 'format': 'text', 'pos': 1}]",,http://repository.lppm.unila.ac.id/id/eprint/24100,public,,2020-09-21 03:28:30,1199,,2020-09-21 03:28:30,Lembaga Penelitian dan Pengabdian kepada Masyarakat Universitas Lampung,['Universitas Lampung'],,,,,,,,,,,,,
3,24099,published,https://pdki-indonesia.dgip.go.id/index.php/hakcipta/REZqemdEczJuOTM5NkpnajkvSGJmdz09,Hak Cipta Program Komputer REAL-TIME ENERGY MONITORING SYSTEM,9,,show,2020-09-21 03:27:57,archive,"['T1', 'T201', 'TK']","Manajemen energi listrik perlu dilakukan mengingat sumber energi listrik di Indonesia semakin berkurang sementara kebutuhan energi listrik semakin meningkat. Upaya yang dapat dilakukan untuk menjaga ketersediaan sumber energi listrik adalah melakukan penghematan dalam menggunakan energi. Perkembangan jaringan internet dapat dimanfaat untuk mengetahui perilaku penggunaan energi di setiap saat, hal ini biasa dikenal dengan sistem monitoring. Teknologi yang digunakan dalam melakukan sistem monitoring biasa dikenal dengan Internet of Things. Komponen yang digunakan untuk membangun sistem monitoring pada penggunaan energi adalah kWh meter digital, Arduino Mega, Ethernet shield yang dirangkai sesuai skema rangkaian, kemudian dilengkapi dengan sebuah server untuk menempatkan data base untuk bisa di tampilkan pada sebuah web.",,"[{'id': 'despa@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Despa', 'lineage': None, 'given': 'Dikpride'}}, {'id': 'meizano@eng.unila.ac.id', 'name': {'given': 'Meizano Ardhi', 'lineage': None, 'honourific': None, 'family': 'Muhammad'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Nama', 'given': 'Gigih Forda'}, 'id': 'gigih@eng.unila.ac.id'}]",,2017-12-13 00:00:00.000000000,disk0/00/02/40/99,EC00201816446,patent,['FT5'],pub,,"[{'eprintid': 24099, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': 'sertifikat_EC00201816446.pdf', 'docid': 37802, 'files': [{'mime_type': 'application/pdf', 'fileid': 219422, 'hash': '37106c97a428aa0875c88dcc77fc98dd', 'filename': 'sertifikat_EC00201816446.pdf', 'hash_type': 'MD5', 'mtime': '2020-09-20 05:06:49', 'datasetid': 'document', 'filesize': 770318, 'objectid': 37802, 'uri': 'http://repository.lppm.unila.ac.id/id/file/219422'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37802'}]",,http://repository.lppm.unila.ac.id/id/eprint/24099,public,,2020-09-21 03:27:57,1199,,2020-09-21 03:27:57,Lembaga Penelitian dan Pengabdian kepada Masyarakat Universitas Lampung,['Universitas Lampung'],,,,,,,,,,,,,
4,7810,,https://ieeexplore.ieee.org/abstract/document/8304183/,Web-based real time monitoring of electrical quantities measurement,10,,show,2018-06-26 03:29:03,archive,['AC'],"Abstract:
This study aims to build an applications, that can monitor the value of electrical quantities in a real-time using web technology at H Building of Engineering Faculty, University of Lampung (Unila). The whole system consists of several hardware and software components. Some hardware components such as current sensors, voltage sensors, signal conditioning circuit, embedded computer Arduino Uno, and Ethernet Shield. The programming language used for data acquisition was C language. The web-based applications produced the electrical quantities data measurement, appears in the form of text and graphical format that can be access anytime and anywhere. Some of web development tools used in this web development those are HTML, CSS, JS, JSON, and PHP programming languages. The results of monitoring data shown, the amount of electricity at distribution panels at this building was not balanced. It happens due the electrical load was unbalanced on each phase, other fact found that the trend of electricity usage still follows the trend of working hours.",,"[{'name': {'given': 'Dikpride', 'lineage': None, 'family': 'Despa', 'honourific': None}, 'id': 'despa@eng.unila.ac.id'}, {'id': 'gigih@eng.unila.ac.id', 'name': {'given': 'Gigih Forda', 'lineage': None, 'honourific': None, 'family': 'Nama'}}, {'id': 'meizano@eng.unila.ac.id', 'name': {'given': 'Meizano Ardhi', 'lineage': None, 'honourific': None, 'family': 'Muhammad'}}, {'name': {'given': 'Kairul', 'lineage': None, 'honourific': None, 'family': 'Anwar'}, 'id': None}]",,2017-11-01 00:00:00.000000000,disk0/00/00/78/10,,conference_item,['FT5'],pub,,"[{'placement': 1, 'security': 'public', 'eprintid': 7810, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'datasetid': 'document', 'filesize': 1027432, 'fileid': 69905, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-06-26 03:21:14', 'hash': 'f47035387374b364a2843c6e5fbbdb2c', 'filename': 'despa2017.pdf', 'objectid': 20848, 'uri': 'http://repository.lppm.unila.ac.id/id/file/69905'}], 'docid': 20848, 'main': 'despa2017.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20848', 'pos': 1, 'format': 'text'}]",,http://repository.lppm.unila.ac.id/id/eprint/7810,public,TRUE,2018-06-26 03:29:03,3,,2018-06-26 03:29:03,,,paper,24-25 Nov. 2017,conference,Malang,2017 International Conference on Sustainable Information Engineering and Technology (SIET),,,,,,,,
5,25425,,https://ieeexplore.ieee.org/document/8167149,"Penilaian Karya Ilmiah Untuk Artikel ""On the Reduction of Interference Effect Using Power Control for Device-to-Device Communication Underlying Cellular Communication Network""",7,,show,2020-11-16 03:07:41,archive,['TK'],,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Fitriawan', 'given': 'Helmy'}, 'id': 'helmy.fitriawan@eng.unila.ac.id'}]",,2017-08-01 00:00:00.000000000,disk0/00/02/54/25,,other,['FT5'],pub,,"[{'files': [{'hash_type': 'MD5', 'mtime': '2020-11-16 03:05:14', 'filename': '13. Penilaian_Karya_Ilmiah_On the Reduction of Interference Effect Using Power Control for Device-to-Device Communication.pdf', 'hash': '80715204402752a581ab8bd7706bba16', 'fileid': 229560, 'mime_type': 'application/pdf', 'filesize': 1760982, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/229560', 'objectid': 39215}], 'docid': 39215, 'main': '13. Penilaian_Karya_Ilmiah_On the Reduction of Interference Effect Using Power Control for Device-to-Device Communication.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/39215', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 25425, 'mime_type': 'application/pdf', 'language': 'en'}]",Institute of Electrical and Electronics Engineers (IEEE),http://repository.lppm.unila.ac.id/id/eprint/25425,public,,2020-11-16 03:07:41,663,,2020-11-16 03:07:41,,,,,,,,helmy.fitriawan@eng.unila.ac.id,,,,,,,
6,25420,,https://ieeexplore.ieee.org/document/8168495,"Penilaian Karya Ilmiah Untuk Artikel ""Zigbee Based Wireless Networks and Performance Analysis in Various Environments""",7,,show,2020-11-16 03:06:58,archive,['TK'],,,"[{'id': 'helmy.fitriawan@eng.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Fitriawan', 'given': 'Helmy'}}]",,2017-07-01 00:00:00.000000000,disk0/00/02/54/20,,other,['FT5'],pub,,"[{'security': 'public', 'placement': 1, 'eprintid': 25420, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'hash_type': 'MD5', 'mtime': '2020-11-16 02:56:08', 'filename': '10. Penilaian_Karya_Ilmiah_Zigbee Based Wireless Networks and Performance Analysis in Various Environments.pdf', 'hash': 'e56e06c25bb814c7b7e18069e460d8a9', 'fileid': 229507, 'mime_type': 'application/pdf', 'filesize': 1704020, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/229507', 'objectid': 39209}], 'main': '10. Penilaian_Karya_Ilmiah_Zigbee Based Wireless Networks and Performance Analysis in Various Environments.pdf', 'docid': 39209, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39209', 'rev_number': 1, 'format': 'text', 'pos': 1}]",Institute of Electrical and Electronics Engineers (IEEE),http://repository.lppm.unila.ac.id/id/eprint/25420,public,,2020-11-16 03:06:58,663,,2020-11-16 03:06:58,,,,,,,,helmy.fitriawan@eng.unila.ac.id,,,,,,,
7,24955,,https://ieeexplore.ieee.org/document/8167149,"Similarity Index Untuk Artikel ""On the Reduction of Interference Effect Using Power Control for Device-to-Device Communication Underlying Cellular Communication Network""",5,,show,2020-11-11 08:15:53,archive,['TK'],,,"[{'name': {'given': 'Helmy', 'honourific': None, 'family': 'Fitriawan', 'lineage': None}, 'id': 'helmy.fitriawan@eng.unila.ac.id'}]",,2017-08-01 00:00:00.000000000,disk0/00/02/49/55,,other,['FT5'],pub,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/38700', 'rev_number': 1, 'format': 'text', 'pos': 2, 'files': [{'objectid': 38700, 'uri': 'http://repository.lppm.unila.ac.id/id/file/225943', 'mime_type': 'application/pdf', 'fileid': 225943, 'filename': '13. On_the_Reduction_of_Interference_Effect_Using_Powe.pdf', 'hash': '503fc6425761249e1caff0e2a6c947ae', 'hash_type': 'MD5', 'mtime': '2020-11-11 07:51:58', 'datasetid': 'document', 'filesize': 2071870}], 'docid': 38700, 'main': '13. On_the_Reduction_of_Interference_Effect_Using_Powe.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 2, 'eprintid': 24955}]",Institute of Electrical and Electronics Engineers (IEEE),http://repository.lppm.unila.ac.id/id/eprint/24955,public,,2020-11-11 08:15:53,663,,2020-11-11 08:15:53,,,,,,,,,24950.0,,,,,,
8,24932,,https://ieeexplore.ieee.org/document/8168495,"Similarity Index Untuk Artikel ""Zigbee Based Wireless Networks and Performance Analysis in Various Environments""",7,,show,2020-11-11 07:40:39,archive,['TK'],,,"[{'name': {'given': 'Helmy', 'lineage': None, 'family': 'Fitriawan', 'honourific': None}, 'id': 'helmy.fitriawan@eng.unila.ac.id'}]",,2017-07-01 00:00:00.000000000,disk0/00/02/49/32,,other,['FT5'],pub,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/38676', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'fileid': 225776, 'hash': '48e5e9f5f4e0f3a07d1c3a519e210a04', 'filename': '10. ZigBee_Based_Wireless_Sensor_Networks_and_Performa.pdf', 'hash_type': 'MD5', 'mtime': '2020-11-11 06:55:47', 'datasetid': 'document', 'filesize': 1182890, 'objectid': 38676, 'uri': 'http://repository.lppm.unila.ac.id/id/file/225776'}], 'main': '10. ZigBee_Based_Wireless_Sensor_Networks_and_Performa.pdf', 'docid': 38676, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 24932}]",Institute of Electrical and Electronics Engineers (IEEE),http://repository.lppm.unila.ac.id/id/eprint/24932,public,,2020-11-11 07:40:39,663,,2020-11-11 07:40:39,,,,,,,,helmy.fitriawan@eng.unila.ac.id,,,,,,,
9,25567,,https://ieeexplore.ieee.org/document/8168495,Zigbee Based Wireless Networks and Performance Analysis in Various Environments,8,,show,2020-11-16 15:08:00,archive,['TK'],"To achieve a reliable and robust system for environmental monitoring, there is an available technology that can be used to resolve this problem and moreover provide for better living. Wireless sensor networks (WSN) have been successfully applied in many environmental monitoring. An ad-hoc wireless sensor network consists of a number of small and self-power sensing devices (nodes) connected using effective wireless networks. Compared to wired networks, there are several challenges that must be addressed in wireless networks. These challenges are limitiation in communication bandwidth and energy constraint in sensor node, therefore it is important to know their realibility and performance. This paper reports the development and performance analysis of an embedded wireless sensor network for temperature and humidity monitoring in the environment. The network itself consists of a coordinator or data gateway which wirelessly collect temperature and humidity data from several sensor nodes that are responsible to provide those data. Each sensor node is developed from an arduino based microcontroller, Xbee wireless module based on Zigbee/IEEE 802.15.4 standards, and temperature and humidity sensor devices. The network quality of service (QoS) is investigated in terms of delay, throughput and packet loss as a function of sensor node distance and transmitted packet size over line of sight  (LOS) and non line of sight (NLOS) conditions. The throughput and packet delay are also measured as a function of the baud rate in point to point link. This experiment is performed to have an insight how the baud rate affect the latency of the communication over the Zigbee protocol. Next, we also considered the multi-hop scenario with the presence of router for relaying pakets from the sensor node to the coordinator. The performance of multi-hop configuration is compared to that of direct transmission. Based on our analysis, it is concluded that the Zigbee based WSN is more suitable for low data rate applications.",,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Fitriawan', 'given': 'Helmy'}, 'id': 'helmy.fitriawan@eng.unila.ac.id'}, {'id': 'misfa@eng.unila.ac.id', 'name': {'given': 'Misfa', 'family': 'Susanto', 'honourific': None, 'lineage': None}}, {'name': {'family': 'Arifin', 'honourific': None, 'lineage': None, 'given': 'Ahmad Surya'}, 'id': 'ahmadsurya22@gmail.com'}, {'id': 'dannymausa@gmail.com', 'name': {'given': 'Danny', 'lineage': None, 'family': 'Mausa', 'honourific': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Trisanto', 'given': 'Agus'}, 'id': 'trisanto@eng.unila.ac.id'}]",,2017-07-01 00:00:00.000000000,disk0/00/02/55/67,,conference_item,['FT5'],pub,,"[{'docid': 39362, 'main': '10. Zigbee Based Wireless Networks and Performance_2017.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/230445', 'objectid': 39362, 'filesize': 9174633, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2020-11-16 09:55:23', 'filename': '10. Zigbee Based Wireless Networks and Performance_2017.pdf', 'hash': 'cbe0e2c897035f45a358fb84f58805b3', 'fileid': 230445, 'mime_type': 'application/pdf'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/39362', 'rev_number': 1, 'eprintid': 25567, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",,http://repository.lppm.unila.ac.id/id/eprint/25567,public,TRUE,2020-11-16 15:08:00,663,272-275,2020-11-16 15:08:00,,,paper,24-27 July 2017,conference,"Bali, Indonesia.",15th International Conference on Quality in Research (QIR 2017),helmy.fitriawan@eng.unila.ac.id,,,,,,,
