,ispublished,publisher,documents,uri,full_text_status,userid,lastmod,datestamp,creators,dir,date,type,divisions,title,rev_number,metadata_visibility,eprint_status,status_changed,subjects,eprintid,abstract,date_type,pagerange,refereed,publication,volume,official_url,issn,number,place_of_pub,isbn,book_title,related_url,id_number,pages,series,contact_email
0,pub,Universitas Lampung,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 22250, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35667', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 35667, 'uri': 'http://repository.lppm.unila.ac.id/id/file/204701', 'fileid': 204701, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-06-11 04:17:55', 'filename': 'Identifikasi Panas Objek Menggunakan Citra Thermal (ELECTRICIAN).pdf', 'hash': '7566f59ce9a2f8f03a3b6dd5c3ba17ed', 'datasetid': 'document', 'filesize': 907810}], 'docid': 35667, 'main': 'Identifikasi Panas Objek Menggunakan Citra Thermal (ELECTRICIAN).pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/22250,public,586,2020-06-11 06:38:25,2020-06-11 06:38:25,"[{'id': None, 'name': {'given': 'Marta Yose', 'family': 'Aulia', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Sri Ratna', 'honourific': None, 'family': 'Sulistiyanti', 'lineage': None}, 'id': 'sr_sulistiyanti@eng.unila.ac.id'}]",disk0/00/02/22/50,2008-09-01 00:00:00.000000000,other,['FT5'],Peer Review Karya Ilmiah : Jurnal Nasional dengan Judul Identifikasi Panas Objek Menggunakan Citra Termal,7,show,archive,2020-06-11 06:38:25,['TK'],22250,,,,,,,,,,,,,,,,,
1,pub,Universitas Lampung,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35666', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/204694', 'objectid': 35666, 'filesize': 907810, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2020-06-11 04:06:07', 'filename': 'Identifikasi Panas Objek Menggunakan Citra Thermal (ELECTRICIAN).pdf', 'hash': '7566f59ce9a2f8f03a3b6dd5c3ba17ed', 'fileid': 204694, 'mime_type': 'application/pdf'}], 'main': 'Identifikasi Panas Objek Menggunakan Citra Thermal (ELECTRICIAN).pdf', 'docid': 35666, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 22249}]",http://repository.lppm.unila.ac.id/id/eprint/22249,public,586,2020-06-11 06:38:20,2020-06-11 06:38:20,"[{'id': None, 'name': {'given': 'Yopi', 'family': 'Marjuki', 'honourific': None, 'lineage': None}}, {'id': 'sr_sulistiyanti@eng.unila.ac.id', 'name': {'family': 'Sulistiyanti', 'honourific': None, 'lineage': None, 'given': 'Sri Ratna'}}, {'id': 'fx.arinto@eng.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Setyawan', 'given': 'FX Arinto'}}]",disk0/00/02/22/49,2008-09-01 00:00:00.000000000,other,['FT5'],Peer Review Karya Ilmiah: Jurnal Nasional dengan Judul Identifikasi Panas Objek Menggunakan Citra Thermal,7,show,archive,2020-06-11 06:38:20,['TK'],22249,,,,,,,,,,,,,,,,,
2,pub,LPPM Unila,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 10746, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23760', 'pos': 1, 'format': 'text', 'files': [{'hash': 'ef0bdfe4b922c294c75a23870258c5d4', 'filename': 'SRI PURWIYANTI 216-223.pdf', 'mtime': '2019-02-12 02:43:31', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 99178, 'filesize': 316226, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/99178', 'objectid': 23760}], 'main': 'SRI PURWIYANTI 216-223.pdf', 'docid': 23760}]",http://repository.lppm.unila.ac.id/id/eprint/10746,public,56,2019-03-15 02:54:29,2019-03-15 02:54:29,"[{'name': {'given': 'Sri', 'lineage': None, 'family': 'Purwiyanti', 'honourific': None}, 'id': 'sri.purwiyanti@eng.unila.ac.id'}, {'id': 'fx.arinto@eng.unila.ac.id', 'name': {'family': 'Setyawan', 'honourific': None, 'lineage': None, 'given': 'FX. Arinto'}}]",disk0/00/01/07/46,1970-01-01 00:00:00.000002008,article,['FT5'],"Penentuan Letak Derau pada Citra Berderau Salt And Pepper
Berdasarkan Sifat Ketetanggaan Piksel",8,show,archive,2019-03-15 02:54:29,['TK'],10746,"Salt and Pepper noise is caused by malfunctioning pixel in camera sensor, defect in memory
locations of hardware or transmission in a noisy channel. The image pixel will be seen different
from its neighbour pixel. For images corrupted by salt-and-pepper noise, the noisy pixels can
take only the maximum and the minimum values in the dynamic range. This noise can be
represented with black or white dot in the image.
The median filter was once the most popular nonlinear filter for removing salt and pepper noise,
because of its good power denoising and computational efficiency. However, the median filter
method caused all pixel of the restored image will be changed, so the image become not
original. Restored can be done for degraded pixel to keep the originality of image. Degraded
pixel determination can be determinate by seeing neighbour pixels and its compared with salt
and pepper noise characteristic. Pixel has degraded if it has been black or white color and its
surrounding has not the same color.
Proposed method has been tested to standard image, i.e. Lena and Mandrill with noise which has
0.01-0.7 density. The result of the Lena image is 97.7% and in the Mandrill is 98.05%.",published,216-223,TRUE,Prosiding Seminar Hasil Penelitian dan Pengabdian Masyarakat,,,,,,,,,,,,
3,pub,Universitas Ahmad Dahlan,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 647, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/551', 'pos': 1, 'format': 'text', 'files': [{'objectid': 551, 'uri': 'http://repository.lppm.unila.ac.id/id/file/3582', 'fileid': 3582, 'mime_type': 'application/pdf', 'mtime': '2016-09-23 05:57:43', 'hash_type': 'MD5', 'filename': '13_Jurnal Nasional Telkomnika 2008.pdf', 'hash': '8cb31775c14b41ea34c45bfaff97c35b', 'datasetid': 'document', 'filesize': 191763}], 'docid': 551, 'main': '13_Jurnal Nasional Telkomnika 2008.pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/647,public,504,2016-09-23 07:30:49,2016-09-23 07:30:49,"[{'id': 'ahmad.saudi@eng.unila.ac.id', 'name': {'given': 'Ahmad Saudi', 'honourific': None, 'family': 'Samosir', 'lineage': None}}]",disk0/00/00/06/47,2008-04-01 00:00:00.000000000,article,['FT5'],Studi Penggunaan Penyearah 18 Pulsa dengan Transformator 3 Fasa ke 9 Fasa Hubungan Segienam,6,show,archive,2016-09-23 07:30:49,['TK'],647,Karya Ilmiah ini mepresentasikan tentang Studi Penggunaan Penyearah 18 Pulsa. Pada aplikasinya penyearah 18 Pulsa memerlukan sumber AC 9 fasa. Pada tulisan ini diusulkan rancangan transformator untuk mengubah sumber 3 fasa menjadi 9 fasa dengan menggunakan transformator 3 fasa ke 9 fasa Hubungan Segi enam. Desain rancangan dan perhitungan dibahas secara detil pada tulisan ini. Kemudian sumber 9 fasa yang dihasilkan disearahkan dengan penyearah 9 fasa gelombang penuh dan menghasilkan penyearah 18 pulsa.,published,21-32,TRUE,TELKOMNIKA,6.0,http://telkomnika.ee.uad.ac.id/n9/files/Vol.6No.1Apr08/6.1.4.08.04.pdf,1693-6930,1.0,,,,,,,,
4,pub,Penerbit UTM Press,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/534', 'rev_number': 1, 'main': '01_Book Chapter UTM.pdf', 'docid': 534, 'files': [{'datasetid': 'document', 'filesize': 1073855, 'fileid': 3476, 'mime_type': 'application/pdf', 'mtime': '2016-09-21 04:47:08', 'hash_type': 'MD5', 'filename': '01_Book Chapter UTM.pdf', 'hash': '004be1688e558a6b4b18f27bf11b8664', 'objectid': 534, 'uri': 'http://repository.lppm.unila.ac.id/id/file/3476'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 630, 'placement': 1, 'security': 'public'}]",http://repository.lppm.unila.ac.id/id/eprint/630,public,504,2016-09-23 07:22:58,2016-09-23 07:22:58,"[{'name': {'honourific': None, 'family': 'Samosir', 'lineage': None, 'given': 'Ahmad Saudi'}, 'id': 'ahmad.saudi@eng.unila.ac.id'}, {'name': {'given': 'Abdul Halim', 'family': 'Mohd Yatim', 'honourific': None, 'lineage': None}, 'id': 'halim@fke.utm.my'}]",disk0/00/00/06/30,1970-01-01 00:00:00.000002008,book_section,['FT5'],Dynamic Evolution Control For Step Down DC-DC Converter,7,show,archive,2016-09-23 07:22:58,['TK'],630,"Karya ilmiah ini mepresentasikan tentang sebuah teknik untuk mengontrol keluaran Konverter Elektronika Daya dari jenis Step down Converter menggunakan Teknik Dynamic Evolution Control. Tulisan ini membahas antara lain Dynamic Evolution Control Theory, synthesis penurunan formula kontroler untuk step down dc-dc converter, serta pembuatan model dan simulasi computer untuk memverifikasi unjuk kerja kontroler.",published,37-49,TRUE,,,https://scholar.google.com/scholar?oi=bibs&cluster=11116253314912557823&btnI=1&hl=en,,,"Johor, Malaysia",978-983-52-0648-1,Modeling and Control of Power Converters and Drives,,,,,
5,pub,Universitas Lampung,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 50241, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189940', 'rev_number': 1, 'docid': 189940, 'main': 'Respons Impuls Pada Elektroda Pentanahan Batang Tunggal Untuk Menentukan Nilai Impedansi Pentanahan.pdf', 'files': [{'hash': '9c8ba8ab6c0adcf56b6457b790da5adc', 'filename': 'Respons Impuls Pada Elektroda Pentanahan Batang Tunggal Untuk Menentukan Nilai Impedansi Pentanahan.pdf', 'hash_type': 'MD5', 'mtime': '2023-04-11 07:29:27', 'mime_type': 'application/pdf', 'fileid': 542871, 'filesize': 379082, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/542871', 'objectid': 189940}]}]",http://repository.lppm.unila.ac.id/id/eprint/50241,public,689,2023-04-11 07:37:59,2023-04-11 07:37:59,"[{'id': 'herman.h.sinaga@eng.unila.ac.id', 'name': {'given': 'Herman Halomoan', 'lineage': None, 'honourific': None, 'family': 'Sinaga'}}, {'name': {'given': 'Gamaliel', 'lineage': None, 'family': 'Ketaren', 'honourific': None}, 'id': None}, {'id': None, 'name': {'lineage': None, 'family': 'Sunardi', 'honourific': None, 'given': 'Anang'}}]",disk0_bak/00/05/02/41,2008-05-01 00:00:00.000000000,article,['FT5'],Respons Impuls Pada Elektroda Pentanahan Batang Tunggal Untuk Menentukan Nilai Impedansi Pentanahan,7,show,archive,2023-04-11 07:37:59,['TK'],50241,"A good grounding system belived if the its resistance has a small value that measured with DC source or low frquency. Meanwhile, lightning stroke that caused impulse current with high frequency up to kHz, so when gounding system work when striking by lightning, its impedance not only mark out by resisftif component but also will affected by induktif and capasitif value. In this paper discussed impedance of grounding system for driven rod that burried with varying dept from 2 to 6 meter. Then impulse injected to imitate lightning stroke as a voltage source with high frequency. From measurement and calculation result  shows that the lowest grounding system was 23,01 ohm when the dept of driven rod 6 m and grounding impedance decrease abut 5.25 ohm pe meter. Experiment result compare with simulasion using EMTP. EMTP model for driven rod using a R-L-C model. The result shows the magnitude of voltage and current for both experiment and simulation have a good correspondingly, but response for simulation has a far farter tail time impulse. Keyword: impulse response, grounding impedance, driven rod grounding",published,,TRUE,ELECTRICIAN – Jurnal Rekayasa dan Teknologi Elektro,,https://electrician.unila.ac.id/index.php/ojs/issue/view/3,1978-6042,,,,,[{'url': 'https://electrician.unila.ac.id/index.php/ojs/article/view/ele-200805-02-02-04'}],,,,
6,pub,Universitas Lampung,"[{'placement': 1, 'security': 'public', 'eprintid': 50237, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'mime_type': 'application/pdf', 'fileid': 542833, 'filename': 'Analisis Karakteristik Gangguan Hubung Singkat Antar Belitan Transformator Menggunakan Transformasi Wavelet Diskrit.pdf', 'hash': 'f66a03440c864c3fb38658af097f1f13', 'hash_type': 'MD5', 'mtime': '2023-04-11 07:24:24', 'datasetid': 'document', 'filesize': 355249, 'objectid': 189938, 'uri': 'http://repository.lppm.unila.ac.id/id/file/542833'}], 'main': 'Analisis Karakteristik Gangguan Hubung Singkat Antar Belitan Transformator Menggunakan Transformasi Wavelet Diskrit.pdf', 'docid': 189938, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189938', 'pos': 1, 'format': 'text'}]",http://repository.lppm.unila.ac.id/id/eprint/50237,public,689,2023-04-11 07:38:02,2023-04-11 07:38:02,"[{'name': {'given': 'Herman Halomoan', 'lineage': None, 'honourific': None, 'family': 'Sinaga'}, 'id': 'herman.h.sinaga@eng.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Sitorus', 'lineage': None, 'given': 'Henry B.H.'}, 'id': 'hbhstr@gmail.com'}, {'name': {'honourific': None, 'family': 'Risky', 'lineage': None, 'given': 'Risky'}, 'id': None}]",disk0_bak/00/05/02/37,2008-01-01 00:00:00.000000000,article,['FT5'],Analisis Karakteristik Gangguan Hubung Singkat Antar Belitan Transformator Menggunakan Transformasi Wavelet Diskrit,7,show,archive,2023-04-11 07:38:02,['TK'],50237,"Transient fault could occur on transformer in power system. This is could be because of internal fault or external fault. Disturbance could be because of short circuit between winding of transformer or because of short circuit on load. Short circuit on transformer winding could lead to catastrophic failure of transformer. So itâ€™s needed to detect short circuit between winding on transformer before it breakdown. On this paper discussed experiment using a step transformer 220/500 volt with 5 tap on primer side and 10 tap on secondary side. Each tap on primary and secondary side is connected to simulated short circuit evidence in transformer winding. The transformer connected to resistif load that have 10 tap to simulated short circuit on load side. Measurements conduct on both side and analysis done using wavelet transformation analysis. Experiment result shows measurement result on secondary side gave wavelet decomposition that easier to discriminate fault result from normal condition. Fault condition could be known from spike thatâ€™s occurs on wavelet decomposition. Keywords : wavelet transformation, short circuit fault, wavelet decomposition",published,,TRUE,ELECTRICIAN – Jurnal Rekayasa dan Teknologi Elektro,,https://electrician.unila.ac.id/index.php/ojs/issue/view/2,1978-6042,,,,,[{'url': 'https://electrician.unila.ac.id/index.php/ojs/article/view/ele-200801-02-01-06'}],,,,
7,pub,Universitas Lampung,"[{'files': [{'hash': 'd01b8543d1a7200d88f9adbb316fe2e2', 'filename': 'Rancang Bangun Model Sistem Pemantau Tinggu Muka Air (ELECTRICIAN).pdf', 'hash_type': 'MD5', 'mtime': '2020-06-11 07:47:56', 'mime_type': 'application/pdf', 'fileid': 204882, 'filesize': 924298, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/204882', 'objectid': 35694}], 'main': 'Rancang Bangun Model Sistem Pemantau Tinggu Muka Air (ELECTRICIAN).pdf', 'docid': 35694, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35694', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 22278, 'language': 'en', 'mime_type': 'application/pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/22278,public,586,2020-06-11 08:38:21,2020-06-11 08:38:21,"[{'id': 'sr_sulistiyanti@eng.unila.ac.id', 'name': {'family': 'Sulistiyanti', 'honourific': None, 'lineage': None, 'given': 'Sri Ratna'}}, {'name': {'given': 'Warsito', 'family': 'Warsito', 'honourific': None, 'lineage': None}, 'id': 'warsito@fmipa.unila.ac.id'}, {'name': {'given': 'Andi', 'lineage': None, 'family': 'Darmawan', 'honourific': None}, 'id': None}]",disk0/00/02/22/78,2008-01-01 00:00:00.000000000,other,['FT5'],Peer Review Karya Ilmiah : Jurnal Nasional dengan Judul Rancang Bangun Model Sistem Pemantauan Tinggi Muka Air Sungai Menggunakan Telemetri Radio,7,show,archive,2020-06-11 08:38:21,['TK'],22278,,,,,,,,,,,,,,,,,
8,pub,SPRINGER,"[{'files': [{'filesize': 205267, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2022-11-26 03:04:11', 'hash': 'e62acc1251b407c9020c76dc179c256c', 'filename': 'BUKTI KORESPONDENSI IFIP-AICT 2008.pdf', 'fileid': 515924, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/515924', 'objectid': 185840}], 'docid': 185840, 'main': 'BUKTI KORESPONDENSI IFIP-AICT 2008.pdf', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185840', 'formatdesc': 'BUKTI KORESPONDENSI IFIP-AICT 284', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 46901, 'content': 'published', 'mime_type': 'application/pdf', 'language': 'en'}]",http://repository.lppm.unila.ac.id/id/eprint/46901,public,668,2022-11-28 02:13:28,2022-11-28 02:13:28,"[{'id': 'ardian.ulvan@eng.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Ulvan', 'given': 'Ardian'}}]",disk0/00/04/69/01,1970-01-01 00:00:00.000002008,other,['FT5'],BUKTI KORESPONDENSI IFIP-AICT 2008,8,show,archive,2022-11-28 02:13:28,['TK'],46901,,,,,,,,,,,,,,,,,
9,pub,SPRINGER,"[{'eprintid': 46907, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'content': 'published', 'main': 'BUKTI KORESPONDENSI SPRINGER IFIP-AICT 284 2008.pdf', 'docid': 185844, 'files': [{'mtime': '2022-11-26 05:04:49', 'hash_type': 'MD5', 'filename': 'BUKTI KORESPONDENSI SPRINGER IFIP-AICT 284 2008.pdf', 'hash': '689466377ef077a6fbfcb578cbf5af59', 'fileid': 515958, 'mime_type': 'application/pdf', 'filesize': 160692, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/515958', 'objectid': 185844}], 'format': 'text', 'pos': 1, 'formatdesc': 'BUKTI KORESPONDENSI SPRINGER IFIP-AICT 284 2008', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185844'}]",http://repository.lppm.unila.ac.id/id/eprint/46907,public,668,2022-11-28 02:13:34,2022-11-28 02:13:34,"[{'id': 'ardian.ulvan@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Ulvan', 'lineage': None, 'given': 'Ardian'}}]",disk0/00/04/69/07,1970-01-01 00:00:00.000002008,other,['FT5'],BUKTI KORESPONDENSI SPRINGER IFIP-AICT 284 2008,9,show,archive,2022-11-28 02:13:34,['TK'],46907,,,,,,,,,,,,,,,,,
