,type,divisions,creators,publication,date,dir,lastmod,userid,datestamp,pagerange,documents,publisher,ispublished,refereed,full_text_status,uri,eprintid,date_type,status_changed,eprint_status,subjects,title,metadata_visibility,rev_number,volume,abstract,number,pres_type,event_location,event_title,event_type,corp_creators,event_dates,official_url,issn
0,article,['FEB5'],"[{'id': 'neli.aida@feb.unila.ac.id', 'name': {'family': 'AIDA', 'honourific': None, 'lineage': None, 'given': 'NELI'}}]",PROSIDING SEMINAR NASIONAL PEMBANGUNAN INFRASTRUKTUR DAN PENGEMBANGAN WILAYAH. M,2012-05-03 00:00:00.000000000,disk0/00/02/69/31,2020-12-01 04:56:29,515,2020-12-01 04:56:29,75-86,"[{'eprintid': 26931, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 40949, 'main': 'Pengaruh Spillover Efffect Provinsi DKI Jakarta dan Provinsi Sumsel Terhadap Pertumbuhan Ekonomi Prov. Lampung.pdf', 'files': [{'datasetid': 'document', 'filesize': 12229070, 'fileid': 241677, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-12-01 04:43:04', 'hash': '33d01b1f34b46bb5821294921bf7628e', 'filename': 'Pengaruh Spillover Efffect Provinsi DKI Jakarta dan Provinsi Sumsel Terhadap Pertumbuhan Ekonomi Prov. Lampung.pdf', 'objectid': 40949, 'uri': 'http://repository.lppm.unila.ac.id/id/file/241677'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40949', 'rev_number': 1}]",MAGISTER TEKNIK SIPIL DAN LAMPUNG POST,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/26931,26931,published,2020-12-01 04:56:29,archive,['H1'],PENGARUH SPILLOVER EFFECT PROVINSI DKI JAKARTA DAN PROVINSI SUMATERA SELATAN TERHADAP PERTUMBUHAN EKONOMI PROVINSI LAMPUNG,show,6,,,,,,,,,,,
1,article,['FEB5'],"[{'id': 'neli.aida@feb.unila.ac.id', 'name': {'family': 'AIDA', 'honourific': None, 'lineage': None, 'given': 'NELI'}}]",PROSIDING SEMINAR NASIONAL PEMBANGUNAN INFRASTRUKTUR DAN PENGEMBANGAN WILAYAH,2012-05-03 00:00:00.000000000,disk0/00/02/69/49,2020-12-01 07:40:17,515,2020-12-01 07:40:17,11-18,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/40966', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'filesize': 8045247, 'datasetid': 'document', 'filename': 'Pengembangan Industri Sekunder Berbasis Komoditi Kopi dalam Upaya Membangun Klaster Ekonomi Andalan Di Kabupaten Lampung Barat.pdf', 'hash': '36cfad84703987665e80b63ad93f117a', 'hash_type': 'MD5', 'mtime': '2020-12-01 07:15:40', 'mime_type': 'application/pdf', 'fileid': 241800, 'uri': 'http://repository.lppm.unila.ac.id/id/file/241800', 'objectid': 40966}], 'docid': 40966, 'main': 'Pengembangan Industri Sekunder Berbasis Komoditi Kopi dalam Upaya Membangun Klaster Ekonomi Andalan Di Kabupaten Lampung Barat.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 26949}]",,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/26949,26949,published,2020-12-01 07:40:17,archive,['H1'],PENGEMBANGAN INDUSTRI SEKUNDER BERBASIS KOMODITI KOPI DALAM UPAYA MEMBANGUN KLUSTER EKONOMI ANDALAN DI KABUPATEN LAMPUNG BARAT,show,7,,,,,,,,,,,
2,article,['FEB5'],"[{'name': {'honourific': None, 'family': 'Emalia', 'lineage': None, 'given': 'Zulfa'}}]",JEP,1970-01-01 00:00:00.000002012,disk0/00/00/00/62,2016-06-30 03:37:22,1,2016-06-30 03:37:22,,"[{'security': 'public', 'placement': 1, 'eprintid': 62, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'fileid': 371, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2016-06-30 03:35:42', 'filename': 'Publikasi_Jurnal(14).pdf', 'hash': '1a899f0c68012c5631a9101cad357dfe', 'datasetid': 'document', 'filesize': 808705, 'objectid': 85, 'uri': 'http://repository.lppm.unila.ac.id/id/file/371'}], 'docid': 85, 'main': 'Publikasi_Jurnal(14).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/85', 'rev_number': 1, 'format': 'text', 'pos': 1}]",,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/62,62,published,2016-06-30 03:37:22,archive,['AC'],"Analisis Konvergensi Produk Domestik Regional Bruto (PDRB) Per Kapita
Antarkabupaten/kota di Propinsi Lampung",show,6,1.0,"Tujuan utama dari penelitian ini adalah untuk menganalisis konvergensi pendapatan
per kapita pada 10 kabupaten/kota di Propinsi Lampung selama periode 2001-2007. Tujuan
lain dari penelitian ini adalah untuk menganalisis struktur dan pola pertumbuhan ekonomi di
Propinsi Lampung berdasarkan Tipologi Daerah serta menentukan faktor-faktor yang
mempengaruhi pendapatan per kapita di tiap kabuapten/kota.
 Analisis Konvergensi sigma diuji dengan menggunakan koefisien variasi, hasilnya
menunjukkan bahwa dispersi pendapatan per kapita selama periode observasi cenderung
meningkat. Dari hasil tersebut  juga menyatakan bahwa distribusi pendapatan cenderung
divergen. Hasil empiris untuk konvegensi absolut dan kondisional tidak mendukung hipotesis
bahwa daerah miskin tumbuh lebih cepat dari pada daerah kaya, sehingga daerah miskin
tidak mempunyai kecendrungan untuk mengejar ketertinggalan dari daerah yang lebih kaya.  
Hasil dari analisis Tipologi Daerah menunjukkan bahwa terdapat beberapa wilayah
yang masih termasuk kategori wilayah tertinggal. Hasil estimasi menggunakan metode
regresi data panel dengan pendekatan random effect diperoleh bahwa jumlah penduduk dan
angkatan kerja secara signifikan mempengaruhi pendapatan per kapita di Propinsi Lampung
selama periode analisis. 
Kata kunci  :  konvergensi pendapatan, pertumbuhan ekonomi regional, distribusi 
                        pendapatan, panel data",1.0,,,,,,,,
3,article,['FEB5'],"[{'id': None, 'name': {'lineage': None, 'family': 'ISNAN', 'honourific': None, 'given': 'HAMZAH'}}, {'name': {'given': 'EKA', 'lineage': None, 'family': 'KURNIAWAN', 'honourific': None}, 'id': None}, {'id': 'neli.aida@feb.unila.ac.id', 'name': {'family': 'AIDA', 'honourific': None, 'lineage': None, 'given': 'NELI'}}]",PROSIDING SEMINAR NASIONAL PEMBANGUNAN INFRASTRUKTUR DAN PENGEMBANGAN WILAYAH,2012-05-03 00:00:00.000000000,disk0/00/02/69/50,2020-12-01 07:40:11,515,2020-12-01 07:40:11,11-18,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 26950, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40967', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/241807', 'objectid': 40967, 'filename': 'Pengembangan Industri Sekunder Berbasis Komoditi Kopi dalam Upaya Membangun Klaster Ekonomi Andalan Di Kabupaten Lampung Barat.pdf', 'hash': '36cfad84703987665e80b63ad93f117a', 'hash_type': 'MD5', 'mtime': '2020-12-01 07:23:46', 'mime_type': 'application/pdf', 'fileid': 241807, 'filesize': 8045247, 'datasetid': 'document'}], 'docid': 40967, 'main': 'Pengembangan Industri Sekunder Berbasis Komoditi Kopi dalam Upaya Membangun Klaster Ekonomi Andalan Di Kabupaten Lampung Barat.pdf'}]",,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/26950,26950,published,2020-12-01 07:40:11,archive,['H1'],PENGEMBANGAN INDUSTRI SEKUNDER BERBASIS KOMODITI KOPI DALAM UPAYA MEMBANGUN KLUSTER EKONOMI ANDALAN DI KABUPATEN LAMPUNG BARAT,show,7,,,,,,,,,,,
4,conference_item,['FEB5'],"[{'id': None, 'name': {'family': 'ISNAN', 'honourific': None, 'lineage': None, 'given': 'HAMZAH'}}, {'name': {'given': 'Eka', 'lineage': None, 'honourific': None, 'family': 'Kurniawan'}, 'id': 'kurniawan_eka11@yahoo.com'}]",,2012-05-03 00:00:00.000000000,disk0/00/02/69/56,2020-12-01 07:57:42,515,2020-12-01 07:57:42,11-18,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40971', 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/pdf', 'fileid': 241839, 'filename': 'Pengembangan Industri Sekunder Berbasis Komoditi Kopi dalam Upaya Membangun Klaster Ekonomi Andalan Di Kabupaten Lampung Barat.pdf', 'hash': '36cfad84703987665e80b63ad93f117a', 'hash_type': 'MD5', 'mtime': '2020-12-01 07:50:14', 'datasetid': 'document', 'filesize': 8045247, 'objectid': 40971, 'uri': 'http://repository.lppm.unila.ac.id/id/file/241839'}], 'docid': 40971, 'main': 'Pengembangan Industri Sekunder Berbasis Komoditi Kopi dalam Upaya Membangun Klaster Ekonomi Andalan Di Kabupaten Lampung Barat.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 26956}]",,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/26956,26956,published,2020-12-01 07:57:42,archive,['H1'],PENGEMBANGAN INDUSTRI SEKUNDER BERBASIS KOMODITI KOPU DALAM UPAYA MEMBANGUN KLUSTER EKONOMI ANDALAN DI KABUPATEN LAMPUNG BARAT,show,7,,,,paper,NOVOTEL BANDAR LAMPUNG,Prosiding Seminar Nasional Magister Teknik Sipil Universitas Lampung,conference,,,,
5,conference_item,"['FEB5', 'FEB2']","[{'id': 'wayansuparta61@gmail.com', 'name': {'family': 'suparta', 'honourific': None, 'lineage': None, 'given': 'i wayan'}}, {'id': '.', 'name': {'lineage': None, 'honourific': None, 'family': 'awaludin', 'given': 'imam'}}]",,1970-01-01 00:00:00.000002012,disk0/00/00/06/80,2016-09-28 07:02:42,803,2016-09-28 07:02:42,49-58,"[{'main': '7.pdf', 'docid': 577, 'files': [{'hash': '25c2c2c8abb61b57c2efc5154845ceff', 'filename': '7.pdf', 'hash_type': 'MD5', 'mtime': '2016-09-28 05:41:19', 'mime_type': 'application/pdf', 'fileid': 3791, 'filesize': 21919434, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/3791', 'objectid': 577}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/577', 'eprintid': 680, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/680,680,,2016-09-28 07:02:42,archive,['AC'],"APLIKASI DESENTRALISASI FISKAL TERIIADAP PER.TU}IBUFIAN
EKONOMI KOTA BANDAR I.,AMPUNG",show,7,,"Persoalan perturnbuhan-ekonomi (economic grawth) telah rnendapatkan sejak perhatiam yang besar beberapa abad yang silam yaitu sejak -*i*ry"" ,fu""* smith (salah ,""or""""!'ri*;';_;; Klesik)' Pefturnbuhan ekonomi cerminan atas penlngfuatan ketersediaan barang-barang dan jasa-jasa yang dibutuhkan manusia sebagai alat pemenuhan kebutuhan hidup. p'ertumuuhan ekonomi merupakan surnber ytu-*u peninghatan stan'dg_ tridup penduout ,vang jumlahnya terus meningkat. nengan perkataan lain, kernampuan dari suatu Negaru ,Lu daerah untuk meningkatkan standar hidup pendudui<nya sangat dipengaruhi oleh laiu perturibuha,
""konomi
jangka panjang (tong run rate of e c on o m i c grow t h) yang terjacli
otonomi daerali dan desenkalisasi fiskal di Indonesia telah diau,ali dengan dikeluarkannya UU No' 22 Tahun 1999 tentang pemeriniahan daerah. Undang-undang ini selaniutnya disempurnakan maka keluarlah uu No. 32 Tahun 2004. Pada tahun 1999 tfiun dik.luarkan pula lru No. 25 tenrang perimbangan keuangan antarapemerintah pusat dan_da"".ah, yang kemudian diubah delgan uu No. 33 Tahun 2004' Kedua undang-undang itu telah ditetapk- ;rt""k ,;emberikan keu,enangan otonomi yang luas, nYata dan bertanggung jawah kepada daerah, *hiG;; p;mbangunan ekonomi daerah semakin baik' Pertumbuhan ekonomi Kota liandur rurrpun! ffffitu, salah satu tolok ukur prestasi pembangunan ekonomi atas kemampuannl'a mauprin pengeluaran) secara efisien $lan: m-engelofi k""r*gun (baik dari sisi penerimaan dan efektif dalam peliksanaan desentralisasi fiskal. Tujuan dari penelitian ini adalah tujuan penelitian adalah untuk mengetahui pengaruh peningkatan PAD per tenaga kerja dan p""rT$utT i""""""rturip""merintah per tenaga keda Kota Bandar L*.pYt terhadap perturnbuhan ekonomi K-ota nandar i;Jp;.g Data yang digunakan adalah data rangkai waktu (time series) periode 2001 -.20.10. ,!lat a""arisi-iyang digurrakan adalah ordinary Least square (oLS)' Dz[i hasil analisis dapat disimpulkan uurr*u'pao per tenaga keda dan investasi pemerintah per tenaga kerja Kota Bandar Lampung berpengaruh positif dan signifrkan terhadap pertumbuhan ekonomi Kota Bandar Lampung. s..r er6r
Kata kunci: Pernrmbultan Ekonomi, Desentralisasi Fiskal , Tenaga Kerja, Investasi pemerintah,
dan pAD.",,paper,Bandar Lampung,OJK Harapan Baru Sistem Keuangan Indonesia,conference,"['fakultas ekonomi dan bisnis unila', 'fakultas ekonomi dan bisnis unila']",18-19 Desember 2012,,
6,conference_item,['FEB5'],"[{'id': 'moneyzar usman@gmail.com', 'name': {'given': 'moneyzar', 'honourific': None, 'family': 'usman', 'lineage': None}}, {'id': 'heru.abiyahya@gmail.com', 'name': {'family': 'wahyudi', 'honourific': None, 'lineage': None, 'given': 'heru'}}]",,2012-12-01 00:00:00.000000000,disk0/00/01/89/25,2020-04-02 02:13:10,454,2020-04-02 02:13:10,139-163,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/32166', 'rev_number': 1, 'main': 'faktor internal dan eksternal.pdf', 'docid': 32166, 'files': [{'filename': 'faktor internal dan eksternal.pdf', 'hash': '062c58347f7be3019cacfcdadbbb735b', 'hash_type': 'MD5', 'mtime': '2020-03-30 09:30:47', 'mime_type': 'application/pdf', 'fileid': 158855, 'filesize': 137269, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/158855', 'objectid': 32166}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 18925, 'placement': 1, 'security': 'public'}]",,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/18925,18925,published,2020-04-02 02:13:10,archive,['HB'],Faktor Internal dan Eksternal Yang Mempengaruhi Asset Perbankan Syariah di Indonesia,show,10,,"abstrak

Target pertumbuhan pangsa pasar bank syariah yang ditetapkan oleh Bank Indonesia sebesar 5
persen dapat diupayakan tercapai, salah satunya dengan cara meningkatkan jumlah aset yang ada
di bank syariah. Peningkatan aset perbankan syariah dipengaruhi oleh banyak faktor yang secara
umum dapat diklasifikasikan menjadi faktor internal dan faktor eksternal. Penelitian ini bertujuan
untuk mengetahui faktor-faktor internal dan eksternal yang mempengaruhi pertumbuhan aset
perbankan syariah di Indonesia. Dalam hal ini faktor-faktor internal yang digunakan adalah
jumlah kantor bank syariah, rasio NPF, rasio FDR, biaya promosi, dan jumlah dana pihak ke-tiga
(DPK) yang ada di bank syariah. Sedangkan faktor-faktor eksternal yang dipilih adalah office
chaneling dan jumlah uang beredar (M2). Dimana data-data yang digunakan adalah data statistik
bank umum syariah (BUS) dan unit usaha syariah (UUS) di Indonesia pada periode September
2008 sampai dengan September 2010. Untuk dapat mengambil kesimpulan, maka digunakan
analisis dengan metode regresi linier berganda. Dari tujuh variabel yang diteliti, ternyata hanya
lima variabel yang memenuhi persyaratan BLUE, yaitu jumlah kantor bank syariah, rasio NPF,
rasio FDR, biaya promosi, dan office chaneling dan berdasarkan hasil penelitian diperoleh faktor
yang mempengaruhi pertumbuhan aset perbankan syariah adalah junlah kantor, rasio FDR, dan
biaya promosi.
Kata kunci: NPF, FDR, DPK, office chaneling, M2",,speech,Bandar Lampung. Provinsi Lampung,"Prociding Forum Riset Ekonomi dan Bisnis, feb unila, ojk harapan baru ekonomi indonesi",conference,,19 -20 Desember 2012,https://id.123dok.com/document/qok67pjy-forum-riset-ekonomi-dan-bisnis.html,
7,article,['FEB5'],"[{'id': 'heru.abiyahya@gmail.com', 'name': {'family': 'wahyudi', 'honourific': None, 'lineage': None, 'given': 'heru'}}]",Jurnal Ekonomi Pembangunan,2012-11-02 00:00:00.000000000,disk0/00/01/85/00,2020-03-12 04:02:33,454,2020-03-12 04:02:33,21-49,"[{'main': 'jurnal 5. dasar filosofi ekonomi bagi hasil.doc', 'docid': 31662, 'files': [{'objectid': 31662, 'uri': 'http://repository.lppm.unila.ac.id/id/file/155546', 'datasetid': 'document', 'filesize': 211456, 'mime_type': 'application/msword', 'fileid': 155546, 'hash': '07a26c195543a9b490c87c1c5cb0ac5c', 'filename': 'jurnal 5. dasar filosofi ekonomi bagi hasil.doc', 'hash_type': 'MD5', 'mtime': '2020-03-10 02:41:07'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31662', 'eprintid': 18500, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/msword'}]",Fakultas Ekonomi dan bisnis Unila,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/18500,18500,published,2020-03-12 04:02:33,archive,['AC'],"Dasar Filosofi  Ekonomi Bagi Hasil di Masyarakat
(Sebuah Kajian Eksploratif)",show,7,1.0,"ABSTRAK


Upah memiliki peranan penting bagi pekerja, bagi pemilik usaha, dan bagi pemerintah, oleh karena itu keseimbangan pengupahan harus diupayakan agar masalah pengupahan tidak selalu terulang. Ekonomi syariah memperkenalkan model upah bagi hasil. Model upah bagi hasil ternyata masih aplikatif digunakan di masyarakat. Penelitian ini bertujuan untuk mengetahui dasar filosofi mengapa model bagi hasil digunakan dalam usaha. Kajian eksploratif dengan teknik wawancara dan quisoner akan dilakukan kepada pemilik usaha, dan pekerja, serta melihat kecocokan diantara keduanya. Obyek penelitian adalah Taruko group divisi RM. Puti Minang.
Hasil penelitian membuktikan bahwa alasan utama pemilik usaha menggunakan model bagi hasil yaitu menggunakan bagi hasil karena dalam rangka mencontoh nabi/alasan agama, memiliki kecocokan dengan alasan karyawan sebesar 72,32%. Sedangkan alasan keuntungan ekonomi menjadi dasar pertimbangan kelima dengan tingkat kecocokan 10,7%.",1.0,,,,,,,http://ep.feb.unila.ac.id/lainnya/jep/#1570420411516-1f5bf378-7b52,2302-9595
8,article,['FEB5'],"[{'name': {'lineage': None, 'family': 'wahyudi', 'honourific': None, 'given': 'heru'}, 'id': 'heru.abiyahya@gmail.com'}]",Jurnal Ekonomi Pembangunan,2012-11-01 00:00:00.000000000,disk0/00/01/88/61,2020-03-30 01:15:48,454,2020-03-30 01:15:48,21-49,"[{'docid': 32078, 'main': 'reviwer filosofi bg hsl.pdf', 'files': [{'fileid': 158286, 'mime_type': 'application/pdf', 'mtime': '2020-03-24 07:48:31', 'hash_type': 'MD5', 'hash': '104b2f62e7033f81f72e85dbe8e1d546', 'filename': 'reviwer filosofi bg hsl.pdf', 'datasetid': 'document', 'filesize': 131323, 'objectid': 32078, 'uri': 'http://repository.lppm.unila.ac.id/id/file/158286'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32078', 'eprintid': 18861, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",FEB Unila,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/18861,18861,published,2020-03-30 01:15:48,archive,['HB'],"Dasar Filosofi  Ekonomi Bagi Hasil di Masyarakat
(Sebuah Kajian Eksploratif)",show,6,1.0,"Abstrak

Upah memiliki peranan penting bagi pekerja, bagi pemilik usaha, dan bagi pemerintah, oleh karena itu keseimbangan pengupahan harus diupayakan agar masalah pengupahan tidak selalu terulang. Ekonomi syariah memperkenalkan model upah bagi hasil. Model upah bagi hasil ternyata masih aplikatif digunakan di masyarakat. Penelitian ini bertujuan untuk mengetahui dasar filosofi mengapa model bagi hasil digunakan dalam usaha. Kajian eksploratif dengan teknik wawancara dan quisoner akan dilakukan kepada pemilik usaha, dan pekerja, serta melihat kecocokan diantara keduanya. Obyek penelitian adalah Taruko group divisi RM. Puti Minang.
Hasil penelitian membuktikan bahwa alasan utama pemilik usaha menggunakan model bagi hasil yaitu menggunakan bagi hasil karena dalam rangka mencontoh nabi/alasan agama, memiliki kecocokan dengan alasan karyawan sebesar 72,32%. Sedangkan alasan keuntungan ekonomi menjadi dasar pertimbangan kelima dengan tingkat kecocokan 10,7%.

key word : bagi hasil. filosofi",1.0,,,,,,,http://ep.feb.unila.ac.id/lainnya/jep/#1570420411516-1f5bf378-7b52,2302-9595
9,conference_item,['FEB5'],"[{'name': {'lineage': None, 'family': 'wahyudi', 'honourific': None, 'given': 'heru'}, 'id': 'heru.abiyahya@gmail.com'}]",,2012-09-18 00:00:00.000000000,disk0/00/01/89/27,2020-04-02 02:13:37,454,2020-04-02 02:13:37,423-435,"[{'mime_type': 'application/pdf', 'language': 'id', 'security': 'public', 'placement': 1, 'eprintid': 18927, 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32168', 'format': 'text', 'pos': 1, 'files': [{'hash': 'b07406e8ac7fdf81e7e77d16dbb834de', 'filename': 'IGY%202012%20Prosiding%20Dies%20Unila%202012.pdf', 'mtime': '2020-03-30 10:19:21', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 158870, 'filesize': 357048, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/158870', 'objectid': 32168}], 'main': 'IGY%202012%20Prosiding%20Dies%20Unila%202012.pdf', 'docid': 32168}]",,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/18927,18927,published,2020-04-02 02:13:37,archive,['HB'],PERBANDINGAN KINERJA MANAJEMEN SYARIAH DENGAN MANAJEMEN KONVENSIONAL ( PERSPEKTIF GAJI KARYAWAN),show,8,,"Abstrac

Wages have an important role for the workers, for the business owners, and for the government, therefore  the  balance  of  remuneration  should  be  pursued.  This  study  aims  to  determine  whether  the wage  of model profit sharing to meet the  minimum wage  of provisions and daily  wage,  as  well as to determine whether to use the model for this outcome is the same job in different places gives the same of value or different, and to determine why the model sharing used in the business by the owners. Two-Sample T-Testisused to determine the ratio between sharing wages with the minimum wage and daily wages, while the ANOVAused to compare the wages of similar jobs in different places. The object of research  is  Puti  Minang  Group,  the  minimum  wage  and  daily  wage  from  RM.Kemang  Group. Research  shows  that  wages  of  the  sharing  model exceed the  minimum  wage  and  daily  wage  in 2010 and 2011. 

Keywords:wages of the sharing model, the minimum wage, the  daily wage, Anova",,speech,Bandar Lampung. Provinsi Lampung,seminar hasil penelitian dan pengabdian masyarakat 2012 unila,conference,,18-19 September 2012,http://repository.lppm.unila.ac.id/421/1/IGY%202012%20Prosiding%20Dies%20Unila%202012.pdf,
