,date_type,eprintid,subjects,abstract,eprint_status,status_changed,volume,rev_number,metadata_visibility,title,official_url,divisions,type,date,dir,publication,creators,pagerange,datestamp,lastmod,userid,full_text_status,uri,refereed,number,ispublished,publisher,documents,issn,contact_email,funders,id_number,contributors,corp_creators,place_of_pub,event_type,event_title,pres_type,isbn,pages,related_url
0,published,24728,"['HA', 'HB']","The potential impulse (s) and response (s) of Foreign Direct Investment (FDI) in the economic system have been always bringing great interest to researchers and practitioners. This paper considers movements of Foreign Direct Investment (FDI) in Indonesia, and therefore, to investigate and understand the determinants of FDI as the primary capital flows among other capitals sources. FDI flow is very important to help encourage the growth of sustainable investment, creates new job opportunities, deteriorate the balance payments and lower the ability of national competitiveness, and may crowd out domestic capital. This paper has several specific objectives, such as 1) to study about the determinants of capital inflows of FDI in Indonesia, and 2) to examine the impacts to investments of ASEAN countries towards FDI in Indonesia. This paper eventually follows maximum likelihood methodology of Dunning and Gravity Model with the panel estimation and OLS (Ordinary Least Square). The analysis also carried out through an extensive review of the relevant literature, microeconomic, and macroeconomic topics related to FDI. In conclusion, this paper assumes that economic growth, labour costs, infrastructures, exchange rates, and political stability have significant structural changes in level, respectively, within the time interval from 1992 to 2012.",archive,2020-11-09 09:07:50,8.0,7,show,UNDERSTANDING THE DETERMINANTS OF FDI IN INDONESIA THROUGH EXTENSIVE DUNNING AND GRAVITY APPROACH,https://jurnal.uns.ac.id/dinamika,['FEB5'],article,1970-01-01 00:00:00.000002016,disk0/00/02/47/28,DINAMIKA: Jurnal Ekonomi Pembangunan,"[{'name': {'given': 'Arif', 'lineage': None, 'honourific': None, 'family': 'Darmawan'}, 'id': 'arif.darmawan@feb.unila.ac.id'}]",26-34,2020-11-09 09:07:50,2020-11-09 09:07:50,2788,public,http://repository.lppm.unila.ac.id/id/eprint/24728,TRUE,1.0,pub,Jurusan Ekonomi Pembangunan FEB UNS,"[{'main': 'DINAMIKA-36196-90939-1-PB.pdf', 'docid': 38478, 'files': [{'objectid': 38478, 'uri': 'http://repository.lppm.unila.ac.id/id/file/224289', 'mime_type': 'application/pdf', 'fileid': 224289, 'hash': '32ef11b6da8da5bbfad741e80c1a62f9', 'filename': 'DINAMIKA-36196-90939-1-PB.pdf', 'hash_type': 'MD5', 'mtime': '2020-11-09 03:52:38', 'datasetid': 'document', 'filesize': 775956}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/38478', 'rev_number': 1, 'eprintid': 24728, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",,,,,,,,,,,,,
1,published,2120,['AI'],"This research aims to analyze the effect of family income, education level, the age of first marriage and the number of family member toward fertility in Kelurahan Tanjung Raya Kecamatan Kedamaian Bandar Lampung City. This research is using primary data that collected by using questionnaire method. The data that used in this research is cross section data. This research is using multiple regression as analysis tool using Ordinary Least Square (OLS) method with full log model equation.The result showing that independent variables such as family income, education level, and the age of first marriage is having negative and significant effect toward fertility in Kelurahan Tanjung Raya Kecamatan Kedamaian Bandar Lampung City. While the other independent variable like the number of family member is having positive and significant effect toward fertility in Kelurahan Tanjung Raya Kecamatan Kedamaian Bandar Lampung City.

Keywords :	Education level, family income,  fertility, the age of first marriage, the number of family member.",archive,2017-05-31 02:14:26,5.0,6,show,"“ Faktor Yang Mempengaruhi Fertilitas 
Di Kelurahan Tanjung Raya Kecamatan Kedamaian 
Kota Bandar Lampung”",http://feb.unila.ac.id/wp-content/uploads/2015/04/JEP-VOLUME-5-NO-3-NOVEMBER-2016.pdf,['FEB5'],article,2016-11-01 00:00:00.000000000,disk0/00/00/21/20,Jurnal Ekonomi Pembangunan,"[{'id': None, 'name': {'lineage': None, 'family': 'Ismail', 'honourific': None, 'given': 'Ageng Wahyudin'}}, {'name': {'given': 'Emi', 'family': 'Maimunah', 'honourific': None, 'lineage': None}, 'id': 'emi_syam@yahoo.com'}]",273-288,2017-05-31 02:14:26,2017-05-31 02:14:26,178,public,http://repository.lppm.unila.ac.id/id/eprint/2120,FALSE,3.0,pub,Jurusan Ekonomi Pembangunan Fakultas Ekonomi dan Bisnis Universitas Lampung,"[{'security': 'public', 'placement': 1, 'eprintid': 2120, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 2028, 'uri': 'http://repository.lppm.unila.ac.id/id/file/14853', 'datasetid': 'document', 'filesize': 464264, 'fileid': 14853, 'mime_type': 'application/pdf', 'mtime': '2017-05-30 07:48:26', 'hash_type': 'MD5', 'hash': 'd71154be2f7aa959dbc0c96285b9e35b', 'filename': 'jurnal emi maimunah november 2016.pdf'}], 'main': 'jurnal emi maimunah november 2016.pdf', 'docid': 2028, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2028', 'rev_number': 1, 'format': 'text', 'pos': 1}]",2302-9595,,,,,,,,,,,,
2,published,3045,['HB'],"The improvement of  economic growth  policy  is not guarantee that  the income gap among  region  is small. The higher  economic growth,  the  bigger  gap in income. The aims of the research are to prove this statement, to find some regions that are in this position and  give a policy recommended  to government. To find income gap among  regions  is used  Gini Ratio. To relate  between  income gap and  economic growth is  used   Tipologi Klassen.  Based on the result, 8  regions in Lampung Province  are  in  quadrant  I in which their  economic growth  are higher  and income gap is smaller than on the average, 5 regions are in quadrant  II in which  the  economic growth  and income gap  are lower than an average, 2  regions are  in quadrant  III  in which  the economic growth  and income gap  are higher  than on the average. no region in quadrant IV.  It can be proved that, the higher economic growth is not guarantee the smaller  income gap. Because of  the budget limitation, the priority of policy  which is recommended  is,  firstly how to smaller the income gap  and the next , is  how to  improve the growth. For the higher economic growth  regions,  its policy  is, how to improve the quality of growth and push the other regions  surrounding. 
Key words:  income disparity, Gini Raio, economicgGrowth, thypologi Klassen",archive,2023-01-09 01:31:47,5.0,12,show,"The Relationship Between The Economic Growth And Income Gap*) 
(Case Study  of Lampung Province)",,['FEB5'],article,2016-11-08 00:00:00.000000000,disk0/00/00/30/45,Jurnal Ekonomi Pembangunan,"[{'id': 'ikbal_tawakal@yahoo.com', 'name': {'family': 'Marselina', 'honourific': None, 'lineage': None, 'given': 'Marselina'}}]",317-332,2023-01-09 01:31:47,2023-01-09 01:31:47,810,public,http://repository.lppm.unila.ac.id/id/eprint/3045,FALSE,3.0,pub,Universitas Lampung,"[{'eprintid': 3045, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': '4. Toto Gunarto Marselina.pdf', 'docid': 2919, 'files': [{'mtime': '2017-06-02 04:44:15', 'hash_type': 'MD5', 'filename': '4. Toto Gunarto Marselina.pdf', 'hash': '5f8f9b9ef08f8d43775864a9ec9a9947', 'fileid': 21018, 'mime_type': 'application/pdf', 'filesize': 240211, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/21018', 'objectid': 2919}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2919'}, {'security': 'public', 'placement': 2, 'eprintid': 3045, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'mtime': '2017-06-02 04:44:26', 'hash_type': 'MD5', 'hash': '5f8f9b9ef08f8d43775864a9ec9a9947', 'filename': '4. Toto Gunarto Marselina.pdf', 'fileid': 21023, 'mime_type': 'application/pdf', 'filesize': 240211, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/21023', 'objectid': 2921}], 'main': '4. Toto Gunarto Marselina.pdf', 'docid': 2921, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2921', 'rev_number': 3, 'format': 'text', 'pos': 2}, {'format': 'text', 'pos': 13, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157570', 'rev_number': 3, 'docid': 157570, 'main': ""MARSELINA'S ARTICLE 2021 (1) (2) (2).docx"", 'files': [{'fileid': 422284, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'mtime': '2021-11-13 11:56:20', 'hash_type': 'MD5', 'hash': 'fba6da61b3f661b4cf49b037d3130c3c', 'filename': ""MARSELINA'S ARTICLE 2021 (1) (2) (2).docx"", 'datasetid': 'document', 'filesize': 130175, 'objectid': 157570, 'uri': 'http://repository.lppm.unila.ac.id/id/file/422284'}], 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en', 'eprintid': 3045, 'security': 'public', 'placement': 13}]",2302-9595,ikbal_tawakal@yahoo.com,['Mandiri'],ISSN 23029595,,,,,,,,,
3,published,2432,['AI'],"Tujuan dari penelitian ini adalah untuk menganalisis struktur pasar industri perbankan dan stabilitas perbankan di Indonesia, sebelum dan setelah penerapan Arsitektur Perbankan Indonesia. Menggunakan Hirschman-Herfindahl Index (HHI), Rasio Konsentrasi, dan data panel dengan variabel terikat Z-Score Altman dan variabel bebas Tingkat Konsentrasi, Rasio Efisiensi, dan Inflasi.
Hasil menunjukkan bahwa kompetisi dari perbankan yang menurun dan stabilitas perbankan yang meningkat setelah penerapan Arsitektur Perbankan Indonesia. Selain itu, berdasarkan hasil analisis diketahui bahwa tingkat konsentrasi berpengaruh positif signifikan, rasio efisiensi dan inflasi berpengaruh negatif signifikan terhadap stabilitas perbankan di Indonesia. Dengan nilai HHI antara 0,2-0,6 dapat disimpulkan bahwa industri Perbankan di Indonesia termasuk dalam kategori pasar oligopoli",archive,2017-06-02 03:15:57,5.0,8,show,"Analisis Struktur Pasar Perbankan
Dan Stabilitas Perbankan Di Indonesia
(Sebelum dan Setelah Kebijakan Arsitektur Perbankan Indonesia)",http://feb.unila.ac.id/wp-content/uploads/2015/04/JEP-Volume-5-No-2-Juli-2016.pdf,['FEB5'],article,2016-07-01 00:00:00.000000000,disk0/00/00/24/32,Jurnal Ekonomi Pembangunan,"[{'name': {'honourific': None, 'family': 'Pujianti', 'lineage': None, 'given': 'Ria'}, 'id': None}, {'name': {'lineage': None, 'honourific': None, 'family': 'Sitorus', 'given': 'Nurbetty Herlina'}, 'id': 'nurbetty.herlina@yahoo.co.id'}]",217-238,2017-06-02 03:15:57,2017-06-02 03:15:57,57,public,http://repository.lppm.unila.ac.id/id/eprint/2432,TRUE,2.0,pub,JURUSAN EKONOMI PEMBANGUNAN FAKULTAS EKONOMI DAN BISNIS UNILA,"[{'main': 'PENELITIAN_NURBETTY.pdf', 'docid': 2317, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/16857', 'objectid': 2317, 'filesize': 419657, 'datasetid': 'document', 'hash': '2f8733ea7ad329a085cb1f20c7b816db', 'filename': 'PENELITIAN_NURBETTY.pdf', 'mtime': '2017-05-31 05:14:40', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 16857}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2317', 'eprintid': 2432, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2302-9595,,,,,,,,,,,,
4,published,23261,['H1'],"Pertumbuhan ekonomi yang tinggi  diduga tidak disertai dengan tingkat pemerataan  pendapatan. Pertumbuhan yang tinggi di suatu wilayah diduga justru memiliki kesesenjangan pendapatan  yang  tinggi. Penelitian ini dilakukan untuk membuktikan hal ini serta untuk menentukan kabupatern/kota  mana saja yang  pertumbuhannya tinggi namun tumbuh  atau tidak tumbuh dengan baik dan ketimpangan pendapatan  yang terjadi menggunakan analissi gini ratio dan tipologi klassen..  Analisis diawali dengan menghitung ketimpangan pendapatan antar kabupaten.kota dengan  menggunakan metode gini rasio. Hasil gini ratio ini kemudian dihubungkan dengan tingkat pertumbuhan ekonomi  menggunakan Kuadran Tipologi Klassen . Sebagai studi kasus digunakan kasus di Propinsi Lampung yang meiliki 16 kabupaten/kota.  Diperoleh hasil bahwa  terdapat  8 kabupaten yang berada pada kuadran I yaitu  kabupaten/kota   yang tingkat  pertumbuhan ekonominya relative lebih rendah dari rata–rata propinsi dan memiliki tingkat ketimpangan pendapatan yang rendah.. Terdapat  5 kabupaten/kota yang berada pada kuadarn II yaitu  kabupaten  yang tingkat  pertumbuhan ekonomi relative lebih rendah dari rata rata propinsi dengan dengan tingkat ketimpangan pendapatan rata–rata  rendah.  Terdapat 2 kota yang berada pada kuadran III yaitu  kabupaten/kota   yang pertumbuhan ekonominya relative  tinggi dari rata–rata propinsi Lampung  namun dengan dengan tingkat ketimpangan pendapatan yang  tinggi.  Sehingga terbukti bahwa pertumbuhan ekonomi yang tinggi  tidak disertai dengan pemerataan pendapatan yang rendah sehingga karena ada keterbatasan anggaran, maka harus ada prioritas kebijakannya  yaitu utamakan daerah yang ketimpangannya tinggi melalui  kebijakan mengurangi ketimpangan pendapatan terlebih dahulu  baru kemudian meningkatkan pertumbuhan dan tingkatkan kualitas pertumbuhan untuk daerah yang pertumbuhannya sudsah tinggi.
Key words: ketimpanga pendapatan   gini ratio , pertumbuhan ekonomi,tipologi klasen",archive,2020-07-21 02:15:59,,7,show,Hubungan Antara Pertumbuhan Ekonomi Dan Ketimpangan Pendapatan Antar Wilayah (Studi Kasus Provinsi Lampung),http://ep.feb.unila.ac.id/wp-content/uploads/2019/11/4.-Toto-Gunarto-Marselina-Copy.doc,['FEB5'],other,2016-11-01 00:00:00.000000000,disk0/00/02/32/61,,"[{'name': {'given': 'Toto Gunarto', 'honourific': None, 'family': 'Toto Gunarto', 'lineage': None}, 'id': 'toto.gunarto@yahoo.co.id'}, {'name': {'honourific': None, 'family': 'Marselina', 'lineage': None, 'given': 'Marselina'}, 'id': 'ikbal_tawakal@yahoo.com'}]",,2020-07-21 02:15:59,2020-07-21 02:15:59,963,public,http://repository.lppm.unila.ac.id/id/eprint/23261,,,pub,"Ekonomi Pembangunan, FEB Unila","[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36823', 'rev_number': 1, 'main': 'Hubungan Antara Pertumbuhan Ekonomi.pdf', 'docid': 36823, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/212927', 'objectid': 36823, 'mtime': '2020-07-21 01:47:48', 'hash_type': 'MD5', 'hash': 'faf17cb57d51b193c309bd7db64cd157', 'filename': 'Hubungan Antara Pertumbuhan Ekonomi.pdf', 'fileid': 212927, 'mime_type': 'application/pdf', 'filesize': 406874, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 23261, 'placement': 1, 'security': 'public'}]",,,,,"[{'name': {'family': 'toto gunarto', 'honourific': None, 'lineage': None, 'given': 'toto gunarto'}, 'id': 'toto.gunarto@yahoo.com', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'name': {'lineage': None, 'family': 'marselina', 'honourific': None, 'given': 'marselina'}, 'type': 'http://www.loc.gov/loc.terms/relators/CRP', 'id': 'ikbal.tawakal@yahoo.com'}]","['Universitas Lampung', 'Universitas Lampung']","lampung, indonesia",,,,,,
5,published,18652,['HB'],Peer review,archive,2020-03-15 23:23:51,,10,show,"The Relationship Between The Economic Growth And Income Gap*) 
(Case Study  of Lampung Province)",,['FEB5'],other,1970-01-01 00:00:00.000002016,disk0/00/01/86/52,,"[{'name': {'family': 'Toto Gunarto', 'honourific': None, 'lineage': None, 'given': 'Toto Gunarto'}, 'id': 'toto.gunarto@yahoo.co.id'}, {'name': {'honourific': None, 'family': 'Marselina', 'lineage': None, 'given': 'Marselina'}, 'id': 'ikbal_tawakal@yahoo.com'}]",,2020-03-15 23:23:51,2020-03-15 23:23:51,810,public,http://repository.lppm.unila.ac.id/id/eprint/18652,,,pub,Jurnal Ekonomi Pembangunan,"[{'eprintid': 18652, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 31824, 'main': 'hubungan antara pertumbuhan ekonomi (1).pdf', 'files': [{'fileid': 156687, 'mime_type': 'application/pdf', 'mtime': '2020-03-12 12:25:13', 'hash_type': 'MD5', 'hash': '3120061f81cfb0f7683780205ad0b8da', 'filename': 'hubungan antara pertumbuhan ekonomi (1).pdf', 'datasetid': 'document', 'filesize': 583498, 'objectid': 31824, 'uri': 'http://repository.lppm.unila.ac.id/id/file/156687'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31824'}]",,,,,,,,,,,,,
6,published,3372,['AI'],"IDENTIFICATION THE ROLE OF INFRASTRUCTURE TO
ACCELERATE ECONOMIC GROWTH AND INTER-REGIONAL
CONNECTIVITY IN SUMATRA ISLAND",archive,2017-06-12 02:28:21,,8,show,"IDENTIFICATION THE ROLE OF INFRASTRUCTURE TO
ACCELERATE ECONOMIC GROWTH AND INTER-REGIONAL
CONNECTIVITY IN SUMATRA ISLAND",,['FEB5'],article,2016-07-01 00:00:00.000000000,disk0/00/00/33/72,Proceeding The 13th Indonesian Regional Science Assosiation (IRSA),"[{'name': {'given': 'Emalia', 'honourific': None, 'family': 'Zulfa', 'lineage': None}}]",,2017-06-12 02:28:21,2017-06-12 02:28:21,103,public,http://repository.lppm.unila.ac.id/id/eprint/3372,TRUE,,pub,,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3250', 'docid': 3250, 'main': 'Zulfa Emalia Proceeding IRSA 13.pdf', 'files': [{'filesize': 184802, 'datasetid': 'document', 'mtime': '2017-06-05 04:30:46', 'hash_type': 'MD5', 'filename': 'Zulfa Emalia Proceeding IRSA 13.pdf', 'hash': '45ff34a4261be17d976cca55bd3ee0f2', 'fileid': 23422, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/23422', 'objectid': 3250}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 3372, 'security': 'public', 'placement': 1}]",2528-2530,,,,,,,,,,,,
7,published,26926,['H1'],,archive,2020-12-01 04:28:14,,7,show,FOREGN TOURIST SENDING,,['FEB5'],conference_item,1970-01-01 00:00:00.000002016,disk0/00/02/69/26,,"[{'name': {'given': 'neli', 'family': 'aida', 'honourific': None, 'lineage': None}, 'id': 'neliaida422@gmail.com'}]",,2020-12-01 04:28:14,2020-12-01 04:28:14,515,public,http://repository.lppm.unila.ac.id/id/eprint/26926,TRUE,,pub,,"[{'docid': 40944, 'main': 'REV-foreigN tourist spending and its impact on economy in Indonesia.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/241641', 'objectid': 40944, 'mtime': '2020-12-01 03:57:16', 'hash_type': 'MD5', 'hash': '3a23eed872103c68cc7577e80d50297c', 'filename': 'REV-foreigN tourist spending and its impact on economy in Indonesia.pdf', 'fileid': 241641, 'mime_type': 'application/pdf', 'filesize': 1922529, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40944', 'eprintid': 26926, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",,,,,,,,conference,IRSA,paper,,,
8,published,22195,['AC'],"The improvement of  economic growth  policy  is not guarantee that  the 
income gap among  region  is small. The higher  economic growth,  the  bigger 
gap in income. The aims of the research are to prove this statement, to find some
regions that are in this position and  give a policy recommended  to government.
To find income gap among  regions  is used  Gini Ratio. To relate  between 
income gap and  economic growth is  used   Tipologi Klassen.  Based on the
result, 8  regions in Lampung Province  are  in  quadrant  I in which their 
economic growth  are higher  and income gap is smaller than on the average, 5
regions are in quadrant  II in which  the  economic growth  and income gap  are
lower than an average, 2  regions are  in quadrant  III  in which  the economic
growth  and income gap  are higher  than on the average. no region in quadrant
IV.  It can be proved that, the higher economic growth is not guarantee the
smaller  income gap. Because of  the budget limitation, the priority of policy 
which is recommended  is,  firstly how to smaller the income gap  and the next ,
is  how to  improve the growth. For the higher economic growth  regions,  its
policy  is, how to improve the quality of growth and push the other regions 
surrounding.",archive,2020-06-10 07:43:40,5.0,6,show,"Hubungan Antara Pertumbuhan Ekonomi Dan Ketimpangan Pendapatan 
Antar Wilayah (Studi Kasus Provinsi Lampung)",,['FEB5'],article,1970-01-01 00:00:00.000002016,disk0/00/02/21/95,Jurnal Ekonomi Pembangunan,"[{'name': {'given': 'Toto Gunarto', 'lineage': None, 'family': 'gunarto', 'honourific': None}, 'id': 'toto.gunarto@yahoo.co.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Marselina', 'given': 'Marselina'}, 'id': 'ikbal_tawakal@yahoo.com'}]",,2020-06-10 07:43:40,2020-06-10 07:43:40,7,public,http://repository.lppm.unila.ac.id/id/eprint/22195,TRUE,,pub,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/35612', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/204333', 'objectid': 35612, 'hash': '08afe8c3ee948bde58258d2518040636', 'filename': 'jurnal 3.pdf', 'mtime': '2020-06-10 07:41:35', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 204333, 'filesize': 459458, 'datasetid': 'document'}], 'docid': 35612, 'main': 'jurnal 3.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 22195}]",2302-9595,,,,,,,,,,,,
9,,12683,['H1'],,archive,2019-05-14 08:28:55,,7,show,Pengantar Statistika Ekonomi,,['FEB5'],book,2016-12-01 00:00:00.000000000,disk0/00/01/26/83,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'hamzah', 'given': 'lies maria'}, 'id': 'liesmh55@gmail.com'}, {'name': {'given': 'imam', 'family': 'awaludin', 'honourific': None, 'lineage': None}, 'id': 'imamawaluddin@feb.ac.id'}, {'name': {'lineage': None, 'family': 'Maimunah', 'honourific': None, 'given': 'Emi'}, 'id': 'emi_syam@yahoo.com'}]",,2019-05-14 08:28:55,2019-05-14 08:28:55,178,public,http://repository.lppm.unila.ac.id/id/eprint/12683,TRUE,,pub,CV Anugrah Utama Raharja (AURA),"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25668', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/112271', 'objectid': 25668, 'mtime': '2019-05-10 13:18:52', 'hash_type': 'MD5', 'hash': '8d8ce9c75eddad0f7f01fd563902ac44', 'filename': 'BUKU statistika.pdf', 'fileid': 112271, 'mime_type': 'application/pdf', 'filesize': 3354824, 'datasetid': 'document'}], 'docid': 25668, 'main': 'BUKU statistika.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 12683}]",,,,,,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",,,,,9786026565075.0,114.0,
