,eprint_status,status_changed,subjects,title,rev_number,metadata_visibility,eprintid,lastmod,userid,datestamp,ispublished,contributors,publisher,documents,uri,full_text_status,type,divisions,creators,dir,date,date_type,volume,official_url,abstract,issn,publication,refereed,number,pagerange,corp_creators,related_url,event_title,event_location,event_dates,event_type,pres_type,id_number,succeeds,place_of_pub
0,archive,2023-04-25 11:20:42,['L1'],Check Similarity: Perspective of students' science communication in science learning: opportunity in developing makerspace STEM learning approach,12,show,50673,2023-04-25 11:20:42,986,2023-04-25 11:20:42,unpub,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AQT'}]",IOP Publishing Ltd,"[{'files': [{'mtime': '2023-04-23 06:28:51', 'hash_type': 'MD5', 'filename': 'Miranti_2020_J._Phys.__Conf._Ser._1572_012049.pdf.pdf', 'hash': 'bdf0eca80a097355728fce7326ee6d6d', 'fileid': 546078, 'mime_type': 'application/pdf', 'filesize': 1250452, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/546078', 'objectid': 190378}], 'docid': 190378, 'main': 'Miranti_2020_J._Phys.__Conf._Ser._1572_012049.pdf.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190378', 'rev_number': 1, 'format': 'text', 'pos': 2, 'security': 'public', 'placement': 2, 'eprintid': 50673, 'mime_type': 'application/pdf', 'language': 'en'}]",http://repository.lppm.unila.ac.id/id/eprint/50673,public,other,['FKIP4'],"[{'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'given': 'Abdurrahman', 'honourific': None, 'family': 'Abdurrahman', 'lineage': None}}, {'id': 'nenihasnunidah@gmail.com', 'name': {'given': 'Neni', 'family': 'Hasnunidah', 'honourific': None, 'lineage': None}}]",disk0_bak/00/05/06/73,2020-07-14 00:00:00.000000000,,,,,,,,,,,,,,,,,,,
1,archive,2020-05-31 06:25:45,['L1'],"Biomass (rice husk) as a fuel for sterilizing oyster mushrooms: a case study of fuel efficiency comparison, temperature distribution and production effectiveness",7,show,21253,2020-05-31 06:25:45,435,2020-05-31 06:25:45,pub,,IOP Publishing,"[{'placement': 1, 'security': 'public', 'eprintid': 21253, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/197799', 'objectid': 34646, 'mtime': '2020-05-31 04:55:59', 'hash_type': 'MD5', 'filename': '8. Abdurrahman_2020_IOP_Conf._Ser. _Earth_Environ._Sci._460_012041.pdf', 'hash': '34c1726a698fc1e745607a006bdfa9ae', 'fileid': 197799, 'mime_type': 'application/pdf', 'filesize': 752138, 'datasetid': 'document'}], 'main': '8. Abdurrahman_2020_IOP_Conf._Ser. _Earth_Environ._Sci._460_012041.pdf', 'docid': 34646, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34646', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",http://repository.lppm.unila.ac.id/id/eprint/21253,public,article,['FKIP4'],"[{'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'given': 'Abdurrahman', 'honourific': None, 'family': 'Abdurrahman', 'lineage': None}}, {'id': None, 'name': {'given': 'R.F', 'family': 'Irwansyah', 'honourific': None, 'lineage': None}}, {'id': None, 'name': {'given': 'Rofiqul', 'honourific': None, 'family': 'Umam', 'lineage': None}}, {'id': None, 'name': {'lineage': None, 'family': 'Syazali', 'honourific': None, 'given': 'Muhamad'}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Junaidi', 'given': 'Rahmad'}}, {'id': None, 'name': {'given': 'E.K.', 'honourific': None, 'family': 'Palupi', 'lineage': None}}, {'id': None, 'name': {'given': 'Irzaman', 'honourific': None, 'family': 'Irzaman', 'lineage': None}}]",disk0/00/02/12/53,2020-03-01 00:00:00.000000000,published,460.0,https://iopscience.iop.org/article/10.1088/1755-1315/460/1/012041,"The study on the efficiency of biomass fuel (rice husk) was carried out in the sterilization of oyster mushrooms by using drums as sterilization media and convection pipes as accelerators for heat transfer throughout the sterilization chamber. Variations in diameter and number of convection pipes were used as a comparison in this study. The measurement of thermal temperature was carried out using a thermo laser. In addition, the interpretation of the thermal distribution of the room was analyzed using Surfer software that was performed as a comparison between the number and diameter of convection pipes and determining the distribution of temperature using numeric interpolation. The use of oyster mushroom production using convection pipes 1 rod with a diameter of 8 cm showed the best results, temperature distribution, the efficiency of fuel use in this study. In addition, the comparison of the number of pipes also proved that convection pipes have a temperature distribution that is more equivalent to the number of convection pipes 3 rods. However, the efficiency in the use of fuel using convection pipes 1 rod with a diameter of 6 cm showed a better value than the other.",1755-1315,IOP Conference Series: Earth and Environmental Science,TRUE,1.0,445-455,,,,,,,,,,
2,archive,2021-04-08 06:42:00,"['L1', 'LB2300']",Enhancing Students’ Activity and Science Concept Mastery using Guided Inquiry-Based Practical Manual.,8,show,29030,2021-04-08 06:42:00,1028,2021-04-08 06:42:00,unpub,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",FKIP Univeresitas Lampung,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 29030, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43138', 'main': 'Enhancing Students Activity and Science Concept Mastery using Guided Inquiry Based Practical Manual.pdf', 'docid': 43138, 'files': [{'fileid': 257552, 'mime_type': 'application/pdf', 'mtime': '2021-04-08 04:00:47', 'hash_type': 'MD5', 'hash': 'd202ebd1185a51089dae2349365437de', 'filename': 'Enhancing Students Activity and Science Concept Mastery using Guided Inquiry Based Practical Manual.pdf', 'datasetid': 'document', 'filesize': 3416654, 'objectid': 43138, 'uri': 'http://repository.lppm.unila.ac.id/id/file/257552'}]}]",http://repository.lppm.unila.ac.id/id/eprint/29030,public,other,['FKIP4'],"[{'id': None, 'name': {'given': 'Lis', 'family': 'Andriani', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Sunyono', 'lineage': None, 'honourific': None, 'family': 'Sunyono'}, 'id': 'sunyono.1965@fkip.unila.ac.id'}, {'name': {'family': 'Abdurrahman', 'honourific': None, 'lineage': None, 'given': 'Abdurrahman'}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}]",disk0/00/02/90/30,2020-12-01 00:00:00.000000000,completed,,,,,,,,,"['Prodi S1 Pendidikan Kimia', 'Prodi S2 Keguruan IPA', 'Prodi S2 Pendidikan Fisika']",,,,,,,,,
3,archive,2020-11-19 11:33:26,['LB1501'],Developing PBL To Improve Mathematical Problem Solving And Self Efficacy,8,show,26216,2020-11-19 11:33:26,553,2020-11-19 11:33:26,pub,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",Universitas Malikussaleh,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 26216, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40174', 'main': 'Developing PBL To Improve Mathematical Problem Solving And Self Efficacy.pdf', 'docid': 40174, 'files': [{'objectid': 40174, 'uri': 'http://repository.lppm.unila.ac.id/id/file/236677', 'datasetid': 'document', 'filesize': 802807, 'mime_type': 'application/pdf', 'fileid': 236677, 'hash': '4d0ecb0f36614c7d97bce93647ec689d', 'filename': 'Developing PBL To Improve Mathematical Problem Solving And Self Efficacy.pdf', 'hash_type': 'MD5', 'mtime': '2020-11-19 10:41:21'}]}]",http://repository.lppm.unila.ac.id/id/eprint/26216,public,article,['FKIP4'],"[{'id': None, 'name': {'given': 'Fransisca', 'honourific': None, 'family': 'Anggalia', 'lineage': None}}, {'name': {'family': 'Bharata', 'honourific': None, 'lineage': None, 'given': 'Haninda'}, 'id': 'hanindabharataa@gmail.com'}, {'name': {'lineage': None, 'family': 'Rosidin', 'honourific': None, 'given': 'Undang'}, 'id': 'undangros@yahoo.com'}]",disk0/00/02/62/16,2020-03-01 00:00:00.000000000,published,3.0,http://ijtmer.com,"This study is a research development (R&D) that aims to find out developing Problem-Based Learning (PBL) to improve students' mathematical problem solving abilities and valid, practical and effective student self-efficacy. The procedure of this research uses research development by Borg & gall, Research and Information Collecting, Planning, Developing Preliminary of Products, Preliminary Testing ,Main Product Revision, Main Field Test, Operational Product Revision, Operational Field Testing, Final Product Revision, Dissemination and Implementation, but in this study it was carried out only to the sixth stage. Data collection techniques using observation, interviews, questionnaires, and tests. The design is validated by the learning model design expert,
while the learning device is validated by the material expert, media expert and education practitioner. Furthermore the design was revised according to expert opinion. It was concluded that the ability to solve mathematical problems and self efficacy with problem based learning is more effective than the ability to solve mathematical problems with conventional learning.",2621-8488,International Journal of Trends in Mathematics Education Research,TRUE,1.0,24-30,"['Jurusan Pendidikan MIPA, FKIP UNILA', 'Jurusan Pendidikan MIPA, FKIP UNILA', 'Jurusan Pendidikan MIPA, FKIP UNILA']","[{'url': 'https://library.laredo.edu/eds/detail?db=edsdoj&an=edsdoj.bcd97280978c4b5b8e52079adf209ad7&isbn=26218488', 'type': 'pub'}]",,,,,,,,
4,archive,2020-11-10 07:13:52,['L1'],Teachers’ and Students’ Perceptions on The Use of SSI-based Assessment Instrument for Measuring Students’ Ability to Collaborate,7,show,24822,2020-11-10 07:13:52,992,2020-11-10 07:13:52,pub,"[{'name': {'given': 'Apriyani Nurtika', 'lineage': None, 'family': 'Apriyani Nurtika', 'honourific': None}, 'id': None, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'name': {'family': 'Sunyono', 'honourific': None, 'lineage': None, 'given': 'Sunyono'}, 'id': None, 'type': 'http://www.loc.gov/loc.terms/relators/CCP'}, {'type': 'http://www.loc.gov/loc.terms/relators/CCP', 'id': 'dewilengkana76@gmail.com', 'name': {'lineage': None, 'family': 'Dewi Lengkana', 'honourific': None, 'given': 'Dewi Lengkana'}}]",,"[{'files': [{'filesize': 127488, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2020-11-10 05:30:29', 'filename': 'Dewi  ICOPE2020.doc', 'hash': 'bc13007d9dcd232d19858c7074168fad', 'fileid': 225021, 'mime_type': 'application/msword', 'uri': 'http://repository.lppm.unila.ac.id/id/file/225021', 'objectid': 38571}], 'docid': 38571, 'main': 'Dewi  ICOPE2020.doc', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38571', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 24822, 'mime_type': 'application/msword', 'language': 'en'}]",http://repository.lppm.unila.ac.id/id/eprint/24822,public,conference_item,['FKIP4'],"[{'id': None, 'name': {'given': 'Apriyani Nurtika', 'lineage': None, 'honourific': None, 'family': 'Apriyani Nurtika'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Sunyono', 'given': 'Sunyono'}, 'id': None}, {'name': {'given': 'Dewi Lengkana', 'lineage': None, 'honourific': None, 'family': 'Dewi Lengkana'}, 'id': 'dewilengkana76@gmail.com'}]",disk0/00/02/48/22,2020-10-18 00:00:00.000000000,published,,,"The purpose of this study was to analyze and explain teachers’ and students’ perceptions on the SSI-based assessment instrument for measuring students’ ability to collaborate. The method used was the descriptive method. The samples of this study cover ten junior high school teachers and one hundred junior high school students from ten different schools. Data collection was administered by means of questionnaires, while the proportions technique was used for analyzing the collected data. The results show that teachers' perceptions on the SSI-based instrument assessment in the implementation aspect were in low category, because in the learning process the teachers did not raised the issue of science (SSI) often (medium category). Learners' perceptions of the aspect of collaboration ability were also in low category as teachers have not assessed learners' ability to collaborate. It can be concluded that the SSI-based assessment instrument is needed by both teachers and learners to accurately measure learners’ ability to collaborate.
KEYWORDS 
assessment instrument, issue of science (SSI), collaborate skills",,,TRUE,,1-4,,,"The 2nd ICOPE 2020, October 17-18, Lampung, Indonesia",Bandar Lampung,October 17-18,conference,paper,,,
5,archive,2020-05-31 06:25:34,['L1'],The Importance of Guided Inquiry Learning Models to Train Communication Skills,6,show,21249,2020-05-31 06:25:34,812,2020-05-31 06:25:34,pub,,International Organization of Scientific Research,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34640', 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/pdf', 'fileid': 197767, 'filename': 'trijalmo-retno.pdf', 'hash': 'b3042c4a6178cc8cbffddc2f490a2a6b', 'mtime': '2020-05-31 04:36:45', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 431657, 'objectid': 34640, 'uri': 'http://repository.lppm.unila.ac.id/id/file/197767'}], 'main': 'trijalmo-retno.pdf', 'docid': 34640, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 21249}]",http://repository.lppm.unila.ac.id/id/eprint/21249,public,article,['FKIP4'],"[{'name': {'lineage': None, 'family': 'Astuti', 'honourific': None, 'given': 'Retno Dwi'}, 'id': None}, {'id': 'marina_setyorini@yahoo.com', 'name': {'given': 'M.', 'lineage': None, 'family': 'Setyarini', 'honourific': None}}, {'name': {'lineage': None, 'family': 'Jalmo', 'honourific': None, 'given': 'Tri'}, 'id': 'tri.jalmo@fkip.unila.ac.id'}]",disk0/00/02/12/49,2020-03-25 00:00:00.000000000,published,10.0,https://www.iosrjournals.org/iosr-jrme/papers/Vol-10%20Issue-2/Series-3/K1002036569.pdf,"In 21st century, communication skills are skill that must be developed in addition to cognitive abilities. Teachers must be able to use appropriate strategies in learning activities so that students can have good communication skills which will make thesituation more interactive and effective and have an impact on high intensity discussions and deep learning understanding.This study aims to describe the importance of guided inquiry learning models in training communication skills.Data in this study were obtained using a needs analysis questionnaire involving 180 junior high school students in six districts of Lampung Province. The method used in this research is descriptive qualitative method and data collection using questionnaires. Data analysis of student questionnaire results was categorized into five criteria: very high, high, medium, low, and very low.The results of the analysis had an average of 52.9% categorized as ""moderate"". The results of a survey of students in six districts in Lampung Province revealed that natural science learning with the guided inquiry learning model has not all been carried out optimally such as in making problem formulations, making provisional assumptions (hypotheses), and proving provisional conjectures (hypotheses).Furthermore, students’ communication skills were not optimal in showing the truth of the data or opinions obtained from the results of the experiment and responding to statements from friends. The application of guided inquiry is not only to enhance students' ability to understand the material but also to train communication skills which are very important for students for more complex lives and to compete globally in 21st century.",2320–1959,IOSR Journal of Research & Method in Education (IOSR-JRME),TRUE,2.0,46-50,,,,,,,,10.9790/7388-1002034650,,
6,archive,2020-05-31 06:25:21,['L1'],The Importance of Guided Inquiry on Human Respiratory System Material to Improve Scientific Attitude of Students,6,show,21246,2020-05-31 06:25:21,812,2020-05-31 06:25:21,pub,,International Organization of Scientific Research,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/197758', 'objectid': 34638, 'hash': '1dd4816bff6f79a3f72ce89efb183331', 'filename': 'rizki-setyarini-trijalmo.pdf', 'hash_type': 'MD5', 'mtime': '2020-05-31 04:29:20', 'mime_type': 'application/pdf', 'fileid': 197758, 'filesize': 454850, 'datasetid': 'document'}], 'main': 'rizki-setyarini-trijalmo.pdf', 'docid': 34638, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34638', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 21246, 'mime_type': 'application/pdf', 'language': 'en'}]",http://repository.lppm.unila.ac.id/id/eprint/21246,public,article,['FKIP4'],"[{'id': None, 'name': {'given': 'Rizky', 'honourific': None, 'family': 'Ayuningtyas', 'lineage': None}}, {'name': {'given': 'M.', 'family': 'Setyarini', 'honourific': None, 'lineage': None}, 'id': 'marina_setyorini@yahoo.com'}, {'name': {'given': 'Tri', 'family': 'Jalmo', 'honourific': None, 'lineage': None}, 'id': 'tri.jalmo@fkip.unila.ac.id'}]",disk0/00/02/12/46,2020-03-26 00:00:00.000000000,published,10.0,https://www.iosrjournals.org/iosr-jrme/papers/Vol-10%20Issue-2/Series-3/K1002036569.pdf,"The purpose of this study was to obtain preliminary study data on the scientific attitude of students through the guided inquiry learning model on the topic of the human respiratory system. Data were collected by using needs analysison 153 junior high school students spread across five regencies in Lampung Province. This study used descriptive qualitative method and the data were collected by using questionnaire. The results of the study indicated that not all stages of guided inquiry were implemented to natural science learning with the guided inquiry learning model properly. The results of a survey on students at five regencies in Lampung Province showed that natural science learning with the guided inquiry learning model was not all in accordance with the stage scarried out such as making problem formulations and making temporary hypotheses. The scientific attitude showed honest and disciplined indicators, the truth of the data or opinions obtained from the results of the experiment and respond to the statements of friends who did not understand. The implementation of guided inquiry learning is believed to not only increase the abilities of students to understand the material but it can also improve scientific attitude which is a 21st-century skill that students must have to be able to prepare for more complex lives to compete globally. It is believed that the use of the guided inquiry learning model in the learning process is very necessary because it can have a positive influence on the scientific attitude of students on some thing abstract",2320–1959,IOSR Journal of Research & Method in Education (IOSR-JRME),TRUE,2.0,65-69,,,,,,,,10.9790/7388-1002035155,,
7,archive,2021-04-01 01:55:46,"['L1', 'LB1501', 'LC5201']",Utilization of Salacca Zalacca Seeds as Chromium (VI) Adsorbents.,9,show,28769,2021-04-01 01:55:46,705,2021-04-01 01:55:46,pub,,Periódico Tchê Química,"[{'files': [{'objectid': 42831, 'uri': 'http://repository.lppm.unila.ac.id/id/file/255200', 'datasetid': 'document', 'filesize': 4066976, 'mime_type': 'application/pdf', 'fileid': 255200, 'hash': 'ce2fc70acd035eb852a613be52415d41', 'filename': 'Utilization of Salacca Zalacca Seeds as Chromium (VI) Adsorbents.pdf', 'hash_type': 'MD5', 'mtime': '2021-03-31 04:19:00'}], 'docid': 42831, 'main': 'Utilization of Salacca Zalacca Seeds as Chromium (VI) Adsorbents.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42831', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 28769, 'mime_type': 'application/pdf', 'language': 'en'}]",http://repository.lppm.unila.ac.id/id/eprint/28769,public,other,['FKIP4'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Baehaki', 'given': 'Farhan'}, 'id': None}, {'name': {'family': 'Rudibyani', 'honourific': None, 'lineage': None, 'given': 'Ratu Betta'}, 'id': 'ratubetta.rudibyani@fkip.unila.ac.id'}, {'id': None, 'name': {'given': 'Suci Rizki Nurul', 'honourific': None, 'family': 'Aeni', 'lineage': None}}, {'name': {'family': 'Perdana', 'honourific': None, 'lineage': None, 'given': 'Ryzal'}, 'id': None}]",disk0/00/02/87/69,1970-01-01 00:00:00.000002020,,,,,,,,,,,,,,,,,,,
8,archive,2021-04-08 01:12:04,"['L1', 'LB2300']",Implementation of Discovery Learning Based Worksheet To Improve Students’ Concept Mastery of Science.,8,show,29016,2021-04-08 01:12:04,1028,2021-04-08 01:12:04,unpub,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",FKIP Univeresitas Lampung,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 29016, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43122', 'main': 'Implementation of Discovery Learning Based Worksheet To Improve Students Concept Mastery of Science.pdf', 'docid': 43122, 'files': [{'objectid': 43122, 'uri': 'http://repository.lppm.unila.ac.id/id/file/257398', 'mime_type': 'application/pdf', 'fileid': 257398, 'hash': '33920705ba135139d4ce5dda2440dca5', 'filename': 'Implementation of Discovery Learning Based Worksheet To Improve Students Concept Mastery of Science.pdf', 'hash_type': 'MD5', 'mtime': '2021-04-07 10:10:58', 'datasetid': 'document', 'filesize': 2341991}]}]",http://repository.lppm.unila.ac.id/id/eprint/29016,public,other,['FKIP4'],"[{'id': None, 'name': {'given': 'Berti Ayu', 'family': 'Ceriasari', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Sunyono', 'lineage': None, 'family': 'Sunyono', 'honourific': None}, 'id': 'sunyono.1965@fkip.unila.ac.id'}, {'name': {'given': 'Ratu Betta', 'lineage': None, 'honourific': None, 'family': 'Rudibyani'}, 'id': 'ratubetta.rudibyani@fkip.unila.ac.id'}]",disk0/00/02/90/16,2020-12-01 00:00:00.000000000,completed,,,,,,,,,"['Prodi S1 Pendidikan Kimia', 'Prodi S2 Keguruan IPA', 'Prodi S1 Pendidikan Kimia`']",,,,,,,,,
9,archive,2020-11-10 07:13:42,['L1'],Teachers’ and Students’ Perceptions of the Socio-Scientific Issues (SSI)-based Electronic Student Worksheets for Improving Scientific Literacy and Collaboration Skills,8,show,24797,2020-11-10 07:13:42,992,2020-11-10 07:13:42,pub,"[{'name': {'family': 'Dwi Septirawati', 'honourific': None, 'lineage': None, 'given': 'Dwi Septirawati'}, 'id': None, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'name': {'family': 'Sunyono', 'honourific': None, 'lineage': None, 'given': 'Sunyono'}, 'id': None, 'type': 'http://www.loc.gov/loc.terms/relators/CCP'}, {'name': {'given': 'Dewi Lengkana', 'lineage': None, 'family': 'Dewi Lengkana', 'honourific': None}, 'id': 'dewilengkana76@gmail.com', 'type': 'http://www.loc.gov/loc.terms/relators/CCP'}]",,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/224921', 'objectid': 38553, 'filesize': 442737, 'datasetid': 'document', 'hash': '25b29116e708280d904ed925932c40e8', 'filename': 'artikel E-LKPD (dewi ICOPE2).pdf', 'hash_type': 'MD5', 'mtime': '2020-11-10 04:52:03', 'mime_type': 'application/pdf', 'fileid': 224921}], 'docid': 38553, 'main': 'artikel E-LKPD (dewi ICOPE2).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/38553', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 24797, 'mime_type': 'application/pdf', 'language': 'en'}]",http://repository.lppm.unila.ac.id/id/eprint/24797,public,conference_item,['FKIP4'],"[{'id': None, 'name': {'family': 'Dwi Septirawati,', 'honourific': None, 'lineage': None, 'given': 'Dwi Septirawati,'}}, {'name': {'lineage': None, 'family': 'Sunyono,', 'honourific': None, 'given': 'Sunyono'}, 'id': None}, {'id': 'dewilengkana76@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Dewi', 'given': 'Dewi Lengkana'}}]",disk0/00/02/47/97,2020-10-18 00:00:00.000000000,published,,,"Abstract. The purpose of this study was to analyze and explain Teacher and Student Perceptions in Learning Using SSI-based electronic student worksheets in improving scientific literacy and collaboration skills. The research method is descriptive method. The population in this study were ten junior high school teachers and one hundred junior high school students from ten different schools. Data collection using questionnaires and data analysis techniques using percentages. The results showed that the teacher's perception of learning using SSI-based electronic student worksheets in the implementation aspect was in the very low category, because teachers still used conventional worksheets and books. Teachers' perceptions of aspects of scientific literacy are still low, but teachers have tried to apply them in learning. Furthermore, teachers' perceptions about student collaboration are in the ""low"" category. Students' perceptions of aspects of the SSI-based electronic Student Worksheet learning science literacy and collaboration skills are still very low. Then the percentage of student needs in using SSI-based electronic Student Worksheets in learning is in the ""high"" category. It can be concluded that the use of SSI-based electronic Student Worksheets can improve scientific literacy and student collaboration skills.",,,TRUE,,1-6,,,"The 2nd ICOPE 2020, October 17-18, Lampung, Indonesia",Bandar Lampung,October 17-18,conference,paper,,,
