,title,official_url,rev_number,volume,metadata_visibility,status_changed,eprint_status,subjects,abstract,eprintid,date_type,ispublished,number,documents,publisher,full_text_status,uri,refereed,lastmod,userid,datestamp,pagerange,publication,creators,issn,date,dir,type,divisions,contributors,related_url,id_number,succeeds
0,Teachers' Perceptions toward Student Worksheets Based on Sugarcane Waste Treatment Projects to Improve Students' Creative Thinking Skills,http://jurnal.fkip.unila.ac.id/index.php/jpmipa/,6,23.0,show,2022-07-21 01:12:36,archive,['LB2300'],"This study aims to describe teachers’ perceptions towards students’ worksheets based on bagasse waste processing projects to improve students' creative thinking skills. This research was conducted in Lampung Province involving 42 junior high school science teachers. This study uses the ADDIE research and development method by Branch. At the analysis stage, performance analysis and needs analysis are carried out. At the development stage, two education experts validated the suitability of the content with project-based learning steps and indicators of creative thinking skills according to Torrance and validated the suitability of the construction with the components of the student worksheets. At the implementation stage, it will be tested in class VII at SMP Negeri 3 Kotabumi. The evaluation stage is by evaluating the results of students after the learning is carried out. The success of increasing students' creative thinking skills is seen based on the results of n-gain and effect size.",43521,published,pub,1.0,"[{'main': 'Rahma A. Noor F..pdf', 'docid': 165458, 'files': [{'filesize': 267622, 'datasetid': 'document', 'filename': 'Rahma A. Noor F..pdf', 'hash': '6b5cbed4b34120626f431a5a9d6de6e9', 'mtime': '2022-07-20 12:24:35', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 474980, 'uri': 'http://repository.lppm.unila.ac.id/id/file/474980', 'objectid': 165458}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165458', 'eprintid': 43521, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]","Jurusan Pendidikan MIPA, FKIP Universitas Lampung",public,http://repository.lppm.unila.ac.id/id/eprint/43521,TRUE,2022-07-21 01:12:36,624,2022-07-21 01:12:36,335-344,Jurnal Pendidikan MIPA,"[{'name': {'given': 'Rahma', 'lineage': None, 'family': 'Abida', 'honourific': None}, 'id': 'rahmaabida1995@gmail.com'}, {'name': {'lineage': None, 'family': 'Fadiawati', 'honourific': None, 'given': 'Noor'}, 'id': 'noor.fadiawati@fkip.unila.ac.id'}, {'id': 'marina_setyorini@yahoo.com', 'name': {'given': 'M.', 'family': 'Setyarini', 'honourific': None, 'lineage': None}}]",e-ISSN: 2550-1313 | p-ISSN: 2087-9849,2022-06-10 00:00:00.000000000,disk0/00/04/35/21,article,['FKIP4'],,,,
1,"Teacher’s Perceptions of Electronic Multi Representation
STEM based Worksheet to Improve Student’s
Metacognitive Ability",http://jurnal.unsyiah.ac.id/jps,7,10.0,show,2022-08-31 01:44:15,archive,['L1'],"Science teachers often conduct a teacher-centered learning process without analyzing the
essential needs of each student. Yet, it may not support student to enhance their cognition ability in
21th century era. This study aimed to describe teachers' perception toward usage of electronic multi
representation-STEM based worksheet. The study was conducted in February 2021, involving 245
student and 15 science teachers of junior high school. The research used a mixed method with
Sequential Explanatory Design. Data were taken using Questionnaire, interview, and to analyze
current student worksheet. Data were analyzed descriptively. The data analysis techniques are data
collection, data reduction, data display, and verification. The result shows that student have a positive
perception toward usage of the electronic multi representation-STEM based worksheet. Almost all
the teachers did not use the STEM approach to teach science. The current worksheets has not completely
train students' metacognitive abilities and the students` metacognition was in low category, teacher
has not use proper learning strategies, method, and visualize concepts in multi representation. It can
be concluded that a STEM-based multi-representation worksheet is needed to improve students`
metacognitive abilities of junior high school.
Keywords: e-work sheet, metacognitive, multi representation",44571,published,pub,3.0,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/166442', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'filename': '(2022) Atika Putri.pdf', 'hash': '675de2fca437235773fd37df5f0d7abe', 'mtime': '2022-08-30 11:38:40', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 481873, 'filesize': 1465824, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/481873', 'objectid': 166442}], 'main': '(2022) Atika Putri.pdf', 'docid': 166442, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 44571}]",Program Studi pendidikan IPA Program pascasarjana Universitas Syiah Kuala,public,http://repository.lppm.unila.ac.id/id/eprint/44571,TRUE,2022-08-31 01:44:15,992,2022-08-31 01:44:15,606-622,Jurnal Pendidikan Sains Indonesia,"[{'name': {'family': 'Atika  Putri', 'honourific': None, 'lineage': None, 'given': 'Atika Putri'}, 'id': None}, {'name': {'given': 'Dewi Lengkana', 'lineage': None, 'family': 'Dewi Lengkana', 'honourific': None}, 'id': 'dewilengkana76@gmail.com'}, {'id': None, 'name': {'honourific': None, 'family': 'TRIJALMO', 'lineage': None, 'given': 'trijalmo'}}]",p-ISSN: 2338-4379    e-ISSN: 2615-840x,2022-07-19 00:00:00.000000000,disk0/00/04/45/71,article,['FKIP4'],"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'honourific': None, 'family': 'Atika Putri', 'lineage': None, 'given': 'Atika Putri'}}, {'type': 'http://www.loc.gov/loc.terms/relators/CCP', 'name': {'lineage': None, 'honourific': None, 'family': 'Dewi Lengkana', 'given': 'Dewi  Lengkana'}}, {'name': {'lineage': None, 'family': 'Trijalmo', 'honourific': None, 'given': 'Trijalmo'}, 'type': 'http://www.loc.gov/loc.terms/relators/CCP'}]",[{'url': 'http://jurnal.unsyiah.ac.id/JPSI/article/view/25052/16142'}],,
2,STUDI PENDAHULUAN: PENGEMBANGAN E-LKPD DALAM UPAYA PEMAHAMAN KETERAMPILAN BERPIKIR KREATIF PADA PEMBELAJARAN ILMU PENGETAHUAN ALAM,https://e-journal.metrouniv.ac.id/index.php/Al-Jahiz/article/view/6929,6,3.0,show,2023-05-11 03:23:23,archive,['L1'],"E-LKPD adalah Lembar Kerja Peserta Didik berbasis elektronik. Pengembangan E-LKPD ditujukan untuk inovasi pembelajaran ke arah digital dan modern. Penelitian ini bertujuan untuk menganalisis kebutuhan pengembangan E-LKPD dalam upaya untuk meningkatkan keterampilan berpikir kreatif pada pembelajaran Ilmu Pengetahuan Alam (IPA). Studi
pendahuluan dilakukan dengan menggunakan pendekatan penelitian survey. Wawancara dan angket merupakan instrument penelitian yang digunakan sebagai teknik pengumpulan data dengan berbantukan format google form yang disebar kepada Guru Sekolah Menengah Pertama (SMP) se-Bandar Lampung melalui forum MGMP IPA. Seluruh Guru SMP forum MGMP
IPA Kota Bandar Lampung dipilih sebagai populasi penelitian. Penentuan jumlah sampel dilakukan dengan teknik purposive sampling, dengan 40 orang responden. Hasil survey menegaskan bahwa terdapat 59,375% Guru menggunakan media pembelajaran LKPD secara konvensional, 60,625% Guru sudah menggunakan E-LKPD namun dalam konsep biasa, sementara 53,75% Guru sudah menerapkan E-LKPD berbasis audio visual. Namun, penerapan E-LKPD berbasis audio visual masih sedikit Guru yang
mengkombinasikan E-LKPD tersebut dengan keterampilan berpikir kreatif. Sedemikian itu, penelitian ini mencoba menganalisis kebutuhan dalam upaya pentingnya pengembangan E-LKPD untuk meningkatkan pemahaman keterampilan berpikir kreatif peserta didik dalam pembelajaran IPA",51395,,pub,2.0,"[{'eprintid': 51395, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': 'DOC-20230509-WA0094_230509_123300.pdf', 'docid': 248359, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/608871', 'objectid': 248359, 'filesize': 641792, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2023-05-10 23:10:52', 'hash': 'e498cdf9054efcc5d7596aec11c669c4', 'filename': 'DOC-20230509-WA0094_230509_123300.pdf', 'fileid': 608871, 'mime_type': 'application/pdf'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/248359', 'rev_number': 1}]",INSTITUT AGAMA ISLAM NEGERI METRO LAMPUNG,public,http://repository.lppm.unila.ac.id/id/eprint/51395,TRUE,2023-05-11 03:23:23,986,2023-05-11 03:23:23,158-165,Al-Jahiz: Journal of Biology Education Research,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Budiasih', 'given': 'Yuli'}}, {'name': {'given': 'Abdurrahman', 'lineage': None, 'honourific': None, 'family': 'Abdurrahman'}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}, {'id': 'dewi.lengkana@fkip.unila.ac.id', 'name': {'given': 'Dewi', 'honourific': None, 'family': 'Lengkana', 'lineage': None}}, {'name': {'family': 'Hasnunidah', 'honourific': None, 'lineage': None, 'given': 'Neni'}, 'id': 'nenihasnunidah@gmail.com'}]",2722-5275,2022-12-27 00:00:00.000000000,disk0_bak/00/05/13/95,article,['FKIP4'],"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AQT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AFT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AFT'}]",,,
3,"Design and Validation of STEM Integrated e-Modules on Environmental Pollution
to Improve Problem-Solving Skills",http://jurnal.fkip.unila.ac.id/index.php/jpmipa/,8,23.0,show,2022-08-31 01:44:22,archive,['L1'],"Abstract: Scientific literacy about awareness and problem-solving skills related to
environmental issues is one of the competencies that must be instilled in students in science
learning in the future. However, teaching materials that have the potential to instill these
competencies have not been easily accessed by students. The purpose of this study was to
design and validate an integrated electronic module with a STEM approach on environmental
pollution materials to improve problem-solving skills. This research uses Research and
Development (R&D) method with ADDIE (Analysis, Design, Development, Implementation,
Evaluation). The E-Module is designed for Project-Based learning (PJBL-STEM) with steps of
Reflection, Research, Discovery, Application and Communication. The results of construct
validation obtained a percentage of 89.4%, content validation yielded a percentage of 95% and
language validation 91.7% with all very valid criteria. Based on the pre-test and post-test trials
of the use of e-modules carried out on students, it was found that the N-gain was 0.40 with
problem-solving criteria moderate for students. Overall, the research show that the developed e-module is validated with
a very valid category and can improve students problem-solving skills.



Keywords:e-module,STEM,PjBL,problem-solving, skills.",44573,,pub,1.0,"[{'eprintid': 44573, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 166445, 'main': 'artikel Dina else 2022.pdf', 'files': [{'objectid': 166445, 'uri': 'http://repository.lppm.unila.ac.id/id/file/481890', 'datasetid': 'document', 'filesize': 417899, 'fileid': 481890, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-08-30 12:50:36', 'hash': 'ea40763811fb3ee762056c9e9d605c40', 'filename': 'artikel Dina else 2022.pdf'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166445'}]",Jurusan Pendidikan MIPA,public,http://repository.lppm.unila.ac.id/id/eprint/44573,TRUE,2022-08-31 01:44:22,992,2022-08-31 01:44:22,754-765,Jurnal Pendidikan MIPA,"[{'id': None, 'name': {'given': 'Dina Else fernandu,', 'family': 'Dina Else fernandu,', 'honourific': None, 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Abdurrahman', 'given': 'Abdurrahman'}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}, {'name': {'family': 'Dewi Lengkana', 'honourific': None, 'lineage': None, 'given': 'Dewi Lengkana'}, 'id': 'dewilengkana76@gmail.com'}]",1411-2531,1970-01-01 00:00:00.000002022,disk0/00/04/45/73,article,['FKIP4'],"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Dina Else Fernandu', 'lineage': None, 'family': 'Dina Else Fernandu', 'honourific': None}}, {'type': 'http://www.loc.gov/loc.terms/relators/CCP', 'name': {'lineage': None, 'family': 'Abdurrahman', 'honourific': None, 'given': 'Abdurrahman'}}, {'name': {'given': 'Dewi Lengkana', 'lineage': None, 'honourific': None, 'family': 'Dewi Lengkana'}, 'type': 'http://www.loc.gov/loc.terms/relators/CCP'}]",[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/jpmipa/article/view/24809/pdf'}],,
4,"Teachers' Perceptions in the Development of Student
Worksheets (LKPD) Based On Discovery Learning To Improve
System Thinking Ability",https://bircu-journal.com/index.php/birci/article/view/3798,8,5.0,show,2022-09-02 08:55:11,archive,['L1'],"The.purpose of this study is to analyse and explain the 
Development ofBased Student Worksheets Discovery Learning- to
Improve System Thinking Skills for Junior High School Students.
The method used is a descriptive method. The sample of this study
includes one hundred and ten junior high school teachers from 90
different schools. The data was collected using a questionnaire,
while the data analysis technique used proportions. The results
showed that the Development of Student Worksheets (Lkpd) Based
on Discovery Learning to Improve the System Thinking Ability of
Junior High School Students. The teacher does not yet know the
very high category system thinking ability, The existing worksheets
have not trained students' ability to think systems and are also
included in the low category because teachers have not assessed
students' ability to think critically. It can be concluded that (Lkpd)
Based on Discovery Learning To Improve System Thinking Ability
is needed by teachers and students to Improve System Thinking 
Ability of Junior High School Students.",44655,published,pub,1.0,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 44655, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166539', 'rev_number': 1, 'main': 'artikel eka candara 2022.pdf', 'docid': 166539, 'files': [{'datasetid': 'document', 'filesize': 735329, 'mime_type': 'application/pdf', 'fileid': 482557, 'filename': 'artikel eka candara 2022.pdf', 'hash': '865254b6e58649d55c7d710e3b07a5d2', 'hash_type': 'MD5', 'mtime': '2022-09-02 02:34:19', 'objectid': 166539, 'uri': 'http://repository.lppm.unila.ac.id/id/file/482557'}]}]",Bircu Publisher,public,http://repository.lppm.unila.ac.id/id/eprint/44655,TRUE,2022-09-02 08:55:11,992,2022-09-02 08:55:11,1979-1985,Budapest International Research and Critics Institute (BIRCI-Journal) : Humanities and Social Sciences,"[{'id': None, 'name': {'lineage': None, 'family': 'Eka Chandra', 'honourific': None, 'given': 'Eka Chandra'}}, {'name': {'given': 'trijalmo', 'lineage': None, 'family': 'TRIJALMO', 'honourific': None}, 'id': None}, {'id': 'dewilengkana76@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Dewi Lengkana', 'given': 'Dewi Lengkana'}}]",ISSN : 2615-3076 (Online),2022-02-01 00:00:00.000000000,disk0/00/04/46/55,article,['FKIP4'],"[{'name': {'lineage': None, 'family': 'Eka Chandra', 'honourific': None, 'given': 'Eka Chandra'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/CCP', 'name': {'given': 'Trijalmo', 'lineage': None, 'family': 'Trijalmo', 'honourific': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Dewi Lengkana', 'given': 'Dewi Lengkana'}, 'type': 'http://www.loc.gov/loc.terms/relators/CCP'}]",[{'url': 'https://bircu-journal.com/index.php/birci/article/view/3798'}],3798,
5,"Teachers' Perceptions in the Development of Student
Worksheets (LKPD) Based On Discovery Learning To Improve
System Thinking Ability",,6,5.0,show,2022-09-02 08:55:18,archive,['L1'],"Abstract
The.purpose of this study is to analyse and explain the 
Development ofBased Student Worksheets Discovery Learning- to
Improve System Thinking Skills for Junior High School Students.
The method used is a descriptive method. The sample of this study
includes one hundred and ten junior high school teachers from 90
different schools. The data was collected using a questionnaire,
while the data analysis technique used proportions. The results
showed that the Development of Student Worksheets (Lkpd) Based
on Discovery Learning to Improve the System Thinking Ability of
Junior High School Students. The teacher does not yet know the
very high category system thinking ability, The existing worksheets
have not trained students' ability to think systems and are also
included in the low category because teachers have not assessed
students' ability to think critically. It can be concluded that (Lkpd)
Based on Discovery Learning To Improve System Thinking Ability
is needed by teachers and students to Improve System Thinking 
Ability of Junior High School Students.",44661,published,pub,1.0,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 44661, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166543', 'main': 'artikel eka candara 2022.pdf', 'docid': 166543, 'files': [{'objectid': 166543, 'uri': 'http://repository.lppm.unila.ac.id/id/file/482585', 'fileid': 482585, 'mime_type': 'application/pdf', 'mtime': '2022-09-02 03:33:39', 'hash_type': 'MD5', 'hash': '865254b6e58649d55c7d710e3b07a5d2', 'filename': 'artikel eka candara 2022.pdf', 'datasetid': 'document', 'filesize': 735329}]}]",Bircu Publisher,public,http://repository.lppm.unila.ac.id/id/eprint/44661,TRUE,2022-09-02 08:55:18,992,2022-09-02 08:55:18,1979-1985,Budapest International Research and Critics Institute (BIRCI-Journal) : Humanities and Social Sciences,"[{'name': {'lineage': None, 'family': 'Eka Chandra', 'honourific': None, 'given': 'Eka Chandra'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'TRIJALMO', 'given': 'trijalmo'}}, {'name': {'lineage': None, 'family': 'Dewi Lengkana', 'honourific': None, 'given': 'Dewi Lengkana'}}]",ISSN : 2615-3076 (Online),2022-02-01 00:00:00.000000000,disk0/00/04/46/61,article,['FKIP4'],"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Eka Chandra', 'lineage': None, 'family': 'Eka Chandra', 'honourific': None}}, {'type': 'http://www.loc.gov/loc.terms/relators/CCP', 'name': {'given': 'Trijalmo', 'lineage': None, 'honourific': None, 'family': 'Trijalmo'}}, {'name': {'lineage': None, 'family': 'Dewi Lengkana', 'honourific': None, 'given': 'Dewi Lengkana'}, 'type': 'http://www.loc.gov/loc.terms/relators/CCP'}]",[{'url': 'https://bircu-journal.com/index.php/birci/article/view/3798/pdf'}],3798,
6,Development of Pretest-Posttest Assessment Based on Coffee Peel Utilization Project to Measure Students Creative Thinking Skills,http://jurnal.fkip.unila.ac.id/index.php/jpmipa/,5,23.0,show,2022-07-21 01:12:38,archive,['LB2300'],"This study aims to develop a project-based pretest-posttest assessment of the use of coffee husks. This study used the research and development method of the ADDIE model until the development stage. At the analysis stage, a literature study and a preliminary study were conducted. At the design stage, planning and preparation of an initial draft in the form of a pretest-posttest assessment were carried out. In the development stage, two science education experts validated the suitability of the content and construction of the pretest-posttest assessment with Torrance's creative thinking skills indicator framework. The product of the validation results was then responded to the suitability of the content and construction aspects of creative thinking skills indicators by the three science teachers. The results of expert validation and teacher responses indicated that the pretest-posttest assessment instrument product is very suitable to be used to measure students' creative thinking skills in integrated learning based on coffee peel utilization projects.",43522,published,pub,1.0,,"Jurusan Pendidikan MIPA, FKIP Universitas Lampung",none,http://repository.lppm.unila.ac.id/id/eprint/43522,TRUE,2022-07-21 01:12:38,624,2022-07-21 01:12:38,13-24,Jurnal Pendidikan MIPA,"[{'id': 'cia.erviana@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Erviana', 'given': 'Lucia'}}, {'id': 'chansyanah.diawati@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Diawati', 'lineage': None, 'given': 'Chansyanah'}}, {'name': {'family': 'Fadiawati', 'honourific': None, 'lineage': None, 'given': 'Noor'}, 'id': 'noor.fadiawati@fkip.unila.ac.id'}]",e-ISSN: 2550-1313 | p-ISSN: 2087-9849,2022-03-16 00:00:00.000000000,disk0/00/04/35/22,article,['FKIP4'],,,,
7,Check Similarity: The Effect of e-Worksheets in Eco-Friendly Technology Oriented with Argument-Driven Inquiry Model to Improve Students Argumentation Skills,,10,,show,2023-04-25 11:20:06,archive,['L1'],,50663,,unpub,,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 50663, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190367', 'rev_number': 1, 'docid': 190367, 'main': 'The Effect of e-Worksheets in Eco-Friendly Technology Oriented with Argument Driven Inquiry Model to.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/546001', 'objectid': 190367, 'filesize': 452085, 'datasetid': 'document', 'mtime': '2023-04-22 04:32:16', 'hash_type': 'MD5', 'hash': 'edb1d789328ec204a4a296f9937e01b6', 'filename': 'The Effect of e-Worksheets in Eco-Friendly Technology Oriented with Argument Driven Inquiry Model to.pdf', 'fileid': 546001, 'mime_type': 'application/pdf'}]}]","Faculty of Teacher Training and Education, University of Lampung",public,http://repository.lppm.unila.ac.id/id/eprint/50663,,2023-04-25 11:20:06,986,2023-04-25 11:20:06,,,"[{'id': 'nenihasnunidah@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Hasnunidah', 'given': 'Neni'}}, {'name': {'given': 'Abdurrahman', 'honourific': None, 'family': 'Abdurrahman', 'lineage': None}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}]",,2022-07-11 00:00:00.000000000,disk0_bak/00/05/06/63,other,['FKIP4'],"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AQT'}]",,,
8,The Effect of e-Worksheets in Eco-Friendly Technology Oriented with Argument-Driven Inquiry Model to Improve Students Argumentation Skill,http://jurnal.fkip.unila.ac.id/index.php/jpmipa/article/view/24673,9,23.0,show,2023-05-03 07:36:04,archive,['L1'],"This study aims to describe the effect of implementing e-worksheets on environmentally friendly technology materials with the Argument-Driven Inquiry (ADI) model 
in improving students' argumentation skills. This study involved 60 grade IX students in a junior high school in South Lampung, Lampung province. The research design used was a non-equivalent pretest-posttest control group design with an experimental class of 30 students and a control class of 30 students. Students in the experimental class get learning assisted by e-worksheet with the ADI model, while students in the control class are taught using the Problem 
Based Learning (PBL) model. The results showed that students who were taught using the e-worksheets with the ADI model had a higher N-gain (g=0.61 with medium criteria) than 
students taught using the PBL model (g=0.17 with low criteria). Furthermore, the effectiveness of learning environmentally friendly technology using the ADI model shows a high category (ES=0.84). This shows that the e-worksheet material on environmentally friendly technology 
using the ADI model was effective in improving students' argumentation skills.",51010,published,pub,2.0,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 51010, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190722', 'pos': 1, 'format': 'text', 'files': [{'mtime': '2023-05-03 07:29:44', 'hash_type': 'MD5', 'hash': '1a8cf701fbd4ffc0c6c1cfa750508c2b', 'filename': '24673-62662-3-PB Devi (Sinta3)_ca.pdf', 'fileid': 548720, 'mime_type': 'application/pdf', 'filesize': 401408, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/548720', 'objectid': 190722}], 'docid': 190722, 'main': '24673-62662-3-PB Devi (Sinta3)_ca.pdf'}]","Jurusan Pendidikan MIPA, FKIP Universitas Lampung",public,http://repository.lppm.unila.ac.id/id/eprint/51010,TRUE,2023-05-03 07:36:04,986,2023-05-03 07:36:04,744-753,Jurnal Pendidikan MIPA,"[{'name': {'honourific': None, 'family': 'Hasnunidah', 'lineage': None, 'given': 'Neni'}, 'id': 'nenihasnunidah@gmail.com'}, {'name': {'honourific': None, 'family': 'Abdurrahman', 'lineage': None, 'given': 'Abdurrahman'}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}]",e-ISSN: 2550-1313 | p-ISSN: 2087-9849,1970-01-01 00:00:00.000002022,disk0_bak/00/05/10/10,article,['FKIP4'],"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AQT'}]",,,
9,The Effect of e-Worksheets in Eco-Friendly Technology Oriented with Argument-Driven Inquiry Model to Improve Students Argumentation,http://jurnal.fkip.unila.ac.id/index.php/jpmipa/,5,23.0,show,2023-04-25 11:21:18,archive,['L1'],,50682,published,unpub,2.0,"[{'placement': 1, 'security': 'public', 'eprintid': 50682, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'datasetid': 'document', 'filesize': 242663, 'mime_type': 'application/pdf', 'fileid': 546136, 'hash': '01b394b25500d673712c9b6758debd7e', 'filename': '24673-62662-2-PB Devi.pdf', 'hash_type': 'MD5', 'mtime': '2022-10-15 23:13:24', 'objectid': 190387, 'uri': 'http://repository.lppm.unila.ac.id/id/file/546136'}], 'docid': 190387, 'main': '24673-62662-2-PB Devi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190387', 'rev_number': 2, 'pos': 1, 'format': 'text'}]",Jurusan Pendidikan MIPA,public,http://repository.lppm.unila.ac.id/id/eprint/50682,TRUE,2023-04-25 11:21:18,986,2023-04-25 11:21:18,744-753,Jurnal Pendidikan MIPA,"[{'id': 'nenihasnunidah@gmail.com', 'name': {'given': 'Neni', 'lineage': None, 'honourific': None, 'family': 'Hasnunidah'}}, {'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'family': 'Abdurrahman', 'honourific': None, 'lineage': None, 'given': 'Abdurrahman'}}]",1411-2531,2022-07-11 00:00:00.000000000,disk0_bak/00/05/06/82,other,['FKIP4'],"[{'type': 'http://www.loc.gov/loc.terms/relators/AQT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AFT'}]",,http://dx.doi.org/10.23960/jpmipa/v23i2.pp744-753,45720.0
