,eprintid,date_type,isbn,status_changed,eprint_status,abstract,subjects,title,metadata_visibility,place_of_pub,rev_number,type,editors,divisions,pages,dir,date,lastmod,userid,datestamp,documents,publisher,ispublished,refereed,full_text_status,uri,creators,patent_applicant,id_number,official_url,issn,publication,number,pagerange,volume,corp_creators,contributors,related_url,output_media,projects,funders,succeeds,pres_type,event_location,event_title,event_dates,event_type
0,52043,published,978-623-467-167-4,2023-05-29 01:33:09,archive,"Buku ""Serangga Berguna"" merupakan sumbangan ilmu dan pengetahuan dari para anggota Perhimpunan Entomologi Indonesia. Buku ini berisi deskripsi biologi dan manfaat dari berbagai serangga yang bermanfaat bagi manusia, pertanian, dan lingkungan secara umum.",['Q1'],SERANGGA BERGUNA,show,Bogor,8,book,"[{'name': {'given': 'Dadang', 'lineage': None, 'honourific': None, 'family': 'Dadang'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Sudarsono', 'given': 'Hamim'}}, {'name': {'lineage': None, 'family': 'Purnomo', 'honourific': None, 'given': 'Hari'}}]",['FP24'],246.0,disk0_bak/00/05/20/43,2022-07-01 00:00:00.000000000,2023-05-29 01:33:09,1090,2023-05-29 01:33:09,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/251810', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'fileid': 616639, 'hash': '106430cbc96195bcca50bf1829d5d364', 'filename': 'Buku serangga berguna + bukti pengesahan Hamim SUdarsono 18755.pdf', 'hash_type': 'MD5', 'mtime': '2023-05-28 10:16:57', 'datasetid': 'document', 'filesize': 1657185, 'objectid': 251810, 'uri': 'http://repository.lppm.unila.ac.id/id/file/616639'}], 'docid': 251810, 'main': 'Buku serangga berguna + bukti pengesahan Hamim SUdarsono 18755.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 52043}]",Penerbit IPB Press,pub,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/52043,,,,,,,,,,,,,,,,,,,,,
1,50148,published,,2023-04-11 00:50:55,archive,"Video pembelajaran mata kuliah Hama Penting Tanaman ini bermanfaat untuk menambah pengetahuan mahasiswa peserta mata kuliah wajib pada Prodi Proteksi Tanaman FP Unila.  Video pembelajaran ini awalnya dibuat untuk menyiasati perkuliahan online pada masa pandemi, namun ternyata dapat digunakan pula untuk kuliah offline.",['S1'],Video Pembelajaran Mata Kuliah Hama Penting Tanaman,show,,8,patent,,['FP24'],,disk0_bak/00/05/01/48,2022-09-08 00:00:00.000000000,2023-04-11 00:50:55,1063,2023-04-11 00:50:55,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/542203', 'objectid': 189849, 'filesize': 2094483, 'datasetid': 'document', 'hash': 'e7f57853842efa36f42c4b6025d7d1be', 'filename': 'sertifikat_VMK Hama Penting Tanaman (1).pdf', 'mtime': '2023-04-10 15:22:19', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 542203}], 'docid': 189849, 'main': 'sertifikat_VMK Hama Penting Tanaman (1).pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189849', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 50148, 'mime_type': 'application/pdf', 'language': 'en'}]",,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/50148,"[{'name': {'given': 'Yuyun', 'family': 'Fitriana', 'honourific': None, 'lineage': None}, 'id': 'yuyun.fitriana@fp.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Lestari', 'honourific': None, 'given': 'Puji'}, 'id': 'puji.lestari@fp.unila.ac.id'}, {'id': 'purnomo.1964@fp.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Purnomo', 'given': '.'}}]","Fitriana, Yuyun",382570,https://pdki-indonesia.dgip.go.id/detail/EC00202266831?type=copyright&keyword=Yuyun+Fitriana+video+pembelajaran+hama+tanaman,,,,,,,,,,,,,,,,,
2,45982,published,,2022-10-26 06:41:02,archive,"This study was performed to reveal phenotypic characters and identity of symbiont bacteria of Nasutitermes
as well as investigate their potential as antagonist of
plant pathogenic fungi. Isolation of the symbiont bacteria was carried out from inside the heads and the bodies of soldier and worker termite which were collected
from 3 locations of nests. Identification was performed
using phenotypic test and sequence of 16S ribosomal
DNA (16S rDNA). Antagonistic capability was investigated in the laboratory against 3 phytopathogenic fungi
i.e., Phytophthora capsici, Ganoderma boninense, and
Rigidoporus microporus. Totally, 39 bacterial isolates
were obtained from inside the heads and the bodies of
Nasutitermes. All the isolates showed capability to inhibit growth of P. capsici, however, 34 isolates showed
capability to inhibit growth of G. boninense and 32
isolates showed capability to inhibit growth of R. microporus. Two bacterial strains (IK3.1P and 1B1.2P)
which showed the highest percentage of inhibition were
further identified based on their sequence of 16S rDNA.",['S1'],Lysinabacillus fusiformis and Paenibacillus alvei Obtained from the Internal of Nasutitermes Termites Revealed their Ability as Antagonist of Plant Pathogenic Fungi,show,,9,article,,['FP24'],,disk0/00/04/59/82,2022-10-01 00:00:00.000000000,2022-10-26 06:41:02,158,2022-10-26 06:41:02,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 45982, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184798', 'docid': 184798, 'main': 'PPJ-OA-03-2022-0031 YUYUN dkk.pdf', 'files': [{'objectid': 184798, 'uri': 'http://repository.lppm.unila.ac.id/id/file/509049', 'fileid': 509049, 'mime_type': 'application/pdf', 'mtime': '2022-10-26 02:20:27', 'hash_type': 'MD5', 'filename': 'PPJ-OA-03-2022-0031 YUYUN dkk.pdf', 'hash': 'e9a46197881e3562f942991a658974cd', 'datasetid': 'document', 'filesize': 2719919}]}]",The Korean Society of Plant Pathology,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/45982,"[{'name': {'given': 'Yuyun', 'lineage': None, 'honourific': None, 'family': 'Fitriana'}, 'id': 'yuyun.fitriana@fp.unila.ac.id'}, {'id': None, 'name': {'family': 'Tampubolon', 'honourific': None, 'lineage': None, 'given': 'Desi Apriani Teresa'}}, {'name': {'honourific': None, 'family': 'Suharjo', 'lineage': None, 'given': 'Radix'}, 'id': 'radix.suharjo@fp.unila.ac.id'}, {'id': 'puji.lestari@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Lestari', 'lineage': None, 'given': 'Puji'}}, {'name': {'family': 'Swibawa', 'honourific': None, 'lineage': None, 'given': 'I Gede'}, 'id': 'igede.swibawa@fp.unila.ac.id'}]",,https://doi.org/10.5423/PPJ.OA.03.2022.0031,https://ppjonline.org/journal/view.php?number=2341,eISSN 2093-9280,Plant Pathology Journal,5.0,449-460,38.0,,,,,,,,,,,,
3,46471,,,2022-11-11 01:06:03,archive,"Mata kuliah Ilmu Penyakit Benih merupakan mata kuliah pilihan bagi semua mahasiswa Fakultas Pertanian Universitas Lampung dalam memahami berbagai konsep penyakit pada benih tanaman sehingga dapat mengidentifikasi berbagai penyakit pada benih tanaman serta merencanakan teknologi yang dapat digunakan dalam pengelolaan penyakit pada benih tanaman yang ramah lingkungan serta berkelanjutan. Cakupan materi yang dibahas dalam mata kuliah ini yaitu Membahas pembentukan dan perkembangan benih, kandungan kimia benih, dormansi dan perkecambahan benih, longevitas dan deteorasi benih, viabilitas dan vigor benih, pengujian mutu benih, produksi dan pengolahan benih, penyimpanan dan tata niaga benih.",['S1'],Video Pembelajaran Mata Kuliah Ilmu Penyakit Benih-Studi Penyakit Benih,show,,7,video,,['FP24'],,disk0/00/04/64/71,2022-11-02 00:00:00.000000000,2022-11-11 01:06:03,330,2022-11-11 01:06:03,"[{'files': [{'datasetid': 'document', 'filesize': 2241417, 'fileid': 512674, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-11-10 07:48:11', 'hash': '2abaa8ab42014fdd501f9032462d4098', 'filename': 'Repositori 2Nov 2022 Ilmu Penyakit Benih.pdf', 'objectid': 185345, 'uri': 'http://repository.lppm.unila.ac.id/id/file/512674'}], 'main': 'Repositori 2Nov 2022 Ilmu Penyakit Benih.pdf', 'docid': 185345, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185345', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 46471, 'mime_type': 'application/pdf', 'language': 'en'}]",Universitas Lampung,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/46471,"[{'id': None, 'name': {'lineage': None, 'family': 'Nurdin', 'honourific': None, 'given': 'Muhammad'}}, {'id': 'suskandini.ratih@fp.unila.ac.id', 'name': {'given': 'Suskandini R.', 'family': 'Dirmawati', 'honourific': None, 'lineage': None}}, {'name': {'family': 'Helina', 'honourific': None, 'lineage': None, 'given': 'Selvi'}, 'id': None}]",,,https://www.youtube.com/watch?v=JBQMJx00o0c,,,,,,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']","[{'type': 'http://www.loc.gov/loc.terms/relators/CTB'}, {'type': 'http://www.loc.gov/loc.terms/relators/CTB'}, {'type': 'http://www.loc.gov/loc.terms/relators/CTB'}]",[{'url': 'https://www.youtube.com/watch?v=JBQMJx00o0c'}],Online,,,,,,,,
4,43618,published,,2022-07-26 08:02:11,archive,"ABSTRAK
Provinsi Lampung merupakan salah satu daerah sentra penghasil jagung di Indonesia. Produktivitas jagung masih belum optimal. Rendahnya produktivitas lahan jagung dapat disebabkan oleh berbagai faktor, salah satunya adanya penyakit bulai. Penyakit bulai dapat menyebabkan kehilangan hasil hingga 90%. Alternatif pengendalian yang efektif dan ramah lingkungan adalah dengan memanfaatkan Trichodema spp. sebagai penginduksi ketahanan tanaman terhadap penyakit bulai. Tujuan penelitian ini adalah untuk mengetahui pengaruh empat isolat Trichoderma spp. terhadap keterjadian dan keparahan penyakit bulai dan pengaruhnya terhadap pertumbuhan tanaman jagung. Penelitian ini dilakukan dalam Rancangan Acak Kelompok (RAK) dengan lima perlakuan dan empat ulangan. Perlakuan terdiri dari (T0) tanpa isolat Trichoderma sp., (T1) Trichoderma sp. isolat Hajimena, (T2) Trichoderma sp. isolat Lampung Tengah, (T3) Trichoderma spp. Isolat Lampung Timur, dan (T4) Trichoderma sp. isolat Metro. Hasil penelitian menunjukkan bahwa jamur Trichoderma spp Trichoderma spp. isolat Hajimena dan Metro dapat menekan keterjadian penyakit dan Trichoderma spp. isolat Hajimena dan Lampung Tengah dapat meningkatkan pertumbuhan tanaman pada bobot basah akar.
Kata kunci: Induksi ketahanan, keterjadian, ramah lingkungan.",['SB'],PENGARUH EMPAT ISOLAT Trichoderma spp. TERHADAP PENYAKIT BULAI DAN PERTUMBUHAN TANAMAN JAGUNG (Zea mays L.),show,,7,article,,['FP24'],,disk0/00/04/36/18,2022-04-30 00:00:00.000000000,2022-07-26 08:02:11,852,2022-07-26 08:02:11,"[{'placement': 1, 'security': 'public', 'eprintid': 43618, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 165564, 'uri': 'http://repository.lppm.unila.ac.id/id/file/475846', 'datasetid': 'document', 'filesize': 1184476, 'fileid': 475846, 'mime_type': 'application/pdf', 'mtime': '2022-07-26 06:30:37', 'hash_type': 'MD5', 'hash': '830ce686f182b2fa08107695232b0c80', 'filename': '5873-16955-1-PB (1)Joko-Reza Putri.pdf'}], 'docid': 165564, 'main': '5873-16955-1-PB (1)Joko-Reza Putri.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/165564', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",Jurnal Agrotek Tropika,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/43618,"[{'id': 'rezaputri367@gmail.com', 'name': {'given': 'Reza', 'lineage': None, 'honourific': None, 'family': 'Putri'}}, {'id': 'joko.prasetyo@fp.unila.ac.id', 'name': {'family': 'Prasetyo', 'honourific': None, 'lineage': None, 'given': 'Joko'}}, {'id': 'tri.maryono@fp.unila.ac.id', 'name': {'family': 'Tri', 'honourific': None, 'lineage': None, 'given': 'Maryono'}}, {'id': 'suskandini.ratih@fp.unila.ac.id', 'name': {'given': 'Suskandini R.', 'family': 'Dirmawati', 'honourific': None, 'lineage': None}}]",,,https://jurnal.fp.unila.ac.id/index.php/JA,2337-4993,Jurnal Agrotek Tropika,2.0,177-185,10.0,"['LPPM UNILA', 'LPPM UNILA', 'LPPM UNILA', 'LPPM UNILA']",,,,['Penenllitian mandiri'],['Plant Clinic'],,,,,,
5,46457,,,2022-11-11 01:01:19,archive,"Mata kuliah Bakteriologi Tumbuhan merupakan mata kuliah wajib bagi semua mahasiswa Jurusan Proteksi Tanaman, Fakultas Pertanian Universitas Lampung dalam memahami berbagai konsep mengenai perkembangan bakteriologi dan bakteri pada tumbuhan sehingga dapat mengidentifikasi berbagai penyakit tanaman yang disebabkan oleh bakteri serta mengembangkan teknologi yang dapat digunakan dalam pengelolaan penyakit tanaman yang disebabkan oleh bakteri. Cakupan materi yang dibahas dalam mata kuliah ini yaitu pengertian dasar tentang bakteri; taksonomi, klasifikasi, dan identifikasi bakteri; deteksi dan diagnosis penyakit karena bakteri; penularan penyakit oleh bakteri; epidemiologi dan pengendalian bakteri.",['S1'],"Video Pembelajaran Mata Kuliah Bakteriologi Tumbuhan
topik PERTUMBUHAN BAKTERI",show,,7,video,,['FP24'],,disk0/00/04/64/57,2022-11-02 00:00:00.000000000,2022-11-11 01:01:19,330,2022-11-11 01:01:19,"[{'security': 'public', 'placement': 1, 'eprintid': 46457, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/512634', 'objectid': 185340, 'filesize': 2779410, 'datasetid': 'document', 'hash': '368a06de1a960c340c59cebf0726b64d', 'filename': 'Repositori 2Nov 2022 HaKI Bakteriologi Tumbuhan.pdf', 'hash_type': 'MD5', 'mtime': '2022-11-10 06:53:54', 'mime_type': 'application/pdf', 'fileid': 512634}], 'docid': 185340, 'main': 'Repositori 2Nov 2022 HaKI Bakteriologi Tumbuhan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185340', 'rev_number': 1, 'format': 'text', 'pos': 1}]",Universitas Lampung,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/46457,"[{'id': None, 'name': {'given': 'Radix', 'honourific': None, 'family': 'Suhardjo', 'lineage': None}}, {'id': 'efri.1960@fp.unila.ac.id', 'name': {'given': 'Efri', 'lineage': None, 'honourific': None, 'family': 'Efri'}}, {'name': {'family': 'Dirmawati', 'honourific': None, 'lineage': None, 'given': 'Suskandini R.'}, 'id': 'suskandini.ratih@fp.unila.ac.id'}]",,,https://www.youtube.com/watch?v=uWB3pQYRFNo,,,,,,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']","[{'type': 'http://www.loc.gov/loc.terms/relators/CTB'}, {'type': 'http://www.loc.gov/loc.terms/relators/CTB'}, {'type': 'http://www.loc.gov/loc.terms/relators/CTB'}]",[{'url': 'https://www.youtube.com/watch?v=uWB3pQYRFNo'}],Online,,,,,,,,
6,49547,published,,2023-04-03 00:56:34,archive,"The use of synthetic pesticides has been widely practiced by farmers to control plant diseases. However, it can promote negative impacts such as environmental pollution, threatening human health, and making pathogens more resistant. This study aims to determine the inhibition of Trichoderma Tc-Jjr-02 in vitro against Colletotrichum sp. and test its ability as a biopesticide and biofertilizer agent in suppressing the growth of anthracnose disease and chili production. The results show that, there was no interaction effect between the application of Trichoderma Tc-Jjr-02 as a biopesticide and biofertilizer agent. The in vitro test reveals that Trichoderma Tc-Jjr-02 could inhibit the growth of pathogenic colonies up to 61.4% at 11 days after inoculation. In vivo test show, that application of Trichoderma 6 hours before inoculation of pathogens (T1) and Trichoderma inoculation concurrent pathogens (T3) can reduce the symptoms intensity of anthracnose attacks 70% and 43%, respectively, then increasing the number of fresh fruit 62.66% and 76.58%, respectively, also increasing fresh fruit weights 84.83% and 91.90% respectively, compared with the pathogen inoculation treatment six hours before the application of Trichoderma. Thus, Trichoderma is more effective when applied before inoculation of pathogens and more suitable as a prevention agent. Using Trichoderma asperellum as biopesticed can protect the environment.",['S1'],Evaluation of Trichoderma asperellum Effect toward Anthracnose Pathogen Activity on Red Chili (Capsicum annum L.) As Ecofriendly Pesticide,show,,5,other,,['FP24'],,disk0_bak/00/04/95/47,2022-08-01 00:00:00.000000000,2023-04-03 00:56:34,1063,2023-04-03 00:56:34,"[{'eprintid': 49547, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'docid': 189180, 'main': 'Similarity-IJESD Vol 13 No 4 Agustus 2022.pdf', 'files': [{'filesize': 2893411, 'datasetid': 'document', 'hash': 'c7d20458a24ef3a3b197d078f4fac8d1', 'filename': 'Similarity-IJESD Vol 13 No 4 Agustus 2022.pdf', 'hash_type': 'MD5', 'mtime': '2023-04-01 14:09:38', 'mime_type': 'application/pdf', 'fileid': 537370, 'uri': 'http://repository.lppm.unila.ac.id/id/file/537370', 'objectid': 189180}], 'format': 'text', 'pos': 1, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189180'}]",International Journal of Environmental Science and Development,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/49547,"[{'name': {'given': '.', 'lineage': None, 'family': 'Sutarman', 'honourific': None}, 'id': 'sutarman@umsida.ac.id'}, {'name': {'family': 'Purnomo', 'honourific': None, 'lineage': None, 'given': '.'}, 'id': 'purnomo.1964@fp.unila.ac.id'}]",,,http://www.ijesd.org/show-180-1929-1.html,,,,,,,,,,,,49544.0,,,,,
7,49261,,,2023-03-28 08:35:09,archive,"The use of synthetic pesticides has been widely
practiced by farmers to control plant diseases. However, it can
promote negative impacts such as environmental pollution,
threatening human health, and making pathogens more
resistant. This study aims to determine the inhibition of
Trichoderma Tc-Jjr-02 in vitro against Colletotrichum sp. and
test its ability as a biopesticide and biofertilizer agent in
suppressing the growth of anthracnose disease and chili
production. The results show that, there was no interaction
effect between the application of Trichoderma Tc-Jjr-02 as a
biopesticide and biofertilizer agent. The in vitro test reveals that
Trichoderma Tc-Jjr-02 could inhibit the growth of pathogenic
colonies up to 61.4% at 11 days after inoculation. In vivo test
show, that application of Trichoderma 6 hours before
inoculation of pathogens (T1) and Trichoderma inoculation
concurrent pathogens (T3) can reduce the symptoms intensity
of anthracnose attacks 70% and 43%, respectively, then
increasing the number of fresh fruit 62.66% and 76.58%,
respectively, also increasing fresh fruit weights 84.83% and
91.90% respectively, compared with the pathogen inoculation
treatment six hours before the application of Trichoderma. Thus,Trichoderma is more effective when applied before inoculation of pathogens and more suitable as a prevention agent. Using Trichoderma asperellum as biopesticed can protect the environment.
Index Terms—Anthracnose, Colletotrichum sp., red chili,
Trichoderma asperellum.",['S1'],"Evaluation of Trichoderma asperellum Effect toward
Anthracnose Pathogen Activity on Red Chili (Capsicum
annum L.) As Ecofriendly Pesticide",show,,7,article,,['FP24'],,disk0_bak/00/04/92/61,2022-08-01 00:00:00.000000000,2023-03-28 08:35:09,1063,2023-03-28 08:35:09,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/188810', 'rev_number': 1, 'docid': 188810, 'main': 'IJESD-13(4), August 2022, 131-137.pdf', 'files': [{'fileid': 535063, 'mime_type': 'application/pdf', 'mtime': '2023-03-26 08:10:23', 'hash_type': 'MD5', 'filename': 'IJESD-13(4), August 2022, 131-137.pdf', 'hash': '4517a11c0980cd6ce070ab157e913549', 'datasetid': 'document', 'filesize': 1167581, 'objectid': 188810, 'uri': 'http://repository.lppm.unila.ac.id/id/file/535063'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 49261, 'placement': 1, 'security': 'public'}]",International Journal of Environmental Science and Developmen,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/49261,"[{'id': 'sutarman@umsida.ac.id', 'name': {'honourific': None, 'family': 'Sutarman', 'lineage': None, 'given': '.'}}, {'id': None, 'name': {'given': 'T', 'family': 'Setiorini', 'honourific': None, 'lineage': None}}, {'name': {'given': 'AS', 'family': ""Li'aini"", 'honourific': None, 'lineage': None}, 'id': None}, {'id': 'purnomo.1964@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Purnomo', 'lineage': None, 'given': '.'}}, {'name': {'lineage': None, 'family': 'Rahmat', 'honourific': None, 'given': 'Ali'}, 'id': None}]",,http://dx.doi.org/10.23960/jat.v10i4.6467,http://www.ijesd.org/show-180-1929-1.html,2010-0264 (Print); 2972-3698 (Online),International Journal of Environmentgal Science and Development,4.0,131-137,13.0,,,,,,,,,,,,
8,49622,published,,2023-04-04 05:52:37,archive,"The use of synthetic pesticides has been widely practiced by farmers to control plant diseases. However, it can promote negative impacts such as environmental pollution, threatening human health, and making pathogens more resistant. This study aims to determine the inhibition of Trichoderma Tc-Jjr-02 in vitro against Colletotrichum sp. and test its ability as a biopesticide and biofertilizer agent in suppressing the growth of anthracnose disease and chili production. The results show that, there was no interaction effect between the application of Trichoderma Tc-Jjr-02 as a biopesticide and biofertilizer agent. The in vitro test reveals that Trichoderma Tc-Jjr-02 could inhibit the growth of pathogenic colonies up to 61.4% at 11 days after inoculation. In vivo test show, that application of Trichoderma 6 hours before inoculation of pathogens (T1) and Trichoderma inoculation concurrent pathogens (T3) can reduce the symptoms intensity of anthracnose attacks 70% and 43%, respectively, then increasing the number of fresh fruit 62.66% and 76.58%, respectively, also increasing fresh fruit weights 84.83% and 91.90% respectively, compared with the pathogen inoculation treatment six hours before the application of Trichoderma. Thus, Trichoderma is more effective when applied before inoculation of pathogens and more suitable as a prevention agent. Using Trichoderma asperellum as biopesticed can protect the environment.",['S1'],Evaluation of Trichoderma asperellum Effect toward Anthracnose Pathogen Activity on Red Chili (Capsicum annum L.) As Ecofriendly Pesticide,show,,6,other,,['FP24'],,disk0_bak/00/04/96/22,2022-08-01 00:00:00.000000000,2023-04-04 05:52:37,1063,2023-04-04 05:52:37,,International Journal of Environmental Science and Development,pub,,none,http://repository.lppm.unila.ac.id/id/eprint/49622,"[{'id': 'sutarman@umsida.ac.id', 'name': {'family': 'Sutarman', 'honourific': None, 'lineage': None, 'given': '.'}}, {'id': None, 'name': {'honourific': None, 'family': 'Setiorini', 'lineage': None, 'given': 'Triana'}}, {'name': {'given': 'AS', 'family': ""Li'aini"", 'honourific': None, 'lineage': None}, 'id': None}, {'name': {'given': '.', 'family': 'Purnomo', 'honourific': None, 'lineage': None}, 'id': 'purnomo.1964@fp.unila.ac.id'}, {'name': {'given': 'Ali', 'lineage': None, 'family': 'Rahmat', 'honourific': None}, 'id': None}]",,,http://www.ijesd.org/show-180-1929-1.html,,,,,,,,,,,,,,,,,
9,49644,published,,2023-04-05 02:22:31,archive,"The use of synthetic pesticides has been widely practiced by farmers to control plant diseases. However, it can promote negative impacts such as environmental pollution, threatening human health, and making pathogens more resistant. This study aims to determine the inhibition of Trichoderma Tc-Jjr-02 in vitro against Colletotrichum sp. and test its ability as a biopesticide and biofertilizer agent in suppressing the growth of anthracnose disease and chili production. The results show that, there was no interaction effect between the application of Trichoderma Tc-Jjr-02 as a biopesticide and biofertilizer agent. The in vitro test reveals that Trichoderma Tc-Jjr-02 could inhibit the growth of pathogenic colonies up to 61.4% at 11 days after inoculation. In vivo test show, that application of Trichoderma 6 hours before inoculation of pathogens (T1) and Trichoderma inoculation concurrent pathogens (T3) can reduce the symptoms intensity of anthracnose attacks 70% and 43%, respectively, then increasing the number of fresh fruit 62.66% and 76.58%, respectively, also increasing fresh fruit weights 84.83% and 91.90% respectively, compared with the pathogen inoculation treatment six hours before the application of Trichoderma. Thus, Trichoderma is more effective when applied before inoculation of pathogens and more suitable as a prevention agent. Using Trichoderma asperellum as biopesticed can protect the environment.",['S1'],Evaluation of Trichoderma asperellum Effect toward Anthracnose Pathogen Activity on Red Chili (Capsicum annum L.) As Ecofriendly Pesticide,show,,4,other,,['FP24'],,disk0_bak/00/04/96/44,2022-08-01 00:00:00.000000000,2023-04-05 02:22:31,1063,2023-04-05 02:22:31,"[{'eprintid': 49644, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Similarity-IJESD Vol 13 No 4 Agustus 2022.pdf', 'docid': 189282, 'files': [{'objectid': 189282, 'uri': 'http://repository.lppm.unila.ac.id/id/file/538207', 'datasetid': 'document', 'filesize': 2893411, 'fileid': 538207, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-04-04 13:12:45', 'hash': 'c7d20458a24ef3a3b197d078f4fac8d1', 'filename': 'Similarity-IJESD Vol 13 No 4 Agustus 2022.pdf'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189282'}]",International Journal of Environmental Science and Development,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/49644,"[{'name': {'honourific': None, 'family': 'Sutarman', 'lineage': None, 'given': '.'}, 'id': 'sutarman@umsida.ac.id'}, {'name': {'given': 'Triana', 'lineage': None, 'honourific': None, 'family': 'Setiorini'}, 'id': None}, {'name': {'given': 'AS', 'lineage': None, 'family': ""Li'aini"", 'honourific': None}, 'id': None}, {'id': 'purnomo.1964@fp.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Purnomo', 'given': '.'}}, {'id': None, 'name': {'family': 'Rahmat', 'honourific': None, 'lineage': None, 'given': 'Ali'}}]",,,http://www.ijesd.org/show-180-1929-1.html,,,,,,,,,,,,,,,,,
