,type,divisions,publication,creators,issn,dir,lastmod,userid,datestamp,pagerange,number,ispublished,documents,publisher,full_text_status,uri,refereed,eprintid,eprint_status,status_changed,subjects,abstract,title,rev_number,metadata_visibility,volume,official_url,date_type,succeeds,place_of_pub,isbn,pages,book_title,pres_type,related_url,event_title,event_location,event_type,event_dates,contributors,corp_creators
0,article,['FKIP16'],Opcion Ano,"[{'id': 'erlina.rufaedah@fkip.unila.ac.id', 'name': {'family': 'Erlina Rufaidah', 'honourific': None, 'lineage': None, 'given': 'ER'}}, {'id': 'dekifermansyah@radenintan.ac.id', 'name': {'family': 'Deki Fermansyah', 'honourific': None, 'lineage': None, 'given': 'DF'}}]",1012-1587,disk0/00/01/26/81,2019-05-14 08:13:18,1000,2019-05-14 08:13:18,1244-1256,86.0,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 12681, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25664', 'rev_number': 2, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/112243', 'objectid': 25664, 'filesize': 5180960, 'datasetid': 'document', 'hash': '1c2f1eb0fb768b31ab19a3983af1fdfd', 'filename': 'jurnal bu erlina.pdf', 'hash_type': 'MD5', 'mtime': '2019-05-10 12:08:20', 'mime_type': 'application/pdf', 'fileid': 112243}], 'main': 'jurnal bu erlina.pdf', 'docid': 25664}]",Universidad del Zulfa,public,http://repository.lppm.unila.ac.id/id/eprint/12681,TRUE,12681,archive,2019-05-14 08:13:18,['HB'],"The passing free market of the Asean Economic Community (AEC) at the end of 2015 increasingly damanded tight business competition. Moreover, financial market integration challenges ASEAN came into.",Employee Performance Optimization In Sharia Banking Industry,7,show,,,,,,,,,,,,,,,,
1,article,['FKIP16'],Lentera: Jurnal Ilmiah Kependidikan,"[{'id': None, 'name': {'given': 'Ambyah', 'lineage': None, 'family': 'Harjanto', 'honourific': None}}, {'id': 'sumargono.1988@fkip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Sumargono', 'given': 'Sumargono'}}, {'id': 'suroto.1993@fkip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Suroto', 'given': 'Suroto'}}]",,disk0/00/03/54/34,2021-11-08 01:36:54,2431,2021-11-08 01:36:54,,,pub,"[{'files': [{'objectid': 156297, 'uri': 'http://repository.lppm.unila.ac.id/id/file/413147', 'datasetid': 'document', 'filesize': 875748, 'fileid': 413147, 'mime_type': 'application/pdf', 'mtime': '2021-11-07 14:48:34', 'hash_type': 'MD5', 'hash': 'ba68df09e02efa561260f19661c0748c', 'filename': '925-Article Text-3172-1-10-20210714.pdf'}], 'docid': 156297, 'main': '925-Article Text-3172-1-10-20210714.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/156297', 'rev_number': 1, 'pos': 2, 'format': 'text', 'placement': 2, 'security': 'public', 'eprintid': 35434, 'language': 'en', 'mime_type': 'application/pdf'}]",,public,http://repository.lppm.unila.ac.id/id/eprint/35434,TRUE,35434,archive,2021-11-08 01:36:54,['L1'],"Penelitian  ini  bertujuan  untuk  menguji  keefektifan  bahan  ajar  tematik integratif berbasis kearifan lokal di SD. Metode yang digunakan dalam penelitian ini  adalah  metode  penelitian  eksperimen.  Populasi  dalam  penelitian  ini  adalah Siswa   Sekolah   Dasar   (SD)   di   Kota   Bandar   Lampung.   Hasil   penelitian menunjukkan  signifikan  antara  Kelas  Eksperimen  dan  Kelas  Kontrol  setelah diberi pembelajaran yang berbeda. Rerata Tes Hasil Belajar Kelas Eksperimen = 87,07>  Rerata  Nilai  Hasil  Belajar  Kelas  Kontrol  =  75,82.  Kelas  Eksperimen (menggunakan  Bahan  Ajar  Tematik  Integratif  Kearifan  Lokal  Berbasis  Kvisoft Flipbook Maker) lebih tinggi daripada Kelas Kontrol (menggunakan Bahan Ajar Biasa).   Pembelajaran   dengan   menggunakan   Bahan   Ajar   Tematik   Integratif Kearifan  Lokal  Berbasis  Kvisoft  Flipbook  Maker  terbukti  dapat  meningkatkan Hasil Belajar peserta didik.",BAHAN AJAR TEMATIK INTEGRATIF KEARIFAN LOKAL BERBASIS KVISOFT FLIPBOOK MAKER UNTUK MENINGKATKAN HASIL BELAJAR SISWA SD,9,show,,,,,,,,,,,,,,,,
2,article,['FKIP16'],JURNAL PENGABDIAN SOSIAL INDONESIA (Journal of Indonesian Social Service),"[{'id': 'maskun.1959@fkip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Maskun', 'given': 'Maskun'}}, {'id': 'suroto.1993@fkip.unila.ac.id', 'name': {'given': 'Suroto', 'lineage': None, 'family': 'Suroto', 'honourific': None}}, {'name': {'given': 'Tedi', 'honourific': None, 'family': 'Rusman', 'lineage': None}, 'id': 'tedi.rusman@fkip.unila.ac.id'}, {'name': {'given': 'Rahmawati', 'honourific': None, 'family': 'Rahmawati', 'lineage': None}, 'id': 'rahmawati.1989@fkip.unila.ac.id'}]",2775-7358,disk0_bak/00/04/86/83,2023-03-01 07:45:55,2431,2023-03-01 07:45:55,,,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 48683, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188043', 'pos': 1, 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2023-03-01 04:56:29', 'hash': '45c7448edbd0b8f03264fbd9f2a525e8', 'filename': '24805-61768-1-SM.pdf', 'fileid': 530583, 'mime_type': 'application/pdf', 'filesize': 214345, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/530583', 'objectid': 188043}], 'main': '24805-61768-1-SM.pdf', 'docid': 188043}]",,public,http://repository.lppm.unila.ac.id/id/eprint/48683,TRUE,48683,archive,2023-03-01 07:45:55,['L1'],"Kampus memiliki peranan yang sangat penting dalam pengembangan Sumber Daya Manusia (SDM) melalui literasi. Literasi menjadi hal pokok dalam mengedukasi mahasiswa untuk meningkatkan kesejahteraan dan kondisi sosialnya. Sebagai penunjang literasi kampus menyediakan student corner sebagai tempat mahasiswa mengerjakan tugas dan sebagainya. Student corner adalah tempat yang dimana sering ditemui mahasiswa yang sedang beristirahat maupun mengerjakan tugas. Karena hal inilah student corner menjadi tempat yang strategis untuk meningkatkan pengetahuan, interaksi, maupun literasi. Optimalisasi konsep student corner ini penting dilakukan agar menambah menarik dan menambah kenyamanan mahasiswa. Dalam hal ini student corner berperan penting untuk menunjang literasi mahasiswa. Pengabdian ini dilaksanakan di FKIP Universitas Lampung. Tujuan dari pengabdian ini untuk meningkatkan literasi mahasiswa dalam bentuk optimalisasi konsep student corner. Pengabdian diberikan dalam bentuk pemberian gambar, poster, dan penunjang kenyamanan student corner selain itu ada sosialiasi, diskusi kepada mahasiswa serta evaluasi dengan memberikan pretest dan postes",OPTIMALISASI KONSEP STUDENT CORNER SEBAGAI PENUNJANG LITERASI MAHASISWA,7,show,,,,,,,,,,,,,,,,
3,article,['FKIP16'],Jurnal Pengembangan Profesi Pendidik Indonesia,"[{'name': {'honourific': None, 'family': 'Maydiantoro', 'lineage': None, 'given': 'Albet'}, 'id': 'albet.maydiantoro@fkip.unila.ac.id'}]",2776-303X,disk0/00/04/04/98,2022-03-24 07:07:47,1109,2022-03-24 07:07:47,29-35,2.0,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 40498, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161814', 'docid': 161814, 'main': 'aaaaaaaaaaaaaaaaaaaaa.pdf', 'files': [{'fileid': 451418, 'mime_type': 'application/pdf', 'mtime': '2022-03-24 04:26:50', 'hash_type': 'MD5', 'filename': 'aaaaaaaaaaaaaaaaaaaaa.pdf', 'hash': '25d34480194386d121dc2c8b27555245', 'datasetid': 'document', 'filesize': 294750, 'objectid': 161814, 'uri': 'http://repository.lppm.unila.ac.id/id/file/451418'}]}]",Program Studi Pendidikan Profesi Guru FKIP Unila,public,http://repository.lppm.unila.ac.id/id/eprint/40498,TRUE,40498,archive,2022-03-24 07:07:47,"['H1', 'L1']",,Research Model Development: Brief Literature Review,7,show,1.0,http://jurnal.fkip.unila.ac.id/index.php/JPPPI/issue/view/1209,published,,,,,,,,,,,,,
4,article,['FKIP16'],PSYCHOLOGY AND EDUCATION JOURNAL,"[{'name': {'given': 'Albet', 'lineage': None, 'family': 'Maydiantoro', 'honourific': None}, 'id': 'albet.maydiantoro@fkip.unila.ac.id'}, {'name': {'family': 'Ridwan', 'honourific': None, 'lineage': None, 'given': 'Ridwan'}, 'id': 'ridwanrosidimuawi@gmail.com'}, {'id': None, 'name': {'given': 'Rias', 'honourific': None, 'family': 'Rias Tusianah', 'lineage': None}}, {'name': {'given': 'Usastiawaty', 'family': 'Usastiawaty C. A. S Isnainy', 'honourific': None, 'lineage': None}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': 'Tubagus Ali Rachman Puja Kesuma', 'lineage': None, 'given': 'Tubagus'}}, {'id': None, 'name': {'family': 'M. Arifki Zainaro', 'honourific': None, 'lineage': None, 'given': 'M. Arifki'}}]",333077,disk0/00/03/90/00,2022-02-04 07:50:36,1109,2022-02-04 07:50:36,,,pub,"[{'eprintid': 39000, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': '3027-Article Text-5691-1-10-20210223 (1).pdf', 'docid': 160244, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/440065', 'objectid': 160244, 'hash': '402c9a3746af1957380cd4bb6dfdee02', 'filename': '3027-Article Text-5691-1-10-20210223 (1).pdf', 'mtime': '2021-05-26 13:57:43', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 440065, 'filesize': 343242, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'formatdesc': 'Artikel', 'rev_number': 5, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160244'}, {'eprintid': 39000, 'placement': 7, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Scan_Entrepreneurship in Higher Education Curriculla Evidence from Indonesia.pdf', 'docid': 160250, 'files': [{'objectid': 160250, 'uri': 'http://repository.lppm.unila.ac.id/id/file/440071', 'datasetid': 'document', 'filesize': 1170999, 'fileid': 440071, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-01-20 04:53:33', 'hash': 'efa04f5666fc1a75bef61149f7c90a5f', 'filename': 'Scan_Entrepreneurship in Higher Education Curriculla Evidence from Indonesia.pdf'}], 'pos': 7, 'format': 'text', 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160250', 'formatdesc': 'Reviewer'}, {'pos': 8, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/160251', 'rev_number': 2, 'formatdesc': 'Similaritas', 'main': 'Entrepreneurship in Higher Education Cu...from Indonesia.pdf - Albet Maydiantoro.pdf', 'docid': 160251, 'files': [{'fileid': 440073, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-02-04 02:48:40', 'filename': 'Entrepreneurship in Higher Education Cu...from Indonesia.pdf - Albet Maydiantoro.pdf', 'hash': '700294c4852ce9b914025bcf3aadce3d', 'datasetid': 'document', 'filesize': 9521680, 'objectid': 160251, 'uri': 'http://repository.lppm.unila.ac.id/id/file/440073'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 39000, 'placement': 8, 'security': 'public'}]",Psychology and Education Journal,public,http://repository.lppm.unila.ac.id/id/eprint/39000,TRUE,39000,archive,2022-02-04 07:50:36,['H1'],"Entrepreneurship education in Indonesian universities does not yet have a clear model. This systematic literature review was carried out by analyzing 15 selected articles (2015-2020) to study the overview of entrepreneurial curricula in universities in Indonesia. The study shows that most of the (8) analyzed papers focused on knowing the effect or relationship of entrepreneurship education on independent variables or using methods with a quantitative approach. However, a small proportion (6) of articles are focused on developing entrepreneurship learning in higher education, and only (3) articles discuss teaching materials and models of entrepreneurship development in universities in Indonesia. Entrepreneurship education in tertiary institutions is related to building entrepreneurial personality, an entrepreneurial mindset, and entrepreneurial habits that are every time creative and innovative, creating added utility or good values, taking benefit of opportunity, and taking hazard. Facing the defiance of highly competitive coming times, entrepreneurial habits is necessary for all occupations or professions. Therefore entrepreneurship education can be implemented in tertiary institutions and applied to all students regardless of the sector of knowledge creature studied. Indonesia has developed a higher education entrepreneurship curriculum by applying technopreneurship, digitalpreneurship, edupreneurship, ecopreneurship, sosiopreneurship materials. Indonesia is a multi-ethnic, multi-cultural and multi-cultural country, but ethnography-based entrepreneurship has never been proposed and studied, so research on the relationship between entrepreneurship and ethnography (ethnopreneurship) needs to be carried out by further researchers to produce local wisdom-based entrepreneurs who can be called Ethnopreneurs.",Entrepreneurship in Higher Education Curriculla: Evidence from Indonesia,6,show,,,published,38104.0,,,,,,,,,,,,
5,article,['FKIP16'],ECONOMIC EDUCATION AND ENTREPRENEURSHIP JOURNAL (2020) 3 (2): 1 - 8 p-ISSN : 2579-5902 e-ISSN : 2775-2607,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Pratiwi', 'given': 'Ajeng Ayu syaifa'}}, {'name': {'family': 'Rusman', 'honourific': None, 'lineage': None, 'given': 'Tedi'}, 'id': 'tedi.rusman@fkip.unila.ac.id'}, {'id': 'suroto.1993@fkip.unila.ac.id', 'name': {'given': 'Suroto', 'family': 'Suroto', 'honourific': None, 'lineage': None}}]",p-ISSN : 2579-5902 e-ISSN : 2775-2607,disk0/00/03/10/69,2021-05-28 01:00:38,2431,2021-05-28 01:00:38,,,pub,"[{'files': [{'mtime': '2021-05-27 14:24:16', 'hash_type': 'MD5', 'hash': '1c2c3da82e4b8556abf998c6e4f91e08', 'filename': '21947-52170-1-SM.pdf', 'fileid': 368365, 'mime_type': 'application/pdf', 'filesize': 385419, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/368365', 'objectid': 140298}], 'main': '21947-52170-1-SM.pdf', 'docid': 140298, 'uri': 'http://repository.lppm.unila.ac.id/id/document/140298', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 31069, 'language': 'en', 'mime_type': 'application/pdf'}]",Economic Education and Entrepreneurship Journal Pendidikan Ekonomi Universitas Lampung,public,http://repository.lppm.unila.ac.id/id/eprint/31069,TRUE,31069,archive,2021-05-28 01:00:38,['L1'],"Comparative Study of Accounting Learning Outcomes Using Course Review Horay, Teams Games Tournament, and Numbered Heads Together by Seeing the Learning Interests of Class XII Students of Swadhipa Natar High School for the 2019/2020 Academic Year. This research is motivated by the low accounting learning outcomes. The purpose of this study was to determine the comparison of student learning outcomes using the Course Review Horay learning model, Teams Games Tournament, and Numbered Heads Together in accounting subjects by paying attention to the learning interests of class XII IPS at SMA Swadhipa Natar. This study uses a cooperative method with an experimental approach. The population involved in this study were all students of class XII IPS consisting of 3 classes, namely XII IPS 1, XII IPS 2, and XII IPS 3 of SMA Swadhipa Natar Academic Year 2019/2020, totaling 68 students. The sample in this study used a saturated sample, which means that the sample was taken from the entire population of 68 students. Data collection techniques through observation, documentation, questionnaires, and post-tests. Hypotheses were tested by two-way analysis of variance and two independent sample t-tests. The results of the data analysis show: (1) There are differences in the learning outcomes of students who use cooperative learning models such as Course Review Horay, Teams Games Tournament, and Numbered Heads Together. (2) The accounting learning outcomes of students whose learning uses the Course Review Horay type of cooperative learning model is higher when compared to students who use the Teams Games Tournament learning model, and Numbered Heads Together in high learning interest. (3) The accounting learning outcomes of students whose learning uses the Numbered Heads Together cooperative learning model are higher when compared to the Course Review Horay and Teams Games Tournament learning models in low learning interest. (4) There is an interaction between the learning model and students' learning interest in accounting subjects.","Perbandingan Hasil Belajar Melalui Model Pembelajaran Course Review Horay, Teams Games Tournament Dan Numbered Heads Together Dengan Memperhatikan minat belajar",6,show,,http://jurnal.fkip.unila.ac.id/index.php/E3J/article/view/21947,,,,,,,,,,,,,,
6,book_section,['FKIP16'],,"[{'id': 'pujiatifkipunila@gmail.com', 'name': {'given': 'P', 'honourific': None, 'family': 'Pujiati', 'lineage': None}}]",,disk0/00/02/13/68,2020-06-01 08:59:06,85,2020-06-01 08:59:06,520-527,,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 21368, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 34763, 'uri': 'http://repository.lppm.unila.ac.id/id/file/198619', 'mime_type': 'application/pdf', 'fileid': 198619, 'hash': '534d1faf54b9eb9e47504a7157e81807', 'filename': 'prosiding semnaspend fkip-puji hal 520.pdf', 'hash_type': 'MD5', 'mtime': '2020-06-01 08:38:08', 'datasetid': 'document', 'filesize': 42372989}], 'docid': 34763, 'main': 'prosiding semnaspend fkip-puji hal 520.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34763', 'pos': 1, 'format': 'text'}]",FKIP Universitas Lampung,public,http://repository.lppm.unila.ac.id/id/eprint/21368,TRUE,21368,archive,2020-06-01 08:59:06,['L1'],"Abstrak: Critical Thinking Skills: Aspek Esensial Bangsa Berkarakter Di Era
Globalisas. Critical Thinking Skills merupakan salah satu keterampilan esensial di
era global. Berpikir kritis dibutuhkan dalam pengambilan keputusan. Baik
buruknya keputusan yang diambil oleh seseorang dalam kehidupan di masyarakat
akan sangat ditentukan oleh kemampuan dirinya dalam menseleksi setiap informasi
dan memilih alternative solusi terbaik. Keterampilan berpikir kritis memiliki peran
strategis dan   sangat esensial yang akan menentukan kualitas dan keberlanjutan
hidup seseorang baik kapasitasnya sebagai diri pribadi maupun sebagai bagian dari
masyarakat dunia. Era revolusi industry 4.0 dengan segala dinamikanya
mengharuskan setiap insan di dunia ini mampu berkompetisi secara sehat. Melalui
keterampilan berpikir kritis seseorang akan mampu survive dan dapat menjalani
kehidupan dengan baik. Sebagai sebuah karakter esensial, berpikir kritis
menjadikan seseorang lebih dinamis dan optimis dalam meraih kehidupan gemilang
di era kesejagatan.

Kata Kunci: Bangsa Berkarakter, Critical Thinking Skills, Globalisasi","CRITICAL THINKING SKILLS: ASPEK ESENSIAL BANGSA
BERKARAKTER DI ERA GLOBALISASI",7,show,,,,,Bandar Lampung,2716-053X,821.0,prosiding seminar nasional FKIP Universitas Lampung 2019,,,,,,,,
7,conference_item,['FKIP16'],,"[{'id': 'pujiatifkipunila@gmail.com', 'name': {'honourific': None, 'family': 'Pujiati', 'lineage': None, 'given': 'P'}}]",,disk0/00/02/69/85,2020-12-10 05:00:00,85,2020-12-10 05:00:00,520-527,,pub,"[{'eprintid': 26985, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'docid': 41000, 'main': 'prosiding semnaspend fkip-puji hal 520.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/242062', 'objectid': 41000, 'filesize': 42372989, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2020-12-04 00:15:11', 'hash': '534d1faf54b9eb9e47504a7157e81807', 'filename': 'prosiding semnaspend fkip-puji hal 520.pdf', 'fileid': 242062, 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41000', 'rev_number': 1}]",FKIP Universitas Lampung,public,http://repository.lppm.unila.ac.id/id/eprint/26985,TRUE,26985,archive,2020-12-10 05:00:00,['L1'],"Abstrak: Critical Thinking Skills: Aspek Esensial Bangsa Berkarakter Di Era
Globalisas. Critical Thinking Skills merupakan salah satu keterampilan esensial di
era global. Berpikir kritis dibutuhkan dalam pengambilan keputusan. Baik
buruknya keputusan yang diambil oleh seseorang dalam kehidupan di masyarakat
akan sangat ditentukan oleh kemampuan dirinya dalam menseleksi setiap informasi
dan memilih alternative solusi terbaik. Keterampilan berpikir kritis memiliki peran
strategis dan   sangat esensial yang akan menentukan kualitas dan keberlanjutan
hidup seseorang baik kapasitasnya sebagai diri pribadi maupun sebagai bagian dari
masyarakat dunia. Era revolusi industry 4.0 dengan segala dinamikanya
mengharuskan setiap insan di dunia ini mampu berkompetisi secara sehat. Melalui
keterampilan berpikir kritis seseorang akan mampu survive dan dapat menjalani
kehidupan dengan baik. Sebagai sebuah karakter esensial, berpikir kritis
menjadikan seseorang lebih dinamis dan optimis dalam meraih kehidupan gemilang
di era kesejagatan.

Kata Kunci: Bangsa Berkarakter, Critical Thinking Skills, Globalisasi","CRITICAL THINKING SKILLS: ASPEK ESENSIAL BANGSA
BERKARAKTER DI ERA GLOBALISASI",9,show,,http://semnaspend.fkip.unila.ac.id/2019/08/14/prosiding/,published,,Bandar Lampung,2716-053X,821.0,prosiding seminar nasional FKIP Universitas Lampung 2019,paper,[{'url': 'https://drive.google.com/file/d/1gGQkWMPQTDG6o7Ik7'}],Seminar Nasional Pendidikan FKIP Universitas Lampung 2019,Bandar Lampung,conference,28 September 2019,,
8,experiment,['FKIP16'],,"[{'name': {'given': 'Rahmah', 'family': 'Rahmah Dianti Putri', 'honourific': None, 'lineage': None}, 'id': 'rahmah.dianti@fkip.unila.ac.id'}, {'id': 'pujiatifkipunila@gmail.com', 'name': {'given': 'P', 'lineage': None, 'honourific': None, 'family': 'Pujiati'}}, {'name': {'given': 'Rahmawati', 'honourific': None, 'family': 'Rahmawati', 'lineage': None}, 'id': 'rahmawati.1989@fkip.unila.ac.id'}]",,disk0/00/03/66/01,2021-11-13 02:19:12,1127,2021-11-13 02:19:12,,,unpub,"[{'main': 'Laporan Perilaku Konsumtif.pdf', 'docid': 157511, 'files': [{'hash': '920a8d9d34607e02986428f04faf0045', 'filename': 'Laporan Perilaku Konsumtif.pdf', 'mtime': '2021-11-12 22:41:21', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 421870, 'filesize': 1237799, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/421870', 'objectid': 157511}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157511', 'rev_number': 1, 'eprintid': 36601, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",,public,http://repository.lppm.unila.ac.id/id/eprint/36601,,36601,archive,2021-11-13 02:19:12,['H1'],"Kondisi pandemi covid-19 membawa banyak perubahan dalam berbagai aspek
kehidupan di masyarakat. Masyarakat dipaksa untuk menyesuaikan dengan kebiasaan 
baru di masa pandemi. Tak terkecuali semua pelaku ekonomi merasakan hal yang sama. 
Penurunan sumber daya secara finansial akibat maraknya pelaku wirausaha yang 
memutus kontrak kerja sebagai akibat dari menurunya tingkat daya beli masyarakat. 
Menurunnya daya beli masyarakat ini sebagai akibat dari turunnya tingkat pendapatan 
yang diperoleh. Hal ini diduga menjadi pemicu pergeseran perilaku konsumen
masyarakat, termasuk mahasiswa dalam membelanjakan keuanganya. Penelitian ini 
bertujuan untuk menganalisis pergeseran perilaku mahasiswa di masa pandemi Covid�19. Penelitian ini merupakan penelitian kuantitatif. Metode yang digunakan adalah 
deskriptif verifikatif dengan pendekatan ex post facto. Proposal ini menggunakan tehnik
Simple random sampling dengan jumlah sampel sebanyak 72 orang mahasiswa 
Pendidikan Ekonomi Universitas Lampung. Temuan ini diharapkan dapat memberi 
kontribusi pemikiran dan pengetahuan khasanah keilmuan ekonomi yang berkaitan 
dengan pergeseran perilaku konsumtif mahasiswa khususnya di tengah Pandemi Covid�19. Target luaran penelitian adalah publikasi submitted artikel jurnal pendidikan Progresif 
dengan indeks sinta 2",Analisis Pergeseran Perilaku Konsumtif Mahasiswa,7,show,,,,,,,,,,,,,,,,
9,article,['FKIP16'],ECONOMIC EDUCATION AND ENTREPRENEURSHIP JOURNAL (2020) 3 (2): 1 - 8 p-ISSN : 2579-5902 e-ISSN : 2775-2607,"[{'id': 'fanni.rahmawati93@fkip.unila.ac.id', 'name': {'family': 'Rahmawati', 'honourific': None, 'lineage': None, 'given': 'Fanni'}}]",p-ISSN : 2579-5902 e-ISSN : 2775-2607,disk0/00/04/19/25,2022-05-27 09:26:49,2432,2022-05-27 09:26:49,,2.0,pub,"[{'eprintid': 41925, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 163600, 'main': '24299-59819-1-PB.pdf', 'files': [{'objectid': 163600, 'uri': 'http://repository.lppm.unila.ac.id/id/file/462631', 'mime_type': 'application/pdf', 'fileid': 462631, 'hash': 'ac28cc9e0f6e5667280e2f9ecb3cb561', 'filename': '24299-59819-1-PB.pdf', 'mtime': '2022-05-27 07:26:35', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 145105}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/163600', 'rev_number': 2}, {'pos': 2, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/163601', 'rev_number': 3, 'docid': 163601, 'main': '24299-59819-1-PB.pdf', 'files': [{'filesize': 145105, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2022-05-27 07:26:39', 'hash': 'ac28cc9e0f6e5667280e2f9ecb3cb561', 'filename': '24299-59819-1-PB.pdf', 'fileid': 462634, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/462634', 'objectid': 163601}], 'mime_type': 'application/pdf', 'language': 'en', 'content': 'published', 'eprintid': 41925, 'placement': 2, 'security': 'public'}]",Economic Education and Entrepreneurship Journal Pendidikan Ekonomi Universitas Lampung,public,http://repository.lppm.unila.ac.id/id/eprint/41925,FALSE,41925,archive,2022-05-27 09:26:49,['L1'],"Model pengembangan ekonomi kreatif yang dikembangkan untuk Indonesia berupa bangunan yang terdiri dari komponen pondasi yang saling menguatkan sesuai dengan fungsinya masing-masing. Pembangunan industri kreatif Indonesia yang kompetitif harus dilandasi oleh pembangunan sumber daya manusia yang terampil, terlatih untuk menumbuhkan pengetahuan dan kreativitas. Pengetahuan dan kreativitas inilah yang menjadi faktor produksi utama di dalam industri kreatif. Banyak cara untuk mengukur tingkat perkembangan ekonomi kreatif di Indonesia, namun dalam penelitian ini tertarik untuk melakukan penelitian dengan menggunakan  pilar ekonomi kreatif yang diciptakan oleh Richard Florida. Apakah pilar ekonomi kreatif Richard mampu menjelaskan tentang tingkat perkembangan ekonomi kreatif di Indonesia. Tujuan adanya pilar ekonomi kreatif dapat berdiri tegak sehingga industri kreatif dapat tumbuh dan berkembang mencapai visi dan misi dari ekonomi kreatif Indonesia 2025. Penelitian ini bertujuan untuk melihat seberapa berpengaruh pilar-pilar dalam perkembangan ekonomi kreatif di Indonesia. Metode yang digunakan dari penelitian ini adalah studi literatur. Studi literatur adalah metode penelitian dengan mengumpulkan berbagai sumber pustaka yang berkaitan dengan permasalahan yang akan diteliti. Penelitian ini menyimpulkan terdapat 5 pilar ekonomi kreatif yaitu sumber daya, industry, teknologi, institusi, dan lembaga keuangan. Sedangkan faktor-faktor yang mempengaruhi perkembangan ekonomi kreatif terdiri dari tenaga kerja, tingkat pendidikan, dan kemajuan teknologi.",Pilar-Pilar Yang Mempengaruhi Perkembangan Ekonomi Kreatif Di Indonesia,9,show,4.0,http://jurnal.fkip.unila.ac.id/,published,,,,,,,,,,,,,
