,lastmod,userid,datestamp,documents,publisher,ispublished,uri,full_text_status,type,divisions,creators,date,dir,eprint_status,status_changed,abstract,subjects,title,metadata_visibility,rev_number,eprintid,pagerange,refereed,issn,publication,official_url,related_url,date_type,number,id_number,succeeds,pages,patent_applicant,volume,contributors,corp_creators,event_type,event_dates,event_title,event_location,pres_type,referencetext,funders,contact_email,keywords,place_of_pub
0,2017-05-29 08:08:24,399,2017-05-29 08:08:24,"[{'docid': 1704, 'main': 'PengesahanPenelitianDosenMuda.jpg', 'files': [{'mime_type': 'image/jpeg', 'fileid': 12933, 'hash': '0da0164e3a3647353e432781aff5b3b5', 'filename': 'PengesahanPenelitianDosenMuda.jpg', 'hash_type': 'MD5', 'mtime': '2017-05-29 07:08:54', 'datasetid': 'document', 'filesize': 1809918, 'objectid': 1704, 'uri': 'http://repository.lppm.unila.ac.id/id/file/12933'}], 'format': 'image', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1704', 'eprintid': 1850, 'security': 'public', 'placement': 1, 'mime_type': 'image/jpeg', 'language': 'en'}]",LPPM UNILA,unpub,http://repository.lppm.unila.ac.id/id/eprint/1850,public,other,['FT4'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'ALAMI', 'given': 'FIKRI'}, 'id': 'fikri.alami@eng.unila.ac.id'}]",2017-05-05 00:00:00.000000000,disk0/00/00/18/50,archive,2017-05-29 08:08:24,"Fiber Reinforced Polymer (FRP) merupakan material yang sudah cukup lama dipergunakan dalam bidang teknik sipil sebagai perkuatan struktur (ACI 440.2R, 2008). Namun penggunakan material ini baru mulai di gunakan di Indonesia dalam satu dekade terakhir ini karena merupakan material import dan mahal harganya. Keuntungan material ini dibandingkan dengan baja tulangan adalah sifatnya yang tahan terhadap korosi, kekuatan yang tinggi dan ringan, serta tidak menghantarkan daya listrik sehingga cocok untuk dipergunakan sebagai pengganti tulangan baja di dalam struktur beton. Berdasarkan uraian di atas, maka pemanfaatn teknologi komputer akan sangat membantu para insinyur dalam melakukan analisis dan perhitungan dalam mendesain  beton yang ditulangi secara internal oleh  FRP. Selain itu iterasi maupun cara coba-coba dapat dilakukan dengan komputer secara cepat dan akurat sehingga akan memberikan efisiensi waktu juga.",['TA'],PEMBUATAN SOFTWARE ANALISIS DAN DESAIN LENTUR BALOK BETON DITULANGI FIBER REINFORCED POLYMER (FRP) MEMAKAI PROGRAM BORLAND DELPHI,show,8,1850,,,,,,,,,,,,,,,,,,,,,,,,,
1,2017-07-20 08:54:39,1021,2017-07-20 08:54:39,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2419', 'docid': 2419, 'main': 'Pengesahan buku ajar.docx', 'files': [{'objectid': 2419, 'uri': 'http://repository.lppm.unila.ac.id/id/file/17530', 'datasetid': 'document', 'filesize': 246258, 'fileid': 17530, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'mtime': '2017-05-31 07:16:03', 'hash_type': 'MD5', 'filename': 'Pengesahan buku ajar.docx', 'hash': 'b68ef8e8fe554f82f83c0a5aaeea0c60'}], 'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'eprintid': 2535, 'security': 'public', 'placement': 1}]",LPPM Unila,unpub,http://repository.lppm.unila.ac.id/id/eprint/2535,public,other,['FT4'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'ALAMI', 'given': 'FIKRI'}, 'id': 'fikri.alami@eng.unila.ac.id'}, {'name': {'given': 'Masdar', 'lineage': None, 'family': 'Helmi', 'honourific': None}, 'id': 'masdar.helmi@eng.unila.ac.id'}, {'name': {'given': 'mohd', 'lineage': None, 'family': 'Isneini', 'honourific': None}, 'id': 'isneini.m@gmail.com'}]",2017-04-21 00:00:00.000000000,disk0/00/00/25/35,archive,2017-07-20 08:54:39,"Retrofitting adalah suatu metode perbaikan dan perkuatan pada strukur yang sudah berdiri dikarenakan struktur tersebut mengalami penurunan performance atau kerusakan, atau perubahan fungsi sehingga memerlukan perkuatan. Teknik ini pada tiga decade terakhir melibatkan material dan teknik yang sudah maju. 
Perlunya penyebarluasan metode retrofitting ini secara khusus dalam buku-buku ajar maupun buku teks untuk mendukung perkuliahan. Juga bagi para praktisi/insinyur di bidang teknik sipil, dirasa buku panduan ini akan sangat membantu dalam menyelesaikan masalah-masalah di dalam industri konstruksi.
Oleh karena itu, pembuatan buku ajar untuk mata kuliah Retrofitting pada jurusan teknik sipil Universitas Lampung akan sangat membantu dalam proses belajar mengajar maupun penelitian.",['TH'],Pembuatan Buku Ajar Mata Kuliah Retrofitting,show,7,2535,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019-11-04 02:21:53,648,2019-11-04 02:21:53,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 14224, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27279', 'rev_number': 1, 'docid': 27279, 'main': 'retrofiting and investigations kupang.pdf', 'files': [{'datasetid': 'document', 'filesize': 250630, 'mime_type': 'application/pdf', 'fileid': 123521, 'filename': 'retrofiting and investigations kupang.pdf', 'hash': 'c245e974cd73e1f2152257f13edc00d8', 'hash_type': 'MD5', 'mtime': '2019-09-15 06:32:26', 'objectid': 27279, 'uri': 'http://repository.lppm.unila.ac.id/id/file/123521'}]}]",,pub,http://repository.lppm.unila.ac.id/id/eprint/14224,public,article,['FT4'],"[{'id': 'fikri.alami@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'ALAMI', 'lineage': None, 'given': 'FIKRI'}}, {'name': {'lineage': None, 'family': 'Lanoe', 'honourific': None, 'given': 'SJ'}, 'id': 'sjul14n@gmail.com'}, {'name': {'family': 'Isneini', 'honourific': None, 'lineage': None, 'given': 'mohd'}, 'id': 'isneini.m@gmail.com'}]",1970-01-01 00:00:00.000002017,disk0/00/01/42/24,archive,2019-11-04 02:21:53,"Namosain box-girder bridge was located in Kupang City at Province of Nusa Tenggara Timur (NTT). This bridge was built in 2008 and recently suffered any cracks on the bottom of slab of the box girder during its service load. This bridge was retrofitted using Glass Fiber Reinforced Polymer (GFRP) to reinstate and improve its performance against live loading. Two layers of GFRP, one in longitudinal direction and another in transverse direction was bonded on the bottom of box girder using epoxy resin. The stiffness of the bridge was improved significantly by evaluating its deflection before and after strengthening. Static loading test by using truck loading was performed after 30 days of retrofitting. Stiffness of the bridge was increased by 45% to 70%


Keywords

bridge, box girder, GFRP, static loading","['TA', 'TH']",Retrofitting and Investigation of Performance of Box Girder Bridge Using Glass Fiber Reinforced Polymer (GFRP),show,7,14224,339-344,TRUE,2301-5690,International Conference on Engineering and Technology Development (ICETD) Bandar Lampung University,,,,,,,,,,,,,,,,,,,,,
3,2018-05-28 03:42:45,399,2018-05-28 03:42:45,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 6879, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19858', 'main': 'Journal-jmacr.17.00016_offprint.pdf', 'docid': 19858, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/63179', 'objectid': 19858, 'hash_type': 'MD5', 'mtime': '2018-05-09 15:53:38', 'hash': '8880d6ccb156f0e172b4a069aa94f35e', 'filename': 'Journal-jmacr.17.00016_offprint.pdf', 'fileid': 63179, 'mime_type': 'application/pdf', 'filesize': 1782441, 'datasetid': 'document'}]}]",Institution of Civil Engineers,pub,http://repository.lppm.unila.ac.id/id/eprint/6879,public,article,['FT4'],"[{'name': {'given': 'Mithila', 'family': 'Achintha', 'honourific': None, 'lineage': None}, 'id': 'Mithila.Achintha@soton.ac.uk'}, {'id': 'fikri.alami@eng.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'ALAMI', 'given': 'FIKRI'}}, {'name': {'given': 'Sian', 'honourific': None, 'family': 'Harry', 'lineage': None}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': 'Bloodworth', 'lineage': None, 'given': 'Alan'}}]",2017-10-23 00:00:00.000000000,disk0/00/00/68/79,archive,2018-05-28 03:42:45,"The paper reports results of an experimental investigation into load response and failure behaviour of rectangular
prismatic concrete beams reinforced with a combined flexural and shear reinforcement system made from carbon fibre-reinforced polymer (CFRP) fabric. It is shown that CFRP U-channels with aggregate coating and an anchorage
system consisting of a lipped channel section with intermittent closed loops were found to provide improved
composite action between the CFRP reinforcement and concrete. These CFRP channels also ensured adequate
strength and ductility before failure. Possible modes of failure of the beams are discussed, as is the effect of the
design parameters on the failure mode and the failure load. It is anticipated that the findings of this paper could be
effectively used in other applications such as non-prismatic concrete geometries and as permanent
formwork/reinforcement in thin concrete members where the flexible characteristics of dry CFRP fabrics are most
useful.",['TA'],Towards innovative FRP fabric reinforcement in concrete beams: concrete–CFRP bond,show,6,6879,1-13,TRUE,,Magazine of Concrete Research,https://www.ice.org.uk/,"[{'type': 'org', 'url': 'http://dx.doi.org/10.1680/jmacr.17.00016'}]",published,170001.0,http://dx.doi.org/10.1680/jmacr.17.00016,,,,,,,,,,,,,,,,
4,2018-06-21 08:10:03,399,2018-06-21 08:10:03,"[{'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19857', 'format': 'text', 'pos': 1, 'files': [{'objectid': 19857, 'uri': 'http://repository.lppm.unila.ac.id/id/file/63176', 'datasetid': 'document', 'filesize': 1782441, 'mime_type': 'application/pdf', 'fileid': 63176, 'filename': 'jmacr.17.00016_offprint.pdf', 'hash': '8880d6ccb156f0e172b4a069aa94f35e', 'mtime': '2018-05-09 15:30:35', 'hash_type': 'MD5'}], 'main': 'jmacr.17.00016_offprint.pdf', 'docid': 19857, 'content': 'published', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 6878}]",Institution of Civil Engineers,pub,http://repository.lppm.unila.ac.id/id/eprint/6878,public,article,['FT4'],"[{'name': {'given': 'Mithila', 'honourific': None, 'family': 'Achintha', 'lineage': None}, 'id': 'Mithila.Achintha@soton.ac.uk'}, {'id': 'fikri.alami@eng.unila.ac.id', 'name': {'given': 'FIKRI', 'lineage': None, 'family': 'ALAMI', 'honourific': None}}, {'name': {'given': 'Sian', 'lineage': None, 'family': 'Harry', 'honourific': None}, 'id': None}, {'name': {'given': 'Alan', 'honourific': None, 'family': 'Bloodworth', 'lineage': None}, 'id': 'a.bloodworth@warwick.ac.uk'}]",2017-10-23 00:00:00.000000000,disk0/00/00/68/78,archive,2018-06-21 08:10:03,"The paper reports results of an experimental investigation into load response and failure behaviour of rectangular prismatic concrete beams reinforced with a combined flexural and shear reinforcement system made from carbon fibre-reinforced polymer (CFRP) fabric. It is shown that CFRP U-channels with aggregate coating and an anchorage system consisting of a lipped channel section with intermittent closed loops were found to provide improved composite action between the CFRP reinforcement and concrete. These CFRP channels also ensured adequate
strength and ductility before failure. Possible modes of failure of the beams are discussed, as is the effect of the design parameters on the failure mode and the failure load. It is anticipated that the findings of this paper could be effectively used in other applications such as non-prismatic concrete geometries and as permanent
formwork/reinforcement in thin concrete members where the flexible characteristics of dry CFRP fabrics are most useful.",['TA'],Towards innovative FRP fabric reinforcement in concrete beams: concrete–CFRP bond,show,7,6878,,TRUE,,Magazine of Conrete Research,http://dx.doi.org/10.1680/jmacr.17.00016,,published,,http://dx.doi.org/10.1680/jmacr.17.00016,,,,,,,,,,,,,,,,
5,2022-12-15 08:00:37,186,2022-12-15 08:00:37,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/186198', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'fileid': 518472, 'filename': 'WEATHERING-INDUCED DEFORMATION OFGEOMATERIALS DERIVED FROM WEAKROCKS.pdf', 'hash': 'b3b475889ab46c1ad4389312ff829058', 'hash_type': 'MD5', 'mtime': '2022-12-14 10:59:25', 'datasetid': 'document', 'filesize': 877875, 'objectid': 186198, 'uri': 'http://repository.lppm.unila.ac.id/id/file/518472'}], 'docid': 186198, 'main': 'WEATHERING-INDUCED DEFORMATION OFGEOMATERIALS DERIVED FROM WEAKROCKS.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 47224}]",Asian Research Publishing Network (ARPN),pub,http://repository.lppm.unila.ac.id/id/eprint/47224,public,other,['FT4'],"[{'id': 'andius.dasaputra@eng.unila.ac.id', 'name': {'given': 'Dasa Putra', 'lineage': None, 'honourific': None, 'family': 'Andius'}}, {'name': {'given': 'Kikumoto', 'lineage': None, 'honourific': None, 'family': 'Mamoru'}, 'id': None}]",2017-06-01 00:00:00.000000000,disk0/00/04/72/24,archive,2022-12-15 08:00:37,"This paper investigates the slaking behaviour of several kinds of crushed mudstone and its mechanical consequences using a comprehensive set of experimental data obtained through accelerated slaking tests and newly developed one-dimensional compression slaking tests. These data confirm that slaking in crushed mudstone is accompanied by a variation in the particle size distribution during wetting and drying cycles, and a variation in grading results in an irreversible change in mechanical characteristics, such as the reference packing density. Significant compression is also found to occur without any change in effective confining stress. The results of XRD (X-ray diffraction) analysis and scanning electron microscopy (SEM) are also used to elucidate the effects of mineralogy and particle texture on the slaking characteristics of crushed mudstone. Finally, it is also mentioned that constitutive modelling can take slaking into consideration by describing the evolution of an appropriate grading index due to slaking, and then linking this to reference packing density. 
 
Keywords: compressibility, SEM, XRD, particle size distribution, mudstones",['TA'],WEATHERING-INDUCED DEFORMATION OFGEOMATERIALS DERIVED FROM WEAKROCKS,show,7,47224,,,,,,[{'url': 'http://www.arpnjournals.org'}],,,,,,,,,,,,,,,,,,,
6,2020-07-21 04:14:17,1021,2020-07-21 04:14:17,"[{'pos': 7, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36828', 'rev_number': 3, 'docid': 36828, 'main': 'Sertifikat -paten2 jalan ferosemen.pdf', 'files': [{'filesize': 1542622, 'datasetid': 'document', 'hash': '3e0ebff9be5f623e64e76a9f601e1158', 'filename': 'Sertifikat -paten2 jalan ferosemen.pdf', 'mtime': '2020-02-05 03:07:23', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 212963, 'uri': 'http://repository.lppm.unila.ac.id/id/file/212963', 'objectid': 36828}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 23265, 'placement': 7, 'security': 'public'}]",,pub,http://repository.lppm.unila.ac.id/id/eprint/23265,public,patent,['FT4'],"[{'name': {'family': 'Helmi', 'honourific': None, 'lineage': None, 'given': 'Masdar'}, 'id': 'masdar.helmi@eng.unila.ac.id'}]",2017-03-01 00:00:00.000000000,disk0/00/02/32/65,archive,2020-07-21 04:14:17,Suatu konstruksi jalan di atas tanah lunak menggunakan matras-dinding ferosemen yang terdiri dari: matras berupa susunan  panel ferosemen berbentuk kotak yang terbuka pada salah satu sisi terluasnya dan terdapat lobang udara pada keempat sisi sampingnya; dinding berupa rangkaian panel panjang ferosemen berpenampang kanal yang disusun zig-zag berhadap-hadapan di kedua sisi badan jalan; cerucuk berupa batang bambu berpenampang bundar; timbunan berupa tanah berpasir yang dipadatkan; dan lapisan penutup jalan berupa beton bertulang sebagai satu kesatuan invensi.,['TA'],KONSTRUKSI JALAN DI ATAS TANAH LUNAK MENGGUNAKAN MATRAS-PANEL FEROSEMEN,show,5,23265,,,,,http://e-statushki.dgip.go.id/index.php/penelusuran/paten/P00201100525,,published,,IDP 000044839,1866.0,11.0,P00201100525,,,,,,,,,,,,,
7,2017-11-16 03:22:49,686,2017-11-16 03:22:49,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17644', 'rev_number': 1, 'docid': 17644, 'main': 'Spatial Jurnal - Ekowisata.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/46162', 'objectid': 17644, 'hash_type': 'MD5', 'mtime': '2017-11-06 06:46:26', 'hash': '0b44608553298df680efa81f337c31e1', 'filename': 'Spatial Jurnal - Ekowisata.pdf', 'fileid': 46162, 'mime_type': 'application/pdf', 'filesize': 12511522, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 4722, 'security': 'public', 'placement': 1}]",UNJ,pub,http://repository.lppm.unila.ac.id/id/eprint/4722,public,article,['FT4'],"[{'name': {'given': 'Ahmad', 'lineage': None, 'honourific': None, 'family': 'Herison'}, 'id': 'ahmadherison@yahoo.com'}]",2017-03-01 00:00:00.000000000,disk0/00/00/47/22,archive,2017-11-16 03:22:49,"Kabupaten Pesisir Barat yang terletak pada sepanjang pesisir barat wilayah Lampung merupakan wilayah yang berkaitan erat dengan pengembangan biota-biota laut. Perlindungan dari biota-biota laut tersebut yaitu dalam hal perlindungan terhadap ekosistem terumbu karang. Salah satu upaya dalam perlindungan ekosistem tersebut dapat berupa rehabilitasi untuk mengembalikan keberadaan dan kondisi ekosistem tersebut. Tujuan dari penelitian Terumbu Karang Kabupaten Pesisir Barat ini adalah untuk mengetahui kondisi terumbu karang yang ada di Kabupaten Pesisir Barat dan aplikasi ekowisata bahari terhadap kondisi terumbu karang yang ada. Metode yang digunakan dalam penelitian ini yaitu: 1) Studi literatur; 2) Pengambilan data dengan menggunakan metode transek garis (LIT); 3) Analisa data. Pengambilan data dilakukan pada 3 kecamatan di Kabupaten Pesisir Barat, yaitu Kecamatan Pesisir Selatan, Kecamatan Ngambur dan Kecamatan Bengkunat. Berdasarkan hasil dari penelitian didapatkan tutpan karang hidup di Kecamatan Pesisir Selatan sebesar 33%, di Kecamatan Ngambur 45% dan Kecamatan Bengkunat sebesar 36,6%. Dari ketiga data diatas dapat diambil kesimpulan bahwa kondisi terumbu karang di Kabupaten Pesisir Barat masuk dalam kondisi sedang, untuk kondisi terumbu karang yang demikian sangat baik dilakukan penerapan konsep ekowisata bahari dalam proses pengembangan penggelolaan wilayah pesisir. Pengembangan potensi ekowisata bahari pada wilayah pesisir Kabupaten Pesisir Barat dilakukan bukan berdasarkan longitudinal section akan tetapi juga dikembangkan juga dengan potongan cross section.

Kata Kunci : Terumbu Karang, Pesisir Barat, Ekowisata","['G1', 'Q1']","APLIKASI EKOWISATA BAHARI TERHADAP PERKEMBANGAN TERUMBU KARANG
DISISI BARAT PULAU SUMATERA
(Studi Kasus di Kabupaten Pesisir Barat)",show,7,4722,55-66,TRUE,1693-1408,Jurnal Spatial,,,published,1.0,,,,,17,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,,,,,,,,,,
8,2021-08-08 15:25:59,686,2021-08-08 15:25:59,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 33353, 'uri': 'http://repository.lppm.unila.ac.id/id/document/152656', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/395478', 'objectid': 152656, 'filesize': 769439, 'datasetid': 'document', 'hash': '7ce28da7e6eb55d448fe77ca9c529682', 'filename': 'Bantuan Penyuluhan dan Kegiatan Transplantasi Terumbu Karang di Pantai Ketapang Kabupaten Pesawaran.pdf', 'mtime': '2021-08-08 08:25:01', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 395478}], 'main': 'Bantuan Penyuluhan dan Kegiatan Transplantasi Terumbu Karang di Pantai Ketapang Kabupaten Pesawaran.pdf', 'docid': 152656}]",Lembaga penelitian dan pengabdian kepada masyarakat universitas lampung,pub,http://repository.lppm.unila.ac.id/id/eprint/33353,public,article,['FT4'],"[{'id': 'ahmadherison@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Herison', 'given': 'Ahmad'}}, {'id': 'yudaromdania@yahoo.com', 'name': {'given': 'Yuda', 'lineage': None, 'honourific': None, 'family': 'Romdania'}}]",1970-01-01 00:00:00.000002017,disk0/00/03/33/53,archive,2021-08-08 15:25:59,"Coral reefs are coastal marine biota biodiversity. Ketapang beach is one of the tourism destinations in the province of Lampung, therefore there are many activities that can be identified damage to the coral reef at the beach area, so that the necessary steps anticipatory one of them is to transplant corals. The purpose of this service activities 1) Knowing the causes of coral reef degradation in Ketapang Beach, 2) Implement saving coral reefs on the coast of Ketapang, Ketapang District of Pesawaran District. The method is performed in the context of community service are 1) Extension to the public on the importance of coral reef ecosystems, 2) Doing tranplastasi coral fragmentation method using acropora seed. Event followed by several stakeholders from the public and the government. This activity can be concluded: 1) The activities of Ketapang beach tourism indicate damage to coral reefs in the region, it is necessary for coral reef conservation efforts with transplant method. 2) The activity of saving coral reefs done by: transplants used is the fragmentation method. And to preserve the coral reef ecosystem, program outreach to the community is also an effort to prevent the destruction of coral reefs.",['Q1'],Bantuan Penyuluhan dan Kegiatan Transplantasi Terumbu Karang di Pantai Ketapang Kabupaten Pesawaran,show,9,33353,23-28,TRUE,2550-1089,Jurnal Sakai Sambayan,http://jss.lppm.unila.ac.id/index.php/ojs/article/view/14,[{'url': 'http://jss.lppm.unila.ac.id/index.php/ojs/article/view/14/12'}],published,1.0,,,,,1,,['Lampung University'],,,,,,,,,,
9,2017-11-16 07:21:26,393,2017-11-16 07:21:26,"[{'security': 'public', 'placement': 1, 'eprintid': 4715, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'fileid': 46027, 'mime_type': 'application/pdf', 'mtime': '2017-11-06 05:00:17', 'hash_type': 'MD5', 'hash': '8fee3449362e775aa946d70fd732bf98', 'filename': '9a3. Proceeding IRES.pdf', 'datasetid': 'document', 'filesize': 772302, 'objectid': 17624, 'uri': 'http://repository.lppm.unila.ac.id/id/file/46027'}], 'main': '9a3. Proceeding IRES.pdf', 'docid': 17624, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17624', 'format': 'text', 'pos': 1}]",,pub,http://repository.lppm.unila.ac.id/id/eprint/4715,public,conference_item,['FT4'],"[{'name': {'given': 'Ahmad', 'family': 'Herison', 'honourific': None, 'lineage': None}, 'id': 'ahmadherison@yahoo.com'}, {'id': 'yudaromdania@yahoo.com', 'name': {'given': 'Yuda', 'lineage': None, 'honourific': None, 'family': 'Romdania'}}, {'id': None, 'name': {'given': 'Dietrich', 'honourific': None, 'family': 'Bengen', 'lineage': None}}, {'id': None, 'name': {'given': 'Rizky', 'lineage': None, 'honourific': None, 'family': 'Al Safar'}}]",2017-10-06 00:00:00.000000000,disk0/00/00/47/15,archive,2017-11-16 07:21:26,"Mangrove ecosystems have ecological functions and physical protection functions to the coast. Mangrove function can perform wave attenuation naturally. The purpose of this research are : (1). To know the function of Avicennia marina mangrove to wave attenuation. (2). To obtain the function of wave attenuation for alternative coastal buildings. Research located in Lampung Mangrove Center (LMC) Lampung University, East Lampung Regency, Indonesia. Wave attenuation measurements carried out on the thickness of 3m, 5m, 10m, 20mand50m. The instrument for measured wave are used the type SBE26 and RBRDUO T.D., cooperation between DISHIDROS TNI Navy with the University of Lampung. The measurement method was done directly at the station point. The conclusion of this research are: (1)Avicennia marina mangrove at a distance of 0 - 50 m capable of performed wave attenuation ranges from 60% to 98%.(2) Obtained a wave attenuation formula of thickness, is ΔH = -0,022x2 + 0,259x + 0,393, Avicennia marina mangrove can be used as a natural breakwater and environmentally friendly.

Keywords: Mangrove; Avicennia marina; Ecocity; Wave reduction; East Lampung",['TD'],"Contribution of Avicennia marina Mangrove to Wave Reduction for The Importance of Abrasion As An Alternative to Coastal Buildings
(Case Study at Lampung Lampung Mangrove Center, East Lampung Regency, Indonesia)",show,7,4715,1-6,TRUE,,,,,published,,,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/SPK'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,conference,6 Oktober 2017,The IRES – 286TH International Conferences Engineering And Natural Science (INCES),"Bangkok, Thailand",paper,,,,,
