,creators,dir,date,type,divisions,funders,pres_type,documents,contributors,ispublished,refereed,uri,full_text_status,userid,lastmod,datestamp,event_location,eprintid,event_title,date_type,event_dates,title,metadata_visibility,rev_number,event_type,eprint_status,status_changed,abstract,subjects,pagerange,publisher,publication,issn,volume,id_number,pages,patent_applicant,official_url,place_of_pub,related_url,referencetext,contact_email,keywords,number,succeeds,corp_creators
0,"[{'id': 'fikri.alami@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'ALAMI', 'lineage': None, 'given': 'FIKRI'}}, {'id': 'masdar.helmi@eng.unila.ac.id', 'name': {'family': 'Helmi', 'honourific': None, 'lineage': None, 'given': 'Masdar'}}, {'id': 'vera.agustriana@eng.unila.ac.id', 'name': {'family': 'Noorhidana', 'honourific': None, 'lineage': None, 'given': 'Vera A.'}}]",disk0/00/01/59/56,2019-11-12 00:00:00.000000000,conference_item,['FT4'],['BLU Unila'],paper,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/29042', 'rev_number': 1, 'docid': 29042, 'main': 'Simtek_FA_2019-Fikri dkk.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/136736', 'objectid': 29042, 'filesize': 969420, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2019-11-08 03:16:54', 'filename': 'Simtek_FA_2019-Fikri dkk.pdf', 'hash': '01af2c48c49d13c07340129a63c3d039', 'fileid': 136736, 'mime_type': 'application/pdf'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 15956, 'placement': 1, 'security': 'public'}]","[{'id': 'fikri.alami@eng.unila.ac.id', 'name': {'given': 'Fikri', 'lineage': None, 'honourific': None, 'family': 'Alami'}}]",submitted,FALSE,http://repository.lppm.unila.ac.id/id/eprint/15956,public,1021,2019-11-14 11:01:09,2019-11-14 11:01:09,Universitas Lampung,15956,"SIMTEK 2019, Vol. 1 : Ilmu Teknik dan Kajian Multidisiplin Dalam Mitigasi Bencana Nasional",submitted,12-13 November 2019,INVESTIGASI DAN EVALUASI GETARAN PADA PELAT BETON BERTULANG,show,8,conference,archive,2019-11-14 11:01:09,"Getaran pada gedung bertingkat dapat terjadi akibat beban dinamik, berupa beban harmonic, periodic, transient, atau impulsif. Makalah berisi hasil evaluasi lapangan pada panel pelat beton bertulang di gedung perkuliahan dua lantai. Pelat merupakan pelat beton bertulang yang di tumpu pada bagian tengahnya oleh dua balok anak yang membagi pelat menjadi dua bagian. Investigasi mencangkup getaran alami struktur pelat, getaran akibat orang berjalan dan getaran akibat orang melompat. Data diperoleh secara eksperimen dengan meletakkan satu buah accelerometer pada bagian tengah pelat yang dihubungkan secara bluetooth ke sebuah alat recorder (standalone interface) dengan resolusi tinggi dan touch screen system sehingga mudah untuk dioperasikan, dianalisis dan didistribusikan.",['TA'],,,,,,,,,,,,,,,,,
1,"[{'name': {'given': 'FIKRI', 'lineage': None, 'family': 'ALAMI', 'honourific': None}, 'id': 'fikri.alami@eng.unila.ac.id'}, {'name': {'family': 'Isneini', 'honourific': None, 'lineage': None, 'given': 'mohd'}, 'id': 'isneini.m@gmail.com'}, {'name': {'given': 'akbar', 'family': 'cf', 'honourific': None, 'lineage': None}, 'id': 'chandrafauzan726@yahoo.co.id'}, {'name': {'lineage': None, 'family': 'Vernanda', 'honourific': None, 'given': 'Dedi'}, 'id': 'dedivernanda@gmail.com'}, {'name': {'given': 'Klara', 'lineage': None, 'honourific': None, 'family': 'Nalarita'}, 'id': 'klaranalarita95@gmail.com'}, {'name': {'given': 'Farida', 'family': 'RH Putri', 'honourific': None, 'lineage': None}, 'id': 'hadiputri900@gmail.com'}]",disk0/00/01/42/21,2019-03-01 00:00:00.000000000,article,['FT4'],,,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 14221, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27276', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'hash': '1b65151f9b32255ae531ae1d7bf8f04e', 'filename': 'CR-2-83-1.pdf', 'mtime': '2019-09-15 05:11:48', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 123497, 'filesize': 405120, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/123497', 'objectid': 27276}], 'docid': 27276, 'main': 'CR-2-83-1.pdf'}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/14221,public,648,2019-11-04 02:20:06,2019-11-04 02:20:06,,14221,,published,,Flexural Behaviour of RC Beam Strengthened with Hybrid of GFRP and Wiremesh,show,8,,archive,2019-11-04 02:20:06,"this paper presents selected results of experiment on flexural tests of RC beam strengthened with hybrid of GFRP
and wire mesh. Beams have total length of 1700 mm, width and height of 150 mm and have compressive strength, f’c of
26.43 MPa. Three beams consisted of one control beam without strengthening and other two beams strengthened with wire
mesh and combined GFRP and wire mesh respectively. The beams were tested under four points bending. The results
showed that the beam strengthened with hybrid of GFRP and wire mesh showed higher stiffness and load carrying capacity
than other two beams.
Keyword: RC beam, Hybrid, GFRP, Wire mesh.","['TA', 'TH']",278-282,Fakultas Teknik Unila,Prosiding SINTA 2018,2655-2914,1.0,,,,,,,,,,,,
2,"[{'id': 'lusmelia.afriani@eng.unila.ac.id', 'name': {'given': 'Lusmeilia', 'lineage': None, 'family': 'Afriani', 'honourific': None}}]",disk0/00/02/71/55,2019-11-19 00:00:00.000000000,patent,['FT4'],,,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 27155, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/41174', 'rev_number': 1, 'main': 'sertifikat_EC00201982780.pdf', 'docid': 41174, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/243368', 'objectid': 41174, 'mtime': '2020-12-27 14:50:51', 'hash_type': 'MD5', 'hash': '00f01776d0a044997623e5de3b289fae', 'filename': 'sertifikat_EC00201982780.pdf', 'fileid': 243368, 'mime_type': 'application/pdf', 'filesize': 768553, 'datasetid': 'document'}]}]",,pub,,http://repository.lppm.unila.ac.id/id/eprint/27155,public,808,2020-12-28 01:46:39,2020-12-28 01:46:39,,27155,,published,,Kuat Geser,show,7,,archive,2020-12-28 01:46:39,"Buku Kuat Geser yang dipublikasikan melalui HAKi telah dibuat untuk kepentingan mahasiswa, peenliti, praktisi dalam hal perencanaan dan pelaksanaan dalam ilmu Mekanika Tanah. Buku ini menerangkan dan mendalami tentang sifat fisik dan mekanik tanah terutama dibidang Kuat Geser Tanah. buku ini juga merangkum beberapa hasil penelitian yang sudah dipublikasikan.",['TA'],,,,,,EC00201982780,88.0,LPPM Universitas Lampung,,,,,,,,,
3,"[{'name': {'given': 'Lusmeilia', 'family': 'Afriani', 'honourific': None, 'lineage': None}, 'id': None}, {'id': 'idharmahadi.adha@eng.unila.ac.id', 'name': {'family': 'Adha', 'honourific': None, 'lineage': None, 'given': 'Idharmahadi'}}, {'id': 'setyanto@eng.unila.ac.id', 'name': {'given': 'Setyanto', 'family': 'Setyanto', 'honourific': None, 'lineage': None}}]",disk0/00/01/71/01,1970-01-01 00:00:00.000002019,conference_item,['FT4'],,paper,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30198', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/145136', 'objectid': 30198, 'filesize': 488911, 'datasetid': 'document', 'filename': 'Untuk Repository_ Seminar Kitayushu_Ind 2018_Lusmeilia dkk.pdf', 'hash': 'c9cf9c475bc25ebd79cc677f5daa68cc', 'mtime': '2019-11-18 15:19:39', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 145136}], 'docid': 30198, 'main': 'Untuk Repository_ Seminar Kitayushu_Ind 2018_Lusmeilia dkk.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 17101}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/17101,public,808,2019-11-19 05:17:03,2019-11-19 05:17:03,Surabaya,17101,The Internasional Conference Research Collaboration of Environmental Science,published,12 March 2018,Innovative design of soil pressure modeling test apparatus to determine the amount of soil compaction energy to dry density value,show,7,conference,archive,2019-11-19 05:17:03,". A research in the laboratory about soil compaction is done using a hammer device, known as a standard proctor method and a modified proctor. Both methods use human strength to solidify the soil. This research is done well, because the compaction load and compactor height fall according to the research. Researchers tried to design and make a soil compactor with the same mold measure from standard proctor method but the compacting method use a hydraulic jack. So that the compressive strength and the energy can be measure to each layer. Thus the compacting energy can be measured and adjusted as needed. In addition, these results of compaction using a hydraulic jack will compare the soil compaction energy with standard proctor methods. The advantages of this new equipment can measure the compaction energy and dry density values. The research used modified press compactor test of 4 different pressures are 5 N/m2; 10 N/m2; 15 N/m2 and 20 N/m2. For every pressure conducted for 3 soil samples. After, the researcher will compare the soil compaction energy by standard proctor methode, new pressure test apparatus and with vehicle wheel pressure for soil compaction in the field.",['TA'],12039,,,,,,,,,,,,,,,,
4,"[{'name': {'honourific': None, 'family': 'Afriani', 'lineage': None, 'given': 'Lusmeilia'}, 'id': 'lusmelia.afriani@eng.unila.ac.id'}, {'id': 'idharmahadi.adha@eng.unila.ac.id', 'name': {'given': 'Idharmahadi', 'lineage': None, 'family': 'Adha', 'honourific': None}}, {'name': {'family': 'Setyanto', 'honourific': None, 'lineage': None, 'given': 'Setyanto'}, 'id': 'setyanto@eng.unila.ac.id'}]",disk0/00/04/12/34,1970-01-01 00:00:00.000002019,conference_item,['FT4'],,paper,"[{'security': 'public', 'placement': 1, 'eprintid': 41234, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'fileid': 457387, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-04-12 00:42:16', 'hash': '65cc77babe48d40987abf7b50c8da691', 'filename': '13. Dok Lengkap_Innovative design of soil pressure_di Sby.pdf', 'datasetid': 'document', 'filesize': 1779803, 'objectid': 162747, 'uri': 'http://repository.lppm.unila.ac.id/id/file/457387'}], 'docid': 162747, 'main': '13. Dok Lengkap_Innovative design of soil pressure_di Sby.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162747', 'format': 'text', 'pos': 1}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/41234,public,808,2022-04-12 01:22:42,2022-04-12 01:22:41,"Universitas Airlangga, Surabaya, Indonesia",41234,T  IOP Conf. Series: Earth and Environmental Science 245 (2019) 012039 (The International Conference Research Collaboration of Environmental Science),published,"12 March 2018,",Innovative design of soil pressure modeling test apparatus to determine the amount of soil compaction energy to dry density value,show,9,conference,archive,2022-04-12 01:22:41,"Abstract. A research in the laboratory about soil compaction is done using a hammer device,
known as a standard proctor method and a modified proctor. Both methods use human strength
to solidify the soil. This research is done well, because the compaction load and compactor
height fall according to the research. Researchers tried to design and make a soil compactor
with the same mold measure from standard proctor method but the compacting method use a
hydraulic jack. So that the compressive strength and the energy can be measure to each layer.
Thus the compacting energy can be measured and adjusted as needed. In addition, these results
of compaction using a hydraulic jack will compare the soil compaction energy with standard
proctor methods. The advantages of this new equipment can measure the compaction energy
and dry density values. The research used modified press compactor test of 4 different
pressures are 5 N/m
2
; 10 N/m
2
; 15 N/m
2
 and 20 N/m
2
. For every pressure conducted for 3 soil
samples. After, the researcher will compare the soil compaction energy by standard proctor
methode, new pressure test apparatus and with vehicle wheel pressure for soil compaction in
the field.",['TA'],1-6,,,,,,,,,,,,,,,,
5,"[{'id': 'lusmelia.afriani@eng.unila.ac.id', 'name': {'given': 'Lusmeilia', 'family': 'Afriani', 'honourific': None, 'lineage': None}}, {'id': 'setyanto@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Setyanto', 'honourific': None, 'given': 'Setyanto'}}]",disk0/00/03/83/92,1970-01-01 00:00:00.000002019,other,['FT4'],,,"[{'docid': 159489, 'main': 'Plagiarisme_Prosiding-Scopus (11)_Innovative design of soil pressure modeling test apparatus to determine the amount of soil compaction energy to dry density value.pdf', 'files': [{'filesize': 1479996, 'datasetid': 'document', 'mtime': '2022-01-26 05:57:48', 'hash_type': 'MD5', 'hash': '47d592c807f1ac08151583b5255bff1a', 'filename': 'Plagiarisme_Prosiding-Scopus (11)_Innovative design of soil pressure modeling test apparatus to determine the amount of soil compaction energy to dry density value.pdf', 'fileid': 435168, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/435168', 'objectid': 159489}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159489', 'rev_number': 1, 'eprintid': 38392, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",,pub,,http://repository.lppm.unila.ac.id/id/eprint/38392,public,808,2022-01-26 06:18:13,2022-01-26 06:18:13,,38392,,published,,Innovative design of soil pressure modeling test apparatus to determine the amount of soil compaction energy to dry density value,show,7,,archive,2022-01-26 06:18:13,Similarity Cek,['TA'],,IOP Conf Series: Eath and Enviromental Science 245,,,,,,,,,,,,,,,
6,"[{'id': 'lusmelia.afriani@eng.unila.ac.id', 'name': {'given': 'Lusmeilia', 'lineage': None, 'family': 'Afriani', 'honourific': None}}, {'name': {'given': ""Amril Ma'ruf"", 'lineage': None, 'honourific': None, 'family': 'Siregar'}, 'id': 'amrilmarufs@gmail.com'}, {'id': 'nurarifaini9@gmail.com', 'name': {'given': 'Nur', 'lineage': None, 'family': 'Arifaini', 'honourific': None}}, {'name': {'given': 'Ahmad', 'lineage': None, 'honourific': None, 'family': 'Zainuri'}, 'id': 'zainuriahmad1126@gmail.com'}]",disk0/00/03/83/84,2019-11-01 00:00:00.000000000,other,['FT4'],,,"[{'docid': 159480, 'main': 'Plagiarisme_Prosiding Selain Scopus (16)_Identifikasi Arah Kelongsoran Tanah Di Bawah Badan Jalan Rel Kereta Api Akibat Adanya Aliran Air Bawah Tanah.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/435106', 'objectid': 159480, 'filesize': 5601726, 'datasetid': 'document', 'filename': 'Plagiarisme_Prosiding Selain Scopus (16)_Identifikasi Arah Kelongsoran Tanah Di Bawah Badan Jalan Rel Kereta Api Akibat Adanya Aliran Air Bawah Tanah.pdf', 'hash': 'f88b32ca9e3fc5409cb41e71721be6d9', 'hash_type': 'MD5', 'mtime': '2022-01-26 05:13:10', 'mime_type': 'application/pdf', 'fileid': 435106}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159480', 'rev_number': 1, 'eprintid': 38384, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",,pub,,http://repository.lppm.unila.ac.id/id/eprint/38384,public,808,2022-01-26 06:19:17,2022-01-26 06:19:17,,38384,,published,,Identiﬁkasi Arah Kelongsoran Tanah Di Bawah Badan Jalan Rel Kereta Api Akibat Adanya Aliran Air Bawah Tanah,show,7,,archive,2022-01-26 06:19:17,Similarity Cek,['TA'],,23 Annual National Conference on Geotechnical Engineering,,,,,,,,,,,,,,,
7,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Afriani', 'given': 'Lusmeilia'}, 'id': 'lusmelia.afriani@eng.unila.ac.id'}, {'name': {'family': 'Siregar', 'honourific': None, 'lineage': None, 'given': ""Amril Ma'ruf""}, 'id': 'amrilmarufs@gmail.com'}, {'id': 'nurarifaini9@gmail.com', 'name': {'given': 'Nur', 'honourific': None, 'family': 'Arifaini', 'lineage': None}}, {'id': 'ahmad.zaenudin@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'zaenudin', 'honourific': None, 'given': 'ahmad'}}]",disk0/00/04/12/40,1970-01-01 00:00:00.000002019,conference_item,['FT4'],,speech,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/162753', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'fileid': 457418, 'mime_type': 'application/pdf', 'mtime': '2022-04-12 00:55:59', 'hash_type': 'MD5', 'hash': '783fafa9208f0a5b1943dc26642b9404', 'filename': '18. Dok Lengkap_Identifikasi Arah Kelongsoran Tanah Di Bawah Badan Jalan Rel Kereta Api Akibat Adanya Aliran Air Bawah Tanah.pdf', 'datasetid': 'document', 'filesize': 2807876, 'objectid': 162753, 'uri': 'http://repository.lppm.unila.ac.id/id/file/457418'}], 'main': '18. Dok Lengkap_Identifikasi Arah Kelongsoran Tanah Di Bawah Badan Jalan Rel Kereta Api Akibat Adanya Aliran Air Bawah Tanah.pdf', 'docid': 162753, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 41240}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/41240,public,808,2022-04-12 01:22:53,2022-04-12 01:22:53,Jakarta,41240,23rd Annual National Conference On geotechnical Engineering,published,12 - 13 November 2019,Identifikasi Arah Kelongsoran Tanah di Bawah Badan Jalan Rel Kereta Api Akibat Adanya Aliran Air Bawah Tanah,show,7,conference,archive,2022-04-12 01:22:53,"Di Sumatra, khususnya Sumatra Selatan, ada jalur kereta api antara Baturaja - Martapura. Dari zaman Belanda telah dibuat jaluar kereta api ini, dan sampai sekarang masih digunakan dan bahkan dibuat double track. Sehingga tanah dasar harus cukup kuat untuk memikul beban berat. Oleh karena beban berat, beberapa lokasi jalur mengalami kondisi yang tidak menguntungkan. Maka dari itu perlu dilakukan penelitian penyebab penurunan jalan kereta api. Hasil penelitian ini dapat mengetahui tingkat muka air tanah, identifikasi tanah dan kedalaman tanah keras serta nilai N SPT. Hasil penelitian menyatakan bahwa ada lapisan tanah lempung dan cadas muda berbatuan padat mulai dari kedalaman 4 meter. Berdasarkan rekonstruksi geolistrik 3D dan bor mesin, arah aliran air dari jalur 3 ke jalur 1 adalah arah timur laut ke barat daya, di mana arah tanah longsor atau gerakan tanah mengikuti pola aliran air. Dari penelitian ini dapat menjadi rekomendsi untuk penanganan kondisi jalan tersebut.",['TA'],91-97,,,,,,,,,,,,,,,,
8,"[{'id': 'lusmelia.afriani@eng.unila.ac.id', 'name': {'given': 'Lusmeilia', 'family': 'Afriani', 'honourific': None, 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Siregar', 'given': ""Amril Ma'ruf""}, 'id': 'amrilmarufs@gmail.com'}, {'id': 'nurarifaini9@gmail.com', 'name': {'given': 'Nur', 'family': 'Arifaini', 'honourific': None, 'lineage': None}}, {'id': 'ahmad.zaenudin@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'zaenudin', 'honourific': None, 'given': 'ahmad'}}]",disk0/00/04/60/52,2019-11-01 00:00:00.000000000,other,['FT4'],,,"[{'files': [{'filesize': 1120994, 'datasetid': 'document', 'mtime': '2022-10-28 13:08:14', 'hash_type': 'MD5', 'filename': 'Peer Review - Identifikasi Arah Kelongsoran.pdf', 'hash': '9d1112b4846b3272215469f1c7c7ba16', 'fileid': 509539, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/509539', 'objectid': 184874}], 'docid': 184874, 'main': 'Peer Review - Identifikasi Arah Kelongsoran.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184874', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 46052, 'language': 'en', 'mime_type': 'application/pdf'}]",,pub,,http://repository.lppm.unila.ac.id/id/eprint/46052,public,1186,2022-10-29 11:26:34,2022-10-29 11:26:34,,46052,,published,,Peer Review Prosiding Identifikasi Arah Kelongsoran Tanah di Bawah Badan Jalan Rel Kereta Api Akibat Adanya Aliran Air Bawah Tanah,show,7,,archive,2022-10-29 11:26:34,,['TA'],,Himpuan Ahli Tanah Indonesia,,,,,,,http://repository.lppm.unila.ac.id/id/eprint/41240,Jakarta,,,,,,,
9,"[{'id': 'lusmeilia.afriani@eng.unila.ac.id', 'name': {'given': 'Lusmeilia', 'lineage': None, 'family': 'Afriani', 'honourific': None}}, {'id': 'amrilmarufs@gmail.com', 'name': {'family': 'Siregar', 'honourific': None, 'lineage': None, 'given': 'Amril Maruf'}}, {'id': 'nurarifaini9@gmail.com', 'name': {'given': 'Nur', 'lineage': None, 'honourific': None, 'family': 'Arifaini'}}, {'name': {'given': 'ahmad', 'lineage': None, 'family': 'zaenudin', 'honourific': None}, 'id': 'ahmad.zaenudin@eng.unila.ac.id'}]",disk0/00/02/19/98,2019-11-12 00:00:00.000000000,conference_item,['FT4'],,paper,"[{'eprintid': 21998, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 35408, 'main': 'Prosiding HATTI_LA dkk.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-06-05 08:23:31', 'filename': 'Prosiding HATTI_LA dkk.pdf', 'hash': '67847f9eb0622b67a17e0a97b54d6cc8', 'fileid': 202954, 'mime_type': 'application/pdf', 'filesize': 11035813, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/202954', 'objectid': 35408}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35408'}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/21998,public,808,2020-06-05 09:29:30,2020-06-05 09:29:30,Jakarta,21998,23rd Annual National Conference On geotechnical Engineering,published,12 - 13 November 2019,Identifikasi Arah Kelongsoran Tanah Di Bawah Badan Jalan Rel Kereta Api Akibat Adanya Aliran Air Bawah Tanah,show,7,conference,archive,2020-06-05 09:29:30,"Di Sumatra, khususnya Sumatra Selatan, ada jalur kereta api antara Baturaja - Martapura. Dari zaman  Belanda telah dibuat jaluar kereta api ini, dan sampai sekarang masih digunakan dan bahkan dibuat double track. Sehingga tanah dasar harus cukup kuat untuk memikul beban berat. Oleh karena beban berat, beberapa lokasi jalur  mengalami kondisi yang tidak menguntungkan. Maka dari itu perlu dilakukan penelitian penyebab penurunan jalan kereta api. Hasil penelitian ini dapat mengetahui tingkat muka air tanah, identifikasi tanah dan kedalaman tanah keras serta nilai N SPT. Hasil penelitian menyatakan bahwa ada lapisan tanah lempung dan cadas muda berbatuan padat mulai dari kedalaman 4 meter. Berdasarkan rekonstruksi geolistrik 3D dan bor mesin, arah aliran air dari jalur 3 ke jalur 1 adalah arah timur laut ke barat daya, di mana arah tanah longsor atau gerakan tanah mengikuti pola aliran air. Dari penelitian ini dapat menjadi rekomendsi untuk penanganan kondisi jalan tersebut.",['TA'],91-97,,,,,,,,https://bit.ly/2OqApQI,,,,,,,,
