,event_title,eprintid,event_location,subjects,abstract,status_changed,eprint_status,event_type,rev_number,metadata_visibility,official_url,title,event_dates,divisions,contact_email,type,dir,creators,datestamp,lastmod,userid,full_text_status,uri,refereed,ispublished,documents,pres_type,completion_time,funders,pedagogic_type,skill_areas,corp_creators,publication,publisher,date_type,contributors,keywords,referencetext,pagerange,succeeds,volume,number,issn,output_media,id_number,note,book_title,place_of_pub,related_url
0,"The 1st Universitas Lampung International Conference on Science, Technology and Environment 2020",26115,"Radisson Hotel Main Hall, Bandar Lampung, Indonesia",['TA'],"Train is one of transportation mode is increasingly polular ini Indonesia nowdays, although in developed countries this transportation has long been a very advanced mode of mass transportation. Problems due to railroad tracks adjacent to densely populated settlements cannot be avoided. Problems such as noise levels can interfere with the health and comfort of the environment, vibrations in the surrounding environment due to passing trains cause some damage to civilian buildings such as residents' houses and high rise buildings as well. This field study shows the potential problem due to mass train loading (Babaranjang) in Bandar Lampung.",2020-11-19 11:37:26,archive,conference,10,show,https://ulicoste.unila.ac.id/home,Vibration Problem due to Railway Loading,18-19 November 2020,['FT4'],fikri.alami@eng.unila.ac.id,conference_item,disk0/00/02/61/15,"[{'id': 'fikri.alami@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'ALAMI', 'lineage': None, 'given': 'FIKRI'}}, {'id': None, 'name': {'lineage': None, 'family': 'Afriani', 'honourific': None, 'given': 'Lusmeilia'}}]",2020-11-19 11:37:26,2020-11-19 11:37:26,399,public,http://repository.lppm.unila.ac.id/id/eprint/26115,TRUE,submitted,"[{'files': [{'fileid': 235513, 'mime_type': 'application/pdf', 'mtime': '2020-11-18 15:27:50', 'hash_type': 'MD5', 'filename': 'Vibration_Railway_Loading.pdf', 'hash': '22f03e3013c0d9c0b6671a08b20c5638', 'datasetid': 'document', 'filesize': 996541, 'objectid': 39955, 'uri': 'http://repository.lppm.unila.ac.id/id/file/235513'}], 'main': 'Vibration_Railway_Loading.pdf', 'docid': 39955, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39955', 'rev_number': 2, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 26115, 'content': 'submitted', 'mime_type': 'application/pdf', 'language': 'en'}, {'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 26115, 'security': 'public', 'placement': 2, 'format': 'text', 'pos': 2, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39956', 'main': 'Vibration_Railway_Loading.pdf', 'docid': 39956, 'files': [{'objectid': 39956, 'uri': 'http://repository.lppm.unila.ac.id/id/file/235517', 'fileid': 235517, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-11-18 15:34:58', 'hash': '22f03e3013c0d9c0b6671a08b20c5638', 'filename': 'Vibration_Railway_Loading.pdf', 'datasetid': 'document', 'filesize': 996541}]}]",paper,,,,,,,,,,,,,,,,,,,,,,
1,,2534,,['TA'],,2017-06-02 07:42:51,archive,,7,show,,Manual Autocad 2D,,['FT4'],,teaching_resource,disk0/00/00/25/34,"[{'name': {'given': 'FIKRI', 'honourific': None, 'family': 'ALAMI', 'lineage': None}, 'id': 'fikri.alami@eng.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Khotimah', 'honourific': None, 'given': 'Siti Nurul'}, 'id': 'unun_salim2@yah00.com'}]",2017-06-02 07:42:51,2017-06-02 07:42:51,270,public,http://repository.lppm.unila.ac.id/id/eprint/2534,,unpub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/2418', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'filename': 'Manual AutoCAD 2D.pdf', 'hash': '6f59d3988760b5b3c9a18c4c2152c295', 'hash_type': 'MD5', 'mtime': '2017-05-31 07:14:44', 'mime_type': 'application/pdf', 'fileid': 17526, 'filesize': 1396705, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/17526', 'objectid': 2418}], 'docid': 2418, 'main': 'Manual AutoCAD 2D.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 2534}]",,2017.0,['Mandiri'],,,,,,,,,,,,,,,,,,,,
2,,2522,,['TA'],"Sap2000 menghadirkan software yang paling user friendly dari seri komputer
program SAP. Ini adalah versi pertama secara lengkap tergabung dalam Microsoft
windows. Versi ini tersedia saat ini sudah mencapai versi 12.
Program ini disusun untuk mendukung variasi yang luas dari kode desain nasional
dan internasional yang terakhir untuk desain yang diotomisasi dan pemeriksaan
rangka beton dan baja. Program ini sekarang mendukung kode desain beton sbb:
• US. ACI 318‐95 (1995) dan AASHTO LRFD (1997)
• Cannadian CSA‐A23.3‐94 (1994)
• British BS 8110‐85 (1989)
• Eurocode 2 ENV 1992‐1‐1 (1992) dan
• New Zealand NZS 3101‐95 (1995)
Program ini sekarang mendukung kode desain baja sbb:
• U.S. AISC/ASD (1989), AISC/LRFD (1994), AASHTO LRFD (1997)
• Canadian CAN/CSA‐S16.1‐94 (1994)
• British BS 5950 (1990) dan
• Eurocode 3 (ENV 1993‐1‐1)",2017-07-20 08:54:23,archive,,7,show,,Manual Structural Analysis Program (SAP) 2000,,['FT4'],,teaching_resource,disk0/00/00/25/22,"[{'id': 'fikri.alami@eng.unila.ac.id', 'name': {'given': 'FIKRI', 'family': 'ALAMI', 'honourific': None, 'lineage': None}}, {'id': 'unun_salim2@yah00.com', 'name': {'family': 'Khotimah', 'honourific': None, 'lineage': None, 'given': 'Siti Nurul'}}]",2017-07-20 08:54:23,2017-07-20 08:54:23,270,none,http://repository.lppm.unila.ac.id/id/eprint/2522,,unpub,,,2017.0,['Mandiri'],presentation,,,,,,,,,,,,,,,,,,,
3,,2530,,['TA'],"Sap2000 menghadirkan software yang paling user friendly dari seri komputer
program SAP. Ini adalah versi pertama secara lengkap tergabung dalam Microsoft
windows. Versi ini tersedia saat ini sudah mencapai versi 12.
Program ini disusun untuk mendukung variasi yang luas dari kode desain nasional
dan internasional yang terakhir untuk desain yang diotomisasi dan pemeriksaan
rangka beton dan baja. Program ini sekarang mendukung kode desain beton sbb:
• US. ACI 318‐95 (1995) dan AASHTO LRFD (1997)
• Cannadian CSA‐A23.3‐94 (1994)
• British BS 8110‐85 (1989)
• Eurocode 2 ENV 1992‐1‐1 (1992) dan
• New Zealand NZS 3101‐95 (1995)
Program ini sekarang mendukung kode desain baja sbb:
• U.S. AISC/ASD (1989), AISC/LRFD (1994), AASHTO LRFD (1997)
• Canadian CAN/CSA‐S16.1‐94 (1994)
• British BS 5950 (1990) dan
• Eurocode 3 (ENV 1993‐1‐1)",2017-06-02 07:44:04,archive,,7,show,,Manual Structural Analysis Program (SAP) 2000,,['FT4'],,teaching_resource,disk0/00/00/25/30,"[{'id': 'fikri.alami@eng.unila.ac.id', 'name': {'given': 'FIKRI', 'lineage': None, 'family': 'ALAMI', 'honourific': None}}, {'name': {'family': 'Khotimah', 'honourific': None, 'lineage': None, 'given': 'Siti Nurul'}, 'id': 'unun_salim2@yah00.com'}]",2017-06-02 07:44:04,2017-06-02 07:44:04,270,public,http://repository.lppm.unila.ac.id/id/eprint/2530,,unpub,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/2412', 'rev_number': 1, 'main': 'ManualSAP2000-2017.pdf', 'docid': 2412, 'files': [{'hash_type': 'MD5', 'mtime': '2017-05-31 07:11:25', 'hash': '9c8f1bedf354471b926ab2d7d607d455', 'filename': 'ManualSAP2000-2017.pdf', 'fileid': 17500, 'mime_type': 'application/pdf', 'filesize': 2216416, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/17500', 'objectid': 2412}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 2530, 'placement': 1, 'security': 'public'}]",,2017.0,['Mandiri'],,['Computer'],,,,,,,,,,,,,,,,,,
4,,32086,,['TA'],Sertifikat Bimtek Pengelola Jurnal,2021-06-05 11:41:22,archive,,6,show,,Sertifikat Bimtek Pengelola jurnal menggunakan ojs 3,,['FT4'],,article,disk0/00/03/20/86,"[{'name': {'honourific': None, 'family': 'Afriani', 'lineage': None, 'given': 'Lusmeilia'}, 'id': 'lusmelia.afriani@eng.unila.ac.id'}]",2021-06-05 11:41:22,2021-06-05 11:41:22,808,public,http://repository.lppm.unila.ac.id/id/eprint/32086,TRUE,pub,"[{'eprintid': 32086, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'docid': 145424, 'main': 'LA._2_2021.pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 379738, 'hash': '88e72f41c2e59d3c0366ff09e9f59908', 'filename': 'LA._2_2021.pdf', 'mtime': '2021-06-05 04:16:54', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 551141, 'objectid': 145424, 'uri': 'http://repository.lppm.unila.ac.id/id/file/379738'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/145424'}]",,,,,,['universitas lampung'],JKPM,,,,,,,,,,,,,,,,
5,,32085,,['TA'],Sertifikat Webinar,2021-06-05 11:41:18,archive,,7,show,,Webinar Himpenindo Jateng 2021 Seri 01,,['FT4'],,other,disk0/00/03/20/85,"[{'name': {'lineage': None, 'family': 'Afriani', 'honourific': None, 'given': 'Lusmeilia'}, 'id': 'lusmelia.afriani@eng.unila.ac.id'}]",2021-06-05 11:41:18,2021-06-05 11:41:18,808,public,http://repository.lppm.unila.ac.id/id/eprint/32085,,pub,"[{'eprintid': 32085, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'docid': 145423, 'main': 'LA._1_2021.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/379732', 'objectid': 145423, 'mtime': '2021-06-05 04:11:27', 'hash_type': 'MD5', 'hash': '6247550be6ebae7788f2614c2057ba4d', 'filename': 'LA._1_2021.pdf', 'fileid': 379732, 'mime_type': 'application/pdf', 'filesize': 472174, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/145423'}]",,,,,,['universitas lampung'],,himpenindo jateng,,,,,,,,,,,,,,,
6,,19610,,['TA'],,2020-05-15 02:50:18,archive,,7,show,,similarity,,['FT4'],,other,disk0/00/01/96/10,"[{'name': {'given': 'Ahmad', 'lineage': None, 'family': 'Ahmad Herison', 'honourific': None}, 'id': 'ahmadherison@yahoo.com'}]",2020-05-15 02:50:18,2020-05-15 02:50:18,686,public,http://repository.lppm.unila.ac.id/id/eprint/19610,,pub,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/32848', 'rev_number': 1, 'main': 'Coastal Conservation Strategy using Mangrove Ecology System Approach_Result.pdf', 'docid': 32848, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/163811', 'objectid': 32848, 'filesize': 192342, 'datasetid': 'document', 'hash': '4982b0083f23512d2ee3de2cc2301d79', 'filename': 'Coastal Conservation Strategy using Mangrove Ecology System Approach_Result.pdf', 'hash_type': 'MD5', 'mtime': '2020-05-13 21:07:54', 'mime_type': 'application/pdf', 'fileid': 163811}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 19610, 'placement': 1, 'security': 'public'}]",,,,,,,,International Journal Asian Journal of Scientific Research,,,,,,,,,,,,,,,
7,,38549,,['TA'],,2022-01-28 01:15:10,archive,,7,show,,Desain Dan Eksperimentasi Perancangan Sumur Resapan Air Hujan Berdasarkan Hasil Uji Permeabilitas Lapangan,,['FT4'],lusmeilia.afriani@yahoo.com,other,disk0/00/03/85/49,"[{'name': {'given': 'Akbar', 'lineage': None, 'family': 'Akbar Prima Rifai', 'honourific': None}}, {'name': {'family': 'Setyanto', 'honourific': None, 'lineage': None, 'given': 'Setyanto'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Lusmeilia Afriani', 'given': 'Lusmeilia'}}]",2022-01-28 01:15:10,2022-01-28 01:15:10,808,public,http://repository.lppm.unila.ac.id/id/eprint/38549,,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 38549, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159656', 'format': 'text', 'pos': 1, 'files': [{'objectid': 159656, 'uri': 'http://repository.lppm.unila.ac.id/id/file/436405', 'fileid': 436405, 'mime_type': 'application/pdf', 'mtime': '2022-01-27 17:43:06', 'hash_type': 'MD5', 'filename': '3. jurnal tidak terakreditasi (3).pdf', 'hash': 'c0ce2486a5d64e93dba09d81e04c8a31', 'datasetid': 'document', 'filesize': 1340818}], 'docid': 159656, 'main': '3. jurnal tidak terakreditasi (3).pdf'}]",,,,,,,,Jurnal Rekayasa Sipil Dan Disain  (JRSDD),published,,,,,,,,,,,,,,
8,,50257,,['TA'],"Curah hujan yangtinggidi sebagian besar wilayah Indonesia seringkali menyebabkan kejadian bencana banjir bandang dan tanah longsor.DiKecamatan Semaka,Bencanabanjir bandang danlongsor seringkali menimbulkan korban jiwa dan kerugian material yang besar.Bencanaini terus berulang setiap tahun karena belum optimalnyaupaya pengurangan risiko bencana.
Menurut Badan Penanggulangan Bencana Daerah Tanggamus, aliran debris dan banjir longsor terjadi tiga kali sepanjang tahun 2020 di Semaka, yakni pada 10 Januari, 5 Agustus, dan 30 September 2020. Longsor dan aliran debris inimerusak 483rumah dan sedikitnya 300 hektarladang pertanian. Fenomena aliran debris merupakan kejadian yang berulang karena upaya pengurangan risiko bencana belum optimal.Penelitianini bertujuan untuk menyediakan data/informasi survei lapangan, analisis hidrologi, investigasi geoteknik, dan teknik mitigasi untuk mengurangi risiko bencana.
Penelitian ini diawali dengan penyelidikan pendahuluan, survei lapangan, dan pengumpulan data. Penelitian ini bertujuan untuk menganalisis dan memperkirakan dampak risiko longsor dan aliran debris. Penelitian ini dilakukan untuk mengetahui mekanisme dan penyebab aliran debris, longsor yang mendahului, dan potensi bahaya aliran debris dan longsor di masa yang akan datang.
Berdasarkan hasil kajian dan analisis, longsor yang terjadi di sepanjang jalur aliran dikendalikan oleh kondisi geologi lapisan tanah dan batuan. Lapisan tanahnya terdiri dari lempung montmorillonit pada batuan dasar berupa breksi andesit yang sangat rentan bergerak bila dipicu oleh air. Longsor ini bergerak menuruni lereng menuju sungai dan berubah menjadi aliran debris yang membawa material longsor berupa tanah, bongkahan batu, pepohonan, dan air. Selain itu, longsor juga dapat menyumbat jalur aliran dan menjadi bendungan alam yang sewaktu-waktu berubah menjadi banjir cepat. Potensi longsor yang dapat berubah menjadi aliran debris atau banjir bandang memerlukan upaya mitigasi strukturalpada lereng yang tidak stabil.",2023-04-11 08:05:02,archive,,6,show,,"Analisis Potensi Dan Mitigasi Ancaman Banjir Aliran Debris Di Semaka, Kabupaten Tanggamus",,['FT4'],,article,disk0_bak/00/05/02/57,"[{'id': 'aminudin.syah@eng.unila.ac.id', 'name': {'given': 'Syah', 'lineage': None, 'family': 'Aminudin', 'honourific': None}}, {'id': None, 'name': {'given': 'Amril', 'lineage': None, 'family': 'Amril Maruf Siregar', 'honourific': None}}, {'name': {'lineage': None, 'family': 'Riki Chandra Wijaya', 'honourific': None, 'given': 'Riki'}, 'id': 'riki.chandra@eng.unila.ac.id'}]",2023-04-11 08:05:02,2023-04-11 08:05:02,2817,public,http://repository.lppm.unila.ac.id/id/eprint/50257,FALSE,unpub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 50257, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189957', 'docid': 189957, 'main': 'Laporan_Aminudin Syah_Teknik_PDP_Lap 2021-compressed.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2023-04-11 07:52:23', 'hash': '246d10b3953957d4c682e257bec6c2c8', 'filename': 'Laporan_Aminudin Syah_Teknik_PDP_Lap 2021-compressed.pdf', 'fileid': 542997, 'mime_type': 'application/pdf', 'filesize': 1258717, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/542997', 'objectid': 189957}]}]",,,,,,,Laporan Akhir Penelitian,,,,,,,,,,,,,,,,
9,,11433,,['TA'],"Labuhan Jukung Beach is one of the areas that has a large maritime tourism potential and includes a superior area in Pesisir Barat Regency. The purpose of this study was to find out the significant wave height and period at Labuhan Jukung Beach which resulted in damage to coastal buildings. The problem in this study is the high level of wave significance of Labuhan Jukung and the level of abrasion that occurred in the study area. The results of this study obtained the wave height at the prediction point with the ANN method, resulting in RMSE smaller than ANN and NLARX. Blue is the wind speed of point A, dark green indicates the wind speed of point B, the red indicates the wind speed of point C. Light green indicates the wind speed of point 1, the yellow indicates the point 2 wind speed, and magenta shows the point wind speed 3. Conclusion of this study wave height at point B is higher than points A and C, with Predictions using ANN method produces an average RMSE of 0.24, NLARX 0.16 and SMB 0.05.

Pantai Labuhan Jukung merupakan salah satu wilayah yang memiliki potensi pariwisata bahari yang besar dan termasuk kawasan unggulan di Kabupaten Pesisir Barat.    Tujuan kajian ini untuk mengetahui tinggi dan periode gelombang signifikan di Pantai Labuhan Jukung yang mengakibatkan kerusakan bangunan pantai. Masalah dalam kajian ini tingginya tingkat signifikasi gelombang Labuhan Jukung dan tingkat abrasi yang terjadi di daerah kajian. Hasil kajian ini didapat ketinggian gelombang pada titik prediksi dengan metode JST, menghasilkan RMSE lebih kecil dari ANN dan NLARX. Biru adalah kecepatan angin titik A, hijau gelap menunjukkan kecepatan angin titik B, warna merah menunjukkan kecepatan angin titik C. hijau muda menunjukkan kecepatan angin titik 1, warna kuning menunjukkan kecepatan angin titik 2, dan magenta menunjukkan kecepatan angin titik 3. Kesimpulan kajian ini ketinggian gelombang di titik B lebih tinggi dibandingkan dengan titik A dan C, dengan Prediksi menggunakan metode JST menghasilkan RMSE rata-rata 0,24, NLARX 0,16 dan SMB 0,05.",2019-05-02 04:04:35,archive,,8,show,,KAJIAN GELOMBANG DI PANTAI LABUHAN JUKUNG DENGAN METODE SVERDRUV MUNK BRETSCNEIDER (SMB),,['FT4'],ahmadherison@yahoo.com,article,disk0/00/01/14/33,"[{'id': None, 'name': {'given': 'andi', 'lineage': None, 'honourific': None, 'family': 'Andi marcelino'}}, {'id': 'ahmadherison@yahoo.com', 'name': {'given': 'ahmad', 'lineage': None, 'family': 'Ahmad Herison', 'honourific': None}}]",2019-05-02 04:04:35,2019-05-02 04:04:35,686,public,http://repository.lppm.unila.ac.id/id/eprint/11433,FALSE,submitted,"[{'main': 'Gmail - [JATS] Submission Acknowledgement.pdf', 'docid': 24437, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/103920', 'objectid': 24437, 'filename': 'Gmail - [JATS] Submission Acknowledgement.pdf', 'hash': 'd23c16a1fd816f2a87f0ef648f062540', 'hash_type': 'MD5', 'mtime': '2019-04-30 08:31:39', 'mime_type': 'application/pdf', 'fileid': 103920, 'filesize': 68816, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24437', 'rev_number': 1, 'eprintid': 11433, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",,,,,,['jurnal aplikasi teknik sipil universitas lampung'],Jurnal Aplikasi Teknik Sipil,,,"[{'name': {'honourific': None, 'family': 'Andi Marcelino', 'lineage': None, 'given': 'andi'}, 'id': None}, {'name': {'given': 'ahmad', 'lineage': None, 'family': 'ahmad herison', 'honourific': None}, 'id': 'ahmadherison@yahoo.com'}]",": Pantai Labuhan Jukung, gelombang, abrasi, fenomena, wisata","Aisjah et al. 2016. Sverdruv Munk Bretschneider Modification (SMB) for Significant Wave Height Prediction in Java Sea. Surabaya: British Journal of Applied Science & Technology. Vol 16(2):1-8.

Akhir, B. dan Mas M. 2011. Lintasan Gelombang Laut Menuju Pelabuhan Pulau Baai Bengkulu. Jurnal Rekayasa Sipil vol. 7 no. 2, Oktober 2011: 47-59 hlm, ISSN: 1858 – 2133.

Amanda Dhea. 2106. Tentang Review Drone.Bandar Lampung.

Bambang Triatmodjo, 1999, Teknik Pantai, Beta Offset, Yogyakarta.

CERC ( Coastal Engineering Research Center). 1984. Shore Protection Manual. US Army Coastal Engineering Research Center., Washington (SPM, 1984).

Dahuri R, Rais Y, Putra S, G, Sitepu, M.J, 2001.Pengelolaan Sumber Daya Pesisir dan Lautan secara Terpadu. Jakarta: Pradnya Paramita.

Desi et al.2015. Dinamika Transformasi Gelombang Menggunakan Model Cms-Wave (Coastal Modelling System - Wave) di Pantai Boom Tuban, Jawa Timur. Surabaya: Jurnal Oseanografi. Vol 4(1).

Dinas SosialPesisir Barat. 2012. Buku Profil Desa Kampung Jawa Tahun 2012. Pesisir Barat: Dinas Sosial 

Eritha et al.2015. Kajian Refraksi Gelombang Di Perairan Ujung Pangkah Kabupaten Gresik, Jawa Timur. Surabaya: Jurnal Oseanografi. Vol 4(2).

Fathoni, Abdurrahmat. 2006. Metodelogi Penelitian dan Teknik Penyusunan Skripsi. Jakarta: Rineka Cipta.

Gunawan et al.2017.Analisis Spektrum Gelombang Berarah Di Perairan Karimunjawa, Kabupaten Jepara. Surabaya: Jurnal Oseanografi. Vol 6(2): 1-9.

Hutabarat, S. dan S.M. Evans. 1984. Pengantar Oseanografi. Universitas Indonesia Press. Jakarta.

Hylmi Syahabuddin. 2016. Cara Kerja GPS dan Google Map. Lampung

Pranoto, S. 2007. Prediksi Perubahan Garis Pantai Menggunakan Model Genesis. Berkala Ilmiah Teknik Keairan Vol. 13, No.3– Juli 2007, ISSN 0854-4549.

Putri, S.A. 2013, “Analisis Willingness To Pay Masyarakat Terhadap Air Bersih Di Kawasan Perumahan XYZ Kotamadya Bogor”, Skripsi, Institut Pertanian Bogor, Bogor.

Rencana Induk Pengembangan Parwisata (RIPPDA)Kabupaten Pesisir Barattahun 2015.

Sugiyono. 2009. Metode Penelitian Kuantitatif Kualitatif dan R&D. CV Alfabeta, Bandung.

Surat Keputusan Bupati Pesisir Barat Nomor: B.030/272/KPTS/III. 13/2015Tentang Penetapan Status Penggunaan Barang Milik Daerah Kabupaten PesisirBarat pada Dinas Pariwisata Dan Ekonomi Kreatif.

Suryabrata, S. 1983. Metodologi Penelitian. Manajemen PT Rajagrafindo Persada, Jakarta.

Zhang Q, Ljung L. Multiple steps prediction with nonlinear ARX models: 2007.",,,,,,,,,,,
