,date_type,eprintid,subjects,status_changed,eprint_status,rev_number,metadata_visibility,title,divisions,type,dir,date,id_number,patent_applicant,creators,datestamp,lastmod,userid,uri,full_text_status,ispublished,documents,book_title,refereed,publisher,abstract,pagerange,number,issn,publication,volume,contact_email,funders,corp_creators,pres_type,event_title,event_type,place_of_pub,monograph_type,pages,event_location,event_dates,isbn
0,published,28709,['K1'],2021-03-31 01:36:27,archive,7,show,"EC00201944352, Pencipta atas HKI berjudul Penyuluhan Hukum Perkawinan dan Perlindungan Atas Hak Anak Menurut Hukum Islam dan Hukum Negara di Desa Sidosari Kecamatan Natar Kabupaten Lampung Selatan",['FH1'],patent,disk0/00/02/87/09,2016-11-01 00:00:00.000000000,EC00201944352,LPPM UNILA,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">amnawaty@yahoo.com</font></font>'}]",2021-03-31 01:36:27,2021-03-31 01:36:27,955,http://repository.lppm.unila.ac.id/id/eprint/28709,public,pub,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42763', 'main': 'sertifikat_EC00201944352 no.pdf', 'docid': 42763, 'files': [{'fileid': 254706, 'mime_type': 'application/pdf', 'mtime': '2021-03-30 04:14:44', 'hash_type': 'MD5', 'hash': '1446f24b4b5ed4eebb41983eb84a1988', 'filename': 'sertifikat_EC00201944352 no.pdf', 'datasetid': 'document', 'filesize': 768686, 'objectid': 42763, 'uri': 'http://repository.lppm.unila.ac.id/id/file/254706'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 28709, 'security': 'public', 'placement': 1}]",,,,,,,,,,,,,,,,,,,,,
1,,28874,['K1'],2021-04-06 06:35:15,archive,7,show,Perlindungan Atas Hak Anak Muslim yang Lahir pada Perkawinan Tidak dicatat,['FH1'],book_section,disk0/00/02/88/74,2016-10-01 00:00:00.000000000,,,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">amnawaty@yahoo.com</font></font>'}]",2021-04-06 06:35:15,2021-04-06 06:35:15,955,http://repository.lppm.unila.ac.id/id/eprint/28874,public,pub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/42967', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'objectid': 42967, 'uri': 'http://repository.lppm.unila.ac.id/id/file/256231', 'fileid': 256231, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-04-06 02:34:35', 'filename': 'Perlindungan Atas Hak.pdf', 'hash': 'ad8befef8c3abec9172ef4cf9a2e4a74', 'datasetid': 'document', 'filesize': 542640}], 'docid': 42967, 'main': 'Perlindungan Atas Hak.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 28874}]",Perlindungan Atas Hak Anak Muslim yang Lahir pada Perkawinan Tidak dicatat,FALSE,Thafa Media Yogyakarta,Hasil Penilaian Sejawat Sebidang Sebidang atau Peer Review,,,,,,,,,,,,,,,,,
2,,17314,['K1'],2019-12-16 02:56:22,archive,6,show,Hak Perdata Anak dari Perkawinan Siri Pada Dua Sistem Hukum (Hukum Islam dan Hukum Indonesia),['FH1'],article,disk0/00/01/73/14,2016-11-01 00:00:00.000000000,,,"[{'name': {'given': 'S.H., M.H', 'lineage': None, 'honourific': None, 'family': 'Amnawaty'}, 'id': 'amnawaty@yahoo.com'}]",2019-12-16 02:56:22,2019-12-16 02:56:22,955,http://repository.lppm.unila.ac.id/id/eprint/17314,public,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30424', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/146562', 'objectid': 30424, 'filesize': 525183, 'datasetid': 'document', 'mtime': '2019-12-13 07:25:19', 'hash_type': 'MD5', 'filename': 'Review Amnawati Hak Perdata Anak dari Perkawinan Siri pada Dua .pdf', 'hash': 'fd0531c410a329cb7bfdb077ce273e7e', 'fileid': 146562, 'mime_type': 'application/pdf'}], 'main': 'Review Amnawati Hak Perdata Anak dari Perkawinan Siri pada Dua .pdf', 'docid': 30424, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 17314}]",,FALSE,Universitas Sang Bumi Ruwa Jurai Bandar Lampung,Hasil Penialain Sejawat Sebidang atau Peer Review,15-26,2.0,2502-1788,Ilmu Hukum Justicia Sains,2,,,,,,,,,,,,
3,published,4476,['KZ'],2017-11-16 02:53:14,archive,6,show,"THE ROLE OF THE GOVERNMENT OF BANDAR LAMPUNG CITY
IN THE MANAGEMENT AND DEVELOPMENT OF WASTEWATER
SYSTEM ON MICRO, SMALL AND MEDIUM ENTERPRISES (SMEs)",['FH1'],article,disk0/00/00/44/76,2016-11-02 00:00:00.000000000,ISBN :   978-602-0860-11-4,,"[{'name': {'lineage': None, 'family': 'Muhammad', 'honourific': None, 'given': 'Akib'}, 'id': 'muhammad.akib@fh.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Fathoni', 'honourific': None, 'given': 'Fathoni'}, 'id': 'fathoni@fh.unila.ac.id'}]",2017-11-16 02:53:14,2017-11-16 02:53:14,1069,http://repository.lppm.unila.ac.id/id/eprint/4476,public,pub,"[{'eprintid': 4476, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 17378, 'main': 'ShieldProceeding-2016.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/44327', 'objectid': 17378, 'filesize': 23708329, 'datasetid': 'document', 'mtime': '2017-11-03 09:24:03', 'hash_type': 'MD5', 'filename': 'ShieldProceeding-2016.pdf', 'hash': 'bab80d18eda9e4b4f9482c0af42298d5', 'fileid': 44327, 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17378', 'rev_number': 1}]",,TRUE,Post Graduate Program University of Lampung Institute of Research and Community Service,"This research seeks to examine how is The Role of Bandar Lampung City Government in the Management and Development of Domestic Wastewater System on Micro, Small and Medium Enterprises (SMEs). This role is based to Mandatory Government Affair, relating to Basic Service on field of public works and spatial planning, as referred to Law Number 23
Year 2014 on Local Government. It also related to mandatory government affair on field of cooperatives, small businesses, and medium, all of which as mandatory government affair. The focus of research is in the city of Bandar Lampung, especially on field of environmental management.  The  legal  issues  as  research  questions  are:  (1)  how  are  the  government functions  of  Bandar  Lampung  City in  the  management  and  development  of  wastewater systems for the SMEs? And (2) how are the regulations on the management and development of wastewater systems for the SMEs at sided with the small business sector?
This  type  of  research  is  the  legal  research.  In  order  to  strengthen  the  analysis, researcher is also collecting the material through a review of documents, and observations, especially related to the local environmental management in Bandar Lampung.
The results of the research to answer the first question of this research is a hypothesis that the government of Bandar Lampung should provide some sort of subsidies for SMEs. It needs to be done, because the SME sector will find it difficult to meet the environmental standards. To answer the second question, it is necessary to  codify local regulation that ensures  the  siding  of  local  governments  to  SMEs,  so  they  can  meet  the  required environmental quality standards.",155-161,,978-602-0860-114,Proceeding of International Conference 1st SHIELD 2016,,muhammad.akib@fh.unila.ac.id,['Post Graduate Program of University of Lampung; Institute of Research and Community Service'],"['Fakultas Hukum Universitas Lampung', 'Fakultas Hukum Universitas Lampung']",,,,,,,,,
4,,40066,['K1'],2022-03-10 04:23:15,archive,7,show,Aplication Of Islamic Economic Law Of Murbahah Funding In Islamic Banking,['FH1'],conference_item,disk0/00/04/00/66,1970-01-01 00:00:00.000002016,,,"[{'name': {'given': 'Nunung', 'lineage': None, 'family': 'Nunung Rodliyah', 'honourific': None}}]",2022-03-10 04:23:15,2022-03-10 04:23:15,786,http://repository.lppm.unila.ac.id/id/eprint/40066,public,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 40066, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/448104', 'objectid': 161360, 'filename': 'APLICATION.pdf', 'hash': '40b245b350f790e34369877bbde2ba77', 'hash_type': 'MD5', 'mtime': '2022-03-10 03:22:02', 'mime_type': 'application/pdf', 'fileid': 448104, 'filesize': 790242, 'datasetid': 'document'}], 'main': 'APLICATION.pdf', 'docid': 161360, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161360', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",,FALSE,,Hasil Penilaian Sejawat Sebidang atau Peer Review,,,,,,,,,other,"Icon-LBG 2016 The Third International Conference On Law, Business and Governance 2016,",conference,,,,,,
5,,40073,['K1'],2022-03-10 04:23:27,archive,8,show,Aplication Of Islamic Economic Law Of Murbahah Funding In Islamic Banking,['FH1'],conference_item,disk0/00/04/00/73,1970-01-01 00:00:00.000002016,,,"[{'name': {'given': 'Nunung', 'family': 'Nunung Rodliyah', 'honourific': None, 'lineage': None}}]",2022-03-10 04:23:27,2022-03-10 04:23:27,786,http://repository.lppm.unila.ac.id/id/eprint/40073,public,pub,"[{'main': 'APPLICATION OF ISLAMIC ECONOMIC LAW OF MURABAHAH FUNDING IN ISLAMIC BANKING.pdf', 'docid': 161367, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/448145', 'objectid': 161367, 'hash_type': 'MD5', 'mtime': '2022-03-10 03:56:48', 'hash': '2b57fa1e9c6385a43994de6901be3a77', 'filename': 'APPLICATION OF ISLAMIC ECONOMIC LAW OF MURABAHAH FUNDING IN ISLAMIC BANKING.pdf', 'fileid': 448145, 'mime_type': 'application/pdf', 'filesize': 1394580, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161367', 'eprintid': 40073, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",,FALSE,,Hasil Penilaian Sejawat Sebidang atau Peer Review,,,,,,,,,other,"Icon-LBG 2016 The Third International Conference On Law, Business and Governance 2016",conference,,,,,,
6,,17457,['K1'],2020-01-14 01:27:13,archive,7,show,Hart's Primary Rules di Lampung Barat,['FH1'],monograph,disk0/00/01/74/57,2016-10-01 00:00:00.000000000,,,"[{'id': 'rudy.1981@fh.unila.ac.id', 'name': {'given': 'Rudy', 'honourific': None, 'family': 'Rudy', 'lineage': None}}]",2020-01-14 01:27:13,2020-01-14 01:27:13,347,http://repository.lppm.unila.ac.id/id/eprint/17457,public,pub,"[{'files': [{'objectid': 30585, 'uri': 'http://repository.lppm.unila.ac.id/id/file/147681', 'fileid': 147681, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-01-03 02:17:21', 'filename': '11_SECANGKIR KOPI.pdf', 'hash': '99251e5ca38f99269b4b1cf373914afc', 'datasetid': 'document', 'filesize': 22860481}], 'main': '11_SECANGKIR KOPI.pdf', 'docid': 30585, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30585', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 17457, 'mime_type': 'application/pdf', 'language': 'en'}]",,,Panitia Lampung Post Publishing,,,,,,,,,,,,,Bandar Lampung,discussion_paper,13.0,,,
7,,17479,['K1'],2020-01-14 02:48:08,archive,7,show,Patways of Legislation Development in Indonesia: Evaluation of Past and Present Construction,['FH1'],conference_item,disk0/00/01/74/79,2016-11-01 00:00:00.000000000,,,"[{'id': 'rudy.1981@fh.unila.ac.id', 'name': {'given': 'Rudy', 'lineage': None, 'honourific': None, 'family': 'Rudy'}}]",2020-01-14 02:48:08,2020-01-14 02:48:08,347,http://repository.lppm.unila.ac.id/id/eprint/17479,public,pub,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30606', 'docid': 30606, 'main': 'rudy The Pathways of Legislation.pdf', 'files': [{'mtime': '2020-01-03 08:55:55', 'hash_type': 'MD5', 'filename': 'rudy The Pathways of Legislation.pdf', 'hash': 'a72e78f5bb17143d79b91a51b6a08367', 'fileid': 147817, 'mime_type': 'application/pdf', 'filesize': 8087674, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/147817', 'objectid': 30606}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 17479, 'security': 'public', 'placement': 1}]",,FALSE,,,,,,,,,,,paper,"Program Book State, Constitutionalism & Citizenship in Southeast Asia",conference,,,,Fakultas Hukum Universitas Jember,18-20 November 2016,
8,,17722,['K1'],2020-02-06 05:21:59,archive,7,show,Patways of Legislation Development in Indonesia: Evaluation of Past and Present Construction,['FH1'],conference_item,disk0/00/01/77/22,2016-11-18 00:00:00.000000000,,,"[{'name': {'given': 'Rudy', 'family': 'Rudy', 'honourific': None, 'lineage': None}, 'id': 'rudy.1981@fh.unila.ac.id'}]",2020-02-06 05:21:59,2020-02-06 05:21:59,347,http://repository.lppm.unila.ac.id/id/eprint/17722,public,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30840', 'pos': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'fileid': 149493, 'hash': 'd9fe2a0b950b4d33356cf0517ff26982', 'filename': 'peer view rudy patsways of legislation.pdf', 'mtime': '2020-01-29 02:47:40', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 128512, 'objectid': 30840, 'uri': 'http://repository.lppm.unila.ac.id/id/file/149493'}], 'docid': 30840, 'main': 'peer view rudy patsways of legislation.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 17722}]",,FALSE,,Hasil penilaian sejawat sebidang atau peer review,,,,,,,,,paper,"Program Book State, Constitutionalism & Citizenship in Southeast Asia",conference,,,,Fakultas Hukum Universitas Jember,18-20 November 2016,
9,,17844,['K1'],2020-02-06 05:21:36,archive,7,show,The Patways of Legislation Development in Indonesia: Evaluation of Past and Present Construction,['FH1'],conference_item,disk0/00/01/78/44,2016-11-01 00:00:00.000000000,,,"[{'name': {'lineage': None, 'family': 'Rudy', 'honourific': None, 'given': 'Rudy'}, 'id': 'rudy.1981@fh.unila.ac.id'}]",2020-02-06 05:21:36,2020-02-06 05:21:36,347,http://repository.lppm.unila.ac.id/id/eprint/17844,public,pub,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/150339', 'objectid': 30965, 'filesize': 3603683, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2020-01-31 06:56:31', 'filename': 'The Pathways of Legislation Development in Indonesia_ Evaluation of Past andPresent Construction.pdf', 'hash': '532b5207824655a85f69fc78f4ab1e9c', 'fileid': 150339, 'mime_type': 'application/pdf'}], 'main': 'The Pathways of Legislation Development in Indonesia_ Evaluation of Past andPresent Construction.pdf', 'docid': 30965, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30965', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 17844, 'language': 'en', 'mime_type': 'application/pdf'}]",,FALSE,,Hasil Check Similarity,,,,,,,,,paper,"Program Book State, Constitutionalism & Citizenship in Southeast Asia",conference,,,,,,
