,userid,lastmod,datestamp,ispublished,documents,full_text_status,uri,type,divisions,patent_applicant,creators,date,dir,id_number,eprint_status,status_changed,subjects,title,rev_number,metadata_visibility,eprintid,date_type,abstract,refereed,publisher,publication,book_title,pres_type,event_title,event_type,pagerange,event_location,event_dates,pages,issn,monograph_type,number,keywords,volume,official_url,related_url,succeeds
0,786,2021-04-30 01:12:30,2021-04-30 01:12:30,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 29772, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'filesize': 765658, 'mime_type': 'application/pdf', 'fileid': 263446, 'filename': 'sertifikat_EC00202046866-nunungR.pdf', 'hash': 'f8d17db5f8ab6f17167d3382cbea2cb1', 'mtime': '2021-04-29 03:06:27', 'hash_type': 'MD5', 'objectid': 43975, 'uri': 'http://repository.lppm.unila.ac.id/id/file/263446'}], 'main': 'sertifikat_EC00202046866-nunungR.pdf', 'docid': 43975, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43975', 'rev_number': 1, 'format': 'text', 'pos': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/29772,patent,['FH1'],LLPM UNILA,"[{'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">nunungradliyah@yahoo.com</font></font>'}]",2020-11-01 00:00:00.000000000,disk0/00/02/97/72,EC00202046866,archive,2021-04-30 01:12:30,['K1'],"'Abu-Lsmad Al-Palembani Siyaru-Lsalikin, Jus II BAB 2 (Kajian terhadap Wanita dan Perkawinan)",7,show,29772,submitted,,,,,,,,,,,,,,,,,,,,
1,786,2021-05-04 01:42:34,2021-05-04 01:42:34,pub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/65004', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/285359', 'objectid': 65004, 'mtime': '2021-05-03 07:25:10', 'hash_type': 'MD5', 'filename': 'reviewer nunung abu lsmad.pdf', 'hash': 'e0e0d39b8f3bc2daa4d25d4759a0a633', 'fileid': 285359, 'mime_type': 'application/pdf', 'filesize': 447530, 'datasetid': 'document'}], 'docid': 65004, 'main': 'reviewer nunung abu lsmad.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 29906}]",public,http://repository.lppm.unila.ac.id/id/eprint/29906,patent,['FH1'],LPPM UNILA,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">nunungradliyah@yahoo.com</font></font>', 'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",2020-11-01 00:00:00.000000000,disk0/00/02/99/06,EC00202046865,archive,2021-05-04 01:42:34,['K1'],"Abu-Lsmad Al-Palembani Siyaru-Lsalikin, Jus II BAB 2 (Kajian terhadap Wanita dan Perkawinan)",7,show,29906,submitted,Hasil Penilian Sejawat Sebidang atau Peer Review,,,,,,,,,,,,,,,,,,,
2,786,2021-04-30 01:12:02,2021-04-30 01:12:02,pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 29762, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43964', 'rev_number': 1, 'docid': 43964, 'main': 'sertifikat_EC00202038697-NunungR.pdf', 'files': [{'objectid': 43964, 'uri': 'http://repository.lppm.unila.ac.id/id/file/263373', 'datasetid': 'document', 'filesize': 765433, 'fileid': 263373, 'mime_type': 'application/pdf', 'mtime': '2021-04-29 02:50:46', 'hash_type': 'MD5', 'hash': 'f454004997e6b1906010e34366e7d6eb', 'filename': 'sertifikat_EC00202038697-NunungR.pdf'}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/29762,patent,['FH1'],LPPM UNILA,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">nunungradliyah@yahoo.com</font></font>', 'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",2020-10-01 00:00:00.000000000,disk0/00/02/97/62,EC00202038697,archive,2021-04-30 01:12:02,['K1'],Aplication Of Islamic Economic Law Of Murbahah Funding In Islamic Banking,7,show,29762,submitted,,,,,,,,,,,,,,,,,,,,
3,786,2021-05-04 01:42:08,2021-05-04 01:42:08,pub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/63710', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/pdf', 'fileid': 284011, 'hash': 'c8bac8616084cba2732b3bc1ca470e1f', 'filename': 'reviewer nunung aplication of islamic.pdf', 'hash_type': 'MD5', 'mtime': '2021-05-03 07:04:00', 'datasetid': 'document', 'filesize': 450602, 'objectid': 63710, 'uri': 'http://repository.lppm.unila.ac.id/id/file/284011'}], 'docid': 63710, 'main': 'reviewer nunung aplication of islamic.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 29897}]",public,http://repository.lppm.unila.ac.id/id/eprint/29897,patent,['FH1'],LPPM UNILA,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">nunungradliyah@yahoo.com</font></font>'}]",2020-10-01 00:00:00.000000000,disk0/00/02/98/97,EC00202038697,archive,2021-05-04 01:42:08,['K1'],Aplication Of Islamic Economic Law Of Murbahah Funding In Islamic Banking,7,show,29897,submitted,Hasil Penilaian Sejawat Sebidang atau Peer Review,,,,,,,,,,,,,,,,,,,
4,786,2021-11-04 09:03:34,2021-11-04 09:03:34,pub,"[{'docid': 155663, 'main': 'Aplication Of.pdf', 'files': [{'hash': 'fc7c7153ade6780c0e59ca5c452752f9', 'filename': 'Aplication Of.pdf', 'hash_type': 'MD5', 'mtime': '2021-11-04 03:55:29', 'mime_type': 'application/pdf', 'fileid': 409500, 'filesize': 1175330, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/409500', 'objectid': 155663}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/155663', 'rev_number': 1, 'eprintid': 34981, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/34981,patent,['FH1'],LPPM UNILA,"[{'name': {'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">nunungradliyah@yahoo.com</font></font>'}]",1970-01-01 00:00:00.000002020,disk0/00/03/49/81,EC00202038697,archive,2021-11-04 09:03:34,['K1'],Aplication Of Islamic Economic Law Of Murbahah Funding In Islamic Banking (haki),7,show,34981,published,,,,,,,,,,,,,,,,,,,,
5,786,2021-04-30 01:12:04,2021-04-30 01:12:04,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43965', 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 764946, 'mime_type': 'application/pdf', 'fileid': 263380, 'hash': '6a38118a3b2fe080830b4aca1cbb660e', 'filename': 'sertifikat_EC00202046369-nunungR.pdf', 'hash_type': 'MD5', 'mtime': '2021-04-29 02:52:52', 'objectid': 43965, 'uri': 'http://repository.lppm.unila.ac.id/id/file/263380'}], 'docid': 43965, 'main': 'sertifikat_EC00202046369-nunungR.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 29763}]",public,http://repository.lppm.unila.ac.id/id/eprint/29763,patent,['FH1'],LPPM UNILA,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">nunungradliyah@yahoo.com</font></font>'}]",2020-11-01 00:00:00.000000000,disk0/00/02/97/63,EC00202046369,archive,2021-04-30 01:12:04,['K1'],Aspek Hukum Perceraiaran dalam Kompilasi Hukum Islam,7,show,29763,submitted,,,,,,,,,,,,,,,,,,,,
6,786,2021-05-04 01:42:12,2021-05-04 01:42:12,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 29898, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/284167', 'objectid': 63860, 'filesize': 438042, 'datasetid': 'document', 'mtime': '2021-05-03 07:06:25', 'hash_type': 'MD5', 'hash': '7675f30ca4cfb2fc1a4638812b69327e', 'filename': 'reviewer nunung aspek hukum.pdf', 'fileid': 284167, 'mime_type': 'application/pdf'}], 'docid': 63860, 'main': 'reviewer nunung aspek hukum.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/63860', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",public,http://repository.lppm.unila.ac.id/id/eprint/29898,patent,['FH1'],LPPM UNILA,"[{'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">nunungradliyah@yahoo.com</font></font>'}]",2020-11-01 00:00:00.000000000,disk0/00/02/98/98,EC00202046369,archive,2021-05-04 01:42:12,['K1'],Aspek Hukum Perceraiaran dalam Kompilasi Hukum Islam,7,show,29898,submitted,Hasil Penilaian Sejawat Sebidang atau Peer Review,,,,,,,,,,,,,,,,,,,
7,786,2021-11-22 07:44:51,2021-11-22 07:44:51,pub,"[{'eprintid': 37058, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'docid': 157967, 'main': 'Aspek Hk. Perceraian.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/425129', 'objectid': 157967, 'filesize': 330648042, 'datasetid': 'document', 'mtime': '2021-11-22 06:49:12', 'hash_type': 'MD5', 'filename': 'Aspek Hk. Perceraian.pdf', 'hash': '1951ac4a38684230b5991b89bd6fe894', 'fileid': 425129, 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157967', 'rev_number': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/37058,patent,['FH1'],LPPM UNILA,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">nunungradliyah@yahoo.com</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}}]",1970-01-01 00:00:00.000002020,disk0/00/03/70/58,EC00202046369,archive,2021-11-22 07:44:51,['K1'],Aspek Hukum Perceraiaran dalam Kompilasi Hukum Islam,7,show,37058,published,,,,,,,,,,,,,,,,,,,,
8,147,2021-05-27 02:33:33,2021-05-27 02:33:33,pub,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/139729', 'rev_number': 1, 'main': 'Review Rohaini The Callenges.pdf', 'docid': 139729, 'files': [{'objectid': 139729, 'uri': 'http://repository.lppm.unila.ac.id/id/file/366937', 'datasetid': 'document', 'filesize': 398036, 'mime_type': 'application/pdf', 'fileid': 366937, 'hash': '2226fd716405ba38e29cf8b4190924f1', 'filename': 'Review Rohaini The Callenges.pdf', 'hash_type': 'MD5', 'mtime': '2021-05-27 02:29:31'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 30954, 'placement': 1, 'security': 'public'}]",public,http://repository.lppm.unila.ac.id/id/eprint/30954,article,['FH1'],,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rohaini.arifien81@gmail.com</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}}]",2020-07-01 00:00:00.000000000,disk0/00/03/09/54,,archive,2021-05-27 02:33:33,['K1'],The Challenges of Legal Protection on Traditional Cultural Expressions of Lampung,6,show,30954,,Hasil Penilaian Sejawat Sebidang atau Peer Review,FALSE,Fakultas Hukum Unila,Jurnal Fiat Justisia,,,,,,,,,,,,,,,,
9,147,2022-02-07 06:59:24,2022-02-07 06:59:24,pub,"[{'files': [{'objectid': 160366, 'uri': 'http://repository.lppm.unila.ac.id/id/file/440691', 'mime_type': 'application/pdf', 'fileid': 440691, 'filename': 'The Challenges of Legal Protection on Traditional Cultural Expressions of Lampung.pdf', 'hash': '19b99bf99a819879aa38fd550a11e12c', 'hash_type': 'MD5', 'mtime': '2022-02-07 04:46:45', 'datasetid': 'document', 'filesize': 2036643}], 'main': 'The Challenges of Legal Protection on Traditional Cultural Expressions of Lampung.pdf', 'docid': 160366, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160366', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 39071, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/39071,article,['FH1'],,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rohaini.arifien81@gmail.com</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}}]",1970-01-01 00:00:00.000002020,disk0/00/03/90/71,,archive,2022-02-07 06:59:24,['K1'],The Challenges of Legal Protection on Traditional Cultural Expressions of Lampung,6,show,39071,,Hasil Check Similarity,FALSE,Fakultas Hukum Unila,Jurnal Fiat Justisia,,,,,,,,,,,,,,,,
