,eprint_status,status_changed,subjects,abstract,title,rev_number,metadata_visibility,eprintid,lastmod,userid,datestamp,ispublished,publisher,documents,full_text_status,uri,refereed,type,divisions,publication,creators,dir,date,pagerange,pres_type,event_type,event_title,event_dates,event_location,pages,book_title,number,monograph_type,date_type,issn,volume,isbn,place_of_pub,institution
0,archive,2021-12-21 10:25:06,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Reviewe,An Analysis of the Death Penalty in Indonesia Criminal Law,6,show,37380,2021-12-21 10:25:06,836,2021-12-21 10:25:06,pub,Sriwijaya Law Review,"[{'docid': 158295, 'main': 'Reviewer Jrnl Scopus eddy.pdf', 'files': [{'datasetid': 'document', 'filesize': 694496, 'fileid': 427472, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-12-21 06:57:32', 'hash': '7a826d7da1ac04ad96f6e32becd53f6c', 'filename': 'Reviewer Jrnl Scopus eddy.pdf', 'objectid': 158295, 'uri': 'http://repository.lppm.unila.ac.id/id/file/427472'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158295', 'eprintid': 37380, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/37380,FALSE,article,['FH1'],Sriwijaya Law Review,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}}]",disk0/00/03/73/80,1970-01-01 00:00:00.000002017,,,,,,,,,,,,,,,,
1,archive,2021-12-24 07:34:07,['K1'],Hasil Chcek Similarity,An Analysis of the Death Penalty in Indonesia Criminal Law,6,show,37409,2021-12-24 07:34:07,836,2021-12-24 07:34:07,pub,SLRev,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158332', 'pos': 1, 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2021-12-24 00:51:53', 'filename': '44_116_2_PB.pdf', 'hash': '69342473a95013412b30b28daeb4c446', 'fileid': 427692, 'mime_type': 'application/pdf', 'filesize': 2300233, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/427692', 'objectid': 158332}], 'docid': 158332, 'main': '44_116_2_PB.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 37409}]",public,http://repository.lppm.unila.ac.id/id/eprint/37409,FALSE,article,['FH1'],Sriwijaya Law Review,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",disk0/00/03/74/09,2017-07-01 00:00:00.000000000,,,,,,,,,,,,,,,,
2,archive,2021-03-16 06:25:40,['K1'],,"The Criminal Law Enforcement Against Criminal Acts
Begal By Child Offenders",7,show,28432,2021-03-16 06:25:40,836,2021-03-16 06:25:40,pub,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/42480', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'objectid': 42480, 'uri': 'http://repository.lppm.unila.ac.id/id/file/252620', 'datasetid': 'document', 'filesize': 12810351, 'fileid': 252620, 'mime_type': 'application/pdf', 'mtime': '2021-03-16 01:53:25', 'hash_type': 'MD5', 'filename': 'Prosiding 2nd shield 2017.pdf', 'hash': '8267efd3bf5d8ef7fbf60707f26a6f68'}], 'docid': 42480, 'main': 'Prosiding 2nd shield 2017.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 28432}]",public,http://repository.lppm.unila.ac.id/id/eprint/28432,FALSE,conference_item,['FH1'],,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None}}]",disk0/00/02/84/32,2017-09-01 00:00:00.000000000,109-201,lecture,conference,Proceedings International Conference 2nd SHIELD 2017,,,,,,,,,,,,
3,archive,2021-03-24 07:35:14,['K1'],Hasil Check Similarity,"The Criminal Law Enforcement Against Criminal Acts
Begal By Child Offenders",7,show,28539,2021-03-24 07:35:14,836,2021-03-24 07:35:14,pub,,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42594', 'main': 'IJBEL24_538-2.pdf', 'docid': 42594, 'files': [{'datasetid': 'document', 'filesize': 1236190, 'mime_type': 'application/pdf', 'fileid': 253358, 'filename': 'IJBEL24_538-2.pdf', 'hash': 'e0820cce2735918dfeedbdd730570c96', 'hash_type': 'MD5', 'mtime': '2021-03-24 04:06:54', 'objectid': 42594, 'uri': 'http://repository.lppm.unila.ac.id/id/file/253358'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 28539, 'placement': 1, 'security': 'public'}]",public,http://repository.lppm.unila.ac.id/id/eprint/28539,FALSE,conference_item,['FH1'],,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}}]",disk0/00/02/85/39,1970-01-01 00:00:00.000002017,190-121,speech,conference,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Prosiding International Conference 2nd SHIELD 2017 Universitas Lampung</font></font>","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">18-20 September 2017</font></font>","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Bandar Lampung</font></font>",,,,,,,,,,
4,archive,2021-04-01 02:00:42,['K1'],Hasil Penilaian sejawat Sebidang atau Peer Review,"The Criminal Law Enforcement Against Criminal Acts
Begal By Child Offenders",7,show,28818,2021-04-01 02:00:42,836,2021-04-01 02:00:42,pub,,"[{'placement': 1, 'security': 'public', 'eprintid': 28818, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/255684', 'objectid': 42911, 'filesize': 552069, 'datasetid': 'document', 'hash': '4334c50984f4ee97e5019e43c6be2258', 'filename': 'The Criminal Law.pdf', 'hash_type': 'MD5', 'mtime': '2021-04-01 01:50:24', 'mime_type': 'application/pdf', 'fileid': 255684}], 'docid': 42911, 'main': 'The Criminal Law.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42911', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",public,http://repository.lppm.unila.ac.id/id/eprint/28818,FALSE,conference_item,['FH1'],,"[{'name': {'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",disk0/00/02/88/18,1970-01-01 00:00:00.000002017,,speech,conference,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Prosiding International Conference 2nd SHIELD 2017 Universitas Lampung</font></font>","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">18-20 September 2017</font></font>","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Bandar Lampung</font></font>",,,,,,,,,,
5,archive,2021-06-08 08:21:43,['K1'],Hasil Check Similarity,The Criminal Law Enforcement Against Criminal Acts Begal By Child Offenders,7,show,32317,2021-06-08 08:21:43,836,2021-06-08 08:21:43,pub,,"[{'files': [{'objectid': 146566, 'uri': 'http://repository.lppm.unila.ac.id/id/file/382431', 'datasetid': 'document', 'filesize': 4764244, 'mime_type': 'application/pdf', 'fileid': 382431, 'filename': 'The_Criminal_Law_Enforcement_Against_Criminal_Acts.pdf', 'hash': '94d302dbdb2786f4cd1aca7c92cdf87e', 'hash_type': 'MD5', 'mtime': '2021-06-08 08:12:56'}], 'docid': 146566, 'main': 'The_Criminal_Law_Enforcement_Against_Criminal_Acts.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/146566', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 32317, 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/32317,FALSE,conference_item,['FH1'],,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">maroniunila@gmail.com</font></font>', 'name': {'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",disk0/00/03/23/17,1970-01-01 00:00:00.000002017,,other,conference,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Prosiding Konferensi Internasional 2nd SHIELD 2017</font></font>",,,,,,,,,,,,
6,archive,2021-03-17 08:52:17,['K1'],,Dinamika Penegakan Hukum Pemerintahan Daerah,7,show,28439,2021-03-17 08:52:17,1065,2021-03-17 08:52:17,pub,AURA CV. Anugrah Utama Raharja Anggota IKAPAI,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 28439, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42487', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/pdf', 'fileid': 252674, 'hash': 'ed67f7c1d8d4846890754861ea8fd9eb', 'filename': 'Buku Dinamika Penegakan.pdf', 'mtime': '2021-03-17 01:04:32', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 703721, 'objectid': 42487, 'uri': 'http://repository.lppm.unila.ac.id/id/file/252674'}], 'docid': 42487, 'main': 'Buku Dinamika Penegakan.pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/28439,FALSE,book_section,['FH1'],,"[{'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",disk0/00/02/84/39,2017-09-01 00:00:00.000000000,,,,,,,128.0,Dinamika Penegakan Hukum Pemerintahan Daerah,,,,,,,,
7,archive,2021-03-29 09:04:08,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,Dinamika Penegakan Hukum Pemerintahan Daerah,7,show,28690,2021-03-29 09:04:08,1065,2021-03-29 09:04:08,pub,AURA CV. Anugrah Utama Raharja Anggota IKAPAI,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42745', 'rev_number': 1, 'docid': 42745, 'main': 'Reviewer Dinamika.pdf', 'files': [{'objectid': 42745, 'uri': 'http://repository.lppm.unila.ac.id/id/file/254549', 'datasetid': 'document', 'filesize': 251960, 'mime_type': 'application/pdf', 'fileid': 254549, 'hash': 'ac3748860c410de7028679b8b07c32e9', 'filename': 'Reviewer Dinamika.pdf', 'mtime': '2021-03-29 08:40:38', 'hash_type': 'MD5'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 28690, 'placement': 1, 'security': 'public'}]",public,http://repository.lppm.unila.ac.id/id/eprint/28690,FALSE,book_section,['FH1'],,"[{'name': {'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",disk0/00/02/86/90,2017-09-01 00:00:00.000000000,,,,,,,,Dinamika Penegakan Hukum Pemerintahan Daerah,128.0,,,,,,,
8,archive,2021-05-18 04:24:32,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,Dinamika Penegakan Hukum Pemerintahan Daerah,7,show,30181,2021-05-18 04:24:32,1065,2021-05-18 04:24:32,pub,AURA CV. Anugrah Utama Raharja Anggota IKAPI,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/135592', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 363835, 'fileid': 357806, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-05-18 04:18:22', 'filename': 'Dinamika Penegakan.pdf', 'hash': 'eb7c7c66e92401ce519354265b3bfd88', 'objectid': 135592, 'uri': 'http://repository.lppm.unila.ac.id/id/file/357806'}], 'main': 'Dinamika Penegakan.pdf', 'docid': 135592, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 30181}]",public,http://repository.lppm.unila.ac.id/id/eprint/30181,,monograph,['FH1'],,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None}}]",disk0/00/03/01/81,2017-09-01 00:00:00.000000000,,,,,,,,,,other,,,,,,
9,archive,2022-02-04 07:50:47,['K1'],,Dinamika Penegakan Hukum Pemerintahan Daerah,7,show,39006,2022-02-04 07:50:47,1065,2022-02-04 07:50:47,pub,AURA CV. Anugrah Utama Raharja Anggota IKAPAI,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 39006, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160264', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 160264, 'uri': 'http://repository.lppm.unila.ac.id/id/file/440114', 'datasetid': 'document', 'filesize': 12765852, 'mime_type': 'application/pdf', 'fileid': 440114, 'filename': 'Buku Dinamika Penegakan Prof. Yus ISBN Lengkap.pdf', 'hash': '6cef5ea186da3da2cb86a20c48ca9781', 'mtime': '2022-02-04 03:04:29', 'hash_type': 'MD5'}], 'main': 'Buku Dinamika Penegakan Prof. Yus ISBN Lengkap.pdf', 'docid': 160264}]",public,http://repository.lppm.unila.ac.id/id/eprint/39006,FALSE,book,['FH1'],,"[{'name': {'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",disk0/00/03/90/06,2017-09-01 00:00:00.000000000,,,,,,,,,,,,,,,,
