,refereed,uri,full_text_status,documents,publisher,ispublished,datestamp,lastmod,userid,dir,date,creators,publication,divisions,type,metadata_visibility,rev_number,title,abstract,subjects,status_changed,eprint_status,eprintid,pagerange,date_type,id_number,patent_applicant,book_title,isbn,place_of_pub,pages,monograph_type,institution,event_type,event_dates,event_title,event_location,pres_type,volume,issn,number,funders,contact_email,corp_creators,projects,official_url,related_url
0,FALSE,http://repository.lppm.unila.ac.id/id/eprint/28461,public,"[{'files': [{'datasetid': 'document', 'filesize': 2139422, 'fileid': 252829, 'mime_type': 'application/pdf', 'mtime': '2021-03-18 04:42:46', 'hash_type': 'MD5', 'hash': '7691a5b30e7afe23cd328edd9ab97134', 'filename': 'DIVERSITY_OF_EXISTENTIALISM_THEORY___PATTERNS_AND.pdf', 'objectid': 42509, 'uri': 'http://repository.lppm.unila.ac.id/id/file/252829'}], 'main': 'DIVERSITY_OF_EXISTENTIALISM_THEORY___PATTERNS_AND.pdf', 'docid': 42509, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42509', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 28461, 'mime_type': 'application/pdf', 'language': 'en'}]",KLIBEL,pub,2021-03-18 07:10:50,2021-03-18 07:10:50,1065,disk0/00/02/84/61,2015-08-01 00:00:00.000000000,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}}]","South East Asia Journal of Business, Ekonomics and Law",['FH1'],article,show,6,"Diversity of Existentialism Theory, Patterns and Its Reflection In Jurisprudence",Hasil Check Similarity,['K1'],2021-03-18 07:10:50,archive,28461,,,,,,,,,,,,,,,,,,,,,,,,
1,FALSE,http://repository.lppm.unila.ac.id/id/eprint/28462,public,"[{'main': 'Diversity.pdf', 'docid': 42510, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/252835', 'objectid': 42510, 'mtime': '2021-03-18 04:59:58', 'hash_type': 'MD5', 'hash': '01e602a7c8d3db107e5b5ec24574018f', 'filename': 'Diversity.pdf', 'fileid': 252835, 'mime_type': 'application/pdf', 'filesize': 744507, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42510', 'eprintid': 28462, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",KLIBEL,pub,2021-03-18 07:10:52,2021-03-18 07:10:52,1065,disk0/00/02/84/62,2015-08-01 00:00:00.000000000,"[{'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]","South East Asia Journal of Business, Ekonomics and Law",['FH1'],article,show,6,"Diversity of Existentialism Theory, Patterns and Its Reflection In Jurisprudence",,['K1'],2021-03-18 07:10:52,archive,28462,78-84,,,,,,,,,,,,,,,,,,,,,,,
2,FALSE,http://repository.lppm.unila.ac.id/id/eprint/28694,public,"[{'eprintid': 28694, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 42749, 'main': 'Reviewer Diversity of.pdf', 'files': [{'mtime': '2021-03-29 08:49:44', 'hash_type': 'MD5', 'hash': '42ad321d29e65458ed0c31861c3a9a27', 'filename': 'Reviewer Diversity of.pdf', 'fileid': 254576, 'mime_type': 'application/pdf', 'filesize': 277817, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/254576', 'objectid': 42749}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42749', 'rev_number': 1}]",KLIBEL,pub,2021-03-29 09:04:25,2021-03-29 09:04:25,1065,disk0/00/02/86/94,2015-08-01 00:00:00.000000000,"[{'name': {'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]","South East Asia Journal of Business, Ekonomics and Law",['FH1'],article,show,6,"Diversity of Existentialism Theory, Patterns and Its Reflection In Jurisprudence",Hasil Penilaian Sejawat Sebidang atau Peer Review,['K1'],2021-03-29 09:04:25,archive,28694,78-84,,,,,,,,,,,,,,,,,,,,,,,
3,FALSE,http://repository.lppm.unila.ac.id/id/eprint/39760,public,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 39760, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161036', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 663626, 'fileid': 445885, 'mime_type': 'application/pdf', 'mtime': '2022-02-23 03:49:22', 'hash_type': 'MD5', 'filename': 'DIVERSITY.pdf', 'hash': '7db3cc5765802d84696ceb9622527d7f', 'objectid': 161036, 'uri': 'http://repository.lppm.unila.ac.id/id/file/445885'}], 'main': 'DIVERSITY.pdf', 'docid': 161036}]",KLIBEL,pub,2022-02-23 07:25:37,2022-02-23 07:25:37,1065,disk0/00/03/97/60,1970-01-01 00:00:00.000002015,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}}]","South East Asia Journal of Business, Ekonomics and Law",['FH1'],article,show,6,"Diversity of Existentialism Theory, Patterns and Its Reflection In Jurisprudence",Hasil Penilaian Sejawat Sebidang atau Peer Review,['K1'],2022-02-23 07:25:37,archive,39760,,,,,,,,,,,,,,,,,,,,,,,,
4,,http://repository.lppm.unila.ac.id/id/eprint/28707,public,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/254685', 'objectid': 42761, 'filesize': 768445, 'datasetid': 'document', 'filename': 'sertifikat_EC00201854001.pdf', 'hash': '03f44c062f7fb7263dfea1a68baa3417', 'mtime': '2021-03-30 04:12:29', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 254685}], 'docid': 42761, 'main': 'sertifikat_EC00201854001.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42761', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 28707, 'mime_type': 'application/pdf', 'language': 'en'}]",,pub,2021-03-31 01:36:23,2021-03-31 01:36:23,955,disk0/00/02/87/07,2015-07-01 00:00:00.000000000,"[{'name': {'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">amnawaty@yahoo.com</font></font>'}]",,['FH1'],patent,show,7,"Pencipta atas HKI berjudul Reformasi Sistem Hukum Pencatatan Perkawinan bagi Warga Muslim dalam Rangka EC00201854001, Perlindungan Hukum Anak pada Perkawinan Hukum Anak pada Perkawinan Tidak Dicatat (Studi Kasus di Provinsi Lampung)",,['K1'],2021-03-31 01:36:23,archive,28707,,published,EC00201854001,LPPM UNILA,,,,,,,,,,,,,,,,,,,,
5,FALSE,http://repository.lppm.unila.ac.id/id/eprint/16103,public,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 16103, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29197', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/137926', 'objectid': 29197, 'hash': '4577e5fbd841866ab4377114fdfc6047', 'filename': 'Review Candra Dampak Politik Hukum.pdf', 'mtime': '2019-11-12 07:04:52', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 137926, 'filesize': 787415, 'datasetid': 'document'}], 'main': 'Review Candra Dampak Politik Hukum.pdf', 'docid': 29197}]",Fakultas Hukum Universitas Diponegoro Semarang,pub,2019-11-14 10:11:12,2019-11-14 10:11:12,366,disk0/00/01/61/03,2015-10-01 00:00:00.000000000,"[{'name': {'honourific': None, 'family': 'Candra Perbawati', 'lineage': None, 'given': 'Candra'}, 'id': 'perbawaticandra@yahoo.com'}]",Masalah-Masalah Hukum,['FH1'],article,show,6,"Dampak Politik Hukum Pertanahan Yang Belum Berspektif
HAM Bagi Masyarakat Hukum Adat di Mesuji Lampung",Hasil Penilaian Sejawat Sebidang atau Peer Review,['K1'],2019-11-14 10:11:12,archive,16103,,,,,,,,,,,,,,,,,,,,,,,,
6,FALSE,http://repository.lppm.unila.ac.id/id/eprint/16104,public,"[{'main': 'Review Candra Penegakan HAM di Era Globalisasi.pdf', 'docid': 29198, 'files': [{'objectid': 29198, 'uri': 'http://repository.lppm.unila.ac.id/id/file/137936', 'datasetid': 'document', 'filesize': 768981, 'fileid': 137936, 'mime_type': 'application/pdf', 'mtime': '2019-11-12 07:09:12', 'hash_type': 'MD5', 'hash': 'ad7d738a0ab8069bd41479ecf09206ca', 'filename': 'Review Candra Penegakan HAM di Era Globalisasi.pdf'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29198', 'eprintid': 16104, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",Fakultas Sayariah IAIN Raden Intan Lampung,pub,2019-11-14 10:11:15,2019-11-14 10:11:15,366,disk0/00/01/61/04,2015-12-01 00:00:00.000000000,"[{'name': {'given': 'Candra', 'honourific': None, 'family': 'Candra Perbawati', 'lineage': None}, 'id': 'perbawaticandra@yahoo.com'}]",Jurnal Al-Adalah,['FH1'],article,show,6,Penegakan Hak Asasi Manusia di Era Globalisasi Dalam Perspektis Hukum Islam,Hasil Penilaian Sejawat Sebidang atau Peer Review,['K1'],2019-11-14 10:11:15,archive,16104,,,,,,,,,,,,,,,,,,,,,,,,
7,FALSE,http://repository.lppm.unila.ac.id/id/eprint/22919,public,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 22919, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36468', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'filename': 'kingkin hukum perdata dalam berbagai perspektif.pdf', 'hash': '5661ad8eab069ca3232305618f6de14f', 'hash_type': 'MD5', 'mtime': '2020-07-01 07:11:31', 'mime_type': 'application/pdf', 'fileid': 210281, 'filesize': 1588058, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/210281', 'objectid': 36468}], 'main': 'kingkin hukum perdata dalam berbagai perspektif.pdf', 'docid': 36468}]",Harakindo Publishing Anggota IKAPAI,pub,2020-07-01 08:03:15,2020-07-01 08:03:15,975,disk0/00/02/29/19,2015-04-01 00:00:00.000000000,"[{'name': {'given': 'kingkin', 'lineage': None, 'family': 'Kingkin wahyuningdiah', 'honourific': None}}]",,['FH1'],book_section,show,7,Pembangunan Hukum Ekonomi dalam Rangka Integrasi Ekonomi Nasional Menuju Sistem Global,,['K1'],2020-07-01 08:03:15,archive,22919,83-104,,,,Hukum Perdata dalam Berbagai Perspektif,978-602-1689-71-4,,,,,,,,,,,,,,,,,,
8,FALSE,http://repository.lppm.unila.ac.id/id/eprint/17437,public,"[{'security': 'public', 'placement': 1, 'eprintid': 17437, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/147511', 'objectid': 30562, 'hash_type': 'MD5', 'mtime': '2019-12-30 01:25:00', 'hash': '839b4ed0bf6e2ababb3c2df150023ea8', 'filename': 'rudi natamihardja peranan piagam pembentukan wilayah.pdf', 'fileid': 147511, 'mime_type': 'application/pdf', 'filesize': 3562308, 'datasetid': 'document'}], 'docid': 30562, 'main': 'rudi natamihardja peranan piagam pembentukan wilayah.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30562', 'rev_number': 1, 'format': 'text', 'pos': 1}]",Indefth Publishing,pub,2020-02-03 02:26:22,2020-02-03 02:26:22,697,disk0/00/01/74/37,2015-02-01 00:00:00.000000000,"[{'name': {'family': 'Rudi Natamiharja', 'honourific': None, 'lineage': None, 'given': 'Rudi Natamiharja'}, 'id': 'rudi.natamiharja@unila.fh.ac.id'}]",,['FH1'],book_section,show,7,Peranan Piagam Pembentukan Wilayah Regional dalam rangka Penguatan terhadap Lingkungan Hidup (Studi terhadap Piagam Pembentukan Uni Eropa),,['K1'],2020-02-03 02:26:22,archive,17437,208-215,,,,Dinamika Hukum Islam,,,,,,,,,,,,,,,,,,,
9,FALSE,http://repository.lppm.unila.ac.id/id/eprint/17702,public,"[{'security': 'public', 'placement': 1, 'eprintid': 17702, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'filesize': 135116, 'datasetid': 'document', 'hash': '0572cf666bd557516af4fe2ebddada17', 'filename': 'peer review rudi peranan piagam.pdf', 'hash_type': 'MD5', 'mtime': '2020-01-28 00:37:07', 'mime_type': 'application/pdf', 'fileid': 149391, 'uri': 'http://repository.lppm.unila.ac.id/id/file/149391', 'objectid': 30824}], 'docid': 30824, 'main': 'peer review rudi peranan piagam.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30824', 'rev_number': 1, 'format': 'text', 'pos': 1}]",Indepth Publishing,pub,2020-02-03 02:29:50,2020-02-03 02:29:50,697,disk0/00/01/77/02,2015-02-01 00:00:00.000000000,"[{'name': {'family': 'Rudi Natamiharja', 'honourific': None, 'lineage': None, 'given': 'Rudi Natamiharja'}, 'id': 'rudi.natamiharja@unila.fh.ac.id'}]",,['FH1'],book_section,show,7,Peranan Piagam Pembentukan Wilayah Regional dalam rangka Penguatan terhadap Lingkungan Hidup (Studi terhadap Piagam Pembentukan Uni Eropa),Penilaian Sejawat Sebidang atau Peer Review,['K1'],2020-02-03 02:29:50,archive,17702,208-215,,,,Bookchapter,,,,,,,,,,,,,,,,,,,
