,type,divisions,creators,dir,userid,lastmod,datestamp,ispublished,documents,publisher,uri,full_text_status,eprintid,eprint_status,status_changed,subjects,title,rev_number,metadata_visibility,refereed,issn,publication,official_url,abstract,date_type,succeeds,contributors,volume,pagerange,number,related_url,corp_creators,event_type,event_title,pres_type,projects,funders
0,other,['FP17'],"[{'name': {'given': 'Kusuma', 'family': 'Adhianto', 'honourific': None, 'lineage': None}}]",disk0_bak/00/05/05/37,444,2023-04-15 13:33:11,2023-04-15 13:33:11,unpub,"[{'files': [{'hash_type': 'MD5', 'mtime': '2023-04-14 07:28:37', 'filename': 'Productivity and Quality of Pakchong-1 Hybrid Grass (Pennisetum Purpureum X Pennisetum Americanum) at Different Harvesting Ages and Fertilizer Levels,.pdf', 'hash': 'a9aba2b0d9a6ff63eb3c38558930c5d8', 'fileid': 545026, 'mime_type': 'application/pdf', 'filesize': 189170, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/545026', 'objectid': 190236}], 'docid': 190236, 'main': 'Productivity and Quality of Pakchong-1 Hybrid Grass (Pennisetum Purpureum X Pennisetum Americanum) at Different Harvesting Ages and Fertilizer Levels,.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190236', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 50537, 'language': 'en', 'mime_type': 'application/pdf'}]",Bukti Korespondensi KA,http://repository.lppm.unila.ac.id/id/eprint/50537,public,50537,archive,2023-04-15 13:33:11,['SF'],"Productivity and Quality of Pakchong-1 Hybrid Grass (Pennisetum Purpureum X Pennisetum Americanum) at Different Harvesting Ages and Fertilizer Levels,",7,show,,,,,,,,,,,,,,,,,,
1,other,['FP17'],"[{'name': {'family': 'Adhianto', 'honourific': None, 'lineage': None, 'given': 'Kusuma'}, 'id': '.'}, {'id': 'novita.herdiana@fp.unila.ac.id', 'name': {'given': 'Novita', 'family': 'Herdiana', 'honourific': None, 'lineage': None}}, {'id': None, 'name': {'given': 'Tiara', 'family': 'Nirmala', 'honourific': None, 'lineage': None}}]",disk0/00/01/48/02,444,2019-11-04 02:01:11,2019-11-04 02:01:11,inpress,"[{'eprintid': 14802, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 27928, 'main': 'artikel KENDALA PENGEMBANGAN AGRIBISNIS SAPI PERAH DI PROPINSI LAMPUNG.pdf', 'files': [{'datasetid': 'document', 'filesize': 88435, 'fileid': 127957, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-10-30 15:26:35', 'filename': 'artikel KENDALA PENGEMBANGAN AGRIBISNIS SAPI PERAH DI PROPINSI LAMPUNG.pdf', 'hash': '02c8fbf43bc5ebb297b989dc178cbf32', 'objectid': 27928, 'uri': 'http://repository.lppm.unila.ac.id/id/file/127957'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/27928', 'rev_number': 1}]",Jurusan Peternakan Unila,http://repository.lppm.unila.ac.id/id/eprint/14802,public,14802,archive,2019-11-04 02:01:11,['SF'],KENDALA PENGEMBANGAN AGRIBISNIS SAPI PERAH DI PROPINSI LAMPUNG,8,show,,,,,,,,,,,,,,,,,,
2,article,['FP17'],"[{'name': {'family': 'Adhianto', 'honourific': None, 'lineage': None, 'given': 'Kusuma'}, 'id': '.'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Muhtarudin', 'given': 'Muhtarudin'}, 'id': '.'}, {'id': '.', 'name': {'given': 'Yusuf', 'family': 'Widodo', 'honourific': None, 'lineage': None}}, {'id': '.', 'name': {'lineage': None, 'honourific': None, 'family': 'Liman', 'given': 'Liman'}}, {'id': None, 'name': {'honourific': None, 'family': 'Imam', 'lineage': None, 'given': 'Hidayat'}}]",disk0/00/00/39/42,444,2017-09-25 04:45:26,2017-09-25 04:45:26,pub,"[{'main': 'prosiding - artikel kusuma dkk.pdf', 'docid': 3798, 'files': [{'mime_type': 'application/pdf', 'fileid': 27589, 'hash': '975c1599c03153cc1e912b570d8e30ff', 'filename': 'prosiding - artikel kusuma dkk.pdf', 'mtime': '2017-09-20 01:28:26', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 669342, 'objectid': 3798, 'uri': 'http://repository.lppm.unila.ac.id/id/file/27589'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3798', 'eprintid': 3942, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",Program Studi Peternakan Fakultas Pertanian Universitas Sebelas Maret,http://repository.lppm.unila.ac.id/id/eprint/3942,public,3942,archive,2017-09-25 04:45:26,['SF'],Performa Sapi Potong yang Mendapatkan Ransum Limbah Kelapa Sawit,7,show,TRUE,978-602-50128-0-8,Prosiding Seminar Nasional Program Studi Peternakan  Fakultas Pertanian Universitas Sebelas Maret,https://semnaspeternakan.uns.ac.id/?schedConf=semnas_2016,"Penelitian bertujuan untuk mengetahui : 1) pengaruh pemberian ransum berbasis limbah kelapa sawit 
terhadap pertambahan bobot tubuh sapi potong; 2) pengaruh terbaik pemberian ransum berbasis limbah kelapa sawit
terhadap konsumsi ransum sapi potong; 3) pengaruh terbaik pemberian ransum berbasis limbah kelapa sawit
terhadap pertambahan bobot badan harian (PBBH). Penelitian ini dilaksanakan pada September--Desember 2015 di
Kandang Jurusan Peternakan, Fakultas Pertanian, Universitas Lampung. Penelitian ini menggunakan Rancangan Acak
Kelompok (RAK). Data hasil pengamatan dianalisis dengan sidik ragam. Hasil penelitian menunjukkan bahwa
pemberian ransum berbasis limbah kelapa sawit tidak berpengaruh nyata (P>0,05) terhadap jumlah konsumsi ransum
dan pertambahan bobot badan harian yang dihasilkan.",,,,,,,,,,,,,
3,other,['FP17'],"[{'id': 'akhmad.dakhlan@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Dakhlan', 'honourific': None, 'given': 'A.'}}, {'name': {'given': 'A.', 'lineage': None, 'family': 'Saputra', 'honourific': None}, 'id': None}, {'name': {'family': 'Hamdani', 'honourific': None, 'lineage': None, 'given': 'M Dima Iqbal'}, 'id': '.dima.iqbal@fp.unila.ac,id'}, {'id': 'Sulastri_sekar@yahoo.com', 'name': {'family': 'Sulastri', 'honourific': None, 'lineage': None, 'given': 'Sulastri'}}]",disk0_bak/00/04/76/35,811,2023-01-09 01:32:20,2023-01-09 01:32:20,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 47635, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'filename': 'Turnitin_Originality_Report_1351906110.pdf', 'hash': '1727a5099ac32c015593c565b1f129ed', 'mtime': '2022-02-02 02:46:28', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 521906, 'filesize': 114248, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/521906', 'objectid': 186702}], 'docid': 186702, 'main': 'Turnitin_Originality_Report_1351906110.pdf', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186702', 'format': 'text', 'pos': 1}, {'eprintid': 47635, 'placement': 2, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': '2020_AAVS_Akhmad Dakhlan_complete.pdf', 'docid': 186703, 'files': [{'datasetid': 'document', 'filesize': 1259631, 'fileid': 521907, 'mime_type': 'application/pdf', 'mtime': '2023-01-07 01:12:25', 'hash_type': 'MD5', 'filename': '2020_AAVS_Akhmad Dakhlan_complete.pdf', 'hash': '34fc241451245f54431e2532ac9abc6b', 'objectid': 186703, 'uri': 'http://repository.lppm.unila.ac.id/id/file/521907'}], 'pos': 2, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186703', 'rev_number': 1}, {'format': 'text', 'pos': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186704', 'rev_number': 1, 'main': 'Email history_2020.pdf', 'docid': 186704, 'files': [{'objectid': 186704, 'uri': 'http://repository.lppm.unila.ac.id/id/file/521909', 'fileid': 521909, 'mime_type': 'application/pdf', 'mtime': '2023-01-07 01:12:38', 'hash_type': 'MD5', 'hash': 'a93482dc79db2c75cbea4343c7f1ca64', 'filename': 'Email history_2020.pdf', 'datasetid': 'document', 'filesize': 4647533}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 47635, 'security': 'public', 'placement': 3}]",Nexus Academic Publishers,http://repository.lppm.unila.ac.id/id/eprint/47635,public,47635,archive,2023-01-09 01:32:20,['SF'],Regression Models and Correlation Analysis for predicting Body Weight of Female Ettawa Grade Goat Using Its Body Measurements,5,show,,,,,"This research aimed to analyse the correlation and regression model and also to find the best regression
model for predicting body weight of female Ettawa Grade (EG) goat using its body measurements. This research
used 41 female EG goat aged 3–4 years. The method used was a survey with data collection by census, all female
EG goats aged 3-4 years in research location were collected. Body weight (BW) data were regressed and correlated
to body measurements (body length = BL, chest girth = CG and shoulder height = SH) using linear and multiple
linear regression using R program. Pearson correlation was used to calculate correlation coefficient (r). Coefficient
of determination (R2), adjusted R2, residual standard error (RSE), Akaike information criterion (AIC), Bayesian
information criterion (BIC) and step wise regression analysis were used to analyse and find the best and parsimonious
model for predicting BW. The results showed that body measurements had positive correlation with the BW, which
CG had the highest correlation (0.838); followed by BL (0.744) and SH (0.543). Results also showed that CG was
the best predictor for BW compared to BL and SH if using single predictor. Combination of CG and BL resulted in
the fittest prediction of BW with model regression BW = -67.86 + 0.87*CG + 0.51*BL with the highest correlation
coefficient (r = 0.87), R2 (0.76), adjusted R2 (0.75) and the lowest RSE (2.795), AIC (205.51) and BIC (212.36). The
results of this study suggested that CG and BL could be used as predictor for body weight and as indicator of indirect
selection to improve genetic merit in body weight of EG goat.
Keywords | Ettawa grade goat, Correlation and regression model analysis, Body weight, Body Measurements",published,38844.0,"[{'id': 'akhmad.dakhlan@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Dakhlan', 'lineage': None, 'given': 'Akhmad'}}, {'id': None, 'name': {'honourific': None, 'family': 'Saputra', 'lineage': None, 'given': 'Angga'}}, {'id': 'dima.iqbal@fp.unila.ac,id', 'name': {'given': 'Muhammad Dima Iqbal', 'family': 'Hamdani', 'honourific': None, 'lineage': None}}, {'id': 'Sulastri_sekar@yahoo.com', 'name': {'given': 'Sulastri', 'lineage': None, 'honourific': None, 'family': 'Sulastri'}}]",,,,,,,,,,
4,article,['FP17'],"[{'id': '.dima.iqbal@fp.unila.ac,id', 'name': {'family': 'Hamdani', 'honourific': None, 'lineage': None, 'given': 'M Dima Iqbal'}}, {'id': 'Sulastri_sekar@yahoo.com', 'name': {'family': 'Sulastri', 'honourific': None, 'lineage': None, 'given': 'Sulastri'}}, {'id': 'tri3rumiyani@gmail.com', 'name': {'lineage': None, 'family': 'Rumiyani', 'honourific': None, 'given': 'Tri'}}]",disk0/00/02/50/03,304,2020-11-12 02:16:01,2020-11-12 02:16:01,pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 25003, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38768', 'rev_number': 1, 'main': 'jurnal peternakan uin riau terakreditasi.pdf', 'docid': 38768, 'files': [{'objectid': 38768, 'uri': 'http://repository.lppm.unila.ac.id/id/file/226430', 'datasetid': 'document', 'filesize': 180610, 'fileid': 226430, 'mime_type': 'application/pdf', 'mtime': '2020-11-11 23:44:06', 'hash_type': 'MD5', 'filename': 'jurnal peternakan uin riau terakreditasi.pdf', 'hash': '785250a2e5d7c72a68ddad491bee1e97'}]}]",UIN Sultan Syarif Kasim Riau,http://repository.lppm.unila.ac.id/id/eprint/25003,public,25003,archive,2020-11-12 02:16:01,['S1'],"Performa Anak Hasil Persilangan antara Induk Sapi PO dengan  Bangsa
Pejantan yang Berbeda  di Wilayah Inseminasi Buatan (IB) di Kecamatan
Terbanggi Besar Kabupaten Lampung Tengah",6,show,TRUE,2355-9470,Jurnal Peternakan,http://ejournal.uin-suska.ac.id/index.php/peternakan/article/view/9279,"ABSTRACT

The research investigates to know performance of calf from Crossing between Peranakan Ongole (PO) dams with some of the bull at one years age. Located of research in Terbanggi Besar District, Central Lampung Regency. This research was doing in May until August 2018. Material of research are 30 head PO Cattle, 30 head Simmental><PO; 30 head Limousin><PO. Variable of research are body length, shoulder height, chest circumference and body weight. Qualitatif performance variables are colour of skin, type of head, type of face, hump, hides cattle, and horn type. Qualitative data analyzed by descriptive analysis, and quantitative data analyzed by t-test. The result of research showing calf qualitative performance has different in every bull. Body weight of cattle for each are PO cattle (248,36± 24,89kg); calf from Simmental><PO cattle (257,08± 27,88kg) and it’s showing significant different (P<0.05); calf from Limousin><PO cattle  (252,25± 32,51kg). The body measurment for each cattle showing variation.
Key word=Bull, Calf Performance, Peranakan Ongole Cattle, Cental Lampung",published,,,17,103-107,2.0,,,,,,,
5,article,['FP17'],"[{'name': {'given': 'Madi', 'lineage': None, 'family': 'Hartono', 'honourific': None}, 'id': 'madi.hartono@fp.unila.ac.id'}, {'id': None, 'name': {'given': 'Tintin', 'family': 'Kurtini', 'honourific': None, 'lineage': None}}]",disk0/00/00/67/54,787,2018-04-25 06:41:37,2018-04-25 06:41:37,pub,"[{'main': 'Jurnal MH Probiotik.pdf', 'docid': 19723, 'files': [{'filesize': 219603, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2018-04-19 13:28:53', 'hash': 'f79e7208db676ffdedae1f0b20ecef5d', 'filename': 'Jurnal MH Probiotik.pdf', 'fileid': 61976, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/61976', 'objectid': 19723}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19723', 'eprintid': 6754, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",Poloiteknik Negeri Lampung,http://repository.lppm.unila.ac.id/id/eprint/6754,public,6754,archive,2018-04-25 06:41:37,['SF'],"Pengaruh Pemberian Probiotik Terhadap Performa Ayam
Petelur",6,show,TRUE,1410-5020,Jurnal Penelitian Pertanian Terapan,http://www.jptonline.or.id,"This study was conducted to determine the effect of supplements probiotic on layer performance (consumption and   conversion ration, persentage hen day and egg weight).   This research was held on 21 July—24 August 2014 in the CV. Varia Agung Jaya  henhouse  laying  in  the  District  of  Seputih  Mataram,  Center  of  Lampung Regency. Local probiotic was made in Microbiology Laboratorium and Moleculer Biology Laboratorium, Faculty of MIPA, Lampung University.   The study used completely randomized design with  3 treatments (P1:  control ration, P2: control ration with local probiotic 3%, and P3: control ration with comercial probiotic 3%) and 6 replications.   Data obtained was analyzed using analysis of variance at 5% level and continued Duncan test at 5% level.  Based on the results we can conclude: the effect of treatments significant (P<0.05) on consumption and conversion ration, but no significant (P>0.05) on percentage of hen day and egg weight. Control ration significantly (P<0.05) with control ration with local probiotic 3% and control ration with comercial probiotic 3% on consumption and conversion ration, but no significant (P>0.05) on supplement probiotic.

Keywords: probiotics, performance, layer",published,,"[{'name': {'honourific': None, 'family': 'Hartono', 'lineage': None, 'given': 'Madi'}}]",Vol 15,214-219,3.0,[{'url': 'http://www.jptonline.or.id'}],['Universitas Lampung'],,,,,
6,article,['FP17'],"[{'name': {'honourific': None, 'family': 'Pramana', 'lineage': None, 'given': 'Weldi Adi'}}, {'name': {'family': 'Septinova', 'honourific': None, 'lineage': None, 'given': 'Dian'}}, {'name': {'lineage': None, 'family': 'Riyanti', 'honourific': None, 'given': 'Riyanti'}}, {'name': {'given': 'Ali', 'family': 'Husni', 'honourific': None, 'lineage': None}}]",disk0/00/00/98/23,495,2018-11-14 02:47:22,2018-11-14 02:47:22,pub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/22838', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 22838, 'uri': 'http://repository.lppm.unila.ac.id/id/file/92717', 'mime_type': 'application/pdf', 'fileid': 92717, 'filename': 'jrip - v 2 - 2 - pengaruh air kelapa.pdf', 'hash': 'f0062c3d0eb1bf2ed1a4d5ac1349d60c', 'hash_type': 'MD5', 'mtime': '2018-11-13 03:15:20', 'datasetid': 'document', 'filesize': 67157}], 'main': 'jrip - v 2 - 2 - pengaruh air kelapa.pdf', 'docid': 22838, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 9823}]","JURUSAN PETERNAKAN, FAKULTAS PERTANIAN,  UNIVERSITAS LAMPUNG",http://repository.lppm.unila.ac.id/id/eprint/9823,public,9823,archive,2018-11-14 02:47:22,['SF'],"PENGARUH AIR KELAPA HASIL FERMENTASI TERHADAP KUALITAS FISIK
DAGING BROILER",7,show,TRUE,2598-3067,Jurnal Riset dan Inovasi Peternakan,,"The purpose of the research was determined the effect of using coconut water fermentation on physical
quality of broiler meat.This research was conducted on March, 30th2018 at Production and Reproduction
of Laboratory, Department of Animal Husbandry, Faculty of Agriculture University of Lampung.The
materials of this research is used 20 pieces chest of broiler meat and coconut water fermentation. The
experimental design used was Completely Randomized Design (RAL) with 5 treatments and 4
replications.Treatment given in this research is P0 (without coconut water fermentation, P1 (coconut
water fermentation 25%), P2 (coconut water fermentation 50%),P3 (coconut water fermentation
75%),and P4 (coconut water fermentation 100%). The observed variables is value of pH, water holding
capacity (WHC), and cooking loss.The data obtained in this study was analyzed by using variance
analysis (ANOVA), the results of which have significant effect on continued test using Least Significance
Different (BNT). The results showed that use coconut water fermentation did not significant effect
(P>0,05) to WHC and cooking loss of broiler meat, but use coconut water fermentation at concentration
100% have significant effect on value of pH of broiler meat. The best value of broiler meat pH that is on
treatment of P4 (coconut water fermentation 100%) with average value that is 5,599.",,,,,,,,,,,,,
7,conference_item,['FP17'],"[{'name': {'given': 'Dian', 'honourific': None, 'family': 'Septinova', 'lineage': None}}]",disk0/00/00/55/15,495,2017-11-16 07:48:29,2017-11-16 07:48:29,pub,"[{'docid': 18454, 'main': 'dian-septinova-Prosiding_semnas_peternakan_UNS_2016.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/51752', 'objectid': 18454, 'mtime': '2017-11-14 14:04:43', 'hash_type': 'MD5', 'filename': 'dian-septinova-Prosiding_semnas_peternakan_UNS_2016.pdf', 'hash': '38e0b497b5b8ffd74e5031f43d5d10f4', 'fileid': 51752, 'mime_type': 'application/pdf', 'filesize': 312973, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18454', 'eprintid': 5515, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'content': 'published'}]",,http://repository.lppm.unila.ac.id/id/eprint/5515,public,5515,archive,2017-11-16 07:48:29,['SF'],Evaluasi Performan Puyuh Jantan Fase Grower yang Diberi Feed Aditif Berbahan Dasar Temulawak dan Kunyit,10,show,TRUE,978-062-50128-0-8,Prosiding Seminar Nasional Program Studi peternakan Fakultas Pertanian Universitas Sebelas Maret,,"Tujuan penelitian ini adalah: (1) mengetahui pengaruh penggunaan feed adtif berbahan dasar temulawak dan
kunyit dalam ransum terhadap performan puyuh jantan fase grower; (2) mengetahui level penggunaan feed aditif
berbahan dasar temulawak dan kunyit yang optimal untuk performan puyuh jantan fase grower.
Penelitian disusun dalam Rancangan Acak lengkap dengan 3 perlakuan dan 6 ulangan. Perlakuan terdiri dari: P1
(ransum komersil + 0,0% feed aditif), P2 (ransum komersil + 1,0% feed aditif); dan P3 (ransum komersil + 2,0% feed
aditif). Data yang diperoleh dianalisis ragam pada taraf nyata 5%, nyata dengan uji lanjut polinomial ortogonal. Hasil penelitian menunjukkan bahwa pemberian feed aditif berbahan dasar temulawak dan kunyit dalam ransum tidak
menyebabkan perubahan yang nyata terhadap konsumsi ransum, pertambahan bobot tubuh, konversi ransum, dan
bobot tubuh akhir puyuh jantan fase grower.
Kata kunci: temulawak, kunyit, performan, puyuh jantan",,,,,,,,,conference,Seminar nasional PS peternakan universitas sebelas maret,paper,,
8,article,['FP17'],"[{'id': None, 'name': {'honourific': None, 'family': 'Sodikin', 'lineage': None, 'given': 'Ali'}}, {'id': None, 'name': {'given': ',', 'lineage': None, 'honourific': None, 'family': 'Erwanto'}}, {'name': {'given': 'Kusuma', 'honourific': None, 'family': 'Adhianto', 'lineage': None}, 'id': '.'}]",disk0/00/00/14/54,444,2017-03-14 03:08:07,2017-03-14 03:08:07,pub,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/9851', 'objectid': 1327, 'hash': '5f4b8e42148a5b83894a9865340b846c', 'filename': '2016 ali erwanto kusuma.pdf', 'hash_type': 'MD5', 'mtime': '2017-03-12 03:14:07', 'mime_type': 'application/pdf', 'fileid': 9851, 'filesize': 598787, 'datasetid': 'document'}], 'docid': 1327, 'main': '2016 ali erwanto kusuma.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/1327', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 1454, 'language': 'en', 'mime_type': 'application/pdf'}]",Jurusan Peternakan Unila,http://repository.lppm.unila.ac.id/id/eprint/1454,public,1454,archive,2017-03-14 03:08:07,['SF'],PENGARUH PENAMBAHAN MULTI NUTRIENT SAUCE PADA RANSUM TERHADAP PERTAMBAHAN BOBOT BADAN HARIAN SAPI POTONG,6,show,TRUE,2303 1956,JURNAL ILMIAH PETERNAKAN TERPADU,,"Effect of Multi Nutrients Sauce (MNS) in ration of beef cattle on average daily gain (ADG) was studied on November 10th, 2015 up to December 09th, 2015 at Pulung Kencana village, Tulang Bawang Tengah, Subdistrict, Provinsi Tulang Bawang Barat.  The experimental design used was complete randomized block design with three treatments P0 (basal diet), P1 (basal diet + 10% MNS), and P2 (Unila diet + 10% MNS). Result of this research indicated that ADG of beef cattle for P0, P1, P2 was 1,28 kg/head/day; 1,56 kg/head/day; 1,26 kg/head/day, respectively. Average of ration consumption based on dry matter were 9,08 kg/head/day; 9,24 kg/head/day; 9,11 kg/head/day, respectively. Efficiency of ration were 0,1403±0,0180 kg weight/kg ration; 0,1687±0,0234 kg weight/kg ration; 0,1385±0,0271 kg weight/kg ration,  respectively. Income over feed cost (IOFC) were 2,76 ; 3,24 ; 3,18, respectively. It could be concluded that addition of 10% MNS in ration of beef cattle didn’t affect (P>0,05) on ADG, ration consumption, efficiency of ration, and IOFC.",,,,4,199-203,3.0,,,,,,,
9,article,['FP17'],"[{'name': {'given': 'Sulastri', 'lineage': None, 'family': 'Sulastri', 'honourific': None}, 'id': None}, {'id': None, 'name': {'lineage': None, 'family': 'Siswanto', 'honourific': None, 'given': 'Siswanto'}}, {'name': {'given': 'Kusuma', 'lineage': None, 'honourific': None, 'family': 'Adhianto'}, 'id': '.'}]",disk0/00/01/17/93,927,2019-05-08 07:26:25,2019-05-08 07:26:25,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 11793, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'filesize': 495129, 'fileid': 106235, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-05-06 07:44:04', 'hash': 'ab7caca28d58472be6fe30667887bffe', 'filename': 'AAVS_6_11_486-491Sulastrisiswantokusumaterbit.pdf', 'objectid': 24782, 'uri': 'http://repository.lppm.unila.ac.id/id/file/106235'}], 'docid': 24782, 'main': 'AAVS_6_11_486-491Sulastrisiswantokusumaterbit.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24782', 'format': 'text', 'pos': 1}]",Nexus Academic Publishers,http://repository.lppm.unila.ac.id/id/eprint/11793,public,11793,archive,2019-05-08 07:26:25,['SF'],"Genetic Parameter for Growth Performance of Saburai Goat in Tanggamus District, Lampung Province, Indonesia",8,show,TRUE,2307-8316,Advances in Animal and Veterinary Sciences,,"Abstract | Saburai goat was  local name crossbred Boer buck and Ettawa grade goat does. The main objectives of
this  study were to estimate heritability (h
2
), repeatability (r), and genetic correlation (r
) among body measurements
and body weight. Survey method were used to collect data 150 progenies. Variables observed at birth, weaning and
yearling were body weight (BW, WW,YW) body measurement, body height (BBH, WBH, YBH), body length (BBL,
WBL, YBL), chest circumference (BCC, WCC, YCC), hip height (BHH, WHH, YHH), ear length (BEL, WEL,
YEL), and ear width (BEW, WEW, YEW). The result indicated that h
2
g
 for performance at birth that was lowest were
BEW (0.07±0.02) and the highest were BHH (0.14±0.05), at weaning that was lowest were WEW (0.07±0.01), the
highest were WCC (0.17±0.00) and WHH (0.17±0.00), at yearling that were lowest were YEL (0.09±0,01) and YEW 
(0,09±0,02), the highest were YHH (0,19±0,06). Repeatability at birth that was lowest were BEL (0.10±0.02), the 
highest were BBH(0.16±0.01) and BHH(0.16±0.03), at weaning that was lowest were WEL (0.12±0.02) and WEW
(0.12 ±0.04), the highest were WBL (0.19±0.03), at yearling that was lowest were YEW (0.14±0.03), the highest were
YBH (0.22±0.09) and YBL (0.22±0.08). Genetic correlation at birth that was lowest were between BBW and BEW
(0.08±0.01), the highest between BBW and BCC (0.14±0.07), r
 at weaning that was lowest were between WBW
and WEW(0.10±0.03), the highest were between WBW and WCC (0.21±0.08), r
g
 at yearling that was lowest were
between YBW and YEW (0.08±0.01), the highest between YBW and YBL (0.19±0.08), between YBW and YCC
(0.19±0.07), between YBW and YHH (0.19±0.09). It could be concluded that body measurement can be used as
selection criteria to increase body weight. 
Keywords  | Saburai goat, Heritability, Repeatability, Genetic correlation, Body measurement",,,,6,486-491,,,['Universitas Lampung'],,,,,
