,refereed,uri,full_text_status,documents,publisher,ispublished,number,pagerange,datestamp,corp_creators,userid,lastmod,dir,date,issn,creators,publication,divisions,type,metadata_visibility,rev_number,volume,title,abstract,subjects,eprint_status,status_changed,date_type,eprintid,event_title,event_location,event_type,event_dates,official_url,funders,pres_type,referencetext,related_url,id_number,place_of_pub
0,TRUE,http://repository.lppm.unila.ac.id/id/eprint/28357,public,"[{'security': 'public', 'placement': 1, 'eprintid': 28357, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'mime_type': 'application/pdf', 'fileid': 252064, 'filename': '(8) HASIL PENILAIAN KARYA ILMIAH PERANAN PENGURUS BUM Pekon.pdf', 'hash': '172f09e0d6fd661ddab421f2b51db861', 'hash_type': 'MD5', 'mtime': '2021-03-14 07:38:19', 'datasetid': 'document', 'filesize': 2372236, 'objectid': 42396, 'uri': 'http://repository.lppm.unila.ac.id/id/file/252064'}], 'docid': 42396, 'main': '(8) HASIL PENILAIAN KARYA ILMIAH PERANAN PENGURUS BUM Pekon.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42396', 'rev_number': 1, 'format': 'text', 'pos': 1}]",Juruan Agribisnis Fakultas Pertanian Universitas Lampung,pub,2.0,214-221,2021-03-15 01:42:28,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",930,2021-03-15 01:42:28,disk0/00/02/83/57,2018-05-01 00:00:00.000000000,2337 7070,"[{'name': {'given': 'Bella', 'lineage': None, 'family': 'Aldila', 'honourific': None}}, {'name': {'given': 'Dewangga', 'family': 'Nikmatullah', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Tubagus', 'honourific': None, 'family': 'Hasanuddin', 'lineage': None}}]",Jurnal Ilmu-Ilmu Agribisnis,['FP26'],article,show,6,6.0,"FAKTOR-FAKTOR YANG BERHUBUNGAN DENGAN PERANAN PENGURUS BADAN USAHA MILIK PEKON DI PEKON GISTING BAWAH
Bella Aldila, Dewangga Nikmatullah, Tubagus Hasanuddin","Abstract

This research aimed to determine factors that related to the role of BUM Pekon Mandiri Bersatu manager, the changes of customer’s income before and after being a member of BUM Pekon Mandiri Bersatu, and obstacles were impression by BUM Pekon Mandiri Bersatu manager to carry out their duties. The research was conducted on Gisting Bawah Village of Gisting Subdistrict, Tanggamus Regency purposively. The samples of this research were 10 persons of BUM Pekon Mandiri Bersatu manager and 46 customers who is the members of BUM Pekon Mandiri Bersatu. The research data collection was conducted from March 2017 until April 2017. The research data was analyzed descriptively, by Rank Spearman and t test difference. The results showed that: there is definite relationship between human resource quality variable and work environment with the role of manager of BUM Pekon Mandiri Bersatu and there is no definite relationship between customers’ support and wage or salary with the role of manager of BUM Pekon Mandiri Bersatu; there is a change in the customers income level who are members’ of BUM Pekon Mandiri Bersatu between before and after being a members of BUM Pekon Mandiri Bersatu, and obstacles were impression by BUM Pekon Mandiri Bersatu manager were capital and customer complaint problem.
Key words: BUM Pekon Mandiri Bersatu, customer, income, management, role",['S1'],archive,2021-03-15 01:42:28,published,28357,,,,,,,,,,,
1,TRUE,http://repository.lppm.unila.ac.id/id/eprint/28356,public,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42395', 'rev_number': 1, 'docid': 42395, 'main': '(7) HASIL PENILAIAN KARYA ILMIAH EFEKTIVITAS PROGRAM PPMK.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/252058', 'objectid': 42395, 'filesize': 2425188, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-03-14 07:32:50', 'filename': '(7) HASIL PENILAIAN KARYA ILMIAH EFEKTIVITAS PROGRAM PPMK.pdf', 'hash': '2568201a1b15e13c7349fadd291e0bfa', 'fileid': 252058, 'mime_type': 'application/pdf'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 28356, 'security': 'public', 'placement': 1}]",Juruan Agribisnis Fakultas Pertanian Universitas Lampung,pub,1.0,49-56,2021-03-15 01:42:24,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",930,2021-03-15 01:42:24,disk0/00/02/83/56,2018-02-01 00:00:00.000000000,2337 7070,"[{'name': {'given': 'Indah Ayu', 'honourific': None, 'family': 'Dianti', 'lineage': None}, 'id': None}, {'name': {'given': 'Tubagus', 'family': 'Hasanuddin', 'honourific': None, 'lineage': None}, 'id': 'tb_sijati@yahoo.com'}, {'id': None, 'name': {'given': 'Begem', 'lineage': None, 'honourific': None, 'family': 'Viantimala'}}]",Jurnal Ilmu-Ilmu Agribisnis,['FP26'],article,show,6,6.0,"EFEKTIVITAS PROGRAM PENINGKATAN PENGHIDUPAN MASYARAKAT BERBASIS KOMUNITAS (PPMK) DALAM MENINGKATKAN PENDAPATAN DI LEMBAGA KESWADAYAAN MASYARAKAT (LKM) MARGODADI JAYA KOTA METRO
Indah Ayu Dianti, Tubagus Hasanuddin, Begem Viantimala","Abstract

This study aims to find out the implementation of PPMK programme in Margodadi Subdistrict Metro City, to find out whether the PPMK programme has been effective in improving the income of KSM members in Metro City, and to find out the factors related to the effectiveness of PPMK Programme in Metro City.  The location of this study was chosen purposively in Non-Governmental Organization (NGO) Margodadi Sub District, South Metro District, Metro City.  The respondents of this research are 25 members of Kelompok Swadaya Masyarakat (KSM) who got capital loans in PPMK Programme.  Data of this research was collected in August-September 2016.  The research method used case method in which data was analyzed by descriptive and tabulation analysis to test the hypothesists.  The results of the research showed that the implementation of PPMK Programme had been running well . PPMK Program was effective on improving the income of KSM members, and the factors that related to the effectiveness of PPMK Programme were human resource quality, sosial capital condition, and finance resource quality.
Key words:  effectiveness, LKM, PPMK Programme",['S1'],archive,2021-03-15 01:42:24,published,28356,,,,,,,,,,,
2,TRUE,http://repository.lppm.unila.ac.id/id/eprint/12051,public,"[{'language': 'en', 'mime_type': 'application/pdf', 'content': 'published', 'eprintid': 12051, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/25037', 'rev_number': 2, 'docid': 25037, 'main': 'Proceeding International Conf(8). on  Cassava 2017-1.PDF', 'files': [{'objectid': 25037, 'uri': 'http://repository.lppm.unila.ac.id/id/file/107853', 'fileid': 107853, 'mime_type': 'application/pdf', 'mtime': '2019-05-08 07:11:06', 'hash_type': 'MD5', 'filename': 'Proceeding International Conf(8). on  Cassava 2017-1.PDF', 'hash': '74346a467822c6e7d0bd56d0c9cb7a26', 'datasetid': 'document', 'filesize': 17465602}]}]",,pub,,60-64,2019-05-09 03:11:13,,719,2019-05-09 03:11:13,disk0/00/01/20/51,2018-12-05 00:00:00.000000000,,"[{'name': {'given': 'Dame Trully', 'honourific': None, 'family': 'Gultom', 'lineage': None}, 'id': 'trully.dame@yahoo.co.id'}, {'name': {'given': 'Sumaryo', 'lineage': None, 'honourific': None, 'family': 'Gitosaputro'}, 'id': None}]",,['FP26'],conference_item,show,8,,THE ROLE OF SUPPORTING  ENVIRONMENTAL  FACTORS  ON  THE USE OF CYBER  EXTENSION  BY   FARMERS  OF  FOOD CROPS  AND   HORTICULTURE  IN  LAMPUNG  PROVINCE,"The use of information and communication technology (ICT) in agriculture (cyber extension) can accelerate the process of innovation by farmers. But in developing countries its success depends on its supporting factor. This paper reviews a study that aims to analyze the availability of supporting environmental factors in the use of cyber extensions and their relation to communication behavior of horticultural farmers in accessing ICT-based information sources. The research design used is quantitative research. The research was conducted in Lampung Selatan and Metro municipalities. The study was conducted in July 2017 to November 2017. The study population is farmers of food crops and horticulture. A sample of 207 people was taken at random. Data were analyzed descriptively and inferentially with Rank Spearman Test. As a result, there is no significant relationship between supporting environmental factors and communication behavior of horticultural farmers. Conversely there is a significant relationship between the level of availability of information access facilities and the level of availability of conventional information sources in accordance with access to agricultural information based on ICT. The authors describe the implications of this research, particularly on the policy of cyber extension for agriculture.

Keywords: cyber extension, support factor, communication behavior, information access, horticulture",['HE'],archive,2019-05-09 03:11:13,published,12051,Seminar Internasional Cassava,Bandar Lampung,conference,23-24 November 2017,file:///D:/File%20mama/Proceeding%20International%20Conf(8).%20on%20%20Cassava%202017-1.PDF,['Simlibtamas 2017'],paper,,,,
3,TRUE,http://repository.lppm.unila.ac.id/id/eprint/10439,public,"[{'eprintid': 10439, 'security': 'public', 'placement': 1, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en', 'docid': 23459, 'main': 'NASKAH JURNALbogor  29-10-2018.docx', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/97031', 'objectid': 23459, 'hash': 'efa650db87d7cb129327c6adea989970', 'filename': 'NASKAH JURNALbogor  29-10-2018.docx', 'mtime': '2018-11-28 05:04:16', 'hash_type': 'MD5', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'fileid': 97031, 'filesize': 82650, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23459'}]",,submitted,,,2019-01-02 08:01:17,,719,2019-01-02 08:01:17,disk0/00/01/04/39,2018-09-25 00:00:00.000000000,,"[{'id': 'trully.dame@yahoo.co.id', 'name': {'given': 'Dame Trully', 'lineage': None, 'honourific': None, 'family': 'Gultom'}}, {'id': None, 'name': {'lineage': None, 'family': 'Gitosaputro', 'honourific': None, 'given': 'Sumaryo'}}]",,['FP26'],conference_item,show,7,,The Role Of Extension Workerss In The Development Of Agriculture  Information Network Through Cyber Extension In Lampung Province,"Mechanism of development of information network system of agricultural development through cyber extension need to be developed by extension workers so that farmer requirement of agriculture information can be fulfilled. This study aims to analyze (1) the role of extension workers  involvement in agriculture development information network system through cyber extension, (2) Factors related to extension workers involvement in information network system of agricultural development through cyber extension. The research was conducted in areas with potential to develop food crops and horticulture, namely in South Lampung District and Metro District. The study was conducted in four sub-districts and eight villages. The research was conducted by census, all of the extension workers which have the target area in Jati Agung Sub District, Natar Sub District, Metro South Sub District and West Metro District. The number of respondents are 44 people. Data were analyzed descriptively and inferentially by Mann Whitney's different test and Rank Spearman correlation test. The results of the research show (1) The involvement of extension workers in agricultural information network system through cyber extension is characterized by different age, extension workers income, and the use of cyber extension between extension workers which is civil servant and extension workers  which is still  honour, (2) Factors related to the involvement of extension workers in information systems of agricultural development through cyber extension are age, extension workers income, motivation, level of cosmopoli and extension workers performance.",['H1'],archive,2019-01-02 08:01:17,submitted,10439,Bogor Internasional  Conference Social Science,Bogor,conference,25-26 September 2018,,,paper,"Adekoya AE.2007. Cyber ExtensionCommunication.A Strategic Model for Agricultural and Rural Transformation in Nigeria. Journal of   Food,Agricultures and Environment.5(1):366-368
Alampay E. 2009.Living  the Information Society in Asia.  Singapore (SG):ISEAS Publishing.Institute of Southeast Asian Studies.
Arja K,Marjaana S.2014. Information Technology and Everyday Life in Ageing Rural Villages.Journal of Rural Studies 33:1-8
Asngari. 2001 Peran Agen Pembaharuan/Penyuluh Dalam Usaha Memberdayakan (Empowerment) Sumberdaya Manusia Pengelola Agribisnis.  Orasi Ilmiah Guru Besar Tetap Ilmu Sosial Ekonomi. Fakultas Peternakan, Institut Pertanian Bogor. 
Badan Koordinasi Penyuluhan Pertanian, Perikanan dan Kehutanan (BKP3K) 2012. Buku Data Base Ketenagaan Penyuluhan Pertanian, Perikanan dan Kehutanan Provinsi Lampung. Bandar Lampung.
Dahlan Sopiyudin M. 2008. Statistik untuk Kedokteran dan Kesehatan. Deskriptif bivariate dan multivariate dilengkapi Aplikasi Dengan Menggunakan SPSS. Penerbit Salemba Medika. Jakarta
Darojad, P. 2016. Penguatan Peranan kelembagaan petani dalam peningkatan kapabilitas petani mengelola inovasi bertaniteknologi informasi (Kasus Petani sayuran di Dataran Tinggi Jawa Barat). Disertasi. Bogor. Institut Pertanian Bogor
Gultom.2016. The  Roles of Cyber Extension Communication Media  in Strengthening Horticulture Farmers in Facing Globalization in Lampung Province, Indonesia. International Journal of Sciences Basic and Applied Research (IJSBAR).
Gultom  Dame Trully, Sumardjo, Sarwititi dan Pudji Mulyono. 2017. Strategi Pemenuhan  Kebutuhan Informasi  Pertanian Melalui Pemanfaatan Cyber  Extension  di Propinsi Lampung.  Jurnal Sosiohumaniora. Universitas  Padjadjaran, Bandung.
Helmi Z. 2013. Cyber Extension dalam Penguatan Kesiapan Penyuluhan Pertanian di Kabupaten Bekasi Provinsi Jawa Barat. Disertasi. Bogor. Institut Pertanian Bogor.
Lionberger HF,Gwin P. 1982. Technology Transfer. Danville (US): Illinois: The Interstate orientersand Publisher,Inc
Sian LC, WatsonMB, Manheim, ChudobaKM.2014. Investigating the Relationship  between Perceived Risk ini communication and  ICT Enabled Communicative Behavior. Journalof Information and Management. 51:688-699
Sumandjo, Baga LM, Mulyandari RSH. 2010. Cyber Extension. Peluang dan Tantangannya dalam Revitaliasi Penyuluhan Pertanian. Bogor. IPB Press.
Sugiyono. 2013. Metode Penelitian Kombinasi (Mixed Methode). Bandung. Penerbit Alfabeta. Ind.
Ridwan, Akdon. 2007. Rumus dan Data dalam Analisis Statistika untuk Penelitian. Jakarta. Penerbit Alfabeta.
Vivek A.2011. Cyber Extension. A Convergence of ICT and Agricultural  Development. Pradesh:Amity University Uttar Pradesh, Noida Uttar.
Yegane Madadi, Iravani Hooshang, dan Nooghabi Nazari Saeede. Factors Effective on familiarity and  Usage of Information and Communication Technology (ICT).  University College of Agriculture and Natural resources.  University of Tehran.  Iran. Procedia Social and Behavioral Sciences 15 (2011) 3625-3632. 2011.",,,
4,TRUE,http://repository.lppm.unila.ac.id/id/eprint/12064,public,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/25050', 'rev_number': 1, 'main': 'jurnal nuzul.pdf', 'docid': 25050, 'files': [{'filename': 'jurnal nuzul.pdf', 'hash': '49ce26438c7e7439a4d849dffb38a4dd', 'hash_type': 'MD5', 'mtime': '2019-05-08 07:57:46', 'mime_type': 'application/pdf', 'fileid': 108044, 'filesize': 108313, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/108044', 'objectid': 25050}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 12064, 'placement': 1, 'security': 'public'}]",,pub,3.0,1-8,2019-05-09 02:47:44,,719,2019-05-09 02:47:44,disk0/00/01/20/64,2018-08-10 00:00:00.000000000,,"[{'name': {'given': 'Dame Trully', 'lineage': None, 'family': 'Gultom', 'honourific': None}, 'id': 'trully.dame@yahoo.co.id'}, {'id': None, 'name': {'family': 'Sadar', 'honourific': None, 'lineage': None, 'given': 'Suarno'}}]",Jurnal Ilmu-Ilmu Agribisnis,['FP26'],article,show,6,6.0,HUBUNGAN PENGGUNAAN TIK DENGAN KINERJA PPL DI BP3K JATI AGUNG KABUPATEN LAMPUNG SELATAN,"The study aims to know the level of Information and Communication Technology (ICT) usage, the level of
Extension Workers’ performance, the relation between the use of ICT and the performance of Extension
Workers, and factors related to the use of ICT in Agricultural Extension Centers, Fisheries and Forestry
(BP3K) Jati Agung, South Lampung District. This study was conducted at BP3K Jati Agung Regency, South
Lampung District in 2017 with 17 respondents of Extension Workers. The research method used is a survey
method. Methods of analysis used were descriptive analysis and Rank Spearman correlation. The results
showed that Extension Workers have a high rate of ICT utilization and a high performance level. The use of
ICT has a significant relationship with the performance of Extension Workers and factors related to the use
of ICT are age, education, income, and cosmopolitan characteristics.
Key words: extension workers, ICT, performance",['HE'],archive,2019-05-09 02:47:44,published,12064,,,,,file:///C:/Users/USER/Downloads/3030-7376-1-SM.pdf,,,,,,
5,TRUE,http://repository.lppm.unila.ac.id/id/eprint/12065,public,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 12065, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25051', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/108054', 'objectid': 25051, 'filesize': 152341, 'datasetid': 'document', 'hash': 'e2df6431825d5afd97ab5f6431fd612a', 'filename': 'jurnal erica.pdf', 'hash_type': 'MD5', 'mtime': '2019-05-08 08:06:27', 'mime_type': 'application/pdf', 'fileid': 108054}], 'docid': 25051, 'main': 'jurnal erica.pdf'}]",,pub,3.0,1-8,2019-05-09 02:47:45,,719,2019-05-09 02:47:45,disk0/00/01/20/65,2018-08-11 00:00:00.000000000,,"[{'name': {'family': 'Gultom', 'honourific': None, 'lineage': None, 'given': 'Dame Trully'}, 'id': 'trully.dame@yahoo.co.id'}, {'id': 'yuniarafiati@yahoo.com', 'name': {'given': 'Yuniar Aviati', 'lineage': None, 'family': 'Syarief', 'honourific': None}}]",Jurnal Imlu-Ilmu Agribisnis,['FP26'],article,show,6,6.0,RESPON PETANI TERHADAP SISTEM TANAM JAJAR LEGOWO DI KECAMATAN TUMIJAJAR KABUPATEN TULANG BAWANG BARAT,"This study aims to examine the farmers' response to Legowo Row Planting System in Tumijajar Subdistrict of
West Tulang Bawang Regency and factors related to farmers' responses to the Legowo Row Planting System.
This research was conducted in Tumijajar subdistrict, West Tulang Bawang Regency. Data collection was
conducted in May - August 2017. This research method used a survey method and using questionnaire as
primary instrument of data collection. Data analysis used quantitative descriptive analysis to answer the first
goal and Rank Spearman test to answer second goal. The results showed that farmers’ response to Legowo
Row Planting System was relatively low. Factors related to farmer's response to Legowo Row Planting
System are farmer’s age, formal education, length of farming experience, land size, motivation, and Sistem
Tanam Jajar Legowo’s innovation characteristics.
Key words: response, planting system, plant spacing",['S1'],archive,2019-05-09 02:47:45,published,12065,,,,,file:///C:/Users/USER/Downloads/3028-7372-1-SM.pdf,,,,,,
6,,http://repository.lppm.unila.ac.id/id/eprint/39362,public,"[{'main': 'Fix_Peer Review_ Motivation of Farmers in Ggroup Management009.pdf', 'docid': 160645, 'files': [{'objectid': 160645, 'uri': 'http://repository.lppm.unila.ac.id/id/file/442701', 'datasetid': 'document', 'filesize': 1323501, 'mime_type': 'application/pdf', 'fileid': 442701, 'filename': 'Fix_Peer Review_ Motivation of Farmers in Ggroup Management009.pdf', 'hash': '13fa9c639e9869159f89e2d4abdbdd32', 'hash_type': 'MD5', 'mtime': '2022-02-16 00:01:40'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/160645', 'rev_number': 1, 'eprintid': 39362, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",Proceedings of The 3rd Annual International Seminar on Transformative Education and Educational Leadership,pub,,,2022-02-17 01:15:41,,609,2022-02-17 01:15:41,disk0/00/03/93/62,2018-12-01 00:00:00.000000000,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Harahap', 'given': 'Nurliana'}}, {'name': {'lineage': None, 'family': 'Ginting Manik', 'honourific': None, 'given': 'Mahendra'}}, {'name': {'honourific': None, 'family': 'Listiana', 'lineage': None, 'given': 'Indah'}}]",,['FP26'],other,show,8,,Hasil Review_Motivation of Farmers in Group Management to Develop Maize Cultivation,Hasil Review Proceedings of The 3rd Annual International Seminar on Transformative Education and Educational Leadership,['S1'],archive,2022-02-17 01:15:41,,39362,,,,,http://repository.lppm.unila.ac.id/id/eprint/28189,,,,,,
7,,http://repository.lppm.unila.ac.id/id/eprint/29208,public,"[{'security': 'public', 'placement': 1, 'eprintid': 29208, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/258875', 'objectid': 43314, 'filesize': 1947525, 'datasetid': 'document', 'hash': 'c32a7e6e9c96fd3dd8bcc6191f7a0cd6', 'filename': 'Prosiding_Linkages Between Extension and Stakeholders in The Development of Sustainable Fisheries In Lampung Province.pdf', 'mtime': '2021-04-12 07:34:45', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 258875}], 'main': 'Prosiding_Linkages Between Extension and Stakeholders in The Development of Sustainable Fisheries In Lampung Province.pdf', 'docid': 43314, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43314', 'rev_number': 1, 'format': 'text', 'pos': 1}]","Faculty of Tarbiyah and Teacher Training, Universitas Islam Negeri Raden Intan, Lampung, Indonesia",pub,,,2021-04-13 01:11:12,,301,2021-04-13 01:11:12,disk0/00/02/92/08,2018-11-01 00:00:00.000000000,,"[{'id': 'helviyanfika@yahoo.co.id', 'name': {'given': 'HY', 'family': 'Helvi Yanfika', 'honourific': None, 'lineage': None}}, {'name': {'given': 'IL', 'lineage': None, 'family': 'Indah Listiana', 'honourific': None}, 'id': None}, {'name': {'lineage': None, 'family': 'Abdul Mutolib', 'honourific': None, 'given': 'Mutolib, Abdul'}, 'id': None}, {'id': None, 'name': {'given': 'Rahmat, Ali', 'lineage': None, 'family': 'Ali Rahmat', 'honourific': None}}]",,['FP26'],other,show,8,,Hasil Review_Linkages Between Extension Institutions and Stakeholders in The Development of Sustainable Fisheries in Lampung Province,Hasil Review Young Scholar Symposium on Transdisciplinary in Education and Environment (YSSTEE),['S1'],archive,2021-04-13 01:11:12,,29208,,,,,https://iopscience.iop.org/article/10.1088/1742-6596/1155/1/012014,,,,[{'url': 'https://iopscience.iop.org/article/10.1088/1742-6596/1155/1/012014'}],,
8,TRUE,http://repository.lppm.unila.ac.id/id/eprint/28216,public,"[{'placement': 1, 'security': 'public', 'eprintid': 28216, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'filesize': 2353585, 'datasetid': 'document', 'hash': 'cf252ab30e9bd27382ac03ff59d760d5', 'filename': 'Art_P3_Semilaritas_Helvi_Linkages between Extension Institutions and Stakeholders in the Development of Sustainable Fisheries in Lampung Province.pdf', 'mtime': '2021-03-05 09:37:26', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 251057, 'uri': 'http://repository.lppm.unila.ac.id/id/file/251057', 'objectid': 42262}], 'main': 'Art_P3_Semilaritas_Helvi_Linkages between Extension Institutions and Stakeholders in the Development of Sustainable Fisheries in Lampung Province.pdf', 'docid': 42262, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42262', 'pos': 1, 'format': 'text'}]",,pub,,1-9,2021-03-07 11:04:32,,301,2021-03-07 11:04:32,disk0/00/02/82/16,2018-11-01 00:00:00.000000000,,"[{'id': 'helviyanfika@yahoo.co.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Helvi Yanfika', 'given': 'HY'}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Indah Listiana', 'given': 'IL'}}, {'name': {'given': 'Mutolib, Abdul', 'lineage': None, 'family': 'Abdul Mutolib', 'honourific': None}, 'id': None}, {'id': None, 'name': {'family': 'Ali Rahmat', 'honourific': None, 'lineage': None, 'given': 'Rahmat, Ali'}}]",,['FP26'],conference_item,show,7,,"Linkages between Extension Institutions and
Stakeholders in the Development of Sustainable
Fisheries in Lampung Province","Demand for animal food consumption, particularly fish, is quite high. This fact
shows that fish is still the main source of animal protein in Indonesian society. Fish is a source
of unsaturated fatty acids, taurine, and omega-3 fatty acids which are good for the human body,
thus many people increase the consumption of protein derived from fish compared to livestock
source meat. Given the important role of fish for human resource quality, it is necessary to
have sufficient stock of fish to be consumed. Therefore, sustainable fishery business is needed
from its aspects of economic, social and environmental and the role of extension agents and
stakeholders in supporting sustainable fisheries. The aim of this study is how to support
extension institutions and stakeholders in supporting sustainable fisheries business in Lampung
Province. The method used a qualitative research approach. This research was carried out in
Lampung Province, particularly in Pringsewu District, East Lampung and Tanggamus in JulyAugust 2018. The number of research respondents was 235 fish processors. The type of data
collected includes primary data and secondary data. Data collected through in-depth interviews
and questionnaires were then analyzed using a qualitative descriptive approach. The results of
the study revealed that the role of extension institutions needs to be improved, through the
intensity of extension activities with an appropriate method, the extension media conducted by
extension agents visiting fish processing sites. Fisheries extension institutions can coordinate
with universities, the Directorate General of Marine and Fisheries Product Improvement
Competitiveness of Ministry of Marine Affairs and Fisheries, Ministry of Tourism, Ministry of
Industry, Ministry of Trade, and collaborate with hoteliers, culinary companies and retail gift
companies in the regions for the development of sustainable fisheries",['S1'],archive,2021-03-07 11:04:32,,28216,Faculty of Tarbiyah and Teacher Training,,conference,,https://iopscience.iop.org/article/10.1088/1742-6596/1155/1/012014,,paper,,[{'url': 'https://iopscience.iop.org/article/10.1088/1742-6596/1155/1/012014'}],,
9,,http://repository.lppm.unila.ac.id/id/eprint/29201,public,"[{'placement': 1, 'security': 'public', 'eprintid': 29201, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'filesize': 1918862, 'datasetid': 'document', 'filename': 'Nasional_Strategy to Develop Traditional Fishery in Implementing the Principle of Sustainable.pdf', 'hash': '52cb737996e63f09d8205ff284363fde', 'hash_type': 'MD5', 'mtime': '2021-04-12 07:15:58', 'mime_type': 'application/pdf', 'fileid': 258819, 'uri': 'http://repository.lppm.unila.ac.id/id/file/258819', 'objectid': 43306}], 'main': 'Nasional_Strategy to Develop Traditional Fishery in Implementing the Principle of Sustainable.pdf', 'docid': 43306, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43306', 'pos': 1, 'format': 'text'}]",Jurnal Penyuluhan,pub,,,2021-04-13 01:11:07,,301,2021-04-13 01:11:07,disk0/00/02/92/01,2018-09-01 00:00:00.000000000,,"[{'name': {'given': 'HY', 'family': 'Helvi Yanfika', 'honourific': None, 'lineage': None}, 'id': 'helviyanfika@yahoo.co.id'}, {'name': {'honourific': None, 'family': 'Siti Amanah', 'lineage': None, 'given': 'Amanah'}, 'id': None}, {'name': {'given': 'Anna', 'honourific': None, 'family': 'Anna Fatchiya', 'lineage': None}, 'id': None}, {'id': None, 'name': {'given': 'PSA', 'honourific': None, 'family': 'Pang S. Asngari', 'lineage': None}}]",,['FP26'],other,show,7,,Hasil Review_Strategy to Develop Traditional Fishery Business in Implementing the Principle of Sustainable Business,Hasil Review Jurnal Penyuluhan,['S1'],archive,2021-04-13 01:11:07,,29201,,,,,http://journal.ipb.ac.id/index.php/jupe/article/view/20162,,,,[{'url': 'http://journal.ipb.ac.id/index.php/jupe/article/view/20162'}],,
