,title,rev_number,metadata_visibility,eprint_status,status_changed,subjects,abstract,eprintid,ispublished,publisher,documents,uri,full_text_status,refereed,userid,corp_creators,lastmod,datestamp,publication,creators,issn,dir,type,divisions,official_url,related_url,date_type,place_of_pub,event_title,event_type,pres_type,referencetext,volume,number,keywords,id_number,department,institution,monograph_type,event_location,event_dates,pagerange,contributors
0,"FAKTOR-FAKTOR YANG BERHUBUNGAN DENGAN KEPUTUSAN PETANI BERALIH
KEMITRAAN DALAM BERUSAHATANI : KASUS PETANI KEMITRAAN TEBU DI PT
GUNUNG MADU PLANTATAIONS BERALIH KE KEMITRAAN UBI KAYU
DI PABRIK BUMI WARAS",7,show,archive,2022-12-19 07:19:35,['S1'],"This study aims to determine the performance of partnership patterns of cassava farming in Plant Earth
Sane, factors associated with the decision-making of farmers switching partnership from cane farming to
cassava farming, and a comparison between cassava farming income and cane farming income. The survey
method was conducted in Central Lampung regency by interviewing 21 cassava farmers chosen purposively
as respondents. Data were collected in December 2015 to May 2016 and analyzed using Kendall Partial
Analysis. The results showed that the performance of cassava farming partnership system are at a very
adequate classification in terms of financial aid, processing yields, profit-sharing system, the requirements
of the partnership, and farming income. Farmers’ decisions to switch partnership from cane farming to
cassava farming were determined by technical factors of cultivation, social pressures, marketing of the crop,
profit-sharing system, capital aid, the requirements of the partnership, farm income, the distance from
farming land to cassava processing factory, and the desire of farmers to cultivate their own land. Cassava
farming income per ha/season is Rp13,282,985.13 with R/C of 2.15, greater than those of sugarcane farming
with income of Rp11,403,828.63 and R/C of 2.13.
Key words : cassava, farm, partnership, sugarcane",47014,pub,Jurusan Agribisnis Fakultas Pertanian Universitas Lampung,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/185957', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/516790', 'objectid': 185957, 'filesize': 186156, 'datasetid': 'document', 'mtime': '2022-11-29 13:36:58', 'hash_type': 'MD5', 'filename': 'Faktor-faktor yang berhubungan dengan keputusan petani beralih kemitraan dalam berusahatani.pdf', 'hash': '1745090786c990621aaf1621463ac5fa', 'fileid': 516790, 'mime_type': 'application/pdf'}], 'main': 'Faktor-faktor yang berhubungan dengan keputusan petani beralih kemitraan dalam berusahatani.pdf', 'docid': 185957, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 47014}]",http://repository.lppm.unila.ac.id/id/eprint/47014,public,TRUE,930,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",2022-12-19 07:19:35,2022-12-19 07:19:35,"Jurnal Ilmu Ilmu Agribisnis: Journal of Agribusiness Science,","[{'id': None, 'name': {'honourific': None, 'family': 'Agiesta', 'lineage': None, 'given': 'Via'}}, {'name': {'lineage': None, 'family': 'Widjaya', 'honourific': None, 'given': 'Sudarma'}, 'id': 'sudarmawidjaya@gmail.com'}, {'name': {'given': 'Tubagus', 'lineage': None, 'family': 'Hasanuddin', 'honourific': None}, 'id': 'tb_sijati@yahoo.com'}]",26204177,disk0/00/04/70/14,article,['FP26'],,,,,,,,,,,,,,,,,,,
1,"EFEKTIVITAS KEPEMIMPINAN KETUA KELOMPOK TANI DALAM
DIFUSI INOVASI PENGELOLAAN TANAMAN TERPADU PADI
DI KABUPATEN LAMPUNG SELATAN",6,show,archive,2022-12-19 07:19:27,['S1'],"This study aims to determine: the leadership effectiveness of farmer groups leader, factors related to the
leadership effectiveness of farmer groups leader, diffusion of innovation rate of integrated paddy crop
cultivation, and related between the leadership effectiveness and the speed of diffusion of innovation
integrated paddy crop cultivation. This research was conducted in the Palas Jaya Village and Pulau Tengah
Village Palas District of South Lampung regency. The research samples were drawn by purposive sampling
in whiich the total sample were 64 farmers, 16 leadership of farmer groups and 48 members of farmer
groups. The study was conducted from January to February 2016 by survey method. The relationship
between variables was tested by Spearman Rank correlation test. The results showed that the leadership
effectiveness of farmer groups leader at Palas Jaya Village and Pulau Tengah Village was effective, factors
related to the leadership effectiveness of farmer groups leader were motivation of farmer groups leader,
enthusiastic of farmer groups leader, and the responsibilities of farmer groups leader, the rate of diffusion of
integrated paddy crop cultivation in the Palas Jaya Village and Pulau Tengah Village included in the
category of fast enough, there wasn’t relation between the leadership effectiveness of farmer groups leader
and the speed of diffusion of integrated paddy crop cultivation in the Palas Jaya Village and Pulau Tengah
Village.
Key words: diffusion of innovation, integrated paddy crop cultivation, leadership",47010,inpress,Jurusan Agribisnis Fakultas Pertanian Universitas Lampung,"[{'placement': 1, 'security': 'public', 'eprintid': 47010, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'filesize': 193366, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2022-11-29 13:22:23', 'hash': '6d433558ef9a63dc1f55e05b29680c4f', 'filename': 'EFEKTIVITAS KEPEMIMPINAN KETUA KELOMPOK TANI DALAM DIFUSI INOVASI PENGELOLAAN TANAMAN TERPADU PAD.pdf', 'fileid': 516757, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/516757', 'objectid': 185952}], 'main': 'EFEKTIVITAS KEPEMIMPINAN KETUA KELOMPOK TANI DALAM DIFUSI INOVASI PENGELOLAAN TANAMAN TERPADU PAD.pdf', 'docid': 185952, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185952', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",http://repository.lppm.unila.ac.id/id/eprint/47010,public,TRUE,930,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",2022-12-19 07:19:27,2022-12-19 07:19:27,"Jurnal Ilmu Ilmu Agribisnis: Journal of Agribusiness Science,","[{'name': {'lineage': None, 'honourific': None, 'family': 'Anggunnanda', 'given': 'Furi Tiara'}, 'id': None}, {'id': 'tb_sijati@yahoo.com', 'name': {'lineage': None, 'family': 'Hasanuddin', 'honourific': None, 'given': 'Tubagus'}}, {'id': 'indah.nurmayasari.unila.ac.id', 'name': {'given': 'Indah', 'lineage': None, 'family': 'Nurmayasari', 'honourific': None}}]",26204177,disk0/00/04/70/10,article,['FP26'],,,,,,,,,,,,,,,,,,,
2,"TINGKAT KEBERDAYAAN PETANI DALAM MENGENDALIKAN
ORGANISME PENGGANGGU TANAMAN SECARA TERPADU (PHT)",6,show,archive,2022-12-19 10:07:48,['S1'],"PHT (Pengendalian Hama Terpadu) adalah suatu cara pendekatan dalam
pengendalian Hama yang didasarkan pada pertimbangan ekologi dan ekonomi. PHT telat
tertuang dalam UU No 12 Tahun 1992 tentang sistem budidaya tanaman yang menyatakan
bahwa “ Perlindungan tanaman dilaksanakan dengan sistem Pengendalian Hama Terpadu (PHT).
Keberdayaan merupakan output dari proses pemberdayaan sehingga penelitian ini bertujuan
untuk mengetahui tingkat pengetahuan, sikap, dan perilaku petani dalam pengelolaan tanaman
dan pengendalian hama dan penyakit dengan prinsip PHT. Penelitian ini dilaksanakan di
Kecamatan Gedong Tataan, Kabupaten Pesawaran. Data diperoleh dengan melakukan
wawancara kepada petani responden dan pengamatan langsung di lapangan. Hasil penelitian
menunjukkan bahwa pengetahuan petani dalam budidaya tanaman tergolong sedang yang
diperoleh secara turun-temurun, penyuluhan serta berdasarkan pengalaman yang diperolehnya.
Petani menunjukkan sikap yang tergolong netral dan perilaku yang tergolong sedang.
Kata kunci: PHT, Pengetahuan, Sikap, Perilaku Petani.",46826,inpress,,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 46826, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185761', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 309811, 'fileid': 515425, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-11-24 06:30:55', 'hash': '0352ca4f1a8257c981151024510f5932', 'filename': 'Tingkat Keberdayaan Petani dalam Mengendalikan Organisme Pengganggu Tanaman Secara Terpadu (PHT).pdf', 'objectid': 185761, 'uri': 'http://repository.lppm.unila.ac.id/id/file/515425'}], 'main': 'Tingkat Keberdayaan Petani dalam Mengendalikan Organisme Pengganggu Tanaman Secara Terpadu (PHT).pdf', 'docid': 185761}]",http://repository.lppm.unila.ac.id/id/eprint/46826,public,TRUE,930,"['Universitas Lampung', 'Universitas Lampung']",2022-12-19 10:07:48,2022-12-19 10:07:48,Seminar Nasional SnaiL III 2022,"[{'name': {'given': 'Shinta', 'family': 'Angraeni', 'honourific': None, 'lineage': None}, 'id': None}, {'name': {'honourific': None, 'family': 'Hasanuddin', 'lineage': None, 'given': 'Tubagus'}, 'id': 'tb_sijati@yahoo.com'}]",,disk0/00/04/68/26,article,['FP26'],,,,,,,,,,,,,,,,,,,
3,"PERANAN PENYULUH PERTANIAN LAPANGAN (PPL) TERHADAP KEBERHASILAN
PROGRAM PENGEMBANGAN USAHA AGRIBISNIS PEDESAAN (PUAP)
DI KECAMATAN SUNGKAI SELATAN, KABUPATEN LAMPUNG UTARA",8,show,archive,2022-12-19 07:19:20,['S1'],"The purpose of this study are to analyzethe success level of PUAP program, the level of the AEW’roles on
PUAP program, and the factors related to the success of the PUAP program. This research was conducted
in Sungkai District of North Lampung Regency. The samples are 52 farmers selected randomly and 12
Agricultural Extension Workers selected purposively. The data analysis methods used are qualitativedescriptive analysis, tabulation, and Rank Spearman correlation. The results showed that the PUAP
program has been successful, inrelation to output, outcome, benefit, and impact.The level of AEW’sroles
towards the success of PUAP program was in good category, in the roles as the diseminator of
information/inovation, facilitator, supervisor, monitoring, and evaluator. The factors related to the successof
PUAP Program were the level ofAEW’sroles, the level of farmer’s participation, the level of
managementfunds received by farmers, and farmers' level of knowledge about PUAP program.
Key words: Agricultural Extension Worker,PUAP program, role, success",46873,pub,Jurusan Agribisnis Fakultas Pertanian Universitas Lampung,"[{'pos': 2, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186277', 'rev_number': 1, 'docid': 186277, 'main': 'Peranan Penyuluh Pertanian Lapangan (PPL) Terhadap Keberhasilan Program Pengembangan Usaha Agribisnis Pedesaan (PUAP) Di Kecamatan Sungkai Selatan, Kabupaten Lampung Utara).pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/518981', 'objectid': 186277, 'mtime': '2022-12-16 07:23:28', 'hash_type': 'MD5', 'filename': 'Peranan Penyuluh Pertanian Lapangan (PPL) Terhadap Keberhasilan Program Pengembangan Usaha Agribisnis Pedesaan (PUAP) Di Kecamatan Sungkai Selatan, Kabupaten Lampung Utara).pdf', 'hash': '733cff277262cbda47e4884bd59d097e', 'fileid': 518981, 'mime_type': 'application/pdf', 'filesize': 336720, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 46873, 'placement': 2, 'security': 'public'}]",http://repository.lppm.unila.ac.id/id/eprint/46873,public,TRUE,930,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",2022-12-19 07:19:20,2022-12-19 07:19:20,"Jurnal Ilmu Ilmu Agribisnis: Journal of Agribusiness Science,","[{'id': None, 'name': {'given': 'Riyando Ardika', 'honourific': None, 'family': 'Aria', 'lineage': None}}, {'id': 'tb_sijati@yahoo.com', 'name': {'given': 'Tubagus', 'family': 'Hasanuddin', 'honourific': None, 'lineage': None}}, {'id': None, 'name': {'given': 'Rio Tedy', 'lineage': None, 'honourific': None, 'family': 'Prayitno'}}]",26204177,disk0/00/04/68/73,article,['FP26'],,,,,,,,,,,,,,,,,,,
4,Hail Review_Respon Petani Terhadap Inovasi Penanaman Padi Sistem Gogo Rancah Lahan Sawah di Kecamatan Metro Timur Kota Metro,7,show,archive,2022-01-19 05:40:16,['S1'],Hasil Review Jurnal Suluh Pembangunan: Journal of Extension and Development,38005,pub,Jurnal Suluh Pembangunan: Journal of Extension and Development,"[{'security': 'public', 'placement': 1, 'eprintid': 38005, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 158949, 'uri': 'http://repository.lppm.unila.ac.id/id/file/432082', 'datasetid': 'document', 'filesize': 504094, 'mime_type': 'application/pdf', 'fileid': 432082, 'filename': 'Hasil Review_respon petani terhadap inovasi.pdf', 'hash': '23c9107c59ba97f480be8212d20095bc', 'mtime': '2022-01-19 03:20:19', 'hash_type': 'MD5'}], 'docid': 158949, 'main': 'Hasil Review_respon petani terhadap inovasi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/158949', 'rev_number': 1, 'format': 'text', 'pos': 1}]",http://repository.lppm.unila.ac.id/id/eprint/38005,public,,609,,2022-01-19 05:40:16,2022-01-19 05:40:16,,"[{'id': None, 'name': {'family': 'Arsendi Rifki Adipaty', 'honourific': None, 'lineage': None, 'given': 'ARA'}}, {'id': 'helviyanfika@yahoo.co.id', 'name': {'given': 'HY', 'honourific': None, 'family': 'Helvi Yanfika', 'lineage': None}}, {'name': {'given': 'IL', 'honourific': None, 'family': 'Indah Listiana', 'lineage': None}, 'id': None}]",,disk0/00/03/80/05,other,['FP26'],,,,,,,,,,,,,,,,,,,
5,Hasil Review_Kinerja Penyuluh dan Partisipasi Petani Dalam Kegiatan Penyuluhan Pertanian Di Kecamatan Kota Gajah Kabupaten Lampung Tengah,8,show,archive,2021-04-13 01:09:26,['S1'],Hasil Review Journal of Food System and Agribusiness (SINTA 4),29242,pub,Journal of Food System and Agribusiness (SINTA 4),"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43349', 'docid': 43349, 'main': 'NASIONAL_Kinerja penyuluh dan partisipasi petani dalam kegiatan penyuluhan pertanian di Kecamatan kota gajah Lampung Tengah.pdf', 'files': [{'objectid': 43349, 'uri': 'http://repository.lppm.unila.ac.id/id/file/259125', 'fileid': 259125, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-04-12 09:02:12', 'hash': '6feb237cb914bdb2fcc3259fe5921ed7', 'filename': 'NASIONAL_Kinerja penyuluh dan partisipasi petani dalam kegiatan penyuluhan pertanian di Kecamatan kota gajah Lampung Tengah.pdf', 'datasetid': 'document', 'filesize': 1878830}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 29242, 'security': 'public', 'placement': 1}]",http://repository.lppm.unila.ac.id/id/eprint/29242,public,,609,,2021-04-13 01:09:26,2021-04-13 01:09:26,,"[{'id': 'beggem_vh@yahoo.com', 'name': {'family': 'Begem Viantimala', 'honourific': None, 'lineage': None, 'given': 'BV'}}, {'name': {'given': 'HY', 'honourific': None, 'family': 'Helvi Yanfika', 'lineage': None}, 'id': 'helviyanfika@yahoo.co.id'}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Abdul Mutolib', 'given': 'Mutolib, Abdul'}}, {'id': 'indahlistiana@yahoo.com', 'name': {'given': 'Indah', 'lineage': None, 'honourific': None, 'family': 'Listiana'}}, {'name': {'honourific': None, 'family': 'Irwan Effendi', 'lineage': None, 'given': 'IE'}, 'id': None}]",,disk0/00/02/92/42,other,['FP26'],https://jurnal.polinela.ac.id/index.php/JFA/article/view/1556,[{'url': 'https://jurnal.polinela.ac.id/index.php/JFA/article/view/1556'}],,,,,,,,,,,,,,,,,
6,"Similiarity_The Roles of Cyber Extension Communication Media in
Strengthening Horticulture Farmers in Facing
Globalization in Lampung Province, Indonesia",8,show,archive,2022-05-11 07:30:12,['S1'],"Similiarity International Journal of Sciences: 
Basic and Applied Research 
(IJSBAR)",41574,pub,International Journal of Sciences:  Basic and Applied Research  (IJSBAR),"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/163234', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/460104', 'objectid': 163234, 'hash': 'd2ab9ff852b9980fdec795f5a627c180', 'filename': 'Penelitian_The Roles of Cyber Extension Communication Media inStrengthening Horticulture Farmers in .pdf', 'mtime': '2022-05-11 03:57:19', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 460104, 'filesize': 319951, 'datasetid': 'document'}], 'main': 'Penelitian_The Roles of Cyber Extension Communication Media inStrengthening Horticulture Farmers in .pdf', 'docid': 163234, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 41574}]",http://repository.lppm.unila.ac.id/id/eprint/41574,public,,719,,2022-05-11 07:30:12,2022-05-11 07:30:12,,"[{'id': 'trully.dame@yahoo.co.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Dame Trully Gultom', 'given': 'GTM'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Sumardjo', 'given': 'Sumardjo'}, 'id': 'sumardjo252@gmail.com'}, {'id': '-', 'name': {'given': 'Sarwoprasodjo', 'lineage': None, 'family': 'Sarwititi', 'honourific': None}}, {'id': '-', 'name': {'given': 'Muljono', 'lineage': None, 'honourific': None, 'family': 'Pudji'}}]",,disk0/00/04/15/74,other,['FP26'],,,,,,,,,,,,,,,,,,,
7,"Similiarity_THE ROLE OF SUPPORTING ENVIRONMENTAL FACTORS ON THE USE OF CYBER EXTENSION BY FARMERS OF FOOD CROPS AND HORTICULTURE 
IN LAMPUNG PROVINCE",8,show,archive,2022-05-11 07:30:10,['S1'],"Similiarity Proceeding International Conference on Cassava, Bandar Lampung, 23 – 24 November 2017",41573,pub,"Proceeding International Conference on Cassava, Bandar Lampung, 23 – 24 November 2017","[{'uri': 'http://repository.lppm.unila.ac.id/id/document/163233', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'filesize': 826252, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2022-05-11 03:50:36', 'filename': 'Penelitian_THE ROLE OF SUPPORTING ENVIRONMENTAL FACTORS ON THE USE_Proceding International-halaman-7.pdf', 'hash': 'cbd0f73ab741af4eb473c6779f5109a2', 'fileid': 460096, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/460096', 'objectid': 163233}], 'docid': 163233, 'main': 'Penelitian_THE ROLE OF SUPPORTING ENVIRONMENTAL FACTORS ON THE USE_Proceding International-halaman-7.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 41573}]",http://repository.lppm.unila.ac.id/id/eprint/41573,public,,719,,2022-05-11 07:30:10,2022-05-11 07:30:10,,"[{'id': 'trully.dame@yahoo.co.id', 'name': {'given': 'GTM', 'family': 'Dame Trully Gultom', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Sumaryo', 'lineage': None, 'family': 'Sumaryo', 'honourific': None}, 'id': 'sumaryo.1964@fp.unila.ac.id'}]",,disk0/00/04/15/73,other,['FP26'],,,,,,,,,,,,,,,,,,,
8,Similiarity_The Role of Extension Workerss in the Development of Agriculture Information Network through Cyber Extension in Lampung Province,7,show,archive,2022-05-11 07:30:08,['S1'],Similiarity ICRI 2018 - International Conference Recent Innovation,41572,pub,ICRI 2018 - International Conference Recent Innovation,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163232', 'rev_number': 1, 'docid': 163232, 'main': 'Penelitian_The Role of Extension Workerss in the Development of Agriculture_Penelitian Dame Trully G.pdf', 'files': [{'mtime': '2022-05-11 03:47:56', 'hash_type': 'MD5', 'filename': 'Penelitian_The Role of Extension Workerss in the Development of Agriculture_Penelitian Dame Trully G.pdf', 'hash': 'c2e3861e3c6e7ba9e749490697bf41b8', 'fileid': 460089, 'mime_type': 'application/pdf', 'filesize': 451172, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/460089', 'objectid': 163232}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 41572, 'security': 'public', 'placement': 1}]",http://repository.lppm.unila.ac.id/id/eprint/41572,public,,719,,2022-05-11 07:30:08,2022-05-11 07:30:08,,"[{'name': {'given': 'GTM', 'family': 'Dame Trully Gultom', 'honourific': None, 'lineage': None}, 'id': 'trully.dame@yahoo.co.id'}, {'id': 'sumaryo.1964@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Sumaryo', 'honourific': None, 'given': 'Sumaryo'}}]",,disk0/00/04/15/72,other,['FP26'],,,,,,,,,,,,,,,,,,,
9,Similiarity_BASIC CAUSES OF HORTICULTUML FARMER POVERTY (CABBAGE AND GHILLI) IN GISTING DISTRICT OF TANGGAMUS REGENCY,7,show,archive,2022-05-11 07:30:04,['S1'],Similiarity_lnternational S€minar on Horticultureto Support Food se.urity 2O1O,41571,pub,lnternational S€minar on Horticultureto Support Food se.urity 2O1O,"[{'eprintid': 41571, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Penelitian_BasicCauses Of Horticultural Farmer Poverty (Cabbage And Chitli) tn Gisting District Of-h(1).pdf', 'docid': 163231, 'files': [{'filesize': 898568, 'datasetid': 'document', 'mtime': '2022-05-11 03:29:04', 'hash_type': 'MD5', 'hash': '585a823d4b39a9675022309facfd2b0c', 'filename': 'Penelitian_BasicCauses Of Horticultural Farmer Poverty (Cabbage And Chitli) tn Gisting District Of-h(1).pdf', 'fileid': 460080, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/460080', 'objectid': 163231}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163231'}]",http://repository.lppm.unila.ac.id/id/eprint/41571,public,,719,,2022-05-11 07:30:04,2022-05-11 07:30:04,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Dame Trully Gultom', 'given': 'GTM'}, 'id': 'trully.dame@yahoo.co.id'}, {'id': '-', 'name': {'given': 'Hasanudin', 'lineage': None, 'family': 'Tubagus', 'honourific': None}}, {'id': 'rio_tprayitno@yahoo.co.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Rio Tedi Prayitno', 'given': 'RTP'}}, {'id': '-', 'name': {'given': 'Endaryanto T', 'family': 'Teguh Endaryanto', 'honourific': None, 'lineage': None}}]",,disk0/00/04/15/71,other,['FP26'],,,,,,,,,,,,,,,,,,,
