,lastmod,userid,datestamp,pagerange,ispublished,number,publisher,documents,full_text_status,uri,refereed,type,divisions,publication,creators,issn,dir,date,eprint_status,status_changed,related_url,subjects,abstract,official_url,title,volume,rev_number,metadata_visibility,eprintid,corp_creators,date_type,place_of_pub,isbn,pages
0,2021-03-04 08:03:46,301,2021-03-04 08:03:46,130-139,pub,2.0,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 28182, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42231', 'format': 'text', 'pos': 1, 'files': [{'filename': '1031-2681-1-SM[2].pdf', 'hash': 'a234a1cea31dbe5b6276cfe398121d6b', 'mtime': '2021-03-04 07:31:02', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 250820, 'filesize': 133163, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/250820', 'objectid': 42231}], 'main': '1031-2681-1-SM[2].pdf', 'docid': 42231}]",public,http://repository.lppm.unila.ac.id/id/eprint/28182,TRUE,article,['FP26'],Jurnal Ilmu-Ilmu Agribisnis,"[{'id': None, 'name': {'given': 'ALD', 'family': 'Ade Lia Delita', 'honourific': None, 'lineage': None}}, {'name': {'given': 'FEP', 'family': 'Fembriarti Erry Prasmatiwi', 'honourific': None, 'lineage': None}, 'id': None}, {'name': {'lineage': None, 'family': 'Helvi Yanfika', 'honourific': None, 'given': 'HY'}, 'id': 'helviyanfika@yahoo.co.id'}]",2337 7070,disk0/00/02/81/82,2015-04-01 00:00:00.000000000,archive,2021-03-04 08:03:46,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1031'}],['S1'],"Penelitian ini bertujuan untuk mengetahui: kelayakan keuangan pertanian lada dan efisiensi pemasaran lada. Penelitian ini dilakukan di dua sentra produksi lada, Desa Gunung Labuhan dan Bengkulu Desa Tengah, Kecamatan Gunung Labuhan Kabupaten Way Kanan. Responden terdiri dari lima puluh lada petani dipilih secara acak dengan menggunakan stratified random sampling dan enam pedagang lada yang ditentukan dengan menggunakan pengambilan sampel bola salju. Tujuan pertama dianalisis menggunakan kriteria investasi dan tingkat sensitivitas. Yang kedua tujuan dianalisis menggunakan margin pemasaran, korelasi harga, dan elastisitas transmisi harga. Hasilnya menunjukkan bahwa pertanian lada layak untuk dicoba berdasarkan nilai kriteria investasi dan sensitivitas terhadap perubahan yang mungkin terjadi. Perubahan tersebut adalah kenaikan biaya produksi sebesar 8,38% penurunan kuantitas produksi sebesar 30%, dan penurunan harga produksi sebesar 13 %. Struktur pasar-pasar oligopsonistik dengan nilai koefisien korelasi harga 0,47, yang berarti pasar lada tidak kompetitif sempurna, dan nilai elastisitas transmisi harga 1,74, yang berarti tingkat perubahan harga konsumen lebih besar dari tingkat perubahan harga produsen.",http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1031,"ANALISIS KELAYAKAN FINANSIAL DAN EFISIENSI PEMASARAN LADA
DI KECAMATAN GUNUNG LABUHAN KABUPATEN WAY KANAN",3.0,14,show,28182,,,,,
1,2021-04-13 01:10:50,301,2021-04-13 01:10:50,,pub,,Jurnal Ilmu-Ilmu Agribisnis,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 29186, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43294', 'rev_number': 1, 'docid': 43294, 'main': 'Nasional_Analisis Kelayakan Finansial dan Efisiensi Pemasaran Lada di Kecamatan Gunung Labuhan Kabupaten Way Kanan.pdf', 'files': [{'objectid': 43294, 'uri': 'http://repository.lppm.unila.ac.id/id/file/258729', 'datasetid': 'document', 'filesize': 1966063, 'fileid': 258729, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-04-12 06:31:34', 'filename': 'Nasional_Analisis Kelayakan Finansial dan Efisiensi Pemasaran Lada di Kecamatan Gunung Labuhan Kabupaten Way Kanan.pdf', 'hash': '22343108fb0d409ada9c18db1d86356f'}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/29186,,other,['FP26'],,"[{'name': {'lineage': None, 'family': 'Ade Lia Delita', 'honourific': None, 'given': 'ALD'}, 'id': None}, {'name': {'given': 'FEP', 'lineage': None, 'family': 'Fembriarti Erry Prasmatiwi', 'honourific': None}, 'id': None}, {'name': {'family': 'Helvi Yanfika', 'honourific': None, 'lineage': None, 'given': 'HY'}, 'id': 'helviyanfika@yahoo.co.id'}]",,disk0/00/02/91/86,2015-04-01 00:00:00.000000000,archive,2021-04-13 01:10:50,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1031'}],['S1'],Hasil Review Jurnal Ilmu-Ilmu Agribisnis,http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1031,Hasil Review_Analisis Kelayakan Finansial dan Efisiensi Pemasaran Lada di Kecamatan Gunung Labuhan Kabupaten Way Kanan,,7,show,29186,,,,,
2,2021-03-04 08:03:54,301,2021-03-04 08:03:54,235-242,pub,3.0,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 28183, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42233', 'pos': 1, 'format': 'text', 'files': [{'filename': '1047-2713-1-SM[1].pdf', 'hash': '9f261445ba19bac579a448fcd83e4447', 'hash_type': 'MD5', 'mtime': '2021-03-04 07:37:59', 'mime_type': 'application/pdf', 'fileid': 250830, 'filesize': 115567, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/250830', 'objectid': 42233}], 'main': '1047-2713-1-SM[1].pdf', 'docid': 42233}]",public,http://repository.lppm.unila.ac.id/id/eprint/28183,TRUE,article,['FP26'],Jurnal Ilmu-Ilmu Agribisnis,"[{'name': {'given': 'AFH', 'lineage': None, 'honourific': None, 'family': 'Andini Fitria Hadi'}, 'id': None}, {'id': None, 'name': {'given': 'Ismono', 'lineage': None, 'family': 'Hanung', 'honourific': None}}, {'name': {'lineage': None, 'family': 'Helvi Yanfika', 'honourific': None, 'given': 'HY'}, 'id': 'helviyanfika@yahoo.co.id'}]",2337 7070,disk0/00/02/81/83,2015-06-01 00:00:00.000000000,archive,2021-03-04 08:03:54,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1047'}],['S1'],"Penelitian ini bertujuan untuk menganalisis biaya produksi utama ayam pedaging probiotik dan non probiotik, keuntungan
bisnis ayam pedaging probiotik dan non probiotik, dan faktor-faktor yang mempengaruhi permintaan probiotik
ayam pedaging. Data penelitian dikumpulkan pada September 2014. Penelitian dilakukan di Metro Tengah
dan Kecamatan Metro Utara Kota Metro. Lokasi-lokasi ini dipilih secara purposif dan sampelnya
digambar dengan metode purposive sampling. Sampel terdiri dari delapan peternak ayam pedaging dan 33 konsumen
ayam pedaging probiotik. Data dianalisis secara kuantitatif dengan biaya penuh dan metode biaya variabel ke
biaya dan laba produksi utama, dan beberapa analisis regresi linier untuk faktor-faktor yang mempengaruhi
Permintaan. Hasil penelitian ini menunjukkan bahwa biaya produksi utama ayam pedaging probiotik lebih tinggi
daripada ayam pedaging non probiotik. Metode biaya penuh menunjukkan bahwa biaya produksi utama probiotik
ayam pedaging dan ayam pedaging non probiotik sebesar Rp16.329,06 dan Rp15.824,37. Metode biaya variabel
menunjukkan bahwa biaya produksi utama ayam pedaging probiotik dan ayam pedaging non probiotik adalah Rp15.409,74 dan Rp14.932,55. Keuntungan ayam pedaging probiotik lebih rendah daripada ayam pedaging non probiotik, yang probiotik
ayam pedaging Rp922.542,19 dan ayam pedaging non probiotik Rp1.238.754,05. Faktor-faktor yang mempengaruhi permintaan
ayam pedaging probiotik adalah harga ayam pedaging probiotik, harga ayam pedaging non probiotik, harga kisaran
ayam, jumlah anggota keluarga, dan pengetahuan kesehatan.",http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1047,"ANALISIS HARGA POKOK PRODUKSI, LABA USAHA, DAN PERMINTAAN AYAM
RAS PEDAGING PROBIOTIK DI KOTA METRO",3.0,9,show,28183,,,,,
3,2023-02-27 01:01:55,930,2023-02-27 01:01:55,308-314,pub,3.0,Universitas Lampung,"[{'security': 'public', 'placement': 1, 'eprintid': 48566, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'mime_type': 'application/pdf', 'fileid': 529619, 'filename': 'PROGRAM PENGEMBANGAN USAHA MINA PEDESAAN (PUMP) BIDANG PENGOLAHAN DAN PEMASARAN HASIL PERIKANAN (P2HP) DAN PENDAPATAN PELAKU USAHA BIDANG PERIKANAN DI WILAYAH PESISIR KOTA BANDAR LAMPUNG.pdf', 'hash': '26ce86647dedcf7d68e486205a71aa48', 'hash_type': 'MD5', 'mtime': '2023-02-25 08:17:05', 'datasetid': 'document', 'filesize': 72286, 'objectid': 187879, 'uri': 'http://repository.lppm.unila.ac.id/id/file/529619'}], 'docid': 187879, 'main': 'PROGRAM PENGEMBANGAN USAHA MINA PEDESAAN (PUMP) BIDANG PENGOLAHAN DAN PEMASARAN HASIL PERIKANAN (P2HP) DAN PENDAPATAN PELAKU USAHA BIDANG PERIKANAN DI WILAYAH PESISIR KOTA BANDAR LAMPUNG.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/187879', 'rev_number': 1, 'format': 'text', 'pos': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/48566,TRUE,article,['FP26'],JIIA (Jurnal Ilmu-Ilmu Agribisnis),"[{'id': None, 'name': {'given': 'dias sinta', 'lineage': None, 'family': 'Dewantary', 'honourific': None}}, {'id': 'tb_sijati@yahoo.com', 'name': {'given': 'Tubagus', 'honourific': None, 'family': 'Hasanuddin', 'lineage': None}}, {'name': {'given': 'Begem', 'lineage': None, 'honourific': None, 'family': 'Viantimala'}, 'id': None}]",2337-7070,disk0_bak/00/04/85/66,2015-06-01 00:00:00.000000000,archive,2023-02-27 01:01:55,,['S1'],"The purposes of this research are to analyze the performance of PUMP program in Bandar Lampung, the 
revenue of fisheries businessmen before and after implementing PUMP program in Bandar Lampung, and
the constraint of PUMP program in Bandar Lampung. This research was conducted in Bumi Waras Sub�district of Bandar Lampung. This research applied census method by involving 77 fisheries businessmen as 
the subject of PUMP program. The research data was analyzed by descriptive and statistics comparative 
test. The results of this research showed that the performance of PUMP program in Bandar Lampung was
good. The income of fisheries businessmen before taking the program was Rp5,094,759.70 and the income 
of fisheries businessmen after taking the program became Rp5,067,661.89. a There were some problems 
during the implementation of the PUMP program in Bandar Lampung, such as some of the program’s target 
was less appropriate, less assistants, and the program’s target was lack of guidance.
Key words: fisheries, performance, PUMP, revenue",,PROGRAM PENGEMBANGAN USAHA MINA PEDESAAN (PUMP) BIDANG PENGOLAHAN DAN PEMASARAN HASIL PERIKANAN (P2HP) DAN PENDAPATAN PELAKU USAHA BIDANG PERIKANAN DI WILAYAH PESISIR KOTA BANDAR LAMPUNG,3.0,6,show,48566,"['universitas lampung', 'universitas lampung', 'universitas lampung']",published,,,
4,2021-04-13 01:10:48,301,2021-04-13 01:10:48,,pub,,Jurnal Ilmu-Ilmu Agribisnis,"[{'security': 'public', 'placement': 1, 'eprintid': 29173, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 43282, 'uri': 'http://repository.lppm.unila.ac.id/id/file/258634', 'mime_type': 'application/pdf', 'fileid': 258634, 'filename': 'Nasional_Analisis harga pokok produksi , laba usaha, dan permintaan ayam ras pedaging probiotik di kota Metro.pdf', 'hash': '7ed59cf4a4f0edec8645268c3f7735b7', 'hash_type': 'MD5', 'mtime': '2021-04-12 06:02:41', 'datasetid': 'document', 'filesize': 1976207}], 'main': 'Nasional_Analisis harga pokok produksi , laba usaha, dan permintaan ayam ras pedaging probiotik di kota Metro.pdf', 'docid': 43282, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43282', 'format': 'text', 'pos': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/29173,,other,['FP26'],,"[{'id': None, 'name': {'given': 'EW', 'honourific': None, 'family': 'Erisa Widyanti', 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Sumaryo Gitosaputro', 'given': 'SG'}, 'id': None}, {'id': 'helviyanfika@yahoo.co.id', 'name': {'given': 'HY', 'family': 'Helvi Yanfika', 'honourific': None, 'lineage': None}}]",,disk0/00/02/91/73,2015-06-01 00:00:00.000000000,archive,2021-04-13 01:10:48,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1047'}],['S1'],Hasil Review Jurnal Ilmu-Ilmu Agribisnis,http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1047,"Hasil Review_Analisis Harga Pokok Produksi, Laba Usaha, dan Permintaan Ayam Ras Pedaging Probiotik di Kota Metro",,7,show,29173,,,,,
5,2021-04-13 01:10:53,301,2021-04-13 01:10:53,,pub,,Jurnal Ilmu-Ilmu Agribisnis,"[{'eprintid': 29190, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 43297, 'main': 'Nasional_Kebutuhan dan Partisipasi Masyarakat dalam Program Kemitraan dan Bina Lingkungan (PKBL) PTPN VII Unit Usaha Rejosari Kecamatan Natar Kabupaten Lampung Selatan.pdf', 'files': [{'datasetid': 'document', 'filesize': 1996770, 'mime_type': 'application/pdf', 'fileid': 258748, 'filename': 'Nasional_Kebutuhan dan Partisipasi Masyarakat dalam Program Kemitraan dan Bina Lingkungan (PKBL) PTPN VII Unit Usaha Rejosari Kecamatan Natar Kabupaten Lampung Selatan.pdf', 'hash': '1b52bcdb35c139a1043fd2fb2c79ca8d', 'mtime': '2021-04-12 06:37:38', 'hash_type': 'MD5', 'objectid': 43297, 'uri': 'http://repository.lppm.unila.ac.id/id/file/258748'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43297', 'rev_number': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/29190,,other,['FP26'],,"[{'name': {'family': 'Erisa Widyanti', 'honourific': None, 'lineage': None, 'given': 'EW'}, 'id': None}, {'name': {'honourific': None, 'family': 'Sumaryo Gitosaputro', 'lineage': None, 'given': 'SG'}, 'id': None}, {'name': {'given': 'HY', 'lineage': None, 'family': 'Helvi Yanfika', 'honourific': None}, 'id': 'helviyanfika@yahoo.co.id'}]",,disk0/00/02/91/90,2015-04-01 00:00:00.000000000,archive,2021-04-13 01:10:53,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1039'}],['S1'],Hasil Review Jurnal Ilmu-Ilmu Agribisnis,http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1039,Hasil Review_Kebutuhan dan Partisipasi Masyarakat dalam Program Kemitraan dan Bina Lingkungan (PKBL) PTPN VII Unit Usaha Rejosari Kecamatan Natar Kabupaten Lampung Selatan,,7,show,29190,,,,,
6,2021-03-04 08:03:50,301,2021-03-04 08:03:50,195-202,pub,2.0,"Jurusan Agribisnis, Fakultas Pertanian, Universitas Lampung","[{'security': 'public', 'placement': 1, 'eprintid': 28181, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'filename': '1039-2697-1-SM[1].pdf', 'hash': '2ac17c84cb87db05f658bdf469308d0e', 'mtime': '2021-03-04 07:20:07', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 250800, 'filesize': 125519, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/250800', 'objectid': 42226}], 'main': '1039-2697-1-SM[1].pdf', 'docid': 42226, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42226', 'rev_number': 1, 'format': 'text', 'pos': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/28181,TRUE,article,['FP26'],Jurnal Ilmu-Ilmu Agribisnis (JIIA),"[{'id': None, 'name': {'family': 'Erisa Widyanti', 'honourific': None, 'lineage': None, 'given': 'EW'}}, {'id': None, 'name': {'honourific': None, 'family': 'Sumaryo Gitosaputro', 'lineage': None, 'given': 'SG'}}, {'id': 'helviyanfika@yahoo.co.id', 'name': {'given': 'HY', 'lineage': None, 'honourific': None, 'family': 'Helvi Yanfika'}}]",2337-7070,disk0/00/02/81/81,2015-04-01 00:00:00.000000000,archive,2021-03-04 08:03:50,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1039'}],['S1'],"Penelitian ini menganalisis kebutuhan masyarakat akan PKBL dalam rangka merumuskan strategi PKBL
kebutuhan masyarakat dan lingkungannya, tingkat partisipasi masyarakat dalam PKBL, dan
berkorelasi dengan faktor partisipasi masyarakat dalam PKBL. Penelitian ini dilakukan di Desa Rejosari,
Kecamatan Natar, Kabupaten Lampung Selatan. Sampel dalam penelitian ini adalah 84 rumah tangga yang dipilih
Secara acak. Data dianalisis oleh analisis kualitatif deskriptif, tabulasi, dan Rank Spearman
Korelasi. Hasil penelitian menunjukkan bahwa kebutuhan masyarakat akan PKBL termasuk aspek ekonomi: aset
pinjaman tanpa bunga bagi masyarakat di tiga subvillages, pelatihan produksi biogas di Banjar
subvillage, pelatih kelompok peternak sapi di subvillages Titirante Utara dan Selatan, pelatihan keterampilan,
penyediaan pasardan promosi produk; b) aspek sosial: pengembangan kegiatan kelembagaan,
melengkapi fasilitas pendidikan di tiga subvillages, dan pembangunan gedung SMA di
Desa Rejosari; c) aspek lingkungan: jalan aspal dan perbaikan jembatan. Selain d) kesehatan
aspek: program peningkatan kesehatan masyarakat melalui layanan medical check up gratis atau infrastruktur kesehatan
Perbaikan. Tingkat partisipasi masyarakat dalam PKBL rendah. Faktor-faktor yang berkorelasi dengan komunitas
PKBL PTPN VII adalah angkatan pendidikan, jumlah anggota keluarga, dan lamanya
Tinggal.",http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1039,"KEBUTUHAN DAN PARTISIPASI MASYARAKAT
DALAM PROGRAM KEMITRAAN DAN BINA LINGKUNGAN (PKBL) PTPN VII
UNIT USAHA REJOSARI KECAMATAN NATAR KABUPATEN LAMPUNG SELATAN",3.0,11,show,28181,,,,,
7,2021-04-13 01:10:59,609,2021-04-13 01:10:59,,pub,,Jurnal Ilmu-Ilmu Agribisnis,"[{'docid': 43341, 'main': 'NASIONAL_Efektivitas program pengembangan BP3K sebagai model center of excelence (CoE) dalam peningkatan kinerja penyuluh di Kecamatan Batanghari Kabupaten Lampung Timur.pdf', 'files': [{'filesize': 1914715, 'datasetid': 'document', 'hash': 'e017b1e9cfdb41a73e6f6936ab679d40', 'filename': 'NASIONAL_Efektivitas program pengembangan BP3K sebagai model center of excelence (CoE) dalam peningkatan kinerja penyuluh di Kecamatan Batanghari Kabupaten Lampung Timur.pdf', 'mtime': '2021-04-12 08:36:25', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 259069, 'uri': 'http://repository.lppm.unila.ac.id/id/file/259069', 'objectid': 43341}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43341', 'rev_number': 1, 'eprintid': 29234, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/29234,,other,['FP26'],,"[{'id': None, 'name': {'given': 'FBP', 'family': 'Fitriansyah Bakti Praja', 'honourific': None, 'lineage': None}}, {'name': {'given': 'SG', 'honourific': None, 'family': 'Sumaryo Gitosaputro', 'lineage': None}, 'id': None}, {'id': 'indahlistiana@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Listiana', 'given': 'Indah'}}]",,disk0/00/02/92/34,2015-04-01 00:00:00.000000000,archive,2021-04-13 01:10:59,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1037/942'}],['S1'],Hasil Review Jurnal Ilmu-Ilmu Agribisnis,http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1037/942,Hasil Review_Efektivitas Program Pengembangan BP3K sebagai Model Center of Excelence (CoE) Dalam Peningkatan Kinerja Penyuluh Di Kecamatan Batanghari Kabupaten Lampung Timur,,7,show,29234,,,,,
8,2021-04-13 01:10:55,301,2021-04-13 01:10:55,,pub,,Jurnal Ilmu-Ilmu Agribisnis,"[{'main': 'Nasional_Persepsi Petani Terhadap Kinerja Penyuluh dalam Pengembangan Padi Organik di Kecamatan Pagelaran Kabupaten Pringsewu.pdf', 'docid': 43305, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/258811', 'objectid': 43305, 'hash': '1827b7e45a1bed871b3a1585b8d892fe', 'filename': 'Nasional_Persepsi Petani Terhadap Kinerja Penyuluh dalam Pengembangan Padi Organik di Kecamatan Pagelaran Kabupaten Pringsewu.pdf', 'mtime': '2021-04-12 07:08:41', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 258811, 'filesize': 1926540, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43305', 'eprintid': 29200, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/29200,,other,['FP26'],,"[{'name': {'given': 'JS', 'family': 'Juwita Sari', 'honourific': None, 'lineage': None}, 'id': None}, {'id': 'indahnurma1@gmail.com', 'name': {'family': 'Indah Nurmayasari', 'honourific': None, 'lineage': None, 'given': 'IN'}}, {'id': 'helviyanfika@yahoo.co.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Helvi Yanfika', 'given': 'HY'}}]",,disk0/00/02/92/00,2015-10-01 00:00:00.000000000,archive,2021-04-13 01:10:55,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1094'}],['S1'],Hasil Review Jurnal Ilmu-Ilmu Agribisnis,http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1094,Hasil Review_Persepsi Petani Terhadap Kinerja Penyuluh dalam Pengembangan Padi Organik di Kecamatan Pagelaran Kabupaten Pringsewu,,7,show,29200,,,,,
9,2021-03-04 08:03:57,301,2021-03-04 08:03:57,432-439,pub,4.0,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,"[{'files': [{'objectid': 42235, 'uri': 'http://repository.lppm.unila.ac.id/id/file/250840', 'datasetid': 'document', 'filesize': 113926, 'mime_type': 'application/pdf', 'fileid': 250840, 'hash': 'a6021c1c0b3816d8a4086566caba75de', 'filename': '1094-2839-1-SM[1].pdf', 'mtime': '2021-03-04 07:44:16', 'hash_type': 'MD5'}], 'main': '1094-2839-1-SM[1].pdf', 'docid': 42235, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42235', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 28184, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/28184,TRUE,article,['FP26'],Jurnal Ilmu-Ilmu Agribisnis,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Juwita Sari', 'given': 'JS'}, 'id': None}, {'id': 'indahnurma1@gmail.com', 'name': {'given': 'IN', 'lineage': None, 'honourific': None, 'family': 'Indah Nurmayasari'}}, {'name': {'given': 'HY', 'lineage': None, 'family': 'Helvi Yanfika', 'honourific': None}, 'id': 'helviyanfika@yahoo.co.id'}]",2337 7070,disk0/00/02/81/84,2015-10-01 00:00:00.000000000,archive,2021-03-04 08:03:57,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1094'}],['S1'],"Penelitian ini bertujuan untuk menganalisis tingkat persepsi petani terhadap kinerja penyuluh dipengembangan padi organik, faktor-faktor yang terkait dengan persepsi petani terhadap kinerja, dan perbedaan persepsi antara petani padi organik dan petani padi nonorganik penyuluh dalam pengembangan padi organik di Kecamatan Pagelaran, Kabupaten Pringsewu. Penelitian ini dilakukan di Desa Pagelaran dan Desa Gemah Ripah di Kecamatan Pagelaran, Kabupaten Pringsewu. Responden adalah 48 petani yang terdiri dari semua 24 petani padi organik dan 24 sawah nonorganik petani yang diambil secara acak. Data dianalisis menggunakan Rank Spearman dan Mann Whitney. Hasil menunjukkan bahwa persepsi petani terhadap kinerja penyuluh dalam pengembangan padi organik termasuk dalam klasifikasi sedang. Faktor-faktor yang berkaitan dengan persepsi petani terhadap kinerja penyuluhan dalam pengembangan padi organik adalah usia, pengetahuan, durasi mereka sebagai petani dan interaksi. Tidak ada perbedaan antara persepsi petani padi organik dan padi nonorganik
persepsi petani terhadap kinerja penyuluhan dalam pengembangan padi organik. Kedua padi organik petani dan petani sawah nonorganik memberikan penilaian yang cukup baik terhadap kinerja pengembangan padi organik.",http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1094,PERSEPSI PETANI TERHADAP KINERJA PENYULUH DALAM PENGEMBANGAN PADI ORGANIK DI KECAMATAN PAGELARAN KABUPATEN PRINGSEWU,3.0,6,show,28184,,,,,
