,creators,dir,date,type,divisions,ispublished,documents,publisher,uri,full_text_status,lastmod,userid,datestamp,eprintid,date_type,title,rev_number,place_of_pub,metadata_visibility,status_changed,eprint_status,subjects,pagerange,refereed,pres_type,event_title,abstract,related_url,event_type,official_url,issn,publication,number,corp_creators,volume,id_number,contact_email,contributors,institution,monograph_type,pages,event_location,event_dates
0,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">helviyanfika@yahoo.co.id</font></font>'}, {'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">korrangga@yahoo.com</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}}, {'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">beggem_vh@yahoo.com</font></font>'}, {'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">indahlistiana@yahoo.com</font></font>', 'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}, {'id': None, 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}, {'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': None}]",disk0/00/02/65/43,1970-01-01 00:00:00.000002019,other,['FP26'],pub,"[{'files': [{'datasetid': 'document', 'filesize': 863368, 'mime_type': 'application/pdf', 'fileid': 238717, 'hash': '13304f690ee64258cb3ae968329e6e20', 'filename': '12. Evaluation of the Success of Programs and Strategy for Sustainable.pdf', 'hash_type': 'MD5', 'mtime': '2020-11-21 11:03:43', 'objectid': 40438, 'uri': 'http://repository.lppm.unila.ac.id/id/file/238717'}], 'docid': 40438, 'main': '12. Evaluation of the Success of Programs and Strategy for Sustainable.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40438', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 26543, 'language': 'en', 'mime_type': 'application/pdf'}]",Journal of Physics: Conference Series 1467,http://repository.lppm.unila.ac.id/id/eprint/26543,public,2020-11-22 11:48:06,966,2020-11-22 11:48:06,26543,published,Hasil Reviewer : Evaluation Of The Success of Program and Strategy for Sustainable Coastal Community Development in  Tanggamus Regency,8,Universitas Lampung,show,2020-11-22 11:48:06,archive,['S1'],,,,,,,,,,,,,,,,,,,,,
1,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">korrangga@yahoo.com</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}, {'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">irwaneffendi@gmail.com</font></font>'}, {'id': None, 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None}}, {'id': None, 'name': {'honourific': None, 'family': 'doni', 'lineage': None, 'given': 'pranata'}}]",disk0/00/02/65/42,1970-01-01 00:00:00.000002019,other,['FP26'],pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40437', 'format': 'text', 'pos': 1, 'files': [{'hash': 'd60168d8d35be7b38ee7b15740d659e0', 'filename': '10. HUBUNGAN KEPEMIMPINAN KETUA KELOMPOK DENGAN.pdf', 'hash_type': 'MD5', 'mtime': '2020-11-21 10:55:11', 'mime_type': 'application/pdf', 'fileid': 238710, 'filesize': 877583, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/238710', 'objectid': 40437}], 'docid': 40437, 'main': '10. HUBUNGAN KEPEMIMPINAN KETUA KELOMPOK DENGAN.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 26542}]","Balai Besar Pengkajian dan Pengembangan Teknologi Pertanian, Kementerian Pertanian Indonesia",http://repository.lppm.unila.ac.id/id/eprint/26542,public,2020-11-22 11:47:26,966,2020-11-22 11:47:26,26542,published,Hasil reviewer : Hubungan Kepemimpinan Ketua Kelompok dengan Keefektifan Kelompok Tani Padi Sawah di Kecamatan Sukoharjo Kabupaten Pringsewu,7,,show,2020-11-22 11:47:26,archive,['S1'],,,,,,,,,,,,,,,,,,,,,
2,"[{'id': None, 'name': {'given': 'Mutolib, Abdul', 'lineage': None, 'honourific': None, 'family': 'Abdul Mutolib'}}, {'id': None, 'name': {'given': 'Yonariza', 'family': 'Yonariza', 'honourific': None, 'lineage': None}}, {'id': None, 'name': {'honourific': None, 'family': 'Ali Rahmat', 'lineage': None, 'given': 'Rahmat, Ali'}}, {'name': {'lineage': None, 'family': 'Helvi Yanfika', 'honourific': None, 'given': 'HY'}, 'id': 'helviyanfika@yahoo.co.id'}]",disk0/00/02/82/15,1970-01-01 00:00:00.000002019,conference_item,['FP26'],pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 28215, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42261', 'rev_number': 1, 'main': 'Art_P2_Semilaritas_Helvi_Competition among actors and challenges of production forest management in Dharmasraya, West Sumatera.pdf', 'docid': 42261, 'files': [{'fileid': 251050, 'mime_type': 'application/pdf', 'mtime': '2021-03-05 09:33:34', 'hash_type': 'MD5', 'hash': '09b0cf10eb93f583e5c541375bf683d3', 'filename': 'Art_P2_Semilaritas_Helvi_Competition among actors and challenges of production forest management in Dharmasraya, West Sumatera.pdf', 'datasetid': 'document', 'filesize': 2271531, 'objectid': 42261, 'uri': 'http://repository.lppm.unila.ac.id/id/file/251050'}]}]",,http://repository.lppm.unila.ac.id/id/eprint/28215,public,2021-03-07 11:02:18,301,2021-03-07 11:02:18,28215,,"Competition among actors and challenges of production forest
management in Dharmasraya, West Sumatera",7,,show,2021-03-07 11:02:18,archive,['S1'],1-9,TRUE,paper,IPB University Natural Resource and Environmental Management Study Program,"Management of production forest in Production Forest Management Unit
Dharmasraya (PFMU), West Sumatra Province is very complicated. That is due to the many
stakeholders involved in forest management and different interests. The research location was
conducted in PFMU Dharmasraya and used a qualitative research approach. Data collection was
carried out from January to April 2018 using key informant interview techniques. Data analysis
used interactive models through three activity lines, namely: 1) data reduction, 2) data display,
and 3) conclusion/verification. This study aims to see the interaction between stakeholders and
the impact of competition of stakeholders on forest conditions in PFMU Dharmasraya. Results
of research identified at least four stakeholders are directly involved in forest management in
PFMU Dharmasraya. PFMU Dharmasraya as representatives of Government, Local community
(Adat Community), the industrial timber plantation company (HTI), and forest encroachers who
bought the forest from Local community/customary authorities. There are three types of
interaction in the management of PFMU Dharmasraya, including cooperation, neutral, and
competition. The result of the stakeholder competition occurred in the conflicts of forest
ownership. Forest ownership conflict triggers each of the stakeholders to cut and claim the forest.
As a result, deforestation occurred very fast in the last 15 years in PFMU Dharmasraya",[{'url': 'https://iopscience.iop.org/article/10.1088/1755-1315/399/1/012074/meta'}],conference,https://iopscience.iop.org/article/10.1088/1755-1315/399/1/012074/meta,,,,,,,,,,,,,
3,"[{'id': None, 'name': {'honourific': None, 'family': 'Abdul Mutolib', 'lineage': None, 'given': 'Mutolib, Abdul'}}, {'name': {'family': 'Yonariza', 'honourific': None, 'lineage': None, 'given': 'Yonariza'}, 'id': None}, {'name': {'lineage': None, 'family': 'Ali Rahmat', 'honourific': None, 'given': 'Rahmat, Ali'}, 'id': None}, {'name': {'honourific': None, 'family': 'Helvi Yanfika', 'lineage': None, 'given': 'HY'}, 'id': 'helviyanfika@yahoo.co.id'}]",disk0/00/02/92/04,1970-01-01 00:00:00.000002019,other,['FP26'],pub,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/258844', 'objectid': 43310, 'hash_type': 'MD5', 'mtime': '2021-04-12 07:25:56', 'filename': 'Prosiding_Competition among actors and challenges of production forest management in Dharmasraya west sumatera.pdf', 'hash': '239f23e67ac2ef6bb3038e93210d9b25', 'fileid': 258844, 'mime_type': 'application/pdf', 'filesize': 1987039, 'datasetid': 'document'}], 'main': 'Prosiding_Competition among actors and challenges of production forest management in Dharmasraya west sumatera.pdf', 'docid': 43310, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43310', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 29204, 'mime_type': 'application/pdf', 'language': 'en'}]",IPB University Natural Resource and Environmental Management Study Program,http://repository.lppm.unila.ac.id/id/eprint/29204,public,2021-04-13 01:09:05,301,2021-04-13 01:09:05,29204,,"Hasil Review_Competition among actors and challenges of production forest management in Dharmasraya, West Sumatera",8,,show,2021-04-13 01:09:05,archive,['S1'],,,,,Hasil Review Earth and Environmental Science,[{'url': 'https://iopscience.iop.org/article/10.1088/1755-1315/399/1/012074/meta'}],,https://iopscience.iop.org/article/10.1088/1755-1315/399/1/012074/meta,,,,,,,,,,,,,
4,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Anggraini', 'given': 'Resti'}}, {'id': None, 'name': {'given': 'Kordiyana K', 'lineage': None, 'honourific': None, 'family': 'Rangga'}}, {'id': 'tb_sijati@yahoo.com', 'name': {'given': 'Tubagus', 'family': 'Hasanuddin', 'honourific': None, 'lineage': None}}]",disk0/00/02/83/60,2019-02-01 00:00:00.000000000,article,['FP26'],pub,"[{'docid': 42399, 'main': '(11) HASIL PENILAIAN KARYA ILMIAH PARTISIPASI PETANI DALAM PROGRAM PUPM.pdf', 'files': [{'objectid': 42399, 'uri': 'http://repository.lppm.unila.ac.id/id/file/252082', 'datasetid': 'document', 'filesize': 2302452, 'mime_type': 'application/pdf', 'fileid': 252082, 'hash': '4e39f758f1bd51fe0db53fb444876e93', 'filename': '(11) HASIL PENILAIAN KARYA ILMIAH PARTISIPASI PETANI DALAM PROGRAM PUPM.pdf', 'mtime': '2021-03-14 07:53:14', 'hash_type': 'MD5'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42399', 'eprintid': 28360, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",Juruan Agribisnis Fakultas Pertanian Universitas Lampung,http://repository.lppm.unila.ac.id/id/eprint/28360,public,2021-03-15 01:42:37,930,2021-03-15 01:42:37,28360,published,"PARTISIPASI PETANI DAN KEBERHASILAN PROGRAM PENGEMBANGAN USAHA PANGAN MASYARAKAT (PUPM) DI KECAMATAN PALAS KABUPATEN LAMPUNG SELATAN
Resti Anggraini, Kordiyana K Rangga, Tubagus Hasanuddin",6,,show,2021-03-15 01:42:37,archive,['S1'],113-119,TRUE,,,"Abstract

The purpose of this research is to know the level of farmers’ participation, the factors associated with the level of farmers’ participation and the relationship between the level of farmers’ participation and the success of the program.  Data of this research were collected in February-March 2018.  The respondents are 66 rice farmers members of farmer groups joining the program who are chosen randomly  The research is a survey and data are analyzed using Rank Spearman and descriptively.  The results showed that the level of farmers’ participation is in a low catergory.  Factors related to the level of farmers’ participation in PUPM program are farmers’ knowledge on the program, frequency of their participation in extension activities, and level of farmers’ cosmopolitan character.  There is a significant relationship between farmers’ participation and the success of PUPM program in Palas Subdistrict of South Lampung Regency.
Key words: farmer, participation, program, PUPM",,,,2337 7070,Jurnal Ilmu-Ilmu Agribisnis,1.0,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",7,,,,,,,,
5,"[{'id': None, 'name': {'lineage': None, 'family': 'Aprilia Rahmawati', 'honourific': None, 'given': 'Rahmawati'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Muher Sukmayanto', 'given': 'Sukmayanto'}, 'id': None}, {'name': {'given': 'HY', 'family': 'Helvi Yanfika', 'honourific': None, 'lineage': None}, 'id': 'helviyanfika@yahoo.co.id'}]",disk0/00/02/91/96,2019-07-01 00:00:00.000000000,other,['FP26'],pub,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/258787', 'objectid': 43302, 'filesize': 1910252, 'datasetid': 'document', 'filename': 'Nasional_Mediasi sebagai Upaya Pelestarian Masalah Antara PT Aneka Sumber Bumi Jaya dengan Warga Desa Bumisari Kecamatan Natar Kabupaten Lampung Selatan.pdf', 'hash': '7599343704daa0c8f9e5a097fe50a7c1', 'hash_type': 'MD5', 'mtime': '2021-04-12 06:57:04', 'mime_type': 'application/pdf', 'fileid': 258787}], 'main': 'Nasional_Mediasi sebagai Upaya Pelestarian Masalah Antara PT Aneka Sumber Bumi Jaya dengan Warga Desa Bumisari Kecamatan Natar Kabupaten Lampung Selatan.pdf', 'docid': 43302, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43302', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 29196, 'mime_type': 'application/pdf', 'language': 'en'}]",Mimbar Agribisnis Jurnal Pemikiran Masyarakat Ilmiah Berwawasan Agribisnis,http://repository.lppm.unila.ac.id/id/eprint/29196,public,2021-04-13 01:12:03,301,2021-04-13 01:12:03,29196,,Hasil Review_Mediasi sebagai Upaya Penyelesaian Masalah Antara PT. Aneka Sumber Bumi Jaya dengan Warga Desa Bumi Sari Kecamatan Natar Lampung Selatan,8,,show,2021-04-13 01:12:03,archive,['S1'],,,,,Hasil Review Mimbar Agribisnis Jurnal Pemikiran Masyarakat Ilmiah Berwawasan Agribisnis,[{'url': 'https://jurnal.unigal.ac.id/index.php/mimbaragribisnis/article/view/1916'}],,https://jurnal.unigal.ac.id/index.php/mimbaragribisnis/article/view/1916,,,,,,,,,,,,,
6,"[{'name': {'given': 'Imam Sugiharto', 'lineage': None, 'honourific': None, 'family': 'Dermawan'}, 'id': None}, {'name': {'given': 'Irwan', 'family': 'Efendi', 'honourific': None, 'lineage': None}, 'id': None}, {'id': 'korrangga@yahoo.com', 'name': {'lineage': None, 'family': 'Rangga', 'honourific': None, 'given': 'Kordiyana'}}]",disk0/00/02/22/75,2019-05-02 00:00:00.000000000,article,['FP26'],pub,"[{'docid': 35691, 'main': 'JURNAL.pdf', 'files': [{'datasetid': 'document', 'filesize': 294691, 'mime_type': 'application/pdf', 'fileid': 204858, 'filename': 'JURNAL.pdf', 'hash': 'b790d4f97ee1a7e9e5d4c0b408813097', 'mtime': '2020-06-11 07:24:13', 'hash_type': 'MD5', 'objectid': 35691, 'uri': 'http://repository.lppm.unila.ac.id/id/file/204858'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35691', 'eprintid': 22275, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",JIIA,http://repository.lppm.unila.ac.id/id/eprint/22275,public,2020-06-11 07:40:36,966,2020-06-11 07:40:36,22275,published,"PERANAN FIELD OFFICER PT VASHAM KOSA SEJAHTERA DALAM PROGRAM KEMITRAAN DENGAN PETANI JAGUNG DI KECAMATAN KETAPANG
KABUPATEN LAMPUNG SELATAN",7,,show,2020-06-11 07:40:36,archive,['S1'],242-246,TRUE,,,"This study aims to determine the partnership patterns that are applied and analyze the roles of facilitators in partnership programs, the relationship between the roles of the facilitators and the productivity of farmer partners, the relationship between production and income of farmer partners, and the differences in productivity and income of farmer partners of PT Vasham Kosa Sejahtera and non-partners. This location was chosen purposively with consideration that South Lampung Regency is the largest corn production center in Lampung Province and Ketapang District, where there are most partner farmers of PT Vasham Kosa Sejahtera in South Lampung Regency. Respondents were 50 partner farmers and 50 non-partner farmers. This research method uses a survey method, descriptive analysis and rank Spearman correlation test. The results showed that the partnership pattern that was established with partner corn farmers belonged to the pattern of Agribusiness Operational Cooperation (KOA). The role of Field Officers PT Vasham Kosa Sejahtera in the partnership program as a whole is quite a role. There is no significant relationship beetwen role of field officer and productivity of partner farmer corn farming. There is significant relationship between production and income of partner farmers corn farming. There is diferenece productivity of partner farmers and non-partner farmers corn farming and no difference between income of partner farmers and non-partner farmers corn farming.",[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/3387'}],,http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/3387,,Peranan Field Officer PT Vasham Kosa Sejahtera Dalam Program Kemitraan Dengan Petani Jagung di Kecamatan Ketapang Kabupaten Lampung Selatan,2.0,,7,,,,,,,,
7,"[{'name': {'given': 'DN', 'honourific': None, 'family': 'Dewangga Nikmatullah', 'lineage': None}, 'id': 'dewangganikmatullah@yahoo.com'}, {'id': 'beggem_vh@yahoo.com', 'name': {'given': 'BV', 'honourific': None, 'family': 'Begem Viantimala', 'lineage': None}}]",disk0/00/01/65/77,2019-02-01 00:00:00.000000000,article,['FP26'],pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 16577, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29650', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'objectid': 29650, 'uri': 'http://repository.lppm.unila.ac.id/id/file/141366', 'datasetid': 'document', 'filesize': 688712, 'mime_type': 'application/pdf', 'fileid': 141366, 'filename': 'JIIA Februari 2019 (1).pdf', 'hash': 'ee43f26b73ce92d9fe9ee3af39337744', 'hash_type': 'MD5', 'mtime': '2019-11-15 07:38:56'}], 'main': 'JIIA Februari 2019 (1).pdf', 'docid': 29650}]",Juruan Agribisnis Fakultas Pertanian Universitas Lampung,http://repository.lppm.unila.ac.id/id/eprint/16577,public,2019-11-18 05:10:51,828,2019-11-18 05:10:51,16577,,KOMPETENSI PPL DAN KEMAMPUAN KELOMPOK TANI DALAM MENUNJANG BP3KBERPRESTASI DI KECAMATAN RAMAN UTARA KABUPATEN LAMPUNG TIMUR,6,,show,2019-11-18 05:10:51,archive,['AC'],106-112,TRUE,,,"The research is to analyze competence of Agricultural Extension Workers (AEWs), ability of farmer groups, and analyze relationship between the AEWs’ competence and the ability of farmer groups to support the distinguished North Raman BP3K. The research method used is a survey carried out in North Raman subdistrict of East Lampung. Data were collected in March - July 2017. The data are analyzed descriptively and using Kruskals Wallis test. Respondents are 77 people consisting of three AEWs’ and 74 rice farmers in North Raman subdistrict specified using a purposive sampling method. The results showed the Competence of the AEWs’ is in medium category and the ability of farmer groups is in medium category. There is relationship between the competence of the AEW’s and the ability of farmer groups to support the distinguished BP3K in North Raman subdistrict. Key words: AEWs’ Competence, BP3K, farmer groups’ capability",,,http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/3338,2337 7070,Jurnal Ilmu-Ilmu Agribisnis,1.0,"['Universitas Lampung', 'Universitas Lampung']",7,,,,,,,,
8,"[{'id': 'dewangganikmatullah@yahoo.com', 'name': {'family': 'Dewangga Nikmatullah', 'honourific': None, 'lineage': None, 'given': 'DN'}}, {'id': 'korrangga@yahoo.com', 'name': {'given': 'KKR', 'lineage': None, 'honourific': None, 'family': 'Kordiyana K Rangga'}}]",disk0/00/01/65/74,2019-05-01 00:00:00.000000000,article,['FP26'],pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 16574, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29647', 'main': 'JIIA Mei 2019 (Miftah).pdf', 'docid': 29647, 'files': [{'fileid': 141353, 'mime_type': 'application/pdf', 'mtime': '2019-11-15 07:31:46', 'hash_type': 'MD5', 'filename': 'JIIA Mei 2019 (Miftah).pdf', 'hash': 'c864a93c3c7550dbe90f5202f0171667', 'datasetid': 'document', 'filesize': 485838, 'objectid': 29647, 'uri': 'http://repository.lppm.unila.ac.id/id/file/141353'}]}]",Juruan Agribisnis Fakultas Pertanian Universitas Lampung,http://repository.lppm.unila.ac.id/id/eprint/16574,public,2019-11-18 05:10:47,828,2019-11-18 05:10:47,16574,,HUBUNGAN TINGKAT PARTISIPASI ANGGOTA KELOMPOK TANI DENGAN DINAMIKA KELOMPOK TANI SERTA PENINGKATAN PRODUKSI PADI DI DESA CINTAMULYA KECAMATAN CANDIPURO KABUPATEN LAMPUNG SELATAN,6,,show,2019-11-18 05:10:47,archive,['AC'],219-224,TRUE,,,"This study aims to examine participation level of farmer group members, farmer group dynamics, rice production increase, and the relationship between the the participation, group dynamics and rice production increase in Cintamulya Village, Candipuro District, South Lampung Regency. Respondents in this study were 85 farmers. The study was conducted in August - September 2017. The research method used was a survey method using a quantitative descriptive analysis method. The relationship among variables are analyzed using nonparametric statistics Spearman rank correlation test. The results showed that the participation rate of farmer group members is in a low category, group dynamics is in less dynamic category, and increase production is included in a low category. There are significant relationships between the level of participation of members of farmer groups and farmer group dynamics, the level of participation and production increase, and group dynamics and production increase. Key words: group dynamics, production increase, participation",,,http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/3384/2585,2337 7070,Jurnal Ilmu-Ilmu Agribisnis,2.0,"['Universitas Lampung', 'Universitas Lampung']",7,,,,,,,,
9,"[{'id': None, 'name': {'lineage': None, 'family': 'EFFENDI', 'honourific': None, 'given': 'IRWAN'}}, {'id': 'indahlistiana@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Listiana', 'given': 'Indah'}}]",disk0/00/01/53/94,2019-10-01 00:00:00.000000000,article,['FP26'],pub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/28517', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 28517, 'uri': 'http://repository.lppm.unila.ac.id/id/file/132815', 'fileid': 132815, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-11-04 11:05:07', 'hash': 'a0bad2effefb20dd6abfdc1a217d0be1', 'filename': 'document-2.pdf', 'datasetid': 'document', 'filesize': 245138}], 'docid': 28517, 'main': 'document-2.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 15394}]",Research in Business & Social Science,http://repository.lppm.unila.ac.id/id/eprint/15394,public,2019-11-05 10:49:54,609,2019-11-05 10:49:54,15394,published,Effect of infrastructure development in the program of simultaneous movement for village development on economic growth,7,,show,2019-11-05 10:49:54,archive,['H1'],25-30,TRUE,,,"he  Regency  of  Tulang  Bawang  develops program  called  Simultaneous  Movement  for  Village Development (Gerakan Serentak Membangun Kampung), that is a movement carried out by, from, and for  the  community  of  Tulang  Bawang  to  do  the  right  thing  together  in  an  effort  to  accelerate  the development of village infrastructure for economic development of village community.Infrastructure limitation leads to the high poverty rate in rural area. The study of Simultaneous Movement for Village Development Program or Gerakan Serentak Membangun Kampung (GSMK) aims  to  assess the  effect of Direct Cash Transfer for Community (BLM, Dana Bantuan Langsung Masyarakat), and community initiative in GSMK Program on economic growth of the community in Tulang Bawang Regency. The type of research applied wasquantitative research using multiple regression analysis. This study was conducted using secondary data in 2011-2016 sourced from Lampung dalam angka, result of previous studies, and other supporting data. Moreover, the data required in this study included total amount of BLM and  community  initiative  in  GSMK  Program  conducted  in Tulang  Bawang Regency,  and community  initiative. The study  conducted  in  Tulang  Bawang  Regency showed  that:  (1)  There wassignificant  correlation  between  Direct  Cas  Transfer  for  Community and Community  Initiative on Economic Growth Rate of Community; (2) Direct Cash Transfer for Community significantly affected the  Gross  Regional  Domestic  Product  (PDRB)at  confidence  level  of 99%,  and(3) Community Initiative  did  not  significantly  affect  economic  growth rate of community since confidence level only reached a value of 11.5%","[{'type': 'author', 'url': 'https://www.ssbfnet.com/ojs/index.php/ijrbs/article/view/505/464'}]",,https://www.ssbfnet.com/ojs/index.php/ijrbs/article/view/505/464,2147-4478,Research in Business & Social Science,6.0,,8,https://www.ssbfnet.com/ojs/index.php/ijrbs/article/view/505/464,,,,,,,
