,full_text_status,uri,refereed,ispublished,documents,publisher,datestamp,lastmod,userid,dir,date,publication,creators,divisions,type,rev_number,metadata_visibility,title,subjects,abstract,status_changed,eprint_status,eprintid,book_title,pres_type,event_type,event_title,projects,date_type,official_url,place_of_pub,id_number,funders,corp_creators,volume,number
0,public,http://repository.lppm.unila.ac.id/id/eprint/39369,FALSE,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 39369, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'filesize': 628380, 'mime_type': 'application/pdf', 'fileid': 442742, 'hash': '40ceec6d075d16813ee3647e91527c59', 'filename': 'REVIEW INTEGRATION.pdf', 'mtime': '2022-02-16 00:48:04', 'hash_type': 'MD5', 'objectid': 160651, 'uri': 'http://repository.lppm.unila.ac.id/id/file/442742'}], 'main': 'REVIEW INTEGRATION.pdf', 'docid': 160651, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160651', 'rev_number': 1, 'pos': 1, 'format': 'text'}]","University of Tehran, Iran",2022-02-16 01:17:12,2022-02-16 01:17:12,114,disk0/00/03/93/69,2022-01-01 00:00:00.000000000,Webology,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rini.fathonah@fh.unila.ac.id</font></font>', 'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",['FH2'],article,6,show,Integration Of Policy for The Prevention of The Transmission of Covid-19 To the Children of Indonesian Corporate Institutions,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,2022-02-16 01:17:12,archive,39369,,,,,,,,,,,,,
1,public,http://repository.lppm.unila.ac.id/id/eprint/39671,FALSE,pub,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160948', 'docid': 160948, 'main': 'Integration_Of_Policy_for_The_Prevention_of_The_Tr.pdf', 'files': [{'datasetid': 'document', 'filesize': 2644259, 'fileid': 445150, 'mime_type': 'application/pdf', 'mtime': '2022-02-21 06:13:49', 'hash_type': 'MD5', 'filename': 'Integration_Of_Policy_for_The_Prevention_of_The_Tr.pdf', 'hash': '5e40d3764ac6f04afdf75c24fca80823', 'objectid': 160948, 'uri': 'http://repository.lppm.unila.ac.id/id/file/445150'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 39671, 'placement': 1, 'security': 'public'}]","University of Tehran, Iran",2022-02-21 07:39:20,2022-02-21 07:39:20,114,disk0/00/03/96/71,1970-01-01 00:00:00.000002022,Webology,"[{'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rini.fathonah@fh.unila.ac.id</font></font>'}]",['FH2'],article,6,show,Integration Of Policy for The Prevention of The Transmission of Covid-19 To the Children of Indonesian Corporate Institutions,['K1'],Hasil Check Similarity,2022-02-21 07:39:20,archive,39671,,,,,,,,,,,,,
2,public,http://repository.lppm.unila.ac.id/id/eprint/48942,FALSE,pub,"[{'files': [{'mime_type': 'application/pdf', 'fileid': 532602, 'filename': 'APRILIANTI.pdf', 'hash': '5ac3a3462ea32dea2f7a4c5486ccc516', 'hash_type': 'MD5', 'mtime': '2023-03-15 02:24:58', 'datasetid': 'document', 'filesize': 2162004, 'objectid': 188386, 'uri': 'http://repository.lppm.unila.ac.id/id/file/532602'}], 'docid': 188386, 'main': 'APRILIANTI.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188386', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 48942, 'mime_type': 'application/pdf', 'language': 'en'}]",IJMMU,2023-03-15 03:45:41,2023-03-15 03:45:41,707,disk0_bak/00/04/89/42,1970-01-01 00:00:00.000002022,International Journal of Multicultural and Multireligious Understanding,"[{'name': {'given': 'APRILIANTI', 'lineage': None, 'family': 'APRILIANTI', 'honourific': None}}]",['FH2'],article,6,show,Agreement Based on Musyarakah Financing Fatwa of the National Sharia Council No: 08/DSN-MUI/IV/2000 Concerning Musyarakah Financing,['K1'],Hasil Check Similarity,2023-03-15 03:45:41,archive,48942,,,,,,,,,,,,,
3,public,http://repository.lppm.unila.ac.id/id/eprint/47458,FALSE,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 47458, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186513', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'objectid': 186513, 'uri': 'http://repository.lppm.unila.ac.id/id/file/520476', 'datasetid': 'document', 'filesize': 7110204, 'fileid': 520476, 'mime_type': 'application/pdf', 'mtime': '2022-12-26 00:40:26', 'hash_type': 'MD5', 'hash': '053500e455fd67a51c995c1fa5ab0ae8', 'filename': 'Hukum Adat.pdf'}], 'main': 'Hukum Adat.pdf', 'docid': 186513}]",Pusaka Media,2022-12-26 02:11:50,2022-12-26 02:11:50,707,disk0_bak/00/04/74/58,2022-10-01 00:00:00.000000000,,"[{'name': {'given': 'APRILIANTI', 'lineage': None, 'family': 'APRILIANTI', 'honourific': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Kasmawati', 'given': 'Kasmawati'}}]",['FH2'],book_section,7,show,Hukum Adat di Indonesia,['K1'],,2022-12-26 02:11:50,archive,47458,Hukum Adat di Indonesia,,,,,,,,,,,,
4,public,http://repository.lppm.unila.ac.id/id/eprint/50052,FALSE,pub,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/541656', 'objectid': 189779, 'mtime': '2023-04-10 06:59:44', 'hash_type': 'MD5', 'filename': 'ahmad syofyan123.pdf', 'hash': '4088418284a70d7121a41a553fbfe422', 'fileid': 541656, 'mime_type': 'application/pdf', 'filesize': 2323143, 'datasetid': 'document'}], 'main': 'ahmad syofyan123.pdf', 'docid': 189779, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189779', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 50052, 'language': 'en', 'mime_type': 'application/pdf'}]",Fakultas Hukum Universitas Lampung,2023-04-10 07:10:54,2023-04-10 07:10:54,230,disk0_bak/00/05/00/52,1970-01-01 00:00:00.000002022,GAGASAN PEMBENTUKAN PERUSAHAAN INTERNASIONAL UNTUK PENGELOLAAN SUMBERDAYA ALAM WARISAN BERSAMA UMAT,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Ahmad', 'given': 'Syofyan'}, 'id': 'a_syofyan23@yahoo.com'}]",['FH2'],article,8,show,hfryjhfr,['K1'],Hasil Check Similarity,2023-04-10 07:10:54,archive,50052,,,,,,,,,,,,,
5,public,http://repository.lppm.unila.ac.id/id/eprint/50220,FALSE,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 50220, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189925', 'rev_number': 1, 'docid': 189925, 'main': 'HKI-HUKUM INTERNASIONAL.pdf', 'files': [{'mtime': '2023-04-11 06:41:50', 'hash_type': 'MD5', 'hash': '655e6f515d6dc04a7a110784f717d857', 'filename': 'HKI-HUKUM INTERNASIONAL.pdf', 'fileid': 542745, 'mime_type': 'application/pdf', 'filesize': 5292248, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/542745', 'objectid': 189925}]}]",Pusat Kajian Konstitusi dan Perundang-undangan Universitas Lampung,2023-04-11 07:26:19,2023-04-11 07:26:19,230,disk0_bak/00/05/02/20,1970-01-01 00:00:00.000002022,,"[{'id': 'ahmad.syofyan@fh.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Ahmad Syofyan', 'given': 'Ahmad S'}}]",['FH2'],book_section,7,show,HUKUM INTERNASIONAL,['K1'],,2023-04-11 07:26:19,archive,50220,hukum internasional,,,,,,,,,,,,
6,public,http://repository.lppm.unila.ac.id/id/eprint/50198,FALSE,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 50198, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189924', 'docid': 189924, 'main': 'HKI-HPSI.pdf', 'files': [{'datasetid': 'document', 'filesize': 4694158, 'mime_type': 'application/pdf', 'fileid': 542731, 'hash': '40a4e90b314c81f40929e0fcfd951ff1', 'filename': 'HKI-HPSI.pdf', 'mtime': '2023-04-11 06:31:46', 'hash_type': 'MD5', 'objectid': 189924, 'uri': 'http://repository.lppm.unila.ac.id/id/file/542731'}]}]",Justice Publisher/Fakultas Hukum Universitas Lampung,2023-04-11 07:25:56,2023-04-11 07:25:56,230,disk0_bak/00/05/01/98,1970-01-01 00:00:00.000002022,,"[{'id': 'ahmad.syofyan@fh.unila.ac.id', 'name': {'honourific': None, 'family': 'Ahmad Syofyan', 'lineage': None, 'given': 'Ahmad S'}}]",['FH2'],book_section,7,show,HUKUM PENYELESAIAN SENGKETA INTERNASIONAL,['K1'],,2023-04-11 07:25:56,archive,50198,HUKUM PENYELESAIAN SENGKETA INTERNASIONAL,,,,,,,,,,,,
7,public,http://repository.lppm.unila.ac.id/id/eprint/50983,FALSE,submitted,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190695', 'pos': 1, 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2023-05-03 03:07:27', 'filename': 'Implementation of Civil Rights against Vulnerable Groups in the Legal and Constitutional System in Indonesia.pdf', 'hash': '6769a06af9b5d520605ab7aee5757bfe', 'fileid': 548518, 'mime_type': 'application/pdf', 'filesize': 2351844, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/548518', 'objectid': 190695}], 'docid': 190695, 'main': 'Implementation of Civil Rights against Vulnerable Groups in the Legal and Constitutional System in Indonesia.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 50983}]",,2023-05-03 06:56:48,2023-05-03 06:56:48,230,disk0_bak/00/05/09/83,1970-01-01 00:00:00.000002022,Implementation of Civil Rights against Vulnerable Groups in the Legal and Constitutional System in Indonesia,"[{'id': 'ahmad.syofyan@fh.unila.ac.id', 'name': {'given': 'Ahmad S', 'family': 'Ahmad Syofyan', 'honourific': None, 'lineage': None}}]",['FH2'],article,6,show,Implementation of Civil Rights against Vulnerable Groups in the Legal and Constitutional System in Indonesia,['K1'],,2023-05-03 06:56:48,archive,50983,,,,,,,,,,,,,
8,public,http://repository.lppm.unila.ac.id/id/eprint/51213,FALSE,pub,"[{'eprintid': 51213, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 190948, 'main': 'Laporan Akhir Penelitian Dasar_Naek Siregar dan Ahmad Syofyan.pdf', 'files': [{'fileid': 550320, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-05-08 06:33:39', 'hash': '39c89ac598362661fd020425554869fd', 'filename': 'Laporan Akhir Penelitian Dasar_Naek Siregar dan Ahmad Syofyan.pdf', 'datasetid': 'document', 'filesize': 1607695, 'objectid': 190948, 'uri': 'http://repository.lppm.unila.ac.id/id/file/550320'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190948'}]",,2023-05-08 07:47:36,2023-05-08 07:47:36,230,disk0_bak/00/05/12/13,1970-01-01 00:00:00.000002022,ENGGUNAAN ARTIFICIAL INTELLIGENCE DALAM KONFLIK BERSENJATA MENURUT HUKUM INTERNASIONAL,"[{'id': 'ahmad.syofyan@fh.unila.ac.id', 'name': {'given': 'Ahmad S', 'lineage': None, 'honourific': None, 'family': 'Ahmad Syofyan'}}]",['FH2'],article,6,show,PENGGUNAAN ARTIFICIAL INTELLIGENCE DALAM KONFLIK BERSENJATA MENURUT HUKUM INTERNASIONAL,['K1'],,2023-05-08 07:47:36,archive,51213,,,,,,,,,,,,,
9,public,http://repository.lppm.unila.ac.id/id/eprint/50087,FALSE,submitted,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 50087, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189785', 'pos': 1, 'format': 'text', 'files': [{'filename': 'SKHLI Print revisi 2022.pdf', 'hash': '1cf954d9fcbfe3dde3e6e2353108aa0e', 'hash_type': 'MD5', 'mtime': '2023-04-10 07:20:16', 'mime_type': 'application/pdf', 'fileid': 541735, 'filesize': 16782842, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/541735', 'objectid': 189785}], 'main': 'SKHLI Print revisi 2022.pdf', 'docid': 189785}]",Fakultas Hukum Universitas Lampung,2023-04-10 09:19:21,2023-04-10 09:19:21,230,disk0_bak/00/05/00/87,1970-01-01 00:00:00.000002022,,"[{'name': {'lineage': None, 'family': 'Ahmad Syofyan', 'honourific': None, 'given': 'Ahmad S'}, 'id': 'ahmad.syofyan@fh.unila.ac.id'}]",['FH2'],book_section,8,show,STUDI KASUS HUKUM LINGKUNGAN INTERNASIONAL,['K1'],,2023-04-10 09:19:21,archive,50087,STUDI KASUS HUKUM LINGKUNGAN INTERNASIONAL,,,,,,,,,,,,
