,status_changed,volume,rev_number,metadata_visibility,title,isbn,pagerange,userid,full_text_status,uri,refereed,documents,funders,dir,subjects,abstract,eprint_status,place_of_pub,official_url,date_type,eprintid,projects,datestamp,lastmod,ispublished,number,contributors,publisher,divisions,book_title,type,editors,series,date,pages,id_number,creators,patent_applicant,publication,event_title,event_type,pres_type,issn,referencetext,keywords,related_url,corp_creators,event_dates,event_location
0,2023-05-08 03:33:21,1,8,show,IMPLEMENTASI HUKUM DALAM PERSPEKTIF TEORI DAN PRAKTIK (Seri Diskusi),---,v-vii,940,public,http://repository.lppm.unila.ac.id/id/eprint/51198,TRUE,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 51198, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190936', 'rev_number': 1, 'main': 'Monograf Implementasi Hukum dalam perspektif Teori dan Praktik (juni 2020)_compressed.pdf', 'docid': 190936, 'files': [{'objectid': 190936, 'uri': 'http://repository.lppm.unila.ac.id/id/file/550248', 'datasetid': 'document', 'filesize': 2193545, 'fileid': 550248, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-05-08 03:27:41', 'filename': 'Monograf Implementasi Hukum dalam perspektif Teori dan Praktik (juni 2020)_compressed.pdf', 'hash': '3d15b0484642b000592c884ed876db17'}]}]",['Magister Ilmu Hukum Unila'],disk0_bak/00/05/11/98,['K1'],"Pengembanan hukum teoretis pun akan memperhatikan hukum itu ketika berlaku di masyarakat. Sebaliknya pengembanan hukum praktis pun akan mencermati bagaimana hukum itu ada di dalam konstelasi sumber-sumber hukum, baik dalam bentuk undang-undang, kebiasaan, doktrin, traktat, yurisprudensi, dan seterusnya.",archive,Bandar Lampung,http://repository.lppm.unila.ac.id/,published,51198,['Seri Diskusi 1 Mahasiswa Magister Ilmu Hukum Unila'],2023-05-08 03:33:21,2023-05-08 03:33:21,pub,1,"[{'name': {'lineage': None, 'family': 'Sumarja', 'honourific': None, 'given': 'FX'}}]",Pusaka Media,['FH2'],IMPLEMENTASI HUKUM DALAM PERSPEKTIF TEORI DAN PRAKTIK (Seri Diskusi),book_section,"[{'name': {'honourific': None, 'family': 'Tisnanta', 'lineage': None, 'given': 'HS'}}]",1.0,2020-04-01 00:00:00.000000000,1.0,940,,,,,,,,,,,,,
1,2020-11-22 11:44:22,,7,show,Menelaah Hukum dalam Problematika Sosial,,,276,public,http://repository.lppm.unila.ac.id/id/eprint/26597,TRUE,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 26597, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40495', 'pos': 1, 'format': 'text', 'files': [{'objectid': 40495, 'uri': 'http://repository.lppm.unila.ac.id/id/file/239085', 'fileid': 239085, 'mime_type': 'application/pdf', 'mtime': '2020-11-22 07:29:29', 'hash_type': 'MD5', 'filename': 'prosiding fix2.pdf', 'hash': 'b4366449e508f119a5d74b37ac70a25f', 'datasetid': 'document', 'filesize': 2954265}], 'main': 'prosiding fix2.pdf', 'docid': 40495}]",,disk0/00/02/65/97,['K1'],,archive,Bandar Lampung,,published,26597,,2020-11-22 11:44:22,2020-11-22 11:44:22,pub,,,Justice Publisher,['FH2'],,book,"[{'id': 'fxsmj.unila@gmail.com', 'name': {'given': 'FX', 'lineage': None, 'honourific': None, 'family': 'Sumarja'}}, {'id': 'bayu.sujadmiko@fh.unila.ac.id', 'name': {'given': 'Bayu', 'honourific': None, 'family': 'Sujadmiko', 'lineage': None}}]",,2020-10-01 00:00:00.000000000,93.0,,,,,,,,,,,,,,
2,2021-11-19 06:32:45,,7,show,"Abu-Lsmad Al-Palembani Siyaru-Lsalikin, Jus II BAB 2 (Kajian terhadap Wanita dan Perkawinan)",,,786,public,http://repository.lppm.unila.ac.id/id/eprint/37033,,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157945', 'docid': 157945, 'main': 'Abdul Somad.pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 424953, 'filename': 'Abdul Somad.pdf', 'hash': 'be63f5462254d41ccce4a61bb01941f6', 'mtime': '2021-11-19 03:44:47', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 1911264, 'objectid': 157945, 'uri': 'http://repository.lppm.unila.ac.id/id/file/424953'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 37033, 'security': 'public', 'placement': 1}]",,disk0/00/03/70/33,['K1'],,archive,,,published,37033,,2021-11-19 06:32:45,2021-11-19 06:32:46,pub,,,,['FH2'],,patent,,,1970-01-01 00:00:00.000002020,,EC00202046866,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">nunungradliyah@yahoo.com</font></font>'}]",LPPM UNILA,,,,,,,,,,,
3,2022-01-11 10:13:23,,6,show,Analisis Kompetensi Pedagogik Guru Pendidikan Agama Islam SMP  Negeri di Kota Metro,,,3485,public,http://repository.lppm.unila.ac.id/id/eprint/37817,FALSE,"[{'files': [{'mime_type': 'application/pdf', 'fileid': 430755, 'hash': '2c97bc08eaca4ad71f9ba743cfb760df', 'filename': 'Reviewer Suci.pdf', 'mtime': '2022-01-11 03:29:45', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 391465, 'objectid': 158746, 'uri': 'http://repository.lppm.unila.ac.id/id/file/430755'}], 'main': 'Reviewer Suci.pdf', 'docid': 158746, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158746', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 37817, 'language': 'en', 'mime_type': 'application/pdf'}]",,disk0/00/03/78/17,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Reviewe,archive,,,,37817,,2022-01-11 10:13:23,2022-01-11 10:13:23,pub,,,LPPM IAI-KHairat Pemekasan,['FH2'],,article,,,1970-01-01 00:00:00.000002020,,,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">eka.indria@fh.unila.ac.id</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}}]",,FIKROTUNA,,,,,,,,,,
4,2022-02-25 10:03:51,,7,show,Destructive Fishing Treatment Policy Based on Community Supervision in Lampung Province,,,318,public,http://repository.lppm.unila.ac.id/id/eprint/39817,FALSE,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 39817, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161096', 'pos': 1, 'format': 'text', 'files': [{'fileid': 446289, 'mime_type': 'application/pdf', 'mtime': '2022-02-25 06:31:00', 'hash_type': 'MD5', 'hash': 'c9ff1a50889acd349a4006ccc6e3cd41', 'filename': 'Destructive_Fishing_Treatment_Policy_Based_on_Comm.pdf', 'datasetid': 'document', 'filesize': 2549339, 'objectid': 161096, 'uri': 'http://repository.lppm.unila.ac.id/id/file/446289'}], 'docid': 161096, 'main': 'Destructive_Fishing_Treatment_Policy_Based_on_Comm.pdf'}]",,disk0/00/03/98/17,['K1'],Hasil Chcek Similarity,archive,,,,39817,,2022-02-25 10:03:51,2022-02-25 10:03:51,pub,,,,['FH2'],,conference_item,,,1970-01-01 00:00:00.000002020,,,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">mayashafira@fh.unila.ac.id</font></font>', 'name': {'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,,Proceeding ICETLAWBE 2020,conference,other,,,,,,,
5,2022-02-16 01:16:21,,7,show,Developing Criminal Policy on Illegal Fishing Counter-measures under the New Normal Order in Indonesia: A Non-penal Perspective,,,318,public,http://repository.lppm.unila.ac.id/id/eprint/39331,FALSE,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 39331, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160613', 'pos': 1, 'format': 'text', 'files': [{'filesize': 373539, 'datasetid': 'document', 'filename': 'Reviewer Developing.pdf', 'hash': '4c56ab9aa4edb6ea7e0a2544facb0f46', 'hash_type': 'MD5', 'mtime': '2022-02-15 09:17:20', 'mime_type': 'application/pdf', 'fileid': 442487, 'uri': 'http://repository.lppm.unila.ac.id/id/file/442487', 'objectid': 160613}], 'main': 'Reviewer Developing.pdf', 'docid': 160613}]",,disk0/00/03/93/31,['K1'],Hasil Penilaian sejawat Sebidang atau Peer Review,archive,,,,39331,,2022-02-16 01:16:21,2022-02-16 01:16:21,pub,,,,['FH2'],,conference_item,,,1970-01-01 00:00:00.000002020,,,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">mayashafira@fh.unila.ac.id</font></font>'}]",,,Proceeding ICETLAWBE 2020,conference,paper,,,,,,,
6,2022-02-25 10:03:48,,7,show,Developing Criminal Policy on Illegal Fishing Counter-measures under the New Normal Order in Indonesia: A Non-penal Perspective,,,318,public,http://repository.lppm.unila.ac.id/id/eprint/39815,FALSE,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/161094', 'rev_number': 1, 'main': 'Developing_Criminal_Policy_on_Illegal_Fishing_Coun.pdf', 'docid': 161094, 'files': [{'objectid': 161094, 'uri': 'http://repository.lppm.unila.ac.id/id/file/446271', 'datasetid': 'document', 'filesize': 4937129, 'fileid': 446271, 'mime_type': 'application/pdf', 'mtime': '2022-02-25 06:24:05', 'hash_type': 'MD5', 'filename': 'Developing_Criminal_Policy_on_Illegal_Fishing_Coun.pdf', 'hash': '8821a5f20c039186a0e417c8494bc211'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 39815, 'placement': 1, 'security': 'public'}]",,disk0/00/03/98/15,['K1'],Hasil Chcek Similarity,archive,,,,39815,,2022-02-25 10:03:48,2022-02-25 10:03:48,pub,,,,['FH2'],,conference_item,,,1970-01-01 00:00:00.000002020,,,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">mayashafira@fh.unila.ac.id</font></font>', 'name': {'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,,Proceeding ICETLAWBE 2020,conference,other,,,,,,,
7,2022-02-16 01:16:14,,6,show,Harmonisasi Kebijakan Pengelolaan Lingkungan Pesisir Lampung dalam Rezim Pengelolaan Berbasis Masyarakat,,,318,public,http://repository.lppm.unila.ac.id/id/eprint/39327,FALSE,"[{'files': [{'filesize': 397361, 'datasetid': 'document', 'mtime': '2022-02-15 09:00:34', 'hash_type': 'MD5', 'filename': 'Reviewer Harmonisasi Kebijakan.pdf', 'hash': 'd99e871d42fd8add72c61c07c27d44f0', 'fileid': 442464, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/442464', 'objectid': 160610}], 'docid': 160610, 'main': 'Reviewer Harmonisasi Kebijakan.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160610', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 39327, 'language': 'en', 'mime_type': 'application/pdf'}]",,disk0/00/03/93/27,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,archive,,,,39327,,2022-02-16 01:16:14,2022-02-16 01:16:14,pub,,,ICEL,['FH2'],,article,,,1970-01-01 00:00:00.000002020,,,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">mayashafira@fh.unila.ac.id</font></font>'}]",,Jurnal Hukum Lingkungan Indonesia,,,,,,,,,,
8,2022-02-16 01:16:16,,6,show,Harmonisasi Kewenangan Pengelolaan Sumber Daya Perikanan Di Era Otonomi Daerah Berbasis Pancasila,,,318,public,http://repository.lppm.unila.ac.id/id/eprint/39328,FALSE,"[{'files': [{'objectid': 160611, 'uri': 'http://repository.lppm.unila.ac.id/id/file/442470', 'fileid': 442470, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-02-15 09:04:19', 'hash': '3940e030b626afc5cb2708ba2f09d234', 'filename': 'Reviewer Harmonisasi Kewenangan.pdf', 'datasetid': 'document', 'filesize': 401645}], 'docid': 160611, 'main': 'Reviewer Harmonisasi Kewenangan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/160611', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 39328, 'mime_type': 'application/pdf', 'language': 'en'}]",,disk0/00/03/93/28,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,archive,,,,39328,,2022-02-16 01:16:16,2022-02-16 01:16:16,pub,,,"Doktoral Ilmu Hukum, Fakultas Hukum, Universitas Lampung",['FH2'],,article,,,1970-01-01 00:00:00.000002020,,,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">mayashafira@fh.unila.ac.id</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None}}]",,Pancasila and Law Review,,,,,,,,,,
9,2022-02-25 10:03:50,,7,show,Kebijakan Dekonsentrasi Pengelolaan Perikanan: Studi Kasus Di Provinsi Lampung,,,318,public,http://repository.lppm.unila.ac.id/id/eprint/39816,FALSE,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 39816, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161095', 'main': 'Kebijakan_Dekonsentrasi_Pengelolaan_Perikanan__Stu.pdf', 'docid': 161095, 'files': [{'fileid': 446282, 'mime_type': 'application/pdf', 'mtime': '2022-02-25 06:27:08', 'hash_type': 'MD5', 'hash': '6639d132a454029a2789b6a5c3c6a649', 'filename': 'Kebijakan_Dekonsentrasi_Pengelolaan_Perikanan__Stu.pdf', 'datasetid': 'document', 'filesize': 7785459, 'objectid': 161095, 'uri': 'http://repository.lppm.unila.ac.id/id/file/446282'}]}]",,disk0/00/03/98/16,['K1'],Hasil Check Similarity,archive,,,,39816,,2022-02-25 10:03:50,2022-02-25 10:03:50,pub,,,,['FH2'],,conference_item,,,1970-01-01 00:00:00.000002020,,,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">mayashafira@fh.unila.ac.id</font></font>', 'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,,Prosding Seminar Nasional,conference,other,,,,,,,
