,creators,date,dir,type,book_title,divisions,ispublished,documents,publisher,uri,full_text_status,refereed,lastmod,userid,datestamp,eprintid,title,rev_number,metadata_visibility,status_changed,eprint_status,subjects,abstract,publication,event_type,event_title,pres_type,pagerange,place_of_pub,isbn,monograph_type,issn,corp_creators,id_number,funders,official_url,related_url,projects,institution,date_type,learning_level,completion_time,pedagogic_type,skill_areas,volume,number,contributors,copyright_holders,task_purpose,event_location,event_dates,pages,department,keywords
0,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",1970-01-01 00:00:00.000002019,disk0/00/03/46/99,book_section,Buku Jalan Sunyi Sang Guru,['FH2'],pub,"[{'files': [{'datasetid': 'document', 'filesize': 3295482, 'mime_type': 'application/pdf', 'fileid': 407414, 'filename': 'Sang Guru Kasmawati.pdf', 'hash': '063c70e7a8b2809ba772e1675176abfb', 'mtime': '2021-10-28 07:16:52', 'hash_type': 'MD5', 'objectid': 155346, 'uri': 'http://repository.lppm.unila.ac.id/id/file/407414'}], 'docid': 155346, 'main': 'Sang Guru Kasmawati.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/155346', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 34699, 'language': 'en', 'mime_type': 'application/pdf'}]",PKKP-HAM FH Unila,http://repository.lppm.unila.ac.id/id/eprint/34699,public,FALSE,2021-10-29 01:04:40,61,2021-10-29 01:04:40,34699,Aspek Hukum Dalam Pengangkutan Barang dalam Buku Jalan Sunyi Sang Guru,7,show,2021-10-29 01:04:40,archive,['K1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",1970-01-01 00:00:00.000002019,disk0/00/03/72/28,article,,['FH2'],pub,"[{'eprintid': 37228, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': 'Progressive_Law_Review.pdf', 'docid': 158129, 'files': [{'datasetid': 'document', 'filesize': 3271036, 'mime_type': 'application/pdf', 'fileid': 426392, 'filename': 'Progressive_Law_Review.pdf', 'hash': 'afe2bd4e92e284243da971da6e4736ea', 'hash_type': 'MD5', 'mtime': '2021-12-09 07:56:16', 'objectid': 158129, 'uri': 'http://repository.lppm.unila.ac.id/id/file/426392'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/158129', 'rev_number': 1}]",Universitas Bandar Lampung',http://repository.lppm.unila.ac.id/id/eprint/37228,public,FALSE,2021-12-09 08:03:40,769,2021-12-09 08:03:40,37228,: Authority of Directorate General of Space Ministry of Workgeneral Under the Ministry of Agrarian and Governance / BPN,6,show,2021-12-09 08:03:40,archive,['K1'],Hasil Check Similarity,Jurnal Progressive Law Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[{'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rini.fathonah@fh.unila.ac.id</font></font>'}]",2019-12-01 00:00:00.000000000,disk0/00/03/26/45,article,,['FH2'],pub,"[{'main': '3271-Article Text-8311-1-10-20200121.pdf', 'docid': 148295, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/386246', 'objectid': 148295, 'hash': '2765f3afb02178073a5f004d2459958f', 'filename': '3271-Article Text-8311-1-10-20200121.pdf', 'hash_type': 'MD5', 'mtime': '2021-06-17 02:24:11', 'mime_type': 'application/pdf', 'fileid': 386246, 'filesize': 249010, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148295', 'eprintid': 32645, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",DINAMISIAera Utara 20221,http://repository.lppm.unila.ac.id/id/eprint/32645,public,FALSE,2021-06-17 07:37:51,114,2021-06-17 07:37:51,32645,"FGD DAN EDUKASI TENTANG UPAYA PENCEGAHAN 
KEKERASAN SEKSUAL DALAM RUMAH TANGGA",6,show,2021-06-17 07:37:51,archive,['K1'],,Jurnal Pengabdian Kepada Masyarakat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[{'name': {'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rini.fathonah@fh.unila.ac.id</font></font>'}]",2019-12-01 00:00:00.000000000,disk0/00/03/93/72,article,,['FH2'],pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 39372, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160654', 'rev_number': 1, 'docid': 160654, 'main': 'REVIEW MENELAAH.pdf', 'files': [{'filesize': 619266, 'datasetid': 'document', 'mtime': '2022-02-16 00:56:37', 'hash_type': 'MD5', 'filename': 'REVIEW MENELAAH.pdf', 'hash': 'f51bebf8e6810f2b223e6114d04e2e1c', 'fileid': 442757, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/442757', 'objectid': 160654}]}]",Universitas Pattimura,http://repository.lppm.unila.ac.id/id/eprint/39372,public,FALSE,2022-02-16 01:17:16,114,2022-02-16 01:17:16,39372,Menelaah Keadilan dalam Kebijakan Penanggulangan Illegal Fishing Di Indonesia: Perspektif Konsep Keadilan Thomas Aquinas,6,show,2022-02-16 01:17:16,archive,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,S A S I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[{'name': {'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rini.fathonah@fh.unila.ac.id</font></font>'}]",1970-01-01 00:00:00.000002019,disk0/00/03/38/12,conference_item,,['FH2'],pub,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154047', 'rev_number': 1, 'main': 'eai.5-8-2019.2308635.pdf', 'docid': 154047, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/400172', 'objectid': 154047, 'hash_type': 'MD5', 'mtime': '2021-09-08 09:03:26', 'filename': 'eai.5-8-2019.2308635.pdf', 'hash': '1e11818a2bad9126575c84ed65bda1b5', 'fileid': 400172, 'mime_type': 'application/pdf', 'filesize': 177826, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 33812, 'security': 'public', 'placement': 1}]",,http://repository.lppm.unila.ac.id/id/eprint/33812,public,FALSE,2021-09-08 10:14:21,114,2021-09-08 10:14:21,33812,"Non-Custodial Sanctions Policy in Renewing the 
Criminal System in Indonesia (Study of Non-Custodial 
Sanction Approaches in Draft Law of the Criminal 
Law)",7,show,2021-09-08 10:14:21,archive,['K1'],,,conference,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Prosiding International Conference on Fundamental Rights ke-2, I-COFFEES 2019</font></font>",other,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[{'name': {'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rini.fathonah@fh.unila.ac.id</font></font>'}]",1970-01-01 00:00:00.000002019,disk0/00/03/96/69,conference_item,,['FH2'],pub,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160946', 'main': 'Non_Custodial_Sanctions_Policy_in_Renewing_the.pdf', 'docid': 160946, 'files': [{'objectid': 160946, 'uri': 'http://repository.lppm.unila.ac.id/id/file/445138', 'datasetid': 'document', 'filesize': 2189616, 'fileid': 445138, 'mime_type': 'application/pdf', 'mtime': '2022-02-21 06:07:24', 'hash_type': 'MD5', 'filename': 'Non_Custodial_Sanctions_Policy_in_Renewing_the.pdf', 'hash': '8a5b1b30467d96fc220ed8f1d4b8d4db'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 39669, 'security': 'public', 'placement': 1}]",,http://repository.lppm.unila.ac.id/id/eprint/39669,public,FALSE,2022-02-21 07:39:17,114,2022-02-21 07:39:17,39669,"Non-Custodial Sanctions Policy in Renewing the Criminal System in Indonesia (Study of Non-Custodial Sanction Approaches in Draft Law of the Criminal
Law)",7,show,2022-02-21 07:39:17,archive,['K1'],Hasil Check Similarity,,conference,"Prosiding International Conference on Fundamental Rights ke-2, I-COFFEES 2019",other,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None}}]",1970-01-01 00:00:00.000002019,disk0/00/03/29/13,conference_item,,['FH2'],pub,"[{'eprintid': 32913, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'docid': 150023, 'main': 'eai.5-8-2019.2308589.pdf', 'files': [{'objectid': 150023, 'uri': 'http://repository.lppm.unila.ac.id/id/file/389744', 'fileid': 389744, 'mime_type': 'application/pdf', 'mtime': '2021-06-28 02:50:53', 'hash_type': 'MD5', 'filename': 'eai.5-8-2019.2308589.pdf', 'hash': '26119b5e683fcfe234d63fe9486cfed7', 'datasetid': 'document', 'filesize': 139748}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/150023', 'rev_number': 1}]",,http://repository.lppm.unila.ac.id/id/eprint/32913,public,FALSE,2021-06-28 03:21:05,61,2021-06-28 03:21:05,32913,"The Online Purchasing Contract Done by Students of
Faculty of Law in Lampung University",7,show,2021-06-28 03:21:05,archive,['K1'],,,conference,"Prosiding International Conference on Fundamental Rights ke-2, I-COFFEES 2019",other,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[{'name': {'given': 'APRILIANTI', 'lineage': None, 'family': 'APRILIANTI', 'honourific': None}}]",2019-01-01 00:00:00.000000000,disk0/00/01/07/87,book_section,Jalan Sunyi Sang Guru,['FH2'],pub,"[{'eprintid': 10787, 'security': 'public', 'placement': 2, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 23800, 'main': 'Aprilianti, Jalan Sunyi Sang Guru 2019.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/99426', 'objectid': 23800, 'hash_type': 'MD5', 'mtime': '2019-02-19 07:32:57', 'filename': 'Aprilianti, Jalan Sunyi Sang Guru 2019.pdf', 'hash': '0365b5f4ab564f3d7980aca2161f5f3d', 'fileid': 99426, 'mime_type': 'application/pdf', 'filesize': 6338750, 'datasetid': 'document'}], 'format': 'text', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23800', 'rev_number': 1}]",PKKP-HAM FH UNILA,http://repository.lppm.unila.ac.id/id/eprint/10787,public,FALSE,2019-04-09 06:58:54,707,2019-04-09 06:58:54,10787,Bentuk-Bentuk Transaksi Tanah Pada Masyarakat Hukum Adat,9,show,2019-04-09 06:58:54,archive,['K1'],,,,,,382-398,Bandar Lampung,978-623-211-024-3,,,,,,,,,,,,,,,,,,,,,,,,
8,"[{'name': {'honourific': None, 'family': 'Budi Rizki', 'lineage': None, 'given': 'Husin'}, 'id': 'budi.rizki@fh.unila.ac.id'}]",1970-01-01 00:00:00.000002019,disk0_bak/00/05/19/62,monograph,,['FH2'],pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 51962, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/251337', 'main': 'Monograf Penjatuhan Pidana Mati.pdf', 'docid': 251337, 'files': [{'filesize': 4167588, 'datasetid': 'document', 'filename': 'Monograf Penjatuhan Pidana Mati.pdf', 'hash': 'a7fbc6c1c9b45ce3dab6d8102de879bf', 'mtime': '2023-05-22 06:40:45', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 615637, 'uri': 'http://repository.lppm.unila.ac.id/id/file/615637', 'objectid': 251337}]}]",Aura,http://repository.lppm.unila.ac.id/id/eprint/51962,public,,2023-05-22 06:57:07,292,2023-05-22 06:57:07,51962,PENJATUHAN HUKUMAN MATI TERHADAP PELAKU TINDAK PIDANA KORUPSI DANA BENCANA GEMPA NUSA TENGGARA BARAT,8,show,2023-05-22 06:57:07,archive,['K1'],,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,
9,"[{'name': {'given': 'Dewi Septiana', 'family': 'Dewi Septiana', 'honourific': None, 'lineage': None}, 'id': 'dewiseptiana80@yahoo.co.id'}]",2019-01-01 00:00:00.000000000,disk0/00/01/07/88,book_section,Jalan Sunyi Sang Guru,['FH2'],pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 10788, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/23801', 'rev_number': 1, 'docid': 23801, 'main': 'Dewi Septiana, Jalan Sunyi Sang Guru 2019.pdf', 'files': [{'datasetid': 'document', 'filesize': 3285239, 'fileid': 99434, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-02-19 07:37:44', 'hash': 'b70e5d97bb858a4904a5794922be8a73', 'filename': 'Dewi Septiana, Jalan Sunyi Sang Guru 2019.pdf', 'objectid': 23801, 'uri': 'http://repository.lppm.unila.ac.id/id/file/99434'}]}]",PKKP-HAM FH UNILA,http://repository.lppm.unila.ac.id/id/eprint/10788,public,FALSE,2019-04-09 06:58:58,196,2019-04-09 06:58:58,10788,Analisis Yuridis Sukuk Ritel Sebagai Alternatif Investasi,7,show,2019-04-09 06:58:58,archive,['K1'],,,,,,424-434,Bandar Lampung,978-623-211-024-3,,,,,,,,,,,,,,,,,,,,,,,,
