,metadata_visibility,rev_number,title,related_url,status_changed,dir,creators,funders,refereed,uri,full_text_status,pres_type,documents,pagerange,userid,event_location,projects,date_type,eprintid,event_title,event_type,official_url,event_dates,abstract,subjects,eprint_status,date,divisions,type,ispublished,datestamp,corp_creators,lastmod,publisher,book_title,volume,keywords,issn,publication,number,isbn,place_of_pub,department,institution,monograph_type,pages,id_number,contact_email
0,show,10,Prohibition of Land Ownership for Citizens of Non Indigenous in The Special Region of Yogyakarta,[{'url': 'http://repository.lppm.unila.ac.id'}],2019-02-08 02:06:10,disk0/00/01/06/89,"[{'id': None, 'name': {'honourific': None, 'family': 'Airlangga', 'lineage': None, 'given': 'Andi Sandi'}}, {'name': {'given': 'FX', 'lineage': None, 'family': 'Sumarja', 'honourific': None}, 'id': 'fxsmj.unila@gmail.com'}, {'id': 'tutiunila@gmail.com.', 'name': {'lineage': None, 'honourific': None, 'family': 'Sulastuti', 'given': 'Sri'}}]",['---'],TRUE,http://repository.lppm.unila.ac.id/id/eprint/10689,public,paper,"[{'main': 'Proceeding i-coffees 2018 (Anggota)-1.pdf', 'docid': 23695, 'files': [{'objectid': 23695, 'uri': 'http://repository.lppm.unila.ac.id/id/file/98755', 'datasetid': 'document', 'filesize': 709270, 'fileid': 98755, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-02-04 08:05:59', 'filename': 'Proceeding i-coffees 2018 (Anggota)-1.pdf', 'hash': '666147873b05ec0cc38fa15d426a320d'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23695', 'eprintid': 10689, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",511-518,940,Bandarlampung,['---'],published,10689,1st International Conference on Fundamental Rights Faculty of Law – University of Lampung,conference,http://repository.lppm.unila.ac.id,7 September 2018,"The development of land regulations in Indonesia is very diverse, one of which is in The Special Region of Yogyakarta (DIY). DIY was once a kingdom called the Ngayogyakarta Hadiningrat Sultanate and the Kadipaten Pakualaman Keraton). Keraton Palace is the center of DIY government led by Sri Sultan Hamengku Buwono as Governor, and Adipati Paku Alam as its deputy. Land regulations in DIY are subject to Law Number 5 of 1960 concerning Basic Agrarian Principles (UUPA). But there is a difference, namely the specialty of DIY which is regulated in Law Number 13 of 2012 concerning the Privileges of The Special Region of Yogyakarta, that Sultan has the right to regulate its own territory.
Based on the history of DIY, there were frequent disputes between indigenous Indonesian citizens, with Chinese people who came to Indonesia. The research method used in this paper uses normative research methods, using journals, books, and legislation relating to the specialty of Yogyakarta. After reviewing the results of research from other researchers,found the facts that the dispute was caused by various factors which led to the stipulation of
the Instruction of the Deputy Regional Head of DIY Number K.898/I/A/1975 concerning the Uniformity of the Policy for the Granting of Rights to Land to a Non-Native Indonesian
Citizen. The instruction contained the prohibition for Indonesian citizens of Chinese descent to have a Property Rights Certificate (SHM) on land in DIY. This caused a reaction from Indonesian citizens of Chinese descent, many of them who sued but never succeeded. The Sultan has reason not to revoke the instruction. The legal politics behind these policies is an effort to increase local revenue (PAD), maintain the economic natures of indigenous people,and protect land which is an important asset for DIY.
Keywords: Politics, Law, Non Indigenous, Yogyakarta, Instructions, Chinese",['K1'],archive,2018-09-07 00:00:00.000000000,['FH2'],conference_item,pub,2019-02-08 02:06:10,"['Magister Ilmu Hukum Unila', 'Fakultas Hukum Universitas Lampung', 'Fakultas Hukum Universitas Lampung']",2019-02-08 02:06:10,,,,,,,,,,,,,,,
1,show,7,Pembaharuan Hukum Pidana,,2023-05-22 06:57:10,disk0_bak/00/05/19/63,"[{'name': {'lineage': None, 'family': 'Budi Rizki', 'honourific': None, 'given': 'Husin'}, 'id': 'budi.rizki@fh.unila.ac.id'}]",,FALSE,http://repository.lppm.unila.ac.id/id/eprint/51963,public,,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/251342', 'main': 'pembaharuan hukum pidana.pdf', 'docid': 251342, 'files': [{'objectid': 251342, 'uri': 'http://repository.lppm.unila.ac.id/id/file/615649', 'datasetid': 'document', 'filesize': 1512609, 'fileid': 615649, 'mime_type': 'application/pdf', 'mtime': '2023-05-22 06:44:40', 'hash_type': 'MD5', 'filename': 'pembaharuan hukum pidana.pdf', 'hash': '1d51a3fd4e23a89af3f82e50ab976981'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 51963, 'security': 'public', 'placement': 1}]",,292,,,,51963,,,,,,['K1'],archive,1970-01-01 00:00:00.000002018,['FH2'],book_section,pub,2023-05-22 06:57:10,,2023-05-22 06:57:10,Heroes FC,Pembaharuan Hukum Pidana,,,,,,,,,,,,,
2,show,7,PEMBAHARUAN HUKUM PIDANA DI INDONESIA,,2022-07-21 01:14:57,disk0/00/04/35/35,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Diah Gustiniati Maulani', 'given': 'Diah Gustiniati Maulani'}}]",,FALSE,http://repository.lppm.unila.ac.id/id/eprint/43535,public,,"[{'security': 'public', 'placement': 1, 'eprintid': 43535, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/475069', 'objectid': 165471, 'filesize': 2474812, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2022-07-21 00:43:59', 'hash': 'da8b98da058845a6fdd6a9c4adc374c2', 'filename': 'pembaharuan hukum pidana.pdf', 'fileid': 475069, 'mime_type': 'application/pdf'}], 'main': 'pembaharuan hukum pidana.pdf', 'docid': 165471, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165471', 'rev_number': 1, 'format': 'text', 'pos': 1}]",,900,,,,43535,,,,,,['K1'],archive,1970-01-01 00:00:00.000002018,['FH2'],book_section,pub,2022-07-21 01:14:57,,2022-07-21 01:14:57,Puska Media,PEMBAHARUAN HUKUM PIDANA DI INDONESIA,,,,,,,,,,,,,
3,show,7,Pembaharuan Hukum Pidana di Indonesia,,2022-09-12 10:11:53,disk0/00/04/49/05,"[{'name': {'family': 'Diah Gustiniati Maulani', 'honourific': None, 'lineage': None, 'given': 'Diah Gustiniati Maulani'}}]",,FALSE,http://repository.lppm.unila.ac.id/id/eprint/44905,public,,"[{'placement': 1, 'security': 'public', 'eprintid': 44905, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'filesize': 2529276, 'fileid': 484549, 'mime_type': 'application/pdf', 'mtime': '2022-09-12 05:56:07', 'hash_type': 'MD5', 'hash': '7a4a237daaefa7ceca52a2042c53c192', 'filename': 'Pembaharuan Hk. Pidana.pdf', 'objectid': 166826, 'uri': 'http://repository.lppm.unila.ac.id/id/file/484549'}], 'main': 'Pembaharuan Hk. Pidana.pdf', 'docid': 166826, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166826', 'pos': 1, 'format': 'text'}]",,900,,,,44905,,,,,,['K1'],archive,1970-01-01 00:00:00.000002018,['FH2'],book_section,pub,2022-09-12 10:11:53,,2022-09-12 10:11:53,"Puska Media,",Pembaharuan Hukum Pidana di Indonesia,,,,,,,,,,,,,
4,show,6,Curriculum And Instruction Challenges In Clinical Legal Education In Indonesian Law Schools: Breaking The Legacy,,2018-11-14 09:53:25,disk0/00/00/99/11,"[{'name': {'given': 'Hamzah', 'honourific': None, 'family': 'Hamzah', 'lineage': None}, 'id': 'agizaddien@gmail.com'}]",,TRUE,http://repository.lppm.unila.ac.id/id/eprint/9911,public,,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 9911, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22918', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'mtime': '2018-11-14 07:59:52', 'hash_type': 'MD5', 'hash': 'c5477dbb459702d220f6145f4019143b', 'filename': '5000215947-5000488065-2-PB.pdf', 'fileid': 93343, 'mime_type': 'application/pdf', 'filesize': 614665, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/93343', 'objectid': 22918}], 'docid': 22918, 'main': '5000215947-5000488065-2-PB.pdf'}]",215-225,923,,,published,9911,,,http://jsser.org/article/view/5000215947,,"Clinical Legal Education has recently been accepted as pedagogic model in most Indonesian universities ever since Asia Foundation Collaboration authorized eight universities to pursue this program (Nurjaya,2011). The purpose of Clinical Legal Education in universities was to broaden the scope of legal education in Indonesia. The law academia as well as the industry looked at this new trend as an opportunity for graduates to enhance their knowledge and skills to meet the needs of the changing time. Indonesian universities though do not have the autonomy to design new curricula and have to depend on regulatory agencies like Ministry of National Education, Indonesia. This study highlights areas of reforms in curriculum and instruction of the legal education in general and changes required in clinical legal education program, in particular. The theoretical framework comprises a reform structure in the curriculum of Clinical Legal Education as a response to new and modern needs, thus breaking the legacy. The implications of this study are significant for legal academicians, law framers and law students. Future studies can be carried out to introduce new study programs in various fields of Clinical Legal Education in all universities in Indonesia.",['K1'],archive,1970-01-01 00:00:00.000002018,['FH2'],article,pub,2018-11-14 09:53:25,,2018-11-14 09:53:25,Journal of Social Studies Education Research,,9,"Indonesian legal education, curriculum, law and education, reforms.",1309-9108,Journal of Social Studies Education Research,3.0,,,,,,,,
5,show,6,Capital Market Products and Investor Protection,,2018-11-14 09:53:24,disk0/00/00/98/92,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Hamzah', 'given': 'Hamzah'}, 'id': 'agizaddien@gmail.com'}, {'name': {'given': 'Ahmad', 'honourific': None, 'family': 'Aripin', 'lineage': None}, 'id': None}]",,TRUE,http://repository.lppm.unila.ac.id/id/eprint/9892,public,,"[{'files': [{'hash_type': 'MD5', 'mtime': '2018-11-14 03:40:21', 'filename': '2018_XXI_2_55.pdf', 'hash': 'aac2556a26eda2fc08bd0a7951b995f4', 'fileid': 93215, 'mime_type': 'application/pdf', 'filesize': 247772, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/93215', 'objectid': 22901}], 'main': '2018_XXI_2_55.pdf', 'docid': 22901, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22901', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 9892, 'mime_type': 'application/pdf', 'language': 'en'}]",714-727,923,,,published,9892,,,https://www.ersj.eu/index.php?option=com_content&task=view&id=1327,,"Consumer protection is an important issue in the commercial domain. In particular, consumer goods and services should receive protection. This study deals with consumer securities protection. Consumer securities protection has been applied in the US because of the financial crisis and fraud. Indonesia has experienced a huge case of financial fraud that involved the Bank Century-Antaboga. This article shows that a separate surveillance on the financial industry weakens, instead of integrating, this particular industry. Moreover, the role of authority is influential in governing the banking-securities industry. The Bank Century-Antaboga case shows a factual absence of disclosure in offering and selling securities instruments. Bapepam-LK should play its role in applying the disclosure principle. Otherwise, the Bank Century-Antaboga case will occur again.",['K1'],archive,1970-01-01 00:00:00.000002018,['FH2'],article,pub,2018-11-14 09:53:24,,2018-11-14 09:53:24,"University of Piraeus, International Strategic Management Association",,XXI,"Consumer Protection, Financial Industry, Commercial Domain.",11082976,European Research Studies Journal,2.0,,,,,,,,
6,show,7,Hukum Aternatif Sengketa dan Arbitrase,,2020-07-01 08:03:34,disk0/00/02/29/23,"[{'name': {'family': 'Kingkin wahyuningdiah', 'honourific': None, 'lineage': None, 'given': 'kingkin'}}]",,FALSE,http://repository.lppm.unila.ac.id/id/eprint/22923,public,,"[{'docid': 36471, 'main': 'Kingkin Hukum Alternatif Penyelesaian Sengketa dan Arbitrase.pdf', 'files': [{'datasetid': 'document', 'filesize': 10503492, 'mime_type': 'application/pdf', 'fileid': 210303, 'filename': 'Kingkin Hukum Alternatif Penyelesaian Sengketa dan Arbitrase.pdf', 'hash': '148051caa3b4cd86015a8053dfbcef0e', 'hash_type': 'MD5', 'mtime': '2020-07-01 07:17:15', 'objectid': 36471, 'uri': 'http://repository.lppm.unila.ac.id/id/file/210303'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36471', 'rev_number': 1, 'eprintid': 22923, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",1-134,975,,,,22923,,,,,,['K1'],archive,2018-08-01 00:00:00.000000000,['FH2'],book_section,pub,2020-07-01 08:03:34,,2020-07-01 08:03:34,AURA CV. Anugrah Utama Raharja Anggota IKAPI,Buku Referensi,,,,,,978-602-5636-94-3,,,,,,,
7,show,7,Hukum Aternatif Sengketa dan Arbitrase,,2020-07-06 06:52:11,disk0/00/02/29/99,"[{'name': {'given': 'kingkin', 'lineage': None, 'honourific': None, 'family': 'Kingkin wahyuningdiah'}}]",,FALSE,http://repository.lppm.unila.ac.id/id/eprint/22999,public,,"[{'docid': 36560, 'main': 'Review Kingkin Hukum Aternatif Sengketa.pdf', 'files': [{'hash': '0d53064c12dd4c1f124047935d879d3b', 'filename': 'Review Kingkin Hukum Aternatif Sengketa.pdf', 'hash_type': 'MD5', 'mtime': '2020-07-06 04:34:52', 'mime_type': 'application/pdf', 'fileid': 211053, 'filesize': 534077, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/211053', 'objectid': 36560}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36560', 'rev_number': 1, 'eprintid': 22999, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",1-134,975,,,,22999,,,,,Hasil Penilaian Sejawat Sebidang atau Peer Review,['K1'],archive,2018-08-01 00:00:00.000000000,['FH2'],book_section,pub,2020-07-06 06:52:11,,2020-07-06 06:52:11,AURA CV. Anugrah Utama Raharja Anggota IKAPAI,Buku Referensi,,,,,,,,,,,,,
8,show,6,"Penyelesaian Sengketa Terhadap Aktivitas Di Ruang
Angkasa oleh Pihak Non-Negara (Privat)",,2022-10-18 09:02:50,disk0/00/04/57/77,"[{'id': 'muhammad.havez@fh.unila.ac.id', 'name': {'given': 'Havez', 'honourific': None, 'family': 'Muhammad', 'lineage': None}}]",,FALSE,http://repository.lppm.unila.ac.id/id/eprint/45777,public,,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 45777, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184590', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'hash': 'e46f96fe6c508c0dcb927540f473d0a7', 'filename': 'Reviewe hAVEZ.pdf', 'hash_type': 'MD5', 'mtime': '2022-10-18 08:40:19', 'mime_type': 'application/pdf', 'fileid': 507427, 'filesize': 942598, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/507427', 'objectid': 184590}], 'docid': 184590, 'main': 'Reviewe hAVEZ.pdf'}]",,23041,,,,45777,,,,,Hasil Penilaian Sejawat Sebidang atau Peer Review,['K1'],archive,1970-01-01 00:00:00.000002018,['FH2'],article,pub,2022-10-18 09:02:50,,2022-10-18 09:02:50,Fakultas Hukum Universitas Surabaya,,,,,Jurnal YUSTIKA,,,,,,,,,
9,show,6,Problematic Dilemma of The Limitation of Granting Remission for Corruption Prisoners,,2021-06-04 07:12:59,disk0/00/03/20/13,"[{'name': {'given': 'nennydwiariani@gmail.com', 'family': 'Nenny Dwi Ariani', 'honourific': None, 'lineage': None}}]",,FALSE,http://repository.lppm.unila.ac.id/id/eprint/32013,public,,"[{'placement': 1, 'security': 'public', 'eprintid': 32013, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 145046, 'uri': 'http://repository.lppm.unila.ac.id/id/file/378894', 'datasetid': 'document', 'filesize': 394854, 'mime_type': 'application/pdf', 'fileid': 378894, 'hash': '1380035ae3b3bcf4a17b2a8e2a206944', 'filename': 'Review Problemetic.pdf', 'mtime': '2021-06-04 03:02:44', 'hash_type': 'MD5'}], 'main': 'Review Problemetic.pdf', 'docid': 145046, 'uri': 'http://repository.lppm.unila.ac.id/id/document/145046', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",,1233,,,,32013,,,,,Hasil Peniliana Sejawat Sebidang atau Peer Review,['K1'],archive,1970-01-01 00:00:00.000002018,['FH2'],article,pub,2021-06-04 07:12:59,,2021-06-04 07:12:59,Fakultas Hukum Unila,,,,,Jurnal Fiat Justisia,,,,,,,,,
