,type,divisions,creators,dir,lastmod,userid,datestamp,documents,publisher,ispublished,full_text_status,uri,eprintid,eprint_status,status_changed,abstract,subjects,title,metadata_visibility,rev_number,corp_creators,refereed,issn,publication,contact_email,official_url,date_type,volume,number,contributors,pagerange,pres_type,event_dates,event_type,event_title,event_location,book_title,pages,related_url,place_of_pub,isbn,id_number,editors,succeeds,series,note,monograph_type
0,other,['FEB4'],"[{'name': {'honourific': None, 'family': 'Agus', 'lineage': None, 'given': 'Zahron Idris'}, 'id': 'agus.zahron@feb.unila.ac.id'}]",disk0/00/03/65/32,2021-11-12 09:44:03,448,2021-11-12 09:44:03,"[{'language': 'en', 'mime_type': 'application/pdf', 'content': 'other', 'eprintid': 36532, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'other', 'uri': 'http://repository.lppm.unila.ac.id/id/document/157449', 'rev_number': 2, 'formatdesc': 'Laporan Penelitian', 'docid': 157449, 'main': 'cover-merged.pdf', 'files': [{'objectid': 157449, 'uri': 'http://repository.lppm.unila.ac.id/id/file/421437', 'datasetid': 'document', 'filesize': 8503269, 'mime_type': 'application/pdf', 'fileid': 421437, 'filename': 'cover-merged.pdf', 'hash': '65daa22efbd28678d841716485acbf82', 'mtime': '2021-11-12 09:33:54', 'hash_type': 'MD5'}]}]",Jurusan Akuntansi Fakultas Ekonomi dan Bisnis Universitas Lampung,unpub,public,http://repository.lppm.unila.ac.id/id/eprint/36532,36532,archive,2021-11-12 09:44:03,"The purpose of this study is to compare the financial performance of the provincial 
governments in Java and Sumatra in the 2014-2017 period and to determine the 
differences in the financial performance of the provincial governments in Java and 
Sumatra in the 2014-2017 period.
The research method used is quantitative research methods. The population in this 
study is the report of the Realization of Regional Government Revenue and 
Expenditures of Provincial Governments in Indonesia in 2014-2017. The sample 
selection uses a purposive sampling technique that is sampling taking into account 
certain characteristics and criteria.
The results of this study are based on the results of descriptive analysis in mind that 
the financial performance of provinces in Java is better than provinces in Sumatra. 
While the results of different tests show that there is no significant difference in the 
financial performance of the provincial governments in Java and Sumatra because it 
shows a significance value of more than 0.05.",['H1'],"UJI BEDA TINGKAT KINERJA KEUANGAN ANTARA PEMERINTAH 
PROPINSI DI WILAYAH JAWA DAN SUMATERA",show,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,article,['FEB4'],"[{'name': {'given': 'Yenni', 'lineage': None, 'honourific': None, 'family': 'Agustina'}, 'id': 'yenni_shofa@yahoo.co.id'}]",disk0/00/02/06/31,2020-05-27 02:49:20,684,2020-05-27 02:49:20,"[{'docid': 33978, 'main': 'jurnal pengabdian maret 2020.pdf', 'files': [{'filesize': 766403, 'datasetid': 'document', 'mtime': '2020-05-27 02:45:36', 'hash_type': 'MD5', 'filename': 'jurnal pengabdian maret 2020.pdf', 'hash': 'f78dad02112a33a08f43678bf3bffa1a', 'fileid': 193526, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/193526', 'objectid': 33978}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33978', 'eprintid': 20631, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",,pub,public,http://repository.lppm.unila.ac.id/id/eprint/20631,20631,archive,2020-05-27 02:49:20,"Kecamatan Batu Brak merupakan salah satu kecamatan penghasil gula aren di lampung barat. Produksi gula aren
yang terus meningkat membuktikan bahwa gula aren lampung barat semakin diminati oleh khalayak ramai. Namun
sayangnya sistem perhitungan harga pokok produksi yang masih tradisional, serta sistem pengemasan yang masih
tradisional dan sistem pemasaran yang masih sederhana menjadikan gula ini belum menjangkau pemasaran hingga ke
mancanegara. Padahal kabupaten Lampung Barat memiliki potensi yang sangat bagus untuk menjadi produsen gula
aren yang besar. Berdasarkan hal tersebut maka, tim berinisiatif untuk membantu wanita tani sebagai salah satu mesin
penggerak untuk menghasilkan gula aren melalui sosialisasi, pelatihan, pendampingan, dan monev penentuan harga
pokok produksi dalam hal penentuan harga jual sehingga memiliki harga jual yang mampu bersaing, sistem
pengemasan yang menarik dan sistem pemasaran yang efektif. Metode yang digunakan yaitu dengan metode
pendampingan serta pelatihan. Program kegiatan ini pun mendapatkan resepon yang positif dari peserta. 
 
Kata kunci: Harga Pokok Perhitungan, Pemasaran,dan pengemasan, gula aren",['H1'],Jurnal sakai sambayan,show,6,['universitas lampung'],TRUE,2550-1089,LPPM Unila,,,,,,,,,,,,,,,,,,,,,,,
2,article,['FEB4'],"[{'name': {'given': 'Yunia', 'lineage': None, 'honourific': None, 'family': 'Amelia'}, 'id': 'yuniaamelia@yahoo.com'}, {'id': 'fajargd@yahoo.com', 'name': {'family': 'Gustiawaty Dewi', 'honourific': None, 'lineage': None, 'given': 'Fajar'}}, {'id': 'ssarum@yahoo.com', 'name': {'given': 'Susi', 'lineage': None, 'honourific': None, 'family': 'Sarumpaet'}}]",disk0/00/01/32/71,2019-08-01 07:19:12,733,2019-08-01 07:19:12,"[{'eprintid': 13271, 'security': 'staffonly', 'placement': 2, 'language': 'en', 'mime_type': 'application/pdf', 'content': 'published', 'main': '28.EDUKASI-LITERASI-PERENCANAAN-KEUANGAN-DAN-PEMBIAYAAN-UNTUK-PETANI-DAN-UMKM-KELOMPOK-MASYARAKAT-DI-DESA-LUMBIREJOYunia-Amelia.pdf', 'docid': 26270, 'files': [{'datasetid': 'document', 'filesize': 419304, 'fileid': 116379, 'mime_type': 'application/pdf', 'mtime': '2019-05-24 07:44:35', 'hash_type': 'MD5', 'filename': '28.EDUKASI-LITERASI-PERENCANAAN-KEUANGAN-DAN-PEMBIAYAAN-UNTUK-PETANI-DAN-UMKM-KELOMPOK-MASYARAKAT-DI-DESA-LUMBIREJOYunia-Amelia.pdf', 'hash': '6f4a6440ca957f909bcc124e09e0a457', 'objectid': 26270, 'uri': 'http://repository.lppm.unila.ac.id/id/file/116379'}], 'format': 'text', 'pos': 2, 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26270'}]",Fakultas Ekonomi dan Bisnis,pub,restricted,http://repository.lppm.unila.ac.id/id/eprint/13271,13271,archive,2019-08-01 07:19:12,"Secara umum tujuan dari kegiatan pengabdian masyarakat ini, meningkatkan pengetahuan kelompok
masyarakat desa lumbirejo yang sebagian besar berprofesi sebagai petani mengenai literasi informasi
keuangan. Meningkatkan pengetahuan kelompok masyarakat desa lumbirejo mengenai financial planning.
Meningkatkan kemampuan kelompok masyarakat desa lumbirejo mendapatkan akses informasi mengenai
keuangan. Meningkatkan kemampuan kelompok masyarakat lumbirejo merencanakan keuangannya. Dengan
adanya kegiatan pengabdian ini masalah kurangnya literasi informasi mengenai perencanaan keuangan dan
bagaimana memperoleh pembiayaan untuk permodalan dapat dikurangi dengan diberikannya materi materi
literasi terkait dalam bentuk pelatihan. Sementara itu, karena berhubungan dengan aspek intelektualitas dan
skill maka kegiatan ini dilaksanakan melalui Pendidikan dan Pelatihan Peningkatan literasi informasi
mengenai perencanaan keuangan dan bagaimana memperoleh pembiayaan untuk permodalan yaitu dengan
tutorial dan simulasi. Sasaran kegiatan ini adalah Kelompok Masyarakat yang ada di Desa Lumbirejo yang
berjumlah 50 orang. Peserta kegiatan diharapkan dapat menjadi focal point yang dapat membagi informasi
dan membangun kesadaran masyarakat yang lain.",['HG'],"EDUKASI LITERASI PERENCANAAN KEUANGAN DAN PEMBIAYAAN
UNTUK PETANI DAN UMKM KELOMPOK MASYARAKAT DI DESA
LUMBIREJO",show,14,['universitas Lampung'],TRUE,9786025343605,Prosiding Pengabdian Kepada Masyarakat,yuniaamelia@yahoo.com,http://feb.unila.ac.id/wp-content/uploads/2019/03/28.EDUKASI-LITERASI-PERENCANAAN-KEUANGAN-DAN-PEMBIAYAAN-UNTUK-PETANI-DAN-UMKM-KELOMPOK-MASYARAKAT-DI-DESA-LUMBIREJOYunia-Amelia.pdf,published,,,,,,,,,,,,,,,,,,,,
3,article,['FEB4'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Amelia', 'given': 'Yunia'}, 'id': 'yuniaamelia@yahoo.com'}, {'id': 'pigonauli@yahoo.com', 'name': {'family': 'Nauli', 'honourific': None, 'lineage': None, 'given': 'Pigo'}}]",disk0/00/01/82/27,2020-03-04 01:12:54,733,2020-03-04 01:12:54,"[{'files': [{'mtime': '2020-02-26 09:11:33', 'hash_type': 'MD5', 'hash': '28f2752f2f0cf8903173d75675572ff9', 'filename': 'Full Paper Artikel - ICEBE.pdf', 'fileid': 153500, 'mime_type': 'application/pdf', 'filesize': 29254, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/153500', 'objectid': 31375}], 'main': 'Full Paper Artikel - ICEBE.pdf', 'docid': 31375, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31375', 'format': 'text', 'pos': 1, 'security': 'validuser', 'placement': 1, 'eprintid': 18227, 'language': 'en', 'mime_type': 'application/pdf'}]",Publisher Yayasan Sinergi Riset dan Edukasi,pub,restricted,http://repository.lppm.unila.ac.id/id/eprint/18227,18227,archive,2020-03-04 01:12:54,"ABSTRACT: This study aims to examine the ability of the Financial Literacy Level to influence SMEs' performance and sustainability in Indonesia positively. Data were obtained from individuals that understood and participated in the strategic development process of the companies and analyzed using the partial least square squares modelswith structural equations are used to test for hypotheses. The results showed that there is an influence of financial literacy from SMEs on the performance and sustainability of businesses in Indonesia. Furthermore, the better the understanding and knowledge of SMEs actors towards financial literacy, the more competent they are in managing their business performance, in accordance with work and finance.",['HG'],"The Impact of Financial Literation on the Performance and
Sustainability of SMEs in Indonesia",show,8,,FALSE,ISBN 978-602-5902-56-4,Prosiding 2nd ICEBE International Conference Economics Business and Entrepreneurship,yuniaamelia@yahoo.com,http://icebeconference.com/wp-content/uploads/2019/12/Conference-book-2nd-ICEBE.pdf,,,,,,,,,,,,,,,,,,,,,
4,article,['FEB4'],"[{'id': None, 'name': {'family': 'Arnis', 'honourific': None, 'lineage': None, 'given': 'Dhissa Miranti'}}, {'name': {'given': 'Lindrianasari', 'family': 'Lindrianasari', 'honourific': None, 'lineage': None}, 'id': 'sari_170870@yahoo.com'}, {'name': {'family': 'Yuztitya', 'honourific': None, 'lineage': None, 'given': 'Asmaranti'}, 'id': 'yuztitya@yahoo.com'}, {'name': {'honourific': None, 'family': 'Saipuddin', 'lineage': None, 'given': 'Usep'}, 'id': None}]",disk0/00/01/85/59,2020-03-12 04:23:51,901,2020-03-12 04:23:51,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31717', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/155912', 'objectid': 31717, 'filesize': 559039, 'datasetid': 'document', 'filename': '2019 Dhissa et al.pdf', 'hash': 'b63d10290a79c9bf2b506630d1003f33', 'hash_type': 'MD5', 'mtime': '2020-03-10 08:14:07', 'mime_type': 'application/pdf', 'fileid': 155912}], 'docid': 31717, 'main': '2019 Dhissa et al.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 18559}]",International Journal for Innovation Education and Research,pub,public,http://repository.lppm.unila.ac.id/id/eprint/18559,18559,archive,2020-03-12 04:23:51,"This research aims to examine whether the disclosure of IC information conducted by the company in the annual report has value relevance. The research dependent variable is PRICE. The independent variables in this research are intellectual capital disclosure index (ICDI) obtained using Li, et. al. (2012) which consists of 61 items of IC information, net income (NI), and book value of equity (BVE). The research sample is a banking sector company listed on the Indonesia Stock Exchange (BEI) of the year 2012 through 2016 using annual report. The result of hypothesis testing with regression analysis using SPSS 23 application shows that ICDI coefficient is not have positive influence to stock price. But if it is divided into 3 components it can be seen that Human Capital Disclosure Index (HCDI) has a positive effect on stock price although Structural Capital Disclosure Index (SCDI) and Customer Capital Disclosure Index (CCDI) have no effect on stock price. This shows that not all information about intellectual capital has value relevance.",['HG'],Analysis of Value Relevance of Intellectual Capital Disclosure,show,6,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",TRUE,2411-3123,International Journal for Innovation Education and Research,,,published,7.0,12,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",256-268,,,,,,,,,,,,,,,,
5,other,['FEB4'],"[{'id': 'yuztitya@yahoo.com', 'name': {'given': 'Yuztitya', 'family': 'Asmaranti', 'honourific': None, 'lineage': None}}, {'id': 'sari_170870@yahoo.com', 'name': {'given': 'Lindrianasari', 'lineage': None, 'honourific': None, 'family': 'Lindrianasari'}}, {'id': 'widyarizkyekaputri@gmail.com', 'name': {'given': 'Widya Rizky Eka', 'lineage': None, 'family': 'Putri', 'honourific': None}}]",disk0/00/02/63/57,2020-11-19 17:54:12,175,2020-11-19 17:54:12,"[{'files': [{'objectid': 40250, 'uri': 'http://repository.lppm.unila.ac.id/id/file/237382', 'datasetid': 'document', 'filesize': 405435, 'fileid': 237382, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-11-19 17:00:33', 'filename': 'PENILAIAN Reviewer pengaruh pengungkapan emisi.pdf', 'hash': '890eb18236608886eef7d7cf0af4f539'}], 'main': 'PENILAIAN Reviewer pengaruh pengungkapan emisi.pdf', 'docid': 40250, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40250', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 26357, 'language': 'en', 'mime_type': 'application/pdf'}]",Fakultas Ekonomi dan Bisnis Universitas Lampung,pub,public,http://repository.lppm.unila.ac.id/id/eprint/26357,26357,archive,2020-11-19 17:54:12,,['HG'],Pengaruh Pengungkapan Emisi Karbon terhadap Reaksi Investor dengan Kinerja Lingkungan sebagai Variabel Moderasi,show,7,,,,,,,published,,,,,,,,,,,,,,,,,,,,
6,conference_item,['FEB4'],"[{'id': 'rialdi.azhar@feb.unila.ac.id', 'name': {'given': 'Rialdi', 'family': 'Azhar', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Fajrin Satria Dwi', 'lineage': None, 'honourific': None, 'family': 'Kesumah'}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': 'Farichah', 'lineage': None, 'given': 'Farichah'}}, {'name': {'given': 'Komarudin', 'honourific': None, 'family': 'Komarudin', 'lineage': None}, 'id': None}]",disk0/00/03/61/44,2021-11-11 08:43:00,2815,2021-11-11 08:43:00,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/157087', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/418557', 'objectid': 157087, 'mtime': '2021-11-11 07:51:03', 'hash_type': 'MD5', 'filename': 'LOA ICEBE 2021-042 (1).pdf', 'hash': 'dfcea08abc78b6390b862ee152bf6a39', 'fileid': 418557, 'mime_type': 'application/pdf', 'filesize': 444962, 'datasetid': 'document'}], 'docid': 157087, 'main': 'LOA ICEBE 2021-042 (1).pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 36144}]",,inpress,public,http://repository.lppm.unila.ac.id/id/eprint/36144,36144,archive,2021-11-11 08:43:00,"Harga saham harian sektor pertambangan merupakan bagian dari data-data keuangan yang masuk kedalam kriteria penentu yang menggambarkan kondisi perusahaan. Lebih luas, harga saham harian sektor pertambangan khususnya di Indonesia memiliki dampak pada perekonomian nasional. Pada kondisi tersebut pengambilan keputusan dengan risiko rendah sangat dibutuhkan. Metode dalam ilmu ekonomi menjelaskan peramalan atas kondisi ekonomi di masa depan dapat mengurangi risiko dengan mempersiapkan rencana penanganan. Data-data keuangan deret waktu termasuk didalamnya harga saham harian memiliki sifat heteroskesdasitas. ARIMA dan GARCH merupakan model peramalan data keuangan yang dapat mengeliminasi asumsi-asumsi data dengan heteroskesdasitas. Tujuan dari penelitian ini adalah merancang dan memilih model peramalan data keuangan deret waktu (timeseries) dengan tingkat kesalahan rendah, sehingga kualitas keputusan menjadi berkualitas. Target khusus dari penelitian ini adalah menemukan model terbaik dengan cara membandingkan sehingga diketahui model yang paling akurat dalam melakukan peramalan data keuangan sektor pertambangan.","['HA', 'HF5601', 'HG']",MODEL-MODEL PERAMALAN JANGKA PENDEK PADA DATA KEUANGAN SEKTOR PERTAMBANGAN,show,12,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",TRUE,,,rialdi.azhar@feb.unila.ac.id,,submitted,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,paper,1 Oktober 2020,conference,International Conference of Economic Business & Entepreneuership 4th,"Tanggerang, Indonesia",,,,,,,,,,,
7,article,['FEB4'],"[{'name': {'given': 'Rialdi', 'honourific': None, 'family': 'Azhar', 'lineage': None}, 'id': 'rialdi.azhar@feb.unila.ac.id'}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Kesumah', 'given': 'Fajrin Satria Dwi'}}, {'id': 'ambya.mahmud@gmail.com', 'name': {'given': 'ambya', 'honourific': None, 'family': 'ambya', 'lineage': None}}, {'name': {'given': 'Edwin', 'family': 'Russel', 'honourific': None, 'lineage': None}, 'id': None}]",disk0/00/02/02/29,2020-07-13 03:31:50,2815,2020-07-13 03:31:50,"[{'files': [{'objectid': 33569, 'uri': 'http://repository.lppm.unila.ac.id/id/file/190692', 'fileid': 190692, 'mime_type': 'application/xml', 'hash_type': 'MD5', 'mtime': '2020-05-20 07:41:13', 'filename': 'ijeep/article/view/8715', 'hash': '1da0f4dbf8def1d15cf0f5b84d8e0d65', 'datasetid': 'document', 'filesize': 17764}], 'main': 'ijeep/article/view/8715', 'docid': 33569, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33569', 'rev_number': 4, 'formatdesc': 'This article is published on Scopus Q2', 'pos': 1, 'format': 'other', 'placement': 1, 'security': 'public', 'eprintid': 20229, 'content': 'published', 'language': 'en', 'mime_type': 'application/xml'}]",EconJournals,pub,public,http://repository.lppm.unila.ac.id/id/eprint/20229,20229,archive,2020-07-13 03:31:50,"Share price as one kind of financial data is the time series data that indicates the level of fluctuations and heterogeneous variances called heteroscedasticity. The method that can be used to overcome the effect of autoregressive conditional heteroscedasticity (ARCH effect) is the GARCH model. This study aims to design the best model that can estimate the parameters, predict share price based on the best model and show its volatility. In addition, this paper discusses the prediction-based investment decision model. The findings indicate that the best model corresponding to the data is AR(4)-GARCH(1,1). The model is implemented to forecast the stock prices of Indika Energy Tbk, Indonesia, for 40 days and significantly presented good findings with an error percentage below the mean absolute.",['HG'],"APPLICATION OF SHORT-TERM FORECASTING MODELS FOR ENERGY ENTITY STOCK PRICE (STUDY ON INDIKA ENERGI TBK, JII)",show,12,"['Faculty of Economics and Business, Universitas Lampung, Indonesia', 'Faculty of Economics and Business, Universitas Lampung, Indonesia', 'Faculty of Economics and Business, Universitas Lampung, Indonesia', 'Faculty of Agriculture, Universitas Lampung, Indonesia', 'Faculty of Economics and Business, Universitas Lampung, Indonesia']",TRUE,2146-4553,International Journal of Energy Economics and Policy,,http://www.econjournals.com/index.php/ijeep/about,,10.0,1,,294-301,,,,,,,,,,,,,,,,
8,conference_item,['FEB4'],"[{'id': 'rialdi.azhar@feb.unila.ac.id', 'name': {'family': 'Azhar', 'honourific': None, 'lineage': None, 'given': 'Rialdi'}}, {'id': 'sariindahoktanti@yahoo.co.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Sembiring', 'given': 'Sari Indah Oktanti'}}, {'name': {'family': 'Muslimin', 'honourific': None, 'lineage': None, 'given': 'Muslimin'}, 'id': 'muslimin.1975@feb.unila.ac.id'}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Fajrin', 'given': 'Satria'}}]",disk0/00/02/53/07,2020-11-16 01:54:24,2815,2020-11-16 01:54:24,"[{'security': 'public', 'placement': 1, 'eprintid': 25307, 'content': 'accepted', 'mime_type': 'application/msword', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/228556', 'objectid': 39086, 'filesize': 219136, 'datasetid': 'document', 'hash': 'd914ce8c727316494111b84037b82cf4', 'filename': 'ICEBE2020_paper_28 (3).doc', 'hash_type': 'MD5', 'mtime': '2020-11-15 07:15:19', 'mime_type': 'application/msword', 'fileid': 228556}], 'main': 'ICEBE2020_paper_28 (3).doc', 'docid': 39086, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39086', 'rev_number': 2, 'format': 'text', 'pos': 1}, {'mime_type': 'application/msword', 'language': 'en', 'eprintid': 25307, 'placement': 2, 'security': 'public', 'pos': 2, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/39087', 'rev_number': 1, 'docid': 39087, 'main': 'ICEBE2020_paper_28 (3).doc', 'files': [{'mime_type': 'application/msword', 'fileid': 228559, 'filename': 'ICEBE2020_paper_28 (3).doc', 'hash': 'd914ce8c727316494111b84037b82cf4', 'hash_type': 'MD5', 'mtime': '2020-11-15 07:16:28', 'datasetid': 'document', 'filesize': 219136, 'objectid': 39087, 'uri': 'http://repository.lppm.unila.ac.id/id/file/228559'}]}]",,inpress,public,http://repository.lppm.unila.ac.id/id/eprint/25307,25307,archive,2020-11-16 01:54:24,"Abstract. Describe Financial data especially the natural gas industry that will be projected must have high accuracy.  Background Problems: These data are time-series data and contain heteroscedasticity so that they require forecasting models with low error rates. Novelty: The data used in the study are daily financial data from natural gas from 2014 to 2019 Research Methods: Short-term forecasting model (GARCH) which has the advantage of modeling data with heteroscedasticity. Findings / Results: AR1, GARCH 1.1 short-term forecasting model is stated as a model that has the advantage of modeling data with a high degree of accuracy.  Conclusion: The forecasting model can be used by various parties in finding the accuracy of information to come so that planning decisions have been prepared and prepared.","['H1', 'HA', 'HJ']",IMPLEMENTATION OF SHORT-TERM FORECASTING MODELS IN THE NATURAL GAS INDUSTRY FINANCIAL DATA,show,12,,TRUE,,,,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,paper,1 Oktober 2020,conference,ICEBE 3,Bandar Lampung,,,,,,,,,,,
9,article,['FEB4'],"[{'name': {'given': 'Tri', 'family': 'Damayanti', 'honourific': None, 'lineage': None}, 'id': 'damayanti.latif@gmail.com'}, {'id': 'lindrianasari@feb.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Lindrianasari', 'given': 'Lindrianasari'}}, {'id': 'agriantiksa@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Komalasari', 'given': 'Agrianti'}}, {'id': 'Fajargd@yahoo.com', 'name': {'given': 'Fajar Gustiawaty', 'lineage': None, 'family': 'Dewi', 'honourific': None}}, {'id': 'rindu.gamayuni@yahoo.com', 'name': {'family': 'Gamayuni', 'honourific': None, 'lineage': None, 'given': 'Rindu Rika'}}]",disk0_bak/00/05/12/77,2023-05-09 04:06:33,712,2023-05-09 04:06:33,"[{'files': [{'datasetid': 'document', 'filesize': 360500, 'mime_type': 'application/pdf', 'fileid': 550853, 'filename': 'riber_7-s2_k18-021_152-166.pdf', 'hash': 'b0774726b0e2d53eace20757baa36233', 'hash_type': 'MD5', 'mtime': '2023-05-09 03:21:29', 'objectid': 191054, 'uri': 'http://repository.lppm.unila.ac.id/id/file/550853'}], 'main': 'riber_7-s2_k18-021_152-166.pdf', 'docid': 191054, 'uri': 'http://repository.lppm.unila.ac.id/id/document/191054', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 51277, 'mime_type': 'application/pdf', 'language': 'en'}]",GMP Press and Printing,pub,public,http://repository.lppm.unila.ac.id/id/eprint/51277,51277,archive,2023-05-09 04:06:33,"The goal of this study is to investigate the impact of family ownership and control in non 
financial family listed companies in Indonesia. The conceptual framework derived from 
agency theory which have consequences in making agency problems. The rights of 
controlling shareholders supported to expropriate minority interest and created agency 
problem II. We analyzed 375 family listed firms using panel data method. The result shows 
that family ownership have negative effect on financial performance. The negative effect 
reflected controlling shareholders’ entrechment effect. The entrechment effect and the 
practice of combined two tier system reflect the implication of agency problem II, which 
explained why family control have no impact on financial performance. The implication of 
agency problem II also represent in the negative impact of leverage as control variable. It is 
captured as the debt covenant incentive opportunities, which is not controlling shareholders’ 
interest. Our findings can be useful for investment decision making for minority investors. It 
also can be interpreted how agency theory works in Indonesia family listed companies 
dealing with exchange rate depreciation. A key finding of this research is controlling
shareholders’ behavior in the low of monetary condition that tend to do entrechment.","['HG', 'HJ']",Entrenchment Effect and Financial Performance in Indonesia Family,show,9,,TRUE,2304-1013,Review of Integrative Business and Economics Research,,http://buscompress.com/journal-home.html,,7.0,2,,152-166,,,,,,,,,,,,,,,,
