,rev_number,metadata_visibility,place_of_pub,title,subjects,abstract,status_changed,eprint_status,date_type,eprintid,uri,full_text_status,ispublished,publisher,documents,datestamp,lastmod,userid,dir,creators,divisions,type,publication,refereed,event_dates,event_type,event_title,event_location,pagerange,pres_type,contributors,corp_creators,issn,referencetext,keywords,funders,official_url,id_number,related_url,pages,book_title,editors,isbn,volume,number,succeeds
0,12,show,Universitas Lampung,Penyemprotan Boron pada Tanaman padi untuk Perbaikan Pertumbuhan dan Produksi Benih,['S1'],Lembar Hasil Penilaian Peer Review Jurnal Canarium,2021-06-22 05:58:28,archive,published,32760,http://repository.lppm.unila.ac.id/id/eprint/32760,public,pub,Universitas Lampung,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 32760, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148991', 'docid': 148991, 'main': 'Scan2021-03-24_Publikasi10.pdf', 'files': [{'filesize': 1162523, 'datasetid': 'document', 'filename': 'Scan2021-03-24_Publikasi10.pdf', 'hash': 'e7f39136d4dd2c8fc3521fc1430261cb', 'mtime': '2021-06-22 03:12:51', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 387672, 'uri': 'http://repository.lppm.unila.ac.id/id/file/387672', 'objectid': 148991}]}, {'format': 'text', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148992', 'rev_number': 3, 'docid': 148992, 'main': 'cannarium', 'files': [{'datasetid': 'document', 'filesize': 23110, 'fileid': 387675, 'mime_type': 'text/html', 'mtime': '2021-06-22 03:13:25', 'hash_type': 'MD5', 'filename': 'cannarium', 'hash': 'b362db5b0c2bc18581998d67247be434', 'objectid': 148992, 'uri': 'http://repository.lppm.unila.ac.id/id/file/387675'}], 'mime_type': 'text/html', 'language': 'en', 'content': 'other', 'eprintid': 32760, 'security': 'public', 'placement': 2}]",2021-06-22 05:58:28,2021-06-22 05:58:28,1003,disk0/00/03/27/60,"[{'id': 'agustiansyah.1972@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Agustiansyah', 'honourific': None, 'given': 'Agustiansyah'}}, {'id': 'paul.timotiwu@gmail.com', 'name': {'honourific': None, 'family': 'Timotiwu', 'lineage': None, 'given': 'P.B.'}}, {'name': {'given': 'Aulia Dwi', 'honourific': None, 'family': 'Safitri', 'lineage': None}, 'id': None}]",['FP25'],other,,,,,,,,,,,,,,,,,,,,,,,,
1,13,show,Bandar Lampung,Pengaruh Pelapisan Benih terhadap Perkecambahan Benih Padi (Oryza sativa L.) pada Kondisi Media Keracunan Alumunium dan Hasil Kedelai,['S1'],Lembar Hasil Penilaian Peer Reviewer AGROVIGOR Jurnal Agroteknologi,2021-04-08 01:10:51,archive,,28988,http://repository.lppm.unila.ac.id/id/eprint/28988,public,unpub,Universitas Lampung,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/43088', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'fileid': 257175, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-04-07 08:03:10', 'hash': 'efd5026f9d0cdfa07d425745d73080e0', 'filename': 'Scan2021-03-24_Publikasi7.pdf', 'datasetid': 'document', 'filesize': 1161712, 'objectid': 43088, 'uri': 'http://repository.lppm.unila.ac.id/id/file/257175'}], 'main': 'Scan2021-03-24_Publikasi7.pdf', 'docid': 43088, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 28988}, {'eprintid': 28988, 'security': 'public', 'placement': 2, 'language': 'en', 'mime_type': 'application/xml', 'content': 'other', 'main': 2812, 'docid': 43090, 'files': [{'objectid': 43090, 'uri': 'http://repository.lppm.unila.ac.id/id/file/257182', 'mime_type': 'application/xml', 'fileid': 257182, 'hash': 'daae8a64642c4cdefc6acedd2e11a247', 'filename': 2812, 'hash_type': 'MD5', 'mtime': '2021-04-07 08:06:13', 'datasetid': 'document', 'filesize': 47116}], 'format': 'text', 'pos': 2, 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43090'}]",2021-04-08 01:10:51,2021-04-08 01:10:51,1003,disk0/00/02/89/88,"[{'name': {'lineage': None, 'family': 'Agustiansyah', 'honourific': None, 'given': 'Agustiansyah'}, 'id': 'agustiansyah.1972@fp.unila.ac.id'}, {'name': {'given': 'Paul B.', 'family': 'Timotiwu', 'honourific': None, 'lineage': None}, 'id': 'paul.timotiwu@gmail.com'}, {'id': 'dewirosalia61@yahoo.com', 'name': {'lineage': None, 'family': 'Rosalia', 'honourific': None, 'given': 'Dewi'}}]",['FP25'],other,,,,,,,,,,,,,,,,,,,,,,,,
2,8,show,Bandar Lampung,Penyemprotan Boron pada Tanaman padi untuk Perbaikan Pertumbuhan dan Produksi Benih,['S1'],Lembar Hasil Penilaian Peer Reviewer Jurnal Canarium,2021-04-08 01:12:16,archive,,29021,http://repository.lppm.unila.ac.id/id/eprint/29021,public,unpub,Universitas Lampung,"[{'security': 'public', 'placement': 1, 'eprintid': 29021, 'content': 'other', 'mime_type': 'text/html', 'language': 'en', 'files': [{'filesize': 90755, 'datasetid': 'document', 'hash': '1662c2268916440fc5ecaaaf23ba8352', 'filename': 'canarium', 'hash_type': 'MD5', 'mtime': '2021-04-07 11:10:19', 'mime_type': 'text/html', 'fileid': 257433, 'uri': 'http://repository.lppm.unila.ac.id/id/file/257433', 'objectid': 43127}], 'docid': 43127, 'main': 'canarium', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43127', 'rev_number': 3, 'format': 'text', 'pos': 1}]",2021-04-08 01:12:16,2021-04-08 01:12:16,1003,disk0/00/02/90/21,"[{'name': {'lineage': None, 'family': 'Agustiansyah', 'honourific': None, 'given': 'Agustiansyah'}, 'id': 'agustiansyah.1972@fp.unila.ac.id'}, {'id': 'paul.timotiwu@gmail.com', 'name': {'lineage': None, 'family': 'Timotiwu', 'honourific': None, 'given': 'Paul B.'}}, {'name': {'given': 'Aulia Dwi', 'lineage': None, 'family': 'Safitri', 'honourific': None}, 'id': None}]",['FP25'],other,,,,,,,,,,,,,,,,,,,,,,,,
3,9,show,Bandar Lampung,Penyemprotan Boron pada Tanaman padi untuk Perbaikan Pertumbuhan dan Produksi Benih,['S1'],Lembar Hasil Penilaian Peer Reviewer Jurnal Canarium,2021-04-08 01:12:02,archive,,29014,http://repository.lppm.unila.ac.id/id/eprint/29014,public,unpub,Universitas Lampung,"[{'eprintid': 29014, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Scan2021-03-24_Publikasi11.pdf', 'docid': 43119, 'files': [{'hash_type': 'MD5', 'mtime': '2021-04-07 09:43:29', 'filename': 'Scan2021-03-24_Publikasi11.pdf', 'hash': '980736f2b9bc9c5b011ee869db4497fa', 'fileid': 257379, 'mime_type': 'application/pdf', 'filesize': 1231822, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/257379', 'objectid': 43119}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43119', 'rev_number': 1}, {'docid': 43120, 'main': 'canarium', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/257382', 'objectid': 43120, 'hash_type': 'MD5', 'mtime': '2021-04-07 09:43:45', 'hash': '1662c2268916440fc5ecaaaf23ba8352', 'filename': 'canarium', 'fileid': 257382, 'mime_type': 'text/html', 'filesize': 90755, 'datasetid': 'document'}], 'format': 'text', 'pos': 2, 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43120', 'eprintid': 29014, 'security': 'public', 'placement': 2, 'mime_type': 'text/html', 'language': 'en', 'content': 'other'}]",2021-04-08 01:12:02,2021-04-08 01:12:02,1003,disk0/00/02/90/14,"[{'id': 'agustiansyah.1972@fp.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Agustiansyah', 'given': 'Agustiansyah'}}, {'name': {'given': 'Paul B.', 'honourific': None, 'family': 'Timotiwu', 'lineage': None}, 'id': 'paul.timotiwu@gmail.com'}, {'name': {'given': 'Aulia Dwi', 'family': 'Safitri', 'honourific': None, 'lineage': None}, 'id': None}]",['FP25'],other,,,,,,,,,,,,,,,,,,,,,,,,
4,6,show,,"PENGARUH SISTEM PERTANAMAN TERHADAP PRODUKTIVITAS DAN VIABILITAS BENIH PASCASIMPAN
DARI LIMA GENOTIPE SORGUM",['S1'],"Pengembangan sorgum di Indonesia menghadapi kendala keterbatasan lahan juga memerlukan
ketersediaan benih sorgum bermutu dari varietas unggul. Salah satu cara untuk mengatasi
keterbatasan lahan adalah dengan sistem tumpangsari. Penelitian ini bertujuan untuk mengetahui
pengaruh sistem pertanaman terhadap produktivitas dan viabilitas benih pascasimpan 4 dan 8
bulan dari lima genotipe sorgum. Penelitian dilaksanakan dari bulan Januari 2019 sampai dengan
Maret 2020 di Desa Karang Enda, Kecamatan Jati Agung, Kabupaten Lampung Selatan (5,28◦ LS
105,27◦ BT) dengan ketinggian 82,3 Mdpl dan di Laboratorium Benih dan Pemuliaan Tanaman
Fakultas Pertanian, Universitas Lampung. Penelitian ini menggunakan rancangan petak terbagi
(Split Plot) dengan 3 ulangan. Petak utama yaitu sistem pertanaman tumpangsari dan sistem
pertanaman monokultur. Anak petak yaitu genotipe yang terdiri dari GH-2, GH-8, GH-10, Cymmite,
dan Mandau. Hasil penelitian menunjukkan bahwa sistem pertanaman berpengaruh nyata
(P<0,05) pada produktivitas yaitu pada bobot benih per malai dan viabilitas benih sorgum
pascasimpan. Genotipe berpengaruh nyata (P<0,05) pada viabilitas pascasimpan. Pengaruh
interaksi sistem pertanaman dan genotipe berpengaruh nyata (P<0,05) pada produktivitas yaitu
pada bobot 1000 benih dan jumlah benih per malai, dan viabilitas benih pascasimpan terutama
pada persentase kecambah normal total.",2020-11-16 01:46:23,archive,completed,25369,http://repository.lppm.unila.ac.id/id/eprint/25369,public,submitted,,"[{'placement': 1, 'security': 'public', 'eprintid': 25369, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/228929', 'objectid': 39149, 'filesize': 233574, 'datasetid': 'document', 'mtime': '2020-11-15 15:03:47', 'hash_type': 'MD5', 'filename': 'LoA_PPH-47_SEMINARPERAGI 2020.pdf', 'hash': '8d1fc99c913ce6139dfb7e9fb1edda00', 'fileid': 228929, 'mime_type': 'application/pdf'}], 'docid': 39149, 'main': 'LoA_PPH-47_SEMINARPERAGI 2020.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39149', 'pos': 1, 'format': 'text'}]",2020-11-16 01:46:23,2020-11-16 01:46:23,859,disk0/00/02/53/69,"[{'id': 'anggrekkyanisasmita15@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Anggrek', 'given': 'Anggrek'}}, {'id': 'pramono.e61@gmail.com', 'name': {'given': 'Eko', 'lineage': None, 'family': 'Pramono', 'honourific': None}}, {'id': 'mkamal1961@yahoo.com', 'name': {'given': 'Muhammad', 'family': 'Kamal', 'honourific': None, 'lineage': None}}]",['FP25'],article,Prosiding Semnas Peragi 2020,TRUE,,,,,,,,,,,,,,,,,,,,,,
5,6,show,,"Pengaruh Perbedaan Waktu Tanam Tumpangsari Sorghum
Singkong Pada Produktivitas Dan Viabilitas Pra Dan Pasca
Simpan Benih Sorgum (Sorghum bicolor [L.] Moench.)",['S1'],"Penelitian ini bertujuan untuk mengetahui pengaruh beda waktu tanam dalam
tumpangsari sorgum-singkong pada produktivitas, viabilitas pra dan pasca simpan empat
genotipe sorgum. Penelitian ini dilaksanakan di lahan pertanian Desa Karang Endah, Kecamatan
Jati Agung, Kabupaten Lampung Selatan dan di Laboratorium Benih dan Pemuliaan Tanaman
Fakultas Pertanian, Universitas Lampung pada Januari 2019 sampai Maret 2020. Percobaan
menggunakan rancangan perlakuan faktorial 2x4 yang diacak secara lengkap dalam petak
berjalur (strip plot) dengan tiga ulangan dalam tiga blok. Petak utama yaitu empat genotipe
sorgum yang terdiri dari Samurai 1 (g1), Numbu (g2), Super 2 (g3), Talaga Bodas (g4). Anak 
petak yaitubeda waktu tanam yang terdiri dari nol minggu (s1) dan dua minggu (s2). Singkong
yang ditumpangsarikan dengan sorgum adalah klon UJ-3 atau singkong Thailand. Hasil
penelitian menunjukkan bahwa beda waktu tanam berpengaruh nyata terhadap viabilitas pra
simpan pada variabel kecambah normal total sedangkan pada viabilitas pasca simpan empat
bulan berpengaruh nyata terhadap genotipe pada variabel kecepatan perkecambahan. Sedangkan
pada variabel produktivitas tidak berpengaruh nyata terhadap bobot 1000 butir benih, bobot
benih per malai dan jumlah butir per malai. Hasil penelitian menunjukkan bahwa tidak ada nya
pengaruh intaraksi antara genotipe sorgum dan beda waktu tanam.",2020-11-16 01:46:16,archive,submitted,25368,http://repository.lppm.unila.ac.id/id/eprint/25368,public,inpress,,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 25368, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39147', 'format': 'text', 'pos': 1, 'files': [{'objectid': 39147, 'uri': 'http://repository.lppm.unila.ac.id/id/file/228921', 'datasetid': 'document', 'filesize': 382429, 'fileid': 228921, 'mime_type': 'application/pdf', 'mtime': '2020-11-15 15:00:00', 'hash_type': 'MD5', 'hash': '84ea3f3725dc630fe328e9511c355c50', 'filename': 'LoA_PPH-36_Semnasperagi2020.pdf'}], 'docid': 39147, 'main': 'LoA_PPH-36_Semnasperagi2020.pdf'}]",2020-11-16 01:46:16,2020-11-16 01:46:16,859,disk0/00/02/53/68,"[{'id': None, 'name': {'lineage': None, 'family': 'Aprilianti', 'honourific': None, 'given': 'Dwi'}}, {'id': 'pramono.e61@gmail.com', 'name': {'given': 'Eko', 'lineage': None, 'family': 'Pramono', 'honourific': None}}, {'id': 'mkamal1961@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Kamal', 'given': 'Muhammad'}}]",['FP25'],article,Prosiding Semnas Peragi 2020,TRUE,,,,,,,,,,,,,,,,,,,,,,
6,7,show,,"Responses of GP3 and MD2 Pineapple Clones to Postharvest Applications of ABA, Chitosan, and Decrowning on the Severity of Internal Browning and Other Fruit Qualities",['S1'],"Internal browning (IB) is one of pineapple fruits' main postharvest physiological disorders in response to cold storage. The purpose of the research was to study the response of GP3 and MD2 clones to postharvest treatment with the application of ABA, chitosan, and decrowning on the IB severity and other fruit qualities. The experimental design used a Completely Randomized Design with 3 factors of clone (GP3 and MD2), decrowning (crown and crownless), and fruit coating [chitosan 1%, ABA 50 mg/L, ABA+chitosan mix, and control (H2O)]. The fruits were kept at 7 oC and observed at 0, 3, 6, 9, 16, 23, 30, and 37 days. The results showed that the MD2 was significantly lower IB than GP3. IB severity was negatively correlated with ascorbic acid (AsA) content. MD2 had lower fruit weight loss (FWL), higher AsA, soluble solid content (SSC), and SSC/titratable acidity (STA) ratios compared to GP3. The crown+ABA treatment decreased IB severity of GP3, with an IB severity level of 0.75% after 37 days which was lower than that of  crown+H2O by 9.17% and crownless+H2O by 8.42%. ABA treatment also showed higher skin dehydration and FWL and AsA, SSC, titratable acidity, and STA were not significant to the control.",2022-10-31 01:04:24,archive,submitted,46092,http://repository.lppm.unila.ac.id/id/eprint/46092,public,submitted,,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184916', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/509853', 'objectid': 184916, 'filesize': 335456, 'datasetid': 'document', 'mtime': '2022-10-30 06:39:11', 'hash_type': 'MD5', 'filename': 'Full Paper_Responses of GP3 and MD2 Pineapple_David_Headered.pdf', 'hash': 'effd91ab4e472b0164c1efa6902f1012', 'fileid': 509853, 'mime_type': 'application/pdf'}], 'docid': 184916, 'main': 'Full Paper_Responses of GP3 and MD2 Pineapple_David_Headered.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 46092}]",2022-10-31 01:04:24,2022-10-31 01:04:24,1038,disk0/00/04/60/92,"[{'name': {'family': 'Chandra', 'honourific': None, 'lineage': None, 'given': 'David'}, 'id': 'davidchandraipb@gmail.com'}, {'id': 'sestiwidodo@gmail.com', 'name': {'lineage': None, 'family': 'Widodo', 'honourific': None, 'given': 'Soesiladi E.'}}, {'id': 'mkamal1961@yahoo.com', 'name': {'given': 'Muhammad', 'family': 'Kamal', 'honourific': None, 'lineage': None}}, {'name': {'honourific': None, 'family': 'Waluyo', 'lineage': None, 'given': 'Sri'}, 'id': 'sri.waluyo@fp.unila.ac.id'}]",['FP25'],conference_item,,TRUE,22-23 November 2022,conference,International Conference on Multidisciplinary Research and Practices (ICMRP-2022),"Phuket, Thailand",1-5,paper,,,,,,,,,,,,,,,,
7,9,show,Bandar Lampung,"Genetic and Phenotypic diversity, heritability and Correlation Between the quantitative characters on 30 sweet potato Germplamps in Lampung Indonesia",['S1'],"Lembar Hasil Penilaian Peer Reviewer Jurnal Biodiversitas : Genetic and Phenotypic diversity, heritability and Correlation Between the quantitative characters on 30 sweet potato Germplamps in Lampung Indonesia",2021-04-08 01:10:37,archive,,28982,http://repository.lppm.unila.ac.id/id/eprint/28982,public,unpub,Universitas Lampung,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 28982, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43077', 'docid': 43077, 'main': 'Scan2021-03-24_Publikasi3.pdf', 'files': [{'objectid': 43077, 'uri': 'http://repository.lppm.unila.ac.id/id/file/257124', 'fileid': 257124, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-04-07 04:47:56', 'filename': 'Scan2021-03-24_Publikasi3.pdf', 'hash': '63eaa8969b788a81893848d107857850', 'datasetid': 'document', 'filesize': 1088340}]}, {'uri': 'http://repository.lppm.unila.ac.id/id/document/43078', 'rev_number': 2, 'pos': 2, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 428, 'mime_type': 'text/html', 'fileid': 257127, 'hash': 'fb5af8fc7cee0249c2a847868dbd463a', 'filename': 219, 'mtime': '2021-04-07 04:48:18', 'hash_type': 'MD5', 'objectid': 43078, 'uri': 'http://repository.lppm.unila.ac.id/id/file/257127'}], 'main': 219, 'docid': 43078, 'mime_type': 'text/html', 'language': 'en', 'placement': 2, 'security': 'public', 'eprintid': 28982}]",2021-04-08 01:10:37,2021-04-08 01:10:37,1003,disk0/00/02/89/82,"[{'id': 'ratna.dewi@polinela.ac.id', 'name': {'lineage': None, 'family': 'Dewi', 'honourific': None, 'given': 'Ratna'}}, {'name': {'given': 'Setyo Dwi', 'lineage': None, 'family': 'Utomo', 'honourific': None}, 'id': 'setyo.dwiutomo@fp.unila.ac.id'}, {'name': {'family': 'Timotiwu', 'honourific': None, 'lineage': None, 'given': 'Paul B.'}, 'id': 'paul.timotiwu@gmail.com'}, {'name': {'honourific': None, 'family': 'Nurdjanah', 'lineage': None, 'given': 'Siti'}, 'id': 'siti.nurdjanah@fp.unila.ac.id'}]",['FP25'],other,,,,,,,,,,,,,,,,,,,,,,,,
8,7,show,,Bukti Bimbingan Disertasi,['SB'],,2022-08-18 00:50:42,archive,,44125,http://repository.lppm.unila.ac.id/id/eprint/44125,public,unpub,Fakultas Pertanian Universitas Lampung,"[{'eprintid': 44125, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Bukti Pembimbing Disertasi.pdf', 'docid': 166158, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/479830', 'objectid': 166158, 'filesize': 2667378, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2022-08-17 23:05:36', 'filename': 'Bukti Pembimbing Disertasi.pdf', 'hash': 'e998f34844ef3698e69525ec11086716', 'fileid': 479830, 'mime_type': 'application/pdf'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/166158', 'rev_number': 1}]",2022-08-18 00:50:42,2022-08-18 00:50:42,978,disk0/00/04/41/25,"[{'name': {'lineage': None, 'family': 'Evizal', 'honourific': None, 'given': 'Rusdi'}, 'id': 'rusdi.evizal@fp.unila.ac.id'}]",['FP25'],other,,,,,,,,,,,,,,,,,,,,,,,,
9,8,show,,"UJI RESISTENSI GULMA GOLONGAN DAUN LEBAR (Asystasia gangetica, Borreria alata, DAN Praxelis clematidea) TERHADAP HERBISIDA DIURON 
DI PERKEBUNAN NANAS LAMPUNG TENGAH",['SB'],"Resistensi gulma terhadap herbisida merupakan suatu populasi gulma yang mampu bertahan hidup secara normal terhadap pemberian dosis herbisida yang umumnya dianjurkan untuk mengendalikan populasi gulma tersebut. Di Indonesia, laporan mengenai resistensi gulma masih sangat terbatas. Oleh karena itu dilakukan penelitian ini untuk mengetahui perbedaan kecepatan meracuni, dosis efektif, serta mengetahui apakah telah terjadi resistensi gulma Asystasia gangetica, Borreria alata dan Praxelis clematidea terhadap herbisida diuron di perkebunan nanas Lampung Tengah. Hasil penelitian menunjukkan bahwa : (1) Gulma A. gangetica dan B. alata terpapar diuron memerlukan waktu meracuni gulma 50% yang lebih lama daripada gulma tidak terpapar diuron, dengan Median Lethal Time (LT50) gulma terpapar diuron pada dosis 4800 g/ha berturut-turut yaitu 16,22 dan 7,40 hari, dan gulma tidak terpapar diuron berturut-turut yaitu 14,54 dan 5,58 hari. Gulma P. clematidea terpapar dan tidak terpapar diuron memerlukan waktu yang sama untuk meracuni gulma 50% pada dosis 4800 g/ha berturut-turut yaitu 6,22 dan 6,32 hari. (2) Gulma A. gangetica dan B. alata yang terpapar diuron memerlukan dosis yang lebih tinggi daripada gulma tidak terpapar diuron untuk mematikan populasi gulma 50%, dengan Median Efective Dose (ED50) gulma yang terpapar diuron berturut-turut yaitu 1021,8 dan 301,91g/ha, sedangkan gulma yang tidak terpapar diuron berturut-turut yaitu 853,28 dan 178,98 g/ha. Gulma P. clematidea terpapar dan tidak terpapar diuron memerlukan dosis yang sama untuk mematikan populasi gulma 50% yaitu 178,98 g/ha. (3) Gulma A. gangetica, B. alata, dan P. clematidea tidak memperlihatkan adanya resistensi (sensitif), dengan nisbah resistensi (NR) berturut-turut yaitu 1,20; 1,69; dan 1,00.

Kata kunci : diuron, gulma, herbisida, resistensi.",2018-11-09 03:25:39,archive,published,9617,http://repository.lppm.unila.ac.id/id/eprint/9617,public,inpress,,"[{'main': 'abstrak Nawa dkk.pdf', 'docid': 22642, 'files': [{'datasetid': 'document', 'filesize': 781039, 'fileid': 91315, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-11-07 23:50:26', 'hash': '2838c33b5165d572a3a5c8b2b62c8b90', 'filename': 'abstrak Nawa dkk.pdf', 'objectid': 22642, 'uri': 'http://repository.lppm.unila.ac.id/id/file/91315'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/22642', 'rev_number': 1, 'eprintid': 9617, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",2018-11-09 03:25:39,2018-11-09 03:25:40,1078,disk0/00/00/96/17,"[{'id': None, 'name': {'honourific': None, 'family': 'Fauziah', 'lineage': None, 'given': 'nawa'}}, {'id': 'hidpuji@yahoo.com', 'name': {'given': 'Hidayat', 'honourific': None, 'family': 'Pujisiswanto', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Utomo', 'honourific': None, 'given': 'Setyo Dwi'}, 'id': 'setyo.dwiutomo@fp.unila.ac.id'}, {'id': 'nanik.sriyani@fp.unila.ac.id', 'name': {'given': 'Nanik', 'lineage': None, 'honourific': None, 'family': 'Sriyani'}}]",['FP25'],conference_item,,TRUE,6-7 November 2018,conference,Workshop dan Seminar Nasional HIGI,Bandar Lampung,,paper,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'lineage': None, 'honourific': None, 'family': 'Fauziah', 'given': 'Nurul'}}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'lineage': None, 'family': 'Pujisiswanto', 'honourific': None, 'given': 'Hidayat'}}, {'name': {'given': 'Setyo', 'family': 'Utomo', 'honourific': None, 'lineage': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'lineage': None, 'family': 'Sriyani', 'honourific': None, 'given': 'Nanik'}}]",['Universitas Lampung'],,,,,,,,,,,,,,
