,eprintid,subjects,eprint_status,status_changed,metadata_visibility,rev_number,title,divisions,type,dir,creators,publication,datestamp,userid,lastmod,refereed,uri,full_text_status,documents,ispublished,abstract,issn,publisher,corp_creators,pres_type,event_title,event_location,event_dates,event_type,date_type,contact_email,volume,pagerange,number,succeeds,official_url
0,51121,['SH'],archive,2023-05-05 11:46:56,show,6,"CULTURE PERFORMANCES OF SPINY LOBSTER (Panulirus homarus)
WITH OPTIMUM FEEDING RATE",['FP3'],article,disk0_bak/00/05/11/21,"[{'name': {'given': 'Y. T.', 'family': 'Adiputra', 'honourific': None, 'lineage': None}, 'id': 'yudha.trinoegraha@fp.unila.ac.id'}]",e-Jurnal Rekayasa dan Teknologi Budidaya Perairan,2023-05-05 11:46:56,405,2023-05-05 11:46:56,TRUE,http://repository.lppm.unila.ac.id/id/eprint/51121,public,"[{'main': 'Korespondensi.docx', 'docid': 190839, 'files': [{'objectid': 190839, 'uri': 'http://repository.lppm.unila.ac.id/id/file/549567', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'fileid': 549567, 'hash': '613cc22770953fdecbdf277e122230b8', 'filename': 'Korespondensi.docx', 'mtime': '2023-05-05 11:31:18', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 999570}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190839', 'eprintid': 51121, 'placement': 1, 'security': 'public', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en'}]",pub,,,,,,,,,,,,,,,,
1,51119,['SH'],archive,2023-05-05 11:46:52,show,6,"DIVERSITAS EKTOPARASIT PADA IKAN BAWAL BINTANG
(Trachinotus blochii) BUDI DAYA DI TELUK LAMPUNG",['FP3'],article,disk0_bak/00/05/11/19,"[{'name': {'lineage': None, 'family': 'Adiputra', 'honourific': None, 'given': 'Y. T.'}, 'id': 'yudha.trinoegraha@fp.unila.ac.id'}]","Journal of Tropical Marine Science Vol.6(1):31-37, April 2023",2023-05-05 11:46:52,405,2023-05-05 11:46:52,TRUE,http://repository.lppm.unila.ac.id/id/eprint/51119,public,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 51119, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190837', 'docid': 190837, 'main': 'Adiputra-April 2023-Sinta 3.pdf', 'files': [{'filename': 'Adiputra-April 2023-Sinta 3.pdf', 'hash': 'adfe050a17c21dadfac14b4cd82cac24', 'hash_type': 'MD5', 'mtime': '2023-05-05 11:26:43', 'mime_type': 'application/pdf', 'fileid': 549555, 'filesize': 188415, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/549555', 'objectid': 190837}]}]",pub,"Ikan bawal bintang (Trachinotus blochii) menjadi komoditas marikultur andalan di Teluk Lampung karena
pertumbuhan yang cepat dan relatif tahan terhadap perubahan lingkungan yang dinamis meskipun
dibesarkan di karamba jaring apung. Namun infeksi penyakit menjadi tantangan saat degradasi kualitas
air terjadi pada lokasi yang menjadi destinasi wisata dan budi daya ikan seperti di Teluk Lampung.
Penelitian ini bertujuan untuk mengevaluasi diversitas ektoparasit yang menginfeksi ikan bawal bintang
dan parameter kualitas air di lokasi budi daya di Teluk Lampung. Survei dilakukan sebanyak tiga kali di
dua lokasi budi daya bawal bintang pada September dan Oktober 2022 dengan mengambil 2,5%
populasi. Sembilan variabel kualitas air diukur bersama pengambilan sampel ikan bawal bintang dan
diamati di Balai Besar Perikanan Budidaya Laut, Lampung. Hasil menunjukkan, terdapat tiga jenis
ektoparasit Pyragraphorus hollisae, Neobenedenia girellae dan Benedenia sp. yang menginfeksi ikan
bawal bintang dan Pyragraphorus hollisae merupakan jenis yang mendominasi pada intensitas, prevalensi
meskipun nilai indeks keanekaragaman dan keseragaman yang rendah. Amonia terukur melebihi ambang
batas baku budi daya diduga karena efek pencemaran dan mendukung dominasi Pyragraphorus hollisae.
Penelitian ini diharapkan menjadi salah satu rujukan dalam penanganan infeksi ektoparasit pada budi
daya bawal bintang",,,,,,,,,,,,,,,
2,51107,['SH'],archive,2023-05-05 11:46:24,show,6,Grow-Out of Juvenile Scalloped Spiny Lobster (Panulirus Homarus) with Thyroxine Hormone and Various Feed,['FP3'],article,disk0_bak/00/05/11/07,"[{'id': 'yudha.trinoegraha@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Adiputra', 'honourific': None, 'given': 'Y. T.'}}]",International Journal of Research Publication and Reviews,2023-05-05 11:46:24,535,2023-05-05 11:46:24,TRUE,http://repository.lppm.unila.ac.id/id/eprint/51107,public,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 51107, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190824', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'filename': 'Adiputra-2023-Internasionala.pdf', 'hash': '23baa8c1b65017b1b002925c6028c804', 'mtime': '2023-05-05 10:11:56', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 549476, 'filesize': 199909, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/549476', 'objectid': 190824}], 'docid': 190824, 'main': 'Adiputra-2023-Internasionala.pdf'}]",pub,"Scalloped spiny lobster (Panulirus homarus) is one of the leading fisheries commodities in Indonesia. However, aquaculture scalloped spiny lobster in Indonesia has not been developed because there is still a lack of innovation in grow-out technique. Main problems, such as long culture period and no artificial feed and still rely on the trash fish, which is constrained by the availability and quality are not sustainable. The use of artificial feed and thyroxine hormone are made to ensure the success and minimize the risk of failure of the grow-out of scalloped spiny lobster in floating net cages. This research aimed to determine the technique of growout of the spiny lobster with the immersion of thyroxine hormone and distinct feed were fresh fish and artificial feed. This research was carried out in Hurun Bay, Pesawaran Regency, Lampung Province, Indonesia. This study consisted of three treatment were fresh fish meat and immersion of the lobster with the use of the hormone thyroxine 10 mg/l; artificial feeding and immersion of thyroxine hormone 10 mg/l, and fed with artificial feed only. The results showed that the administration of fresh fish meat and immersion spiny lobster with thyroxine hormone positive affect to growth (18.86 g), feed conversion ratio (2.74) and uniformity of individual (23.57%) scalloped spiny lobster compared to fed with artificial fee",,,,,,,,,,,,,,,
3,51108,['Q1'],archive,2023-05-05 11:46:31,show,8,Grow-Out of Juvenile Scalloped Spiny Lobster (Panulirus Homarus) with Thyroxine Hormone and Various Feed,['FP3'],article,disk0_bak/00/05/11/08,"[{'name': {'given': 'Y. T.', 'honourific': None, 'family': 'Adiputra', 'lineage': None}, 'id': 'yudha.trinoegraha@fp.unila.ac.id'}]",Grow-Out of Juvenile Scalloped Spiny Lobster (Panulirus Homarus) with Thyroxine Hormone and Various Feed,2023-05-05 11:46:31,535,2023-05-05 11:46:31,TRUE,http://repository.lppm.unila.ac.id/id/eprint/51108,public,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190825', 'rev_number': 1, 'main': 'Similarity-Adiputra-2023-Internasional 1.pdf.pdf', 'docid': 190825, 'files': [{'mime_type': 'application/pdf', 'fileid': 549482, 'filename': 'Similarity-Adiputra-2023-Internasional 1.pdf.pdf', 'hash': '6aa35555c3f3f06bdf4d06c159dcaee6', 'hash_type': 'MD5', 'mtime': '2023-05-05 10:13:54', 'datasetid': 'document', 'filesize': 224977, 'objectid': 190825, 'uri': 'http://repository.lppm.unila.ac.id/id/file/549482'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 51108, 'placement': 1, 'security': 'public'}]",pub,"Scalloped spiny lobster (Panulirus homarus) is one of the leading fisheries commodities in Indonesia. However, aquaculture scalloped spiny lobster in Indonesia has not been developed because there is still a lack of innovation in grow-out technique. Main problems, such as long culture period and no artificial feed and still rely on the trash fish, which is constrained by the availability and quality are not sustainable. The use of artificial feed and thyroxine hormone are made to ensure the success and minimize the risk of failure of the grow-out of scalloped spiny lobster in floating net cages. This research aimed to determine the technique of growout of the spiny lobster with the immersion of thyroxine hormone and distinct feed were fresh fish and artificial feed. This research was carried out in Hurun Bay, Pesawaran Regency, Lampung Province, Indonesia. This study consisted of three treatment were fresh fish meat and immersion of the lobster with the use of the hormone thyroxine 10 mg/l; artificial feeding and immersion of thyroxine hormone 10 mg/l, and fed with artificial feed only. The results showed that the administration of fresh fish meat and immersion spiny lobster with thyroxine hormone positive affect to growth (18.86 g), feed conversion ratio (2.74) and uniformity of individual (23.57%) scalloped spiny lobster compared to fed with artificial feed.",ISSN 2582-7421,,,,,,,,,,,,,,
4,51106,['SH'],archive,2023-05-05 10:11:45,show,7,Identification and Predictive Bioconversion of Cholesterol to Estran and Androst Hormones from Scalloped Spiny Lobster  (Panulirus homarus) Gonads,['FP3'],article,disk0_bak/00/05/11/06,"[{'name': {'given': 'Y. T.', 'lineage': None, 'honourific': None, 'family': 'Adiputra'}, 'id': 'yudha.trinoegraha@fp.unila.ac.id'}]",Korespondensi Jurnal IARJSET,2023-05-05 10:11:45,535,2023-05-05 10:11:45,FALSE,http://repository.lppm.unila.ac.id/id/eprint/51106,public,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190823', 'main': 'Similarity-Yudha-IARJSET.2023.10503.pdf.pdf', 'docid': 190823, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/549466', 'objectid': 190823, 'filesize': 275081, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2023-05-05 10:09:01', 'filename': 'Similarity-Yudha-IARJSET.2023.10503.pdf.pdf', 'hash': '579fac053e6f05bcc880f772d6287a99', 'fileid': 549466, 'mime_type': 'application/pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 51106, 'placement': 1, 'security': 'public'}]",pub,-,,,,,,,,,,,,,,,
5,51109,['SH'],archive,2023-05-05 11:46:33,show,6,Korespondensi,['FP3'],article,disk0_bak/00/05/11/09,"[{'id': 'yudha.trinoegraha@fp.unila.ac.id', 'name': {'given': 'Y. T.', 'honourific': None, 'family': 'Adiputra', 'lineage': None}}]",International Journal of Research Publication and Reviews,2023-05-05 11:46:33,535,2023-05-05 11:46:33,TRUE,http://repository.lppm.unila.ac.id/id/eprint/51109,public,"[{'eprintid': 51109, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Korespondensi.pdf', 'docid': 190826, 'files': [{'objectid': 190826, 'uri': 'http://repository.lppm.unila.ac.id/id/file/549490', 'datasetid': 'document', 'filesize': 492160, 'fileid': 549490, 'mime_type': 'application/pdf', 'mtime': '2023-05-05 10:18:13', 'hash_type': 'MD5', 'filename': 'Korespondensi.pdf', 'hash': 'da18aa1afb97fc9267b755a01098724b'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190826', 'rev_number': 1}]",pub,,,,,,,,,,,,,,,,
6,48903,['Q1'],archive,2023-03-13 03:20:39,show,6,"Korespondensi dengan IOP untuk publikasi 
Effect of partial replacement of fish meal with Spirulina
platensis meal in practical diets and culture location on 
growth, survival, and color enhancement of percula clownfish 
Amphiprion percula",['FP3'],article,disk0_bak/00/04/89/03,"[{'name': {'family': 'Adiputra', 'honourific': None, 'lineage': None, 'given': 'Y. T.'}, 'id': 'yudha.trinoegraha@fp.unila.ac.id'}]","Effect of partial replacement of fish meal with Spirulina platensis meal in practical diets and culture location on  growth, survival, and color enhancement of percula clownfish  Amphiprion percula",2023-03-13 03:20:39,405,2023-03-13 03:20:39,FALSE,http://repository.lppm.unila.ac.id/id/eprint/48903,public,"[{'security': 'public', 'placement': 1, 'eprintid': 48903, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 188341, 'uri': 'http://repository.lppm.unila.ac.id/id/file/532289', 'fileid': 532289, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-03-10 12:12:09', 'filename': 'Korespondensi dgn IOP.pdf', 'hash': 'c8da4283c5ff19b2bd473f051ef8b86f', 'datasetid': 'document', 'filesize': 114659}], 'main': 'Korespondensi dgn IOP.pdf', 'docid': 188341, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188341', 'format': 'text', 'pos': 1}]",unpub,,,,,,,,,,,,,,,,
7,48907,['Q1'],archive,2023-03-13 03:20:45,show,8,"Korespondensi pada jurnal untuk publikasi Identification of steroid hormones and fatty
acids during gonadal maturation of spiny lobster
Panulirus homarus",['FP3'],article,disk0_bak/00/04/89/07,"[{'id': 'yudha.trinoegraha@fp.unila.ac.id', 'name': {'family': 'Adiputra', 'honourific': None, 'lineage': None, 'given': 'Y. T.'}}]",Invertebrate Reproduction and Development,2023-03-13 03:20:45,405,2023-03-13 03:20:45,FALSE,http://repository.lppm.unila.ac.id/id/eprint/48907,public,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/188345', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'objectid': 188345, 'uri': 'http://repository.lppm.unila.ac.id/id/file/532314', 'fileid': 532314, 'mime_type': 'application/pdf', 'mtime': '2023-03-10 12:37:19', 'hash_type': 'MD5', 'filename': '_system_appendPDF_proof_hi.pdf', 'hash': '6b9a072b59ebbeaec0a82a3028c2b41d', 'datasetid': 'document', 'filesize': 1076566}], 'main': '_system_appendPDF_proof_hi.pdf', 'docid': 188345, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 48907}, {'pos': 2, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188346', 'main': 'TINV_A_1549114.pdf', 'docid': 188346, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/532316', 'objectid': 188346, 'mtime': '2023-03-10 12:37:32', 'hash_type': 'MD5', 'filename': 'TINV_A_1549114.pdf', 'hash': '22e76a349497614ec8243a485dcb0098', 'fileid': 532316, 'mime_type': 'application/pdf', 'filesize': 1074840, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 48907, 'placement': 2, 'security': 'public'}, {'uri': 'http://repository.lppm.unila.ac.id/id/document/188347', 'rev_number': 1, 'format': 'text', 'pos': 3, 'files': [{'mime_type': 'application/pdf', 'fileid': 532318, 'hash': '348a05c9ecc1b42455cec35c4d803c19', 'filename': 'AcceptedAuthorPublishingAgreement.pdf', 'mtime': '2023-03-10 12:37:39', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 51053, 'objectid': 188347, 'uri': 'http://repository.lppm.unila.ac.id/id/file/532318'}], 'docid': 188347, 'main': 'AcceptedAuthorPublishingAgreement.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 3, 'eprintid': 48907}]",unpub,,0792-4259,Taylor and Francis,,,,,,,,,,,,,
8,48906,['Q1'],archive,2023-03-13 03:20:43,show,6,"Laporan Penelitian Unggulan 2019 PENETASAN TELUR DAN PEMELIHARAAN PUERULUS 
LOBSTER PASIR (Panulirus homarus) SEBAGAI INISIASI
PEMBENIHAN SECARA INTENSIF",['FP3'],article,disk0_bak/00/04/89/06,"[{'id': 'yudha.trinoegraha@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Adiputra', 'lineage': None, 'given': 'Y. T.'}}]",PENETASAN TELUR DAN PEMELIHARAAN PUERULUS  LOBSTER PASIR (Panulirus homarus) SEBAGAI INISIASI PEMBENIHAN SECARA INTENSIF,2023-03-13 03:20:43,405,2023-03-13 03:20:43,FALSE,http://repository.lppm.unila.ac.id/id/eprint/48906,public,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/532308', 'objectid': 188344, 'hash': 'cc67c3317a56f586d39595931e412abf', 'filename': 'Kotak-Laporan Akhir-Yudha Adiputra-Faperta Unila-Penelitian Unggulan.pdf', 'mtime': '2023-03-10 12:24:42', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 532308, 'filesize': 720651, 'datasetid': 'document'}], 'docid': 188344, 'main': 'Kotak-Laporan Akhir-Yudha Adiputra-Faperta Unila-Penelitian Unggulan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/188344', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 48906, 'language': 'en', 'mime_type': 'application/pdf'}]",unpub,,,,,,,,,,,,,,,,
9,51116,['SH'],archive,2023-05-05 11:46:45,show,6,"Mangrove Snail (Telescopium telescopium) Meat Enhances Maturation
and Berried-Egg Broodstovk of Three Species of Spiny Lobster
(Panulirus) from Lampung Waters",['FP3'],article,disk0_bak/00/05/11/16,"[{'name': {'lineage': None, 'family': 'Adiputra', 'honourific': None, 'given': 'Y. T.'}, 'id': 'yudha.trinoegraha@fp.unila.ac.id'}]",International Journal of Research Publication and Reviews,2023-05-05 11:46:45,405,2023-05-05 11:46:45,TRUE,http://repository.lppm.unila.ac.id/id/eprint/51116,public,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/190834', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/549537', 'objectid': 190834, 'hash': '71d03d8ae37d104f2f971314be0419e6', 'filename': 'Yudha Adiputra-Internasional 2023d.pdf', 'mtime': '2023-05-05 11:20:40', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 549537, 'filesize': 240729, 'datasetid': 'document'}], 'main': 'Yudha Adiputra-Internasional 2023d.pdf', 'docid': 190834, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 51116}]",pub,"Spiny lobster hatchery (Panulirus spp.) is still hampered by technology that has not been mastered and until now still relies on natural catches for puerulus and their
prospective brooders. Spiny lobster hatchery can be started by spawning broodstock with sufficient body weight with feeding to increase gonadal maturation. Feed
used to enhance gonadal maturation includes the use of mangrove snail meat (Telescopium telescopium). The purpose of this study was to study the effectiveness
of mangrove snail meat on spawning and berried egg broodstock in scalloped spiny lobster (P. homarus), pronghorn spiny lobster (P. penicillatus), and longlegged
spiny lobster (P. longipes). This research was conducted in spiny lobster floating net cages for 60 days of rearing. The experimental design of large scalloped spiny
lobster broodstock (>150 g), small scalloped spiny lobster broodstock (<150 g), and pronghorn spiny lobster and longlegged spiny lobster broodstock (>150 g)
were fed with mangrove snail meat as much as 20% of the lobster body weight per days to produce spawning and berried egg naturally. The results showed that the
feeding of fresh meat of mangrove snails was effective in producing spawning and berried egg broodstock for large scalloped spiny lobster lobster (bodyweight
>150 g) compared to small scalloped spiny lobster lobsters (<150 g), pronghorn spiny lobster and longlegged spiny lobster.",,,,,,,,,,,,,,,
