,ispublished,publisher,documents,full_text_status,uri,lastmod,userid,datestamp,creators,dir,date,type,divisions,title,rev_number,metadata_visibility,eprint_status,status_changed,succeeds,subjects,abstract,eprintid,place_of_pub,institution,department,date_type,pages,monograph_type,publication,issn,corp_creators,pagerange,number,refereed,official_url,volume,id_number,related_url,contributors,referencetext,keywords,contact_email,event_type,event_title,pres_type
0,unpub,LPPM Unila,"[{'security': 'public', 'placement': 1, 'eprintid': 41296, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'fileid': 457964, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-04-12 10:11:32', 'filename': 'revisi review JIIA Vol 8 no 1  2020 Bagus  dkk.pdf', 'hash': '452b577f3734d1ccb63603bda0134c2a', 'datasetid': 'document', 'filesize': 399136, 'objectid': 162874, 'uri': 'http://repository.lppm.unila.ac.id/id/file/457964'}], 'main': 'revisi review JIIA Vol 8 no 1  2020 Bagus  dkk.pdf', 'docid': 162874, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162874', 'format': 'text', 'pos': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/41296,2022-04-13 01:04:10,933,2022-04-13 01:04:10,"[{'name': {'honourific': None, 'family': 'Abidin', 'lineage': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",disk0/00/04/12/96,1970-01-01 00:00:00.000002020,other,['FP1'],Analisis Kelayakan Finansial Agroindustri Pengolahan Onggok Ubi Kayu Di Kecamatan Terusan Nunyai Kabupaten Lampung Tengah,7,show,archive,2022-04-13 01:04:10,31077.0,['S1'],Evaluasi jurnal JIIA Vol 8 No 1 Februari 2020  an Bagoes P Zainal Abidin dan Soemaryo GS,41296,,,,,,,,,,,,,,,,,,,,,,,
1,unpub,LPPM Unila,"[{'eprintid': 31075, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'JIIA Vol 8 no 3 Nov 2020 Devira Nuraini Zainal Abidin dan Teguh .pdf', 'docid': 140340, 'files': [{'datasetid': 'document', 'filesize': 412101, 'fileid': 368447, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-05-27 15:16:15', 'hash': '136724de4ecf1e8a140e51b14561ac4b', 'filename': 'JIIA Vol 8 no 3 Nov 2020 Devira Nuraini Zainal Abidin dan Teguh .pdf', 'objectid': 140340, 'uri': 'http://repository.lppm.unila.ac.id/id/file/368447'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/140340'}]",public,http://repository.lppm.unila.ac.id/id/eprint/31075,2021-05-28 01:00:54,933,2021-05-28 01:00:54,"[{'name': {'given': 'Zainal', 'lineage': None, 'family': 'Abidin', 'honourific': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",disk0/00/03/10/75,1970-01-01 00:00:00.000002020,other,['FP1'],Analisis Risiko Produksi Padi Dan Pendapatan Rumah Tangga Petani Padi Di Kampung Simpang Asam Kecamatan Banjit Kabupaten Way Kanan,7,show,archive,2021-05-28 01:00:54,,['S1'],Evaluasi penilaian reviewer sejawat,31075,,,,,,,,,,,,,,,,,,,,,,,
2,unpub,LPPM Universitas Lampung,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/162943', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'objectid': 162943, 'uri': 'http://repository.lppm.unila.ac.id/id/file/458315', 'datasetid': 'document', 'filesize': 383526, 'mime_type': 'application/pdf', 'fileid': 458315, 'filename': 'revisi review jofsa vol 4 no 2  sri puji lestari zainal 2020.pdf', 'hash': '76a362f430ba8c1147948614123bb007', 'hash_type': 'MD5', 'mtime': '2022-04-14 14:46:58'}], 'main': 'revisi review jofsa vol 4 no 2  sri puji lestari zainal 2020.pdf', 'docid': 162943, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 41336}]",public,http://repository.lppm.unila.ac.id/id/eprint/41336,2022-04-18 01:08:13,933,2022-04-18 01:08:13,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'lineage': None, 'family': 'Abidin', 'honourific': None}}]",disk0/00/04/13/36,1970-01-01 00:00:00.000002020,other,['FP1'],Analisis daya saing jagung lampung selatan,7,show,archive,2022-04-18 01:08:13,32127.0,['S1'],Review Jova Vol 4 no 2 Oktober 2020,41336,,,,,,,,,,,,,,,,,,,,,,,
3,unpub,LPPM Unila,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 31074, 'uri': 'http://repository.lppm.unila.ac.id/id/document/140335', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'filesize': 373896, 'datasetid': 'document', 'filename': 'JI of Plant Arhices Oct 2020 Asnawi et al.pdf', 'hash': 'e0bd61eff4017303920955bed6e987e9', 'hash_type': 'MD5', 'mtime': '2021-05-27 15:07:25', 'mime_type': 'application/pdf', 'fileid': 368432, 'uri': 'http://repository.lppm.unila.ac.id/id/file/368432', 'objectid': 140335}], 'main': 'JI of Plant Arhices Oct 2020 Asnawi et al.pdf', 'docid': 140335}]",public,http://repository.lppm.unila.ac.id/id/eprint/31074,2021-05-28 01:00:52,933,2021-05-28 01:00:52,"[{'name': {'family': 'Abidin', 'honourific': None, 'lineage': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",disk0/00/03/10/74,1970-01-01 00:00:00.000002020,other,['FP1'],Analysis Of Key Variables For Rice Farming Sustainability In The Downstream Of Sekampung Watershed : An Application Of Micmac Method,7,show,archive,2021-05-28 01:00:52,,['S1'],Penilaian reviewer,31074,,,,,,,,,,,,,,,,,,,,,,,
4,unpub,Yardav,"[{'docid': 163147, 'main': 'revisi peer review journal plant archives 2020i .pdf', 'files': [{'filesize': 361041, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2022-04-28 06:07:09', 'filename': 'revisi peer review journal plant archives 2020i .pdf', 'hash': '34e857504b5d7554f453b885a9448171', 'fileid': 459548, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/459548', 'objectid': 163147}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163147', 'eprintid': 41503, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/41503,2022-04-28 07:35:32,933,2022-04-28 07:35:32,"[{'name': {'given': 'Zainal', 'lineage': None, 'family': 'Abidin', 'honourific': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",disk0/00/04/15/03,1970-01-01 00:00:00.000002020,other,['FP1'],Peer review international journal plant arcvives vol 20 no 2 tahun tahun 2020,7,show,archive,2022-04-28 07:35:32,,['S1'],Peer review journal plant archives vol 20 no 2 tahun 2020,41503,,,,,,,,,,,,,,,,,,,,,,,
5,unpub,LPPM Unila,"[{'eprintid': 39874, 'placement': 6, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 161169, 'main': 'revisi review journal plant archiev .pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/446727', 'objectid': 161169, 'mtime': '2022-03-01 05:39:03', 'hash_type': 'MD5', 'hash': 'd28d31a0d95978f7909ca723a592b75c', 'filename': 'revisi review journal plant archiev .pdf', 'fileid': 446727, 'mime_type': 'application/pdf', 'filesize': 355680, 'datasetid': 'document'}], 'pos': 6, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/161169', 'rev_number': 2}]",public,http://repository.lppm.unila.ac.id/id/eprint/39874,2022-03-01 07:28:42,933,2022-03-01 07:28:42,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Abidin', 'lineage': None, 'given': 'Zainal'}}]",disk0/00/03/98/74,1970-01-01 00:00:00.000002020,other,['FP1'],Peer review journal plant archive vol 20 no 2 tahun 2020,6,show,archive,2022-03-01 07:28:42,39873.0,['S1'],Penilaian reviewer journal plant arcives vol 20 no. 2 tahun 2020,39874,,,,,,,,,,,,,,,,,,,,,,,
6,unpub,LPPM Unila,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 41290, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/162839', 'rev_number': 1, 'docid': 162839, 'main': 'revisi review JIIA Vol 8 no 1  2020 othi  dkk.pdf', 'files': [{'objectid': 162839, 'uri': 'http://repository.lppm.unila.ac.id/id/file/457882', 'datasetid': 'document', 'filesize': 405227, 'mime_type': 'application/pdf', 'fileid': 457882, 'hash': '70326410fe1dd95f5a7369ed66ae5247', 'filename': 'revisi review JIIA Vol 8 no 1  2020 othi  dkk.pdf', 'hash_type': 'MD5', 'mtime': '2022-04-12 05:06:59'}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/41290,2022-04-12 05:08:36,933,2022-04-12 05:08:36,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Abidin', 'lineage': None, 'given': 'Zainal'}}]",disk0/00/04/12/90,1970-01-01 00:00:00.000002020,other,['FP1'],REVIEW JIIA VOL 8 NO 1 OTHI DKK,8,show,archive,2022-04-12 05:08:36,31076.0,['S1'],Review jurna vol 8 no 1 februari 2020,41290,,,,,,,,,,,,,,,,,,,,,,,
7,unpub,LPPM Unila,"[{'security': 'public', 'placement': 1, 'eprintid': 41298, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'fileid': 457975, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-04-12 10:28:52', 'hash': '1c2a051b2e4a1d411f55d9a78b0fc1fb', 'filename': 'Revisi review  JIIA Vol 8 no 2  2020  Devita  dkk.pdf', 'datasetid': 'document', 'filesize': 410334, 'objectid': 162880, 'uri': 'http://repository.lppm.unila.ac.id/id/file/457975'}], 'docid': 162880, 'main': 'Revisi review  JIIA Vol 8 no 2  2020  Devita  dkk.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/162880', 'rev_number': 1, 'format': 'text', 'pos': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/41298,2022-04-13 01:04:11,933,2022-04-13 01:04:11,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Abidin', 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",disk0/00/04/12/98,1970-01-01 00:00:00.000002020,other,['FP1'],Revie JIA Vol 8 No 3 2020 Devira,5,show,archive,2022-04-13 01:04:11,,['S1'],JIIA Vol 8 No 3 2020 Devira Analisis Risiko Produksi Padi Dan Pendapatan Rumah Tangga Petani Padi Di Kampung Simpang Asam Kecamatan Banjit Kabupaten Way Kanan,41298,,,,,,,,,,,,,,,,,,,,,,,
8,unpub,LPPM Universitas Lampung,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/458276', 'objectid': 162924, 'filesize': 353240, 'datasetid': 'document', 'hash': '4321598865bda06544b08ce5b4cf9aba', 'filename': 'revisi review book chapter tentang karakterisitik sosek zainal abidin 2020.pdf', 'mtime': '2022-04-14 14:14:41', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 458276}], 'main': 'revisi review book chapter tentang karakterisitik sosek zainal abidin 2020.pdf', 'docid': 162924, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162924', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 41333, 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/41333,2022-04-18 01:08:03,933,2022-04-18 01:08:03,"[{'name': {'given': 'Zainal', 'family': 'Abidin', 'honourific': None, 'lineage': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",disk0/00/04/13/33,2020-11-01 00:00:00.000000000,other,['FP1'],Review book chapter aspek sosek buku diseminasi hasil penelitian tahun 2020,7,show,archive,2022-04-18 01:08:03,,['S1'],Reiew book chapter diseminasi hasil hasil penelitian oleh LPPM Unila tahun 2020,41333,,,,,,,,,,,,,,,,,,,,,,,
9,unpub,Yadav publishing,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 42087, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163781', 'format': 'text', 'pos': 1, 'files': [{'objectid': 163781, 'uri': 'http://repository.lppm.unila.ac.id/id/file/463999', 'datasetid': 'document', 'filesize': 884277, 'fileid': 463999, 'mime_type': 'application/pdf', 'mtime': '2022-06-03 13:55:46', 'hash_type': 'MD5', 'hash': 'f833d2c9f25edf48fb1636f3bbcb8396', 'filename': 'similarity test jurnal international plant archives vol 20 no 2 2020 7895-7904 6473.pdf(1) (3).pdf'}], 'docid': 163781, 'main': 'similarity test jurnal international plant archives vol 20 no 2 2020 7895-7904 6473.pdf(1) (3).pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/42087,2022-06-06 01:26:35,933,2022-06-06 01:26:35,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Abidin', 'lineage': None, 'given': 'Zainal'}}]",disk0/00/04/20/87,2020-10-01 00:00:00.000000000,other,['FP1'],Semilarity test pada artikel di Jurnal Plant Archives publish Oktober 2020,7,show,archive,2022-06-06 01:26:35,,['S1'],Similaritie test pada akun di jurnal plant arvices,42087,,,,,,,,,,,,,,,,,,,,,,,
