,title,rev_number,metadata_visibility,eprint_status,status_changed,subjects,abstract,eprintid,date_type,ispublished,publisher,documents,uri,full_text_status,lastmod,userid,datestamp,creators,date,dir,type,divisions,volume,publication,issn,pagerange,refereed,number,official_url,related_url,id_number,contact_email,place_of_pub,corp_creators,referencetext,contributors
0,Similarity test IOP COnference 2023 assessing willingness to pay zainal irwan dan dame,7,show,archive,2023-04-10 05:09:28,['S1'],Similarity test artikel Assessing WIllingness to pay for improved water services zainal irwan dan dame,50039,published,pub,IOP Conf. Series: Earth and Environmental Science,"[{'eprintid': 50039, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 189730, 'main': 'similarity test assessing WTP IOP Series 2023.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/541325', 'objectid': 189730, 'filesize': 901343, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2023-04-10 04:13:34', 'hash': '14de0ca1f67731c1fde2bebae793945a', 'filename': 'similarity test assessing WTP IOP Series 2023.pdf', 'fileid': 541325, 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189730'}]",http://repository.lppm.unila.ac.id/id/eprint/50039,public,2023-04-10 05:09:28,933,2023-04-10 05:09:28,"[{'name': {'given': 'Zainal', 'honourific': None, 'family': 'Abidin', 'lineage': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}, {'id': None, 'name': {'given': 'Irwan', 'lineage': None, 'honourific': None, 'family': 'Efendi'}}, {'id': 'trully.dame@yahoo.co.id', 'name': {'family': 'Gultom', 'honourific': None, 'lineage': None, 'given': 'Dame Trully'}}]",2023-02-01 00:00:00.000000000,disk0_bak/00/05/00/39,other,['FP1'],,,,,,,,,,,,,,
1,ANALISIS PENDAPATAN DAN TINGKAT KESEJAHTERAAN RUMAH TANGGA PETANI KUBIS DI KECAMATAN BALIK BUKIT KABUPATEN LAMPUNG BARAT,7,show,archive,2023-05-19 01:29:30,['H1'],"This research aims to analyze farm income, farmer household income level, farmer household expenditure, and farmer household welfare level.  The research location is determined purposively at Balik Bukit District, West Lampung Regency.  Furthermore, the research uses a survey method and is carried out from January to February 2020.  The data analysis used in this research is qualitative and quantitative descriptive analysis. Quantitative analysis is used to determine the amount of farmer income, farmer household income and household expenditure level of cabbage farmers, while qualitative descriptive analysis is used to analyze the welfare level of cabbage farmers' households. The results showed that cabbage farming run by cabbage farmers was very profitable because the R/C value of the total cost was more than one. The largest source of income (74.65%) came from cabbage farming, followed by non-cabbage farming (19.74%), non-farm income (3.37%), and off-farm income (2.24%).
Moreover, the household expenditures of cabbage farmers consisted of food expenditures and non-food expenditures.  Household food expenditure of cabbage farmers was 44.96% per year, while non-food expenditure was 55.04% per year. Exchange rate Farmers' household income against production costs (3.57), food consumption (6.30), non-food consumption (5.15), total consumption (2.83), and total expenditure (1.58) indicate that cabbage farming households in Balik Bukit District were included in the prosperous category.",51799,published,pub,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/250468', 'docid': 250468, 'main': 'Lina Marlina_Usahatani Kubis Aqie.pdf', 'files': [{'filesize': 2140863, 'datasetid': 'document', 'filename': 'Lina Marlina_Usahatani Kubis Aqie.pdf', 'hash': '531eb27e84f4a7d5a36bd51612d878ad', 'hash_type': 'MD5', 'mtime': '2023-05-18 08:05:46', 'mime_type': 'application/pdf', 'fileid': 613678, 'uri': 'http://repository.lppm.unila.ac.id/id/file/613678', 'objectid': 250468}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 51799, 'placement': 1, 'security': 'public'}]",http://repository.lppm.unila.ac.id/id/eprint/51799,public,2023-05-19 01:29:30,1172,2023-05-19 01:29:30,"[{'id': None, 'name': {'given': 'Aqie Revita', 'lineage': None, 'family': 'Cahyani', 'honourific': None}}, {'id': 'dwih_unila@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Haryono', 'given': 'Dwi'}}, {'id': 'lina.marlina@fp.unila.ac.id', 'name': {'given': 'Lina', 'family': 'Marlina', 'honourific': None, 'lineage': None}}]",2023-02-01 00:00:00.000000000,disk0_bak/00/05/17/99,article,['FP1'],11.0,Jurnal Ilmu-Ilmu Agribisnis,2337 7070,48-55,TRUE,1.0,,,,,,,,
2,"SIKAP, KEPUASAN, DAN POLA PEMBELIAN KONSUMEN CAKE BANANA FOSTER DI KOTA BANDAR LAMPUNG",6,show,archive,2023-05-22 01:06:54,['S1'],"This study aims to analyze the attitude, satisfaction and  consumer purchase patterns of Banana Foster cake in Bandar Lampung City. This research was conducted at outlets of Lampung Banana Foster in Bandar Lampung City. The research method is a survey with accidental sampling technique. Respondents were 58 Banana Foster cake consumers who had bought and consumed Banana Foster cake at least once in the last three month. The research data are analyzed using Fishbein Multi-attribute analysis, Customers satisfaction Index (CSI) and descriptive statistics analysis. The attributes used in this study are taste, price, flavor variants, texture, scent, cleanliness, halal’s label and expired date. Data collection was conducted in November - December 2021. The results showed that the consumers liked Banana Foster cake or had a good attitude with an Ao value was 123.12. Consumers bought cake at Banana Foster mostly because of the taste. Customer Satisfaction Index (CSI) in consuming Banana Foster cake was in the satisfied criteria (77.17 %).  The highest amount of Banana Foster’s cake purchased was black premium flavor, the average number purchased was 1.24 pieces per household per three months, and the average frequency of consumer purchase was two times for three month",51932,published,pub,Jurusan Agribisnis Fakultas Pertanian Universitas Lampung,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/615320', 'objectid': 251212, 'filesize': 650778, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2023-05-21 11:15:19', 'hash': '7e4a568c7cc72cfaeaa2e11a3ef78016', 'filename': 'JIIA 11(1)_SIKAP, KEPUASAN, DAN POLA PEMBELIAN KONSUMEN CAKE BANANA FOSTER DI KOTA BANDAR LAMPUNG.pdf', 'fileid': 615320, 'mime_type': 'application/pdf'}], 'docid': 251212, 'main': 'JIIA 11(1)_SIKAP, KEPUASAN, DAN POLA PEMBELIAN KONSUMEN CAKE BANANA FOSTER DI KOTA BANDAR LAMPUNG.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/251212', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 51932, 'language': 'en', 'mime_type': 'application/pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/51932,public,2023-05-22 01:06:54,942,2023-05-22 01:06:54,"[{'name': {'given': 'Wahyu', 'lineage': None, 'family': 'Dewangga', 'honourific': None}, 'id': None}, {'id': 'sayekti_wur@yahoo.co.id', 'name': {'given': 'Wuryaningsih Dwi', 'honourific': None, 'family': 'Sayekti', 'lineage': None}}, {'id': 'rabiatul.adawiyah@fp.unila.ac.id', 'name': {'given': 'Rabiatul', 'honourific': None, 'family': 'Adawiyah', 'lineage': None}}]",1970-01-01 00:00:00.000002023,disk0_bak/00/05/19/32,article,['FP1'],11.0,"Jurnal Ilmu Ilmu Agribisnis: Journal of Agribusiness Science,",26204177,63-69,TRUE,1.0,https://jurnal.fp.unila.ac.id/index.php/JIA/article/view/7070,[{'url': 'https://jurnal.fp.unila.ac.id/index.php/JIA/article/download/7070/pdf'}],http://dx.doi.org/10.23960/jiia.v11i1.7070,,,,,
3,"Bukti Korespondesi Jurnal ""Financial Feasibility Analysis of Salted Anchovy Processing on Pasaran island, Bandar Lampung""",13,show,archive,2023-04-18 08:27:15,['H1'],Bukti Korespondensi dari Scopus WSEAS sebanyak 3 (tiga) berkas,50642,,unpub,Scopus WSEAS,"[{'main': 'Bukti Korespondensi Dr. Erlina Rufaidah.pdf', 'docid': 190344, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/545849', 'objectid': 190344, 'filename': 'Bukti Korespondensi Dr. Erlina Rufaidah.pdf', 'hash': 'f071e6cf21a36433a4877adcc9b534d4', 'hash_type': 'MD5', 'mtime': '2023-04-18 07:28:17', 'mime_type': 'application/pdf', 'fileid': 545849, 'filesize': 396641, 'datasetid': 'document'}], 'pos': 1, 'format': 'other', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190344', 'rev_number': 2, 'formatdesc': 'PDF', 'eprintid': 50642, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'content': 'other'}]",http://repository.lppm.unila.ac.id/id/eprint/50642,public,2023-04-18 08:27:15,1000,2023-04-18 08:27:15,"[{'id': 'erlinarufaidah1958@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Erlina Rufaidah', 'given': 'ER'}}]",2023-01-30 00:00:00.000000000,disk0_bak/00/05/06/42,other,['FP1'],,,,,,,,,,erlinarufaidah1958@gmail.com,,,,
4,"Financial Feasibility Analysis of Salted Anchovy Processing 
on Pasaran Island, Bandar Lampung",21,show,archive,2023-01-31 08:54:19,"['HG', 'S1']","The purpose of this study was to determine the financial feasib anchoviesility, and sensitivity of salted anchovy processing business on Pasaran Island, Bandar Lampung City. Data collection was carried out from November to December 2021. The research method used was a survey and the selection of research sites was carried out purposefully (deliberately). Sources of data are obtained from the interview process using questionnaires. The analytical method used is investment criteria and descriptive-quantitative analysis. The results showed that the financial analysis carried out on the processing of salted anchovy on Pasaran Island, Karang City Village, Teluk Betung Timur District, Bandar Lampung City was profitable and feasible to continue, with investment criteria indicators: NPV is IDR 12,450,776,125.40, Net B /C is 11.82, Gross B/C is 1.18, IRR is 125.16% and PP is 2.84 years. The sensitivity analysis of salted anchovy processing on Pasaran Island, Karang City Village, Teluk Betung Timur District, Bandar Lampung City shows that the business is sensitive to changes in certain conditions. At a 4.8% increase in production costs, the business is still feasible to continue, while when there is a 10% decrease in the amount of production, a 14.45% decrease in selling price, the business is not feasible to continue. Owners should increase the number of production equipment to achieve maximum production capacity and expand the market to increase target consumers.",48224,published,pub,WSEAS TRANSACTIONS on ENVIRONMENT and DEVELOPMENT,"[{'eprintid': 48224, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Financial Feasibility Analysis of Salted Anchovy Processing on Pasaran Island, Bandar Lampung.pdf', 'docid': 187484, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/526983', 'objectid': 187484, 'filename': 'Financial Feasibility Analysis of Salted Anchovy Processing on Pasaran Island, Bandar Lampung.pdf', 'hash': '6a496b6c0f241b93add83c47e0ca5a10', 'hash_type': 'MD5', 'mtime': '2023-01-31 06:11:27', 'mime_type': 'application/pdf', 'fileid': 526983, 'filesize': 985691, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187484'}]",http://repository.lppm.unila.ac.id/id/eprint/48224,public,2023-01-31 08:54:19,1000,2023-01-31 08:54:19,"[{'id': 'erlinarufaidah1958@gmail.com', 'name': {'given': 'ER', 'lineage': None, 'family': 'Erlina Rufaidah', 'honourific': None}}, {'id': None, 'name': {'family': 'Maya Riantini', 'honourific': None, 'lineage': None, 'given': 'MR'}}, {'name': {'honourific': None, 'family': 'Yuliana Saleh', 'lineage': None, 'given': 'YS'}, 'id': None}, {'id': None, 'name': {'given': 'LG', 'honourific': None, 'family': ""Lestari Ghita Nur'aini"", 'lineage': None}}, {'name': {'lineage': None, 'family': 'Aryan Danil', 'honourific': None, 'given': 'Mirza. BR'}, 'id': '-'}]",1970-01-01 00:00:00.000002023,disk0_bak/00/04/82/24,other,['FP1'],,,,,,,https://wseas.com/journals/articles.php?id=7527,,10.37394/232015.2023.19.6,,Yunani,,,
5,"Financial Feasibility Analysis of Salted Anchovy Processing on Pasaran Island, Bandar Lampung",8,show,archive,2023-02-22 06:35:39,['S1'],"The purpose of this study was to determine the financial feasib anchoviesility, and sensitivity of salted anchovy processing business on Pasaran Island, Bandar Lampung City. Data collection was carried out from November to December 2021. The research method used was a survey and the selection of research sites was carried out purposefully (deliberately). Sources of data are obtained from the interview process using questionnaires. The analytical method used is investment criteria and descriptive-quantitative analysis. The results showed that the financial analysis carried out on the processing of salted anchovy on Pasaran Island, Karang City Village, Teluk Betung Timur District, Bandar Lampung City was profitable and feasible to 
continue, with investment criteria indicators: NPV is IDR 12,450,776,125.40, Net B /C is 11.82, Gross B/C is 1.18, IRR is 125.16% and PP is 2.84 years. The sensitivity analysis of salted anchovy processing on Pasaran Island, Karang City Village, Teluk Betung Timur District, Bandar Lampung City shows that the business is sensitive to changes in certain conditions. At a 4.8% increase in production costs, the business is still feasible to continue, while when there is a 10% decrease in the amount of production, a 14.45% decrease in selling price, the business is not feasible to continue. Owners should increase the number of production equipment to achieve maximum production capacity and expand the market to increase target consumers.",48473,published,pub,WSEAS TRANSACTIONS on ENVIRONMENT and DEVELOPMENT,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187766', 'docid': 187766, 'main': 'Financial Feasibility Analysis of Salted Anchovy Processing.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2023-02-21 13:31:08', 'filename': 'Financial Feasibility Analysis of Salted Anchovy Processing.pdf', 'hash': '07bfc123cb60eb380877d3a6358fdc3c', 'fileid': 528910, 'mime_type': 'application/pdf', 'filesize': 905871, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/528910', 'objectid': 187766}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 48473, 'security': 'public', 'placement': 1}]",http://repository.lppm.unila.ac.id/id/eprint/48473,public,2023-02-22 06:35:39,50,2023-02-22 06:35:39,"[{'name': {'honourific': None, 'family': 'Erlina Rufaidah', 'lineage': None, 'given': 'ER'}, 'id': 'erlinarufaidah1958@gmail.com'}, {'name': {'given': 'maya', 'honourific': None, 'family': 'riantini', 'lineage': None}, 'id': 'mayaunila@yahoo.com'}, {'name': {'given': 'Yuliana', 'lineage': None, 'family': 'Saleh', 'honourific': None}, 'id': 'agb_yulianasaleh@yahoo.com'}, {'name': {'given': 'Lestari Gita', 'lineage': None, 'honourific': None, 'family': ""Nur'aini""}, 'id': 'lestarigitanuraini@gmail.com'}, {'id': '.', 'name': {'family': 'Mirza', 'honourific': None, 'lineage': None, 'given': 'Aryan Danil'}}]",1970-01-01 00:00:00.000002023,disk0_bak/00/04/84/73,article,['FP1'],19.0,WSEAS TRANSACTIONS on ENVIRONMENT and DEVELOPMENT,E-ISSN: 2224-3496,70-79,TRUE,,https://wseas.com/journals/articles.php?id=7527,,,,,,,
6,"Title : Effect of Nutrient Intake, Nutritional Status, Physical Activity and Sunlight Exposure on Bone Mineral Density in Women: A Systematic Review",9,show,archive,2023-03-06 01:55:25,['RA0421'],"Osteoporosis is a condition or disease that can cause bones to become brittle and break easily. The risk of osteoporosis in women is greater than in men, which is four times greater. Bone mineral density (BMD) or bone density is the total mineral present in bone. Measurement of BMD is important to show the degree of bone mineralization associated with osteoporosis. There are factors associated with reduced bone density. Thus, this systematic review aimed to analyze several factors related to BMD in women including nutrient intake, nutritional status, physical activity, and sunlight exposure. Studies in this systematic review were gathered by the (PRISMA) guidelines and identified through PubMed, Google Scholar, and ScienceDirect databases from 2017 until 2022. A total of 17 articles passed the eligibility and were analyzed in this systematic review. Studies found the effect of nutrient intake, BMI, physical activity, and sunlight exposure on BMD in women from different age groups. So it is necessary to make eating habits with good nutritional intake and have a lifestyle that routinely carries out sufficient physical activity and gets sufficient sunlight to improve and maintain bone health until old age.",48704,published,pub,International Journal of Current Science Research and Review,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/188080', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/530806', 'objectid': 188080, 'filesize': 407073, 'datasetid': 'document', 'mtime': '2023-03-03 04:18:20', 'hash_type': 'MD5', 'hash': '08ef1e4b88c814dd06ad6828f980113e', 'filename': 'Artikel IJCSRR 6(3).pdf', 'fileid': 530806, 'mime_type': 'application/pdf'}], 'main': 'Artikel IJCSRR 6(3).pdf', 'docid': 188080, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 48704}]",http://repository.lppm.unila.ac.id/id/eprint/48704,public,2023-03-06 01:55:25,938,2023-03-06 01:55:25,"[{'id': 'fififir90@gmail.com', 'name': {'given': 'Firdawati', 'lineage': None, 'family': 'Firdawati', 'honourific': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Dian Isti Angraini', 'given': 'DIA'}, 'id': 'ridiitie@gmail.com'}, {'name': {'given': 'Yaktiworo', 'family': 'Indriani', 'honourific': None, 'lineage': None}, 'id': 'yaktiworo.indriani@fp.unila.ac.id'}]",2023-03-01 00:00:00.000000000,disk0_bak/00/04/87/04,article,['FP1'],6.0,International Journal of Current Science Research and Review,2581-8341,1873-1882,TRUE,3.0,https://ijcsrr.org/,[{'url': 'https://ijcsrr.org/single-view/?id=9562&pid=9555'}],https://doi.org/10.47191/ijcsrr/V6-i3-03,,,,,
7,"KERAGAAN AGROINDUSTRI KERUPUK IKAN DI KECAMATAN KOTAAGUNG

KABUPATEN TANGGAMUS",6,show,archive,2023-07-20 01:59:29,['AC'],"The purpose of this research is to analyze the profit and added value of fish cracker agro-industry and
marketing mix. The research was conducted in three fish cracker agro-industries in Kota Agung District,
Tanggamus Regency. The research was conducted from April to May 2022. The profits of the cracker
agro-industry were analyzed descriptively quantitatively and added value was analyzed using the
Hayami method and the marketing mix was analyzed descriptively. The results showed that fish cracker
agro-industry is profitable and provides positive added value. The marketing mix for the fish cracker
agro-industry in Kota Agung District still uses personal selling.
Keywords: agroindustry, performance, fish crackers",52275,published,pub,Program Studi Agribisnis Fakultas Pertanian Universitas Galuh.,"[{'eprintid': 52275, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 253141, 'main': 'Nur Fitriyani - kerupuk.pdf', 'files': [{'fileid': 619608, 'mime_type': 'application/pdf', 'mtime': '2023-07-19 05:12:32', 'hash_type': 'MD5', 'filename': 'Nur Fitriyani - kerupuk.pdf', 'hash': '804c705411c379fd59630e66ab2e1308', 'datasetid': 'document', 'filesize': 651268, 'objectid': 253141, 'uri': 'http://repository.lppm.unila.ac.id/id/file/619608'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/253141', 'rev_number': 1}]",http://repository.lppm.unila.ac.id/id/eprint/52275,public,2023-07-20 01:59:29,728,2023-07-20 01:59:29,"[{'name': {'given': 'Nur', 'lineage': None, 'honourific': None, 'family': 'Fitriyani'}, 'id': None}, {'id': 'fembriarti.erry@fp.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Prasmatiwi', 'given': 'Fembriarti Erry'}}, {'id': 'eka.kasymir@fp.unila.ac.id', 'name': {'given': 'Eka', 'lineage': None, 'family': 'Kasymir', 'honourific': None}}]",2023-05-01 00:00:00.000000000,disk0_bak/00/05/22/75,article,['FP1'],10.0,AGROINFO GALUH,E-ISSN 2579-8359 P-ISSN 2356-4903,1090-1102,TRUE,2.0,https://jurnal.unigal.ac.id/agroinfogaluh/article/view/9710/pdf,,,,,['Universitas Lampung'],,
8,"ANALISIS HARGA POKOK PRODUKSI DAN KEUNTUNGAN USAHA BIBIT
TANAMAN HORTIKULTURA PADA PERUSAHAAN XXX DI LAMPUNG TENGAH",6,show,archive,2023-05-05 06:52:17,['AC'],"Penelitian ini bertujuan untuk menganalisis harga pokok produksi dan keuntungan usaha bibit tanaman hortikultura pada perusahaan XXX di Lampung Tengah. Metode yang digunakan pada penelitian ini adalah metode studi kasus. Pengumpulan data dilakukan pada bulan Februari 2022-Maret 2022. Data
pada penelitian ini terdiri dari data primer dan data sekunder. Data primer diperoleh melalui wawancara langsung dengan pemilik perusahaan menggunakan kuesioner. Data sekunder diperoleh dari Badan Pusat Statistika, lembaga terkait, publikasi, laporan-laporan dan pustaka lainnya. Analisis data yang digunakan dalam penelitian ini adalah: (a) metode variable costing dan metode full costing untuk
menganalisis harga pokok produksi serta (b) metode Revenue Cost Ratio (R/C) untuk menganalisis keuntungan perusahaan. Hasil penelitian menunjukkan bahwa harga pokok produksi untuk produk bibit cabai, bibit terong, bibit tomat, bibit seledri, bibit loncang, dan bibit kembang kol dengan menggunakan metode variable costing maupun metode full costing lebih rendah daripada harga jual produk, sehingga
perusahaan sudah memperoleh keuntungan dengan harga jual yang berlaku sekarang. Keuntungan perusahaan dalam usaha pembibitan tanaman hortikultura adalah Rp 41.294.239,98 per dua minggu dengan nilai R/C lebih dari satu, artinya usaha pembibitan tanaman hortikultura perusahaan XXX sudah
menguntungkan dan layak untuk dijalankan.
Kata Kunci : harga pokok produksi, full costing, variable costing, keuntungan",51096,published,pub,Program Studi Agribisnis Fakultas Pertanian Universitas Galuh.,"[{'files': [{'objectid': 190812, 'uri': 'http://repository.lppm.unila.ac.id/id/file/549384', 'datasetid': 'document', 'filesize': 225038, 'fileid': 549384, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-05-05 06:40:46', 'filename': 'Artikel Monica.pdf', 'hash': 'ab042fc2328c3dd91f5a03a3ce6a9402'}], 'docid': 190812, 'main': 'Artikel Monica.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190812', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 51096, 'language': 'en', 'mime_type': 'application/pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/51096,public,2023-05-05 06:52:17,519,2023-05-05 06:52:17,"[{'name': {'given': 'MONICA', 'family': 'INGGRIANI', 'honourific': None, 'lineage': None}, 'id': 'monica.inggriani55@gmail.com'}, {'name': {'given': 'Wuryaningsih Dwi', 'lineage': None, 'family': 'Sayekti', 'honourific': None}, 'id': 'wuryaningsih.dwisayekti@fp.unila.ac.id'}, {'name': {'honourific': None, 'family': 'SITUMORANG', 'lineage': None, 'given': 'SURIATY'}, 'id': 'suriaty.situmorang@fp.unila.ac.ic'}]",2023-01-31 00:00:00.000000000,disk0_bak/00/05/10/96,article,['FP1'],10.0,AGROINFO GALUH,E-ISSN 2579-8359 P-ISSN 2356-4903,435-446,TRUE,1.0,https://jurnal.unigal.ac.id/index.php/agroinfogaluh/,,,,,"['Jurusan Agribisnis, Fakultas Pertanian, Universitas Lampung', 'Jurusan Agribisnis, Fakultas Pertanian, Universitas Lampung', 'Jurusan Agribisnis, Fakultas Pertanian, Universitas Lampung']",,
9,ANALISIS HARGA POKOK PRODUKSI DAN KEUNTUNGAN USAHA BIBIT TANAMAN HORTIKULTURA PADA PERUSAHAAN XXX DI LAMPUNG TENGAH,6,show,archive,2023-05-05 06:51:58,['S1'],"This study aims to analyze the cost of production and the profit of horticultural plant seeds business at company XXX in Central Lampung. The method used in this research is the case study method. Data collection was carried out in February 2022-March 2022. The data in this study consisted of primary data and secondary data. Primary data were obtained through direct interviews with company owners using a questionnaire. Secondary data is obtained from the Central Statistics Agency, related institutions, publications, reports and other libraries. The data analysis used in this research are: (a) the variable costing method and the full costing method to analyze the cost of production and (b) the Revenue Cost Ratio (R/C) method to analyze the company's profits. The results showed that the cost of production for chili seeds, eggplant seeds, tomato seeds, celery seeds, loncang seeds, and cauliflower seeds using the variable costing method and the full costing method was lower than the selling price of the product, so that the company already made a profit by current selling price. The company's profit in the horticultural plant nursery business is Rp. 41,294,239.98 per two weeks with an R/C value of more than one, meaning that the XXX company's horticultural plant nursery business is profitable and feasible to run.",51091,published,pub,"Fakultas Pertanian, Universitas Gauh","[{'placement': 1, 'security': 'public', 'eprintid': 51091, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 549351, 'hash': 'ab042fc2328c3dd91f5a03a3ce6a9402', 'filename': '2023. Agroinfo Galuh_ 10(1)_ANALISIS HARGA POKOK PRODUKSI DAN KEUNTUNGAN USAHA BIBIT.pdf', 'hash_type': 'MD5', 'mtime': '2023-05-05 04:08:15', 'datasetid': 'document', 'filesize': 225038, 'objectid': 190808, 'uri': 'http://repository.lppm.unila.ac.id/id/file/549351'}], 'main': '2023. Agroinfo Galuh_ 10(1)_ANALISIS HARGA POKOK PRODUKSI DAN KEUNTUNGAN USAHA BIBIT.pdf', 'docid': 190808, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190808', 'pos': 1, 'format': 'text'}]",http://repository.lppm.unila.ac.id/id/eprint/51091,public,2023-05-05 06:51:58,942,2023-05-05 06:51:58,"[{'name': {'lineage': None, 'family': 'Inggriani', 'honourific': None, 'given': 'Monica'}, 'id': None}, {'id': 'sayekti_wur@yahoo.co.id', 'name': {'family': 'Sayekti', 'honourific': None, 'lineage': None, 'given': 'Wuryaningsih Dwi'}}, {'name': {'given': 'Adia', 'family': 'Nugraha', 'honourific': None, 'lineage': None}, 'id': 'adianugraha13@gmail.com'}]",2023-01-01 00:00:00.000000000,disk0_bak/00/05/10/91,article,['FP1'],10.0,Jurnal Ilmiah Mahasiswa AGROINFO GALUH,2579-8359,435 -446,TRUE,1.0,https://jurnal.unigal.ac.id/index.php/agroinfogaluh,[{'url': 'https://jurnal.unigal.ac.id/index.php/agroinfogaluh/article/view/9036/pdf'}],http://dx.doi.org/10.25157/jimag.v10i1.9036,,,,,
