,subjects,abstract,status_changed,eprint_status,related_url,rev_number,metadata_visibility,title,official_url,date_type,eprintid,pagerange,datestamp,userid,lastmod,uri,full_text_status,refereed,ispublished,documents,publisher,divisions,type,date,dir,publication,creators,volume,number,issn,id_number,event_dates,event_type,event_title,event_location,pres_type,corp_creators,contact_email
0,['H1'],"TRIBUNLAMPUNG.CO.ID - Pemeriksaan kesehatan termasuk tahapan yang sangat penting dalam proses pemilihan kepala daerah.
Dengan beragam tes kesehatan, baik jasmani maupun kejiwaan, maka bisa didapatkan sosok pemimpin yang ideal.",2018-01-29 04:13:56,archive,[{'url': 'http://lampung.tribunnews.com/2018/01/11/begini-maksud-dan-tujuan-tes-jasmani-maupun-kejiwaan-paslon-menurut-akademisi-unila'}],6,show,Begini Maksud dan Tujuan Tes Jasmani Maupun Kejiwaan Paslon Menurut Akademisi Unila,http://lampung.tribunnews.com/2018/01/11/begini-maksud-dan-tujuan-tes-jasmani-maupun-kejiwaan-paslon-menurut-akademisi-unila,published,6380,1-2,2018-01-29 04:13:56,680,2018-01-29 04:13:56,http://repository.lppm.unila.ac.id/id/eprint/6380,public,TRUE,pub,"[{'docid': 19303, 'main': 'Tes Jasmani & Kejiawaan - Tribun Lampung.pdf', 'files': [{'mtime': '2018-01-27 04:34:30', 'hash_type': 'MD5', 'hash': '5eb9a31e52839faf40f927185020860d', 'filename': 'Tes Jasmani & Kejiawaan - Tribun Lampung.pdf', 'fileid': 59235, 'mime_type': 'application/pdf', 'filesize': 1227187, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/59235', 'objectid': 19303}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19303', 'eprintid': 6380, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",Tribun Lampung,['FISIP6'],article,2018-01-11 00:00:00.000000000,disk0/00/00/63/80,TribunLampung.co.id,"[{'id': 'robi_ck@yahoo.com', 'name': {'honourific': None, 'family': 'Cahyadi', 'lineage': None, 'given': 'Robi'}}]",,,,,,,,,,,
1,['H1'],"SURAT rekomendasi Partai Demokrasi Indonesia Perjuangan (PDIP) untuk pemilihan Gubernur dan Wakil Gubernur Lampung, yang selama ini menjadi pertanyaan banyak pihak, akhirnya terjawab.

Ketua Umum PDIP Megawati Soekarnoputri pada Kamis (4/1), secara resmi mengumumkan pasangan Herman HN dan Sutono sebagai bakal calon yang akan diusung dalam Pilkada serentuak 2018.",2018-01-29 04:12:49,archive,"[{'type': 'pub', 'url': 'http://www.mediaindonesia.com/news/read/139317/pdip-akhirnya-usung-paket-herman-sutono/2018-01-05'}]",6,show,PDIP Akhirnya Usung Paket Herman-Sutono,http://www.mediaindonesia.com/news/read/139317/pdip-akhirnya-usung-paket-herman-sutono/2018-01-05,published,6387,1-4,2018-01-29 04:12:49,680,2018-01-29 04:12:49,http://repository.lppm.unila.ac.id/id/eprint/6387,public,TRUE,pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 6387, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19310', 'format': 'text', 'pos': 1, 'files': [{'filesize': 461047, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2018-01-27 06:05:40', 'hash': '6f67d0d248314420bb0894b8e2cc6e90', 'filename': 'PDIP Akhirnya Usung Paket Herman-Sutono _ Media Indonesia.pdf', 'fileid': 59283, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/59283', 'objectid': 19310}], 'main': 'PDIP Akhirnya Usung Paket Herman-Sutono _ Media Indonesia.pdf', 'docid': 19310}]",Media Indonesia,['FISIP6'],article,2018-01-05 00:00:00.000000000,disk0/00/00/63/87,Media Indonesia,"[{'name': {'family': 'Cahyadi', 'honourific': None, 'lineage': None, 'given': 'Robi'}, 'id': 'robi_ck@yahoo.com'}]",,,,,,,,,,,
2,['H1'],"TRIBUNLAMPUNG.CO.ID, BANDAR LAMPUNG - Pengamat Politik Universitas Lampung (Unila) Robi Cahyadi mengungkapkan jika melihat 4 pasangan calon saat ini akan diprediksi partisipasi masyarakat dalam memilih akan meningkat.",2018-01-29 04:13:32,archive,"[{'type': 'pub', 'url': 'http://lampung.tribunnews.com/2018/01/10/pilgub-lampung-pengamat-sebut-angka-golput-bisa-tinggi-karena-faktor-alam'}]",6,show,Pilgub Lampung - Pengamat Sebut Angka Golput Bisa Tinggi karena Faktor Alam,http://lampung.tribunnews.com/2018/01/10/pilgub-lampung-pengamat-sebut-angka-golput-bisa-tinggi-karena-faktor-alam,published,6382,1-3,2018-01-29 04:13:32,680,2018-01-29 04:13:32,http://repository.lppm.unila.ac.id/id/eprint/6382,public,TRUE,pub,"[{'files': [{'filesize': 816117, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2018-01-27 04:49:04', 'hash': '684f338b4d031e217ab26b7300bebd57', 'filename': 'Pilgub Lampung - Tribun Lampung.pdf', 'fileid': 59245, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/59245', 'objectid': 19305}], 'docid': 19305, 'main': 'Pilgub Lampung - Tribun Lampung.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19305', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 6382, 'language': 'en', 'mime_type': 'application/pdf'}]",Tribun Lampung,['FISIP6'],article,2018-01-10 00:00:00.000000000,disk0/00/00/63/82,TribunNews.com,"[{'id': 'robi_ck@yahoo.com', 'name': {'given': 'Robi', 'lineage': None, 'family': 'Cahyadi', 'honourific': None}}]",,,,,,,,,,,
3,['H1'],"TRIBUNLAMPUNG.CO.ID, BANDAR LAMPUNG - PDI Perjuangan masih memegang kunci perebutan kepemimpinan dalam Pemilihan Gubernur Lampung 2018.

Faktor bisa mengusung calon sendiri tanpa koalisi, menjadikan partai ini 'bebas' menentukan calon gubernur.",2018-01-29 04:11:45,archive,"[{'type': 'pub', 'url': 'http://lampung.tribunnews.com/2018/01/03/pilgub-lampung-panas-begini-peta-keunggulan-herman-dan-ridho-merebut-perahu-pdip?page=all'}]",6,show,"Pilgub Lampung Panas, Begini Peta Keunggulan Herman dan Ridho Merebut Perahu PDIP",http://lampung.tribunnews.com/2018/01/03/pilgub-lampung-panas-begini-peta-keunggulan-herman-dan-ridho-merebut-perahu-pdip?page=all,published,6383,1-5,2018-01-29 04:11:45,680,2018-01-29 04:11:45,http://repository.lppm.unila.ac.id/id/eprint/6383,public,TRUE,pub,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19306', 'docid': 19306, 'main': 'Pilgub Lampung Panas- Tribun Lampung.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/59259', 'objectid': 19306, 'mtime': '2018-01-27 05:25:24', 'hash_type': 'MD5', 'hash': '9dbdbec0b9bff5ed099570abfa4c718b', 'filename': 'Pilgub Lampung Panas- Tribun Lampung.pdf', 'fileid': 59259, 'mime_type': 'application/pdf', 'filesize': 577574, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 6383, 'placement': 1, 'security': 'public'}]",Tribun Lampung,['FISIP6'],article,2018-01-03 00:00:00.000000000,disk0/00/00/63/83,TribunNews.com,"[{'name': {'given': 'Robi', 'lineage': None, 'honourific': None, 'family': 'Cahyadi'}, 'id': 'robi_ck@yahoo.com'}, {'name': {'given': 'Himawan', 'lineage': None, 'honourific': None, 'family': 'Indrajat'}, 'id': None}, {'id': None, 'name': {'family': 'Purba', 'honourific': None, 'lineage': None, 'given': 'Darmawan'}}, {'id': 'hermawan.dedy@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Hermawan', 'given': 'Dedy'}}]",,,,,,,,,,,
4,['JA'],"ABSTRACT

The 2019 General Election (Pemilu) is the first simultaneous election in Indonesia which will simultaneously elect a presidential / vice-presidential candidate, a candidate member of the Republic of Indonesia Parliament, the DPD RI, and the Provincial / Regency / City DPRD. Various analyzes predict that the practice of simultaneous elections will take place is not easy, full of challenges, and has the potential to experience many problems. So there is an assumption that this is the most complicated election in the world. This study wants to explain how the challenges and potential vulnerability of the 2019 Election in Lampung, and how to anticipate it. The results of the analysis explain that the potential challenges of the 2019 Election are quality and integrity in Lampung on the factors of money politics, campaign implementation, use of state and regional facilities. While the potential for vulnerability is based on the predictions of the Republic of Indonesia General Election Supervisory Board (Bawaslu) that the 2019 Election vulnerability index in Lampung belongs to the high category (49.56). Based on the 2018 Pilkada Election in Lampung Province, the highest potential vulnerability is in the participation dimension, where the public supervision variable shows a fairly high index and is followed by the suffrage variable (IKP Pilkada 2018: 55). Meanwhile, the dimensions of election organizers have the potential for vulnerability which needs to be anticipated in the variable integrity and professionalism of the organizers. Therefore, based on challenges and vulnerabilities it needs to be anticipated by encouraging the active participation of civil society groups (NGOs, universities, mass media) to exercise control over: the practice of money politics, campaign funds, and misuse of government facilities and policies as instruments victory. Strengthening the control of civil society will result in a quality electoral process, and ultimately will result in elections with integrity.",2020-03-02 10:21:47,archive,,6,show,"MENDORONG PEMILU 2019 BERKUALITAS 
DAN BERINTEGRITAS DI PROVINSI LAMPUNG",,published,18251,23-32,2020-03-02 10:21:47,813,2020-03-02 10:21:47,http://repository.lppm.unila.ac.id/id/eprint/18251,public,TRUE,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31403', 'format': 'text', 'pos': 1, 'files': [{'filesize': 2603707, 'datasetid': 'document', 'mtime': '2020-02-27 05:58:47', 'hash_type': 'MD5', 'filename': 'Mendorong Pemilu 2019 Berkualitas.pdf', 'hash': 'd7e8d9541e0ace03eb6a279e2203b171', 'fileid': 153689, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/153689', 'objectid': 31403}], 'docid': 31403, 'main': 'Mendorong Pemilu 2019 Berkualitas.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 18251}]",FISIP UNILA,['FISIP6'],article,2018-12-01 00:00:00.000000000,disk0/00/01/82/51,Jurnal Analisis Sosial Politik,"[{'name': {'given': 'Hertanto', 'lineage': None, 'family': 'Hertanto', 'honourific': None}, 'id': 'hertanto.1960@fisip.unila.ac.id'}]",4.0,2.0,2580-8559,721704626,,,,,,,
5,['JA'],"By law, since the fall of Soeharto Chinese Indonesians have been recognized as
citizens of Indonesia and not been excluded from formal politics. However, in
their everyday lifes they still face exclusion. They are still the targets of ridicule,
gossip and rumors, as well discussion and body language that indicates displeasure
and suspicion. As such, although Chinese Indonesians are recognized as citizens
of Indonesia, they are not apprehended. Exclusion is rarely considered, because
it occurs discursively in everyday life. Everyday exclusion is often unobservable,
as citizenship theory has never discursively analyzed it even though, everyday
exclusion impacts participation and representation. Exclusion is always followed by
resistance. As such, every day and discursive resistance are very important to analyze.",2022-01-25 09:58:15,archive,,6,show,"Citizenship in Everyday Life:
Exclusion of the Chinese Indonesians By
Non-Chinese Indonesians in
Bandar Lampung - Indonesia",https://knepublishing.com/index.php/Kne-Social/article/view/2353/5200,published,38312,516-531,2022-01-25 09:58:15,51,2022-01-25 09:58:15,http://repository.lppm.unila.ac.id/id/eprint/38312,public,TRUE,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 38312, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 159375, 'uri': 'http://repository.lppm.unila.ac.id/id/file/434518', 'datasetid': 'document', 'filesize': 1517872, 'fileid': 434518, 'mime_type': 'application/pdf', 'mtime': '2022-01-25 06:15:00', 'hash_type': 'MD5', 'filename': 'Citizenship in Everyday Life.pdf', 'hash': 'f3c6b406f17b13b19b36ef792a6db2fd'}], 'main': 'Citizenship in Everyday Life.pdf', 'docid': 159375, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159375', 'format': 'text', 'pos': 1}]",Knowledge E,['FISIP6'],article,2018-05-23 00:00:00.000000000,disk0/00/03/83/12,Proceeding of The 1st International Conference on South East Asia Studies,"[{'name': {'given': 'Tabah', 'lineage': None, 'family': 'Maryanah', 'honourific': None}}]",2018.0,,2518-668X,,,,,,,,
6,['AC'],Sejawat sebidang Peer Review,2019-11-04 02:04:52,archive,,6,show,THE ACTOR DOMINATION IN THE COLLABORATIVE GOVERNANCE IN THE LAMPUNG PROVINCE CENTRAL GOVERNMENT DISPLACEMENT POLICY: AN AMBIVALENT,,published,14167,507-524,2019-11-04 02:04:52,681,2019-11-04 02:04:52,http://repository.lppm.unila.ac.id/id/eprint/14167,public,TRUE,pub,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27208', 'docid': 27208, 'main': '3.pdf', 'files': [{'objectid': 27208, 'uri': 'http://repository.lppm.unila.ac.id/id/file/123116', 'mime_type': 'application/pdf', 'fileid': 123116, 'hash': '2cf33e6f8eff7203ff136b603a96e741', 'filename': '3.pdf', 'mtime': '2019-09-12 02:45:48', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 284774}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 14167, 'security': 'public', 'placement': 1}]",,['FISIP6'],article,1970-01-01 00:00:00.000002018,disk0/00/01/41/67,Jurnal Ilmiah Peuradeun,"[{'id': 'maulanamukhlis1978@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Mukhlis', 'given': 'Maulana'}}]",6.0,3.0,2443-2067,,,,,,,,
7,['AC'],Similarity,2019-10-16 03:20:43,archive,,6,show,THE ACTOR DOMINATION IN THE COLLABORATIVE GOVERNANCE IN THE LAMPUNG PROVINCE CENTRAL GOVERNMENT DISPLACEMENT POLICY: AN AMBIVALENT.,,published,14163,507-524,2019-10-16 03:20:43,681,2019-10-16 03:20:43,http://repository.lppm.unila.ac.id/id/eprint/14163,public,TRUE,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 14163, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/27204', 'rev_number': 1, 'docid': 27204, 'main': '3. PEURADEUN.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/123092', 'objectid': 27204, 'hash_type': 'MD5', 'mtime': '2019-09-12 01:57:36', 'hash': '2804a58222a058a2baf2ad01210ef969', 'filename': '3. PEURADEUN.pdf', 'fileid': 123092, 'mime_type': 'application/pdf', 'filesize': 5504873, 'datasetid': 'document'}]}]",,['FISIP6'],article,1970-01-01 00:00:00.000002018,disk0/00/01/41/63,Jurnal Ilmiah Peuradeun,"[{'name': {'honourific': None, 'family': 'Mukhlis', 'lineage': None, 'given': 'Maulana'}, 'id': 'maulanamukhlis1978@gmail.com'}]",6.0,3.0,2443-2067,,,,,,,,
8,['AC'],Similarity,2019-10-16 03:09:41,archive,,6,show,COLLABORATION VERSUS COORDINATION: A DILEMMA ABOUT STATE ACTORS’ POSITION IN A POLICY,,published,14155,113-119,2019-10-16 03:09:41,681,2019-10-16 03:09:41,http://repository.lppm.unila.ac.id/id/eprint/14155,public,TRUE,pub,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27197', 'rev_number': 1, 'main': '2. RJOAS.pdf', 'docid': 27197, 'files': [{'objectid': 27197, 'uri': 'http://repository.lppm.unila.ac.id/id/file/123057', 'datasetid': 'document', 'filesize': 3068052, 'mime_type': 'application/pdf', 'fileid': 123057, 'filename': '2. RJOAS.pdf', 'hash': '4ca497a6a2d063dd448935b352757d5b', 'hash_type': 'MD5', 'mtime': '2019-09-12 01:36:43'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 14155, 'security': 'public', 'placement': 1}]",,['FISIP6'],article,1970-01-01 00:00:00.000002018,disk0/00/01/41/55,Russian Journal of Agricultural and Socio-Economic Sciences,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Mukhlis', 'given': 'Maulana'}, 'id': 'maulanamukhlis1978@gmail.com'}]",8.0,80.0,2226-1184,,,,,,,,
9,['AC'],Sejawat Sebidang peer review,2019-11-04 08:20:02,archive,,8,show,"DEGREES OF APPROPRIATENESS, FAIRNESS, AND RATIONALITY IN THE AMOUNT OF HOUSING ALLOWANCE FOR MEMBERS OF REGIONAL HOUSE OF REPRESENTATIVE IN MESUJI DISTRICT OF LAMPUNG PROVINCE.",,published,14179,,2019-11-04 08:20:02,681,2019-11-04 08:20:02,http://repository.lppm.unila.ac.id/id/eprint/14179,public,TRUE,pub,"[{'eprintid': 14179, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': '12.pdf', 'docid': 27220, 'files': [{'objectid': 27220, 'uri': 'http://repository.lppm.unila.ac.id/id/file/123193', 'datasetid': 'document', 'filesize': 317331, 'fileid': 123193, 'mime_type': 'application/pdf', 'mtime': '2019-09-12 03:31:17', 'hash_type': 'MD5', 'hash': 'd1ebecf463cb085aaf7e7a2c761ee73b', 'filename': '12.pdf'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27220'}, {'placement': 2, 'security': 'public', 'eprintid': 14179, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'fileid': 123195, 'mime_type': 'application/pdf', 'mtime': '2019-09-12 03:31:57', 'hash_type': 'MD5', 'hash': 'd1ebecf463cb085aaf7e7a2c761ee73b', 'filename': '12.pdf', 'datasetid': 'document', 'filesize': 317331, 'objectid': 27221, 'uri': 'http://repository.lppm.unila.ac.id/id/file/123195'}], 'docid': 27221, 'main': '12.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/27221', 'rev_number': 1, 'pos': 2, 'format': 'text'}]",,['FISIP6'],conference_item,2018-11-01 00:00:00.000000000,disk0/00/01/41/79,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Mukhlis', 'given': 'Maulana'}, 'id': 'maulanamukhlis1978@gmail.com'}]",,,,,9-11 November 2018,conference,SHIELD Conference International,Bandar Lampung.,paper,,
