,refereed,uri,full_text_status,pres_type,documents,ispublished,datestamp,pagerange,lastmod,userid,dir,date,creators,divisions,type,metadata_visibility,rev_number,event_type,title,official_url,event_dates,abstract,subjects,status_changed,eprint_status,event_location,date_type,eprintid,event_title,volume,id_number,publication,issn,number,publisher,corp_creators,place_of_pub,isbn,series,contact_email,referencetext
0,TRUE,http://repository.lppm.unila.ac.id/id/eprint/3804,public,paper,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 3804, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3666', 'docid': 3666, 'main': 'Prosiding SUSSI-NILAI TAMBAH KELANTING.pdf', 'files': [{'objectid': 3666, 'uri': 'http://repository.lppm.unila.ac.id/id/file/26655', 'fileid': 26655, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-08-09 03:47:04', 'filename': 'Prosiding SUSSI-NILAI TAMBAH KELANTING.pdf', 'hash': '13a3a1002e6323770fbe6ce90469caa5', 'datasetid': 'document', 'filesize': 14337643}]}]",pub,2017-08-11 03:58:14,363-380,2017-08-11 03:58:14,625,disk0/00/00/38/04,2011-11-01 00:00:00.000000000,"[{'name': {'family': 'Affandi', 'honourific': None, 'lineage': None, 'given': 'M. Irfan'}, 'id': 'irfanaffandi2006@yahoo.com'}, {'id': 'sussi.astuti@fp.unila.ac.id', 'name': {'given': 'Sussi', 'lineage': None, 'honourific': None, 'family': 'Astuti'}}, {'name': {'given': 'A.B.', 'family': 'Firdausil', 'honourific': None, 'lineage': None}, 'id': None}]",['FP19'],conference_item,show,7,conference,"ANALISIS KINERJA, NILAI TAMBAH DAN STRATEGI PENGEMBANGAN AGROINDUSTRI KECIL KELANTING DI KABUPATEN LAMPUNG TIMUR",http://lemlit@unila.ac.id,29-30 Novenber 2011,"Penelitian bertujuan untuk menganalisis kinerja, nilai tambah dan strategi pengembangan agroindustri kecil kelanting.  Pemilihan lokasi dilakukan di Kecamatan Pekalongan Kabupaten Lampung Timur.  Pengambilan sampel dilakukan secara sensur pada 14 pelaku agroindustri kelanting.  Metode analisis data yang digunakan adalah analisis kuantitatif (R/C Rasio, Nilai Tambah Hayami, SWOT) dan kualitatif (deskriptif).  Hasil penelitian menunjukkan bahwa kinerja produksi agroindustri kelanting secara keseluruhan sudah baik. Nilai R/C Rasio ata biaya tunai sebesar 1.40,produktivitas parsial sebesar 11.49 kg/HOK, dan kapasitas sebesar 0.91 atau 91 persen.  Agroindustri kelanting di Kabupaten Lampung Timur merupakan usaha yang menguntungkan.  Nilai tambah yang diperoleh dari pengolahan ubi kayu menjadi kelanting pada agroindustri ini sebesar Rp 1.061,44 per kg bahan baku ubi kayu atau sebesar 42 persen.  Agroindustri kelanting berada pada kuadran I pada analisis SWOT.  Strategi pengembangan yang digunakan adalah mempertahankan kualitas produk untuk memenuhi kebutuhan masyarakat, menghasilkan produk yang berkualitas untuk mengingkatkan preferensi masyarakat terhadap pangan tradisional, dan memanfaatkan kerjasama dengan pihak luar untuk memperluas jaringan pasar.
Kata kunci : kelanting, kinerja, nilai tambah, strategi",['S1'],2017-08-11 03:58:14,archive,"Bandar Lampung, Indonesia",published,3804,SEMINAR NASIONAL SAINS DAN TEKNOLOGI IV,,,,,,,,,,,,
1,TRUE,http://repository.lppm.unila.ac.id/id/eprint/3803,public,paper,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 3803, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3665', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 3665, 'uri': 'http://repository.lppm.unila.ac.id/id/file/26645', 'fileid': 26645, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-08-09 03:07:55', 'hash': 'f116d6df599781e79cb3ca3018052a8a', 'filename': 'Prosiding SUSSI SATEK IV-PROFIL DARAH.pdf', 'datasetid': 'document', 'filesize': 11486827}], 'docid': 3665, 'main': 'Prosiding SUSSI SATEK IV-PROFIL DARAH.pdf'}]",pub,2017-08-11 03:58:26,693-706,2017-08-11 03:58:26,625,disk0/00/00/38/03,2011-11-01 00:00:00.000000000,"[{'name': {'given': 'Sussi', 'lineage': None, 'honourific': None, 'family': 'Astuti'}, 'id': 'sussi.astuti@fp.unila.ac.id'}, {'id': 'fibra.nurainy@fp.unila.ac.id', 'name': {'family': 'Nurainy', 'honourific': None, 'lineage': None, 'given': 'fibra'}}]",['FP19'],conference_item,show,10,conference,PROFIL DARAH TIKUS AKIBAT PEMBERIAN TEPUNG KEDELAI KAYA ISOFLAVON,http://lemlit@unila.ac.id,29-30 Novenber 2011,"Penelitian bertujuan untuk mengevaluasi pengaruh pemberian tepung kedelai kaya isoflavon (TKI) pada berbagai tingkatan dosis isoflavon terhadap profil darah tikus. Ransum basal kasein disusun secara isonitrogen dan isokalori dengan kadar protein ransum sebesar 10%. Dua puluh lima ekor tikus putih jantan strain Sprague Dawley dibagi menjadi lima kelompok.  Satu kelompok kontrol mendapat cekok aquades, sedangkan empat kelompok yang lain mendapat perlakuan tepung kedelai kaya isoflavon secara oral dengan berbagai tingkatan dosis isoflavon selama dua bulan.  Pemberian tepung kedelai kaya isoflavon didasarkan pada hasil pengukuran kandungan total senyawa isoflavon pada tepung kedelai kaya isoflavon dengan menggunakan HPLC. Hasil penelitian menunjukkan bahwa pemberian tepung kedelai kaya isoflavon pada berbagai tingkatan dosis berpengaruh nyata terhadap jumlah eritrosit, nilai hematokrit dan jumlah leukosit darah tikus. Pemberian TKI pada dosis 1.5 mg/ekor/hari meningkatkan jumlah eritrosit, nilai hematokrit dan jumlah leukosit. Pemberian TKI sampai dosis 6 mg/ekor/hari tidak berpengaruh terhadap kadar hemoglobin dan differensiasi leukosit yang meliputi neutrofil, limfosit dan monosit. Tepung kedelai kaya isoflavon dosis 1.5 mg/ekor/hari merupakan dosis terbaik yang mampu memperbaiki profil darah.",['S1'],2017-08-11 03:58:26,archive,"Bandar Lampung, Indonesia",published,3803,SEMINAR NASIONAL SAINS DAN TEKNOLOGI IV,,,,,,,,,,,,
2,TRUE,http://repository.lppm.unila.ac.id/id/eprint/3806,public,,"[{'placement': 1, 'security': 'public', 'eprintid': 3806, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 26667, 'hash': '667fca7ec97fae1a6470e931a96ba7ef', 'filename': 'IG OYEK DAN TIWUL UMBI GARUT, SINGKONG.pdf', 'mtime': '2017-08-09 04:43:25', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 119687, 'objectid': 3668, 'uri': 'http://repository.lppm.unila.ac.id/id/file/26667'}], 'docid': 3668, 'main': 'IG OYEK DAN TIWUL UMBI GARUT, SINGKONG.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3668', 'pos': 1, 'format': 'text'}]",pub,2017-08-14 03:12:36,34-50,2018-05-14 07:13:09,625,disk0/00/00/38/06,2011-03-01 00:00:00.000000000,"[{'id': None, 'name': {'given': 'Verawati', 'family': 'Hasan', 'honourific': None, 'lineage': None}}, {'name': {'lineage': None, 'family': 'Astuti', 'honourific': None, 'given': 'Sussi'}, 'id': 'sussi.astuti@fp.unila.ac.id'}, {'name': {'given': 'Susilawati', 'lineage': None, 'honourific': None, 'family': 'Susilawati'}, 'id': 'susilawati.1961@fp.unila.ac.id'}]",['FP19'],article,show,8,,"INDEKS GLIKEMIK OYEK DAN TIWUL DARI UMBI GARU(Marantha arundinaceae L.), SUWEG (Amorphallus campanullatus dan SINGKONG (Manihot utillisima)",http://jurnal.fp.unila.ac.id/index.php/JTHP/search,,"Tubers   are  believed  to have functional   properties because of their fiber (dietary fiber).  Utilization of minor tubers like suweg and arrowroot as a raw  material of oyek  and tiwul is not yet widely applied. This study was aimed  to  indentfy   glycemic  index of oyek  and tiwul made from  arrowroot, suweg and cassava.  The results showed that  glycemic indexs of arrowroot , suweg and cassava oyek were 41, 42, and 30 respectively. While glycemic index of arroroot, suweg and cassava were 40, 40, and 29. These results indicates that oyek and tiwul from arrowroot, suweg and cassava  can be classified as food that has low (<55) glycemic index.

Key words: Oyek,  tiwul, Marantha arundinaceae, Amorphallus campanullatus, Manihotutillisima, glycemic index",['S1'],2017-08-14 03:12:36,archive,,published,3806,,16.0,ISSN 1410-3044,Jurnal Teknologi & Industri Hasil Pertanian,1410-3044,1.0,Jurusan Teknologi Hasil Pertanian (THP) UNILA,,,,,,
3,TRUE,http://repository.lppm.unila.ac.id/id/eprint/10736,public,paper,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/99070', 'objectid': 23746, 'filesize': 1094605, 'datasetid': 'document', 'hash': '27d5edf88437d8f65441f2ed00d3ac44', 'filename': 'Mitigation_of_Green_House_Gases_Emission 2.pdf', 'mtime': '2019-02-11 11:57:23', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 99070}], 'docid': 23746, 'main': 'Mitigation_of_Green_House_Gases_Emission 2.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/23746', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 10736, 'language': 'en', 'mime_type': 'application/pdf'}]",pub,2019-02-11 12:19:03,54-60,2019-02-11 12:19:03,379,disk0/00/01/07/36,1970-01-01 00:00:00.000002011,"[{'id': 'udinha65@gmail.com', 'name': {'given': 'Udin', 'lineage': None, 'honourific': None, 'family': 'Hasanudin'}}, {'name': {'family': 'Haryanto', 'honourific': None, 'lineage': None, 'given': 'Agus'}, 'id': 'agus.haryanto@fp.unila.ac.id'}, {'name': {'given': 'Erdi', 'family': 'Suroso', 'honourific': None, 'lineage': None}, 'id': 'erdi.suroso@fp.unila.ac.id'}]",['FP19'],conference_item,show,7,conference,"Mitigation of Green House Gases Emission in Cassava Mill: Case Study in
Lampung, Indonesia",,3-4 Oktober 2011,"Lampung is the biggest contributor for cassava production in Indonesia. Recently, Lampung produced 7.57
million ton of cassava tubers annually and contributed about 34.4% of the national cassava production.
Therefore, Lampung is the home for cassava-based industries. There were 76 industries are in operation in
Lampung, including four small scale tapioca industries called ITTARA. These industries wasted huge of water
having potential to generate biogas through anaerobic digestion process. The objective of this paper was to study
greenhouse gas (GHG) emission mitigation of cassava mills in Lampung by using biogas fuel resulted from
wastewater treatment. The study evaluated GHG emission from the existing conditions and then calculate GHG
emission reduction potential in the processing step by utilization of waste. General life cycle methodology was
applied for the evaluation of GHG reduction. Results showed that 2.82 to 4.5 m3 of waste water were produced
for every ton of cassava being processed. The waste water was characterized by high organic matter with an
average COD of 18,000 mg/L. During waste water treatment, biogas was estimated at around 26 m3 per ton
cassava with methane content of 56.2 vol.%. The study also revealed that utilization of biogas may replace a part
of diesel fuel used in the cassava mills and therefore potentially reduces GHG emission. Assuming that 80% of
cassava production was processed directly in cassava mill, it can be showed that total biogas energy potential
throughout Lampung Province was equivalent to 87.4 million liters diesel fuel per year. This quantity will reduce
GHG emission about 1.32 million tons of CO2 equivalent per year. 
Keywords: Biogas, Greenhouse gas, Emission, Cassava mill, Mitigation.",['S1'],2019-02-11 12:19:03,archive,"Solo, Indonesia",published,10736,International Conference and Exhibition on Sustainable Energy and Advanced Materials (ICE SEAM 2011),,,,,,,['Universitas Lampung'],,,,,
4,TRUE,http://repository.lppm.unila.ac.id/id/eprint/28945,public,,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 28945, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43039', 'format': 'text', 'pos': 1, 'files': [{'objectid': 43039, 'uri': 'http://repository.lppm.unila.ac.id/id/file/256832', 'datasetid': 'document', 'filesize': 813126, 'fileid': 256832, 'mime_type': 'application/pdf', 'mtime': '2021-04-06 08:48:07', 'hash_type': 'MD5', 'filename': '183-390-1-PB (1) jurnal riset kimia.pdf', 'hash': 'fa3c3eb7687a3aef4c880fa2d4935097'}], 'docid': 43039, 'main': '183-390-1-PB (1) jurnal riset kimia.pdf'}]",pub,2021-04-06 09:05:39,60-73,2021-04-06 09:05:39,1027,disk0/00/02/89/45,2011-09-01 00:00:00.000000000,"[{'id': 'srihidayati.unila@gmail.com', 'name': {'given': 'Sri', 'family': 'Hidayati', 'honourific': None, 'lineage': None}}]",['FP19'],article,show,6,,"PERUBAHAN KOMPOSISI METIL ESTER AKIBAT KERUSAKAN PANAS PADA 
METIL ESTER SULFONAT DARI JARAK PAGAR",http://jrk.fmipa.unand.ac.id/index.php/jrk/article/view/183/79,,"Surfactant is a surface-active agent that can be produced by a chemical or biochemical synthesis. The most widely used anionic surfactant in surfactant flooding is linier alkyl benzene sulfonate (LAS) synthesized from petroleum material. The weaknesses of petroleum based surfactant are: it is made from nonrenewable resources, has very poor detergency in hard water and naturally are difficult to be degraded. These problems can be overcome by producing methyl ester sulfonate (MES) surfactant made from natural resources, such jatropha oil es methyl ester. Temperature is the important factor that should be performed in MES stability. The purpose of this research is to investigate the sulfonate group caused by temperature and degradation time. The result of thermal degradation tests of Methyl Ester Sulfonates showedthat at temperature of 150 oC during 72 hours influenced the degradation of sulfonate group. It was indicated by decreasing peak of sulfonate formed at the wave number of 1250 – 1150 cm-1. The increased of temperature showed decreased ability of surfactant to stabilized of emulsion and surface tension.",['S1'],2021-04-06 09:05:39,archive,,published,28945,,5.0,ISSN : 1978-628X,Jurnal Riset Kimia,ISSN : 1978-628X,1.0,Jurusan Kimia FMIPA Unand,,,,,,
5,TRUE,http://repository.lppm.unila.ac.id/id/eprint/1637,public,,"[{'placement': 1, 'security': 'public', 'eprintid': 1637, 'language': 'en', 'mime_type': 'text/html', 'files': [{'hash_type': 'MD5', 'mtime': '2017-05-20 06:32:45', 'filename': 'PERUBAHAN KOMPOSISI METIL ESTER AKIBAT KERUSAKAN PANAS PADA METIL ESTER SULFONAT DARI JARAK PAGAR _ Hidayati _ Jurnal Riset Kimia.htm', 'hash': '6258d784cf65116900935dcdf9a65b6f', 'fileid': 11322, 'mime_type': 'text/html', 'filesize': 29584, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/11322', 'objectid': 1500}], 'main': 'PERUBAHAN KOMPOSISI METIL ESTER AKIBAT KERUSAKAN PANAS PADA METIL ESTER SULFONAT DARI JARAK PAGAR _ Hidayati _ Jurnal Riset Kimia.htm', 'docid': 1500, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1500', 'pos': 1, 'format': 'text'}]",pub,2017-05-26 07:29:45,60-73,2017-05-26 07:29:45,1027,disk0/00/00/16/37,2011-09-01 00:00:00.000000000,"[{'name': {'family': 'Hidayati', 'honourific': None, 'lineage': None, 'given': 'Sri'}, 'id': 'srihidayati.unila@gmail.com'}]",['FP19'],article,show,6,,PERUBAHAN KOMPOSISI METIL ESTER AKIBAT KERUSAKAN PANAS PADA METIL ESTER SULFONAT DARI JARAK PAGAR,http://jrk.fmipa.unand.ac.id/index.php/jrk/issue/archive,,"urfactant is a surface-active agent that can be produced by a chemical or biochemical synthesis. The most widely used anionic surfactant in surfactant flooding is linier alkyl benzene sulfonate (LAS) synthesized from petroleum material. The weaknesses of petroleum based surfactant are: it is made from nonrenewable resources, has very poor detergency in hard water and naturally are difficult to be degraded. These problems can be overcome by producing methyl ester sulfonate (MES) surfactant made from natural resources, such jatropha oil es methyl ester. Temperature is the important factor that should be performed in MES stability. The purpose of this research is to investigate the sulfonate group caused by temperature and degradation time. The result of thermal degradation tests of Methyl Ester Sulfonates showed that at temperature of 150 oC during 72 hours influenced the degradation of sulfonate group. It was indicated by decreasing peak of sulfonate formed at the wave number of 1250 – 1150 cm-1. The increased of temperature showed decreased ability of surfactant to stabilized of emulsion and surface tension.",['QD'],2017-05-26 07:29:45,archive,,published,1637,,5.0,"1978-618x, 2676-8969",Jurnal Riset Kimia,"1978-618x, 2676-8969",4.0,Jurusan Kimia FMIPA Unand,,,,,,
6,TRUE,http://repository.lppm.unila.ac.id/id/eprint/1638,public,,"[{'security': 'public', 'placement': 1, 'eprintid': 1638, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 1501, 'uri': 'http://repository.lppm.unila.ac.id/id/file/11328', 'fileid': 11328, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-05-20 07:02:15', 'filename': 'MES dari kelapa.pdf', 'hash': 'ab9c1d1cb83fa1f6950e662668b52e11', 'datasetid': 'document', 'filesize': 120847}], 'main': 'MES dari kelapa.pdf', 'docid': 1501, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1501', 'format': 'text', 'pos': 1}]",pub,2017-05-26 07:30:01,83-95,2017-05-26 07:30:01,1027,disk0/00/00/16/38,2011-12-01 00:00:00.000000000,"[{'name': {'lineage': None, 'family': 'Hidayati', 'honourific': None, 'given': 'Sri'}, 'id': 'srihidayati.unila@gmail.com'}]",['FP19'],article,show,6,,"Pengaruh Konsentrasi H2SO4  dan Lama Sulfonasi pada
Pembuatan Metil Ester Sulfonat dari Minyak Kelapa",http://digilib.litbang.pertanian.go.id/repository/index.php/repository/subjek_kategori,,"Metil ester sulfonat  (MES) merupakan  surfaktan   anionik yang dibuat melalui proses sulfonasi dengan menggunakan  bahan baku dari minyak nabati seperti kelapa sawit, dan minyak kelapa. Tujuan dari penelitian  untuk mengetahui  konsentrasi  H2SO4  dan lama waktu sulfonasi  terbaik terhadap karakteristik  MES.  Perlakuan  terdiri dari 2 faktor, yaitu konsentrasi H2SO4 70. 80 dan
90% dan lama reaksi 30, 60 dan 90 menit dengan ulangan sebanyak 2 kali. Hasil pembuatan MES
berbahan  baku  metil  ester dari minyak  kelapa  menunjukkan  bahwa  kondisi  proses  sulfonasi
terbaik  terdapat  pada  konsentrasi  H2SO4   80%  dan  lama  reaksi  60  menit.    Karakteristik  MES
terbaik   yang  dihasilkan   memperlihatkan   nilai  tegangan   permukaan   yaitu  27,55  dyne/cm
hingga, stabilitas emulsi 100 %, berat jenis 0,875 g/ml dan nilai bilangan asam 1,584 mg KOH/g.",['S1'],2017-05-26 07:30:01,archive,,published,1638,,12.0,terakreditasi CN0:340/AU1/P2MBI/02/2011,Buletin palma,1979-679x,2.0,Litbang Pertanian,,,,,,
7,,http://repository.lppm.unila.ac.id/id/eprint/27043,public,,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41060', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/242472', 'objectid': 41060, 'hash': 'f142b052c2784ee21124dfde9bd08b04', 'filename': 'Turnitin 28. PERUBAHAN KOMPOSISI METIL ESTER AKIBAT KERUSAKAN PANAS PADA METIL ESTER SULFONAT DARI JARAK PAGAR.pdf', 'mtime': '2020-12-07 07:28:44', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 242472, 'filesize': 3470018, 'datasetid': 'document'}], 'docid': 41060, 'main': 'Turnitin 28. PERUBAHAN KOMPOSISI METIL ESTER AKIBAT KERUSAKAN PANAS PADA METIL ESTER SULFONAT DARI JARAK PAGAR.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 27043}]",pub,2020-12-07 07:35:52,,2020-12-07 07:35:52,1027,disk0/00/02/70/43,1970-01-01 00:00:00.000002011,"[{'name': {'given': 'Sri', 'honourific': None, 'family': 'Hidayati', 'lineage': None}, 'id': 'srihidayati.unila@gmail.com'}]",['FP19'],other,show,8,,similarity: PERUBAHAN KOMPOSISI METIL ESTER AKIBAT KERUSAKAN PANAS PADA METIL ESTER SULFONAT DARI JARAK PAGAR.,http://jrk.fmipa.unand.ac.id/index.php/jrk/issue/a...,,"Surfactant is a surface-active agent that can be produced by a chemical or biochemical synthesis. The most widely used anionic surfactant in surfactant flooding is linier alkyl benzene sulfonate (LAS) synthesized from petroleum material. The weaknesses of petroleum based surfactant are: it is made from nonrenewable resources, has very poor detergency in hard water and naturally are difficult to be degraded. These problems can be overcome by producing methyl ester sulfonate (MES) surfactant made from natural resources, such jatropha oil es methyl ester. Temperature is the important factor that should be performed in MES stability. The purpose of this research is to investigate the sulfonate group caused by temperature and degradation time. The result of thermal degradation tests of Methyl Ester Sulfonates showed that at temperature of 150 oC during 72 hours influenced the degradation of sulfonate group. It was indicated by decreasing peak of sulfonate formed at the wave number of 1250 – 1150 cm-1. The increased of temperature showed decreased ability of surfactant to stabilized of emulsion and surface tension.",['S1'],2020-12-07 07:35:52,archive,,published,27043,,,//doi.org/10.25077/jrk.v5i1.183,,,,"Jurnal Riset Kimia is published by Department of Chemistry, Faculty of Mathematics and Natural Sciences, Universitas Andalas, Sumatera Barat, Indonesia.",,Jurnal Riset Kimia,,,,
8,TRUE,http://repository.lppm.unila.ac.id/id/eprint/31870,public,paper,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 31870, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/144314', 'format': 'text', 'pos': 1, 'files': [{'filename': 'Subeki, insectisidal activity.pdf', 'hash': 'c9df08ad3df51c7aae5171d58e65df70', 'hash_type': 'MD5', 'mtime': '2021-06-03 07:01:31', 'mime_type': 'application/pdf', 'fileid': 377275, 'filesize': 107486, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/377275', 'objectid': 144314}], 'docid': 144314, 'main': 'Subeki, insectisidal activity.pdf'}]",pub,2021-06-03 07:58:18,C65-C78,2021-06-03 07:58:18,1027,disk0/00/03/18/70,1970-01-01 00:00:00.000002011,"[{'name': {'family': 'Hidayati', 'honourific': None, 'lineage': None, 'given': 'Sri'}, 'id': 'srihidayati.unila@gmail.com'}, {'name': {'family': 'subeki', 'honourific': None, 'lineage': None, 'given': 'subeki'}, 'id': 'subeki1968@fp.unila.ac.id'}, {'name': {'given': 'Dracjat', 'honourific': None, 'family': 'Indrawan', 'lineage': None}, 'id': None}]",['FP19'],conference_item,show,7,conference,INSECTICIDAL ACTIVITY OF BRUCEIN-C FROM BUAH MAKASAR (Brucea javanica) AGAINST Helopeltis antonii AND Dacinus pipe,https://ishsfs2010.wordpress.com/,22-23 June 2010,"Cashew and pepper are kind of important commodity in Indonesia. In recent times, productivity  of these plants decreased due to insect pest Helopeltis antonii and Dacinus piperis. Generally,  farmers use synthetic insecticide to control these pests. The use of synthetic insecticide gives risk to  human and environmental. Therefore, there is an urgent need to find natural insecticide to control  cashew and pepper insect pest. Many researches showed that buah makasar (Brucea javanica)  contains quassinoid compounds having insecticidal activities against several pests (Subeki et al.,  2006; Latif et al, 2000; Daido et al., 1995; and Klocke et al., 1985). In this research was carried out  extraction and isolation of brucein-C from B. javanica and assayed its activity against H. antonii and D.  
piperis. Result of this research showed that bruceine-C formulated with liposomes at concentration  200 ppm gave mortality of H. antonii and D. piperis with value of 98.3% and 91.7%, respectively.  Residual contents of bruceine-C in the soil on the fifteenth and thirtieth day after application at  concentration 200 ppm decreased to 80 ppm and 0 ppm, respectively. Application of bruceine-C has  no lethal effect against non target insects. Hypothetical study on the technoeconomy showed that  insecticide with active substance brucein-C have price 40,3% cheaper than synthetic insecticides.  This research can be recommended to Indonesian government to produce natural insecticide from  the original Indonesian plant buah makasar.",['S1'],2021-06-03 07:58:18,archive,Bandar Lampung,published,31870,International Seminar on Horticulture to Support Food Security,,,,,,,,,,,,
9,,http://repository.lppm.unila.ac.id/id/eprint/27042,public,,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 27042, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41059', 'rev_number': 1, 'main': 'Turnitin 27. Proses Pembuatan Hidrolisat Protein Ikan Rucah.pdf', 'docid': 41059, 'files': [{'hash_type': 'MD5', 'mtime': '2020-12-07 07:19:45', 'filename': 'Turnitin 27. Proses Pembuatan Hidrolisat Protein Ikan Rucah.pdf', 'hash': 'a261016c49dfb9a258f0ed9807848089', 'fileid': 242465, 'mime_type': 'application/pdf', 'filesize': 1892312, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/242465', 'objectid': 41059}]}]",pub,2020-12-07 07:35:45,,2020-12-07 07:35:45,1027,disk0/00/02/70/42,1970-01-01 00:00:00.000002011,"[{'id': None, 'name': {'given': 'Dyah', 'lineage': None, 'family': 'Koesoemawardani', 'honourific': None}}, {'name': {'given': 'Sri', 'lineage': None, 'honourific': None, 'family': 'Hidayati'}, 'id': 'srihidayati.unila@gmail.com'}, {'id': 'fibranurainy@gmail.com', 'name': {'given': 'Fibra', 'family': 'Nurainy', 'honourific': None, 'lineage': None}}]",['FP19'],other,show,7,,similarity:Proses Pembuatan Hidrolisat Protein Ikan Rucah,https://natur.ejournal.unri.ac.id/index.php/JN/article/view/180,,"his study aimed to find optimum manufacturing trash fish protein hydrolyzate using the commercial papainenzyme. It is known that fish protein hydrolysates have good functional properties, so it is more widely utilized,especially for food. The study was conducted in two stages, the first stage was to make trash fish protein hydrolyzatetreated with enzyme concentration of 3%, 5%, 7% (w/w), and pH 5; 5.5; 6; 6.5; 7, whereas second stage was to maketrash fish protein hydrolyzate with same from the first stage and so the best treatment followed by treatment ofhalf-hour long incubation and one hour. Parameters observed were soluble protein, foamability, fat binding capacityand emulsion stability. The treatment was repeated three times and the first phase of data analysis using advancedtesting LSD and the second stage using the T test. Results show that the best soluble protein to produce a trashfish protein hydrolyzate enzyme was at a concentration of 5% and pH = 6.5 that was equal to 19.71%. In half an hourincubation produce higher soluble protein values and foamability that were equal to 24.97% and 9.63%, while thebinding capacity of fat in one hour incubation produces a higher value that was equal to 5.03%. Meanwhile, emulsionstability did not differ significantly at both incubation time.",['S1'],2020-12-07 07:35:45,archive,,published,27042,,,nat.13.3.256-261,,,,Lembaga Penelitian dan Pengabdian kepada Masyarakat Universitas Riau,,jurnal natur indonesia,,,,
