,refereed,uri,full_text_status,documents,pres_type,ispublished,datestamp,pagerange,userid,lastmod,date,dir,creators,divisions,type,metadata_visibility,rev_number,event_type,title,abstract,subjects,status_changed,eprint_status,date_type,eprintid,event_title,event_location,related_url,official_url,volume,publisher,contributors,issn,publication,id_number,corp_creators,number,event_dates,contact_email
0,FALSE,http://repository.lppm.unila.ac.id/id/eprint/37922,public,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 37922, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158861', 'docid': 158861, 'main': 'Prosiding UNSRI 2011.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/431515', 'objectid': 158861, 'filesize': 4483820, 'datasetid': 'document', 'mtime': '2022-01-15 14:58:20', 'hash_type': 'MD5', 'hash': 'b113c71dcd1756bc52a25283a2e9ba4b', 'filename': 'Prosiding UNSRI 2011.pdf', 'fileid': 431515, 'mime_type': 'application/pdf'}]}]",paper,pub,2022-01-17 01:33:01,270-278,691,2022-01-17 01:33:01,2011-05-25,disk0/00/03/79/22,"[{'name': {'given': 'Henrie', 'honourific': None, 'family': 'Buchari', 'lineage': None}, 'id': 'henrie.buchari@fp.unila.ac.id'}]",['FP23'],conference_item,show,7,conference,"KAJIAN P0TENSI LAHAN ALANG-ALANG (Imperata cyrindrica(L) Beauv) TELAAH SIFAT FISTK, KIMIA DAN BIOLOGT","The land problems that were covered by alang-alang (Imperata cylindrica (L) Beauv) is how to manage them to become a productive agricultural land and to make them sustainable for agriculture. The main problem in land covered by alang-alang ere poorly in soil physical, chemical and biological properties. This experiment aims were to study the changes in soil physical, chemical and biological properies at different ages of growth alang-alang in its land. The experiment was arranged by split plots in a randomized block design. The min plot was the age of alang-alang (1,5 and >10 years) and the sub-plot were  depth of soil (0-5, 5-15 and 15-30 cm). The results showed that the age of covered alang-alang have a capability to improve physical, chemical and biological soil properties of soil. Magnesium increased up to 239% (5 years) and 71% (age >10 years) compared to land covered by alang-alang at the age of 1 year. For biological properties, land covered by alang-alang increased of earthworm population up to 66,45% (5 YARS) AND 56% (age > 10 years) higher than land that od the age of 1 year.",['S1'],2022-01-17 01:33:01,archive,published,37922,Prosiding Seminar Nasional dan Rapat Tahunan Dekan Bidang Ilmu-ilmu Pertanian  (May 2011),,,,,,,,,,,,,
1,TRUE,http://repository.lppm.unila.ac.id/id/eprint/37919,public,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 37919, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158857', 'docid': 158857, 'main': 'document.pdf', 'files': [{'objectid': 158857, 'uri': 'http://repository.lppm.unila.ac.id/id/file/431490', 'mime_type': 'application/pdf', 'fileid': 431490, 'hash': '953e8707a47664cedbbe49f1fc088c04', 'filename': 'document.pdf', 'mtime': '2022-01-15 13:22:03', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 2066554}]}]",paper,pub,2022-01-17 01:32:57,157-163,691,2022-01-17 01:32:57,2011-06-05,disk0/00/03/79/19,"[{'id': 'henrie.buchari@fp.unila.ac.id', 'name': {'given': 'Henrie', 'honourific': None, 'family': 'Buchari', 'lineage': None}}, {'id': 'muhajir.utomo@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Utomo', 'lineage': None, 'given': 'Muhajir'}}, {'name': {'family': 'Banuwa', 'honourific': None, 'lineage': None, 'given': 'Irwan Sukri'}, 'id': 'irwanbanuwa@yahoo.com'}]",['FP23'],conference_item,show,7,conference,Pengaruh Olah Tanah Konservasi Jangka Panjang terhdap Emisi CO2 Tanah,"Sistem olah tanah konservasi merupakan suatu sistem persiapan lahan yang bertujuan untuk menyiapkan lahan agar tanaman dapat tumbuh dan berproduksi optimum, dengan tetap memperhatikan konservasi tanah dan air. Pada sistem OTK tanah diolah seperlunya saja dan mulsa dari residu tanaman sebelumnya dibiarkan menutupi permukaan lahan. Dengan memanfaatkan residu tanaman dan mengurangi manipulasi
mekanis permukaan tanah, pertanian OTK mempunyai potensi dalam membantu mengurangi pemanasan global melalui penyerapan C dalam tanah dan penguraogin emisi CO2. Percobaan ini bertujuan mempelajari peran olah tanah konservasi dalam mengurangi emisi CO2-sebagai salah
satu gas rumah kaca. Percobaan dirancang secara faktorial dalam RAK. Faktor pertama adalah perlakuan sistem olah tanah, yaitu olah tanah intensif (OTI), olah tanah minimum (OTM) dan tanpa olah tanah (TOT),dan faktor kedua pemupukan N dengan dosis O, 100 dan 200 kg N ha-1. Hasil penelitian menunjukkan emisi gas CO2 pada pertanian jagung OTI dengan pemupukan 200 kg N/ha pada hari ke-l setelah pengolahan
tanah mencapai 59,89 kg co2lha/hari, 3,8 kali emisi gas co2 ToT. Emisi gas CO2 OTI hari kedua dan ketiga setelah pengolahan berturut-turut mencapai 52.8 dan 44,1 kg CO2/ha/hari; 5,1 dan 3,8 kali emisi CO2 TOT. Emisi total CO2 pada OTI mencapai 1,17 ton/ha selama musim tanam jagung, setara dengan 4,3 kali emisi TOT dan 2,7 kali OTM.",['S1'],2022-01-17 01:32:57,archive,published,37919,Seminar Nasional  dalam rangka menyambut hari lingkungan hidup sedunia tahun 2011,Universitas SUmatera Utara,,,,,,,,,,,,
2,TRUE,http://repository.lppm.unila.ac.id/id/eprint/32586,public,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 32586, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148036', 'format': 'text', 'pos': 1, 'files': [{'fileid': 385667, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-06-15 09:54:06', 'hash': '57cf9d103c015c80ba58d11e09eb1c27', 'filename': '125957718_PAPER ISOPRELOCAL_ATLANTIS PRESS.pdf', 'datasetid': 'document', 'filesize': 226739, 'objectid': 148036, 'uri': 'http://repository.lppm.unila.ac.id/id/file/385667'}], 'docid': 148036, 'main': '125957718_PAPER ISOPRELOCAL_ATLANTIS PRESS.pdf'}]",,pub,2021-06-16 01:00:54,225-233,1045,2021-06-16 01:00:54,2011-06-11,disk0/00/03/25/86,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Dermiyati', 'given': '-'}, 'id': 'dermiyati.1963@fp.unila.ac.id'}]",['FP23'],article,show,10,,Study on the Suspension Extract of Agro-industrial Plant Waste and the Compost Type on the Change of Soil Chemical Properties and the Yields of Shallot (Allium ascalonicum L.),"Shallot cultivation has constraints in regarding less fertile soil and lacking of soil nutrients. This study aimed to determine the effect of suspension extracts of the agro-industrial plant wastes (banana weevil, pineapple rhizome, and oil palm empty fruit bunches) and the type of compost (solid and liquid compost) on the soil chemical properties and the yields of shallot. The study used a Completely Randomized Block Design arranged in a factorial treatment. The first factor was the type of suspension extract of agro-industrial plant wastes, namely banana weevil (P1), pineapple rhizome (P2), and oil palm empty fruit bunches (P3). The second factor was the type of compost, namely without compost (K0), solid compost (K1), and liquid compost (K2). Data were analyzed by analysis of variance and followed by a Duncan Multiple Range Test at 5% level. The results showed that the suspension extract type of agro-industrial plant wastes and the compost type increased the pH, available-P, and organic-C of soil, but they did not affect the total-N and exchangeable-K of soil. The application suspension extract of oil palm empty fruit bunch significantly increased the volume of the bulb of shallot compared to the suspension extract of pineapple rhizome and banana weevil. Moreover, the application of compost (either solid or liquid) significantly increased the volume of the bulb of shallot compared to without compost. The application of suspension extract of oil palm empty fruit bunch with solid compost significantly increased the weight of the wet and dried bulbs compared to the suspension extracts of banana weevil and pineapple rhizomes. Also, the application of solid compost with suspension extract of oil palm empty fruit bunch significantly increased the weight of wet bulbs and dried bulbs of shallot compared to without compost and liquid compost. Therefore, the suspension extract of agro-industrial plant wastes has a potential to be used as liquid organic fertilizers.",['S1'],2021-06-16 01:00:54,archive,published,32586,,,[{'url': 'https://www.atlantis-press.com/proceedings/isplrsad-20/125957718'}],https://www.atlantis-press.com/proceedings/isplrsad-20/125957718,13.0,ATLANTIS PRESS B.V.,"[{'name': {'lineage': None, 'family': 'Dermiyati', 'honourific': None, 'given': '-'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Banuwa', 'given': 'Irwan Sukri'}}, {'name': {'given': 'Slamet Budi', 'lineage': None, 'family': 'Yuwono', 'honourific': None}}, {'name': {'given': 'Ainin', 'honourific': None, 'family': 'Niswati', 'lineage': None}}]",2468-5747,Study on the Suspension Extract of Agro-industrial Plant Waste and the Compost Type on the Change of Soil Chemical Properties and the Yields of Shallot (Allium ascalonicum L.),https://doi.org/10.2991/absr.k.210609.036,,,,
3,TRUE,http://repository.lppm.unila.ac.id/id/eprint/853,public,"[{'content': 'published', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 853, 'uri': 'http://repository.lppm.unila.ac.id/id/document/862', 'rev_number': 2, 'format': 'text', 'pos': 1, 'files': [{'fileid': 6181, 'mime_type': 'application/pdf', 'mtime': '2016-10-27 08:56:58', 'hash_type': 'MD5', 'hash': '76b22e429b5fd2163ce2a3f155edb537', 'filename': 'Dermiyati-1-63.pdf', 'datasetid': 'document', 'filesize': 119241, 'objectid': 862, 'uri': 'http://repository.lppm.unila.ac.id/id/file/6181'}], 'main': 'Dermiyati-1-63.pdf', 'docid': 862}]",,pub,2016-10-28 07:00:04,63-68,1045,2016-10-28 07:00:04,2011-01-01,disk0/00/00/08/53,"[{'id': 'dermiyati.1963@fp.unila.ac.id', 'name': {'given': '-', 'lineage': None, 'family': 'Dermiyati', 'honourific': None}}, {'name': {'given': 'Eva', 'lineage': None, 'honourific': None, 'family': 'Firdaus'}, 'id': None}, {'name': {'given': 'Muhajir', 'lineage': None, 'family': 'Utomo', 'honourific': None}, 'id': 'muhajir.utomo@fp.unila.ac.id'}, {'name': {'given': 'Mas Achmad Syamsul', 'lineage': None, 'family': 'Arif', 'honourific': None}, 'id': 'abimasyarif@gmail.com'}, {'id': None, 'name': {'family': 'Nugroho', 'honourific': None, 'lineage': None, 'given': 'Ghani Sutopo'}}]",['FP23'],article,show,8,,"Soil Microbial Biomass Carbon under Rhizosphere and  on Rhizosphere of Maize after a Long-Term Nitrogen Fertilization
and Tillage Systems","This research aimed to study the soil microbial biomass carbon (SMBC) under maize plant after a long-term application of nitrogen fertilizer and tillage systems (at the 37th growing season). The treatments were arranged in a factorial (3x3) in a randomized completely block design with 3 replications. The first factor was tillage systems, namely intensive tillage (IT) system, minimum tillage (MT) system, and no tillage (NT) system, and the second factor was the long-term application of nitrogen fertilizer, namely 0, 100, and 200 kg N ha-1. Data were analyzed using an orthogonal contrast test and a correlation test between SMBC and organic-C, total-N, and pH of the soil. The results showed that, in the rhizosphere and non-rhizosphere of maize plant, MT system increased the SMBC compared to NT and IT systems. However, application of long-term application of nitrogen fertilizer did not increase the SMBC. Nevertheless, fertilizer application of 100 kg N ha-1 increased the SMBC compare to 200 kg N ha-1. Furthermore, the combination of MT system and 100 kg N ha-1 could increase the SMBC compared to the other combined treatment between tillage systems and N fertilization doses. The SMBC was higher in the rhizosphere than in non-rhizosphere of maize plant.",['S1'],2016-10-28 07:00:04,archive,published,853,,,,http://journal.unila.ac.id/index.php/tropicalsoil/index,16.0,University of Lampung,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],0852-257X,Journal of Tropical Soils,10.5400/jts.2011.16.1.63,['University of Lampung'],1.0,,
4,TRUE,http://repository.lppm.unila.ac.id/id/eprint/807,public,"[{'mime_type': 'application/pdf', 'language': 'en', 'content': 'published', 'eprintid': 807, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/701', 'rev_number': 2, 'main': 'Tamal -655-1861-1-PB.pdf', 'docid': 701, 'files': [{'objectid': 701, 'uri': 'http://repository.lppm.unila.ac.id/id/file/4798', 'mime_type': 'application/pdf', 'fileid': 4798, 'hash': '4b20e32608aea3b203e7b4e4394c741c', 'filename': 'Tamal -655-1861-1-PB.pdf', 'hash_type': 'MD5', 'mtime': '2016-10-15 01:09:46', 'datasetid': 'document', 'filesize': 552211}]}]",,pub,2016-10-17 14:29:01,169-174,935,2016-10-17 14:29:01,2011-05-01,disk0/00/00/08/07,"[{'name': {'given': '.', 'honourific': None, 'family': 'Fahri', 'lineage': None}, 'id': None}, {'id': 'tamaluddin.syam@fp.unila.ac.id', 'name': {'given': 'Tamaluddin', 'lineage': None, 'family': 'Syam', 'honourific': None}}]",['FP23'],article,show,10,,"Coastline Change Surround Sekampung River Estuary Estimated
by Geographic Information System Technique","Surround a big river estuary coastline has a dynamic characteristic and change along a period of time, because of a natural process and/or it is accelerated by human activities. The surround Sekampung river estuary coastline located in Rawa Sragi area is one of the most dynamic coastlines in southern Lampung Province that has changed significantly from 1959 (as a natural process) to year 1987 (as an accelerated process by human activities) since the government of Indonesia has applied swamp drainage system for Rawa Sragi area. It is likely that the coastline has changed significantly in the period of 1987 to 2009 (as an increasing intensity of the human activities in the surrounding Rawa Sragi land). The objective of this research was to analyze the coastline change in the surrounding of Sekampung river estuary in two periods of time: (1) the change of the 1959 – 1987 period coastlines; and (2) the change of the 1987 – 2009 period coastlines. The method of this research was a GIS technique, the implementation was divided into three main steps: (1) the first analysis was conducted in laboratory include raster data source analysis and registration, coastline digitations, and overlaying and analysis of the coastline data; (2) field observation (ground check) was conducted to observe and verify the ground existing coastline; and (3) the last analysis was conducted after ground check activity to improve and to verify the first coastline analysis results. The result of this research indicated that coastline change in the period of 1959 to 1987 increased the coast land as much as 717.19 hectares, but decreased the coast land as much as 308.51 hectares. Furthermore the coastline change in the period of 1987 to 2009 increased the coast land as much as 162.504 hectares, but decreased the coast land as much as 492.734 hectares. The 1959 – 1987 coastline change was a coast land increasing period, but the 1987 – 2009 coastline change was a coast land decreasing period.",['S1'],2016-10-17 14:29:01,archive,published,807,,,,http://journal.unila.ac.id,16.0,University of Lampung,,0852-257X,Journal of Tropical Soils,10.5400/jts.2011.16.2.169,['Fakultas Pertanian Universitas Lampung'],2.0,,
5,TRUE,http://repository.lppm.unila.ac.id/id/eprint/1193,public,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/1071', 'rev_number': 2, 'format': 'text', 'pos': 1, 'files': [{'fileid': 7943, 'mime_type': 'application/pdf', 'mtime': '2016-11-16 15:36:31', 'hash_type': 'MD5', 'filename': 'Ainin - 2011 Prosising Semirata Unsri Anggota - 2011.pdf', 'hash': '2e0da862984b72f596836798880f31e7', 'datasetid': 'document', 'filesize': 12539479, 'objectid': 1071, 'uri': 'http://repository.lppm.unila.ac.id/id/file/7943'}], 'main': 'Ainin - 2011 Prosising Semirata Unsri Anggota - 2011.pdf', 'docid': 1071, 'content': 'published', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 1193}]",paper,pub,2016-11-17 03:51:07,23-25,1055,2016-11-17 03:51:07,2011-05-24,disk0/00/00/11/93,"[{'id': 'sonisnaini@yahoo.co.id', 'name': {'given': 'Soni', 'lineage': None, 'family': 'Isnaini', 'honourific': None}}, {'id': 'ainin.niswati@fp.unila.ac.id', 'name': {'given': 'Ainin', 'lineage': None, 'family': 'Niswati', 'honourific': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Maryati', 'given': '.'}, 'id': None}]",['FP23'],conference_item,show,8,conference,Respon Padi Sawah dan Kandungan N-total Tanah serta Serapannya yang Diaplikasi dengan Azolla,"The purpose growth af this study was to obtain the best of dosage Azolla pinnata to support the and yield of rice, as well as content of total-N and its uptake Research Carried out by using the method single  factor  in the design of complete randomized groups with .treatments (without A. pinnata, 2.5, 5, 7.5 and I0 ton A.pinnata/ha) with 5 replications. Field trials on land owned by  farmers  in Kedaloman village, Gunung Alip sub-district, district Tanggamus since June 2009 – September 2009. The results showed that application A. pinnata  between 5 ond 7-5 ton A. pinnata  was higher than the other treatment.",['S1'],2016-11-17 03:51:07,archive,published,1193,"Seminar Nasional dan Rapat Tahunan Dekan Bidang Ilmu-Ilmu Pertanian Badan Kerjasama Perguruan Tinggi Negeri (BKS-PTN) Wilayah Barat, Volume III","Universitas Sriwijaya, Palembang",,,,,,,,,['University of Lampung'],,23-25 May 2011,
6,TRUE,http://repository.lppm.unila.ac.id/id/eprint/1169,public,"[{'placement': 1, 'security': 'public', 'eprintid': 1169, 'content': 'published', 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/7794', 'objectid': 1047, 'filesize': 10072941, 'datasetid': 'document', 'hash': '16878fe15115a07415314027fb64978e', 'filename': 'Ainin - 2011 Prosiding Semirata Unsri Ketua - 2011.pdf', 'hash_type': 'MD5', 'mtime': '2016-11-15 16:18:25', 'mime_type': 'application/pdf', 'fileid': 7794}], 'main': 'Ainin - 2011 Prosiding Semirata Unsri Ketua - 2011.pdf', 'docid': 1047, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1047', 'rev_number': 2, 'pos': 1, 'format': 'text'}]",paper,pub,2016-11-16 03:13:10,131-136,1055,2016-11-16 03:13:10,2011-05-24,disk0/00/00/11/69,"[{'name': {'given': 'Ainin', 'lineage': None, 'honourific': None, 'family': 'Niswati'}, 'id': 'ainin.niswati@fp.unila.ac.id'}]",['FP23'],conference_item,show,8,conference,Perubahan Kandungan NH4+ pada Tanah Sawah Diberi Pupuk Berbeda,"The use of Azolla in paddy field has been suggested because of various advantages, such as nitrogen source. A greenhouse experiment was conducted to study the effect of singly nitrogen, phosphorus, and potassium or their combination on soil ammonia (NH4+) content that was treated by Azolla, and to study Azolla decomposition in paddy soils. The experiment was arranged by randomized completely block design with three replications. The treatments in soil were control (without NPK), fertilizers), four nitrogen-phosphorus-potassium PK, NP, and NK with each dosage at 100 kg ha-1.  The observations were conducted at 3, 5, 7, 14, and 2l days after treated. ""The results showed that fertilization with N, P, or K and their combination give significantly effect on NH4+ content in soil. NH4+ content was higher in soil treated with NPK, NP, or NK than that in control or PK at 3, 7, and 14 days after.treatment. The NH4+  content in soil increased with the time of incorporated of Azolla in paddy soil. Dffirences in soil nutrient were not significantly effect on N and C content of Azolla as well as decomposition rate of Azolla. However, N- total of Azolla increased and C-total of Azolla decreased along with decomposition of Azolla in paddy soil.",['S1'],2016-11-16 03:13:10,archive,published,1169,Prosiding Semirata Bidang Ilmu-ilmu Pertanian BKS-PTN Wilayah Barat Tahun 2011,"Universitas Sriwijaya, Palembang",,,,,,,,,['University of Lampung'],,23-25 Mei 2011,
7,TRUE,http://repository.lppm.unila.ac.id/id/eprint/1082,public,"[{'eprintid': 1082, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'content': 'published', 'main': 'Ainin -Unila-YNU 2011.pdf', 'docid': 972, 'files': [{'filesize': 1348971, 'datasetid': 'document', 'mtime': '2016-11-08 06:14:06', 'hash_type': 'MD5', 'filename': 'Ainin -Unila-YNU 2011.pdf', 'hash': '727788a135125fb41660a9465849d24d', 'fileid': 7174, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/7174', 'objectid': 972}], 'pos': 1, 'format': 'text', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/972'}]",paper,pub,2016-11-08 08:23:17,23-30,1055,2016-11-08 08:23:17,2011-02-21,disk0/00/00/10/82,"[{'name': {'given': 'Ainin', 'family': 'Niswati', 'honourific': None, 'lineage': None}, 'id': 'ainin.niswati@fp.unila.ac.id'}]",['FP23'],conference_item,show,9,workshop,Soil Biodiversity Approach for Reducing Land Degradation,"Indonesia is one of the most important areas of tropical forests worldwide that have great potential for the future development of agriculture. However, most of these soils have low inherent fertility and many have become degraded. Land degradation has been a problem because of its adverse impact on agronomic productivity, the environment, and its effect on food security and the quality of life.  Factors affecting the degradation are agricultural activities, deforestation and removal of natural vegetation, over-exploitation of vegetation for domestic use, overgrazing, and industrial activities. Productivity of soil decrease because of lack of physical, chemical, and biological properties of soil.  One of important approach that can be done is by biological management such as, utilization of plant biomass either as mulch or mixed into the soil, reduce tillage, cover crop, or crop rotation that can enhance soil biodiversity.  Soil biota is powerful for many kind of agro ecosystem process such as chemical engineers, biological regulators, and ecosystem engineers.  Moreover, soil biodiversity will service many things in below and above ground such as soil structure, soil organic matter and fertility, regulation of carbon flux and climate control, regulation of the water cycle, decontamination and bioremediation, pest control, and human health.",['S1'],2016-11-08 08:23:17,archive,published,1082,International Workshop on Environmental Protection and Regional Development,Yokohama National University,,,,,"[{'name': {'given': 'Ainin', 'lineage': None, 'family': 'Niswati', 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'ainin.niswati@fp.unila.ac.id'}]",,,,['University of Lampung'],,21 February 2011,
8,,http://repository.lppm.unila.ac.id/id/eprint/785,public,"[{'format': 'other', 'pos': 1, 'formatdesc': 'Poster presentation', 'uri': 'http://repository.lppm.unila.ac.id/id/document/681', 'rev_number': 3, 'docid': 681, 'main': 'poster Ainin.pdf', 'files': [{'objectid': 681, 'uri': 'http://repository.lppm.unila.ac.id/id/file/4594', 'datasetid': 'document', 'filesize': 1039678, 'fileid': 4594, 'mime_type': 'application/pdf', 'mtime': '2016-10-12 14:31:33', 'hash_type': 'MD5', 'filename': 'poster Ainin.pdf', 'hash': '6852da304cc01962c1b94e298fcacad7'}], 'language': 'en', 'mime_type': 'application/pdf', 'content': 'presentation', 'eprintid': 785, 'security': 'public', 'placement': 1}]",,pub,2016-10-13 15:41:46,,1055,2016-10-13 15:41:46,2011-12-01,disk0/00/00/07/85,"[{'name': {'lineage': None, 'family': 'Niswati', 'honourific': None, 'given': 'Ainin'}, 'id': 'ainin.niswati@fp.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Sucipto', 'honourific': None, 'given': '.'}, 'id': None}, {'name': {'given': 'Sri', 'lineage': None, 'honourific': None, 'family': 'Yusnaini'}, 'id': 'sri.yusnaini@fp.unila.ac.id'}, {'id': 'dermiyati.1963@fp.unila.ac.id', 'name': {'given': '-', 'lineage': None, 'honourific': None, 'family': 'Dermiyati'}}]",['FP23'],other,show,11,,"Soil Microbial Biomass Carbon from the First
Year of the Application of No-Tillage and
Mulching on Sugarcane Plantation","oil microbial biomass carbon (SMBC) is one of the most important soil biological properties. It
regulates many critical processes in ecosystems such as carbon cycle of the terrestrial ecosystem.
Carbon is a main component of organic matter and microbial cell. Soil which has a variety of soil microorganisms generally indicate that such soil have a good in physical and chemical properties. Sugarcane is a long duration, nutrient exhaustive crop, and has been found to meet its nutrient requirement through microbial mediation. Soils rich in organic carbon content favour the activity of microbes leading to mineralization and availability of nutrients to crops. This research aimed to study the
effect no-till (reduce tillage) and bagasse mulch on the SMBCin sugarcane plantation.",['S1'],2016-10-13 15:41:46,archive,published,785,,,,,,"Department of Soil Science, University of Lampung",,,,,,,,
9,TRUE,http://repository.lppm.unila.ac.id/id/eprint/1270,restricted,"[{'content': 'published', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'validuser', 'eprintid': 1270, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1146', 'rev_number': 2, 'pos': 1, 'format': 'text', 'files': [{'filesize': 293372, 'datasetid': 'document', 'filename': 'Supriatin 2011 EST.pdf', 'hash': '9a2ebd033808398ff3d25e847f687dec', 'hash_type': 'MD5', 'mtime': '2016-11-29 04:34:13', 'mime_type': 'application/pdf', 'fileid': 8515, 'uri': 'http://repository.lppm.unila.ac.id/id/file/8515', 'objectid': 1146}], 'main': 'Supriatin 2011 EST.pdf', 'docid': 1146}]",,pub,2017-08-14 01:31:05,262-267,5,2017-08-14 01:31:05,2011-01-01,disk0/00/00/12/70,"[{'id': None, 'name': {'given': 'Liping', 'lineage': None, 'honourific': None, 'family': 'Weng'}}, {'name': {'given': 'Flora Alonso', 'lineage': None, 'family': 'Vega', 'honourific': None}, 'id': None}, {'id': 'supriatin.1979@fp.unila.a.c.id', 'name': {'given': 'Supriatin', 'family': 'Supriatin', 'honourific': None, 'lineage': None}}, {'name': {'lineage': None, 'family': 'Bussink', 'honourific': None, 'given': 'Wim'}, 'id': None}, {'id': None, 'name': {'lineage': None, 'family': 'Van Riemsdijk', 'honourific': None, 'given': 'Willem H.'}}]",['FP23'],article,show,9,,Speciation of Se and DOC in soil solution and their relation to Se bioavailability.,"A 0.01 M CaCl(2) extraction is often used to asses the bioavailability of plant nutrients in soils. However, almost no correlation was found between selenium (Se) in the soil extraction and Se content in grass. The recently developed anion Donnan membrane technique was used to analyze chemical speciation of Se in the 0.01 M CaCl(2) extractions of grassland soils and fractionation of DOC (dissolved organic carbon). The results show that most of Se (67-86%) in the extractions (15 samples) are colloidal-sized Se. Only 13-34% of extractable Se are selenate, selenite and small organic Se (<1 nm). Colloidal Se is, most likely, Se bound to or incorporated in colloidal-sized organic matter. The dominant form of small Se compounds (selenate, selenite/small organic compounds) depends on soil. A total of 47-85% of DOC is colloidal-sized and 15-53% are small organic molecules (<1 nm). In combination with soluble S (sulfur) and/or P (phosphor), concentration of small DOC can explain most of the variability of Se content in grass. The results indicate that mineralization of organic Se is the most important factor that controls Se availability in soils. Competition with sulfate and phosphate needs to be taken into account. Further research is needed to verify if concentration of small DOC is a good indicator of mineralization of soil organic matter.",['S1'],2017-08-14 01:31:05,archive,published,1270,,,,https://www.ncbi.nlm.nih.gov/pubmed/21141820,45.0,ASC Publications,,0013-936X,Environmental Science & Technology,10.1021/es1016119,['University of Lampung'],1.0,,supriatin_sp@yahoo.com
