,eprintid,date_type,isbn,title,place_of_pub,metadata_visibility,rev_number,status_changed,eprint_status,abstract,subjects,creators,pages,dir,date,type,editors,divisions,book_title,documents,publisher,ispublished,refereed,uri,full_text_status,lastmod,userid,datestamp,pagerange,pres_type,contributors,corp_creators,event_location,event_title,official_url,event_dates,event_type,patent_applicant,id_number,volume,issn,publication,number
0,5916,published,978-979-498-838-1,"Pattern of  Soil Organic Carbon in Pineapple Estate   after  Rotation with Cassava and King Grass under Marginal Tropical Soil  of Lampung, Indonesia",Surakarta,show,8,2018-04-25 04:22:27,archive,"A soil survey was conducted to see the  pattern of soil carbon organic in pineapple estate during pineapple growth after rotation with cassava (Manihot esculenta Crantz)  and king grass (Pennisetum purpureum). This research was conducted in PT.GGP, Central Lampung, Indonesia. The soil organic carbon was observed (a) after the harvesting of the rotated crop, (b) before planting of new crop of pineapple, and (c) 4 , 6, 8 months after planting. The soil organic carbon was initially increased after rotation, from 0,96% C  in king grass and 1,02% C in cassava, to almost 1,2 % after 4 months, but decreased 1,06 % and 1,1 % C in cassava and king grass after 8 months. The low of soil organic carbon indicated that the fertility of the soil is very low, and the addition of soil organic carbon through crop rotation is not enough for pineapple cultivation. 

Keywords: pineapple, crop rotation, cassava, king grass, tropical soil",['S1'],"[{'name': {'given': '.', 'honourific': None, 'family': 'Afandi', 'lineage': None}, 'id': 'afandi.1964@fp.unila.ac.id'}, {'name': {'given': 'Priyo', 'lineage': None, 'family': 'Cahyono', 'honourific': None}, 'id': None}, {'id': None, 'name': {'given': '-', 'family': 'Purwito', 'honourific': None, 'lineage': None}}]",574.0,disk0/00/00/59/16,2013-06-01 00:00:00.000000000,book_section,"[{'name': {'family': 'Setyono', 'honourific': None, 'lineage': None, 'given': 'Prabang'}}, {'name': {'family': 'Komariah', 'honourific': None, 'lineage': None, 'given': '-'}}, {'name': {'given': 'Widyatmani Sih', 'lineage': None, 'honourific': None, 'family': 'Dewi'}}]",['FP23'],Proceeding Internastional Conference on Sustainable Agriculture and Environment,"[{'security': 'public', 'placement': 1, 'eprintid': 5916, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'filesize': 1679789, 'mime_type': 'application/pdf', 'fileid': 54971, 'filename': '11.Afandi ICSAE 2013.pdf', 'hash': 'b4c3008e7c593592709a5182d6d178db', 'hash_type': 'MD5', 'mtime': '2017-11-17 09:52:45', 'objectid': 18834, 'uri': 'http://repository.lppm.unila.ac.id/id/file/54971'}], 'main': '11.Afandi ICSAE 2013.pdf', 'docid': 18834, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18834', 'rev_number': 1, 'format': 'text', 'pos': 1}]",UNS Press,pub,FALSE,http://repository.lppm.unila.ac.id/id/eprint/5916,public,2018-04-25 04:22:27,718,2018-04-25 04:22:27,133-136,,,,,,,,,,,,,,
1,1071,published,,Peningkatan P-larut dari Batuan Fosfat dengan Campuran Limbah Cair Tahu dan Asam Sulfat,,show,9,2016-11-07 01:17:29,archive,"The main material in phosphate fertilizer industry is phosphate rock.  The principle of the superphosphate fertilizer process is changing from tricalcium phosphate into phosphoric monocalsium by acidulation using sulfuric acid.  This process requires a high cost, causing fertilizer prices in the market become more expensive.  Therefore, an alternative is needed to produce P fertilizer at a low cost by utilizing tofu liquid waste that has a low pH to dissolve rock phosphate.  The combination between sulfuric acid and tofu liquid waste is expected increasing for solubility phosphate. This research aimed to explore combination of tofu liquid waste and sulfuric acid as well as the long incubation with the best P solubility of rock phosphate. The research was conducted at the Laboratory of Soil Science and Agro Waste Laboratory Lampung University from August to September 2013. The research was designed with factorial  5x4 in randomized block design with three replications. The first factor is the ratio of tofu liquid waste mixture and sulfuric acid (100%:0%; 95%:5%; 85%:15%; 75%:25%; 0%: 100%) and the second factor is the time of incubation of phosphate rock (1,3,7, and 14 days). The results showed that the highest P-soluble in a combination (0%:100%) with 7 days incubation is 10,80% P2O5. However, the best combination ratio is (85%:15%) with 7 days incubation is 10,48% P2O5 because the combination (85%:15%) is likely to (0%:100%). P solubility using a combination of (0%:100), and (85%:15%) incubation was suitable for a quality P-natural fertilizer for agricultural (SNI 02-3776-2005) on the category A.",['S1'],"[{'id': None, 'name': {'given': 'Septi Nurul', 'honourific': None, 'family': 'Aini', 'lineage': None}}, {'id': 'ainin.niswati@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Niswati', 'honourific': None, 'given': 'Ainin'}}, {'name': {'given': '.', 'honourific': None, 'family': 'Sarno', 'lineage': None}, 'id': 'sarno.1957@fp.unila.ac.id'}, {'name': {'given': 'Sri', 'lineage': None, 'family': 'Yusnaini', 'honourific': None}, 'id': 'sri.yusnaini@fp.unila.ac.id'}]",,disk0/00/00/10/71,2013-11-19 00:00:00.000000000,conference_item,,['FP23'],,"[{'files': [{'hash_type': 'MD5', 'mtime': '2016-11-06 12:31:32', 'filename': 'AininSepti Satek 2013.pdf', 'hash': 'da72bed8a4605f33c33ec2e4bf166266', 'fileid': 7074, 'mime_type': 'application/pdf', 'filesize': 625564, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/7074', 'objectid': 961}], 'main': 'AininSepti Satek 2013.pdf', 'docid': 961, 'uri': 'http://repository.lppm.unila.ac.id/id/document/961', 'rev_number': 2, 'formatdesc': 'Prosiding', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 1071, 'content': 'published', 'language': 'en', 'mime_type': 'application/pdf'}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/1071,public,2016-11-07 01:17:29,1055,2016-11-07 01:17:29,848-860,speech,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],['University of Lampung'],Bandar Lampung,Seminar Nasional Sains & Teknologi V,http://satek.unila.ac.id/2013,19--20 November 2013,conference,,,,,,
2,1161,published,978-6027985025,Erosi,Jakarta,show,8,2016-11-14 09:18:00,archive,"Proses erosi secara berurutan akan menimbulkan akibat pada tempat kejadian erosi (on site) dan pada tempat erosi diendapkan di bagian hilir (off site). Dampak erosi tersebut - baik secara on site maupun off site - berperan signifikan dalam hal menimbulkan degradasi lahan serta menurunkan kualitas lahan (pertanian). Erosi juga erat kaitannya dengan aliran permukaan (run off) dan sedimentasi. Secara garis besar, buku ini menyajikan erosi dengan berbagai aspeknya. Aspek penting buku ini cukup representatif, mulai dari aliran permukaan sebagai agen pembawa erosi, proses terjadinya erosi, macam dan bentuk erosi, faktor yang mempengaruhi erosi, erosi yang dapat ditoleransi, penetapan erosi baik melalui pengukuran maupun prediksi beserta contoh perhitungan dan hasil-hasil penelitian, upaya pencegahan erosi, sifat selektif erosi, dampak ekonomi erosi, peran erosi terhadap karbon tersimpan, hingga proses sedimentasinya",['S1'],"[{'name': {'given': 'Irwan Sukri', 'lineage': None, 'family': 'Banuwa', 'honourific': None}, 'id': 'irwanbanuwa@yahoo.com'}]",226.0,disk0/00/00/11/61,1970-01-01 00:00:00.000002013,book,,['FP23'],,"[{'main': 'Buku Erosi- ISB.JPG', 'docid': 1040, 'files': [{'objectid': 1040, 'uri': 'http://repository.lppm.unila.ac.id/id/file/7720', 'datasetid': 'document', 'filesize': 20403, 'fileid': 7720, 'mime_type': 'image/jpeg', 'hash_type': 'MD5', 'mtime': '2016-11-14 07:49:34', 'filename': 'Buku Erosi- ISB.JPG', 'hash': '4a5f63cc119a7ea1fa4a21caad83c861'}], 'pos': 1, 'format': 'image', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1040', 'eprintid': 1161, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'image/jpeg', 'content': 'coverimage'}]",Prenada Media Group,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/1161,public,2016-11-14 09:18:00,1074,2016-11-14 09:18:00,,,,['Universitas Lampung'],,,http:www.prenadamediagroup.com,,,,,,,,
3,5160,published,,Erosi,,show,7,2017-11-10 14:16:03,archive,,['S1'],"[{'id': 'irwanbanuwa@yahoo.com', 'name': {'given': 'Irwan Sukri', 'honourific': None, 'family': 'Banuwa', 'lineage': None}}]",,disk0/00/00/51/60,2013-05-07 00:00:00.000000000,patent,,['FP23'],,"[{'docid': 18082, 'main': 'Irwan SB_2.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/49144', 'objectid': 18082, 'mtime': '2017-11-10 10:33:31', 'hash_type': 'MD5', 'hash': '21b3c4d561202d664a05df5adc5b0c7e', 'filename': 'Irwan SB_2.pdf', 'fileid': 49144, 'mime_type': 'application/pdf', 'filesize': 190932, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18082', 'eprintid': 5160, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",,pub,,http://repository.lppm.unila.ac.id/id/eprint/5160,public,2017-11-10 14:16:03,1074,2017-11-10 14:16:03,,,,,,,,,,Irwan Sukri Banuwa,4511,,,,
4,799,published,,Pengaruh Sistem Olah Tanah dan Aplikasi Mulsa Bagas Terhadap Populasi dan Biomassa Cacing Tanah pada Pertanaman Tebu (Saccharum Officinarum L.) Tahun ke- 2,,show,6,2016-10-17 14:28:52,archive,"GMP adalah pengolahan tanah secara intensif.  Penelitian ini bertujuan untuk mempelajari pengaruh sistem olah tanah dan aplikasi mulsa bagas pada lahan pertanaman tebu (Saccharum officinarum L.) terhadap jumlah dan biomassa cacing tanah di PT Gunung Madu Plantations, Lampung Tengah. Penelitian ini dirancang menggunakan RAK dan disusun secara split plot dengan 5 kali ulangan.  Petak utama yaitu sistem olah tanah, yang terdiri dari tanpa olah tanah (T0) dan olah tanah intensif (T). Anak petak adalah aplikasi mulsa bagas, yang terdiri dari tanpa  mulsa bagas (M0) dan mulsa bagas 80 tha ). Adapun kombinasi perlakuan yang diterapkan adalah sebagai berikut: T0M0 = tanpa olah tanah + tanpa  mulsa bagas, T= tanpa olah tanah + mulsa bagas 80 t ha-1, T1M0 = olah tanah intensif + tanpa  mulsa bagas, dan T1M= olah tanah intensif + mulsa bagas 80 t ha-1.  Semua perlakuan diaplikasikan pupuk Urea dengan dosis 300 kg ha-1, pupuk TSP 200 kg ha1, dan aplikasi bagas, blotong, dan abu (BBA) segar (5:3:1) 80 t ha.  Data yang diperoleh diuji homogenitasnya dengan UjiBartlet dan aditivitasnya dengan Uji Tukey, serta uji lanjut dengan Uji BNT. Hasil penelitian menunjukkan bahwa belum adanya pengaruh perlakuan sistem olah tanah dan aplikasi mulsa bagas terhadap populasi dan biomassa cacing tanah pada
pengambilan sampel 9 BSP dan 12 BSP. Terdapat 2 genus cacing tanah yang didapat dari hasil identifikasi, yaitu Pheretima dan Pontoscolex",['S1'],"[{'id': None, 'name': {'family': 'Batubara', 'honourific': None, 'lineage': None, 'given': 'Mones Hendri'}}, {'id': 'ainin.niswati@fp.unila.a.c.id', 'name': {'lineage': None, 'family': 'Niswati', 'honourific': None, 'given': 'Ainin'}}, {'id': 'sri.yusnaini@fp.unila.ac.id', 'name': {'given': 'Sri', 'lineage': None, 'family': 'Yusnaini', 'honourific': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Arif', 'given': 'Mas Achmad Syamsul'}, 'id': 'abimasyarif@gmail.com'}]",,disk0/00/00/07/99,2013-01-01 00:00:00.000000000,article,,['FP23'],,"[{'eprintid': 799, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 697, 'main': 'Ainin - JAT 2013.pdf', 'files': [{'filesize': 185964, 'datasetid': 'document', 'hash': '78a8c1cb7f1e9e99e0f58d2df89bd257', 'filename': 'Ainin - JAT 2013.pdf', 'hash_type': 'MD5', 'mtime': '2016-10-14 05:19:53', 'mime_type': 'application/pdf', 'fileid': 4766, 'uri': 'http://repository.lppm.unila.ac.id/id/file/4766', 'objectid': 697}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/697'}]",Jurusan Agroteknologi FP Unila,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/799,public,2016-10-17 14:28:52,1055,2016-10-17 14:28:52,107-112,,,['University of Lampung'],,,,,,,,1.0,2337-4993,Jurnal Agrotek Tropika,1.0
5,5919,published,978-979-498-838-1,"Effects of Several Types of Rotated Crops  on Soil Chemical properties in Pineapple Cultivation  in  Lampung, Indonesia",Surakarta,show,7,2018-04-25 04:22:14,archive,"A field  research was conducted in pineapple estate to evaluate  several cover which used as crop rotation on selected soil chemical properties (pH, C, N,P,K, Exch Al). The treatments were as follows :bare condition, cassava (Manihot esculenta Crantz), roselle  (Hibiscus sabdarifa), king grass (Pennisetum purpureum) and  butterfly pea ( Centrosema pubescens),  and observed six month after planting.  The results showed that  all the treatment could be used as rotation, even the land was in bare condition. The treatments did not change the soil chemical significantly, excepts for K and Exch Al which was highest in cassava treatment.",['S1'],"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Cahyono', 'given': 'Priyo'}}, {'name': {'given': '-', 'lineage': None, 'honourific': None, 'family': 'Purwito'}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': 'Pangarso', 'lineage': None, 'given': 'Didik F.'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Afandi', 'given': '.'}, 'id': 'afandi.1964@fp.unila.ac.id'}]",574.0,disk0/00/00/59/19,2013-06-01 00:00:00.000000000,book_section,"[{'name': {'given': 'Prabang', 'lineage': None, 'honourific': None, 'family': 'Setyono'}}, {'name': {'given': '-', 'lineage': None, 'family': 'Komariah', 'honourific': None}}, {'name': {'lineage': None, 'family': 'Dewi', 'honourific': None, 'given': 'Widyatmani Sih'}}]",['FP23'],Proceeding International Conference on Sustainable Agriculture and Environment,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 5919, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18838', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'hash': '4bf285fa9cee2960aacc847953a47ed5', 'filename': '13.Priyo Afandi ICSAE 2013.pdf', 'mtime': '2017-11-17 10:03:15', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 54988, 'filesize': 1366993, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/54988', 'objectid': 18838}], 'docid': 18838, 'main': '13.Priyo Afandi ICSAE 2013.pdf'}]",UNS Press,pub,FALSE,http://repository.lppm.unila.ac.id/id/eprint/5919,public,2018-04-25 04:22:14,718,2018-04-25 04:22:14,137-139,,,,,,,,,,,,,,
6,1023,published,,Effect of Shrimp  Head Waste on pH and Qualyti Of Tofu Liquid Waste as an Material Basis Liquid Organicfertilizer,,show,8,2016-11-07 01:16:44,archive,"Indonesianis an agricultural countryneeded much fertilizer in big quantity ever y year. However, now fertilizersbecome scarceandhigh prices. The improvement of  fertilizer production is needed from agro-industrialwastes like organie liquid from tofu poductoin.The purposeof this researchto evaluate effect of shrimp head waste on pH,  and quality of tofuliquid waste as an liquid organic fertilizer.The study was designed by RCBD with 10 treatment sand 3 replications. The treatment were : K (tofu liquid wastewithoutshrimp head waste), K1B1 (15% of refined grain), K (15% of medium grain), K1B3 (15% of coarse grain), K2B1 (30% of refined grain), K (30% of medium grain), K2B3 (30% of coarse grain), K3B1 (45% of refined grain), K (45% of medium grain), K3B (45% of coarse grain).All the treatment are mix by 24 hours shaker, and then the filtrat was separately by 30 minute centrifuge with 6000 rpm, than filtered with a whatman paper no 24.  Filtrat analyzed forpH, N, P, and K. The results showed that, thecoarse grainsizeof shrimp head waste bettercapable to increase the content ofpH, N, PandK of tofu liquid waste thenrefinedgrains(0.5 mm) andmedium(1mm). The higherlevel concentration of the mixtureshrimp head wasteandtofu liquid wastegrain (45%) washigher in pH andnutrient content (N, P, K) than of 0, 15%, and 30% consentration.",['S1'],"[{'name': {'family': 'Igunsyah', 'honourific': None, 'lineage': None, 'given': 'Topan R.'}, 'id': None}, {'id': 'sri.yusnaini@fp.unila.ac.id', 'name': {'family': 'Yusnaini', 'honourific': None, 'lineage': None, 'given': 'Sri'}}, {'name': {'family': 'Sarno', 'honourific': None, 'lineage': None, 'given': '-'}, 'id': 'sarno.1957@fp.unila.ac.id'}, {'name': {'given': 'Ainin', 'honourific': None, 'family': 'Niswati', 'lineage': None}, 'id': 'ainin.niswati@fp.unila.ac.id'}]",,disk0/00/00/10/23,2013-11-19 00:00:00.000000000,conference_item,,['FP23'],,"[{'docid': 962, 'main': 'Aini Sri Topan 2013.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/7082', 'objectid': 962, 'filename': 'Aini Sri Topan 2013.pdf', 'hash': 'a1de4484418421f4c0f782d4a40fbdca', 'hash_type': 'MD5', 'mtime': '2016-11-06 13:08:07', 'mime_type': 'application/pdf', 'fileid': 7082, 'filesize': 436352, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'formatdesc': 'Prosiding', 'uri': 'http://repository.lppm.unila.ac.id/id/document/962', 'rev_number': 2, 'eprintid': 1023, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'content': 'published'}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/1023,public,2016-11-07 01:16:44,1053,2016-11-07 01:16:44,892-900,paper,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],['University of Lampung'],Bandar Lampung,Seminar Nasional Sains & Teknologi V,http://satek.unila.ac.id/2013,19--20 November 2013,conference,,,,,,
7,728,published,,"No tillage and bagasse mulching alter fungal biomass and community structure during decomposition of sugarcane leaf litter in Lampung Province, Sumatra, Indonesi",,show,8,2016-10-11 03:39:41,archive,"Soil fungi are the predominant decomposers of soil organic matter (SOM). To manage SOM in tropical agricultural soils, it is important to understand the effects of agricultural management on fungal communities and their decomposition of organic matter. Our study site was located in a sugarcane plantation in Lampung Province, Sumatra, Indonesia. The objectives of this study were to determine the following: (1) the effect of conversion from conventional tillage to no-tillage farming and the application of bagasse mulch on fungal biomass, community structure, and the relative ratio of fungal to bacterial biomass (F:B); (2) the combination effect of no-tillage with bagasse mulch on these fungal parameters; and (3) possible links between these fungal parameters and the decomposition rate of sugarcane leaf litter. We measured fungal biomass and F:B by phospholipid fatty acid (PLFA) analysis, and we evaluated fungal molecular diversity and community structure by modified terminal restriction fragment length polymorphism (T-RFLP) profiling. Fungal biomass was 2-fold greater with no-tillage and 2.5-fold greater with added bagasse mulch relative to conventional (tillage without mulch) plots. On the other hand, no-tillage also increased bacterial biomass and fungal OTU (operational taxonomic unit) richness, whereas bagasse mulch increased the F:B and inhibited a specific fungal OTU. Under a combination of no-tillage and bagasse mulch, the fungal biomass was 1.7-fold greater than in conventional plots, indicating that the combination did not have an additive effect on fungal biomass. The litter mass loss rate was negatively correlated with fungal biomass, and bagasse mulch suppressed the mass loss approximately 20% less than in the conventional plots. However, the mass loss rate in no-tillage plots did not differ from that in conventional plots. Overall, our results indicated that no-tillage and bagasse much increased litter fungal biomass and altered the fungal communities, and these changes were reflected in the litter decomposition and soil C dynamics. Further studies are needed to clarify the relationship between litter decomposition and fungal species identity.",['S1'],"[{'id': 't.miura716@gmail.com', 'name': {'lineage': None, 'family': 'Miura', 'honourific': None, 'given': 'Toshiko'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Niswati', 'given': 'Ainin'}, 'id': 'ainin.niswati@fp.unila.a.c.id'}, {'id': None, 'name': {'honourific': None, 'family': 'Swibawa', 'lineage': None, 'given': 'I Gede'}}, {'id': None, 'name': {'honourific': None, 'family': 'Haryani', 'lineage': None, 'given': 'Sri'}}, {'name': {'given': 'Heru', 'family': 'Gunito', 'honourific': None, 'lineage': None}, 'id': None}, {'name': {'honourific': None, 'family': 'Kaneko', 'lineage': None, 'given': 'Nobuhiro'}, 'id': 'kanekono@ynu.ac.jp'}]",,disk0/00/00/07/28,2013-03-01 00:00:00.000000000,article,,['FP23'],,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/628', 'rev_number': 2, 'docid': 628, 'main': 'Ainin - SBB 2013-asli.pdf', 'files': [{'fileid': 4198, 'mime_type': 'application/pdf', 'mtime': '2016-10-07 14:47:00', 'hash_type': 'MD5', 'filename': 'Ainin - SBB 2013-asli.pdf', 'hash': '9abb6cb8efe3e73df74d5d1270bd197f', 'datasetid': 'document', 'filesize': 465249, 'objectid': 628, 'uri': 'http://repository.lppm.unila.ac.id/id/file/4198'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 728, 'placement': 1, 'security': 'validuser'}]","Elsevier, Science Direct",pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/728,restricted,2016-10-11 03:39:41,1055,2016-10-11 03:39:41,27-35,,,,,,,,,,http://dx.doi.org/10.1016/j.soilbio.2012.10.042,58.0,0038-0717,Soil Biology and Biochemistry,
8,4050,published,,"A SOIL RESPIRATION ON CASSAVA PLANTATION SUBJECTED BY SOIL AMENDMENT AND ANTAGONIST PLANT FOR WHITE ROT FUNGI ON ULTISOLS TULANG BAWANG, LAMPUNG",,show,9,2017-11-01 05:33:34,archive,-,['S1'],"[{'name': {'lineage': None, 'family': 'Niswati', 'honourific': None, 'given': 'Ainin'}, 'id': 'ainin.niswati@fp.unila.ac.id'}, {'id': None, 'name': {'family': 'Oktia', 'honourific': None, 'lineage': None, 'given': 'Dayana'}}, {'name': {'honourific': None, 'family': 'Yusnaini', 'lineage': None, 'given': 'Sri'}, 'id': 'sri.yusnaini@fp.unila.ac.id'}, {'name': {'given': 'Ghani Sutopo', 'honourific': None, 'family': 'Nugroho', 'lineage': None}, 'id': None}]",,disk0/00/00/40/50,2013-10-21 00:00:00.000000000,conference_item,,['FP23'],,"[{'placement': 1, 'security': 'public', 'eprintid': 4050, 'content': 'published', 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/41331', 'objectid': 16913, 'hash_type': 'MD5', 'mtime': '2017-10-15 16:29:14', 'filename': 'Ainin- ESAFS 11 2013.pdf', 'hash': 'e1a6be4c3b69dabb6f830fa0b9c72393', 'fileid': 41331, 'mime_type': 'application/pdf', 'filesize': 940062, 'datasetid': 'document'}], 'main': 'Ainin- ESAFS 11 2013.pdf', 'docid': 16913, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/16913', 'pos': 1, 'format': 'text'}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/4050,public,2017-11-01 05:33:34,1055,2017-11-01 05:33:34,262-263,paper,,,"IPB ICC, Botani Square. Bogor, Indonesia",11th International Conference The East and Southeast Asia Federation of Soil Science Societies,,21-24 October 2013,conference,,,,,,
9,1170,published,,"Populasi, Biomassa dan Keanekaragaman Cacing Tanah pada Bekas Lahan Alang-Alang (Imperata Cylindrica L. ) yang Diperlakukan Tanpa Olah Tanah",,show,9,2016-11-16 03:12:54,archive,"Cacing tanah merupakan salah satu indikator kualitas tanah yang mudah, cepat, murah dan cukup akurat. Pembukaan lahan alang-alang untuk dijadikan tanah pertanian telah dilakukan dengan tujuan untuk mempelajari pengaruh sistem olah tanah  terhadap populasi, biomassa dan keanekaragaman cacing tanah pada bekas lahan alang-alang (Imperata cylindrica L.)  berusia lebih dari 10 tahun.  Penelitian  dilakukan dengan rancangan acak kelompok. Perlakuan yang diterapkan di lapang yaitu: olah tanah intensif, olah tanah minimum, dan tanpa olah tanah dengan 6 ulangan. Pengamatan cacing tanah dengan metode monolit dan pemilihan dengan tangan (handshorting) pada kedalaman 0-10, 10-20, dan 20-0 cm dilakukan pada satu minggu sebelum penanaman, saat fase vegetatif maksimum, dan satu hari sebelum tanaman jagung dipanen. Hasil penelitian menunjukkan bahwa populasi, biomassa, dan keanekaragaman cacing tanah pada sistem tanpa olah tanah dan olah tanah minimum lebih tinggi daripada olah tanah intensif pada fase vegetative dan sebelum panen jagung, namun tidak berbeda nyata pada pengamatan sebelum tanam. Populasi dan biomassa cacing tanah lebih tinggi pada kedalaman 0-10 cm dibandingkan dengan pada kedalaman lain. Hasil identifikasi cacing tanah menunjukkan bahwa Genus Pontoscolex sp. mendominasi kelimpahan diikuti oleh Eiseniella sp., Dendrobaena sp. dan Pheretima sp. Populasi dan biomassa cacing tanah berkorelasi negatif dengan pH, C-organik, N-total, suhu dan kelembaban tanah.",['S1'],"[{'id': 'ainin.niswati@fp.unila.ac.id', 'name': {'given': 'Ainin', 'family': 'Niswati', 'honourific': None, 'lineage': None}}, {'name': {'honourific': None, 'family': 'Sari', 'lineage': None, 'given': 'Ni Nyoman Liong Harum'}, 'id': None}, {'id': 'henrie.buchari@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Buchari', 'lineage': None, 'given': 'Henrie'}}]",,disk0/00/00/11/70,2013-03-01 00:00:00.000000000,conference_item,,['FP23'],,"[{'placement': 1, 'security': 'public', 'eprintid': 1170, 'content': 'published', 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'fileid': 7802, 'mime_type': 'application/pdf', 'mtime': '2016-11-15 16:31:54', 'hash_type': 'MD5', 'filename': 'Ainin - 2013 Prosiding Semirata Pontianak - Ketua 2013.pdf', 'hash': '5b6c202eff2b83d9b456d4426b2ebe43', 'datasetid': 'document', 'filesize': 13608851, 'objectid': 1048, 'uri': 'http://repository.lppm.unila.ac.id/id/file/7802'}], 'main': 'Ainin - 2013 Prosiding Semirata Pontianak - Ketua 2013.pdf', 'docid': 1048, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1048', 'pos': 1, 'format': 'text'}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/1170,public,2016-11-16 03:12:54,1055,2016-11-16 03:12:54,677-688,paper,,['University of Lampung'],Pontianak,Prosiding Seminar Nasional dan Rapat Tahunan Dekan Bidang Ilmu-Ilmu Pertanian BKS-Barat,,Maret 2013,conference,,,,,,
