,date_type,eprintid,metadata_visibility,volume,rev_number,title,official_url,abstract,subjects,status_changed,eprint_status,dir,date,creators,publication,divisions,type,refereed,full_text_status,uri,documents,publisher,ispublished,number,pagerange,datestamp,userid,lastmod,issn,event_location,event_title,event_dates,event_type,pres_type,corp_creators,related_url
0,published,6767,show,1.0,6,PEMBENTUKAN HAMILTONIAN CYCLE PADA DOUBLE LOOP NETWORKS,http://fmipa.unila.ac.id/,"Graf Hamiltonian merupakan salah satu jenis graf dimana graf tersebut mengandung graf sirkuit yang tiap vertex-nya berderajat dua. Loop Networks adalah jaringan yang memiliki paling sedikit satu struktur Ring (cycle atau sirkuit). Double Loop Network, dinotasikan G (n;s1,s2) yaitu digraph atau graf berarah dengan n vertex { 0, 1, 2, …, n − 1} dan 2n edge dengan arah i menuju i+s1(mod n) dan dan i menuju i+s2(mod n) dimana dan vertex yang dipilih. Pada penelitian ini akan didiskusikan tentang pembentukan dua sifat Hamiltonian cycle pada Double Loop Network",['QA'],2018-04-25 07:52:51,archive,disk0/00/00/67/67,2013-05-10 00:00:00.000000000,"[{'name': {'family': 'Aliana', 'honourific': None, 'lineage': None, 'given': 'Dina Fitri'}, 'id': None}, {'name': {'given': 'Wamiliana', 'lineage': None, 'honourific': None, 'family': 'Wamiliana'}, 'id': 'wamiliana@gmail.com'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Fitriani', 'given': 'Fitriani'}, 'id': 'fitriani_mathunila@yahoo.co.id'}]",Prosiding Seminar dan Rapat Tahunan BKS PTN Barat 2013,['FMIPA9'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6767,"[{'placement': 1, 'security': 'public', 'eprintid': 6767, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 19734, 'uri': 'http://repository.lppm.unila.ac.id/id/file/62039', 'mime_type': 'application/pdf', 'fileid': 62039, 'hash': '9d06149c73cc3fded3e9e7dc1ca8c78c', 'filename': 'Prisiding BKS PTN B 2013_Dina_Wamiliana_Fitriani.pdf', 'hash_type': 'MD5', 'mtime': '2018-04-20 03:08:15', 'datasetid': 'document', 'filesize': 1024858}], 'docid': 19734, 'main': 'Prisiding BKS PTN B 2013_Dina_Wamiliana_Fitriani.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19734', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",FMIPA Universitas Lampung,pub,1.0,1-8,2018-04-25 07:52:51,791,2018-04-25 07:52:51,,,,,,,,
1,published,6825,show,1.0,6,Pembentukan Hamiltonian Cycle pada Double Loop Networks,,"Graf Hamiltonian merupakan salah satu jenis graf dimana graf tersebut mengandung graf sirkuit yang tiap vertex-nya berderajat dua. Loop Networks adalah jaringan yang memiliki paling sedikit satu struktur Ring (cycle atau sirkuit). Double Loop Network, dinotasikan G (n; s1, s2 ) yaitu digraph atau graf berarah dengan n vertex { 0, 1, 2, …, n − 1} dan 2n edge dengan arah i menuju i+s1 (mod n) dan i menuju i+s2 (mod n) dan dimana s1 dan s2 vertex yang dipilih. Pada penelitian ini akan didiskusikan tentang pembentukan dua sifat Hamiltonian cycle pada Double Loop Network",['QA'],2018-04-25 06:37:01,archive,disk0/00/00/68/25,2013-05-10 00:00:00.000000000,"[{'id': None, 'name': {'given': 'Dina Fitri', 'lineage': None, 'honourific': None, 'family': 'Allana'}}, {'id': 'wamiliana@gmail.com', 'name': {'given': 'Wamiliana', 'honourific': None, 'family': 'Wamiliana', 'lineage': None}}, {'name': {'honourific': None, 'family': 'Fitriani', 'lineage': None, 'given': 'Fitriani'}, 'id': 'fitriani_mathunila@yahoo.co.id'}]",Prosiding Seminar dan Rapat Tahunan BKS PTN Barat 2013,['FMIPA9'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6825,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 6825, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19798', 'rev_number': 1, 'docid': 19798, 'main': 'Prisiding BKS PTN B 2013_Dina_Wamiliana_Fitriani.pdf', 'files': [{'objectid': 19798, 'uri': 'http://repository.lppm.unila.ac.id/id/file/62516', 'fileid': 62516, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-04-25 04:43:52', 'hash': '9d06149c73cc3fded3e9e7dc1ca8c78c', 'filename': 'Prisiding BKS PTN B 2013_Dina_Wamiliana_Fitriani.pdf', 'datasetid': 'document', 'filesize': 1024858}]}]",FMIPA Unila,pub,1.0,1-8,2018-04-25 06:37:01,263,2018-04-25 06:37:01,,,,,,,,
2,published,6733,show,1.0,6,GRAF LOBSTER BERBILANGAN KROMATIK LOKASI EMPAT,,"Misalkan G=(V,E) adalah graf terhubung dan c suatu pewarnaan-k sejati dari G . Misal-kan pula Π={C1,C2,...,C3} merupakan partisi dari V(G) yang diinduksi oleh pewarnaan c. Kode warna, cΠ(v) dari v adalah koordinat (d(v,C1),d(v,C2),...,d(v,Ck)) dengan d(v,Ci)=min{d(v,x)|x∈Ci} untuk 1 <= i <= k. Jika semua titik di G mempunyai kode warna berbeda, maka c disebut pewarnaan lokasi . Bilangan kromatik lokasi dari G ,
dinotasikan dengan XL(G), adalah bilangan terkecil k sehingga G mempunyai pewarnaan-k lokasi. Pada paper ini akan dibahas sebuah graf lobster berbilangan kromatik lokasi empat.",['QA'],2018-04-25 08:03:01,archive,disk0/00/00/67/33,2013-05-10 00:00:00.000000000,"[{'id': 'asmiati308@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Asmiati', 'given': 'Asmiati'}}]",GRAF LOBSTER BERBILANGAN KROMATIK LOKASI EMPAT,['FMIPA9'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6733,"[{'security': 'public', 'placement': 1, 'eprintid': 6733, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 19702, 'uri': 'http://repository.lppm.unila.ac.id/id/file/61847', 'mime_type': 'application/pdf', 'fileid': 61847, 'filename': 'Prosiding Seminar BKS PTN B 2013 Asmiati.pdf', 'hash': '55d9250b08f8ca53f832d4c9bb21d91f', 'hash_type': 'MD5', 'mtime': '2018-04-17 07:43:06', 'datasetid': 'document', 'filesize': 95419}], 'main': 'Prosiding Seminar BKS PTN B 2013 Asmiati.pdf', 'docid': 19702, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19702', 'format': 'text', 'pos': 1}]",Prosiding Seminar dan Rapat Tahunan BKS PTN Barat,pub,1.0,1-3,2018-04-25 08:03:01,821,2018-04-25 08:03:02,,,,,,,,
3,published,6806,show,1.0,6,Aplikasi Homotopy Analysis Method (HAM) pada PDB Sederhana,http://fmipa.unila.ac.id/,Ide dasar teknik analitik HAM didasarkan pada deret Taylor. Validitas HAM tidak bergantung pada ada tidaknya parameter kecil pada persamaan diferensial taklinear. Karena itu teknik analitik ini lebih baik bila digunakan untuk menyelesaikan masalah– masalah tak linear.,['QA'],2018-04-25 04:26:04,archive,disk0/00/00/68/06,2013-05-10 00:00:00.000000000,"[{'name': {'honourific': None, 'family': 'Aziz', 'lineage': None, 'given': 'Dorrah'}}]",Prosiding Seminar dan Rapat Tahunan BKS PTN 2013,['FMIPA9'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6806,"[{'files': [{'datasetid': 'document', 'filesize': 41692, 'mime_type': 'application/pdf', 'fileid': 62298, 'hash': '02e6ea043706dd71dfd2befd094577d9', 'filename': 'Prosiding BKS PTN B 2013 Dorrah Azis.pdf', 'mtime': '2018-04-24 06:47:43', 'hash_type': 'MD5', 'objectid': 19778, 'uri': 'http://repository.lppm.unila.ac.id/id/file/62298'}], 'main': 'Prosiding BKS PTN B 2013 Dorrah Azis.pdf', 'docid': 19778, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19778', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 6806, 'language': 'en', 'mime_type': 'application/pdf'}]",FMIPA Universitas Lampung,pub,1.0,1-5,2018-04-25 04:26:04,996,2018-04-25 04:26:04,,,,,,,,
4,published,3904,show,1.0,6,"Characterizing all trees with locating-chromatic
number 3",http://ejgta.org/index.php/ejgta,"Let c be a proper k-coloring of a connected graph G. Let � = fS1; S2; : : : ; Skg be the induced
partition of V (G) by c, where Si is the partition class having all vertices with color i. The color
code c�(v) of vertex v is the ordered k-tuple (d(v; S1); d(v; S2); : : : ; d(v; Sk)), where d(v; Si) =
minfd(v; x)jx 2 Sig, for 1 � i � k. If all vertices of G have distinct color codes, then c is called a
locating-coloring of G. The locating-chromatic number of G, denoted by �L(G), is the smallest k
such that G posses a locating k-coloring. Clearly, any graph of order n � 2 has locating-chromatic
number k, where 2 � k � n. Characterizing all graphs with a certain locating-chromatic number
is a difficult problem. Up to now, all graphs of order n with locating chromatic number 2; n",['QA'],2017-09-15 01:19:36,archive,disk0/00/00/39/04,1970-01-01 00:00:00.000002013,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Baskoro', 'given': 'Edy Tri'}, 'id': None}, {'id': 'asmiati308@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Asmiati', 'given': 'Asmiati'}}]",Electronic Journal of Graph Theory and Applications,['FMIPA9'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/3904,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3765', 'docid': 3765, 'main': 'Characterizing all trees with locating-chromatic 3.pdf', 'files': [{'objectid': 3765, 'uri': 'http://repository.lppm.unila.ac.id/id/file/27335', 'fileid': 27335, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-09-13 00:50:05', 'hash': '7327dbf296171b80183da2934b7e1b10', 'filename': 'Characterizing all trees with locating-chromatic 3.pdf', 'datasetid': 'document', 'filesize': 420479}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 3904, 'security': 'public', 'placement': 1}]",Indonesian Combinatorics,pub,2.0,109-117,2017-09-15 01:19:36,821,2017-09-15 01:19:36,2338-2287,,,,,,,
5,published,18673,show,,7,Application of factor analysis to public sector integrity  in Indonesia,,Hasil Penilaian Sejawat Sebidang atau Peereveview Karya Ilmiah: Jurnal Ilmiah Internasional,['AC'],2020-03-13 08:49:54,archive,disk0/00/01/86/73,1970-01-01 00:00:00.000002013,"[{'id': 'dian.kurniasari@fmipa.unila.ac.id', 'name': {'given': 'Kurniasari', 'honourific': None, 'family': 'Dian', 'lineage': None}}]",,['FMIPA9'],other,,public,http://repository.lppm.unila.ac.id/id/eprint/18673,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 18673, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31846', 'docid': 31846, 'main': 'IS23% - A19 - APPLICATION_OF_FACTOR_ANALYSIS_TO_PUBLIC_SECTOR_IN.pdf', 'files': [{'datasetid': 'document', 'filesize': 4736583, 'mime_type': 'application/pdf', 'fileid': 156845, 'filename': 'IS23% - A19 - APPLICATION_OF_FACTOR_ANALYSIS_TO_PUBLIC_SECTOR_IN.pdf', 'hash': 'f9f672565a805277ab389cf6c96ced04', 'hash_type': 'MD5', 'mtime': '2020-03-13 04:34:55', 'objectid': 31846, 'uri': 'http://repository.lppm.unila.ac.id/id/file/156845'}]}]","The First International Confrence on Law, Bussiness & Governance",pub,,,2020-03-13 08:49:54,752,2020-03-13 08:49:54,,,,,,,,
6,published,1319,show,,7,"Pembentukan Ring Faktor Pada Ring Deret Pangkat Teritlak 
Miring",http://jurnal.fmipa.unila.ac.id/index.php/semirata/article/view/698,"Misalkan  R  ring  dengan  elemen  satuan,(S, . , ≤)  monoid  terurut  tegas,  dan ω:S→End(R) homomorfisma monoid.  Himpunan semua fungsi dari S ke R dengan support  Artin  dan  narrow  yang  dilengkapi  dengan  operasi  penjumlahan  dan  pergandaan, merupakan suatu ring yang disebut Ring Deret Pangkat Teritlak Miring (RDPTM) dan  dinotasikan  dengan  R[[S, ω,≤]]  atauR[[S, ω]]. Jika  I  ideal  dari  R,  maka  dapat  dibentuk  himpunan R/I yang  merupakan  ring  yang  disebut  dengan  ring  faktor.  Dalam  tulisan  ini dibahas  tentang  pembentukan  ring  faktor  pada  RDPTM,  yaitu  ring  faktor  
R[[S, ω]]/ I[[S, ω]]  dengan  I[[S, ω]]  adalah  ideal  di  RDPTM  R[[S, ω]]. Selanjutnya, ditunjukkan juga bahwa ring faktor pada RDPTM isomorfik dengan RDPTM atas ring  faktor  R/I  , yaitu  (R[[S,ω]])⁄(I[[S,ω]])≅(R⁄I)[[S,μ]].",['QA'],2016-12-16 01:17:57,archive,disk0/00/00/13/19,2013-05-01 00:00:00.000000000,"[{'name': {'honourific': None, 'family': 'Faisol', 'lineage': None, 'given': 'Ahmad'}, 'id': 'faisol_mathunila@yahoo.co.id'}]",,['FMIPA9'],conference_item,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/1319,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 1319, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1193', 'rev_number': 1, 'docid': 1193, 'main': 'Pembentukan Ring Faktor Pada Ring Deret Pangkat Teritlak Prosiding semirata 2013.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/8847', 'objectid': 1193, 'hash_type': 'MD5', 'mtime': '2016-12-15 03:33:34', 'hash': '2a84c8182fb4ed899a5913f0cd8e6863', 'filename': 'Pembentukan Ring Faktor Pada Ring Deret Pangkat Teritlak Prosiding semirata 2013.pdf', 'fileid': 8847, 'mime_type': 'application/pdf', 'filesize': 690960, 'datasetid': 'document'}]}]",,pub,,1-5,2016-12-16 01:17:57,300,2016-12-16 01:17:57,,FMIPA Universitas Lampung,Semirata FMIPA 2013,10-12 Mei 2013,conference,paper,,
7,published,6833,show,1.0,6,Syarat Perlu Suatu Modul Merupakan Modul Distributif Lemah dan Ring Endomorfisma dari Modul Distributif Lemah,http://fmipa.unila.ac.id/,"Misalkan R adalah ring dengan elemen satuan 1 ≠ 0 dan M adalah R-modul. Submodul U dikatakan submodul distributif lemah dari M jika U=U∩X+U∩Y untuk setiap submodul X,Y⊆M sedemikian sehingga X+Y=M ܺ  R-modul M dikatakan modul distributif lemah jika setiap submodulnya merupakan submodul distributif lemah. Modul distributif lemah merupakan generalisasi dari modul distributif. Salah satu contoh modul distributif lemah adalah modul duo. Dalam tulisan ini akan dibahas mengenai syarat perlu suatu modul merupakan modul distributif lemah dan sifat ring endomorfisma dari modul distributif lemah",['QA'],2018-05-28 03:38:10,archive,disk0/00/00/68/33,2013-05-10 00:00:00.000000000,"[{'name': {'given': 'Fitriani', 'lineage': None, 'family': 'Fitriani', 'honourific': None}, 'id': 'fitriani_mathunila@yahoo.co.id'}]",Prosiding Seminar dan Rapat Tahunan BKS PTN Barat 2013,['FMIPA9'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6833,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/19807', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/62569', 'objectid': 19807, 'filesize': 179928, 'datasetid': 'document', 'hash': 'ed27c6b243d5798b70fdbc6c83d09fa7', 'filename': 'Prosiding BKS PTN B 2013 Fitriani.pdf', 'hash_type': 'MD5', 'mtime': '2018-04-25 05:54:21', 'mime_type': 'application/pdf', 'fileid': 62569}], 'docid': 19807, 'main': 'Prosiding BKS PTN B 2013 Fitriani.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 6833}]",FMIPA Universitas Lampung,pub,1.0,1-6,2018-05-28 03:38:10,263,2018-05-28 03:38:10,,,,,,,,
8,published,1317,show,,7,"yarat Perlu Suatu Modul Merupakan Modul Distributif 
Lemah dan Ring Endomorfisma dari Modul Distributif 
Lemah",http://jurnal.fmipa.unila.ac.id/index.php/semirata/article/view/883,"Misalkan  R  adalah  ring  dengan  elemen  satuan dan M adalah  R-modul. Submodul  U  dikatakan  submodul  distributif  lemah  dari  M  jika U=U∩X+U∩Y  untuk setiap submodul X,Y di M sedemikian sehingga  X + Y = M. R-modul M dikatakan modul distributif lemah jika setiap submodulnya merupakan submodul distributif lemah. Modul distributif lemah merupakan generalisasi dari modul distributif. Salah satu contoh modul  distributif  lemah  adalah  modul  duo.  Dalam  tulisan  ini  akan  dibahas  mengenai  syarat perlu suatu modul merupakan modul distributif lemah dan sifat ring endomorfisma dari modul distributif lemah.",['QA'],2016-12-15 01:06:22,archive,disk0/00/00/13/17,1970-01-01 00:00:00.000002013,"[{'name': {'given': 'Fitriani', 'lineage': None, 'honourific': None, 'family': 'Fitriani'}, 'id': 'fitriani_mathunila@yahoo.co.id'}]",,['FMIPA9'],conference_item,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/1317,"[{'eprintid': 1317, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 1191, 'main': 'yarat Perlu Suatu Modul Merupakan Modul Distributif Prosiding semirata 2013.pdf', 'files': [{'objectid': 1191, 'uri': 'http://repository.lppm.unila.ac.id/id/file/8831', 'fileid': 8831, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2016-12-14 06:25:45', 'filename': 'yarat Perlu Suatu Modul Merupakan Modul Distributif Prosiding semirata 2013.pdf', 'hash': '98921dbbe811c9374f300ef5dfda7140', 'datasetid': 'document', 'filesize': 554120}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/1191', 'rev_number': 1}]",,pub,,239-245,2016-12-15 01:06:22,263,2016-12-15 01:06:22,,FMIPA Universitas Lampung,Semirata FMIPA 2013,10-12 Mei 2013,conference,paper,,
9,published,6773,show,1.0,8,Representasi Turnamen Round-Robin Dengan Menggunakan Graf Hamiltonian dan Matriks,http://fmipa.unila.ac.id/,"Turnamen Round-Robin adalah turnamen yang memiliki sistem pertandingan dimana setiap tim dalam turnamen akan bertanding dengan tim lainnya sebanyak satu kali. Turnamen Round-Robin akan direpresentasikan ke dalam bentuk graf lengkap berarah dengan orde 10 dan11 dengan menggunakan dua metode, yaitu untuk turnamen dengan jumlah vertex genap digunakan Metode Penjadwalan dengan menggunakan Kongruen Modulo, dan turnamen
dengan jumlah vertex ganjil digunakan Metode Rotational Turnament. Penelitian ini bertujuan untuk mengkaji aplikasi graf Hamiltonian dan merepresentasikan turnamen Round-Robin dalam bentuk matriks turnamen. Dari hasil penelitian ini dapat disimpulkan bahwa bentuk graf turnamen yang diperoleh dengan jumlah vertex genap yaitu 10 vertex, sirkuit Hamiltonian yang terbentuk sebanyak 3 buah, sedangkan untuk turnamen dengan jumlah vertex ganjil yaitu 11 vertex, sirkuit Hamiltonian yang terbentuk sebanyak 5 buah.",['QA'],2018-04-25 07:56:26,archive,disk0/00/00/67/73,2013-05-10 00:00:00.000000000,"[{'id': 'novenzaharisman@yahoo.com', 'name': {'given': 'Novenza', 'honourific': None, 'family': 'Harisman', 'lineage': None}}, {'id': 'wamiliana@gmail.com', 'name': {'given': 'Wamiliana', 'honourific': None, 'family': 'Wamiliana', 'lineage': None}}, {'name': {'given': 'Fitriani', 'lineage': None, 'family': 'Fitriani', 'honourific': None}, 'id': 'fitriani_mathunila@yahoo.co.id'}]",Prosiding Seminar dan Rapat Tahunan BKS PTN Barat 2013,['FMIPA9'],article,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6773,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 6773, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19743', 'rev_number': 1, 'main': 'Prosiding BKS PTN B 2013 Novenza Harisman_Wamiliana_Fitriani.pdf', 'docid': 19743, 'files': [{'objectid': 19743, 'uri': 'http://repository.lppm.unila.ac.id/id/file/62089', 'datasetid': 'document', 'filesize': 584114, 'mime_type': 'application/pdf', 'fileid': 62089, 'hash': 'fab8bf33e9c712f3515309bc63ebbaa2', 'filename': 'Prosiding BKS PTN B 2013 Novenza Harisman_Wamiliana_Fitriani.pdf', 'hash_type': 'MD5', 'mtime': '2018-04-20 03:38:07'}]}]",FMIPA Universitas Lampung,pub,1.0,1-8,2018-04-25 07:56:26,791,2018-04-25 07:56:26,,,,,,,,
