,eprintid,rev_number,metadata_visibility,title,subjects,abstract,eprint_status,status_changed,dir,date,creators,divisions,type,uri,full_text_status,ispublished,publisher,documents,datestamp,lastmod,userid,number,corp_creators,id_number,official_url,date_type,refereed,pagerange,publication,issn,funders,volume,referencetext,related_url,patent_applicant,pages,isbn,event_location,event_title,event_type,event_dates,contributors,pres_type,succeeds,place_of_pub
0,45751,15,show,"Similarity check result Artikel ""Design Optimization of Propellant Grain and Nozzle Contour to Improve Performance of Solid Rocket Propulsion"" Journal of Engineering and Technological Sciences, Vol 54, No 5",['QA75'],Hasil Uji Similarity menggunakan Turnitin untuk jurnal ini adalah 4%.,archive,2022-10-18 01:18:38,disk0/00/04/57/51,2022-10-01 00:00:00.000000000,"[{'name': {'given': 'Muhammad Ihsan', 'lineage': None, 'honourific': None, 'family': 'Abyan'}, 'id': None}, {'name': {'given': 'Aang', 'honourific': None, 'family': 'Nuryaman', 'lineage': None}, 'id': 'aang.nuryaman@fmipa.unila.ac.id'}, {'id': 'asmiati308@yahoo.com', 'name': {'given': 'Asmiati', 'lineage': None, 'honourific': None, 'family': 'Asmiati'}}]",['FMIPA9'],other,http://repository.lppm.unila.ac.id/id/eprint/45751,public,unpub,Universitas Lampung,"[{'files': [{'objectid': 184566, 'uri': 'http://repository.lppm.unila.ac.id/id/file/507241', 'datasetid': 'document', 'filesize': 1010205, 'fileid': 507241, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-10-17 13:56:38', 'filename': 'JETS_Ihsan similarity cek turnitin.pdf', 'hash': '048f57f75566530b8acfc1fc95239ac9'}], 'docid': 184566, 'main': 'JETS_Ihsan similarity cek turnitin.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184566', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 45751, 'language': 'en', 'mime_type': 'application/pdf'}]",2022-10-18 01:18:38,2022-10-18 01:18:38,163,,,,,,,,,,,,,,,,,,,,,,,,
1,45748,8,show,Design Optimization of Propellant Grain and Nozzle Contour to Improve Performance of Solid Rocket Propulsion,['QA75'],"A rocket is a spacecraft, guided missile, or flying vehicle that boosted by a chemical reaction resulting from the combustion of propellant in the rocket motor. One of the essential parameters in the development of rocket motors is design optimization to improve the propulsion performance of the rocket. Increasing the propulsion performance of the rocket will increase the flight performance of the rocket, in terms of its maximum range or the altitude of the rocket trajectory. This study examined the determination of the design parameter values of a rocket motor by looking at it as an optimization problem with constraints. The problem studied was limited to the case of the second-stage rocket motor. A genetic algorithm was used to solve the resulting optimization problem of propellant grain configuration cases and a characteristic method for designing the bell nozzle. The results obtained indicated an increase in total impulse by 10% compared to the results before optimization.",archive,2022-10-18 01:18:30,disk0/00/04/57/48,2022-09-15 00:00:00.000000000,"[{'id': 'ihsanabyan@gmail.com', 'name': {'given': 'Muhammad Ihsan', 'lineage': None, 'family': 'Abyan', 'honourific': None}}, {'id': 'aang.nuryaman@fmipa.unila.ac.id', 'name': {'honourific': None, 'family': 'Nuryaman', 'lineage': None, 'given': 'Aang'}}, {'name': {'given': 'Bagus Hayatul', 'lineage': None, 'honourific': None, 'family': 'Jihad'}, 'id': 'bagus.hayatul@lapan.go.id'}, {'id': 'soleh.fajar@lapan.go.id', 'name': {'honourific': None, 'family': 'Junjunan', 'lineage': None, 'given': 'Soleh Fajar'}}, {'name': {'given': 'Asmiati', 'honourific': None, 'family': 'Asmiati', 'lineage': None}, 'id': 'asmiati308@yahoo.com'}]",['FMIPA9'],article,http://repository.lppm.unila.ac.id/id/eprint/45748,public,pub,Institute for Research and Community Services - ITB,"[{'main': 'Artikel JETS.pdf', 'docid': 184562, 'files': [{'objectid': 184562, 'uri': 'http://repository.lppm.unila.ac.id/id/file/507212', 'datasetid': 'document', 'filesize': 982134, 'mime_type': 'application/pdf', 'fileid': 507212, 'hash': 'f55cc15616c3020368ff7a7de2855526', 'filename': 'Artikel JETS.pdf', 'hash_type': 'MD5', 'mtime': '2022-10-17 09:53:05'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184562', 'eprintid': 45748, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2022-10-18 01:18:30,2022-10-18 01:18:30,163,5.0,['Universitas Lampung'],10.5614/j.eng.technol.sci.2022.54.5.8,https://journals.itb.ac.id/index.php/jets,completed,TRUE,963-978,Journal of Engineering and Technological Sciences,2337-5779,['LPPM Universitas Lampung'],54.0,,,,,,,,,,,,,
2,45486,7,show,Hasil cek similaritas artikel 'The Implementation of Rough Set on A Group Structure',['QA'],,archive,2022-10-05 02:29:58,disk0/00/04/54/86,1970-01-01 00:00:00.000002022,"[{'name': {'lineage': None, 'family': 'Adi Nugraha', 'honourific': None, 'given': 'Ananto'}, 'id': 'ananto@gmail.com'}, {'id': 'fitriani_mathunila@yahoo.co.id', 'name': {'given': 'Fitriani', 'lineage': None, 'family': 'Fitriani', 'honourific': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Ansori', 'given': 'Muslim'}, 'id': 'ansomath@yahoo.com'}, {'id': 'ahmadfaisol@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Faisol', 'given': 'Ahmad'}}]",['FMIPA9'],other,http://repository.lppm.unila.ac.id/id/eprint/45486,public,pub,UIN Sunan Ampel Surabaya,"[{'files': [{'objectid': 184260, 'uri': 'http://repository.lppm.unila.ac.id/id/file/505209', 'mime_type': 'application/pdf', 'fileid': 505209, 'filename': 'The Implementation of Rough Set on a Group Structure.pdf (1).pdf', 'hash': 'dd63d62a696f64e414173671aa4b361d', 'hash_type': 'MD5', 'mtime': '2022-10-04 14:38:20', 'datasetid': 'document', 'filesize': 297153}], 'main': 'The Implementation of Rough Set on a Group Structure.pdf (1).pdf', 'docid': 184260, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184260', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 45486, 'mime_type': 'application/pdf', 'language': 'en'}]",2022-10-05 02:29:58,2022-10-05 02:29:58,263,,,,,,,,,,,,,,,,,,,,,,,,
3,42861,7,show,The Implementation of Rough Set on a Group Structure,['QA'],"Let U be a non-empty set and R an equivalence relation on U. Then, (U,R) is an approximation space. The equivalence relation on U forms disjoint equivalence classes. If X⊆U, we can form a lower approximation and an upper approximation of X. If X⊆U, then we can form a lower approximation and an upper approximation of X. In this research, rough group and rough subgroups are constructed in the approximation space (U,R) for commutative and non-commutative binary operations.",archive,2022-07-04 02:05:28,disk0/00/04/28/61,2022-06-28 00:00:00.000000000,"[{'name': {'given': 'Ananto', 'honourific': None, 'family': 'Adi Nugraha', 'lineage': None}, 'id': 'ananto@gmail.com'}, {'id': 'fitriani_mathunila@yahoo.co.id', 'name': {'lineage': None, 'family': 'Fitriani', 'honourific': None, 'given': 'Fitriani'}}, {'id': 'ansomath@yahoo.com', 'name': {'given': 'Muslim', 'honourific': None, 'family': 'Ansori', 'lineage': None}}, {'id': 'ahmadfaisol@fmipa.unila.ac.id', 'name': {'given': 'Ahmad', 'lineage': None, 'family': 'Faisol', 'honourific': None}}]",['FMIPA9'],article,http://repository.lppm.unila.ac.id/id/eprint/42861,public,pub,"Mathematics Department, FST, UIN Sunan Ampel Surabaya","[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 42861, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164604', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 164604, 'uri': 'http://repository.lppm.unila.ac.id/id/file/469508', 'mime_type': 'application/pdf', 'fileid': 469508, 'hash': '6614e1473bf98890db6df59a4d1ebd59', 'filename': '6.+Ananto+Adi+Nugraha+dkk.pdf', 'hash_type': 'MD5', 'mtime': '2022-07-01 03:49:44', 'datasetid': 'document', 'filesize': 267107}], 'main': '6.+Ananto+Adi+Nugraha+dkk.pdf', 'docid': 164604}]",2022-07-04 02:05:28,2022-07-04 02:05:28,263,1.0,,,http://jurnalsaintek.uinsby.ac.id/index.php/mantik/index,published,TRUE,45-52,Jurnal Matematika MANTIK,2527-3159,,8.0,,,,,,,,,,,,,
4,47121,7,show,"Hasil cek similaritas karya ilmiah berjudul 'Rough Rings, Rough Subrings, and Rough Ideals'",['QA'],,archive,2022-12-02 09:31:18,disk0/00/04/71/21,2022-11-01 00:00:00.000000000,"[{'name': {'family': 'Agusfrianto', 'honourific': None, 'lineage': None, 'given': 'Fakhry Asad'}, 'id': 'fakhry_asad@yahoo.com'}, {'id': 'fitriani_mathunila@yahoo.co.id', 'name': {'honourific': None, 'family': 'Fitriani', 'lineage': None, 'given': 'Fitriani'}}, {'id': 'yudi_mahatma@unj.ac.id', 'name': {'given': 'Yudi', 'honourific': None, 'family': 'Mahatma', 'lineage': None}}]",['FMIPA9'],other,http://repository.lppm.unila.ac.id/id/eprint/47121,public,unpub,Universitas Diponegoro,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/186063', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 1274254, 'mime_type': 'application/pdf', 'fileid': 517638, 'filename': 'Hasil cek Similaritas_Rough Ring_Fakhry.pdf (1).pdf', 'hash': 'f323fdf375d58b38e97b8c12d7b8842e', 'hash_type': 'MD5', 'mtime': '2022-12-02 06:19:45', 'objectid': 186063, 'uri': 'http://repository.lppm.unila.ac.id/id/file/517638'}], 'main': 'Hasil cek Similaritas_Rough Ring_Fakhry.pdf (1).pdf', 'docid': 186063, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 47121}]",2022-12-02 09:31:18,2022-12-02 09:31:18,263,,,,,published,,,,,,,,,,,,,,,,,,,
5,47116,6,show,"Rough Rings, Rough Subrings, and Rough Ideals",['QA'],"The basic concept in algebra namely set theory can be expanded into rough set theory. Basic operations on the set such as intersections, unions, differences, and complements still apply to rough sets. In addition, one of the applications on rough sets is the use of rough matrices in decision-making processes. Furthermore, mathematical or informatic researchers who work on rough sets connect the concept of rough sets with algebraic structures (e.g. groups, rings, and modules) so that a concept called rough algebraic structures is obtained. Since the research related to rough sets is mostly carried out at the same time, different concepts have emerged related to rough sets and rough algebraic structures. In this paper, new definitions of the rough ring and rough subring will be given along with related examples and theorems. Furthermore, it will also be defined the left ideal and the right ideal of the rough ring along with examples. Finally, we will discuss the theorem regarding rough ideals.",archive,2022-12-02 01:25:39,disk0/00/04/71/16,2022-11-25 00:00:00.000000000,"[{'id': 'fakhry_asad@yahoo.com', 'name': {'given': 'Fakhry Asad', 'lineage': None, 'family': 'Agusfrianto', 'honourific': None}}, {'name': {'given': 'Fitriani', 'lineage': None, 'family': 'Fitriani', 'honourific': None}, 'id': 'fitriani_mathunila@yahoo.co.id'}, {'name': {'family': 'Mahatma', 'honourific': None, 'lineage': None, 'given': 'Yudi'}, 'id': 'yudi_mahatma@unj.ac.id'}]",['FMIPA9'],article,http://repository.lppm.unila.ac.id/id/eprint/47116,public,pub,"Department of Mathematics, Faculty of Science and Mathematics, Diponegoro University","[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/517575', 'objectid': 186058, 'filesize': 1249478, 'datasetid': 'document', 'hash': 'f5b10b9b5d031cbebb8fa0b3af1abe12', 'filename': 'Rough Ring_Fakhry.pdf', 'mtime': '2022-12-02 00:27:03', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 517575}], 'docid': 186058, 'main': 'Rough Ring_Fakhry.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186058', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 47116, 'language': 'en', 'mime_type': 'application/pdf'}]",2022-12-02 01:25:39,2022-12-02 01:25:39,263,2.0,,,https://ejournal2.undip.ac.id/index.php/jfma/article/view/15194,,TRUE,1-3,Journal of Fundamental Mathematics and Applications (JFMA),2621-6019,,5.0,"[1] Z. Pawlak, “Rough Sets,” Int. J. Comput. Inf. Sci., vol. 11, no. 5, pp. 341–356, 1982, doi: 10.1007/978-1-4613-1461-5_1.

[2] B. Davvaz, “Roughness in rings,” Inf. Sci. (Ny)., vol. 164, no. 1–4, pp. 147–163, 2004, doi: 10.1016/j.ins.2003.10.001.

[3] Q. F. Zhang, A. M. Fu, and S. X. Zhao, “Rough modules and their some properties,” Proc. 2006 Int. Conf. Mach. Learn. Cybern., vol. 2006, August, pp. 2290–2293, 2006, doi: 10.1109/ICMLC.2006.258675.

[4] R. Radhamani and V. S. Selvi, “An Application of Soft Set and Fuzzy Set in Decision Making,” Int. J. Appl. Eng. Res., vol. 14, no. 3, pp. 75–78, 2019.

[5] S. Vijayabalaji and P. Balaji, “Rough matrix theory and its decision making,” Int. J. Pure Appl. Math., vol. 87, no. 6, pp. 845–853, 2013, doi: 10.12732/ijpam.v87i6.13.

[6] J. A. Gallian, Contemporary Abstract Algebra, Ninth Edition. CENGAGE Learning, 2017.

[7] W. Adkins and S. H. Weintraub, Algebra : An Approach Via Module Theory. Baton Rouge: Springer-Verlag, 1992.

[8] A. A. Nugraha, Fitriani, M. Ansori, and A. Faisol, “The Implementation of Rough Set on a Group Structure,” J. Mat. Mantik, vol. 8, no. 1, pp. 45–52, 2022, doi: 10.15642/mantik.2022.8.1.pp.

[9] D. Miao, S. Han, D. Li, and L. Sun, “Rough Group , Rough Subgroup an Their Properties,” in Lecture Notes in Artificial Intelligence, no. 3641, 2005, pp. 104–113.

[10] N. Bagirmaz and A. F. Ozcan, “Rough semigroups on approximation spaces,” Int. J. Algebr., vol. 9, no. 7, pp. 339–350, 2015, doi: 10.12988/ija.2015.5742.

[11] A. K. Sinha and A. Prakash, “Rough exact sequences of modules,” Int. J. Appl. Eng. Res., vol. 11, no. 4, pp. 2513–2517, 2016.

[12] B. Davvaz and M. Mahdavipour, “Roughness in modules,” Inf. Sci. (Ny)., vol. 176, no. 24, pp. 3658–3674, 2006, doi: 10.1016/j.ins.2006.02.014.

[13] P. Isaac and U. Paul, “Rough G-modules and their properties,” Adv. Fuzzy Math., vol. 12, no. 1, pp. 93–100, 2017.

[14] S. T. Almohammadi and C. ¨Ozel, “A New Approach to Rough Vector Spaces,” Gen. Lett. Math., vol. 6, no. 1, pp. 1–9, 2019, doi: 10.31559/glm2019.6.1.1.

[15] S. Wahyuni, I. E. Wijayanti, D. A. Yuwaningsih, and A. D. Hartanto, Teori Ring dan Modul. Yogyakarta: Gadjah Mada University Press, 2016.

[16] I. N. Herstein, Abstract Algebra, Third Edition. New Jersey: PRENTICE-HALL, 1996.",,,,,,,,,,,,
6,39993,7,show,"Convergence Rates of Maxima of Non-identical
Sums",['HA'],,archive,2022-03-09 01:05:01,disk0/00/03/99/93,2022-03-06 00:00:00.000000000,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Ahmad', 'given': 'Ibrahim A.'}, 'id': 'iahmad@okstate.edu'}, {'name': {'given': 'Netti', 'lineage': None, 'honourific': None, 'family': 'Herawati'}, 'id': 'netti.herawati@fmipa.unila.ac.id'}]",['FMIPA9'],article,http://repository.lppm.unila.ac.id/id/eprint/39993,public,pub,University of the Punjab,"[{'docid': 161282, 'main': 'Convergenge rates.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/447509', 'objectid': 161282, 'mtime': '2022-03-08 11:05:58', 'hash_type': 'MD5', 'hash': '03a18af3ea56630e62dd7fa19facac86', 'filename': 'Convergenge rates.pdf', 'fileid': 447509, 'mime_type': 'application/pdf', 'filesize': 210886, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/161282', 'rev_number': 1, 'eprintid': 39993, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",2022-03-09 01:05:01,2022-03-09 01:05:01,959,1.0,,https://doi.org/10.18187/pjsor.v18i1.3746,https://pjsor.com/pjsor/article/view/3746,published,TRUE,245-248,Pakistan Journal of Statistics and Operation Research (PJSOR),2220-5810,,18.0,,[{'url': 'https://pjsor.com/pjsor/article/view/3746'}],,,,,,,,,,,
7,44048,11,show,Prediksi Covid-19 di Provinsi Lampung Menggunakan Metode Artificial Neural Network dengan K-Fold Cross Validation,['QA76'],,archive,2022-08-15 01:36:51,disk0/00/04/40/48,2022-08-01 00:00:00.000000000,"[{'id': None, 'name': {'given': 'Nur', 'lineage': None, 'family': 'Alifiah', 'honourific': None}}, {'name': {'given': 'Dian', 'lineage': None, 'honourific': None, 'family': 'Kurniasari'}, 'id': 'dian.kurniasari@fmipa.unila.ac.id'}, {'id': 'amanto.1973@fmipa.unila.ac.id', 'name': {'given': 'Amanto', 'lineage': None, 'family': 'Amanto', 'honourific': None}}, {'id': 'klppm@kpa.unila.ac.id', 'name': {'given': 'Warsono', 'family': 'Warsono', 'honourific': None, 'lineage': None}}]",['FMIPA9'],patent,http://repository.lppm.unila.ac.id/id/eprint/44048,public,pub,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/166053', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'objectid': 166053, 'uri': 'http://repository.lppm.unila.ac.id/id/file/479055', 'datasetid': 'document', 'filesize': 2094808, 'mime_type': 'application/pdf', 'fileid': 479055, 'hash': 'ddf87dbf594f6459988928bc7650ee67', 'filename': '4. Sertifikat_Haki_Nur_Alifiah.pdf', 'hash_type': 'MD5', 'mtime': '2022-08-14 15:45:56'}], 'docid': 166053, 'main': '4. Sertifikat_Haki_Nur_Alifiah.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 44048}]",2022-08-15 01:36:51,2022-08-15 01:36:51,752,,,EC00202249410,,published,,,,,,,,,SURAT PENCATATAN CIPTAAN,,,,,,,,,,
8,45220,9,show,Enumerate the Number of Vertices Labeled Connected Graph of Order Seven Containing No Parallel Edges,['QA'],"A graph that is connected G(V,E) is a graph in which there is at least one path connecting every two vertices in G; otherwise, it is called
a disconnected graph. Labels or values can be assigned to the vertices or edges of a graph. A vertex-labeled graph is one in which
only the vertices are labeled, and an edges-labeled graph is one in which only edges are assigned values or labels. If both vertices
and edges are labeled, the graph is referred to as total labeling. If given n vertices and m edges, numerous graphs can be made,
either connected or disconnected. This study will be discussed the number of disconnected vertices labeled graphs of order seven
containing no parallel edges and may contain loops. The results show that number of vertices labeled connected graph of order seven with no parallel edges is N(G7,m, g ºl= 6,727×Cm6; while for 7�g� 21, N(G7,m, g ºl= kg C¹m",archive,2022-09-26 01:33:23,disk0/00/04/52/20,2022-07-03 00:00:00.000000000,"[{'name': {'family': 'Ansori', 'honourific': None, 'lineage': None, 'given': 'Muslim'}, 'id': 'ansomath@yahoo.com'}, {'id': 'wamiliana@gmail.com', 'name': {'honourific': None, 'family': 'Wamiliana', 'lineage': None, 'given': 'Wamiliana'}}, {'name': {'honourific': None, 'family': 'Fitriani', 'lineage': None, 'given': 'Fitriani'}, 'id': 'fitriani_mathunila@yahoo.co.id'}, {'id': None, 'name': {'given': 'Yudi', 'lineage': None, 'honourific': None, 'family': 'Antoni'}}, {'id': None, 'name': {'given': 'Desiana', 'family': 'Putri', 'honourific': None, 'lineage': None}}]",['FMIPA9'],article,http://repository.lppm.unila.ac.id/id/eprint/45220,public,pub,"esearch Center of Inorganic Materials and Coordination Complexes, FMIPA Universitas Sriwijaya","[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 45220, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167171', 'rev_number': 1, 'docid': 167171, 'main': 'Enumerate the Number of Vertices Labeled Connected Graph of Order Seven ContainingNo Parallel Edges.pdf', 'files': [{'filesize': 744732, 'datasetid': 'document', 'filename': 'Enumerate the Number of Vertices Labeled Connected Graph of Order Seven ContainingNo Parallel Edges.pdf', 'hash': 'b941716287da86c8079228a61356bba7', 'hash_type': 'MD5', 'mtime': '2022-09-26 00:57:35', 'mime_type': 'application/pdf', 'fileid': 486837, 'uri': 'http://repository.lppm.unila.ac.id/id/file/486837', 'objectid': 167171}]}]",2022-09-26 01:33:23,2022-09-26 01:33:23,263,3.0,,,https://sciencetechindonesia.com/index.php/jsti/article/view/522,published,TRUE,392-399,Science and Technology Indonesia,e -ISSN:2580-4391 p -ISSN:2580-4405,,7.0,"Agnarsson, G. and R. Greenlaw (2006). GraphTheory: Modeling,
Applications, and Algorithms. Prentice-Hall, Inc.

Al Etaiwi,W. M. (2014). Encryption Algorithm Using Graph
Theory. Journal of Scienti�c Research andReports, 3(19); 2519–2527.

Álvarez, M. C. and D. Ehnts (2015). The Roads Not Taken:
Graph Theory and Macroeconomic Regimes in Stock-Flow Consistent Modeling. Working Paper.

Amanto, A., N. Notiragayu, L. Zakaria, and W. Wamiliana
(2021). The Relationship of the Formulas for the Number
of Connected Vertices Labeled Graphs with Order Five and
Order Six without Loops. Desimal: Jurnal Matematika, 4(3);
357–364.

Amanto, A., W. Wamiliana, M. Usman, and R. Permatasari
(2017). Counting the Number of Disconnected Vertex Labelled
Graphs with Order Maximal Four. Science International
Lahore, 29(6); 1181–1186.

Ansori, M.,W.Wamiliana, and F. Puri (2021). Determining
the Number of Connected Vertex Labeled Graphs of Order
Seven without Loops by Observing the Patterns of Formula
for Lower Order Graphs with Similar Property. Science and
Technology Indonesia, 6(4); 328–336.

Bogart, K. P. (2004). Combinatorics Through Guided Discovery. LibreText

Bona, M. (2007). Introduction to Enumerative Combinatorics.
McGraw-Hill Science/Engineering/Math

Brandes, U. and S. Cornelsen (2009). Phylogenetic Graph
Models Beyond Trees. Discrete AppliedMathematics, 157(10);
2361–2369

Burch, K. J. (2019). Chemical Applications of Graph Theory.
In Mathematical Physics in Theoretical Chemistry. Elsevier,
pages 261–294

Cayley, P. (1874). LVII. On the Mathematical Theory of
Isomers. The London, Edinburgh, and Dublin Philosophical
Magazine and Journal of Science, 47(314); 444–447

Gramatica, R., T. Di Matteo, S. Giorgetti, M. Barbiani,
D. Bevec, and T. Aste (2014). Graph Theory Enables Drug
Repurposing–How a Mathematical Model Can Drive the
Discovery of Hidden Mechanisms of Action. PloS One, 9(1);
e84912

Holmes, T.D., R. H. Rothman, andW. B. Zimmerman (2021).
Graph Theory Applied to Plasma Chemical Reaction Engineering.Plasma Chemistry and Plasma Processing, 41(2);
531–557

Hsu, L. H. and C. K. Lin (2008). Graph Theory and Interconnection Networks. CRC Press

Huson, D. H. and D. Bryant (2006). Application of Phylogenetic Networks in Evolutionary Studies. Molecular Biology and Evolution, 23(2); 254–267.

Kannimuthu, S., D. Bhanu, and K. Bhuvaneshwari (2020). A
Novel Approach for Agricultural Decision Making Using
Graph Coloring. SN Applied Sciences, 2(1); 1–6.

Kawakura, S. and R. Shibasaki (2018). Grouping Method
Using Graph Theory for AgriculturalWorkers Engaging in
Manual Tasks. Journal of Advanced Agricultural Technologies,
5(3); 173–181.

Mathur, R. and N. Adlakha (2016). A Graph Theoretic Model
for Prediction of Reticulation Events and Phylogenetic Networks for DNA Sequences. Egyptian journal of Basic and
Applied Sciences, 3(3); 263–271

Ni, B., R. Qazi, S. U. Rehman, and G. Farid (2021). Some
Graph-Based Encryption Schemes. Journal of Mathematics,
2021; 1–8.

Priyadarsini, P. (2015). A Survey on Some Applications of
Graph Theory in Cryptography. Journal of Discrete Mathematical Sciences and Cryptography, 18(3); 209–217.

Puri, F., M. Usman, M. Ansori, and Y. Antoni (2021). The
Formula to Count the Number of Vertices Labeled Order
Six Connected Graphs with Maximum Thirty Edges without
Loops. Journal of Physics: Conference Series, 1751(1); 012023.

Singh, R. P. (2014). Application of Graph Theory in Computer
Science and Engineering. International Journal of Computer
Applications, 104(1)

Vasudev, C. (2006). Graph Theory with Applications. New Age International. Page 398 of 399

Ansori et. al. Science and Technology Indonesia, 7 (2022) 392-399.

Wamiliana,W., A. Amanto, M. Usman, M. Ansori, and F. C.
Puri (2020). Enumerating the Number of Connected Vertices
Labeled Graph of Order Six with Maximum Ten Loops
and Containing No Parallel Edges. Science and Technology
Indonesia, 5(4); 131–135.

Wamiliana, W., A. Nuryaman, A. Sutrisno, and N. Prayoga
(2019). Determining the Number of Connected Vertices
Labelled Graph of Order Five with Maximum Number of
Parallel Edges is Five and Containing No Loops. Journal of
Physics: Conference Series, 1338; 012043",,,,,,,,,,,,
9,45221,8,show,"Hasil cek similaritas artikel berjudul 'Enumerate the Number of Vertices Labeled Connected Graph of Order Seven Containing
No Parallel Edges'",['QA'],,archive,2022-09-26 01:33:25,disk0/00/04/52/21,2022-07-03 00:00:00.000000000,"[{'name': {'given': 'Muslim', 'honourific': None, 'family': 'Ansori', 'lineage': None}, 'id': 'ansomath@yahoo.com'}, {'name': {'lineage': None, 'family': 'Wamiliana', 'honourific': None, 'given': 'Wamiliana'}, 'id': 'wamiliana@gmail.com'}, {'id': 'fitriani_mathunila@yahoo.co.id', 'name': {'honourific': None, 'family': 'Fitriani', 'lineage': None, 'given': 'Fitriani'}}, {'name': {'family': 'Antoni', 'honourific': None, 'lineage': None, 'given': 'Yudi'}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': 'Putri', 'lineage': None, 'given': 'Desiana'}}]",['FMIPA9'],other,http://repository.lppm.unila.ac.id/id/eprint/45221,public,unpub,"Research Center of Inorganic Materials and Coordination Complexes, FMIPA Universitas Sriwijaya","[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167172', 'format': 'text', 'pos': 1, 'files': [{'objectid': 167172, 'uri': 'http://repository.lppm.unila.ac.id/id/file/486847', 'mime_type': 'application/pdf', 'fileid': 486847, 'filename': 'Enumerate the Number of Vertices Labeled Connected Graph of Order Seven Containing No Parallel Edges (1).pdf', 'hash': 'fb2f65ec91bc89b9e8aabcb0d03f3ed7', 'hash_type': 'MD5', 'mtime': '2022-09-26 01:22:20', 'datasetid': 'document', 'filesize': 794320}], 'main': 'Enumerate the Number of Vertices Labeled Connected Graph of Order Seven Containing No Parallel Edges (1).pdf', 'docid': 167172, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 45221}]",2022-09-26 01:33:25,2022-09-26 01:33:25,263,,,,,,,,,,,,,,,,,,,,,,,,
