,divisions,type,date,dir,publication,issn,creators,pagerange,datestamp,lastmod,userid,full_text_status,uri,refereed,ispublished,number,documents,publisher,date_type,eprintid,subjects,abstract,eprint_status,status_changed,rev_number,volume,metadata_visibility,title,official_url,id_number,pages,patent_applicant,related_url
0,['FMIPA9'],article,2023-04-01 00:00:00.000000000,disk0_bak/00/04/96/03,Jurnal Teknik Informatika (JUTIF),2723-3871,"[{'id': None, 'name': {'given': 'Dalfa Habibah Nurul', 'lineage': None, 'honourific': None, 'family': 'Aini'}}, {'name': {'family': 'Kurniasari', 'honourific': None, 'lineage': None, 'given': 'Dian'}, 'id': 'dian.kurniasari@fmipa.unila.ac.id'}, {'id': 'aang.nuryaman@fmipa.unila.ac.id', 'name': {'given': 'Aang', 'honourific': None, 'family': 'Nuryaman', 'lineage': None}}, {'id': 'usman_alfha@yahoo.com', 'name': {'given': 'Mustofa', 'honourific': None, 'family': 'Usman', 'lineage': None}}]",365-372,2023-04-04 00:56:46,2023-04-04 00:56:46,752,public,http://repository.lppm.unila.ac.id/id/eprint/49603,TRUE,pub,2.0,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 49603, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189236', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/537855', 'objectid': 189236, 'filesize': 621579, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2023-04-03 23:17:55', 'hash': '26f1544f00612626a0551504e64dcac5', 'filename': 'Implementation of ANN with BP Algorithm for Rating Classification on Sales of Black mores in Tokopedia.pdf', 'fileid': 537855, 'mime_type': 'application/pdf'}], 'docid': 189236, 'main': 'Implementation of ANN with BP Algorithm for Rating Classification on Sales of Black mores in Tokopedia.pdf'}]","Informatics, Universitas Jenderal Soedirman",published,49603,['QA76'],"The rating assessment classification contains feedback from consumers, which is given in the form of stars which aims to assess a product. However, the amount of data in the classification process often have differences in each class or is called an imbalanced dataset. These problems can affect the classification results. An imbalanced dataset can be overcome by applying random oversampling. To classify the rating assessment, this study proposes the Neural network method, which has a good accuracy level with the backpropagation algorithm and applies random oversampling to overcome the unbalanced amount of data. The results indicate that the neural network method with the backpropagation algorithm can classify the available data with an accuracy level of 85%. The application of resampling data using random oversampling and determining the amount of distribution of training data, testing data, number of epochs and the correct number of batch sizes affect the results obtained.",archive,2023-04-04 00:56:46,6,4.0,show,IMPLEMENTATION OF ARTIFICIAL NEURAL NETWORK WITH BACKPROPAGATION ALGORITHM FOR RATING CLASSIFICATION ON SALES OF BLACKMORES IN TOKOPEDIA,http://jutif.if.unsoed.ac.id/index.php/jurnal,,,,
1,['FMIPA9'],article,2023-04-28 00:00:00.000000000,disk0_bak/00/05/08/32,Journal ofInformation Systems Engineeringand Business Intelligence,2443-2555,"[{'id': None, 'name': {'given': 'Nur', 'lineage': None, 'family': 'Alifiah', 'honourific': None}}, {'id': 'dian.kurniasari@fmipa.unila.ac.id', 'name': {'given': 'Dian', 'honourific': None, 'family': 'Kurniasari', 'lineage': None}}, {'id': 'amanto.1973@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Amanto', 'given': 'Amanto'}}, {'id': 'warsono.1963@fmipa.unila.ac.id', 'name': {'family': 'Warsono', 'honourific': None, 'lineage': None, 'given': 'Warsono'}}]",16-27,2023-05-02 01:38:27,2023-05-02 01:38:27,752,public,http://repository.lppm.unila.ac.id/id/eprint/50832,TRUE,pub,1.0,"[{'main': '[2]+Alifiah+et+al.pdf', 'docid': 190542, 'files': [{'datasetid': 'document', 'filesize': 1542440, 'fileid': 547428, 'mime_type': 'application/pdf', 'mtime': '2023-04-28 22:32:53', 'hash_type': 'MD5', 'filename': '[2]+Alifiah+et+al.pdf', 'hash': '3951dedbba46d3557b66f4e795090582', 'objectid': 190542, 'uri': 'http://repository.lppm.unila.ac.id/id/file/547428'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190542', 'eprintid': 50832, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",Universitas Airlangga.,published,50832,['QA76'],"Background: COVID-19 is a disease that attacks the respiratory system and is highly contagious, so cases of the spread of COVID-19 are increasing every day. The increase in COVID-19 cases cannot be predicted accurately, resulting in a shortage of services, facilities and medical personnel. This number will always increase if the community is not vigilant and actively reduces the rate of adding confirmed cases. Therefore, public awareness and vigilance need to be increased by presenting information on predictions of confirmed cases, recovered cases, and cases of death of COVID-19 so that it can be used as a reference for the government in taking and establishing a policy to overcome the spread of COVID-19.Objective: This research predicts COVID-19 in confirmed cases, recovered cases, and death cases in Lampung ProvinceMethod: This study uses the ANN method to determine the best network architecture for predicting confirmed cases, recovered cases, and deaths from COVID-19 using the k-fold cross-validation method to measure predictive model performance.Results: The method used has a good predictive ability with an accuracy value of 98.22% for confirmed cases, 98.08% for cured cases, and 99.05% for death cases.Conclusion: The ANN method with k-fold cross-validation to predict confirmed cases, recovered cases, and COVID-19 deaths in Lampung Province decreased from October 27,2021,to January 24,2022.",archive,2023-05-02 01:38:27,6,9.0,show,Prediction of COVID-19 Using the Artificial Neural Network (ANN) with K-Fold Cross-Validation,https://e-journal.unair.ac.id/index.php/JISEBI,,,,
2,['FMIPA9'],article,2023-01-01 00:00:00.000000000,disk0_bak/00/04/82/57,Mathematics and Statistics,2332-2071,"[{'id': 'asmiati,1976@fmipa.unila.ac.id', 'name': {'given': 'Asmiati', 'family': 'Asmiati', 'honourific': None, 'lineage': None}}, {'id': None, 'name': {'lineage': None, 'family': 'Irawan', 'honourific': None, 'given': 'Agus'}}, {'id': 'aang.nuryaman@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Nuryaman', 'given': 'Aang'}}, {'id': 'kurnia.muludi@fmipa.unila.ac.id', 'name': {'given': 'Kurnia', 'family': 'Muludi', 'honourific': None, 'lineage': None}}]",101-106,2023-02-02 01:56:49,2023-02-02 01:56:49,821,public,http://repository.lppm.unila.ac.id/id/eprint/48257,TRUE,pub,1.0,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/187517', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'filesize': 323600, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2023-02-02 01:13:32', 'hash': '08a6281283ba5486aef19ff80bc860df', 'filename': 'The Locating Chromatic Number for Certain Operation Origami Graphs.pdf', 'fileid': 527216, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/527216', 'objectid': 187517}], 'main': 'The Locating Chromatic Number for Certain Operation Origami Graphs.pdf', 'docid': 187517, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 48257}]",Horizon Research Publishing,published,48257,['QA'],"The locating chromatic number introduced by
Chartrand et al. in 2002 is the marriage of the partition
dimension and graph coloring. The locating chromatic number
depends on the minimum number of colors used in the locating
coloring and the different color codes in vertices on the graph.
There is no algorithm or theorem to determine the locating
chromatic number of any graph carried out for each graph
class or the resulting graph operation. This research is the
development of scientific theory with a focus of the study on
developing new ideas to determine the extent to which the
locating chromatic number of a graph increases when applied
to other operations. The locating chromatic number of the
origami graph was obtained. The next exciting thing to know
is locating chromatic number for certain operation of origami
graphs. This paper discusses locating chromatic number for
specific operation of origami graphs. The method used in
this study is to determine the upper and lower bound of the
locating chromatic number for certain operation of origami
graphs. The result obtained is an increase of one color in the
locating chromatic number of origami graphs",archive,2023-02-02 01:56:49,6,11.0,show,"The Locating Chromatic Number for Certain Operation
of Origami Graphs",,10.13189/ms.2023.110111,,,
3,['FMIPA9'],article,2023-04-03 00:00:00.000000000,disk0_bak/00/04/96/94,"Proceedings of the 5th International Conference on Networking, Information Systems & Security: Envisage Intelligent Systems in 5G/6G-based Interconnected Digital Worlds NISS 2022",978-1-6654-5363-9,"[{'id': 'luthfiaanurazizah@gmail.com', 'name': {'lineage': None, 'family': 'Azizah', 'honourific': None, 'given': 'Luthfia Nur'}}, {'name': {'given': 'Purnomo Husnul', 'family': 'Khotimah', 'honourific': None, 'lineage': None}, 'id': 'purn005@brin.go.id'}, {'id': None, 'name': {'lineage': None, 'family': 'Arisal', 'honourific': None, 'given': 'Andria'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Rozie', 'given': 'Andri Fachrur'}, 'id': None}, {'name': {'given': 'Devi', 'honourific': None, 'family': 'Munandar', 'lineage': None}, 'id': None}, {'name': {'given': 'Dianadewi', 'lineage': None, 'family': 'Riswantini', 'honourific': None}, 'id': None}, {'name': {'given': 'Ekasari', 'family': 'Nugraheni', 'honourific': None, 'lineage': None}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': 'Suwarningsih', 'lineage': None, 'given': 'Wiwin'}}, {'id': 'dian.kurniasari@fmipa.unila.ac.id', 'name': {'given': 'Dian', 'honourific': None, 'family': 'Kurniasari', 'lineage': None}}]",,2023-04-06 00:53:15,2023-04-06 00:53:15,752,public,http://repository.lppm.unila.ac.id/id/eprint/49694,TRUE,pub,,"[{'main': 'The_Investigation_into_Deep_Learning_Classifiers_Towards_Imbalanced_Text_Data.pdf', 'docid': 189334, 'files': [{'objectid': 189334, 'uri': 'http://repository.lppm.unila.ac.id/id/file/538598', 'datasetid': 'document', 'filesize': 721309, 'fileid': 538598, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-04-05 08:11:46', 'filename': 'The_Investigation_into_Deep_Learning_Classifiers_Towards_Imbalanced_Text_Data.pdf', 'hash': '183cb2049e458aa043e87b6458dbffe6'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189334', 'rev_number': 1, 'eprintid': 49694, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",IEEE,published,49694,['QA76'],"Class imbalance is an important classification problem where failure to identify events can be hazardous due to failure of solution preparation or opportune handling. Minorities are mostly more consequential in such cases. It is necessary to know a reliable classifier for imbalanced classes. This study examines several conventional machine learning and deep learning methods to compare the performance of each method on dataset with imbalanced classes. We use COVID-19 online news titles to simulate different class imbalance ratios. The results of our study demonstrate the superiority of the CNN with embedding layer method on a news titles dataset of 16,844 data points towards imbalance ratios of 37%, 30%, 20%, 10%, and 1%. However, CNN with embedding layer showed a noticeable performance degradation at an imbalance ratio of 1%. 
Index Terms—deep learning, classifier, online news, performance",archive,2023-04-06 00:53:15,10,,show,"The Investigation into Deep Learning Classifiers
Towards Imbalanced Text Data",https://ieeexplore.ieee.org/xpl/conhome/10084916/proceeding,,,,
4,['FMIPA9'],patent,2023-08-15 00:00:00.000000000,disk0_bak/00/05/24/22,,,"[{'id': None, 'name': {'given': 'Irma', 'lineage': None, 'honourific': None, 'family': 'Destiana'}}, {'name': {'given': 'Warsono', 'family': 'Warsono', 'honourific': None, 'lineage': None}, 'id': 'warsono.1963@fmipa.unila.ac.id'}, {'name': {'family': 'Kurniasari', 'honourific': None, 'lineage': None, 'given': 'Dian'}, 'id': 'dian.kurniasari@fmipa.unila.ac.id'}, {'id': 'nusyirwan.1966@fmipa.unila.ac.id', 'name': {'given': 'Nusyirwan', 'honourific': None, 'family': 'Nusyirwan', 'lineage': None}}]",,2023-08-21 02:46:49,2023-08-21 02:46:49,752,public,http://repository.lppm.unila.ac.id/id/eprint/52422,,pub,,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/253962', 'rev_number': 1, 'docid': 253962, 'main': 'Sertifikat_HaKI Irma.pdf', 'files': [{'filesize': 2109639, 'datasetid': 'document', 'filename': 'Sertifikat_HaKI Irma.pdf', 'hash': 'c7cbd9b6a4cc6c6c565ecc4d0e25d4d1', 'hash_type': 'MD5', 'mtime': '2023-08-20 22:07:11', 'mime_type': 'application/pdf', 'fileid': 621339, 'uri': 'http://repository.lppm.unila.ac.id/id/file/621339', 'objectid': 253962}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 52422, 'placement': 1, 'security': 'public'}]",,published,52422,['QA76'],,archive,2023-08-21 02:46:49,7,,show,"Peramalan Ekspor Impor Indonesia dengan Metode Hybrid Vector
Autoregressive Exogenous-Convolutional Neural Network (VARX�CNN)",,EC00202367285,2.0,Program Komputer,
5,['FMIPA9'],article,2023-01-10 00:00:00.000000000,disk0_bak/00/04/76/89,International Journal of Latest Engineering Research and Applications (IJLERA),2455-7137,"[{'name': {'honourific': None, 'family': 'Herawati', 'lineage': None, 'given': 'Netti'}, 'id': 'netti.herawati@fmipa.unila.ac.id'}, {'id': None, 'name': {'family': 'Chandra', 'honourific': None, 'lineage': None, 'given': 'Dharnita'}}, {'id': None, 'name': {'given': 'Dhea', 'lineage': None, 'honourific': None, 'family': 'Rizki'}}, {'name': {'family': 'Nisa', 'honourific': None, 'lineage': None, 'given': 'Khoirin'}, 'id': 'khoirin.nisa@fmipa.unila.ac.id'}]",46-53,2023-01-11 08:11:40,2023-01-11 08:11:40,959,public,http://repository.lppm.unila.ac.id/id/eprint/47689,TRUE,pub,1.0,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186783', 'format': 'text', 'pos': 1, 'files': [{'hash_type': 'MD5', 'mtime': '2023-01-10 10:27:21', 'hash': '03c5abedc3a211513088640ccc4a03df', 'filename': 'A high order IJLERA Januari 2023.pdf', 'fileid': 522369, 'mime_type': 'application/pdf', 'filesize': 761639, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/522369', 'objectid': 186783}], 'docid': 186783, 'main': 'A high order IJLERA Januari 2023.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 47689}]",IJLERA,published,47689,['QA'],,archive,2023-01-11 08:11:40,6,8.0,show,"A High-Order Fuzzy Time Series Forecasting Method Based on
an Intersection Operation for Forecasting USD Foreign Exchange
Rate",http://www.ijlera.com/index.html,,,,
6,['FMIPA9'],article,2023-03-01 00:00:00.000000000,disk0_bak/00/05/18/87,Jurnal Buguh,P-ISSN : 2776-3749 E-ISSN : 2808-1412,"[{'id': 'netti.herawati@fmipa.unila.ac.id', 'name': {'given': 'Netti', 'family': 'Herawati', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Eri', 'lineage': None, 'family': 'Setiawan', 'honourific': None}, 'id': None}, {'id': 'khoirin.nisa@fmipa.unila.ac.id', 'name': {'given': 'Khoirin', 'family': 'Nisa', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Subian', 'lineage': None, 'family': 'Saidi', 'honourific': None}, 'id': 'subian.saidi@fmipa.unila.ac.id'}, {'name': {'given': 'Agus', 'honourific': None, 'family': 'Sutrisno', 'lineage': None}, 'id': 'agus.sutrisno@fmipa.unila.ac.id'}, {'id': 'dorrah.aziz@fmipa.unila.ac.i', 'name': {'given': 'Dorrah', 'family': 'Azis', 'honourific': None, 'lineage': None}}]",63-67,2023-05-21 03:43:58,2023-05-21 03:43:58,959,public,http://repository.lppm.unila.ac.id/id/eprint/51887,TRUE,pub,1.0,"[{'eprintid': 51887, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 250959, 'main': 'article Buguh 16 mar 2023.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/614739', 'objectid': 250959, 'filesize': 312560, 'datasetid': 'document', 'hash': '5e389422106400da66050b39fb709475', 'filename': 'article Buguh 16 mar 2023.pdf', 'mtime': '2023-05-19 22:45:58', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 614739}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/250959'}]",Badan Pengelola KKN UNila,published,51887,['QA'],,archive,2023-05-21 03:43:58,7,3.0,show,"PEMBUATAN PUPUK CAIR ORGANIK BERSAMA KELOMPOK
WANITA TANI PADANG MANIS",https://jurnalbuguh.unila.ac.id/index.php/buguh,,,,
7,['FMIPA9'],article,2023-06-13 00:00:00.000000000,disk0_bak/00/05/21/61,International Journal of Innovative Science and Research Technology,2456-2165,"[{'name': {'honourific': None, 'family': 'Herawati', 'lineage': None, 'given': 'Netti'}, 'id': 'netti.herawati@fmipa.unila.ac.id'}, {'id': None, 'name': {'given': 'A', 'honourific': None, 'family': 'fitriyani', 'lineage': None}}, {'id': 'subian.saidi@gmail.com', 'name': {'family': 'Saidi', 'honourific': None, 'lineage': None, 'given': 'Subian'}}, {'name': {'lineage': None, 'family': 'Setiawan', 'honourific': None, 'given': 'Eri'}, 'id': None}, {'name': {'given': 'D', 'lineage': None, 'family': 'Meliantari', 'honourific': None}, 'id': None}]",31-39,2023-06-16 02:10:39,2023-06-16 02:10:39,959,public,http://repository.lppm.unila.ac.id/id/eprint/52161,TRUE,pub,6.0,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 52161, 'uri': 'http://repository.lppm.unila.ac.id/id/document/252449', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/618057', 'objectid': 252449, 'filename': 'Overdispersion data IJISRT 23 JUN1 23.pdf', 'hash': '0c3324e7745aa015226f398960fafb4f', 'mtime': '2023-06-15 08:16:20', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 618057, 'filesize': 710142, 'datasetid': 'document'}], 'main': 'Overdispersion data IJISRT 23 JUN1 23.pdf', 'docid': 252449}]",IJIRST,published,52161,['QA'],,archive,2023-06-16 02:10:39,7,8.0,show,"Overdispersion Data Modeling
Cases of Filariasis in East Lampung
Province, Indonesia",https://www.ijisrt.com/,https://doi.org/10.5281/zenodo.8031706,,,[{'url': 'https://bit.ly/3TmGbDi'}]
8,['FMIPA9'],patent,2023-07-28 00:00:00.000000000,disk0_bak/00/05/24/24,,,"[{'id': None, 'name': {'honourific': None, 'family': 'Hidayah', 'lineage': None, 'given': 'Rekti Nurul'}}, {'name': {'given': 'Dian', 'lineage': None, 'honourific': None, 'family': 'Kurniasari'}, 'id': 'dian.kurniasari@fmipa.unila.ac.id'}, {'name': {'given': 'Notiragayu', 'honourific': None, 'family': 'Notiragayu', 'lineage': None}, 'id': 'notiragayu@fmipa.unila.ac.id'}, {'id': 'warsono.1963@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Warsono', 'honourific': None, 'given': 'Warsono'}}]",,2023-08-21 02:46:52,2023-08-21 02:46:52,752,public,http://repository.lppm.unila.ac.id/id/eprint/52424,,pub,,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 52424, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/253979', 'main': 'Sertifikat HAKI_Rekti.pdf', 'docid': 253979, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/621368', 'objectid': 253979, 'filesize': 2109053, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2023-08-20 22:37:54', 'hash': '3f5265a433666d7b983e5fae3b5459a5', 'filename': 'Sertifikat HAKI_Rekti.pdf', 'fileid': 621368, 'mime_type': 'application/pdf'}]}]",,published,52424,['QA76'],,archive,2023-08-21 02:46:52,7,,show,"Klasifikasi Nilai Mahasiswa Universitas Lampung Menggunakan
Algoritma Naive Bayes Dan Random Forest",,EC00202360416,2.0,Program Komputer,
9,['FMIPA9'],patent,2023-08-09 00:00:00.000000000,disk0_bak/00/05/24/21,,,"[{'id': None, 'name': {'lineage': None, 'family': 'Isnaini', 'honourific': None, 'given': 'Nurul'}}, {'name': {'given': 'Warsono', 'lineage': None, 'family': 'Warsono', 'honourific': None}, 'id': 'warsono.1963@fmipa.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Kurniasari', 'honourific': None, 'given': 'Dian'}, 'id': 'dian.kurniasari@fmipa.unila.ac.id'}, {'id': 'nusyirwan.1966@fmipa.unila.ac.id', 'name': {'given': 'Nusyirwan', 'lineage': None, 'family': 'Nusyirwan', 'honourific': None}}]",,2023-08-21 02:46:47,2023-08-21 02:46:47,752,public,http://repository.lppm.unila.ac.id/id/eprint/52421,,pub,,"[{'docid': 253956, 'main': 'Sertifikat_HAKI Nurul.pdf', 'files': [{'objectid': 253956, 'uri': 'http://repository.lppm.unila.ac.id/id/file/621327', 'datasetid': 'document', 'filesize': 2109845, 'mime_type': 'application/pdf', 'fileid': 621327, 'hash': '6f4baf2e8bbb564201c70eb2ff800803', 'filename': 'Sertifikat_HAKI Nurul.pdf', 'hash_type': 'MD5', 'mtime': '2023-08-20 22:03:17'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/253956', 'eprintid': 52421, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",,published,52421,['QA76'],,archive,2023-08-21 02:46:47,7,,show,Hybrid Vector Autoregressive Exogenous (VARX) - Long Short Term Memory (LSTM) Untuk Peramalan Suku Bunga Kredit Investasi,,EC00202365143,2.0,Program Komputer,
