,refereed,full_text_status,uri,documents,ispublished,datestamp,lastmod,userid,dir,date,creators,issn,publication,divisions,type,metadata_visibility,rev_number,official_url,title,abstract,subjects,related_url,status_changed,eprint_status,date_type,eprintid,isbn,book_title,pagerange,publisher,corp_creators,keywords,monograph_type,id_number,pages,place_of_pub,department,institution,contact_email,volume,number,funders,contributors,event_dates,event_type,event_location,event_title,pres_type,projects,succeeds
0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/8931,"[{'docid': 22013, 'main': 'HAK PERDATA ANAK DALAM DUA SISTEM HUKUM.pdf', 'files': [{'objectid': 22013, 'uri': 'http://repository.lppm.unila.ac.id/id/file/86476', 'datasetid': 'document', 'filesize': 646599, 'mime_type': 'application/pdf', 'fileid': 86476, 'hash': '94fdf6bb6c86ad788cb0f7c0326ac418', 'filename': 'HAK PERDATA ANAK DALAM DUA SISTEM HUKUM.pdf', 'hash_type': 'MD5', 'mtime': '2018-10-22 08:30:49'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22013', 'eprintid': 8931, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,2018-10-31 02:47:42,2018-10-31 02:47:42,955,disk0/00/00/89/31,2016-11-02 00:00:00.000000000,"[{'id': 'amnawaty@yahoo.com', 'name': {'given': 'S.H., M.H', 'lineage': None, 'honourific': None, 'family': 'Amnawaty'}}]",2527-4201,Jurnal Ilmu Hukum,['FH3'],article,show,6,http://jurnal.saburai.ac.id/,"HAK PERDATA ANAK DARI PERKAWINAN SIRRI  PADA DUA SISTEM HUKUM
(HUKUM ISLAM DAN HUKUM INDONESIA)","Fakta sosial ada sebagian masyarakat melakukan perkawinan sirri.  Fakta hukumnya perkawinan secara agama (Islam) yang tidak dicatatkan maka perkawinan tersebut perspektif negara adalah perkawinan yang tidak sah.Akibat hukumnya adalah anak-anak yang lahir disebutkan sebagai anak tidak sah. Pespektif negara anak2 tersebut tidak punya hubungan perdata dengan bapaknya (Pasal 43 (lama) UUP.  Untuk perkawinan tidak dicatat  yang dilakukan oleh masyarakat non Islam, mereka dapat melakukan pengesahan anak, melalui pengadilan negeri. Sejauh ini peraturan untuk masyarakat yang menundukkan diri pada KUHPerdata hak-hak anak  yang lahir dari perkawinan tidak dicatat dapat  dilindungi oleh negara. Meskipun perkawinan secara sirri oleh umat Islam tidak dilindungi negara, tetapi hak keperdataan anak-anak tersebut tidak otomatis hilang. Dalam keluarga yang sakinah, mawaddah, dan warohmah hak anak-anak tetap terlindungi. Hanya dalam kasus tertentu saja hak anak dari perkawinan  sirri yang terabaikan


In social fact some people like to unregistered married. In law fact that not true and not legally. In the state perspective the children wa born in unregistered married is not legal. So the children have not relationship with their father. (old article 43 UUP)  But the children have a chance to legal children if can proof with knowledge and tecknology (new article 43 UUP). In Islamic Law, if the family have responsibility with full sakinah, mawaddah, warohmah, so far so good to protection their children. Just a special case the moslem children was born in unregister married no protection.",['K1'],[{'url': 'http://jurnal.saburai.ac.id/'}],2018-10-31 02:47:42,archive,published,8931,,,,,,,,,,,,,,,,,,,,,,,,
1,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/13497,"[{'placement': 1, 'security': 'public', 'eprintid': 13497, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'datasetid': 'document', 'filesize': 1875713, 'fileid': 118011, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-07-11 03:50:21', 'filename': 'amnawati monograf (Perlindungan Atas Hak Anak Muslim Yang Lahir.pdf', 'hash': '1448a899a574a8cdf101a243af7aa07a', 'objectid': 26506, 'uri': 'http://repository.lppm.unila.ac.id/id/file/118011'}], 'docid': 26506, 'main': 'amnawati monograf (Perlindungan Atas Hak Anak Muslim Yang Lahir.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26506', 'pos': 1, 'format': 'text'}]",pub,2019-08-01 07:29:35,2019-08-01 07:29:35,955,disk0/00/01/34/97,2016-10-01 00:00:00.000000000,"[{'name': {'family': 'Amnawaty', 'honourific': None, 'lineage': None, 'given': 'S.H., M.H'}, 'id': 'amnawaty@yahoo.com'}]",,,['FH3'],book_section,show,7,,Perlindungan Atas Hak Anak Muslim yang Lahir Pada Perkawinan Tidak Dicatat,,['K1'],,2019-08-01 07:29:35,archive,,13497,978-602-1351-57-4,Pemikiran Hukum Spiritual Pluralistik Sisi Lain Hukum yang Terlupakan,493-502,Thafa Media bantul Yogyakarta,,,,,,,,,,,,,,,,,,,,
2,,public,http://repository.lppm.unila.ac.id/id/eprint/14091,"[{'security': 'public', 'placement': 1, 'eprintid': 14091, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 122549, 'filename': 'Pemikiran Hukum Spiritual Prularistik Dr Amnawati.pdf', 'hash': 'cab43652bcca714197939010aa9cabe7', 'hash_type': 'MD5', 'mtime': '2019-09-09 03:13:05', 'datasetid': 'document', 'filesize': 3781944, 'objectid': 27132, 'uri': 'http://repository.lppm.unila.ac.id/id/file/122549'}], 'main': 'Pemikiran Hukum Spiritual Prularistik Dr Amnawati.pdf', 'docid': 27132, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27132', 'rev_number': 1, 'format': 'text', 'pos': 1}]",pub,2019-10-29 08:59:29,2019-10-29 08:59:29,955,disk0/00/01/40/91,2016-10-01 00:00:00.000000000,"[{'id': 'amnawaty@yahoo.com', 'name': {'given': 'S.H., M.H', 'lineage': None, 'family': 'Amnawaty', 'honourific': None}}]",,,['FH3'],monograph,show,7,,Perlindungan hak atas anak muslim yang lahir pada perkawinan tidak di catat,"Realitas di masyarakat terdapat sistem perkawina yang tidak di catat, sebagian masyarakat berhukum dengan hukum islam, penghulu dan hakim agama berhukum demgam hukum negara, sehingga  antara kedua sistem hukum ini tidak dapat harmoni. Pemasalahannya bagaimana perlindungan hak anak muslim yang lahir pada perkawinan tidak dicatat pasca putusan mahkamah konstitusi No. 46/PU-VIII/2010/PAJS. Dengan demikian perlindungan atas hak anak warga muslim pada perkawinan tidfak di catat (secara agama islam) belum dapat dipenuhi, meskipun pasla 43 UUP telah diperbaharui.",['K1'],,2019-10-29 08:59:29,archive,published,14091,,,,Thafa Media,['Thafa Media'],Perkawinan tidak di catat,discussion_paper,978-602-1351-57-4,493.0,Yogyakarta,Fakultas Hukum,Univeristas Lampung,,,,,,,,,,,,
3,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/6632,"[{'eprintid': 6632, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': 'Ati Yuniati Tebaran Pemikiran HAN.pdf', 'docid': 19600, 'files': [{'hash_type': 'MD5', 'mtime': '2018-03-21 08:50:07', 'filename': 'Ati Yuniati Tebaran Pemikiran HAN.pdf', 'hash': 'dfce2fe54a445444a4cc51888c60818c', 'fileid': 61170, 'mime_type': 'application/pdf', 'filesize': 2266957, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/61170', 'objectid': 19600}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19600', 'rev_number': 1}]",pub,2018-04-25 04:06:30,2018-04-25 04:06:30,278,disk0/00/00/66/32,2016-02-01 00:00:00.000000000,"[{'name': {'honourific': None, 'family': 'Ati Yuniati', 'lineage': None, 'given': 'Ati'}}]",,,['FH3'],book_section,show,7,,Kewenangan Inspektorat Dalam Melakukan Pengawasan Keuangan Negara,,['K1'],,2018-04-25 04:06:30,archive,,6632,978-602-72378-8-9,Tebaran Pemikiran,59-75,Sai Wawai Publishing,,,,,,,,,,,,,,,,,,,,
4,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/2714,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 2714, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2583', 'rev_number': 1, 'main': 'ShieldProceeding.pdf', 'docid': 2583, 'files': [{'filesize': 23708329, 'datasetid': 'document', 'mtime': '2017-06-01 04:23:49', 'hash_type': 'MD5', 'hash': 'bab80d18eda9e4b4f9482c0af42298d5', 'filename': 'ShieldProceeding.pdf', 'fileid': 18668, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/18668', 'objectid': 2583}]}]",pub,2017-06-02 11:55:08,2017-06-02 11:55:08,95,disk0/00/00/27/14,2016-11-02 00:00:00.000000000,"[{'name': {'lineage': None, 'family': 'Churul Aini', 'honourific': None, 'given': 'Desy'}, 'id': 'desychurulaini@yahoo.com'}]",,,['FH3'],book_section,show,8,http://shield.unila.ac.id/published-shield-proceeding/,The Regulation of Cabotage Principle in the United Nations Convention on the Law of the Sea 1982 (UNCLOS 1982) and the Implementation in Indonesia,"There are two facts about Indonesia that need serious concern, first; Indonesia is the biggest archipelagic state in the world, wherein, Indonesian marine area covering two thirds of the whole of the state; Second; Indonesia is located between two oceans and two continents that makes Indonesia as a state with the crowded shipping and trading lines. From those two facts, it could be a big potential on economic values, but it could be a serious threat on defense and security of Indonesia. Hence, it needs an application of the cabotage principle in Indonesian marine area comprehensively, so that the needs of Indonesia from the two aspects can be fulfilled equally. 
Result of the research showed that the application of cabotage principle in a marine area of a state set out by the Convention on the Law of the Sea 1982, which is divided into some zones: inland waters, territorial sea, straits used for international shipping, contiguous zones and the high seas. The implementation of cabotage principle in Indonesia can be seen by Article 7 and 8 in Law No. 17 of 2008 on the Navigation, Governmental Regulation No. 22 of 2011 on the Change of GR No. 20 of 2010 on Transportation in the Water (Article 5 and Article 206 (a)), Presidential Instruction No. 5 of 2005 on Empowerment the Navigation Industry of Indonesia, Regulation of the Minister of Transportation (RMT) No. PM 10 of 2014 on Procedures and the Granting of Licenses for the Use of Foreign Ship for Other Activities that Do Not Include Transporting Passengers and / or Goods in the Activities of Domestic Marine Transportation (Article 2 and 13), RMT No. KM 71 of 2005 on Carriage of Goods or Cargo between Domestic Seaports (Article 12).",['K1'],,2017-06-02 11:55:08,archive,published,2714,978-602-0860-114,Proceeding of 1st SHIELD international Conference,,Pasca Sarjana Universitas Lampung,,,,,14.0,,,,desychurulaini@yahoo.com,,,,,,,,,,,
5,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/2797,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2655', 'pos': 1, 'format': 'text', 'files': [{'hash': '9c8929b4353c787c36c0b4b3f76b1de5', 'filename': 'Prosiding HI 2016 (2).pdf', 'mtime': '2017-06-01 08:07:05', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 19153, 'filesize': 5515364, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/19153', 'objectid': 2655}], 'docid': 2655, 'main': 'Prosiding HI 2016 (2).pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 2797}]",pub,2017-07-20 08:56:37,2017-07-20 08:56:37,95,disk0/00/00/27/97,2016-09-01 00:00:00.000000000,"[{'id': 'desychurulaini@yahoo.com', 'name': {'honourific': None, 'family': 'Churul Aini', 'lineage': None, 'given': 'Desy'}}, {'name': {'given': 'Naek', 'lineage': None, 'family': 'Siregar', 'honourific': None}, 'id': None}]",,,['FH3'],book_section,show,7,,Identifkasi Ketentuan Internasional tentang Pencemaran di Wilayah Perairan,,['K1'],,2017-07-20 08:56:37,archive,published,2797,978-602-61528-0-0,Proseding Penelitian Bagian Hukum Internasional,1-42,Fakultas Hukum Universitas Lampung,,,,,42.0,,,,,,,,,,,,,,,
6,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/6914,"[{'files': [{'datasetid': 'document', 'filesize': 4714799, 'mime_type': 'application/pdf', 'fileid': 63428, 'filename': 'Dewi Septiana ( Jurnal = Kedudukan Anak).pdf', 'hash': 'ab5ce7fd4d7246d46494608e943d8c38', 'mtime': '2018-05-21 02:32:24', 'hash_type': 'MD5', 'objectid': 19888, 'uri': 'http://repository.lppm.unila.ac.id/id/file/63428'}], 'main': 'Dewi Septiana ( Jurnal = Kedudukan Anak).pdf', 'docid': 19888, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19888', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 6914, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,2018-06-21 02:09:04,2018-06-21 02:09:04,196,disk0/00/00/69/14,2016-11-01 00:00:00.000000000,"[{'name': {'given': 'Dewi Septiana', 'lineage': None, 'family': 'Dewi Septiana', 'honourific': None}}]",1412-2480,Jurnal Legalita,['FH3'],article,show,6,,Kedudukan Anak Akibat Pembatalan Perkawinan Menurut Undang-Undang Nomor 1 Tahun 1974 Tentang Perkawinan,,['K1'],,2018-06-21 02:09:04,archive,,6914,,,107-118,Sekolah Tinggi Ilmu Hukum (STIH) Muhammadiyah Kota Bumi Lampung,,,,,,,,,,XVI,2.0,,,,,,,,,
7,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/6915,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 6915, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19889', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/63434', 'objectid': 19889, 'filesize': 3998691, 'datasetid': 'document', 'filename': 'Dewi Septiana (Jurnal = Kedudukan Memorandum).pdf', 'hash': '4ab3a52ddcbfb4516cf3bf19b152155d', 'mtime': '2018-05-21 02:37:20', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 63434}], 'main': 'Dewi Septiana (Jurnal = Kedudukan Memorandum).pdf', 'docid': 19889}]",pub,2018-06-21 02:09:07,2018-06-21 02:09:07,196,disk0/00/00/69/15,2016-05-01 00:00:00.000000000,"[{'name': {'given': 'Dewi Septiana', 'family': 'Dewi Septiana', 'honourific': None, 'lineage': None}}]",1412-2480,Jurnal Legalita,['FH3'],article,show,6,,Kedudukan Memorandum Of Understanding (MoU) Ditinjau dari Hukum Perjanjian,,['K1'],,2018-06-21 02:09:07,archive,,6915,,,111-120,Sekolah Tinggi Ilmu Hukum (STIH) Muhammadiyah Kota Bumi Lampung,,,,,,,,,,XIV,1.0,,,,,,,,,
8,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/3160,"[{'docid': 3049, 'main': '8.pdf', 'files': [{'mtime': '2017-06-02 09:54:22', 'hash_type': 'MD5', 'filename': '8.pdf', 'hash': '012f21d4a3107e1e367885beebdce6d7', 'fileid': 21944, 'mime_type': 'application/pdf', 'filesize': 465154, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/21944', 'objectid': 3049}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3049', 'eprintid': 3160, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",pub,2017-06-05 02:19:16,2017-06-05 02:19:16,1026,disk0/00/00/31/60,2016-11-23 00:00:00.000000000,"[{'name': {'family': 'Eddy', 'honourific': None, 'lineage': None, 'given': 'Rifai'}}, {'name': {'honourific': None, 'family': 'HS', 'lineage': None, 'given': 'Tisnanta'}}, {'name': {'honourific': None, 'family': 'Tomy', 'lineage': None, 'given': 'Pasca rifai'}}]",,Shield 1 Conference Proceeding,['FH3'],article,show,6,,Death Penalty on Indonesia Criminal Law,"This  research  using  normative  juridical  approach  to  studies  the  implementation  of 
death penalty executions and the legal policy of death executions in Indonesia. There are also 
delays on death executions for the convicted person since they entitled to using rights namely 
filing a judicial review (PK) or clemency. Further, the legal loophole in the execution of the 
death penalty by the publication of the Constitutional Court Number 107 / PUU-XIII / 2015 
which assert that the Attorney as executor can ask the convicted person or his family whether 
to  use  their  rights  or  not,  which  if  the  convict  clearly  does  not  want  to  use  their  rights, 
therefore the  executions will be carried out.  Legal policy on threats  and the implementation 
of the death penalty in the draft of criminal code was agreed by draftsman of the bill with the 
solutions.  The  draftsman  of  the  bill  agrees  that  the  death  penalty  will  be  an  alternative 
punishment  sentenced  as  a  last  resort  to  protect  the  society.  The  bill  also  regulates  that  the 
execution  among  others  include  that  the  execution  can  be  delayed  by  10  years  probation.  If 
the public reaction on the convict is not too large or convict has regret and could fix it or the 
role in the crime is not very important and there is a reason to reduce punishment, the death 
penalty may be changed. For pregnant women and the mentally ill convicts the execution can 
only be carried after the birth and the person has recovered from mental illness. The existence 
of this solutions is still keep putting the death penalty in criminal law nationaly, whereas the 
effectiveness of the death penalty is scientifically still in doubt to solve crimes and to prevent 
crimes by the death penalty punishment.",['K1'],,2017-06-05 02:19:16,archive,published,3160,,,42-55,University of Lampung,,,,,,,,,,,,,,,,,,,,
9,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/3371,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/23419', 'objectid': 3249, 'mtime': '2017-06-05 04:28:06', 'hash_type': 'MD5', 'hash': 'eb8a754b41a968a23980e6c927b8cad0', 'filename': 'Buku Aceh.pdf', 'fileid': 23419, 'mime_type': 'application/pdf', 'filesize': 1481356, 'datasetid': 'document'}], 'main': 'Buku Aceh.pdf', 'docid': 3249, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3249', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 3371, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,2017-06-12 02:28:33,2017-06-12 02:28:33,1153,disk0/00/00/33/71,2016-06-01 00:00:00.000000000,"[{'name': {'given': 'Tisnanta', 'lineage': None, 'honourific': None, 'family': 'HS'}}, {'name': {'family': 'Ade', 'honourific': None, 'lineage': None, 'given': 'Arif Firmansyah'}}]",,,['FH3'],book_section,show,7,,"REFLEKSI PEMERINTAHAN ACEH       DALAM OTONOMI PARIPURNA: 
TANTANGAN MEWUJUDKAN AKSELERASI PEMBANGUNAN DAN KESEJAHTERAAN MASYARAKAT",,['K1'],,2017-06-12 02:28:33,archive,published,3371,978-602-336-1632-57-4,Bukan Undang-Undang Biasa Refleksi 10 Tahun Undang-Undang tentang Pemerintahan Aceh,65-78,Bandar Publishing,,,,,,,,,,,,,,,,,,,,
