,status_changed,eprint_status,subjects,title,rev_number,place_of_pub,metadata_visibility,eprintid,isbn,date_type,lastmod,userid,datestamp,ispublished,publisher,documents,uri,full_text_status,refereed,editors,type,book_title,divisions,creators,date,dir,pages,volume,abstract,publication,issn,number,pagerange,corp_creators,projects,official_url,related_url,monograph_type,contact_email,contributors,keywords,note,referencetext,institution,department,series,event_title,event_location,event_dates,event_type,pres_type,funders,id_number
0,2017-06-02 11:58:07,archive,['K1'],"PERDEBATAN PERUSAHAAN SEBAGAI SUBJEK HUKUM
INTERNASIONAL BERDASARKAN KONVENSI HUKUM LAUT 1982",7,Bandar Lampung,show,2760,978-602-1071-38-0,published,2017-06-02 11:58:07,230,2017-06-02 11:58:07,pub,Justice Publisher,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2619', 'rev_number': 1, 'docid': 2619, 'main': 'hukum-laut-nasional-internasional.pdf', 'files': [{'datasetid': 'document', 'filesize': 7822146, 'mime_type': 'application/pdf', 'fileid': 18903, 'hash': 'ca4ebc9b69304c41283e587da74eb7bc', 'filename': 'hukum-laut-nasional-internasional.pdf', 'hash_type': 'MD5', 'mtime': '2017-06-01 06:56:40', 'objectid': 2619, 'uri': 'http://repository.lppm.unila.ac.id/id/file/18903'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 2760, 'security': 'public', 'placement': 1}]",http://repository.lppm.unila.ac.id/id/eprint/2760,public,TRUE,"[{'name': {'given': 'Heryandi', 'lineage': None, 'honourific': None, 'family': 'Heryandi'}}]",book_section,Perkembangan Hukum Nasional dan Internasional,['FH3'],"[{'id': None, 'name': {'given': 'Khaidir', 'lineage': None, 'honourific': None, 'family': 'Anwar'}}, {'name': {'honourific': None, 'family': 'Syofyan', 'lineage': None, 'given': 'Ahmad'}, 'id': 'ahmad.syofyan@fh.unila.ac.id'}]",1970-01-01 00:00:00.000002015,disk0/00/00/27/60,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2019-10-22 08:39:11,archive,['K1'],Dekonstruksi Urusan Pemerintahan Konkuren Dalam Undang- Undang Pemerintahan Daerah,6,,show,14597,,published,2019-10-22 08:39:11,561,2019-10-22 08:39:11,pub,,"[{'files': [{'fileid': 126470, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-10-22 07:38:40', 'hash': 'f34a9ddd2c4caba121392e7338172606', 'filename': 'Review Budiyono Dekonstruksi Urusan Pemerintah Konkuren dalam UU.pdf', 'datasetid': 'document', 'filesize': 667964, 'objectid': 27690, 'uri': 'http://repository.lppm.unila.ac.id/id/file/126470'}], 'main': 'Review Budiyono Dekonstruksi Urusan Pemerintah Konkuren dalam UU.pdf', 'docid': 27690, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27690', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 14597, 'language': 'en', 'mime_type': 'application/pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/14597,public,TRUE,,article,,['FH3'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Budiyono', 'given': 'Budiyono'}}]",1970-01-01 00:00:00.000002015,disk0/00/01/45/97,,-,Peer Review,Karun,0854-5489,67,,,,,,,,,,,,,,,,,,,,,
2,2019-08-30 08:12:13,archive,['K1'],EVALUASI KEBIJAKAN PENATAAN PEDAGANG KAKI LIMA DI PASAR BAMBU KUNING BANDAR LAMPUNG TAHUN ANGGARAN 2014,6,,show,13909,,,2019-08-30 08:12:13,366,2019-08-30 08:12:13,unpub,Lampung University,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/26941', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 978620, 'fileid': 121279, 'mime_type': 'application/pdf', 'mtime': '2019-08-21 02:49:46', 'hash_type': 'MD5', 'filename': 'Candra Perbawati Evaluasi Kbijakan Penataan Pedagangan Kaki Lima di Pasar Bambu Kuning.pdf', 'hash': '68f5e9403368d99479c0ba9fa60751c7', 'objectid': 26941, 'uri': 'http://repository.lppm.unila.ac.id/id/file/121279'}], 'main': 'Candra Perbawati Evaluasi Kbijakan Penataan Pedagangan Kaki Lima di Pasar Bambu Kuning.pdf', 'docid': 26941, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 13909}]",http://repository.lppm.unila.ac.id/id/eprint/13909,public,TRUE,,article,,['FH3'],"[{'id': 'perbawaticandra@yahoo.com', 'name': {'lineage': None, 'family': 'Candra Perbawati', 'honourific': None, 'given': 'Candra'}}]",2015-10-01 00:00:00.000000000,disk0/00/01/39/09,,,"salah satu masalah pokok yang menjadi tanggung jawab dinas pasar kota bandar lampung adalah pedagang kaki lima. pedagang kaki lima merupakan jenis pekerjaan yang relative khas dalam sector informal di daerah perkotaan. Pedagang kaki lima menjadi suatu komponen dalam masyarakat karna warga kota mendapatkan kemudahan di dalam memenuhi kebutuhannya. Hal ini yang menyebabkan pedagang kaki lima telah menjadi fenomena social yang merupakan bagian pertumbuhan masyarakat. Tujuan penelitian untuk melihat pelaksanaan pembinaan terhadap pedagang kaki lima pada pasar bamboo kuning dan melihat hambatan yang dihadapi dalam pembinaan terhadap pedagang kaki lima. Tipe penelitian adalah deskriptif dengan analisis data kualitatif. hasil penelitian menunjukan pelaksanaan pembinaan terhadap pedagang kaki lima dalam penataan pasar, merupakan usaha yang dilakukan secara sadar dan terencana sesuai dengan surat perintah tugas kepala dinas kota bandar lampung no 800/645/IV.38/2015 yaitu dilakukan dengan cara melaksanakan sosialisasi, pembinaan dan pengawasan terhadap pedagang kaki lima dalam lingkungan pasar kota bandar lampung. Hambatan yang dihadapi yaitu ada 2 secara internal dan eksternal, yaitu baik secara lingkungan yang berada di dalam organisasi maupun sebagai komponen komponen yang berada dalam luar organisasi.","Evaluasi kebijakan penataan pedagang kaki lima, di pasar bambu kuning bandar lampung, tahun anggaran 2014",,,1-40,['fakultas hukum universitas lampung'],['DIPA UNIVERSITAS LAMPUNG'],,,,,,,,,,,,,,,,,,
3,2018-08-03 07:38:50,archive,['K1'],Penegakan Hak Asasi Manusia di Era Globalisasi dalam Perspektif Hukum Islam,6,,show,8667,,,2018-08-03 07:38:50,366,2018-08-03 07:38:50,pub,Fakultas Syariah IAIN Raden Intan Lampung,"[{'files': [{'objectid': 21737, 'uri': 'http://repository.lppm.unila.ac.id/id/file/84584', 'datasetid': 'document', 'filesize': 6602607, 'fileid': 84584, 'mime_type': 'application/pdf', 'mtime': '2018-07-19 04:20:45', 'hash_type': 'MD5', 'filename': 'Candra (Jurnal = Penegakan HAM di Era Globalisasi).pdf', 'hash': '52bfe317a15d02dfe1ecafd1cbec6496'}], 'docid': 21737, 'main': 'Candra (Jurnal = Penegakan HAM di Era Globalisasi).pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21737', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 8667, 'language': 'en', 'mime_type': 'application/pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/8667,public,FALSE,,article,,['FH3'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Candra Perbawati', 'given': 'Candra'}}]",2015-12-01 00:00:00.000000000,disk0/00/00/86/67,,XII,,Al-'Adalah,0854-1272,4,843-854,,,,,,,,,,,,,,,,,,,,
4,2017-07-20 08:56:27,archive,['K1'],Harmonisasi Undang-Undang Dasar 1945 dengan Ketentuan Internasional tentang Masyarakat Ekonomi Asean 2015 (Asean Economic Community/AEC 2015),9,,show,2787,,,2017-07-20 08:56:27,95,2017-06-02 05:30:40,pub,Fakultas Hukum Universitas Lampung,"[{'eprintid': 2787, 'placement': 1, 'security': 'public', 'mime_type': 'text/html', 'language': 'id', 'main': 606, 'docid': 2644, 'files': [{'datasetid': 'document', 'filesize': 24150, 'mime_type': 'text/html', 'fileid': 19064, 'filename': 606, 'hash': '8bfc723bf94490ba25688209b99946d6', 'hash_type': 'MD5', 'mtime': '2017-06-01 07:49:03', 'objectid': 2644, 'uri': 'http://repository.lppm.unila.ac.id/id/file/19064'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/2644', 'rev_number': 3}]",http://repository.lppm.unila.ac.id/id/eprint/2787,public,FALSE,,article,,['FH3'],"[{'name': {'lineage': None, 'family': 'Churul Aini', 'honourific': None, 'given': 'Desy'}}]",2015-07-01 00:00:00.000000000,disk0/00/00/27/87,,9,,Fiat Justicia Jurnal Ilmu Hukum Fakultas Hukum Universitas Lampung,1978-5186,3,365-395,,,http://jurnal.fh.unila.ac.id/index.php/fiat/article/viewFile/606/,,,,,,,,,,,,,,,,,
5,2017-07-20 08:56:55,archive,['K1'],"Pengaturan tentang Status Hukum Illegal Immigrant berdasarkan Hukum Internasional, Hukum Nasional dan Penanganannya di Indonesia",6,,show,2822,,published,2017-07-20 08:56:55,95,2017-07-20 08:56:55,pub,Program Studi Ilmu Hukum Universitas Maritim Raja Ali Haji,"[{'eprintid': 2822, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 2679, 'main': 'DEsy jurnal umrah.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/19316', 'objectid': 2679, 'hash': '86b10e27e27f5fcf5c95ffe87196825f', 'filename': 'DEsy jurnal umrah.pdf', 'mtime': '2017-06-01 08:50:39', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 19316, 'filesize': 8189515, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/2679', 'rev_number': 1}]",http://repository.lppm.unila.ac.id/id/eprint/2822,public,TRUE,,article,,['FH3'],"[{'name': {'honourific': None, 'family': 'Churul Aini', 'lineage': None, 'given': 'Desy'}, 'id': 'desychurulaini@yahoo.com'}]",2015-05-01 00:00:00.000000000,disk0/00/00/28/22,,2,,Jurnal Ilmu Hukum SELAT Universitas Maritim Raja Ali Haji,2354-8649,2,244-261,,,,[{'url': 'http://ojs.umrah.ac.id/index.php/selat/article/view/89'}],,,,,,,,,,,,,,,,
6,2017-06-13 01:56:40,archive,['K1'],Pengaturan Pemanfaatan Sumber Daya Alam Hayati di Zona Ekonomi Eksklusif berdasarkan Hukum Internasional dan Hukum Nasional,8,,show,2825,978-602-1071-29-8,published,2017-06-13 01:56:40,95,2017-06-13 01:56:40,pub,Justice Publisher,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2683', 'rev_number': 1, 'docid': 2683, 'main': 'hukum kelautan.pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 19344, 'hash': '53da4addb8574f5cd5e5eefb40a9b834', 'filename': 'hukum kelautan.pdf', 'hash_type': 'MD5', 'mtime': '2017-06-01 09:00:54', 'datasetid': 'document', 'filesize': 6625540, 'objectid': 2683, 'uri': 'http://repository.lppm.unila.ac.id/id/file/19344'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 2825, 'security': 'public', 'placement': 1}]",http://repository.lppm.unila.ac.id/id/eprint/2825,public,TRUE,,book_section,Hukum Laut Internasional dalam Perkembangan,['FH3'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Churul Aini', 'given': 'Desy'}, 'id': 'desychurulaini@yahoo.com'}, {'name': {'family': 'Candra Jaya', 'honourific': None, 'lineage': None, 'given': 'Beni Prawira'}, 'id': None}]",2015-01-01 00:00:00.000000000,disk0/00/00/28/25,,3,,,,,172-187,,,http://Jurnal.fh.unila.ac.id/index.php/monograf/issue/view/77,,,,,,,,,,,,,,,,,
7,2019-08-07 04:19:55,archive,['K1'],Implikasi hukum kebijakan pendaftaran tanah terhadap keberlanjutan pembangunan dalam buku hukum lingkungan dan pembangunan berkelanjutan,7,,show,13737,978-602-1534-47-2,,2019-08-07 04:19:55,769,2019-08-07 04:19:55,pub,publishing bandar lampung,"[{'security': 'public', 'placement': 1, 'eprintid': 13737, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 26749, 'uri': 'http://repository.lppm.unila.ac.id/id/file/119812', 'mime_type': 'application/pdf', 'fileid': 119812, 'filename': 'peerreview upik implikasi hukum.pdf', 'hash': 'b70248dcf3ab905880c4863bb4b205be', 'hash_type': 'MD5', 'mtime': '2019-08-07 01:55:56', 'datasetid': 'document', 'filesize': 277498}], 'main': 'peerreview upik implikasi hukum.pdf', 'docid': 26749, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26749', 'rev_number': 1, 'format': 'text', 'pos': 1}]",http://repository.lppm.unila.ac.id/id/eprint/13737,public,TRUE,,book_section,Implikasi hukum kebijakan pendaftaran tanah terhadap keberlanjutan pembangunan dalam buku hukum lingkungan dan pembangunan berkelanjutan,['FH3'],"[{'name': {'given': 'Upik', 'family': 'Hamidah', 'honourific': None, 'lineage': None}}]",1970-01-01 00:00:00.000002015,disk0/00/01/37/37,,,hasil penilaian sejawat sebidang atau peer review,,,,,['universitas lampung'],,,,,,,,,,,,,,,,,,,
8,2019-08-07 04:19:47,archive,['K1'],pengaturan hukum pengelolaan sumber daya air di kota bandar lampung,6,,show,13740,,,2019-08-07 04:19:47,769,2019-08-07 04:19:47,pub,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/26752', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/119831', 'objectid': 26752, 'hash_type': 'MD5', 'mtime': '2019-08-07 02:35:26', 'hash': '39632c0160d5532aa3f136f69dc53212', 'filename': 'peerreview upik pengaturan hkm.pdf', 'fileid': 119831, 'mime_type': 'application/pdf', 'filesize': 306764, 'datasetid': 'document'}], 'main': 'peerreview upik pengaturan hkm.pdf', 'docid': 26752, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 13740}]",http://repository.lppm.unila.ac.id/id/eprint/13740,public,TRUE,,article,,['FH3'],"[{'name': {'given': 'Upik', 'lineage': None, 'honourific': None, 'family': 'Hamidah'}}]",2015-12-01 00:00:00.000000000,disk0/00/01/37/40,,26,hasil penilaian sejawat sebidang atau peer review,citra hukum,,2,,['Universitas Lampung'],,,,,,,,,,,,,,,,,,,
9,2017-06-02 12:01:47,archive,['K1'],Pengaturan Alur Laut Kepulauan berdasarkan Konvensi Hukum Laut 1982 dan Implementasinya di Indonesia,8,,show,2778,978-602-1071-38-0,,2017-06-02 12:01:47,95,2017-06-02 12:01:47,pub,Justice Publisher,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/2633', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'filesize': 7822146, 'datasetid': 'document', 'mtime': '2017-06-01 07:32:22', 'hash_type': 'MD5', 'hash': 'ca4ebc9b69304c41283e587da74eb7bc', 'filename': 'hukum-laut-nasional-internasional.pdf', 'fileid': 18984, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/18984', 'objectid': 2633}], 'main': 'hukum-laut-nasional-internasional.pdf', 'docid': 2633, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 2778}]",http://repository.lppm.unila.ac.id/id/eprint/2778,public,FALSE,"[{'name': {'given': 'Heryandi', 'family': 'Heryandi', 'honourific': None, 'lineage': None}}]",book_section,Perkembangan hukum Nasional dan Internasional,['FH3'],"[{'name': {'honourific': None, 'family': 'Heryandi', 'lineage': None, 'given': 'Heryandi'}, 'id': None}, {'name': {'given': 'Desy', 'lineage': None, 'honourific': None, 'family': 'Churul Aini'}, 'id': 'desychurulaini@yahoo.com'}]",1970-01-01 00:00:00.000002015,disk0/00/00/27/78,42.0,,,,,,65-106,,,http://Jurnal.fh.unila.ac.id/index.php/monograf/issue/view/78,,,,,,,,,,,,,,,,,
