,lastmod,userid,datestamp,ispublished,publisher,documents,full_text_status,uri,refereed,editors,type,book_title,divisions,date,dir,eprint_status,status_changed,subjects,title,rev_number,metadata_visibility,eprintid,isbn,date_type,related_url,place_of_pub,department,projects,institution,funders,pages,monograph_type,creators,id_number,volume,series,number,abstract,corp_creators,publication,issn,event_title,event_type,pres_type,official_url,pagerange,keywords,contact_email,contributors,event_dates,event_location,succeeds
0,2023-04-10 09:19:27,1026,2023-04-10 09:19:27,pub,Aji Bandar Lampung,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/541761', 'objectid': 189790, 'filename': 'MERAJUT JURNALISME DAMAI DI LAMPUNG-HS TISNANTA.pdf', 'hash': '10f020c672cf06a2242860c21188503b', 'mtime': '2023-04-10 07:36:04', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 541761, 'filesize': 7644154, 'datasetid': 'document'}], 'main': 'MERAJUT JURNALISME DAMAI DI LAMPUNG-HS TISNANTA.pdf', 'docid': 189790, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189790', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 50090, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/50090,TRUE,"[{'name': {'given': 'Santosa Budiman', 'lineage': None, 'family': 'Budi', 'honourific': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Oyos', 'given': 'Saroso HN'}}]",book_section,Merajut Jurnalisme Damai Di Lampung,['FH3'],1970-01-01 00:00:00.000002012,disk0_bak/00/05/00/90,archive,2023-04-10 09:19:27,['K1'],Merajut Jurnalisme Damai Di Lampung,9,show,50090,978-602-17314-0-6,published,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2017-07-12 04:31:05,940,2017-07-12 04:31:05,pub,Universitas Lampung,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 3622, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/3480', 'rev_number': 1, 'docid': 3480, 'main': '4. buku_monograf-kebijakan tanah pihak asing_2012.pdf', 'files': [{'objectid': 3480, 'uri': 'http://repository.lppm.unila.ac.id/id/file/25324', 'fileid': 25324, 'mime_type': 'application/pdf', 'mtime': '2017-07-03 03:25:48', 'hash_type': 'MD5', 'filename': '4. buku_monograf-kebijakan tanah pihak asing_2012.pdf', 'hash': '303e0fb56dffd5e550d0d596d7fc9f42', 'datasetid': 'document', 'filesize': 1012195}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/3622,,,monograph,,['FH3'],2012-05-01 00:00:00.000000000,disk0/00/00/36/22,archive,2017-07-12 04:31:05,['K1'],Kebijaksanaan Pertanahan Terhadap Penguasaan Tanah Hak Milik Oleh Pihak asing Di Indonesia,7,show,3622,,published,[{'url': 'http://repository.lppm.unila.ac.id'}],Bandar Lampung,Fakultas Hukum,"['Buku 70 Tahun Prof. Dr. Sri Redjeki Hartono, S.H.']",Universitas Lampung,"['Prof. Dr. I Gede AB Wiranata S.H., M.H']",555.0,working_paper,"[{'name': {'given': 'Sumarja', 'lineage': None, 'honourific': None, 'family': 'FX'}}]",,,,,,,,,,,,,,,,,,,
2,2017-07-12 04:30:55,940,2017-07-12 04:30:55,pub,Universitas Lampung,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 3621, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3479', 'main': '5. buku_monograf-Tanah Sempadan Pantai-2012.pdf', 'docid': 3479, 'files': [{'objectid': 3479, 'uri': 'http://repository.lppm.unila.ac.id/id/file/25317', 'datasetid': 'document', 'filesize': 1002168, 'fileid': 25317, 'mime_type': 'application/pdf', 'mtime': '2017-07-03 03:15:45', 'hash_type': 'MD5', 'hash': '5e0b8f4a0d09ec6990e9da5977f272c5', 'filename': '5. buku_monograf-Tanah Sempadan Pantai-2012.pdf'}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/3621,,,monograph,,['FH3'],2012-11-01 00:00:00.000000000,disk0/00/00/36/21,archive,2017-07-12 04:30:55,['K1'],Penatagunaan Tanah Sempadan Pantai untuk Kesejahteraan Rakyat,7,show,3621,,published,[{'url': 'http://repository.lppm.unila.ac.id'}],Bandar Lampung,Fakultas Hukum,"['buku, 50 tahun Prof Dr. I Gede AB Wiranata, S.H., M.H']",Universitas Lampung,['I Gede AB Wiranata'],319.0,working_paper,"[{'name': {'lineage': None, 'honourific': None, 'family': 'FX', 'given': 'Sumarja'}}]",satu,,,,,,,,,,,,,,,,,,
3,2017-07-12 04:31:29,940,2017-07-12 04:31:29,pub,Indepth Publishing,"[{'files': [{'mime_type': 'application/pdf', 'fileid': 25302, 'filename': '1. Buku Problematika_2012.pdf', 'hash': '56d437339e25e0ed5d4353d5602d06e3', 'mtime': '2017-07-03 02:53:06', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 1120683, 'objectid': 3477, 'uri': 'http://repository.lppm.unila.ac.id/id/file/25302'}], 'docid': 3477, 'main': '1. Buku Problematika_2012.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/3477', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 3619, 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/3619,TRUE,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Ridwan', 'given': 'Hardiansyah'}}]",book,,['FH3'],2012-11-01 00:00:00.000000000,disk0/00/00/36/19,archive,2017-07-12 04:31:29,['K1'],"Problematika Kepemilikan Tanah Bagi Orang Asing, Sebuah Tinjauan Yuridis Filosofis",8,show,3619,9786021847961,published,[{'url': 'http://repository.lppm.unila.ac.id'}],Bandar Lampung,,,,,83.0,,"[{'id': 'franciscus.sumarja@fh.unila.ac.id', 'name': {'honourific': None, 'family': 'FX', 'lineage': None, 'given': 'Sumarja'}}]",,satu,Buku referensi,satu,,,,,,,,,,,,,,,
4,2017-07-12 04:31:20,940,2017-07-12 04:31:20,pub,"Indepth Publishing, Bandar Lampung","[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3475', 'pos': 1, 'format': 'text', 'files': [{'filename': '1. Buku Problematika_2012.pdf', 'hash': '56d437339e25e0ed5d4353d5602d06e3', 'mtime': '2017-07-03 02:31:00', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 25291, 'filesize': 1120683, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/25291', 'objectid': 3475}], 'main': '1. Buku Problematika_2012.pdf', 'docid': 3475, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 3618}]",public,http://repository.lppm.unila.ac.id/id/eprint/3618,TRUE,,book,,['FH3'],2012-11-01 00:00:00.000000000,disk0/00/00/36/18,archive,2017-07-12 04:31:20,['K1'],"Problematika Kepemilikan Tanah Bagi Orang Asing, sebuah Tinjauan Yuridis Filosofis",10,show,3618,9786021847961,published,[{'url': 'http://repository.lppm.unila.ac.id'}],,,,,,83.0,,"[{'name': {'honourific': None, 'family': 'FX', 'lineage': None, 'given': 'Sumarja'}, 'id': 'franciscus.sumarja@fh.unila.ac.id'}]",,satu,,satu,,,,,,,,,,,,,,,
5,2019-08-07 04:19:39,769,2019-08-07 04:19:39,pub,Fakultas Hukum Universitas Lampung,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/26750', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'fileid': 119818, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-08-07 02:18:44', 'hash': '1741d141540a4006c95689b4d2ede6ef', 'filename': 'peerreview upik pembaharuan sop.pdf', 'datasetid': 'document', 'filesize': 326049, 'objectid': 26750, 'uri': 'http://repository.lppm.unila.ac.id/id/file/119818'}], 'docid': 26750, 'main': 'peerreview upik pembaharuan sop.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 13738}]",public,http://repository.lppm.unila.ac.id/id/eprint/13738,TRUE,,article,,['FH3'],1970-01-01 00:00:00.000002012,disk0/00/01/37/38,archive,2019-08-07 04:19:39,['K1'],Pembaharuan standar prosedure operasi pengaturan (SOP) pelayanan pendaftaran peralihan hak milik atas tanah karena hibah wasiat berdasarkan alat bukti peralihan hak,6,show,13738,,,,,,,,,,,"[{'name': {'given': 'Upik', 'lineage': None, 'family': 'Hamidah', 'honourific': None}}]",,6,,2,hasil penilaian sejawat sebidang atau peer review,['Universitas Lampung'],Fiat Justicia Jurnal Ilmu Hukum Fakultas Hukum Universitas Lampung,1978-5186,,,,,,,,,,,
6,2019-08-08 02:38:37,769,2019-08-08 02:38:37,pub,Program Pascasarjana Program Magister Hukum FH Unila,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/119935', 'objectid': 26766, 'filesize': 313141, 'datasetid': 'document', 'filename': 'peerreview upik polotik hukum.pdf', 'hash': 'eeab5a63b74f07220c12a2aed44d9f1b', 'hash_type': 'MD5', 'mtime': '2019-08-08 02:18:57', 'mime_type': 'application/pdf', 'fileid': 119935}], 'main': 'peerreview upik polotik hukum.pdf', 'docid': 26766, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26766', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 13755, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/13755,TRUE,,article,,['FH3'],2012-01-01 00:00:00.000000000,disk0/00/01/37/55,archive,2019-08-08 02:38:37,['K1'],Politik Hukum Pengaturan Pengadaan Tanah Untuk Pembangunan Bagi Kepentingan Umum,6,show,13755,,,,,,,,,,,"[{'name': {'lineage': None, 'family': 'Hamidah', 'honourific': None, 'given': 'Upik'}}]",,6,,1,Hasil Penilaian sejawat sebidang atau peer review,['Universitas Lampung'],Praevia,1907-8714,,,,,,,,,,,
7,2019-08-07 04:20:01,769,2019-08-07 04:20:01,pub,,"[{'docid': 26751, 'main': 'peerreview upik pengadaan tanah.pdf', 'files': [{'hash': 'd4452bc088cda31c5e46bd74399fc594', 'filename': 'peerreview upik pengadaan tanah.pdf', 'mtime': '2019-08-07 02:24:22', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 119825, 'filesize': 301251, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/119825', 'objectid': 26751}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26751', 'rev_number': 1, 'eprintid': 13739, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/13739,TRUE,,conference_item,,['FH3'],2012-05-01 00:00:00.000000000,disk0/00/01/37/39,archive,2019-08-07 04:20:01,['K1'],pengadaan tanah untuk kepentingan pembangunan infrastruktur dalam rangka pengembangan wilayah,7,show,13739,,,,,,,,,,,"[{'name': {'given': 'Upik', 'honourific': None, 'family': 'Hamidah', 'lineage': None}}]",,,,,hasil penilaian sejawat sebidang atau peer review,['Universitas Lampung'],,,prosiding nasional,conference,paper,,,,,,,,
8,2018-10-29 04:25:02,807,2018-10-29 04:25:02,unpub,Universitas Lampung,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 8743, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21828', 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 4832634, 'mime_type': 'application/pdf', 'fileid': 85239, 'filename': 'Analisis-Kebijakan-Kriminal_Maroni.pdf', 'hash': 'd39ec7ea926c72b5ca1f15e0c645ea1b', 'mtime': '2018-08-27 02:43:11', 'hash_type': 'MD5', 'objectid': 21828, 'uri': 'http://repository.lppm.unila.ac.id/id/file/85239'}], 'docid': 21828, 'main': 'Analisis-Kebijakan-Kriminal_Maroni.pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/8743,FALSE,"[{'name': {'lineage': None, 'honourific': None, 'family': 'I GEDE AB WIRANATA, S.H., M.H', 'given': 'Prof. Dr'}}]",book,,['FH3'],2012-05-01 00:00:00.000000000,disk0/00/00/87/43,archive,2018-10-29 04:25:02,['K1'],ANALISIS KEBIJAKAN KRIMINAL,11,show,8743,978-602-7509-16-0,published,,Bandar Lampung,,,,,27.0,,"[{'name': {'given': 'Maroni', 'honourific': None, 'family': 'Maroni', 'lineage': None}, 'id': 'maroniunila@gmail.com'}]",,,Hukum Dalam Berbagai Dimensi,501,"ANALISIS KEBIJAKAN KRIMINAL
ABSTRAK
Penanggulangan kejahatan di bidang informasi dan traksaksi elektronik dengan sarana penal merupakan suatu proses kebijkan yang sengaja direncanakan melalui beberapa tahap yaitu : 1. Tahap penetapan pidana oleh pembuat undang-undang ; 2 tahap pemberian pidana oleh badan yang berwenang  dan 3; tahap pelaksana pidana oleh instransi pelaksana yang berwenang. Tahap pertama sering disebut tahap “ Tahap pemberian pidana, in abstracto”, sedangkan tahap kedua dan tahap ketiga disebut tahap “ pemberi pidana in concreto”.",['Universitas Lampung'],Hukum Dalam Berbagai Dimensi,978-602-7509-16-0,,,,,,,,,,,
9,2018-10-26 10:03:21,807,2018-10-26 10:03:21,pub,Universitas Jendral Soedirman,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 8728, 'placement': 2, 'security': 'public', 'pos': 2, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/21808', 'rev_number': 1, 'main': 'Problema-Penggantian-Hukum-Kolonial_jurnal_maroni.pdf', 'docid': 21808, 'files': [{'datasetid': 'document', 'filesize': 5213427, 'mime_type': 'application/pdf', 'fileid': 85127, 'hash': '9e2ccfab6e4780b11fda3e9862ebafc0', 'filename': 'Problema-Penggantian-Hukum-Kolonial_jurnal_maroni.pdf', 'mtime': '2018-08-17 03:21:04', 'hash_type': 'MD5', 'objectid': 21808, 'uri': 'http://repository.lppm.unila.ac.id/id/file/85127'}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/8728,TRUE,,article,,['FH3'],2012-01-01 00:00:00.000000000,disk0/00/00/87/28,archive,2018-10-26 10:03:21,['K1'],PROBLEMA PENGGANTIAN HUKUM-HUKUM KOLONIAL DENGAN HUKUM –HUKUM NASIONAL SEBAGAI POLTIK HUKUM,9,show,8728,,published,[{'url': 'http://fh.unsoed.ac.id'}],,,,,,,,"[{'id': 'maroniunila@gmail.com', 'name': {'family': 'Maroni', 'honourific': None, 'lineage': None, 'given': 'Maroni'}}]",,12,,85,"Penggantian hukum colonial sudah lama dilakukan oleh bangsa Indonesia , namun kenyataannya saat ini masih banyak hukum colonial berstatus sebagai hukum positif. Permasalahnya apakah factor penyebab problematic tersebut. Hasil kajian , factor penyebabnya (a) Heterogenitas bangsa Indonesia ; (b) dianutnya prinsip unifikasi dan kodifikasi ; (c) perbedaan pandangan terhadap HAM. Sedangkan politik hukumnya berbentuk pembinann bagi hukum colonial yang sukar diganti seperti bidang hukum yang berkaitan kehidupan masyarakat, budaya dan spiritual. Sedangkan bidangt hukum “netral” seperti hukum perikatan dan hukum dalam bidang perdagangan dilakukan pergantian melalui dimensi pembaharuan atas penciptaan hukum.

Kata kunci : Prolema, colonial , nasional , politik hukum",['Fakultas Hukum Universitas Jendral Soedirman'],Dinamika Hukum,1410-0797,,,,http://jurnaldinamikahukum.wordpress.com,85-96,"Prolema, colonial , nasional , politik hukum",,,,,
10,2018-10-26 10:09:01,807,2018-10-26 10:09:01,pub,"Fakultas Hukum, Universitas Lampung","[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 8767, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21849', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/85377', 'objectid': 21849, 'filesize': 2041709, 'datasetid': 'document', 'mtime': '2018-08-29 09:48:37', 'hash_type': 'MD5', 'hash': '02063fad7e9daad7629ae8681322303b', 'filename': '616-1939-1-PB.pdf', 'fileid': 85377, 'mime_type': 'application/pdf'}], 'docid': 21849, 'main': '616-1939-1-PB.pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/8767,FALSE,,article,,['FH3'],1970-01-01 00:00:00.000002012,disk0/00/00/87/67,archive,2018-10-26 10:09:01,['K1'],Sistem Hukum Pidana Progresif Sebagai Model Penegakan Hukum Di Negara Kesejahtraan Republik Indonesia,6,show,8767,,,[{'url': 'http://jurnal.fh.unila.ac.id/index.php/monograf/article/view/616'}],,,,,,,,"[{'name': {'given': 'Maroni', 'lineage': None, 'honourific': None, 'family': 'Maroni'}, 'id': 'maroniunila@gmail.com'}]",,,,,,,Wajah Hukum Dalam Realitas,978-602-7509-30-6,,,,,,,maroniunila@gmail.com,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,,
11,2017-09-04 01:56:27,786,2017-09-04 01:56:27,pub,Universitas Lampung,"[{'security': 'public', 'placement': 1, 'eprintid': 3850, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/26992', 'objectid': 3712, 'filesize': 1975827, 'datasetid': 'document', 'mtime': '2017-08-21 02:45:09', 'hash_type': 'MD5', 'filename': 'Nunung (Monograf) Wajah Hukum Dalam Realitas.pdf', 'hash': '3af7c9deb4d8db13984b4e3190e803df', 'fileid': 26992, 'mime_type': 'application/pdf'}], 'main': 'Nunung (Monograf) Wajah Hukum Dalam Realitas.pdf', 'docid': 3712, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3712', 'rev_number': 1, 'format': 'text', 'pos': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/3850,FALSE,,book_section,Wajah Hukum Dalam Realitas,['FH3'],1970-01-01 00:00:00.000002012,disk0/00/00/38/50,archive,2017-09-04 01:56:27,['K1'],Pencarian Pasangan Muslim Berpendidikan Tinggi : Studi Kasus di Kota Bandar Lampung,7,show,3850,978-602-7509-30-6,,,,,,,,,,"[{'name': {'family': 'Nunung Rodliyah', 'honourific': None, 'lineage': None, 'given': 'Nunung'}}]",,,,,,,,,,,,,335-355,,,,,,
